[0.00-1.58] 各位投资先进午安
[375.94-380.46] 整体的存货增加大概是21.4亿元
[380.46-384.58] 那存货以外我们在无形资产这边
[385.24-388.44] 第一季也增加了12.5亿元
[388.44-392.44] 这个主要是来自于这个环境工程及水资源处理这边
[392.44-398.30] 我们的这个持续投入的这个行建取得特许权资产
[398.30-407.52] 那到第一季底为止我们整个合并资产总额来到了超过900亿元
[407.52-413.44] 接下来我说明一下关于我们在这个新北市淡水区这边
[413.44-414.50] 我们有一个
[414.50-418.20] 在三月的时候公告一个处分这边的土地
[418.20-421.92] 那这个是一个我们现在闲置的土地
[421.92-423.30] 没有推案计划
[423.30-426.12] 所以我们就是处分获利
[426.12-431.12] 那这个目前还在处理相关的这个产权的移转程序
[431.12-435.62] 我们会预计在今年完成这个相关程序之后呢
[435.62-438.56] 认列一个业外的损益
[438.56-442.50] 那这个土地的大约是6700平
[442.50-444.46] 整个交易的总金额是
[444.50-446.80] 金台币5.54亿元
[446.80-450.64] 那预估的处分利益会是3.56亿元
[450.64-458.06] 那我们后续处分完成之后会再把相关的会在跟投资人这边说明
[458.06-461.14] 那接下来关于这个业务发展的部分
[461.14-466.52] 我们就请我们的执行长张芳心来为各位报告
[466.52-468.06] 各位投资人好
[468.06-472.92] 我跟各位报告我们三大事业企业的业务的存量
[472.92-473.42] 那比起我们的业务发展的部分我们就请我们的执行长张芳心来为各位报告
[473.42-473.94] 那比起我们的业务发展的部分我们就请我们的执行长张芳心来为各位报告
[473.94-477.26] 比起上一季末的数字
[477.26-482.14] 那这个业务存量的数字大致都是维持稳定
[482.14-489.04] 那我想要特别说的是刚才这个冯副总有提到
[489.04-494.42] 我们在这个不动产开发大陆建设
[494.42-499.02] 在任列这季任列营收
[499.02-503.90] 然后还有我们这边看到的这些销售的金额的部分
[503.90-503.92] 然后还有我们这边看到的这些销售的金额的部分
[503.92-507.76] 那比起过往的季度是比较低一些
[507.76-512.68] 不过目前是完全照着我们的本来的计划在走
[512.68-519.70] 因为进入投控今年大陆建设的这个不管是在推荐销售
[519.70-522.00] 还有在任列营收
[522.00-527.52] 就像冯副总刚刚提到的都会是比较是在下半年
[527.52-532.26] 这个待会我们在相关的页面也会为各位说明
[533.36-533.88] 那
[533.88-537.72] 那下一页是我们营建工程事业
[537.72-544.12] 也就是大陆工程今年主要贡献营收的一个专案
[544.12-549.24] 那我们这个页面跟上个季度跟各位报告的是一样
[549.24-557.18] 所以我们主要在这个营收贡献比较大的都是我们去年拿到的新案
[557.18-562.04] 就是这边有列示的桃园铁路地下化机J17
[562.04-563.84] 还有我们在
[563.84-566.08] 应该是全台最大的一个都更案
[566.08-567.98] 南港国际单元一
[567.98-572.42] 这都是我们今年主要贡献营收的一个专案
[572.42-578.18] 那在下一页不动产开发事业就是大陆建设的这个部分
[578.18-584.18] 我们跟过去一样会分成住宅跟商业不动产分别报告
[584.18-588.08] 那在住宅的部分会分成成屋
[588.08-591.74] 还有目前我们已经接下来三年已经推案
[591.74-593.72] 已经规划要任列专案
[593.84-596.84] 然后还有一些我们比较中长期的派对
[596.84-598.90] 那在成屋的部分
[598.90-605.48] 我们的这几个主要的成屋目前都持续的销售
[605.48-609.38] 所以我们成屋的金额也都是持续的降低
[610.70-616.24] 下一页是我们2025年到2028年任业的专案
[616.24-623.72] 那我们这次把2028年我们规划任业的专案已经放进去了
[623.84-630.98] 因为我们永远就是往下揭露未来三年我们规划任业的一个专案
[630.98-637.08] 那先看2025年
[637.08-640.28] 我们今年要任业的三个案子
[640.28-642.52] 有一个已经完销了
[642.52-644.84] 那是酸美
[644.84-650.60] 那另外在捐粹还有风时这两个案子
[650.60-653.22] 目前的销售率也相当的高
[653.84-659.28] 我们这下半年可以任业是蛮有信心的
[659.28-661.22] 那这是2025年的部分
[661.22-663.88] 在2028年的部分
[663.88-671.60] 我们这边放进去两个专案都是在新北市板桥区的专案
[671.60-674.36] 那第一个专案是横木
[674.36-676.64] 横木已经是完销了
[676.64-682.34] 那这个就是面对六百六千平四维公园的这个住宅专案
[682.34-683.72] 那另外一个端棚
[683.72-686.60] 端棚的销售率其实也相当高了
[686.60-690.76] 那他就是靠近捷运亚东医院站
[690.76-693.34] 那我们这个建筑师
[693.34-695.24] 这个DCA的置物所
[695.24-701.00] 他的主持建筑师也是2023年普利茨克奖的一个得主
[701.00-704.46] 那再来是我们这边
[704.46-707.90] 2029年之后
[707.90-710.96] 我们规划任列的一个专案
[710.96-713.56] 那比起上一季度
[713.72-720.86] 我们把今年要推的五个案子都放入了总销的金额
[720.86-729.96] 所以这个页面中有总销金额的案子都是我们今年要推案的案子
[729.96-736.00] 那所以我们今年其实是下半年会推五个案子
[736.00-741.80] 那全部这个总销金额加起来是将近四百亿
[741.80-743.16] 那这五个案子
[743.16-743.60] 我
[743.72-745.64] 第一简单跟各位说明
[745.64-750.14] 第一个是台北市信义区雅祥段
[750.14-752.26] 这是一个公办读更案
[752.26-755.66] 那基地有将近一千四百平
[755.66-757.28] 那另外一个是
[757.28-761.18] 第二个是南港区南港段
[761.18-764.48] 这个是这样靠近中信的金融园区
[764.48-768.90] 那也是七百多平的一个基地
[768.90-772.84] 那再来是三区的学府段
[772.84-773.68] 那这个也是
[773.72-776.48] 是另外一个公办读更案
[776.48-780.38] 那基地有将近两千两百平是非常大的一个基地
[780.38-784.52] 就在中跨南路跟和平东路的交口的附近
[784.52-788.86] 那第四个是新竹的这个竹北的这个案子
[788.86-793.40] 那这个案子是在远东百货竹北店的旁边
[793.40-797.48] 那第五也是我们在新竹的第一个案子
[797.48-802.28] 那第五个是台东市南屯区风机段的部分
[802.28-803.26] 这也是啊
[803.26-805.36] 将近一千四百平的一个基地
[805.36-808.86] 是我们第一次跨足到南台中
[808.86-812.62] 那我想我们今年要推出的这五个案子
[812.62-819.44] 事实上将大陆建设过去几年开发上三个重要的策略
[819.44-821.56] 做一个很好的总结
[821.56-824.76] 那我想我们在策略上第一个事情是
[826.14-830.14] 我们会从公办读更取得更多的案子
[830.14-833.06] 因为在市区要取得大面积的金融费用
[833.26-836.14] 在市区的这个新华土地是困难的
[836.14-842.44] 所以我们在这边的新义区亚翔段跟大安区的这个学府段
[842.44-846.30] 这都是国家住都中心
[846.30-849.44] 就是国家住宅及都市更新中心
[849.44-852.44] 跟我们一起合作的案子
[852.44-860.20] 那不然的话在市区很难取得像这个信义区有一千四百平
[860.20-862.20] 大安区有两千两百平
[862.20-863.06] 这样子规模的案子是很难取得的
[863.06-865.06] 所以我们在这个图案中
[865.06-869.06] 我们会继续专注在公办读更
[869.06-877.06] 那第二个就是说我们还是会持续在台湾新的地区推案
[877.06-881.06] 大陆建设传统都是一个双北为主的建商
[881.06-885.06] 那我们从2013年第一次到台中
[885.06-888.06] 2020年第一次到高雄
[888.06-891.06] 那2023年我们第一次到新竹
[891.06-893.06] 那这边劣势的就是我们的建设
[893.06-896.06] 我们的新竹竹北大学段
[896.06-898.06] 就是我们新竹的第一段
[898.06-900.06] 那这边劣势的台中区
[900.06-903.06] 台中市南屯区丰溪段
[903.06-909.06] 也就是我们的也是我们第一次到南台中13期去推案
[909.06-913.06] 所以我想第二个我们重要的一个开发的一个策略
[913.06-918.06] 会是持续去看新的一个地区的一个市场
[918.06-923.06] 那第三个是说在目前的情况下
[923.06-929.06] 在购地或合建两种就是大的开发模式中
[929.06-934.06] 购地的情况基本上是比价钱
[934.06-940.06] 那合建的部分会是地主能不能够相信建设公司的品牌
[940.06-944.06] 相信建设公司可以有能力帮这个土地加值
[944.06-949.06] 那我们通常在跟地主谈的时候
[949.06-951.06] 通常在合建案的部分
[951.06-952.06] 因为地主会相信建设公司的品牌
[953.06-955.06] 我们比较有机会成功
[955.06-958.06] 所以像今年刚好这五个案子就可以看到
[958.06-961.06] 我们有三个是合建案
[961.06-964.06] 包括这个新义区还有台北市新义区
[964.06-969.06] 台北市大安区这个跟住住中心的这个合建案
[969.06-973.06] 还包括在我们这个南岗区的这个
[973.06-977.06] 这是一半这是有合建架构的混合的
[977.06-980.06] 所以我们可以看到我们的这个合建案
[980.06-982.06] 是在台北市的这个建设公司中央区
[982.06-984.06] 混合的
[984.06-988.06] 那新竹的这个新竹的这个竹北
[988.06-990.06] 这也是个合建案
[990.06-993.06] 所以我们今年推的这五个案子
[993.06-995.06] 有三个是合建
[995.06-997.06] 一个是构地加合建
[997.06-999.06] 只有一个是纯构地
[999.06-1002.06] 那这个就是彰显就是说建设公司
[1002.06-1005.06] 如何有好的品牌
[1005.06-1007.06] 可以在开发的过程中
[1007.06-1010.06] 能够取得比较优质的一个土地
[1010.06-1012.06] 我想这个是一个很重要的一个计划
[1012.06-1014.06] 那我们推的这三个策略
[1014.06-1017.06] 会是我们刚好可以很好的把大陆建设
[1017.06-1020.06] 过去几年开发上的一个策略
[1020.06-1022.06] 做一个很好的一个总结
[1022.06-1024.06] 那我们在推案的部分的话
[1024.06-1026.06] 今年推的这五个案子
[1026.06-1031.06] 有差不多八成都是在30到50平的一个平数
[1031.06-1036.06] 那这也是反映目前市场上的一个走向
[1036.06-1039.06] 那以上是大陆建设的一个总结
[1042.06-1044.06] 我们现在主宅的部分
[1044.06-1047.06] 那在商业不动产的部分
[1047.06-1050.06] 我们还是这四个旅馆两个办公室
[1050.06-1054.06] 那这个大概定位上面
[1054.06-1056.06] 还有后续的策略
[1056.06-1057.06] 都跟之前相同
[1057.06-1059.06] 我就不一一说明
[1059.06-1061.06] 那另外下一页是我们
[1061.06-1065.06] 新达环境工程跟水资源处理
[1065.06-1071.06] 那这是我们所有目前正在执行的专案
[1071.06-1075.06] 其中有六个专案都是在营运中
[1075.06-1078.06] 那新达环工目前
[1078.06-1081.06] 刚刚同副总也有提到说
[1081.06-1085.06] 我们新达环工在第一季的营收成长
[1085.06-1088.06] 大部分都是来自于我们目前
[1088.06-1093.06] 很专注在兴建的桥头跟陈溪
[1093.06-1095.06] 那我们这两个案子
[1095.06-1101.06] 我们都会在2026年明年进入营运期
[1101.06-1105.06] 就像这个图上面所说明的一样
[1105.06-1107.06] 所列示的一样
[1107.06-1111.06] 那另外就是下一页是
[1111.06-1115.06] 我们这个新达环工环境工程
[1115.06-1117.06] 跟水资源处理事业
[1117.06-1121.06] 我们在这个季度也把2025年
[1121.06-1125.06] 2026年我们预计的污水处理量
[1125.06-1129.06] 跟再生水的供应量把它加进来了
[1129.06-1130.06] 那
[1131.06-1135.06] 在桥头开始营运的时候
[1135.06-1137.06] 那会非常的明显
[1137.06-1143.06] 就是我们2026年我们污水的处理量
[1143.06-1147.06] 在桥头的部分会从每天2万吨
[1147.06-1149.06] 提升到5万吨
[1149.06-1151.06] 另外也是在桥头的部分
[1151.06-1153.06] 我们再生水的供应量
[1153.06-1155.06] 在2026年的话
[1155.06-1158.06] 我们每天也会增加3万吨的再生水
[1158.06-1161.06] 供应给台积电的南紫园区场来说
[1161.06-1163.06] 一起 Fridays浪都可以 fruits
[1163.06-1164.96] 农业余田今年也美LEE
[1164.98-1171.22] 那以上是我们今天准备的一些页面
[1171.22-1174.06] 那我想要花一点时间recap一下
[1174.06-1176.06] M x chicken
[1176.06-1177.82] 法 нас会我认为一个
[1177.82-1179.66] 球 officials 的成功
[1179.66-1181.06] Metal 釉哥是情是说
[1181.06-1183.06] 他就一定收获利
[1183.06-1184.76] 还有我们的绿格
[1184.76-1186.06] 这个大路 Tie 彩的
[1186.06-1187.06] Li 에�斯
[1187.06-1188.06] 我给你
[1188.06-1189.06] 囡长做而
[1189.06-1190.06] 预备
[1190.06-1192.58] 不管是交屋、锐烈营收
[1192.58-1196.06] 还有要推刚刚有报告的五个案子
[1196.06-1198.32] 那这个都是在下半年
[1198.32-1200.96] 所以下半年会是我们今年的
[1200.96-1203.00] 大陆建设的一个重点
[1203.00-1204.98] 那另外一个就是
[1204.98-1206.78] 刚刚有提到的是
[1206.78-1208.76] 刚好今年的五个案子
[1208.76-1210.30] 今年要推的这五个案子
[1210.30-1212.34] 把大陆建设过去几年
[1212.34-1213.82] 开发上的三个策略
[1213.82-1215.10] 做一个很好的总结
[1215.10-1217.22] 那就是我们刚刚提到的
[1217.22-1218.54] 第一个事情是说
[1218.54-1221.78] 我们会尝试多利用
[1221.78-1223.98] 公办都更的方式
[1223.98-1227.82] 来取得市区大面积的一个精华土地
[1227.82-1229.62] 那第二个就是
[1229.62-1232.70] 我们会适时的去看
[1232.70-1234.88] 能不能再扩展到
[1234.88-1238.26] 台湾其他新的地区的一个市场
[1238.26-1240.48] 那第三个就是说
[1240.48-1243.32] 大陆建设的品牌效应
[1243.32-1247.30] 让大陆建设在购地跟合建中
[1247.30-1248.52] 尤其在合建中
[1248.52-1252.56] 能够更容易赢得地主的青睐
[1252.56-1254.80] 那我想这也是大陆建设
[1254.80-1257.28] 持续要能够在投资品牌
[1257.28-1259.28] 然后推出更好的作品
[1259.28-1262.24] 那这个对我们未来的一些开发
[1262.24-1265.94] 会有比较好的一个正面的一个效应
[1265.94-1270.48] 那以上是我们今天的报告
[1270.48-1271.70] 谢谢执行长
[1271.70-1273.96] 本次的简报到这里告一段落
[1273.96-1275.92] 接下来进入问答环节
[1275.92-1277.36] 请各位投资朋友
[1277.36-1278.28] 与直播画面
[1278.28-1279.36] 右下角栏位
[1279.36-1280.56] 输入您的问题
[1280.56-1282.70] 我们将于整理问题后
[1282.70-1283.50] 统一回复
[1283.50-1285.26] 请各位稍后片刻
[1285.26-1285.72] 谢谢
[1285.72-1297.16] 线上有投资人询问
[1297.16-1299.98] 不同的事业体
[1299.98-1305.76] 是否争取某些特定专案的情形
[1305.76-1307.84] 那我想我们这边是
[1308.28-1309.90] 在以我们跟各位报告
[1309.90-1314.16] 我们的一个策略要投入的方向下
[1314.16-1316.32] 很多新案我们都会参与
[1316.32-1321.26] 不过就是具体获得就是得标之后
[1321.26-1322.88] 一定都会跟各位报告
[1322.88-1325.44] 所以我想我们就不一一说明
[1325.44-1328.84] 我们特定的专案是否投标
[1328.84-1331.84] 是否得标等等的一个相关的事项
[1331.84-1335.48] 谢谢
[1335.48-1338.02] 这个线上投资人有询问到说关于
[1338.02-1341.48] 目前晨屋还有多少金额可以销售
[1341.48-1343.68] 那我们现在目前账上晨屋
[1343.68-1348.72] 大概还有75到80亿元左右的这个金额是在售的
[1348.72-1351.72] 那台湾跟美国这边都有
[1351.72-1355.64] 那美国这边稍微多一些
[1355.64-1359.48] 主要是这个市场的这个整体的这个状况
[1359.48-1365.94] 那台湾这边我们也目前都是持续在销售中
[1365.94-1366.94] 线上有投资人询问
[1366.94-1368.00] 线上有投资人询问
[1368.02-1372.52] 目前在大陆建设的客户
[1372.52-1377.42] 买方有没有违约或是资金上的问题
[1377.42-1384.48] 目前我们看到的都是照着既定的时程在交屋
[1384.48-1388.98] 所以大陆建设的部分比较没有这方面的问题
[1388.98-1390.74] 那投资人也询问
[1390.74-1397.18] 就是2025年要阵列的三个建案的交屋的时程
[1397.18-1398.00] 那刚才有提到的就是
[1398.02-1400.46] 刚刚在简报中也有说明
[1400.46-1406.02] 就是我们三个建案都是在下半年开始交屋
[1406.02-1413.94] 线上有投资人询问这个淡水受地的这个部分
[1413.94-1416.32] 那我们第一季公告的是
[1416.32-1422.22] 我们这边的跟我们的买方这边的合约已经完成签署
[1422.22-1424.60] 那但是因为后续还有陆续一些
[1424.60-1428.00] 这个就是相关的这个承诺的问题
[1428.02-1430.10] 那这个程序需要办理
[1430.10-1434.50] 那所以我们会在这个整个所有这些该做这些程序
[1434.50-1436.34] 办理完成之后
[1436.34-1441.02] 包括这个产权移转等等这些完成之后就会入账
[1441.02-1445.74] 那这个明确时间等这整个完成之后我们再做报告
[1445.74-1447.48] 由于线上没有其他问题
[1447.48-1450.26] 问答环节在此告一个段落
[1450.26-1452.60] 如果会后投资先进有其他问题
[1452.60-1456.54] 可以透过Email或电话联系本公司投资人关系窗口
[1456.54-1457.86] 将有专人回复各方面的问题
[1457.86-1458.00] 会有费用的机会在这些情况下可以通过电话联系本公司投资人关系窗口将有专人回复各方面的问题
[1458.02-1460.30] 感谢各位今天的开语
[1460.30-1465.38] 新路投控2025年第一季度线上法人说明会到此结束
[1465.38-1468.02] 敬祝各位身体健康投资顺利
[1468.02-1468.38] 谢谢
