[0.00-4.00] 各位投資先進
[781.44-789.44] 台灣的鐵路很多都是使用它的日本信號的設備
[789.44-792.44] 那我們跟它配合應該有二三十年
[795.44-799.44] 那台鐵號誌控制還有監控系統
[799.44-804.44] 那對本公司本公司已經取得包括台鐵嘉義
[804.44-809.44] 嘉義高架化還有台南地下化還有花東復線化
[809.44-812.44] 那花東復線化在這邊可以提一下
[812.44-816.44] 之前也有在媒體上有披露
[816.44-820.44] 就是花東復線化我們總包工程是由日本信號
[820.44-823.44] 它取得五十三點九億
[823.44-830.44] 那我們亞利大概會提供兩成左右的一些設備跟服務
[830.44-832.44] 所以大概在十億
[832.44-836.44] 另外還有一個未來比較大的商機就是
[836.44-839.44] 台鐵第三代CDC的行控中心
[839.44-842.44] 那這個目前都還在規劃中
[842.44-844.44] 那我們也是有參與其中
[844.44-849.44] 然後全台智慧便電所新的建置案
[849.44-851.44] 那這個也可以提一下
[851.44-853.44] 因為剛好這個
[853.44-859.44] 上個禮拜台鐵有標一個智慧便電所
[859.44-863.44] 那我們公司有得到這個新的訂單
[863.44-866.44] 大概是十億左右的台幣
[866.44-871.44] 那這個對本公司業績都有龐大的潛在傷機
[875.44-880.44] 然後第二是軌道用OCS架空懸壁
[880.44-882.44] 支持裝置及安裝工程
[882.44-886.44] 那本公司最近幾年取得台鐵
[886.44-888.44] 還有新北捷運站等等
[888.44-890.44] 大概有四十多億的訂單
[890.44-893.44] 那也奠定我們在軌道
[893.44-896.44] 包括台鐵高鐵輕軌等等
[896.44-899.44] 架空電車線的系統工程
[899.44-901.44] 文件的技術能力
[901.44-903.44] 那目前還在施工的有彰化段
[903.44-906.44] 銀藍段還有花東復線化的工程
[906.44-911.44] 那林義士是
[912.44-916.44] 針對自通訊市場IDC機房
[916.44-920.44] 還有交換機高效能保護電源及電動大巴
[920.44-922.44] 電動車充電樁
[922.44-924.44] 那完成開發的項目
[924.44-927.44] 那IDC機房這個部分
[927.44-930.44] 可以再稍微補充一下
[930.44-932.44] 就是最近這幾年
[932.44-936.44] 大概每年貢獻大概二到三億的營業額
[936.44-941.44] 那未來因應國內外AI市場的大數據應用
[941.44-945.44] 市場需求未來也會有爆發性的成長
[945.44-947.44] 那目前其實
[947.44-950.44] 我們已經完成中華電信
[950.44-953.44] 兩個比較大的機房
[953.44-958.44] 一個是板橋的機房
[958.44-962.44] 大概案子差不多兩億多
[962.44-963.44] 已經完工了
[963.44-966.44] 那另外還有一個台東大武的地方
[966.44-968.44] 也是有一個IDC機房
[968.44-970.44] 那那個部分也是
[970.44-972.44] 已經完工了
[972.44-975.44] 那個大概1.7億
[975.44-979.44] 那未來它在台中彰化
[979.44-982.44] 還有台北
[982.44-986.44] 另外還有板橋板新那邊
[986.44-990.44] 也會再做一個IDC機房
[990.44-991.44] 那未來的IDC機房
[991.44-994.44] 如果要運用AI的設備的話
[994.44-997.44] 因為原先的IDC機房
[997.44-1000.44] 大概都是12伏的那個
[1000.44-1003.44] 那未來那個AI的話
[1003.44-1005.44] 它大概都用48伏
[1005.44-1013.44] 所以它的電力至少會增加4倍
[1013.44-1017.44] 好第二是這個是電信交換機房
[1017.44-1019.44] 還有通信基地台
[1019.44-1022.44] 直流高頻電源開關
[1022.44-1025.44] 那這個部分我們也是交蠻多給這個
[1025.44-1027.44] 那個電信公司
[1027.44-1030.44] 那當然中華電信是交最多的
[1030.44-1034.44] 針對國內外5G 6G的市場
[1034.44-1037.44] 就是持續的推展
[1037.44-1040.44] 而且也是已經都
[1040.44-1043.44] 每年都要取得他們的一些新的地方
[1043.44-1048.44] 那另外電動大巴的
[1048.44-1050.44] 大巴的充電裝
[1050.44-1054.44] 政府宣示到2030年
[1054.44-1059.44] 全國大概有1萬輛的電動大巴需求
[1059.44-1061.44] 那未來5年
[1061.44-1063.44] 因為其實說實在前面5年
[1063.44-1067.44] 因為政府它疫情有一些預算排擠
[1067.44-1071.44] 所以它其實它的進度很緩慢
[1071.44-1073.44] 有一些電動大巴業者可能都
[1073.44-1075.44] 都已經快等不及了
[1075.44-1078.44] 因為都可能都是虧損
[1078.44-1081.44] 那未來5年電動大巴
[1081.44-1083.44] 應該會大幅成長
[1083.44-1087.44] 因為本來是10年要建那個
[1087.44-1088.44] 要1萬輛
[1088.44-1091.44] 可是現在只剩5年
[1091.44-1094.44] 那其實它零目標還蠻遠的
[1094.44-1099.44] 所以近幾年應該會積極拓展
[1099.44-1102.44] 所以我們公司其實
[1102.44-1104.44] 我們公司電動大巴充電裝
[1104.44-1106.44] 這個部分很早就做了
[1106.44-1110.44] 大概5、6年前就在金門
[1110.44-1113.44] 有一個示範一個電動大巴的案場
[1113.44-1116.44] 那它就是用我們的充電裝
[1116.44-1117.44] 之前
[1117.44-1120.44] 很早就已經有這個技術
[1122.44-1124.44] 那電動車充電裝
[1124.44-1125.44] 這個部分就是
[1125.44-1128.44] 因為現在未來電動車
[1128.44-1130.44] 應該是會越來越多
[1130.44-1133.44] 那政府也是宣示在2040年
[1133.44-1136.44] 小額客車全面電動化
[1136.44-1139.44] 交通部預計在2025年
[1139.44-1142.44] 全台要廣設6500座的充電裝
[1142.44-1145.44] 那本公司已經自主研發完成
[1145.44-1146.44] 160KV
[1147.44-1150.44] 跟240KV直流快充充電裝
[1150.44-1153.44] 那同時也有代理西班牙生產
[1153.44-1156.44] 知名產品Wobux
[1156.44-1158.44] 這個是交流慢充充電裝
[1158.44-1161.44] 那一般交流慢充就是放在
[1161.44-1163.44] 住宅區下面的就是
[1163.44-1165.44] 慢慢充就是睡個晚上
[1165.44-1168.44] 就才能夠充完
[1168.44-1173.44] 以符合這個快速起飛的電動車充電裝
[1173.44-1176.44] 各種充電需求
[1177.44-1183.44] 那另外這個軌道車輛專用的充電設備
[1183.44-1186.44] 針對軌道車輛電聯車廂
[1186.44-1188.44] 廣大的太舊換新的需求
[1188.44-1192.44] 那亞力是國內獨家開發成功的廠商
[1192.44-1194.44] 那這個部分
[1194.44-1197.44] 這個是放在那個車廂
[1197.44-1199.44] 一般是放在前
[1199.44-1201.44] 最前面或最後面
[1201.44-1204.44] 它有一個蠻大的東西
[1204.44-1206.44] 這個就是它
[1207.44-1209.44] 叫做充電器
[1209.44-1211.44] 那這個部分它就是提供
[1211.44-1216.44] 整個車廂裡面的空調還有照明
[1216.44-1221.44] 那這個我們已經提供給台鐵捷運
[1221.44-1223.44] 還有上海
[1223.44-1225.44] 提供給上海城際列車
[1225.44-1229.44] 大概已經超過3000台的出貨量
[1229.44-1232.44] 政府在積極推動軌道建設的政策下
[1232.44-1235.44] 未來台鐵的車廂太舊換新需求
[1235.44-1237.44] 也是成長可期
[1237.44-1240.44] 各位如果有坐火車也會發現
[1240.44-1243.44] 其實它現在新的車廂也越來越多
[1243.44-1246.44] 那領域五的話
[1246.44-1248.44] 這個部分就是
[1248.44-1253.44] 智慧電網是未來電力市場的發展趨勢
[1253.44-1255.44] 那其實我們公司其實
[1255.44-1257.44] 早在20年前
[1257.44-1261.44] 就開始就是投入這一塊
[1261.44-1263.44] 那這個部分
[1263.44-1265.44] 整個電網智慧化以後
[1265.44-1266.44] 就是
[1266.44-1268.44] 它其實如果遇到一些
[1268.44-1269.44] 突發狀況
[1269.44-1271.44] 它可以自行偵測
[1271.44-1272.44] 隔離
[1272.44-1274.44] 然後保護
[1274.44-1276.44] 就是自動把它 shut down
[1276.44-1280.44] 然後等到它狀況過了以後
[1280.44-1281.44] 比如說地震
[1281.44-1282.44] 它震了一下
[1282.44-1285.44] 那它會啟動一些自動保護
[1285.44-1286.44] 那等到地震過後
[1286.44-1290.44] 它會自動重置復電
[1290.44-1293.44] 所以整個電力監控系統
[1293.44-1296.44] 就是可以在比較無人化的狀況
[1296.44-1298.44] 可以去做監控
[1298.44-1300.44] 只要它有中控中心
[1300.44-1301.44] 就可以做
[1301.44-1303.44] 那這個部分是
[1303.44-1305.44] 我們算投入蠻多的
[1305.44-1307.44] 其實我們公司大概也有
[1307.44-1309.44] 四五十個研發人員
[1309.44-1313.44] 就是在做一些
[1313.44-1316.44] 智慧化的一些開發
[1319.44-1323.44] 那近幾年的營收
[1323.44-1325.44] 那2023年算是
[1325.44-1327.44] 營收的最高峰
[1327.44-1329.44] 那主要那一年第四季
[1329.44-1332.44] 有一個電電新加坡的建廠
[1332.44-1334.44] 那那個案子蠻大的
[1334.44-1336.44] 對我來講
[1336.44-1339.44] 就是說差不多四五千萬美金
[1339.44-1342.44] 所以那時候入帳算是
[1342.44-1344.44] 它那個案子就是集中
[1344.44-1347.44] 第四季入的比較高一點
[1347.44-1351.44] 那當然有部分跨到2024年
[1351.44-1352.44] 但是跨到2024年
[1352.44-1354.44] 大概剩四分之一左右
[1354.44-1356.44] 那所以我們2024年
[1356.44-1359.44] 其實我們前三季跟2023年
[1359.44-1361.44] 比起來還是增加的
[1361.44-1362.44] 但是第四季
[1362.44-1365.44] 因為它去年第四季的基期比較高
[1365.44-1368.44] 所以整個算下來是88億
[1368.44-1371.44] 那其實這個部分
[1371.44-1374.44] 等一下大概也會稍微提一下
[1374.44-1376.44] 這部分差的部分主要
[1376.44-1378.44] 就是在工程收入
[1378.44-1381.44] 因為工程有一些任業比較delay
[1381.44-1383.44] 那些delay的部分
[1383.44-1384.44] 其實今年
[1384.44-1389.44] 今年的話會陸續的完工
[1389.44-1390.44] 營運概況
[1390.44-1392.44] 這個是有關獲利的部分
[1392.44-1395.44] 這個部分可能要跟各位抱歉一下
[1395.44-1398.44] 因為我們後天才開
[1398.44-1403.44] 董事會就是任業第四季的報表
[1403.44-1405.44] 所以這邊可能EPS
[1405.44-1408.44] 只能跟各位報告到前三季
[1408.44-1411.44] 前三季是2.19
[1411.44-1413.44] 大概可以稍微透露一下
[1413.44-1421.44] 就是我們獲利絕對值是比前年高一點
[1421.44-1423.44] 也就是說我們去年還是
[1423.44-1427.44] 整體獲利還是算絕對值創新高
[1427.44-1428.44] 那實際的數字
[1428.44-1430.44] 我們到時候董事會
[1430.44-1434.44] 後天董事會晚會公告
[1434.44-1435.44] 主題七
[1435.44-1436.44] 這個營運概況
[1436.44-1440.44] 那這個部分是針對前三季的最後經歷
[1440.44-1442.44] 還有毛利率做一個比較
[1442.44-1445.44] 各位可以看一下累計的部分
[1445.44-1448.44] 最後經歷是518300多萬
[1448.44-1454.44] 那2023年算是同期的話
[1454.44-1456.44] 它是47200多萬
[1456.44-1459.44] 整個年增率是23%
[1459.44-1461.44] 那毛利率的話
[1461.44-1464.44] 大約是增加兩個百分比
[1464.44-1468.44] 因為各位董事先進比較常問我的問題
[1468.44-1471.44] 就是為什麼毛利會增加
[1471.44-1473.44] 就是我整理了一下
[1473.44-1476.44] 就是主要的原因如下
[1476.44-1479.44] 就是一就是自製產品的比例居高
[1479.44-1482.44] 那工程出貨占比較去年同期下降
[1482.44-1485.44] 那其實我們自己有統計
[1485.44-1487.44] 我們整個工程
[1487.44-1491.44] 這數值大概是少了大概7億
[1491.44-1494.44] 也就是說剛好就是營收少的數字
[1494.44-1497.44] 大約是這樣
[1497.44-1501.44] 那毛利成長的第二個原因就是
[1501.44-1503.44] 就是基電器材
[1503.44-1507.44] 在我們陽梅廠新的大樓擴建之後
[1507.44-1509.44] 那它有陸續增添新設備
[1509.44-1512.44] 改善製程提高附加價值
[1512.44-1514.44] 所以毛利有逐漸提高
[1514.44-1518.44] 而且這個還在持續當中
[1518.44-1521.44] 而且這個是比較長期
[1521.44-1525.44] 然後第三是配電盤出貨到電廠的比例比較高
[1525.44-1530.44] 因為電廠它所需要做的配電盤設計跟製造比較複雜
[1531.44-1535.44] 一般它會比市面的配電板毛利還要高
[1538.44-1540.44] 那另外就是
[1540.44-1544.44] 我們所接觸的大部分都是前500大企業
[1544.44-1549.44] 然後他們各個業主在ESG推動的浪潮之下
[1549.44-1554.44] 他們對於工地的人權還有安全的要求比較高
[1554.44-1557.44] 那這個部分也有利於工程毛利的比較高
[1557.44-1560.44] 第二個是
[1560.44-1563.44] 有一些我們接到的是算軌道工程
[1563.44-1566.44] 那因為它的施工難度跟要求比較高
[1566.44-1571.44] 所以它所需的工資跟費用比較高
[1571.44-1574.44] 那所以我們的報價當然相對的高
[1574.44-1579.44] 所以這部分毛利提高也是算合理的提高
[1579.44-1581.44] 比如舉個例子就是說
[1581.44-1587.44] 比如它軌道工程一定要等到捷運或者是台鐵
[1587.44-1590.44] 他們就是不發車了
[1590.44-1596.44] 然後我們工班就在它不發車之前就要先集合好
[1596.44-1603.44] 然後等到它結束發車的時間以後
[1603.44-1605.44] 然後我們才可以開始動作
[1605.44-1610.44] 而且一定要在半夜完成所有的施工項目
[1610.44-1615.44] 然後隔天他們要發車之前一定要全部都做完
[1615.44-1620.44] 所以這個部分其實也是蠻困難的
[1620.44-1622.44] 也是蠻辛苦的
[1625.44-1630.44] 然後主題八就是未來經營方針跟發展策略
[1630.44-1632.44] 那這邊歸納就是六個重點
[1632.44-1635.44] 包括半導體市場的經營
[1635.44-1641.44] 那本公司是國內幾家半導體公司的重要供應鏈
[1641.44-1645.44] 那長期提供高低壓配電盤還有變壓器
[1645.44-1648.44] 作為半導體建廠的重要設備
[1648.44-1650.44] 那從幾年前開始
[1650.44-1658.44] 這幾家半導體公司開始就在美國新加坡日本德國等等地方擴建廠房
[1658.44-1662.44] 那因此本公司作為他們供應鏈的重要設備廠
[1662.44-1667.44] 所以自然會把配電板變壓器跟著就銷往國外
[1667.44-1672.44] 那也因此就使得本公司的外銷業績也大幅成長
[1672.44-1679.44] 那原則上我們除了新加坡整廠建置我們有派人過去
[1679.44-1682.44] 協助他做整廠建設
[1682.44-1688.44] 那其他的最大間那家半導體我們主要還是提供設備過去
[1688.44-1695.44] 因為他們那邊有當地有一些算是系統整合商會做整合
[1695.44-1699.44] 第二是AI在未來所帶來的商機
[1699.44-1707.44] 那本公司過去IDC基礎幫中華電信做了很多IDC的電電所GIS還有變壓器
[1707.44-1709.44] 累積多年的經驗
[1709.44-1713.44] 由於AI是非常耗能的產業
[1713.44-1720.44] 然後他資料運算的高速高效率需要很龐大的電能來支撐
[1720.44-1725.44] 而且他在算力運算的時候他的熱能會提高
[1725.44-1731.44] 所以這個部分也需要更多的電能就是做一些降溫的動作
[1731.44-1737.44] 所以在電能供應傳輸都需要更多的電電所GIS
[1737.44-1740.44] 還有變壓器來做保固及變壓
[1740.44-1746.44] 那這個現象會給充電業帶來另外一波的商機
[1746.44-1751.44] 那第三是強韌電網的部分
[1751.44-1759.44] 那這個部分有5645億長達10年的強韌電網計畫
[1759.44-1766.44] 那主要是有電電所GIS智慧型電路用的各種開關器材
[1766.44-1767.44] 還有趕上型電路用的各種開關器材
[1767.44-1769.44] 像是自製變壓器
[1769.44-1770.44] 同胞變電所
[1770.44-1774.44] 以及改善超高壓品質的Stake home等等
[1774.44-1776.44] 那這些計畫中的項目
[1776.44-1778.44] 本公司是都有提供
[1778.44-1782.44] 那也可以為本公司帶來成長的動能
[1782.44-1788.44] 那這個部分等一下我們業務處長還可以再做一些補充
[1788.44-1793.44] 第四是太陽能儲能
[1793.44-1796.44] 還有充電裝等等的推廣
[1797.44-1799.44] 那在儲能方面
[1799.44-1806.44] 就是我們現在有推20尺跟40尺的貨櫃
[1806.44-1809.44] 那跟知名的電池廠商做配套
[1809.44-1812.44] 未來會在國內外做銷售
[1812.44-1815.44] 第二是充電裝
[1815.44-1822.44] 目前就是有開發90 160還有240
[1822.44-1823.44] 200是也通過認證
[1823.44-1826.44] 那這一連串未來也是
[1826.44-1828.44] 有些市場上機
[1835.44-1836.44] 充電裝
[1836.44-1840.44] 這個第三點就是微電網的發展
[1840.44-1843.44] 那採用台達電的電池及儲能系統
[1843.44-1847.44] 結合自行開發的能源管理系統EMS
[1847.44-1850.44] 以及自行生產的GIOS
[1850.44-1852.44] 以及非精子變壓器
[1852.44-1855.44] 架構完善的工商型的微電網系統
[1855.44-1859.44] 並積極推展此微電網儲能系統
[1859.44-1863.44] 幫助企業做淨營看法及綠能轉型
[1863.44-1865.44] 因為各位也知道這個綠能就是
[1865.44-1868.44] 它的電源是不太穩定
[1868.44-1872.44] 而且它就是需要儲能來做搭配
[1872.44-1874.44] 那儲能再搭配微電網
[1874.44-1878.44] 就可以做一些消風填裹的一些功能
[1880.44-1881.44] 那第五是軌道
[1881.44-1883.44] 軌道剛剛也有提到
[1883.44-1884.44] 那
[1885.44-1887.44] 未來的工程量
[1887.44-1890.44] 因為其實台鐵它其實
