[0.00-14.00] OK Good afternoon everyone and welcome to the Lotus Pharmaceuticals 2024 Ernst Co.
[14.00-20.00] This is Yoling from Corporate Communication of Lotus and thank you for joining us today.
[20.00-28.00] So on today's call, we are pleased to have our CEO Petah and our group CFO Beata here with us.
[28.00-37.00] They will provide insight into a strong result we have achieved in 2024 and share updates on the progress of our team initiatives.
[37.00-50.00] So we encourage you to submit any questions you may have through the online platform and anytime you read the code, then I will read your questions to management during the Q&A session.
[50.00-57.00] So now I'd like to turn the code over to Petah who will begin with an overview of the 2024.
[57.00-58.00] Petah, please.
[58.00-72.00] Thank you and good afternoon also from me. Good afternoon to all shareholders attending the meetings as well as everyone else interested in Lotus Pharmaceuticals.
[72.00-78.00] And special thanks to our hosts from Uanta for organizing the event.
[78.00-83.00] Agenda for today we have three sections in our presentation.
[83.00-87.00] I'll start first with the business highlights for last year obviously.
[87.00-88.00] And then we will go through the business highlights for the next year.
[88.00-94.00] And then we will continue with more in depth information on the financials for 2024.
[94.00-101.00] And then I will finish presentation with the business outlook for 2025.
[101.00-105.00] And this will be followed by Q&A section.
[105.00-110.00] So starting with the business highlights for 2024.
[110.00-117.00] I'm very happy to have the opportunity to report today that Lotus has delivered amazing in case.
[117.00-122.00] Amazing results for 2024.
[122.00-128.00] So 2024 has been so far the best year in our history.
[128.00-137.00] So for the six consecutive year we have delivered double digit growth both on the top line as well as on the earnings.
[137.00-143.00] Last year in 2024 we reached out revenue of 18.6 billion US dollars which is representing 10% in real growth.
[143.00-146.00] And we have also achieved a lot of growth in the last year.
[146.00-157.00] And EPS of 19.35 which is representing 23% year on year growth.
[157.00-165.00] We have also finished year with significant amount of cash.
[165.00-172.00] 6 billion NT dollars and also a similar amount in committed borrowing capacity.
[172.00-175.00] The company is average less than 1.5 billion US dollars.
[175.00-186.00] And with a bit of margin of 40%-42% which is on the higher side for the industry compared to industry peers.
[186.00-197.00] This everything provides very strong foundation for future growth which I would like to highlight here will come not only organically through growing existing business as well as launching internally developed product but inorganically.
[197.00-199.00] And then in the next two years we will also be able to expand our business.
[199.00-201.00] So I would like to say thank you very much to all of you for your hard work.
[201.00-202.00] Thank you very much.
[202.00-203.00] Thank you very much.
[203.00-204.00] Thank you.
[205.00-206.00] We have also achieved a lot of growth in the last eight years.
[206.00-208.00] Judging from the Sciences and Water Resources analysis,
[208.00-210.00] we achieved huge growth in both management and products.
[210.00-211.00] With a lot of entries into banking applications,
[211.00-215.00] vitamins and Kindle,
[215.00-216.00] d estrements,
[216.00-217.00] paddy synthesis,
[217.00-218.00] meters,
[410.00-412.00] 从2024年到2020年
[412.00-414.00] 都看到了
[414.00-416.00] 在2024年
[416.00-418.00] 我们在2024年
[418.00-420.00] 有所增长
[420.00-422.00] 我们在2024年
[422.00-424.00] 到2028年
[424.00-426.00] 都看到了
[426.00-428.00] 所以我们是在2028年
[428.00-430.00] 进行了
[430.00-432.00] 2028年
[432.00-434.00] 我们在2028年
[434.00-436.00] 进行了
[436.00-438.00] 我们在2028年
[438.00-445.52] アズセディノーロン 和パールズ・ żyćlyp 이제变成了二年
[446.72-451.40] 2014年
[451.90-458.92] 我还想再度出色 пуville系列的一个产品
[458.92-464.82] 我们所发行的几项的进步
[464.82-466.82] 我们已经通过了一份研究
[466.82-470.82] 这是一款545bit的产品
[470.82-475.82] 目标市场是美国和全球
[475.82-479.82] 我将在下方的视频中更多介绍
[479.82-485.82] 除此之外,我们还将终于发布了Vocalsporin
[485.82-488.82] 这是一种有可能的第一次发布机会
[488.82-489.82] 是一款某个产品
[489.82-498.82] 这款产品在2月2025年发布
[498.82-504.82] 除此之外,我们已经发布了10个新项目
[504.82-507.82] 大多数是在护理学上
[507.82-511.82] 但我们还发布了3个新项目
[511.82-515.82] 一种是在医疗科学上
[515.82-518.82] 继续来看
[518.82-519.82] 我们的项目
[519.82-526.82] 我们在2024年完成的重要的项目
[526.82-531.82] 是在印度发布了印度协会的新政策
[531.82-536.82] 除了台湾
[536.82-538.82] 为什么印度?
[538.82-541.82] 这是一个很明显的答案
[541.82-548.82] 印度是世界上最好的医药业
[548.82-553.82] 特别是在医疗发展和医疗发展上
[553.82-555.82] 我们需要的就是
[555.82-558.82] 以印度的更多的集中注重
[558.82-560.82] 以我们的兴趣
[560.82-562.82] 进入更多的细节产品
[562.82-570.82] 在丰富发展、医疗发展、医疗发展、医疗发展、挑战IP的方面
[570.82-574.82] 我们确实发现我们需要更多的技能
[574.82-576.82] 更多的资源的资源
[576.82-577.82] 因此我们决定了
[577.82-579.82] 在印度发展中
[579.82-580.82] 开发这个设计中心
[580.82-582.82] 它位于海德尔巴特
[582.82-591.82] 这位置被认为是印度的最佳设计中心
[591.82-594.82] 它是在某个地方
[594.82-596.82] 在18个国家中
[596.82-599.82] 有超过200家公司的家庭
[599.82-601.82] 有些是国际的
[601.82-603.82] 例如,有多国的
[603.82-604.82] 例如,有多国的
[604.82-605.82] 例如,有多国的
[605.82-606.82] 我们的设计中心
[606.82-611.82] 有约20,000平米
[611.82-616.82] 在15个地区的地区中心
[616.82-618.82] 完全融合在一起
[618.82-620.82] 在科技业业业中
[620.82-625.82] 有些最可靠的名字
[625.82-627.82] 所以我确实相信
[627.82-629.82] 以这一步进行的
[629.82-633.82] 我们将获得更好的效率
[633.82-635.82] 更成功的设计
[635.82-636.82] 将获得更好的效率
[636.82-640.72] 因为我们将复兴豪运
[640.72-641.82] 因为我们将获得豪运
[641.82-646.82] 因为我们将复兴历史上的贡献
[646.82-648.82] 因为我们将复兴历史上的贡献
[648.82-650.82] 因为我们将获得贡献
[650.82-651.82] 因为我们将获得贡献
[651.82-652.82] 因此,我们将资源在印度
[652.82-654.82] 因此,我们将资源在印度
[654.82-656.82] 因此,我们将资源在印度
[656.82-658.82] 因此,我们将资源在印度
[658.82-659.82] 再次预示
[659.82-661.82] 下一条 Κ
[661.82-663.82] 那么在公司的进程期间
[663.82-664.82] 我们已经完成了20个合作
[664.82-670.82] 再次,我们的商业是在南部的台湾,也有转移到台湾
[670.82-674.82] 还有,我们在亚洲的AlphaTro获得了货物
[674.82-679.82] 我们之前也谈过,AlphaTro是我们最受认可的商品
[679.82-686.82] 我们在亚洲的商品公司中,也有成功获得了Sanofi的商品
[686.82-695.82] 您所知,我们在去年签署了商业,我们在今年早上结束了商业
[695.82-701.82] 所以,从Lotus的角度来说,我们的商品已经开始推出了
[701.82-708.82] 这就是一项变化的商业,对于南部和整个南东亚洲的商业
[708.82-713.82] 除此之外,我想要提出三个我们成功签署的商业
[713.82-716.82] 我们在2023年成功签署的商业
[716.82-722.82] 这三个商业是一系列的,是一个专业传播的
[722.82-725.82] 这是一系列的,是一系列的,是一个专业传播的
[725.82-742.82] LP797是第一个专业传播的
[742.82-743.82] 它是一系列的,它是一系列的
[743.82-747.82] 丰富的品牌和品牌的最高销售率
[747.82-752.82] 预测将达到全球1.2亿美元
[752.82-759.82] 在美国市场中有两三个目标
[759.82-762.82] 第二个产品是LP786
[762.82-770.82] 这是一种以ER-2- 肺癌的护理治疗
[770.82-773.82] 相似于前一期的产品
[773.82-775.82] 有可能会发生第一次发动
[775.82-776.82] 有机会发动
[776.82-778.82] 还有NC-1发动
[778.82-781.82] 预测指数的销售率
[781.82-783.82] 预测指数的销售率
[783.82-785.82] 预测指数的销售率
[785.82-788.82] 将在全球1.6亿美元达到
[788.82-791.82] 第三个产品是
[791.82-794.82] 从丰富的方式来说
[794.82-797.82] 是IGA的第一种护理治疗
[797.82-799.82] 是IGA的第一种护理治疗
[799.82-800.82] 是IGA的第一种护理治疗
[800.82-802.82] 非常具有特别的发展技术
[802.82-804.82] 非常具有特别的发展技术
[804.82-806.82] 以及辨认的公式
[806.82-811.82] 也有非常强大的可能性
[811.82-812.82] 也有非常强大的可能性
[812.82-813.82] 不仅于美国
[813.82-815.82] 也在其他市场中
[815.82-816.82] 例如在亚洲
[816.82-820.82] 美国的大型护理品
[820.82-824.82] 预测是将达到800亿美元
[824.82-827.82] 我认为这种构图的注重
[827.82-829.82] 非常重要
[829.82-835.82] 我们的目的就是与公司合作,
[835.82-840.82] 有了不同的技术和有机会,
[840.82-845.82] 或有机会使用智能的方式,
[845.82-853.82] 例如发展非侵蚀性氧化碳水化合成物。
[853.82-859.82] 这些方法让我们能够获得机会,
[859.82-862.82] 并且不限制我们的排行图选择,
[862.82-866.82] 只能够进行在家的产品选择。
[866.82-869.82] 我确实很确定,
[869.82-873.82] 将来会有更多这样的产品进行进行进行。
[876.82-878.82] 那么,我们现在进行的更新,
[878.82-882.82] 包括设定和设定的设定,
[882.82-883.82] 以及设定的设定,
[883.82-886.82] 以及设定的设定,
[886.82-889.82] 我们将在欧洲的
[889.82-892.82] PALBOTC-CLIP 和ASCIDIN-ORAL
[892.82-895.82] 和PALBOTC-CLIP 都会进行设定。
[895.82-898.82] 所以,这些设定是非常重要的。
[898.82-901.82] 我们还将在欧洲的Bozutinib,
[901.82-904.82] Aphatinib 和Quadribil 进行设定,
[904.82-907.82] 以及Ninternib 和Sovgel
[907.82-910.82] 在美国、新西兰、
[910.82-912.82] 墨西哥、新西兰和澳大利亚进行设定。
[912.82-914.82] 以及在澳大利亚进行设定。
[914.82-916.82] 所以,这些设定非常重要,
[916.82-918.82] 并且实际上是我们的承诺,
[918.82-922.82] 将高品质的产品带给
[922.82-925.82] 免费的医生。
[925.82-930.82] 我们现在也有接受
[930.82-933.82] 英国的氧化银酸胶胶胶
[933.82-935.82] 批准批准的批准,
[935.82-939.82] 也有在美国和美国的几个美国国家。
[939.82-941.82] 我们也有批准了
[941.82-943.82] 在英国、新西兰、
[943.82-946.82] 以色列和欧洲市场的氧化银酸胶胶胶批准,
[946.82-948.82] 这些批准在2025年
[948.82-950.82] 根据Python的批准下,
[950.82-952.82] 当然是在欧洲市场上的
[952.82-954.82] 批准上的推广。
[954.82-957.82] 另外,我们的主要产品,
[957.82-960.82] 在在5年内的Ninternib上
[960.82-962.82] 进行了5年的批准,
[962.82-965.82] 我们在加拿大、英国、
[965.82-968.82] 基本上所有欧洲的
[968.82-970.82] 氧化银酸胶胶批准中,
[971.82-974.82] 也在美国和美国的氧化银酸胶批准中,
[974.82-977.82] 也在美国和欧洲市场中进行了批准。
[977.82-981.82] 我继续进行更多的更新。
[981.82-984.82] 关于维持维持业务的关系,
[984.82-988.82] 我们已经举行了许多重要的
[988.82-992.82] 聘请和维持业务的公司。
[992.82-995.82] 我认为这当然是在我们的
[995.82-997.82] 增长策略上的一面,
[997.82-998.82] 我们所目前所获得的,
[998.82-1000.82] 我们将将来获得的,
[1000.82-1002.82] 但我们仍然没有实现
[1002.82-1004.82] 我们的维持业务的目的。
[1004.82-1006.82] 因此,我们已经举行了
[1006.82-1009.82] 维持业务的公司,
[1009.82-1012.82] 为了在亚洲进行
[1012.82-1015.82] 我们的业务行动。
[1015.82-1016.82] 我认为,
[1016.82-1018.82] 以我们的聘请和聘请人的
[1018.82-1020.82] 意义来说,
[1020.82-1022.82] 我们对亚洲市场的行动
[1022.82-1024.82] 有非常强大的控制,
[1024.82-1026.82] 而且我们也认为
[1026.82-1028.82] 我们的聘请人
[1028.82-1031.82] 是有很大的机会,
[1031.82-1034.82] 也有机会将现有的产品
[1034.82-1037.82] 使用成长,
[1037.82-1040.82] 以及将新产品的生产量
[1040.82-1042.82] 提高。
[1042.82-1045.82] 同样的,
[1045.82-1047.82] 我们也决定了
[1047.82-1049.82] 聘请联合联合公司的联合联合公司,
[1049.82-1051.82] 为了帮助联合公司
[1051.82-1053.82] 在产品市场的发展、
[1053.82-1056.82] 质量和购买性的发展,
[1056.82-1058.82] 并且帮助联合公司的购买性。
[1058.82-1060.82] 这些都是在任何药物公司的
[1060.82-1062.82] 价值链上的重要联合公司的
[1062.82-1064.82] 联合公司的重要联合公司。
[1064.82-1066.82] 就像我们的联合公司的
[1066.82-1068.82] 联合公司的联合公司,
[1068.82-1070.82] 我们也领导了一个非常强大的
[1070.82-1072.82] 联合公司的联合公司,
[1072.82-1074.82] 他背后有很强大的
[1074.82-1076.82] 联合公司的联合公司的
[1076.82-1077.82] 细节记录。
[1077.82-1079.82] 我确实确定,
[1079.82-1081.82] 这将帮助我们
[1081.82-1083.82] 在不仅是
[1083.82-1085.82] 提高联合公司的
[1085.82-1087.82] 联合公司的货币,
[1087.82-1089.82] 也提高我们的联合公司的
[1089.82-1091.82] 联合公司的货币。
[1091.82-1092.82] 最后,
[1092.82-1094.82] 我们也领导了
[1094.82-1096.82] 联合公司的总理。
[1096.82-1098.82] 这是一个重要的联合公司的
[1098.82-1100.82] 联合公司的重要联合公司。
[1100.82-1102.82] 我们相信,
[1102.82-1104.82] 在很多方面,
[1104.82-1106.82] 这就是我们对联合公司的
[1106.82-1108.82] 成长和成长的一部分。
[1108.82-1109.82] 尤其是现在,
[1109.82-1110.82] 我们正在进行的
[1110.82-1112.82] 联合公司的货币。
[1112.82-1113.82] 因此,
[1113.82-1114.82] 我们希望
[1114.82-1116.82] 在联合公司的
[1116.82-1118.82] 联合公司的货币上,
[1118.82-1120.82] 我们将有更多的信心,
[1120.82-1122.82] 我们将有更多的信心,
[1122.82-1124.82] 我们将有更多的信心,
[1124.82-1126.82] 能够在联合公司的货币上
[1126.82-1128.82] 决定对自己的决定,
[1128.82-1130.82] 不仅是在联合公司的货币上,
[1130.82-1131.82] 也在BD上。
[1131.82-1133.82] 我们在联合公司的货币上
[1133.82-1134.82] 投入了百多亿,
[1134.82-1136.82] 所以我想确保我们
[1136.82-1138.82] 在决定对自己的决定中
[1138.82-1140.82] 再次提高联合公司的
[1140.82-1141.82] 投资。
[1142.82-1143.82] 在货币上,
[1143.82-1145.82] 我们的货币执行
[1145.82-1147.82] 实在是很好的一年。
[1147.82-1149.82] 我们有很多
[1149.82-1151.82] 联合公司的货币检查,
[1151.82-1153.82] GMP检查,
[1153.82-1155.82] 很多的生产商,
[1155.82-1157.82] 以及我们在印度的
[1157.82-1159.82] CRO,
[1159.82-1161.82] 这些检查结果
[1161.82-1163.82] 是很好的。
[1163.82-1165.82] 包括美国FDA,
[1165.82-1167.82] 还有
[1167.82-1169.82] 韩国公司,
[1169.82-1171.82] 台湾公司,
[1171.82-1173.82] 阿尔维萨公司,
[1173.82-1175.82] 这些都是巴西公司。
[1175.82-1177.82] 我们的货币执行
[1177.82-1179.82] 实在是很好的一年。
[1179.82-1181.82] 我们的能力
[1181.82-1183.82] 和质量
[1183.82-1185.82] 都很高。
[1185.82-1187.82] 这些都是我们的
[1187.82-1189.82] 重要成功因素。
[1189.82-1191.82] 我还想
[1191.82-1193.82] 提醒大家,
[1193.82-1195.82] 我们在前一段时间
[1195.82-1197.82] 完成了
[1197.82-1199.82] Cialis的设计。
[1199.82-1201.82] 我们本来是
[1201.82-1203.82] 在短时间内
[1203.82-1205.82] 转账到
[1205.82-1207.82] 台湾的
[1207.82-1209.82] Cialis公司。
[1209.82-1211.82] 我们也在
[1211.82-1213.82] 发布更多的经济API。
[1213.82-1215.82] 我们在做这些,
[1215.82-1217.82] 我们成功了
[1217.82-1219.82] 大规模的
[1219.82-1221.82] 增长,
[1221.82-1223.82] 并且
[1223.82-1225.82] 我们的生产成本
[1225.82-1227.82] 也增长了。
[1227.82-1229.82] 最后,我们也成功了
[1229.82-1231.82] 5.2亿美元的
[1231.82-1233.82] 成本,
[1233.82-1235.82] 并且我们的
[1235.82-1237.82] 货币成本
[1237.82-1239.82] 也超过了24亿美元。
[1239.82-1241.82] 我们也做了
[1241.82-1243.82] 很大的进步
[1243.82-1245.82] 在生产性方面,
[1245.82-1247.82] 我们的MCCI ACG
[1247.82-1249.82] 率是从B3B到A3,
[1249.82-1251.82] 这实际上是
[1251.82-1253.82] 我们的执行
[1253.82-1255.82] 执行计划。
[1255.82-1257.82] 关于
[1257.82-1259.82] 业务认识,
[1259.82-1261.82] 我们是
[1261.82-1263.82] 最好的公司
[1263.82-1265.82] 在3年之后的
[1265.82-1267.82] HRH
[1267.82-1269.82] 为我们的
[1269.82-1271.82] 业务认识。
[1271.82-1273.82] 我们也被奖励为
[1273.82-1275.82] WinkedIn的
[1275.82-1277.82] 多元传媒冠军,
[1277.82-1279.82] 以及为
[1279.82-1281.82] 台湾的
[1281.82-1283.82] 2024年
[1283.82-1285.82] 传媒冠军的
[1285.82-1287.82] 传媒冠军的
[1287.82-1289.82] 和
[1289.82-1291.82] 安兹乌特曼
[1291.82-1293.82] 的
[1293.82-1295.82] 水晶胶
[1295.82-1297.82] 。
[1297.82-1299.82] 这些奖励的
[1299.82-1301.82] 显示
[1301.82-1303.82] 我们的
[1303.82-1305.82] 强大的
[1305.82-1307.82] 行业目标,
[1307.82-1309.82] 以及我们的
[1309.82-1311.82] 意图
[1311.82-1313.82] 进行
[1313.82-1315.82] 进步的
[1315.82-1317.82] 所有行业的
[1317.82-1319.82] 业务认识。
[1319.82-1321.82] 我们在
[1321.82-1323.82] 业务认识的
[1323.82-1325.82] 主要项目上
[1325.82-1327.82] 我会
[1327.82-1329.82] 提示几个
[1329.82-1331.82] 我们已经
[1331.82-1333.82] 在11个市场上
[1333.82-1335.82] 发布了11个产品
[1335.82-1337.82] ,
[1337.82-1339.82] 在下半年
[1339.82-1341.82] 将会发布15个产品。
[1341.82-1343.82] 正如我所说,
[1343.82-1345.82] 我们已经在
[1345.82-1347.82] 在英国发布了
[1347.82-1349.82] 我们的
[1349.82-1351.82] 合同
[1351.82-1353.82] ,
[1353.82-1355.82] 但是这仍然是
[1355.82-1357.82] 目标,
[1357.82-1359.82] 这是一个
[1359.82-1361.82] 进步的工作。
[1361.82-1363.82] 我们准备了
[1363.82-1365.82] 发布的
[1365.82-1367.82] 产品,
[1367.82-1369.82] 我们已经发布了
[1369.82-1371.82] 5个市场,
[1371.82-1373.82] 我们已经
[1373.82-1375.82] 在
[1375.82-1377.82] 在英国发布的产品,
[1377.82-1379.82] 还有几个市场。
[1379.82-1381.82] NIPTED&NIP
[1381.82-1383.82] 将会是我们最大的
[1383.82-1385.82] 5年期的产品发布,
[1385.82-1387.82] 我们从
[1387.82-1389.82] 内部发展,
[1389.82-1391.82] 所以我们基本上有
[1391.82-1393.82] 全球的产品,
[1393.82-1395.82] 与伙伴,
[1395.82-1397.82] 并且我们将
[1397.82-1399.82] 准备了
[1399.82-1401.82] 这次的产品发布。
[1401.82-1403.82] 我们将在
[1403.82-1405.82] 英国发布的产品
[1405.82-1407.82] 与
[1407.82-1409.82] 英国的
[1409.82-1411.82] 产品
[1411.82-1413.82] 与
[1413.82-1415.82] 英国的产品
[1415.82-1417.82] 与
[1417.82-1419.82] 英国的产品
[1419.82-1421.82] 与
[1421.82-1423.82] 英国的
[1423.82-1425.82] 产品
[1425.82-1427.82] 与
[1427.82-1429.82] 英国的
[1429.82-1431.82] 产品与
[1431.82-1433.82] 病毒中视力
[1433.82-1434.82] 疫情
[1434.82-1435.82] 疫情
[1435.82-1436.38] 而
[1436.38-1437.82] 疫調
[1437.82-1438.90] 对
[1438.90-1439.82] 疫情
[1439.82-1440.46] 是
[1440.46-1441.34] 疫情与
[1441.34-1441.82] 疫情的
[1441.82-1444.32] 和
[1444.32-1444.82] 疫情的
[1444.82-1446.82] 一些
[1446.82-1447.82] 医生
[1447.82-1448.82] ange
[1448.82-1449.82] 感到
[1449.82-1450.82] 家乡
[1450.82-1451.82] 有一些
[1451.82-1452.82] 它的
[1452.82-1453.82] 其 때�
[1453.82-1454.82] 哐
[1454.82-1455.82] morning
[1455.82-1456.82] 早
[1456.82-1457.82] 那
[1457.82-1458.82] 我们
[1458.82-1459.42] 是
[1459.82-1466.82] 所以,我将给您更多的详细在稍后的视频中提供的声音
[1466.82-1496.80] 您可以在视频中提供的声音
[1496.82-1506.56] 如果您在右边看,这些产品的大部分是38%的第一次机会,这比较高
[1506.56-1517.28] 我们现在也加入了一些545B2产品,所以它们是我们的8%的内部线路
[1517.28-1526.80] 而剩余的产品在第一天的开发中适合开发,也就是在重要市场上的税务消息
[1526.80-1531.64] 接下来
[1531.64-1544.44] 当它来到商业发展的时候
[1544.44-1551.32] 我们的集中焦点就像我们在我们的前面的会议中谈到的
[1551.32-1555.48] 就是将新产品带进亚洲市场
[1555.48-1556.78] 所以我们在目标上
[1586.78-1592.34] 我们将投资在早期的产品,例如第一阶段或第二阶段的产品
[1592.34-1595.14] 以便它们有一个证实的概念
[1595.14-1602.74] 这里的主要的治疗方案是我们有很多的专业健康生活方式
[1602.74-1606.60] 当然,健康是很重要的
[1606.60-1613.50] 我们也有专业健康与技术方案的课程
[1613.50-1616.62] 综合来说,这些产品的成本是非常重要的
[1616.62-1618.62] 我们也有专业健康与技术方案的课程
[1618.62-1622.62] 我们也有专业健康与技术方案的课程
[1622.62-1628.62] 所以我们很兴奋地将这些专业健康与技术方案的构图进行
[1628.62-1630.62] 这些产品的成本是非常重要的
[1630.62-1635.62] 以此为止,我将把时间转到比亚图去看金融结果
[1635.62-1640.62] 好的,非常感谢你,Peta
[1640.62-1641.62] 早上好
[1641.62-1643.62] 让我先开始介绍我们的表现
[1643.62-1644.62] 让我先开始介绍我们的表现
[1644.62-1645.62] 让我先开始介绍我们的表现
[1645.62-1648.62] 在2024年
[1648.62-1653.62] 再一次,Lotus发表了自己的承诺
[1653.62-1660.62] 在承诺我们执行专业的计划中
[1660.62-1668.62] 在一年内,我们在国际收入中加了大概1.6亿台湾元
[1668.62-1672.62] 在一年内,我们在国际收入中加了大概1.6亿台湾元
[1672.62-1675.62] 在一年内,我们在国际收入中加了大概1.6亿台湾元
[1675.62-1678.62] 这将进入了最后一段的分析
[1678.62-1679.62] 这将进入了最后一段的分析
[1679.62-1683.62] 总领域的利润在16%增长
[1683.62-1686.62] 比2023年达到10.9亿台湾元
[1686.62-1689.62] 比2023年达到10.9亿台湾元
[1689.62-1690.62] 比2023年达到10.9亿台湾元
[1690.62-1695.62] 总领域的利润率为58.8%
