[0.00-5.44] 各位福祉先進以及法人朋友們 大家午安
[5.44-9.92] 今天非常榮幸邀請開曼美食達人股份有限公司
[369.00-372.00] 大陸市場的門店分布的話
[372.00-376.00] 從第四季仍然持續的關閉一些
[376.00-379.00] 獲利不佳甚至是虧損的門市
[379.00-382.00] 電數從第三季去年9月底的469間的門店
[382.00-385.00] 從第三季去年9月底的469間的門店
[385.00-388.00] 下降到去年年底的460間
[388.00-391.00] 也就是說在最後三個月門市減少了9間
[391.00-396.00] 如果從2024年全年度的角度來分析
[396.00-398.00] 前三個季度
[398.00-399.00] 前三個季度
[399.00-400.00] 前三個季度
[400.00-401.00] 前三個季度
[401.00-402.00] 前三個季度
[402.00-403.00] 前三個季度
[403.00-404.00] 前三個季度
[404.00-405.00] 前三個季度
[405.00-406.00] 前三個季度
[406.00-407.00] 前三個季度
[407.00-408.00] 前三個季度
[408.00-409.00] 前三個季度
[409.00-410.00] 前三個季度
[410.00-411.00] 前三個季度
[411.00-413.00] 相較之下第四季
[413.00-417.00] 單季減少門市的數目來到了個位數的9間
[417.00-420.00] 我們認為已經比較接近門市調整的一層
[420.00-425.00] 在2024年最後的季度比較接近門市調整的一層
[425.00-427.00] 至於剛才也有提到的
[427.00-428.00] 一個很重要的
[428.00-430.00] 同電的成長或衰退
[430.00-433.00] 同電銷售的成長或衰退
[433.00-434.00] 從去年下半年
[434.00-435.00] 從去年下半年
[435.00-438.00] 2024年下半年開始我們看到的轉折
[438.00-440.00] 從最差的7月份
[440.00-442.00] 接近高雙位數的衰退
[442.00-444.00] 一路進步到今年1、2月
[444.00-446.00] 接近中個位數的衰退
[446.00-451.00] 過程中主要改善的來源
[451.00-452.00] 還是我們三大比相中
[452.00-454.00] 麵包的銷售
[454.00-456.00] 主要是透過麵包銷售的提升
[456.00-458.00] 來帶動加以合併
[458.00-463.00] 收入大陸同電銷售下滑的改善
[463.00-464.00] 那接下來的季度
[464.00-465.00] 2025年接下來的季度
[465.00-469.00] 公司除了持續去落實提升麵包品質
[469.00-472.00] 還有價格的策略主軸之外
[472.00-474.00] 也會同步的優化
[474.00-477.00] 我們的蛋糕品項在能市層面
[477.00-481.00] 它的陳列、市值等等的細節
[481.00-483.00] 還有麵銷等等的細節
[483.00-486.00] 目標當然是希望在這樣一個環境下
[486.00-488.00] 我們的蛋糕銷售
[488.00-491.00] 蛋糕銷售也能跟隨我們麵包銷售的腳步
[491.00-495.00] 回到貢獻年增的行列
[495.00-497.00] 目前我們還是只有看到
[497.00-499.00] 麵包是正經的行列
[499.00-501.00] 但蛋糕跟品項
[501.00-503.00] 它同電的表現是衰退的
[503.00-504.00] 所以我們希望
[504.00-506.00] 第二波以後就是看到
[506.00-510.00] 蛋糕在2025年的大陸
[510.00-512.00] 也早日回到完完正正常
[512.00-514.00] 同電比較優越出口
[517.00-520.00] 如果是美國市場的話
[520.00-523.00] 我們從這樣一個柱段圖可以看到
[523.00-525.00] 從2014年到2024年
[525.00-527.00] 過去10年成長是十分的顯著
[527.00-529.00] 當然中間遇到了
[529.00-532.00] 2025年的疫情的一個干擾
[532.00-534.00] 在2014年的時候
[534.00-535.00] 當時我們年底結束
[535.00-537.00] 只有14間的粉絲都在加州
[537.00-538.00] 14間的
[538.00-540.00] 現在來到2024年底
[540.00-542.00] 我們版圖人掛了8個週
[542.00-545.00] 門市數目超過80間
[545.00-548.00] 以及營收超過美金2億5千萬
[548.00-551.00] 營收超過美金2億5千萬
[551.00-555.00] 85度C成功的打入當地的市場
[555.00-557.00] 展望今年2025年
[557.00-559.00] 還有明年2026年
[559.00-563.00] 公司的目標是維持加速的開店
[563.00-565.00] 開店要加速
[565.00-567.00] 將結合台灣美食文化
[567.00-569.00] 以及當地風味的產品
[569.00-571.00] 帶給全美國更多更多的消費者
[576.00-580.00] 今年2025年公司門市在美國
[580.00-584.00] 門市數目的成長目標是低雙位數
[584.00-587.00] 低雙位數也就是11間以上
[587.00-592.00] 1月我們已經盛大開幕了2間門市
[592.00-597.00] 所以美國門市數目從去年底的79
[597.00-599.00] 來到目前的81
[599.00-602.00] 我們可以比較一下
[602.00-604.00] 如果各位先進參考
[604.00-605.00] 手邊的一些資訊
[605.00-609.00] 過去3年2022年2023年2024年
[609.00-614.00] 3年間80度C美國的門市數量
[614.00-616.00] 從66成長到79
[616.00-618.00] 過去3年總共66成長到79
[618.00-620.00] 也就是13.5
[620.00-622.00] 那反觀2025年或2026年
[622.00-624.00] 今年或明年
[624.00-625.00] 單一年度
[625.00-629.00] 單一年度我們公司希望能看到門市的增加數目
[629.00-631.00] 就有可能是過去3年總和
[631.00-633.00] 所以這是我們上一個朋友說的
[633.00-635.00] 所謂加速的概念是怎樣
[640.00-643.00] 這裡有兩張照片就是我們今年1月
[643.00-645.00] 盛大開幕的紐約市
[646.00-648.00] 左邊是我們紐約市Flush
[648.00-650.00] 那右邊是我們紐澤西州
[650.00-651.00] 兩間東南
[651.00-653.00] 東南的第一間跟第二間門市
[653.00-656.00] 兩間門市在2024年12月
[656.00-658.00] 也就是去年12月就試營業
[658.00-661.00] 那今年1月前後盛大開幕
[661.00-664.00] 那東南的第三間門市
[664.00-666.00] 目前也已經在儲備中
[666.00-668.00] 確定今年會開出來
[668.00-670.00] 在市場的拓展方面來講
[670.00-672.00] 我們看到的門市是
[672.00-674.00] 我們看到的門市是
[674.00-676.00] 在市場的拓展方面
[676.00-678.00] 在市場的拓展方面
[678.00-679.00] 今年以及明年
[679.00-682.00] 在一個渴望開出超過20間的門市當中
[682.00-684.00] 有比較高的機會
[684.00-690.00] 大概超過一半以上會來自西岸以外的市場
[690.00-692.00] 這為什麼呼應公司
[692.00-694.00] 我們觀察到當地的團隊所觀察到
[694.00-696.00] 來自各個州
[696.00-698.00] 很多不同城市
[698.00-700.00] 甚至不同族裔的消費需求
[704.00-706.00] 公司認為
[706.00-708.00] 公司認為
[708.00-710.00] 我們所觀察到的強勁的需求的背後
[710.00-712.00] 其實原因無他
[712.00-714.00] 在於品牌明確的定位
[714.00-716.00] 還有
[716.00-718.00] 我們在這樣一個這幾年來
[718.00-720.00] 物價居高不下的環境當中
[720.00-722.00] 85度C
[722.00-724.00] 在當地維持十分具有競爭力的價格
[724.00-726.00] 在當地維持十分具有競爭力的價格
[726.00-728.00] 同時相較當地其他
[728.00-730.00] 當然有種烘焙業者的同業
[730.00-732.00] 當然有種烘焙業者的同業
[732.00-733.00] 85度C的產品線
[733.00-735.00] 更多元
[735.00-737.00] 質量以及行品的研發
[737.00-739.00] 質量以及行品的研發
[739.00-741.00] 我們認為也更具競爭力
[741.00-743.00] 以2024年的第四季
[743.00-745.00] 最後三個月為例
[745.00-747.00] 以當地貨幣計價的話
[747.00-749.00] 麵包 西點 以及飲料事業
[749.00-751.00] 麵包 西點 以及飲料事業
[751.00-753.00] 都有十分可觀的年增
[753.00-755.00] 麵包還有西點
[755.00-757.00] 它的年增率
[757.00-759.00] 比第三季加速
[759.00-761.00] 來到了低少為主
[761.00-763.00] 低少為主 高達為主
[763.00-765.00] 飲料事業成長幅度
[765.00-767.00] 更來到了
[767.00-769.00] IWH 飲料事業的
[769.00-771.00] 空間的高
[771.00-773.00] 來到高商會主的成長
[773.00-775.00] 來到台灣市場
[775.00-777.00] 來到台灣市場
[777.00-779.00] 來到台灣市場
[779.00-781.00] 2024年整年度
[781.00-783.00] 2024年整年度
[783.00-785.00] 公司持續在台灣各地
[785.00-787.00] 公司持續在台灣各地
[787.00-789.00] 推出新型態的職營
[789.00-791.00] 還有加盟名稱
[791.00-793.00] 總數超過30間
[793.00-795.00] 推出新型態的職營
[795.00-797.00] 包括加盟名稱
[797.00-799.00] 今年當然公司目標要持續加速
[799.00-801.00] 今年當然公司目標要持續加速
[801.00-803.00] 希望能夠看到
[803.00-805.00] 希望能夠看到
[805.00-807.00] 2024年有更多職營還有加盟名稱
[807.00-809.00] 以全新的型態來切入市場
[809.00-811.00] 服務各地消費者
[811.00-813.00] 如同過去一年來
[813.00-815.00] 如同過去一年來
[815.00-817.00] 多次馬來洲命會的報告
[817.00-819.00] 主軸還是透過麵包品項的強化
[819.00-821.00] 在台灣發出的主軸
[821.00-823.00] 主軸還是透過麵包品項的強化
[823.00-825.00] 主軸還是透過麵包品項的強化
[825.00-827.00] 提升萊克數
[827.00-829.00] 因此萊克數的提升好處
[829.00-831.00] 因此萊克數的提升好處
[831.00-833.00] 不只出現在麵包銷售額的提升
[833.00-835.00] 連蛋糕以及飲料
[835.00-837.00] 連蛋糕以及飲料
[837.00-839.00] 大部分的時間我都看到
[839.00-841.00] 新型態的PSD有改善
[841.00-843.00] 新型態的PSD有改善
[843.00-845.00] PSD就是我們所謂的
[845.00-847.00] 單件單日的銷售額
[847.00-849.00] 所以今年以及明年
[849.00-851.00] 台灣團隊能夠提升
[851.00-853.00] 將全力推動新型態人士的增加
[853.00-855.00] 將全力推動新型態人士的增加
[855.00-857.00] 讓我們也有幸經驗達成
[857.00-859.00] 以上是今天的報告
[859.00-861.00] 謝謝各位先進的時間
[861.00-863.00] 接下來我們請股票證券的朋友安排今天聚會
[863.00-865.00] 接下來我們請股票證券的朋友安排今天聚會
[865.00-867.00] 接下來我們請股票證券的朋友安排今天聚會
[867.00-869.00] 副總副理好
[869.00-871.00] 我們知道美國跟中國為我們兩大主要市場
[871.00-873.00] 我們知道美國跟中國為我們兩大主要市場
[873.00-875.00] 可以請問2024年年底的電數
[875.00-877.00] 可以請問2024年年底的電數
[877.00-879.00] 及2025年的電數的展望嗎
[879.00-881.00] 再麻煩謝謝
[881.00-883.00] 謝謝投資先進的問題
[883.00-885.00] 謝謝投資先進的問題
[885.00-887.00] 從2024年兩大市場的電數來報告
[887.00-889.00] 從2024年兩大市場的電數來報告
[889.00-891.00] 大陸
[891.00-893.00] 大陸2024年結束是大約在460天
[893.00-895.00] 大陸2024年結束是大約在460天
[895.00-897.00] 大陸2024年結束是大約在460天
[897.00-899.00] 如果是展望2025年年底
[899.00-901.00] 如果是展望2025年年底
[901.00-903.00] 當然還是有一些變數
[903.00-905.00] 但是從公司目前看到的
[905.00-907.00] 大陸經營環境的一些變化
[907.00-909.00] 大陸經營環境的一些變化
[909.00-911.00] 還有同業的一些消長還有公司自己
[911.00-913.00] 還有公司自己的策略的落實
[913.00-915.00] 我們認為比較大的機會
[915.00-917.00] 比較大的機會2025年結束
[917.00-919.00] 大陸市場的電數
[919.00-921.00] 有可能跟現在
[921.00-923.00] 460天相去不明
[923.00-925.00] 相去不明
[925.00-927.00] 或許有高有低
[927.00-929.00] 但是我們認為目前的看法來說
[929.00-931.00] 比較大的機會是電話不會來到
[931.00-933.00] 比較大的機會是電話不會來到
[933.00-935.00] 我們2025年整年度的大陸主軸
[935.00-937.00] 還是在於提升
[937.00-939.00] 單電營收的上升
[939.00-941.00] 還是在於提升
[941.00-943.00] 我們剛才說的第一個希望
[943.00-945.00] 電包持續的供電正成長
[945.00-947.00] 蛋糕盡快回到正成長
[947.00-949.00] 蛋糕盡快回到正成長
[949.00-951.00] 只要我們能做到單電營收
[951.00-953.00] 只要我們能做到單電營收
[953.00-955.00] 在2025年回到一個比較接近
[955.00-957.00] 年增的表現
[957.00-959.00] 我們認為
[959.00-961.00] 與其去著重在
[961.00-963.00] 競爭的環境
[963.00-965.00] 還有一個消費遲鈍的情況下
[965.00-967.00] 多度的著重在電數的增加
[967.00-969.00] 不如先放在單電營收
[969.00-971.00] 以及獲利的改善
[971.00-973.00] 以上就是我回答的
[973.00-975.00] 大陸市場2024年還有2025年的電數方向
[975.00-977.00] 還有一個電數方向
[977.00-979.00] 如果是成長最快的美國市場
[979.00-981.00] 2024年結束
[981.00-983.00] 我先不考慮
[983.00-985.00] 12月市營運的兩間的話
[985.00-987.00] 電數是79
[987.00-989.00] 來到
[989.00-991.00] 2025年1月
[991.00-993.00] 我們很高興看到東岸市場
[993.00-995.00] 先後開出了兩間
[995.00-997.00] 盛大開幕的新聞市
[997.00-999.00] 電數來到81
[999.00-1001.00] 我們很承認
[1001.00-1003.00] 我們很維持
[1003.00-1005.00] 希望看到開電數
[1005.00-1007.00] 明確的比過去三年來的增加
[1007.00-1009.00] 也就是能夠標準
[1009.00-1011.00] 至少11家或以上的電池
[1011.00-1013.00] 所以2025年結束
[1013.00-1015.00] 很有機會
[1015.00-1017.00] 美國80度級的電視數
[1017.00-1019.00] 會超過90
[1019.00-1021.00] 會超過90
[1021.00-1023.00] 謝謝
[1023.00-1025.00] 感謝公司管理階層
[1025.00-1027.00] 詳細的說明與分享
[1027.00-1029.00] 今天的晚安說明會到此結束
[1029.00-1031.00] 謝謝大家
