[0.00-2.28] 女士先生,大家午安
[179.72-181.72] EPS是0.07
[181.72-188.72] 那接下来看到过去三年的足迹的情况
[188.72-195.72] 第一季的营收跟去年的第一季比的话大概是成长4.8
[195.72-203.72] 那另外跟去年的第四季2.26以来比的话呢
[203.72-205.72] QOQ也是大概增加了3.3个百分点
[205.72-207.72] 所以营业费用的收入是增加了3.3个百分点
[207.72-214.72] 营收这个部分基本上还是算是维持比较稳定的情况
[214.72-217.72] 毛利的部分第一季的毛利率38.84
[217.72-220.72] 仍然维持在38到39左右的高档
[220.72-225.72] 跟去年同期比的话大概略微上升了0.64个百分点
[225.72-229.72] 那跟去年的第四季来比的话下降了大约0.4个百分点
[229.72-235.72] 但是整体来讲大概还是维持在38到39%的一个高水准
[235.72-237.72] 营业利益的部分呢
[237.72-239.72] 是衰退的幅度
[239.72-243.72] 是跟去年的同期以及去年的第四季来比的
[243.72-245.72] 大约是衰退的情况
[245.72-253.72] 税后净利益也是呈现的YY跟QOQ下滑的情况
[253.72-256.72] 那整个第一季的一个情况来看的话
[256.72-260.72] 营收是整体来讲做一个结论的营收大概是微幅增长
[260.72-264.72] 毛利率大概是维持持平到小幅的增加
[264.72-266.72] 但是因为费用的金额比较高
[266.72-272.72] 所以再加上业外的收入是减少的
[272.72-276.72] 所以营业利益还有税后净利益较去年同期是衰退的
[276.72-282.72] 另外接下来看到整个财务状况的部分
[282.72-284.72] 用资产负债表这边来看
[284.72-290.72] 今年第一季合并的总资产是36.73亿
[290.72-294.72] 那在流动资产的部分呢
[294.72-297.72] 占比大概是51.3
[297.72-300.72] 其中现金的水位是15.5亿
[300.72-304.72] 跟去年同期和去年底来看的话
[304.72-306.72] 现金是持续增加的
[306.72-308.72] 占资产盈利达到42%
[308.72-310.72] 那在营收涨反的部分
[310.72-315.72] 第一季的季末的营收涨反是1.06亿
[315.72-317.72] 跟去年的年底略微上升
[317.72-320.72] 主要是因为3月的输入增加
[320.72-322.72] 所以跟营收同步成长
[322.72-323.72] 所以营收涨反略微上升了
[324.72-327.72] 但是看到一个比较好的情况
[327.72-329.72] 就是存货的部分
[329.72-331.72] 第一季的存货库存金额
[331.72-333.72] 金额持续下降
[333.72-336.72] 呈现越来越健康的一个情况
[336.72-337.72] 水位剩下1.05亿
[337.72-342.72] 跟去年的第一季1.45亿来比
[342.72-343.72] 减少了4000万
[343.72-345.72] 减少了27个%
[345.72-347.72] 跟去年底的1.3亿
[347.72-350.72] 也可以看到存货持续在这种低的情况
[352.72-353.72] 股东权益
[353.72-356.72] 第一季的股東權益31.5億
[356.72-359.72] 美股的淨值是14.2
[359.72-364.72] 跟去年同期幾年底是看到持續上升的情況
[366.72-371.72] 所以如果我們用財務韌性的指標來看的話
[371.72-375.72] 盈運動能毛利率這邊是改善的
[375.72-378.72] 獲利這邊是比較穩定
[378.72-382.72] 大概跟去年比較的話是有下滑的
[382.72-384.72] 但是庫存的水位這邊
[384.72-389.72] 跟去年的同期來比是下降了4000萬
[389.72-392.72] 下降達到27.85%
[392.72-395.72] 另外在負債比跟短期流動能力這邊
[395.72-397.72] 都呈現一個很好的情況
[397.72-399.72] 負債比例是只有13.2
[399.72-403.72] 流動比例跟速動比例都是呈現一個強勁的水準
[403.72-407.72] 現金流量這邊是屬於健康的
[407.72-409.72] 美股現金是達到7塊錢
[409.72-411.72] 所以這邊是一個
[411.72-412.72] 主要的
[412.72-415.72] 過去三年以及第一季
[415.72-420.72] 用資本結構流動性經營效能的獲利能力
[420.72-422.72] 及現金流量來做一個比較
[422.72-425.72] 那特別這邊除了負債比例有下降
[425.72-428.72] 流動比例速動比例是提升
[428.72-432.72] 那另外可以看到整個帳款的回收維持在大概40天左右
[432.72-437.72] 但是庫存的去化可以看到越來越健康
[437.72-440.72] 我們已經從三年前要142天到現在
[440.72-441.72] 第一季的話
[441.72-446.72] 庫存大概剩下75天的一個水位是相當低的
[446.72-450.72] 那另外整個營運週期也是往下降的
[453.72-455.72] 在銷售的這個部分
[455.72-459.72] 今年第一季的整個銷售的區域這邊來看的話
[459.72-461.72] 以拉鷹美洲為主
[461.72-464.72] 在合併營收2034年裡面
[464.72-468.72] 拉鷹美洲的一個佔比達到36.6
[468.72-470.72] 那這邊特別強調的是拉鷹美洲
[470.72-475.72] 目前我們的銷貨主要是在美洲部分是墨西哥跟中南美洲
[475.72-479.72] 在美國這邊是沒有幾乎沒有銷售的
[479.72-485.72] 所以這邊對於美國關稅的政策基本上是沒有什麼直接的影響
[485.72-489.72] 那在亞洲的部分佔比是佔到35.7
[489.72-493.72] 那歐洲的銷售佔比是24.5
[495.72-498.72] 那在昆雲這邊的核心技術有四個部分
[498.72-500.72] 第一個是在輸入裝置的一個部分
[500.72-501.72] 就是核心技術
[501.72-508.72] 所以我們這邊開發出了滑鼠鍵盤還有手寫輸入版的產品
[508.72-514.72] 在影像部分的一個核心技術相關的產品是網路相機跟行車記錄器
[514.72-519.72] 聲音輸出的產品是喇叭耳機麥克風關聯的產品
[519.72-522.72] 那另外我們這邊有
[522.72-527.72] 昆雲這邊享有藍牙跟無線雙模的技術
[527.72-529.72] 所以我們也利用這樣的技術
[529.72-531.72] 來開發出一系列的雙模的產品
[531.72-533.72] 等一下後面會介紹
[534.72-536.72] 今年度的產品佈局
[536.72-544.72] 我們這邊focus的是在有一個重點是2C-EBEA
[544.72-548.72] 那2C-EBEA的2C第一個是Copilot的產品
[548.72-552.72] 那所謂Copilot的產品就是AI的周邊
[552.72-557.72] 所以我們在今年幾乎是只要上市的產品
[557.72-558.72] 滑鼠鍵盤還有手寫輸入版的產品
[559.72-561.72] 還有耳機的部分
[561.72-563.72] 我們都會有一個Copilot鍵
[563.72-570.72] 然後讓產品這邊使用者可以很快的連接到微軟最新的Copilot的功能
[570.72-575.72] 那另外USB-C相關的產品
[575.72-578.72] 是屬於我們今年開發的第二個重點
[578.72-580.72] 是在2C的部分
[580.72-582.72] 那在A的部分
[582.72-587.72] 今年會推出一系列的Audio方面的喇叭的產品
[587.72-589.72] 所以這是今年的一個主要的產品
[589.72-596.72] 希望能夠增加我們喇叭的在營收方面的貢獻
[596.72-599.72] 那另外Bluetooth的相關的產品
[599.72-603.72] 無論在滑鼠鍵盤喇叭耳機這邊
[603.72-606.72] 我們有推出藍牙的產品
[606.72-610.72] 還有就是藍牙加上2.4G雙模的產品在這個部分
[610.72-613.72] 所以今年的一個新產品佈局主軸
[613.72-617.72] 會大概都圍繞在這四個重點上面
[619.72-622.72] 那首先是滑鼠的部分
[622.72-624.72] 那滑鼠的部分
[624.72-626.72] 我們這邊的一個設計
[626.72-628.72] 昆雲這邊設計的理念有五個
[628.72-631.72] 第一個是微笑設計
[631.72-633.72] 所以在產品這邊
[633.72-636.72] 我們這邊都有一個微笑的符號在這邊
[636.72-640.72] 那這個是希望帶來使用者一個很樂觀
[640.72-644.72] 很正面的一個快樂的感覺
[644.72-647.72] 那第二個是雙模的設計
[647.72-648.72] 所以
[649.72-653.72] 產品這邊導入了2.4G
[653.72-658.72] 加上或者是藍牙一個雙模的裝置在這邊
[658.72-665.72] 因為我們知道現在電腦的接頭其實是蠻有限的
[665.72-668.72] 所以有時候這個接頭被佔用了
[668.72-671.72] 那有時候可以使用的是2.4G需要一個幫手
[671.72-673.72] 需要一個接收器
[673.72-676.72] 那如果是藍牙的話可以直接連到電腦裝置
[676.72-679.72] 所以我們的產品都導入了一個雙模的設計
[679.72-681.72] 那第三個呢
[681.72-685.72] 是現在強調是ESG永續發展
[685.72-687.72] 所以我們這邊的產品呢
[687.72-691.72] 有推出了蠻多系列的rechargeable
[691.72-694.72] 可充電式的滑鼠
[694.72-698.72] 換句話說可以省去了這個非電池對於環境的污染
[698.72-702.72] 所以它是一個環保節能的一個設計在這邊
[702.72-704.72] 那當然所有的產品呢
[704.72-708.72] 我們都會導入一個AI的Copilot的鍵
[708.72-714.72] 所以大主軸就是今年的滑鼠是AI系列的滑鼠
[714.72-716.72] 另外加上不同的元素
[716.72-719.72] 當然這個就好像是一個套餐這樣
[719.72-723.72] 使用者如果今天想要買的滑鼠呢
[723.72-726.72] 是屬於雙模的加上環保
[726.72-731.72] 他就可以找到有雙模和環保功能的滑鼠在裡面
[731.72-736.72] 那另外當然我們考慮到使用者他長時間的使用
[736.72-737.72] 可能會有一個電腦的產品呢
[738.72-741.72] 可能會造成一些手部的不適或傷害
[741.72-744.72] 所以我們有推出的人體工學的滑鼠
[744.72-746.72] 還有直立式的滑鼠
[746.72-749.72] 那另外呢可能在辦公室的使用
[749.72-754.72] 希望能夠不要有太多的一個噪音
[754.72-758.72] 所以呢我們有Silence就是安靜的滑鼠
[758.72-761.72] 就是設計在裡面
[761.72-763.72] 所以換句話說
[763.72-766.72] 當今天我們推出的滑鼠也許它有
[766.72-768.72] 是屬於AI滑鼠
[768.72-769.72] 但是有雙模
[769.72-772.72] 然後呢它可能有環保的功能
[772.72-776.72] 然後呢Retargeable可充電的電池
[776.72-780.72] 同時它又有人體工學設計
[780.72-781.72] 它也是靜音鼠
[781.72-784.72] 那也許有這樣子的不同的元素在裡面
[784.72-789.72] 可以使用者可以根據它的一個需要去選它想要的一個滑鼠
[789.72-792.72] 在鍵盤的部分呢
[792.72-796.72] 今年推出的目前鍵盤全部都是屬於AI的鍵盤
[796.72-797.72] 所以它都有一個AI的Copilot鍵盤呢
[798.72-802.72] 那另外呢無論是整個鍵盤的本身
[802.72-807.72] 或者是鍵盤加滑鼠都是屬於雙模的一個設計
[807.72-811.72] 那因為我們知道可能在工作的區域範圍是有限的
[811.72-814.72] 所以基本上我們可能有推出鍵盤組
[814.72-816.72] 還有鍵盤加滑鼠的一個組合
[816.72-819.72] 來讓整個使用者有不同的選擇
[821.72-822.72] 在喇叭的部分呢
[822.72-827.72] 剛剛有提到我們今天重點是2C 1A 1B
[827.72-830.72] 其中一個C就是USB-C
[830.72-833.72] 所以我們今年的推出的新款的喇叭呢
[833.72-836.72] 無論是單鍵的這個喇叭
[836.72-839.72] 它可能就是屬於
[839.72-841.72] 像這些是5瓦的喇叭
[841.72-843.72] 它可能是有藍牙
[843.72-845.72] 然後它同時呢
[845.72-846.72] 如果我們今年
[846.72-849.72] 今天如果不想用無線
[849.72-850.72] 要用有線的話
[850.72-854.72] 它也是有一個USB的一個接頭的一個裝置
[854.72-855.72] 那另外在木箱的20瓦的喇叭的部分呢
[857.72-862.72] 也都導入了藍牙的一個功能在裡面
[865.72-866.72] 耳機的部分
[866.72-869.72] 同樣的這個有藍牙的一個耳機
[869.72-871.72] 那這款耳機它可以讓
[871.72-873.72] 是辦公室使用
[873.72-874.72] 或者是遊戲
[874.72-876.72] 或者是旅行的時候
[876.72-878.72] 因為它可以長時間
[878.72-881.72] 能夠使用時間長達8個小時
[881.72-886.72] 所以這是屬於比較高階的一個藍牙的耳機
[887.72-888.72] 那另外呢
[888.72-889.72] 這一款耳機呢
[889.72-891.72] 有導入了一個AI鍵
[891.72-894.72] 所以它在會議上使用是很方便的
[894.72-896.72] 那這個是耳塞式的耳機
[896.72-898.72] 所以這是比較多款的耳機
[898.72-901.72] 也可以看到它融合了AI的功能
[901.72-904.72] 有USB的接頭的功能
[904.72-906.72] 同時它又是屬於藍牙的
[906.72-907.72] 然後也是Audio
[907.72-909.72] 所以在這裡裡面呢
[909.72-915.72] 也包含了這個2C E-AEB的元素在裡面
[915.72-917.72] 那另外在周邊的部分呢
[917.72-921.72] 這裡有這個Adapter接頭
[921.72-923.72] 還有就是充電器充電線
[923.72-928.72] 還有就是可以讓手持式的Mobile裝置
[928.72-931.72] 可以立得一個直立的Standard
[933.72-935.72] 那除了GENES產品之外
[935.72-940.72] 因為我們希望能夠創造另外一個領域
[940.72-941.72] 就是遊戲類產品
[941.72-946.72] 所以我們也主打一個GENES GAMING的GS系列
[946.72-947.72] 那這個呢
[947.72-950.72] 是屬於我們遊戲類產品專用的一個LOGO
[950.72-953.72] 那在遊戲類的產品呢
[953.72-956.72] 我們這邊是有豐富的一個產品線
[956.72-959.72] 比如說在流行的方向盤的部分
[959.72-961.72] 這個賽車方向盤呢
[961.72-966.72] 是有6段手排的一個變速箱的裝置
[966.72-970.72] 另外這邊有3個踏板
[970.72-973.72] 同時它有雙馬達的立回饋
[973.72-974.72] 那這個也讓使用者
[974.72-976.72] 他有一個賽車的感覺的一個方向盤
[977.72-978.72] 讓他有一個體驗感
[978.72-979.72] 那另外呢
[979.72-981.72] 在滑鼠的部分呢
[981.72-984.72] 我們是推出的這一系列的滑鼠呢
[984.72-986.72] 它也是AI的滑鼠
[986.72-989.72] 同時是雙模人體工學的無限滑鼠
[989.72-990.72] 那另外呢
[990.72-993.72] 使用者有時候他玩的是一個戰爭遊戲
[993.72-995.72] 它有一個特殊風格
[995.72-998.72] 所以我們有雙色有草綠色的一個滑鼠
[998.72-999.72] 它可以讓整個遊戲者
[999.72-1002.72] 更有遊戲的玩家
[1002.72-1005.72] 更有遊戲的一個臨場感
[1005.72-1006.72] 那另外
[1006.72-1008.72] 在鍵盤的部分
[1008.72-1015.72] 有機械式的背光的一個鍵盤
[1015.72-1019.72] 那另外還有RGB7色發光的鍵盤加滑鼠
[1019.72-1020.72] 茶軸的鍵盤
[1020.72-1021.72] 機械式鍵盤
[1021.72-1030.72] 還有RGB7色的鍵盤加滑鼠的一個組合
[1030.72-1033.72] 那另外耳機的部分
[1033.72-1035.72] 它可以帶來清晰的一個音效使用
[1036.72-1039.72] 這個是屬於遊戲類的產品
[1039.72-1041.72] 那另外台北電腦展
[1041.72-1044.72] 即將在5月20號23號出席
[1044.72-1047.72] 那昆明這邊的一個在展區的部分
[1047.72-1052.72] 今年的展區主要是要展示多款的AI的Copy的周邊
[1052.72-1054.72] 還有先進藍牙的設備
[1054.72-1057.72] 電競設備的USB的配件
[1057.72-1062.72] 希望能夠全面提升整個AI的周邊
[1062.72-1064.72] 能夠讓AI的PC的使用者
[1064.72-1067.72] 有更多的使用的體驗
[1067.72-1070.72] 所以今年的展區有三大體驗區
[1070.72-1073.72] 那在辦公室的區域主要的主軸
[1073.72-1080.72] 就是利用人體工學的設計去結合AI的科技
[1080.72-1085.72] 讓辦公室的使用者能夠更有效率
[1085.72-1088.72] 更舒服的來完成他的工作
[1088.72-1091.72] 所以在這個地方展示的呢
[1091.72-1094.72] 就是有辦公室的使用的需求
[1094.72-1097.72] 他可能需要的是人體工學
[1097.72-1099.72] 然後他可能需要的是雙模
[1099.72-1101.72] 他需要長時間的使用
[1101.72-1103.72] 他需要AI的周邊
[1103.72-1107.72] 他在辦公室區域範圍不是那麼大的時候呢
[1107.72-1110.72] 他可以利用滑鼠加鍵盤來使用
[1110.72-1113.72] 所以這邊的一個主軸
[1113.72-1116.72] 就是考量到整個辦公室的使用者的需求
[1116.72-1119.72] 來希望能夠創造一個舒適
[1119.72-1122.72] 更有效率更智慧的一個環境
[1122.72-1124.72] 那另外第二個展區
[1124.72-1127.72] 是居家體驗區
[1127.72-1134.72] 所以在這邊展出的是一系列的北歐松木風的一個產品
[1134.72-1138.72] 希望能夠讓很自然的一個風格
[1138.72-1141.72] 能夠結合AI的產品的設計
[1141.72-1144.72] 能夠融合在整個環境之中
[1144.72-1149.72] 打造一個在家裡面使用很溫暖很自在很放鬆的一個環境
[1149.72-1153.72] 所以這邊可以看到無論是AI的
[1153.72-1156.72] 雙模人體工學的滑鼠
[1156.72-1159.72] 它是用的松木的一個顏色
[1159.72-1162.72] 鍵盤也是用北歐松木的顏色
[1162.72-1166.72] 還有喇叭20瓦的喇叭
[1166.72-1168.72] 也是打造這樣子的一個環境
[1168.72-1172.72] 讓整個居家的體驗是有一種自然
[1172.72-1177.72] 加上一個智慧裝置結合的一個感覺
[1177.72-1181.72] 那第三個體驗呢是電競的一個體驗區
[1181.72-1182.72] 所以在電競的體驗區
[1182.72-1186.72] 無論是玩射擊遊戲或者是競速遊戲
[1186.72-1191.72] 或者是需要比較聲音比較刺激的遊戲的話
[1191.72-1198.72] 可能我們搭載的一個裝置有這邊的一個遊戲類的滑鼠
[1198.72-1200.72] 發光RGB的鍵盤
[1200.72-1203.72] 還有剛剛講的這個立回饋的方向盤
[1203.72-1207.72] 喇叭和耳機方面的一個產品
[1207.72-1210.72] 希望能夠讓AI科技跟競技的體驗能夠結合
[1210.72-1214.72] 讓發入整個GENES GAMING的使用者
[1214.72-1223.72] 能夠享受到在坤雲提供的一個比較精密的一個裝置之下
[1223.72-1228.72] 能夠享受到整個體驗到整個遊戲的樂趣
[1231.72-1235.72] 那這是今年第一季的整個產品別的一個銷售組合
[1235.72-1237.72] 第一季的滑鼠佔26%
[1237.72-1238.72] 鍵盤佔22%
[1238.72-1239.72] 所以整個輸出的部分呢是有一個很大的優勢的一個產品別的一個銷售組合
[1240.72-1242.72] 輸入裝置的部分大概佔了接近一半
[1242.72-1246.72] 在喇叭和耳機的部分加起來是佔了8%
[1246.72-1249.72] 那另外行車紀錄器佔了三成左右
[1249.72-1254.72] 那其他類的產品包括剛剛講的USB的一個相關配件
[1254.72-1257.72] 還有遊戲類的產品大概佔了6.9%
[1257.72-1264.72] 所以今年的主軸呢希望能夠利用整個AI COPILOT的導入呢
[1264.72-1269.72] 能夠提升遊戲類還有Audio還有就是USB箱
[1270.72-1272.72] 相關運用的產品的佔比
[1272.72-1277.72] 能夠把耳機喇叭還有其他類遊戲類產品的佔比
[1277.72-1279.72] 能夠把它提升上來
[1281.72-1289.72] 第一季的產品各個產品的數量和金額的一個YY的一個比例在這邊
[1289.72-1295.72] 所以可以看到滑鼠和鍵盤這邊大概是微幅成長或微幅的衰退
[1295.72-1300.72] 那主要在耳機和耳機麥克風和視訊影像方面的產品的
[1300.72-1302.72] 成長率是比較高的
[1302.72-1307.72] 當然希望今年能夠把這兩類的產品的佔比能夠拉升上來
[1311.72-1318.72] 今年的市場的一個策略希望能夠著重在第一個主要客戶這邊的一個成長
[1318.72-1320.72] 那另外就是新客戶的一個開發
[1320.72-1325.72] 特別著重在拉寧美洲的中美洲的哥斯大里加治利
[1325.72-1329.72] 阿根廷巴西墨西哥的客人以及亞太區的沙烏地阿拉伯
[1329.72-1332.72] 越南菲律賓等地的一個客人
[1332.72-1334.72] 那在策略產品這個部分
[1334.72-1339.72] 剛剛有提到2CEBDA的一個設計裡面
[1339.72-1344.72] 希望能夠在靜音產品人體工學還有電競類的產品
[1344.72-1349.72] 藍牙耳機Type-C還有AI周邊這邊能夠成長
[1351.72-1355.72] 那最後是今年度4月底公佈的公司治理評鑑
[1355.72-1358.72] 今年昆雲公司的一個公司治理的評鑑
[1359.72-1363.72] 去年度113年的公司治理評鑑的得分是100分
[1363.72-1369.72] 那跟112年來的90.62分來比的話又進一步的提升
[1369.72-1372.72] 那另外在全體上市公司這邊呢
[1372.72-1377.72] 是明年前6%到20%的水準
[1377.72-1382.72] 也就是在900多家 前幾千家裡面大概前200家的一個水準
[1382.72-1387.72] 那跟112年來比的話也有所提升
[1387.72-1391.72] 那可以看到我們這邊在公司治理上面的一個能力
[1393.72-1397.72] 今年度最後提到的是營運面的一個議題
[1397.72-1400.72] 那以今年的一個市場的環境來看
[1400.72-1403.72] 其實有很多的變數大有很多的機會
[1403.72-1405.72] 那首先談到機會的部分
[1405.72-1410.72] AIPC這邊會帶動整個周邊產品的商機
[1410.72-1415.72] 我們無論從Garner或者一些其他市場研究調查機構
[1415.72-1416.72] 都可以看到今年度的這個機構呢
[1416.72-1419.72] 可以看到今年的整個AIPC的數量
[1419.72-1424.72] 還有AIPC在整個PC的滲透率都有所提升
[1424.72-1428.72] 所以這邊相對來講AIPC的數量成長
[1428.72-1432.72] 滲透率提升就會帶來整個周邊的商機
[1432.72-1437.72] 所以這也是今年為什麼昆明這邊幾乎全部所有的一個新產品
[1437.72-1441.72] 都是以Copilot應用的角度去導入
[1441.72-1444.72] 那另外就是微軟的Windows 11
[1444.72-1446.72] 會在
[1446.72-1450.72] Windows 10會在今年的10月過後就停止支援
[1450.72-1455.72] 那所有的使用者都必須要轉換到Windows 11
[1455.72-1457.72] 那這邊帶動的一個升級需求
[1457.72-1459.72] 相對來講電腦的升級需求
[1459.72-1466.72] 勢必的會對電腦周邊的需求會有所刺激和增加
[1466.72-1469.72] 那在川普的政策的部分
[1469.72-1470.72] 主要第一個是關稅
[1470.72-1471.72] 第二個是匯率
[1471.72-1472.72] 第三個是美債
[1472.72-1474.72] 那關稅當然有提到
[1474.72-1475.72] 因為我們昆明這邊在北美這邊呢
[1476.72-1478.72] 基本上是有銷售的
[1478.72-1480.72] 所以關稅的直接影響是沒有的
[1480.72-1483.72] 但是間接影響我想整個外移效果
[1483.72-1486.72] 間接影響可能也會有一些我們會去觀察
[1486.72-1487.72] 那匯率的部分
[1487.72-1494.72] 因為台幣對美金從4月初以來大概升值了10%以上
[1494.72-1498.72] 那昆明公司這邊的外銷都是以美金報價為主
[1498.72-1500.72] 所以我們收入都是美元
[1500.72-1504.72] 那大概有7成以上的收入是美金
[1504.72-1509.72] 那在成本的部分是以台幣或者是其他幣為主
[1509.72-1512.72] 所以對於匯率的影響是有的
[1512.72-1515.72] 那只是說剛剛有跟各位報告過
[1515.72-1518.72] 因為我們的毛利率是比較高的38個百分點
[1518.72-1525.72] 所以這邊在匯率對於台幣升值對於毛利率的一個影響
[1525.72-1528.72] 基本上我們高毛利是比較能夠負荷
[1528.72-1533.72] 但我們自己也是努力在成本這邊持續的做一些cost down的動作
[1534.72-1538.72] 希望能夠讓整個毛利率能夠維持下維持住
[1538.72-1541.72] 所以川普政策這邊前兩個關稅漢
[1541.72-1543.72] 特別在匯率這個部分
[1543.72-1545.72] 對於今年整個的外銷產業
[1545.72-1552.72] 昆明的外銷產業的導向的公式來講是有一些影響的
[1552.72-1558.72] 那美中的一個戰略的國益以及地緣政治這邊都是一個今年的變數
[1558.72-1563.72] 那中南美洲占整個昆明這邊的合幣的時候
[1563.72-1566.72] 占地有35到40之間
[1566.72-1569.72] 所以中南美洲的付出力道和續航力
[1569.72-1574.72] 自然而然對我們的營運是至關重要的
[1574.72-1579.72] 那總體經濟面的無論是利率匯率這邊也都是一個影響
[1579.72-1582.72] 這個是整體今年的一個營運面的議題
[1582.72-1585.72] 我們可以看到有機會也有風險
[1585.72-1588.72] 還有必須要特別關注的地方
[1588.72-1591.72] 那以上是今年的
[1591.72-1593.72] 第一項
[1593.72-1595.72] 第一季的發說會
[1595.72-1597.72] 那我們就報告到這邊
[1597.72-1599.72] 謝謝各位
