[0.00-29.98] 請不吝點讚 訂閱 打賞 打賞 打賞
[30.00-38.42] 歡迎大家參與的投資先進 大家午安 我是今日法說會的主持人 寬亮國際QIC執行長Alex李鴻基
[38.42-46.46] 歡迎大家參與由凱基證券主辦的南寶數字2025年第一季線上法人說明會
[1892.92-1896.50] 用提高净负债的方式
[1896.76-1899.06] 让这两个数字是接近的
[1899.84-1900.34] 所以
[1900.86-1903.94] 目前的汇率波动对公司的影响
[1904.18-1905.46] 我认为不会太大
[1905.98-1907.26] 以上说明谢谢
[1910.38-1911.40] 谢谢协理说明
[1912.68-1913.96] 下一个投资人提问是
[1914.22-1917.54] 第二季营收通常比第一季成长
[1917.80-1922.16] 那是否能够带动毛利率比第一季更好呢
[1926.26-1927.28] 应该是吧
[1927.54-1929.32] 营收增长毛利率就会相对的成长
[1930.34-1933.68] 因为我们有一个大点的一亿的
[1934.96-1935.72] 利率
[1936.50-1937.52] 相对起来
[1938.02-1938.80] 可能会
[1939.82-1940.34] 差不多
[1940.64-1941.40] 多一些
[1941.66-1942.94] 这个
[1943.20-1944.74] 这个物毛利率
[1945.24-1946.02] 那是物毛利率
[1946.26-1947.54] 那我是问一遍
[1947.80-1949.86] 应该是
[1950.36-1951.90] 有机会再往上走
[1952.16-1953.18] 看起来是这样
[1953.70-1956.00] 保守一些差不多
[1956.26-1958.04] 益收可能冲高一些
[1959.58-1961.38] 关心营业净利率
[1964.44-1966.24] 好谢谢两位的回答
[1966.74-1968.28] 那下一个提问是
[1968.80-1970.34] 请问第一季存货
[1970.64-1971.92] 有金额有
[1972.18-1973.70] 较明显的增加
[1973.96-1978.82] 那原因是因应第二季被料还是有其他的原因谢谢
[1982.92-1984.98] 但是还好啦因为
[1986.50-1989.58] 总金额应该没有增加很多
[1989.84-1994.18] 看来大家时间差了我们这个每个月都很紧密在控制的
[1999.06-2000.08] 没有什么异常啊
[2000.38-2001.40] 那我们就先回答一下
[2001.66-2003.70] 好谢谢一律回答
[2004.98-2006.02] 下一个问题是
[2007.04-2011.90] 南宝在半导体制成显示器等的特用接着剂
[2012.42-2013.94] 有怎么样的优势
[2014.46-2017.02] 那如何切入此一领域呢
[2018.04-2020.10] 请莫莉莎来回答
[2020.34-2021.62] 谢谢
[2022.14-2029.82] 分几个方向来看那半导体制成跟这个显示器相关的这些方式用交
[2030.38-2033.20] 进入了门槛事实上都很高了
[2033.46-2035.50] 但是我们在其他的
[2035.76-2038.82] 应用都有一些相关领域的一些经验
[2039.60-2043.18] 但是我们还是花很多时间来了解这个市场的
[2043.70-2044.98] 需求
[2045.22-2047.54] 还有一些他特别的一些要求
[2048.30-2049.32] 但是
[2049.84-2053.68] 研发是我们最最强的然后我们还是
[2054.44-2058.28] 最擅长的一个方向那我们也愿意投入这一个
[2058.80-2060.08] 这个市场的研究
[2060.38-2063.70] 那最终的产品希望是可以达到
[2063.96-2066.26] 提高这个效能
[2066.78-2069.86] 比如说在一些耐热的制程上面
[2070.62-2072.92] 可以耐比较高的温度
[2073.18-2076.26] 那也在UV解黏的部分
[2077.02-2080.60] 也可以在要黏的时候很黏
[2080.86-2082.14] 不黏的时候
[2082.40-2086.74] 很不黏所以这个是可以做成有点像SmartTab
[2087.00-2088.80] 的这种方向
[2089.30-2090.34] 那这些
[2090.64-2092.42] 科技的产品都是
[2092.94-2093.70] 台湾上
[2093.96-2094.74] 擅长的
[2095.24-2098.06] 也是比较特有的一些产业
[2098.58-2100.10] 所以我们目前还是
[2100.62-2102.66] 主要做一些进
[2102.92-2106.00] 但是这些供应商大概都是一些日本的
[2106.26-2107.78] 海外厂商
[2108.04-2111.12] 那我们的策略大概就是进口取代
[2111.88-2113.94] 为一个核心的方向
[2115.22-2115.72] 那
[2115.98-2118.80] 再加上这些科技厂也希望
[2119.06-2120.34] 这个可以在地
[2120.64-2121.14] 供应
[2121.92-2125.76] 再加上疫情之后有一些锻炼的问题或者一些
[2126.26-2129.08] 供应链的一些相关的一些头痛的问题
[2129.86-2132.42] 那所以进口取代电子化学产品
[2132.66-2134.98] 这个是一个比较好的方向
[2136.00-2139.84] 另外也可以使这个生产的流程可以更顺利
[2140.60-2146.50] 那蓝宝是第一家拥有在地这种制程跟生产的能力
[2146.74-2149.30] 一些解决能力的一个公司
[2149.56-2150.34] 那相对
[2150.64-2152.18] 我们可以更快速的
[2152.42-2153.46] 去支援
[2153.70-2155.50] 或者是来问题解决
[2155.76-2156.52] 当地服务
[2157.54-2159.60] 另外语言上也比较容易沟通了
[2160.62-2164.72] 对一些快速需要弹性的服务
[2164.98-2168.56] 特别是在客试化这一块我们是可以
[2168.82-2170.86] 特别可以跟客户
[2171.38-2172.40] 达成共识
[2173.42-2174.96] 那也可以透过这个
[2175.46-2176.24] 对于这个
[2176.50-2177.00] 这个
[2177.52-2178.02] 这个
[2178.28-2178.80] 这个
[2179.06-2179.56] 这个
[2179.82-2181.60] 可以透过这些研发的
[2182.38-2183.14] 方法
[2183.40-2184.16] 来调整
[2184.42-2184.94] 产品
[2185.20-2186.22] 那符合
[2186.48-2187.50] 客户的需求
[2187.76-2189.04] 取代国外
[2189.28-2191.34] 产商不太好沟通的这种
[2192.10-2192.88] 方向
[2193.64-2199.78] 另外我们在显示器用的光学用胶初步的成效已经算不错了
[2200.04-2201.58] 也有稳定的供应
[2201.84-2202.86] 几个客人
[2203.62-2206.70] 那半导体相关目前还是比较
[2207.20-2208.74] 初期
[2209.56-2210.32] 那我们
[2210.84-2213.40] 不是直接供应到科技大厂
[2213.66-2214.42] 我们是跟
[2214.68-2216.48] 交代厂一起合作
[2217.24-2221.08] 开发比较好的应用新的应用来取代
[2222.62-2224.16] 现有的一些产品
[2224.92-2227.74] 那所以我们还是锁定几家比较
[2228.00-2230.30] 高端的客户共同开发
[2231.06-2234.14] 那目前的成效算不错了也会持续
[2234.40-2235.92] 推展这方面的
[2236.70-2237.46] 产品线
[2237.72-2238.48] 以上说明
[2239.56-2241.86] 好谢谢Morrison
[2242.12-2246.98] 下一个投资人提问是请问一下产能各区域的分配
[2247.24-2248.78] 分布比重为何
[2251.34-2252.10] 这个你回答
[2258.00-2259.02] 各产能
[2259.52-2260.80] 这个部分因为
[2262.34-2265.42] 我们是就近服务当地的客户所以
[2265.68-2268.74] 我们营收的分布和区域产能
[2268.74-2270.28] 会差不多
[2270.54-2273.60] 那目前看起来低级大概台湾
[2274.12-2276.42] 大概接近大概有18%-19%
[2276.68-2278.98] 然后越南大概是28%
[2279.50-2283.08] 那大陆大概27%那澳洲大概14.3%
[2283.58-2285.38] 那印尼大概有10%
[2285.64-2287.42] 然后剩下的其他大概2.5%
[2288.70-2289.98] 以上说明谢谢
[2291.52-2292.80] 好谢谢Hank
[2293.58-2297.16] 下一个投资人提问是想请询问一下目前
[2297.66-2298.70] 净金融资产
[2299.00-2300.78] 约为多少钱
[2301.04-2303.60] 那想了解一下2Q25
[2304.38-2306.42] 费损金额的预估为何
[2308.46-2313.34] 好这一题我来回答那我想那个投资先进要问的应该是
[2314.10-2314.86] 目前
[2315.90-2320.50] 就是大概再问一下定存美金大概多少部位
[2321.26-2323.82] 那我要说明说目前南宝的
[2324.34-2325.36] 定存是
[2325.62-2326.90] 是存放在
[2327.66-2328.18] 呃
[2329.26-2335.66] 百分之百子公司的境外公司那公众信货币也是美金所以没有评价的问题
[2336.42-2339.50] 所以大概那个部位应该有
[2340.52-2342.30] 应该有四五千万美金
[2342.56-2344.62] 目前pocking在定存
[2345.38-2346.66] 年利率大概都有
[2347.42-2349.74] 目前有4点多%
[2350.24-2353.06] 所以这一块是不用评价的他没有贿赎的问题
[2353.82-2356.64] 因为他的公众信货币是美金不是台币
[2357.42-2358.18] 这是
[2358.74-2361.30] 这个这个是大家不用太担心
[2361.82-2365.40] 那第二季的贿损的金额的预估
[2366.16-2367.44] 这个有一点
[2367.96-2368.72] 有点
[2370.00-2373.34] 这个题目有点难啊因为现在才五月中
[2373.84-2375.12] 然后到六月底
[2375.38-2377.68] 我觉得是瞬息万变啊
[2378.46-2380.76] 那我们希望可以把
[2381.02-2383.06] 贿损控制在我们可以
[2383.32-2384.08] 就是
[2384.34-2387.66] 不会影响本业的一个范围啦
[2387.92-2388.44] 好
[2388.74-2389.76] 那我相信
[2390.02-2391.82] 透过我刚刚说明的
[2392.32-2393.34] 我们已经有说
[2393.60-2394.88] 缩小那个
[2396.68-2397.96] 美金进市场
[2398.22-2403.08] 部位的曝显了那我认为对南宝的影响应该不会太大
[2403.58-2404.10] 谢谢
[2407.18-2407.68] 好
[2407.94-2408.96] 谢谢Hen回答
[2409.48-2409.98] 那
[2410.24-2415.62] 下一个投资人提问是请教下半年营收是否有机会
[2415.88-2417.42] 逐季度增加
[2418.74-2423.60] 这个是比较难回答的因为我想
[2423.86-2427.96] 川普的关税对末端需求还是多少有影响
[2432.30-2433.08] 如果说
[2433.58-2439.22] 影响度小但我们局长如果影响度大末端需求减少扑出减少就稍微受影响
[2439.74-2443.32] 那整点讲我们应该是期待会有成长的
[2444.08-2444.86] 一定的保温比
[2445.10-2446.38] 成长多大
[2446.90-2448.18] 就看外部变化
[2448.74-2449.26] 回答
[2449.50-2451.04] 那当然我们要努力我们要除了
[2451.82-2455.40] 现有产品还是新产品的开发或是投入是持续的
[2455.90-2458.22] 我现在没办法成长就用现有东西来cover
[2458.98-2461.54] 跟外面努力去达到成长的目标
[2464.36-2465.12] 谢谢
[2466.14-2467.68] 好谢谢一个回答
[2468.20-2469.74] 下一个投资人提问是
[2469.98-2471.78] 请问鞋材方面
[2472.04-2475.62] 我们的产品售价是怎么样来决定的呢
[2475.88-2478.70] 目前是否有调整价格的压力
[2479.00-2485.14] 鞋材的产品定价
[2485.40-2491.54] 每个客户大概一样有的是可以有的是品牌会主导有的是客户
[2491.80-2494.86] 一般这个调整的
[2495.64-2496.92] 比例不是很高
[2497.68-2498.46] 一般是
[2498.96-2500.50] 半年一年会一季调
[2500.76-2502.80] 可是到了调的时间也不一定会调
[2503.06-2508.70] 比如评估大评估营收差不多不会调所有重大评估
[2509.00-2510.02] 不大长之后
[2510.28-2511.04] 才有机会谈
[2512.32-2512.84] 所以
[2514.38-2514.88] 那个
[2515.14-2516.16] 调也有时间差
[2516.68-2517.44] 现在讲
[2517.96-2519.74] 一季后半年才生效
[2520.78-2521.28] 所以
[2522.06-2523.34] 这个影响是
[2523.58-2524.62] 比较持平的
[2524.86-2526.14] 大饼当然多
[2526.92-2527.42] 那
[2527.68-2530.76] 目前还没有很大的调降压力
[2532.04-2536.90] 关税的编会不是很确认所以这个我在沟通在讨论
[2537.16-2537.92] 确认这个
[2538.18-2538.70] 最后的
[2539.00-2539.50] 一些状况
[2540.78-2541.30] 谢谢
[2543.34-2543.86] 谢谢
[2544.88-2546.68] 下一个投资人提问是
[2546.94-2550.26] 日本在半导体用胶技术
[2550.52-2551.28] 应该比较好
[2551.54-2553.08] 为何他们不愿意做
[2553.58-2556.40] 成本考量还是这技术未来
[2556.92-2559.22] 有可能会被清洗取
[2559.48-2560.76] 清洗取代掉
[2561.26-2562.54] 有没有未来性呢
[2565.10-2568.70] 这个应该有点误解了因为这个目前
[2569.00-2571.56] 主流还是日本的胶为主
[2573.10-2573.60] 目前
[2573.86-2575.66] 半导体这个
[2575.90-2577.18] 产业用这个还是
[2577.44-2580.00] 日本日系的厂商为主
[2580.26-2581.80] 那只是说有一些
[2583.34-2584.86] 特殊要求因为现在
[2585.38-2587.94] 新制程或一些制程上
[2588.46-2592.04] 有很多台湾比较特有的一些要求
[2592.54-2597.42] 那有时候日本人不是那么好沟通或者是说速度上没有那么快
[2597.66-2598.70] 所以他会有
[2599.00-2600.02] 找Second Source
[2600.28-2604.88] 那所以我们主要还是听中东客人的一些想法
[2605.14-2609.50] 那针对这些客户的痛点我们来展开我们
[2610.00-2613.08] 可以做的一些新产品线
[2613.34-2615.90] 来做这个未来的成长动力
[2616.66-2617.68] 大概方向是这样
[2620.76-2621.52] 谢谢Morrison
[2622.04-2626.14] 那另外一个相关提问是去年半导体千万的营收
[2626.64-2627.42] 市值
[2627.66-2628.44] 都是这个
[2628.74-2629.76] EUV这一块吗
[2630.02-2631.04] 若所有
[2631.56-2633.10] 胶电子营业
[2633.34-2635.90] 这个营业收入比去年
[2636.42-2637.44] 大概是多少
[2637.96-2641.54] 这部分的毛利率都高于公司的平均吗
[2644.36-2649.74] 这个是比较细的那我们在半导体用的这个里面
[2649.98-2655.36] EUV是比较特殊的这一块但是还有其他的一些
[2655.62-2657.42] 高阶的PSA在弄
[2657.66-2658.18] 那所以
[2658.18-2660.48] 千万是包括这个整体都算
[2661.26-2662.28] 那毛利率是
[2662.54-2666.12] 是略高于公司平均
[2666.38-2667.66] 是啦
[2668.16-2670.98] 这个当然比较特别的应用
[2671.24-2673.54] 这个毛利率是会相对高一点
[2674.30-2680.20] 那因为市场目前还是很多变了所以我们这个部分还是在
[2680.46-2682.76] 持续观察跟持续应变
[2683.26-2685.58] 所以这个未来的路还很
[2686.08-2686.86] 很长
[2686.86-2688.40] 所以我们还在努力
[2688.66-2689.16] 谢谢
[2691.22-2692.74] 好谢谢毛利说明
[2693.26-2697.10] 那如果没有线上投资人提问以下是最后一个
[2697.36-2698.90] 的投资人提问的问题
[2699.14-2702.98] 请问美国对等关税是否影响
[2703.50-2705.80] 破产和资本支出的计划
[2706.06-2709.64] 那再请问今年资本支出的规划大概是为何
[2710.66-2713.48] 那这个部分我来说明
[2714.00-2715.28] 那目前
[2715.54-2716.30] 这个
[2716.86-2720.18] 对等关税目前是对我们来
[2720.44-2723.00] 资本支出来讲是没有影响
[2723.52-2724.80] 规划是照旧
[2725.06-2727.86] 那我目前产能大概是充足的
[2728.38-2731.20] 另外只有少数的一些产业需要
[2731.46-2734.78] 增加资本支出有资本支出的计划
[2735.30-2739.38] 那大概也都没有一些急迫性所以我们会照我们的规划
[2739.64-2740.16] 的流程来
[2740.42-2741.18] 逐步进行
[2741.70-2745.54] 那去年我们有一些计划有递延到今年
[2745.78-2746.82] 那今年预计
[2747.12-2749.94] 是资本支出大概会落在
[2750.18-2752.50] 11到13亿之间
[2753.00-2754.28] 那目前在
[2754.54-2755.30] 大陆
[2755.56-2756.34] 越南
[2756.84-2760.42] 还有印度都有新的资本支出的计划
[2760.94-2762.98] 但是这些计划会横跨多年
[2763.24-2765.04] 所以还是需要看
[2765.80-2766.58] 整个
[2767.60-2769.14] 进度进行的状况
[2769.64-2770.92] 这样说明谢谢
[2773.74-2776.82] 好那谢谢Hank及所有团队的
[2777.12-2777.88] 参与跟说明
[2778.14-2780.18] 那由于今天时间的缘故
[2780.44-2782.50] 我们的法说会将到此结束
[2783.00-2785.30] 谢谢线上各位投资现金的参与
[2785.56-2787.10] 如果您还有其他问题
[2787.36-2788.90] 欢迎联络南宝数字
[2789.40-2790.18] 发言人窗口
[2790.42-2791.20] 谢谢大家
[2791.96-2794.26] 谢谢
