[0.00-5.86] 永业科技股份有限公司
[532.80-536.64] 我们的总经理这边来跟各位投资心境
[536.90-538.44] 我们的总经理这边
[538.74-539.24] 介绍
[541.30-543.08] 各位投资信息大家好
[543.34-545.40] 谢谢财务长的说明
[547.18-547.96] 第四季
[548.46-551.02] 比第3季营收是有少了11%
[551.28-552.82] 当然比去年第四
[553.32-555.12] 同去年的第四季减少了2%
[555.38-556.92] 那主要的还是因为市场
[557.16-557.68] 及
[557.94-559.72] 库存区划比较
[559.98-561.00] 缓慢
[561.26-567.16] 那定竿能见度也比较保守所以去本年的营收跟获利都比较减少
[567.40-568.44] 那目前
[568.74-571.56] 整体的产业虽然有一些好转趋势
[571.80-573.60] 但是还是地缘政治的影响
[573.86-578.46] 那对整个全球经济政策影响还是有些不确定
[578.72-580.52] 不确定性那预估
[580.76-582.30] 2020年上半
[582.56-583.58] 年的整体
[584.10-588.44] 产业复苏情况还是有待观察那我们还是能抱持着
[588.96-595.10] 谨慎乐观的态度依据今年的营收跟获利表现会有逐纪上升的机会
[596.64-597.92] 看起来这个部分上是
[598.18-598.68] 从客人的
[598.94-600.48] 讯息里面是有一些
[600.74-604.32] 成长的趋势那当然我们还是希望
[604.58-607.14] 能够有一些更强的力道来
[607.40-608.68] 来加强我们的
[608.92-610.20] 整个的业绩这样
[610.46-611.24] 那
[611.48-616.10] 因为我们会因客户的需求以及分散生产的风险
[616.36-618.66] 我们积极部署在越南的投资
[618.92-620.44] 那现在越南
[620.70-624.54] 产线已建构完成并取得重要客户的验证通过
[624.80-625.56] 那这部分
[625.82-627.10] 我们现在市场阶段
[627.36-627.88] 那未来
[628.18-632.78] 在越南产会是本公司布局东南亚的重要的基地
[633.04-637.40] 那我们在产品上面是在天线上面
[637.64-643.80] 以高精准定位天线这边是主要的推动的重点因为我们本身拥有我们的专利
[644.04-648.14] 其中部分设计已经获得客户的承认
[648.40-649.94] 这样对
[650.70-652.76] 逐渐会对我们营业有一些贡献
[653.00-656.84] 那在智慧水中浮标这种模组
[657.10-657.88] 获得客户的承认
[658.18-661.50] 在Q1已经开始在小量的
[661.76-662.28] 量产
[662.52-663.04] 那
[663.30-667.14] 还有意味传感器及流量剂等压电的新产品
[667.40-670.20] 我们也积极在跟客户的合作开发中
[670.46-671.24] 那以上
[671.48-676.60] 针对两大类产品也是我们未来营收获利成长的主要动能
[676.86-677.64] 以上的说明
[688.18-689.96] 谢谢公司的说明
[690.48-691.50] 问题解答
[692.02-697.64] 线上的投资先进对于永烨科技以上的介绍及报告
[698.16-699.70] 若有任何疑问
[699.96-701.74] 请用论的聊天功能
[702.26-703.54] 将您的问题
[703.80-706.10] 以文字方式发送至
[706.36-707.88] 群语经理证券
[708.40-713.00] 我们将会转达给经营团队回答你的问题
[713.52-715.56] 请在你问题前
[715.82-717.62] 先注明你的公司
[717.92-719.20] 名称及姓名
[719.46-719.96] 谢谢
[747.92-748.94] 请问
[749.20-749.96] 请问
[750.22-751.00] 请问
[751.24-752.02] 请问
[752.28-752.78] 请问
[753.04-753.56] 请问
[753.80-754.32] 请问
[754.58-755.08] 请问
[755.34-756.12] 请问
[756.36-756.88] 请问
[757.14-757.64] 请问
[760.20-761.74] 一个业绩
[762.00-765.58] 问到问题是关于毛利率的展望
[765.84-771.98] 那我们在2024年的确毛利率收到一些景气还有一些库存等等
[772.24-773.78] 一些影响
[774.28-776.60] 那我们2024年的确
[776.84-777.88] 那毛利率
[778.18-778.94] 是比较低的
[779.46-782.78] 但是我们展望今年来看的话
[783.04-785.60] 那我们目前
[785.86-787.64] 几个客户目前的feedback
[787.90-790.20] 那应该都还OK
[790.46-792.00] 那尤其是在下半年
[792.26-794.82] 所以我们预估今年的营收
[795.08-796.36] 会比去年
[796.60-798.14] 在进一步的一个成长
[798.66-799.94] 然后毛利率
[800.20-802.50] 那也会成长那大概有
[802.76-806.08] 毛利率成长大概有几个大的因素
[806.60-807.88] 那第一个是
[808.18-810.48] 那我们产能的驾动率
[810.74-811.76] 我们会提升
[812.02-814.58] 那然后这是第一个
[815.08-817.90] 第二个是我们有一些新产品的开发
[818.16-819.18] 那去年
[819.70-822.76] 应该讲是说客户的承认比较慢一点点
[823.02-824.56] 那我们预估今年
[824.82-827.38] 那应该会在进一步的一个成长
[828.14-830.44] 那所以今年
[830.70-834.28] 就刚刚我们Jeff总经理刚刚有提到
[834.80-836.60] 那今年的下半年
[836.84-837.88] 那我们是
[838.18-840.74] 认为会比上半年还要来的好
[841.00-841.76] 那我们
[842.52-847.64] 当然还有一些政治因素了不管是地缘政治或者一些关税啊等等
[848.42-854.56] 那些不确定因素但是我们目前看起来从客户的目前初步的
[854.82-856.10] 回应来看的话
[856.36-858.14] 那基本上业绩
[858.40-861.72] 那还有这个利润应该都会成长
[868.18-873.30] 那另外一个问题提到就是那个智慧浮标的这个专案
[873.56-874.58] 那目前
[875.08-881.24] 这方面的话我们是目前进展是顺利但是他的速度不如我们原来
[881.48-882.00] 预期
[882.52-887.64] 也就是说客户已经承认那目前已经第1次的量产
[887.88-889.68] 小量生产订单已经
[889.94-895.56] 已经下了然后我们现在目前也在逐步在生产当中
[896.34-897.88] 那就是因为
[898.18-901.00] 客户要做比较完整的一个验证了
[901.50-904.06] 把我们的产品放在这个
[904.32-905.08] 七大洋
[905.34-907.90] 然后去做一些
[908.16-912.00] 测试那这个测试的时间稍微长一点
[912.26-915.32] 那我们目前这个专案来讲的话
[915.58-919.42] 那基本上目前都还算顺利只是时间
[919.68-920.96] 会稍微晚一点
[921.22-924.80] 那预估今年会逐步的一个发酵
[926.08-927.36] 这个是关于
[927.62-927.88] 智慧浮标的
[928.18-928.68] 方面
[939.70-945.84] 另外业界问到这个预约传感器跟流量
[946.10-947.64] 基本上
[947.88-951.48] 就是意味传感器这一块来讲
[951.72-957.10] 我们美国的客户基本上都顺利的展开当中
[957.36-957.88] 然后
[958.18-962.52] 我们预估在这方面的营收会稳定的一个成长
[963.30-967.40] 那流量剂分为两种流量剂
[967.64-970.46] 一个是气体流量剂一个是液体的流量剂
[972.26-977.88] 液体的流量剂基本上跟美国客户也都紧密的在合作当中
[978.14-981.22] 然后我们的合作的范围会加大
[981.48-983.26] 所以预估今年在
[983.78-986.08] 液体流量剂这边应该会成长
[986.34-987.88] 那气体流量剂这边
[988.18-991.50] 目前还在跟客户在做一些验证
[991.76-993.30] 因为他里面的一些
[993.80-997.14] 演算法那会比较复杂一点点
[997.40-998.42] 所以这方面
[998.68-1000.46] 时间会拉了比较长一点点
[1000.72-1002.52] 大概目前的状况是这样
[1003.02-1004.82] 所以简单回答这个
[1005.08-1007.38] 这个意味的那个传感器
[1007.64-1010.70] 那基本上今年的营收会稳定的成长
[1011.22-1017.36] 然后水中这个液体的流量剂那基本上也会稳定的一个成长
[1017.92-1023.04] 那气体流量剂这边大概我们今年的目标是希望能够design in
[1023.30-1025.34] 大概目前的状况是这样子
[1048.82-1052.18] 好那有 Doctor 主席
[1059.18-1059.70] 谢谢
[1062.00-1064.14] Estamos
[1064.40-1067.14] 下个字
[1067.14-1068.70] 然后这个
[1069.96-1071.26] 张 alive
[1071.50-1071.78] Nice
[1071.94-1072.94] 置
[1073.14-1074.12] 叻
[1074.34-1074.80] 好
[1075.02-1075.80] 好的
[1076.04-1077.24] 谢谢
[1077.24-1077.78] 好
[1077.78-1079.78] 都會再增加
[1079.78-1082.78] 然後而且是穩定的一個成長
[1107.78-1137.76] 謝謝大家
[1137.78-1150.76] 謝謝經營團隊詳細的回答
[1150.76-1154.42] 今天的法人說明會就到此結束
[1154.42-1156.56] 非常感謝各位的出席
[1156.56-1158.50] 敬祝各位身體健康
[1158.50-1159.58] 活之順利
[1159.58-1160.36] 謝謝大家
[1167.78-1197.76] 字幕志愿者 李宗盛
