[0.00-1.40] 各位來賓大家好
[161.96-163.96] 從2019到2024我們的營收年均複合成長率為8%
[163.96-165.96] 合併的營業毛利2576億年成長13%
[165.96-167.96] 在合併營收方面6576億年成長13%
[167.96-169.96] 從2019到2024我們的營收年均複合成長率為8%
[169.96-171.96] 合併的營業毛利2576億年成長13%
[171.96-173.96] 在合併營收方面6576億年成長13%
[173.96-175.96] 從2019到2024我們的營收年均複合成長率為8%
[175.96-177.96] 從2019到2024我們的營收年均複合成長率為8%
[177.96-179.96] 合併的營業毛利2151億年成長15%
[179.96-181.96] 合併的營業毛利2151億年成長15%
[181.96-183.96] 在2019到2024的毛利年均複合成長率約7%
[183.96-185.96] 在2019到2024的毛利年均複合成長率約7%
[185.96-187.96] 在2019到2024的毛利年均複合成长率約7%
[187.96-189.96] 2024年我們的毛利率是32.7%
[189.96-191.96] 同比上升0.39個百分點
[191.96-193.96] 同比上升0.39個百分點
[193.96-195.58] 包括統一企業統一中控還有統一承導工商 Ne ents
[195.58-197.52] 中控还有统一实业的毛利率
[197.52-198.66] 同比都上升
[198.66-201.22] 合并营业利益338亿
[201.22-203.46] 2024年我们的合并营收
[203.46-205.02] 保持稳定的增长
[205.02-206.28] 带动毛利增加
[206.28-209.32] 而且毛利的涨幅是超过费用的增幅
[209.32-211.46] 所以进而带动我们全年的
[211.46-212.72] 合并营业利益的
[212.72-215.32] 同比增长达18个percent
[215.32-217.14] 另外合并营业外收入
[217.14-219.38] 同比减少116亿
[219.38-221.22] 主要是因为2023年
[221.22-223.78] 有两个比较重大的一次性的收益
[223.78-225.28] 包括第一个是
[225.28-227.56] 集团在2023年6月30号
[227.56-228.92] 购入加福的股权
[228.92-230.58] 认列重衡量利益
[230.58-232.72] 第二个是2023年统一中控
[232.72-235.48] 配合政府征收处分土耳其土地
[235.48-236.74] 集建物的利益
[236.74-238.98] 在2024年我们归属于
[238.98-241.78] 母公司净利为206.7亿
[241.78-243.92] 同比增加12.7percent
[243.92-245.24] EPS为
[245.24-246.58] 3.64元
[246.58-249.20] 同比增加0.41元
[249.20-251.16] 董事会已经提案通过
[251.16-252.84] 每股现金股利3元
[252.84-254.68] 待股东会决议
[254.68-255.70] 下一页
[255.70-258.82] 我们来看到从部门别的营收
[258.82-261.36] 在集团的四大事业体当中
[261.36-263.18] 2024年的营收
[263.18-264.84] 同比增长率达
[264.84-266.56] 双位数的包括有
[266.56-269.02] 便利商店及流通事业部门
[269.02-271.34] YOYL成长19percent
[271.34-273.32] 包括台湾的统一超商
[273.32-274.68] 菲律宾的7-11
[274.68-276.50] 以及统一生活等
[276.50-278.68] 持续展店并且依据
[278.68-281.22] 不同的场景推出多元行销活动
[281.22-283.20] 带动PSD成长
[283.20-284.64] 另外加福体系
[284.68-286.38] 并入集团的合并基准日
[286.38-288.34] 是2023年的6月30号
[288.34-290.44] 所以在2023年加福这一块
[290.44-292.16] 只有任列下半年的营收
[292.16-295.14] 第二个成长双位数的是
[295.14-297.10] 我们的包装农气事业部门
[297.10-299.22] 合并营收年增40percent
[299.22-300.78] 主要是统一实业
[300.78-303.02] 受益于铁产品的订单回农
[303.02-305.16] 叠加饮料充填业务
[305.16-306.36] 保持稳定增长
[306.36-307.94] 另外也可以看到
[307.94-309.78] 我们的食品及食粮部门
[309.78-311.92] 营收成长4percent
[311.92-314.16] 主要是统一中控饮料业务
[314.16-314.66] 保持稳定增长
[314.68-316.18] 稳定增长的趋势
[316.18-317.78] 再到下一页
[317.78-320.24] 我们从部门别的营业利益来看
[320.24-322.30] 在四大事业体当中
[322.30-324.10] 营业利益在2024年
[324.10-326.00] 同比成长率达双位数的
[326.00-328.22] 包括食品及食粮部门
[328.22-330.86] 我们从这个橘色部分可以看到
[330.86-332.24] 它的这个营业占比
[332.24-334.30] 在2023年34percent
[334.30-335.54] 在今年提升
[335.54-337.66] 2024年已经提升到40percent
[337.66-339.54] 而且各项费用支出
[339.54-341.80] 符合我们的效益提升原则
[341.80-344.22] 进而提升公司的盈利能力
[344.68-347.76] 另外看到这个包装容器事业部门
[347.76-350.44] 营业利益同比增长99percent
[350.44-354.20] 主要就是统一实业的铁产品销量增长
[354.20-355.36] 带动获利
[355.36-358.24] 而且饮料的充填业务稳定成长
[358.24-360.86] 另外在便利商店及流通事业部
[360.86-363.36] 营业利益同比增长4percent
[363.36-365.20] 包括台湾的统一超商
[365.20-366.70] 菲律宾的7-11
[366.70-368.24] 还有统一生活等
[368.24-370.36] 展店带动营收毛利
[370.36-374.26] 还有营业利益同比增长
[374.26-374.52] 再到下一个项目是
[374.52-374.62] 在这个营业利益同比增长99percent
[374.62-375.16] 然后下一页
[375.16-377.28] 在资产负债表方面的话
[377.28-379.46] 2024年底合并的总资产
[379.46-380.82] 约7100亿
[380.82-382.98] 其中现金约当现金
[382.98-384.78] 还有我们的流动金融资产
[384.78-386.76] 共计1345亿
[386.76-388.82] 同比增加64亿
[388.82-391.64] 复习负债为1574亿
[391.64-393.20] 同比增加51亿
[393.20-395.24] 主要是统一企业统一超商
[395.24-396.40] 因应企业营运
[396.40-398.38] 即投资规划需求所致
[398.38-400.78] 另外可以看到我们的ROE
[400.78-402.46] 约当16percent
[402.46-404.20] 连续两年保持
[404.20-404.46] 正正正正
[404.46-407.32] 下一页跟大家说明
[407.32-408.26] 现金流量表
[408.26-410.88] 2024年度来自营业活动的
[410.88-413.22] 净现金流入784亿
[413.22-415.76] 较去年同期增加53亿
[415.76-417.76] 投资活动现金流出
[417.76-419.10] 约410亿
[419.10-420.90] 较2023年减少
[420.90-423.20] 是因为2023年购入家福股权
[423.20-425.94] 另外资本支出386亿
[425.94-427.10] 包括展店
[427.10-428.94] 还有大型物流中心的
[428.94-430.68] 土地及设备等支出
[430.68-432.86] 理财活动净现金流出
[432.86-433.72] 约400亿
[433.72-434.44] 其中现金流出
[434.46-436.70] 现金股利发放170亿
[436.70-441.12] 2024年底的现金为1004亿
[441.12-442.96] 接下来跟各位说明
[442.96-443.90] 统一企业
[443.90-445.68] 从统一企业个体的角度
[445.68-447.02] 主要的获利
[447.02-448.54] 贡献的子公司
[448.54-451.02] 统一企业在2024年的营业利益为
[451.02-452.64] 24.5亿
[452.64-454.98] 任业投资收益194亿
[454.98-456.78] 同比减少13亿
[456.78-459.10] 主要是因为在那个2023年
[459.10-460.96] 统一超商取得家福股权
[460.96-462.18] 任业从衡量利益
[462.18-464.32] 在2024年则没有这个状况
[464.46-466.54] 那如果看到这个投资收益
[466.54-467.86] 贡献增长的子公司
[467.86-469.38] 包括统一证券
[469.38-469.94] 蓝联
[469.94-470.72] 统一实业
[470.72-471.34] 大统一
[471.34-472.54] 还有统一国际等
[472.54-474.66] 前十大投资收益子公司
[474.66-476.64] 总共贡献174亿
[476.64-479.68] 最后跟各位说明我们的股利
[479.68-483.12] 公司保持稳定的现金股利配发
[483.12-487.14] 连续42年累积配发股利为85.3元
[487.14-490.12] 累积盈余分配率为102%
[490.12-493.10] 接下来跟各位说明
[493.10-493.92] 统一中控
[493.92-495.80] 2024年的营运表现
[495.80-498.94] 统一中控在2024年
[498.94-501.24] 营收及获利都创历史新高
[501.24-504.44] 营收为人民币303亿元
[504.44-506.04] 迈入新的里程碑
[506.04-509.58] 全年的营收同比增长6.1%
[509.58-512.14] 营业毛利也突破历史高点
[512.14-514.10] 达98.7亿元
[514.10-516.26] 增长13.3%
[516.26-518.22] 毛利率上升2个百分点
[518.22-521.60] 主要是因为部分原物料价格同比回落
[521.60-523.12] 产能利用率提升
[523.12-523.90] 还有产品的增长
[523.92-524.86] 还有产品结构优化
[524.86-528.34] 营业利益同比成长12.4%
[528.34-531.92] 全年的营业费用率约25.9%
[531.92-534.48] 比去年略增0.2%
[534.48-537.50] 主要是销售及市场推广开支增加
[537.50-539.62] 持续投入品牌建设
[539.62-543.46] 及通路资产冰箱冰柜折旧增加所导致的
[543.46-545.20] 在2024年
[545.20-548.26] 净利为人民币18.49亿元
[548.26-550.46] 同比成长10.9%
[550.46-552.96] 如果我们还原2023年
[552.96-553.90] 储分合肥费的营业费用率
[553.92-554.98] 为的一次性收益
[554.98-559.20] 统一中控税后净利同比增长达31.8%
[559.20-562.26] 核心净利润率提升1.2%
[562.26-565.00] EPS为42.81分
[565.00-568.04] 董事会建议2024年现金股息为
[568.04-569.96] 每股42.81分
[569.96-571.92] 待股东会决议
[572.60-575.88] 接下来看到我们部门别人的营运表现
[575.88-578.46] 在蓝色的部分是我们的食品
[578.46-582.84] 2024年食品营收为99.98亿元
[582.84-583.90] 占营收39.98亿元
[583.92-584.90] 33%
[584.90-587.10] YOY 1.5%的成长
[587.10-590.58] 其中且黄2020到2024年
[590.58-594.96] 营收的年均复合成长率是超过100%
[594.96-598.04] 满汉大餐我们聚焦葱烧牛肉口味
[598.04-600.34] 2024年也有双位数的成长
[600.34-603.14] 老坛酸菜牛肉面持续提升
[603.14-607.68] 透过高市能的媒体投放来提升品牌周程度
[607.68-610.76] 2024年营收也有高单位数增长
[610.76-613.90] 食品部门的税前净利为2.9%
[613.92-616.96] 同比增加250%
[616.96-618.82] 净利率2.7%
[618.82-620.68] 是近四年来的最高
[620.68-626.36] 在橘色方面的部分的话是饮料的部门
[626.36-630.48] 2024年饮料的营收为192.4亿元
[630.48-633.22] 饮料部门税前净利23亿
[633.22-635.84] 同比增加21.6%
[635.84-637.62] 净利率12.2%
[637.62-639.46] 是近三年来的最高
[639.46-640.90] 再到下一页
[640.90-643.52] 针对饮品来做进一步的说明
[643.92-647.12] 绿色的部分是茶饮85.7亿
[647.12-649.18] 占饮料的营收45%
[649.18-651.30] 年营收成长13%
[651.30-653.24] 包括我们的统一绿茶
[653.24-655.84] 以低糖无糖的双产品线布局
[655.84-659.22] 统一冰红茶推动产品升级的优化
[659.22-662.82] 统一青梅绿茶凸显产品差异化竞争力
[662.82-665.36] 皆有双位数营收成长
[665.36-668.64] 双翠则聚焦重点城市深耕经营
[668.64-670.26] 强化品牌定位
[670.26-673.00] 建构长期可持续发展的品牌力
[673.00-673.90] 在绿色的部分是茶饮85.7亿
[673.92-676.06] 绿色的部分是奶茶
[676.06-678.50] 2024年营收有64亿
[678.50-680.90] 占整个饮料的营收33%
[680.90-684.58] 统一阿绍姆奶茶持续扩大产品饮用场景
[684.58-686.44] 在下城城市取得成果
[686.44-689.60] 第四季并且开始布局无糖赛道
[689.60-693.14] 另外因应市场的趋势也推出西地奶茶
[693.14-695.06] 收益保持稳步增长
[695.06-697.68] 蓝色的果汁是36亿
[697.68-700.36] 年成长约6%
[700.36-703.72] 包括冰糖雪梨海之岩都有双位数的成长
[703.92-706.04] 再到下一页资产负债表
[706.04-709.62] 2024年底总资产人民币233亿
[709.62-712.30] 现金及月当现金102亿
[712.30-715.26] 不含租赁负债的借贷有2亿
[715.26-717.56] 比去年还要减少
[717.56-720.44] 主要是因为短期营运资金相对充足
[720.44-721.74] 偿还银行借款
[721.74-725.44] 另外可以看到我们的ROE是13.8%
[725.44-727.22] 也是历史新高
[727.22-730.76] 接下来跟各位说明现金流量表
[730.76-733.90] 2024年营运活动产生的进行性负债表
[733.92-735.70] 现金流入约44亿
[735.70-737.24] 同比增加13亿
[737.24-740.12] 投资活动净流出约20亿
[740.12-742.36] 其中资本支出约7亿
[742.36-744.28] 主要是持续投入冰冻化
[744.28-747.12] 融资活动流出约27亿
[747.12-750.24] 发放现金鼓励18.7亿元
[750.24-752.72] 是比2023年还要增加4亿
[752.72-755.24] 最后我们看到现金鼓励
[755.24-757.42] 统一中共已经连续7年
[757.42-759.70] 现金鼓励配发率在100%以上
[759.70-762.56] 我们从蓝色的趋势线也可以看到
[762.56-763.80] 鼓励配发的金额
[763.80-763.90] 也在2024年
[763.92-766.52] 也持续保持一个稳定成长的趋势
[766.52-771.00] 好的 谢谢
[771.00-773.50] 接下来我们请梁源说明
[773.50-776.42] 统一实业2024全年度业绩
[776.42-785.46] 各位投资朋友
[785.46-786.62] 媒体记者好
[786.62-788.66] 接着报告统一实业2024年
[788.66-789.98] 营运及财务状况
[789.98-792.80] 首先报告合并水印检表
[792.80-793.90] 统一实业2024年
[793.92-798.92] 合并营收为新台币448亿5900万元
[798.92-801.92] 较同期成长27.30%
[801.92-804.30] 营收的增加来自于我们公司
[804.30-806.32] 主要的产品正向营运的结果
[806.32-809.58] 其中铁产品由去年的衰退转为成长
[809.58-812.36] 饮料包装则持续稳定的增长
[812.36-815.38] 两项产品共同推升整体的业绩
[815.38-817.92] 也使得营收创下新高
[817.92-821.14] 2024年合并毛利及营业利益
[821.14-823.54] 分别为新台币54亿7000万元
[823.92-825.92] 以及新台币22亿3000万元
[825.92-827.92] 各较同期成长63.91%
[827.92-829.92] 及112.11%
[829.92-831.92] 毛利及营业利益的成长
[831.92-833.92] 因为业务量的增加
[833.92-835.92] 产能利用率较高所致
[835.92-837.92] 本期净利归属于母公司为
[837.92-839.92] 新台币15亿3200万元
[839.92-841.92] 较同期成长125.02%
[841.92-843.92] 整体可以看到我们2024年的营运
[843.92-845.92] 营收创新高
[845.92-847.92] 获利也较同期显著的成长
[847.92-849.92] 合并营收创新高
[849.92-851.92] 获利也较同期显著的成长
[851.92-852.92] 合并营收创新高
[852.92-853.92] 获利也较同期显著的成长
[853.92-855.92] 下一页
[855.92-857.92] 再来报告部门营收
[857.92-859.92] 分别从本公司两个主要产品别
[859.92-861.92] 来看营收的表现
[861.92-863.92] 首先铁产品的营收成长43.38%
[863.92-865.92] 首先铁产品的营收成长43.38%
[865.92-867.92] 主要是我们铁产品摆脱同期的低迷
[867.92-869.92] 主要是我们铁产品摆脱同期的低迷
[869.92-871.92] 销量回升所致
[871.92-873.92] 另外营销包装除了集团稳定的订单外
[873.92-875.92] 另外营销包装除了集团稳定的订单外
[875.92-877.92] 外部客户的订单也有成长
[877.92-879.92] 整体的营运保持稳定
[879.92-881.92] 营收成长12.84%
[881.92-883.92] 下一页
[883.92-885.92] 接着报告产品的销量
[885.92-887.92] 我们一样分两个产品别来看
[887.92-889.92] 我们一样分两个产品别来看
[889.92-891.92] 2024年铁产品的销量
[891.92-893.92] 同期成长50.58%
[893.92-895.92] 主要得益于客户库存回复至
[895.92-897.92] 主要得益于客户库存回复至
[897.92-899.92] 市场的需求回温的情形下
[899.92-901.92] 带动整个销量的提升
[901.92-903.92] 另外饮料包装的销量
[903.92-905.92] 同期成长13.12%
[905.92-907.92] 在饮料市场稳定增长的趋势下
[907.92-909.92] 在饮料市场稳定增长的趋势下
[909.92-911.92] 集团以及外部客户的订单
[911.92-913.92] 在区域的销量提升
[913.92-915.92] 在区域的销量提升
[915.92-917.92] 接着报告部门的税前利润
[917.92-919.92] 接着报告部门的税前利润
[919.92-921.92] 我们从图表可以看到
[921.92-923.92] 2024年铁产品的税前利润
[923.92-925.92] 2024年铁产品的税前利润
[925.92-927.92] 较同期有大幅的改善
[927.92-929.92] 虽然平均售价略低于同期
[929.92-931.92] 主要是因为该年的钢铁原料价格
[931.92-933.92] 仍处于低点的关系
[933.92-935.92] 但是受惠于刚刚提到的
[935.92-937.92] 销量显著的提升
[937.92-939.92] 也带动后力同步提升
[939.92-941.92] 全年顺利转亏为盈
[941.92-943.92] 另外饮料包装的税前利润
[943.92-945.92] 也较同期的成长
[945.92-947.92] 主要受益于饮料的市场需求提高
[947.92-949.92] 集团以及外部的客户订单
[949.92-951.92] 相互成长的带动下
[951.92-953.92] 同样进一步推升互利的表现
[953.92-955.92] 同样进一步推升互利的表现
[955.92-957.92] 接着报告资产负债表
[957.92-959.92] 同一10月2024年的金融借款
[959.92-961.92] 同一10月2024年的金融借款
[961.92-963.92] 以及总负债比可以看得出来
[963.92-965.92] 均比同期降低
[965.92-967.92] 整体的财务结构稳定而且健康
[967.92-969.92] 整体的财务结构稳定而且健康
[969.92-971.92] 再来报告现金流量表
[971.92-973.92] 2024年期末的现金有
[973.92-975.92] 新台币40亿4300万元
[975.92-977.92] 较同期增加
[977.92-979.92] 整体的现金流量充沛
[979.92-981.92] 整体的现金流量充沛
[981.92-983.92] 最后报告股利的政策
[983.92-985.92] 统一10月的股利政策
[985.92-987.92] 如果该年度有获利的话
[987.92-989.92] 则依法提10%的法定盈余公积
[989.92-991.92] 并且提列或回转特别盈余公积后
[991.92-993.92] 并且提列或回转特别盈余公积后
[993.92-995.92] 剩余的盈余就是该年度股东可以分配的盈余
[995.92-997.92] 剩余的盈余就是该年度股东可以分配的盈余
[997.92-999.92] 每股的盈余为新台币0.97元
[999.92-1001.92] 每股的盈余为新台币0.97元
[1001.92-1003.92] 金董事会决议通过后
[1003.92-1005.92] 每股配发新台币
[1005.92-1007.92] 0.97元的现金股利
[1007.92-1009.92] 这个部分在今年的股东会决议后
[1009.92-1011.92] 这个部分在今年的股东会决议后
[1011.92-1013.92] 就可以发放
[1013.92-1015.92] 以上是统一10月的报告
[1015.92-1017.92] 谢谢
[1017.92-1019.92] 谢谢
[1019.92-1021.92] 接下来请贯州说明大统议
[1021.92-1023.92] 2024全年度业绩
[1027.92-1029.92] 大家好
[1029.92-1031.92] 接下来报告大统议
[1031.92-1033.92] 2024年度的业绩表现
[1033.92-1035.92] 接下来报告大统议
[1035.92-1037.92] 2024年度的业绩表现
[1037.92-1039.92] 下页
[1039.92-1041.92] 下一页
[1041.92-1043.92] 下一页
[1043.92-1045.92] 下一页
[1045.92-1047.92] 下一页
[1047.92-1049.92] 不好意思
[1049.92-1051.92] 那首先报告合并营收及获利状况
[1051.92-1053.92] 那首先报告合并营收及获利状况
[1053.92-1055.92] 2024年合并营收是221
[1055.92-1057.92] 比起2023年是略微减少
[1057.92-1061.92] 那麼主要的原因是反映國際間黃豆原料價格下跌
[1061.92-1064.92] 進而帶動國內產品的售價調降
[1064.92-1066.92] 然而營收雖然減少
[1066.92-1070.92] 但是在去年國內的經濟情況是相當的良好
[1070.92-1073.92] 那麼需求可以說相當的穩定
[1073.92-1078.92] 讓產品的售價下跌的幅度是低於原料成本下跌的幅度
[1078.92-1081.92] 最終毛利反而是增加的
[1081.92-1084.92] 加上來自轉投資公司的獲利表現
[1084.92-1087.92] 也都是比去年來優異
[1087.92-1093.92] 這樣的結果讓我們的營業利益成長來到16億3千萬
[1093.92-1095.92] 成長了7.1%
[1095.92-1099.92] 那麼總結2024年的一個財務績效
[1099.92-1102.92] 不論是營業毛利 營業利益
[1102.92-1105.92] 在數字跟比率都是優於前年的
[1105.92-1110.92] 整體的合併的稅前淨利是比前期增加約9%
[1110.92-1113.92] 達到17億1千萬
[1113.92-1114.92] 好
[1114.92-1116.92] 那麼這個數字呢
[1116.92-1120.92] 可以說是公司成立以來最高的一個獲利紀錄
[1120.92-1124.92] 其中歸屬母公司的淨利有超過是3億
[1124.92-1127.92] 那麼EPS是8.24元
[1127.92-1130.92] 下一頁
[1130.92-1134.92] 接下來看合併資產負債表的部分
[1134.92-1136.92] 在2024年期末
[1136.92-1138.92] 現金級約當現金約為22億元
[1138.92-1141.92] 較前一年度比較增加了6億
[1141.92-1143.92] 最主要是來自累積盈餘的增加
[1143.92-1145.92] 那麼總資產是91億
[1145.92-1147.92] 總負債為93億
[1147.92-1149.92] 和前年比較都是增加的
[1149.92-1152.92] 增加的原因除了現金增加以外
[1152.92-1154.92] 主要來自於轉投資公司
[1154.92-1156.92] 為營運成長
[1156.92-1158.92] 增加租用倉庫設備
[1158.92-1162.92] 賬上同時認列使用權資產跟租賃負債
[1162.92-1165.92] 而負債佔總資產的比率
[1165.92-1169.92] 這兩年來都是維持在將近1%左右
[1169.92-1171.92] 相當的一個穩定
[1171.92-1173.92] 在股東權益的部分
[1173.92-1175.92] 隨著累積盈餘的增加
[1175.92-1178.92] 2024年是來到將近59億
[1178.92-1180.92] 較前期增加了3億
[1180.92-1184.92] 而2024年的股東權益報酬率是24%
[1184.92-1187.92] 和前期比較的話差異不大
[1187.92-1191.92] 再往下來看流動比率為320%
[1191.92-1194.92] 和前期比較是有略為降低一些
[1194.92-1196.92] 那麼主要是因為年底的時候
[1196.92-1199.92] 有一些應付款項的金額較高所導致的
[1199.92-1201.92] 下一頁
[1201.92-1206.92] 再來看合併的現金流量表
[1206.92-1208.92] 因為獲利穩定
[1208.92-1211.92] 所以我們可以維持穩定的現金流入
[1211.92-1216.92] 在2024年來自營運活動的現金流入約為21億
[1216.92-1219.92] 在投資活動方面包含資本支出
[1219.92-1223.92] 產生現金流出2億7千萬
[1223.92-1225.92] 資本支出在近年來
[1225.92-1229.92] 因為我們公司並沒有一些比較重大的投資項目
[1229.92-1230.92] 所以和前期比較的話
[1230.92-1233.92] 數字變動是不大的
[1233.92-1237.92] 而在投資活動方面主要是用於發放現金股利
[1237.92-1241.92] 現金流出2024年是11億6千萬
[1241.92-1244.92] 金額與前期比較是有略為增加
[1244.92-1247.92] 主要是因為我們在去年發放的現金股利
[1247.92-1251.92] 從前年的每股6元提升到每股6塊6元
[1251.92-1253.92] 所以綜合以上的變動
[1253.92-1256.92] 在2024年底現金增加了6億
[1256.92-1258.92] 餘額為22億
[1258.92-1259.92] 下一頁
[1260.92-1266.92] 接下來看大同益個體10年來的獲利情形
[1266.92-1268.92] 有圖表可以看得出來
[1268.92-1270.92] 大同益在各項挑戰下
[1270.92-1274.92] 依然保持相當穩定的獲利情形
[1274.92-1277.92] 從個體財報的稅前經歷來看
[1277.92-1281.92] 2015到2019這連續5年
[1281.92-1285.92] 美聯軍穩定維持在大約10到12億之間
[1285.92-1289.92] 而從2020年起到2024年這一個連續5年
[1289.92-1292.92] 獲利水平是提升到15億左右
[1292.92-1295.92] 那麼去年2024年的稅前經歷
[1295.92-1299.92] 是歷史新高點來到15億9千萬
[1299.92-1302.92] 下一頁
[1302.92-1305.92] 接下來看每年的一個配息狀況
[1305.92-1308.92] 2024年的每股盈餘是8.24元
[1308.92-1310.92] 那麼經董事會討論通過
[1310.92-1312.92] 您配發現金股利每股7元
[1312.92-1314.92] 後續將提報今年股東常會
[1314.92-1317.92] 那麼股東常會決議後來配發
[1317.92-1319.92] 而從上方的圖片來看
[1319.92-1321.92] 我們看到在圖表中
[1321.92-1324.92] 綠色柱狀體的部分代表每股盈餘的數據
[1324.92-1328.92] 我們可以看到從2015到2019年間
[1328.92-1331.92] 每股盈餘均維持在5到6元之間
[1331.92-1335.92] 而從2020年起隨著業績持續成長
[1335.92-1338.92] 每股盈餘均穩定提升至7元以上
[1338.92-1340.92] 另外在股利政策方面
[1340.92-1343.92] 過去10年我們始終堅持著一個
[1343.92-1347.92] 現金的股利穩健發放的原則
[1347.92-1349.92] 在2015到2019這5年
[1349.92-1352.92] 我們是連續發放5元的現金股利
[1352.92-1355.92] 而從2020年到2022年
[1355.92-1356.92] 隨著獲利的提升
[1356.92-1360.92] 現金股利連續3年均達到每股6元
[1360.92-1364.92] 2023年更進一步提高到每股6塊6
[1364.92-1365.92] 此外下方的圖表
[1365.92-1368.92] 暫時的是我們的一個股息配發率
[1368.92-1371.92] 顯示這10年來我們的股息配發率
[1371.92-1374.92] 均是維持在70%以上
[1374.92-1375.92] 如果是10年的平均數
[1375.92-1377.92] 則是達到百分之十五
[1377.92-1379.92] 下頁
[1379.92-1385.92] 最後一頁來說明我們的合併股東權益的情形
[1385.92-1390.92] 去年我們的股東權益報酬率是24%
[1390.92-1393.92] 較前一年度是有略為增加
[1393.92-1395.92] 從這個圖表可以看得出來
[1395.92-1396.92] 在過去10年間
[1396.92-1399.92] 大統一的合併股東權益報酬率
[1399.92-1402.92] 都是維持在20%以上
[1402.92-1405.92] 展現出穩定且良好的財務表現
[1405.92-1406.92] 以上是大統一的報告
[1406.92-1407.92] 謝謝大家
[1407.92-1408.92] 謝謝
[1437.92-1438.92] 謝謝
[1467.92-1497.92] 
[1497.92-1501.92] 還有一個小問題
[1501.92-1502.92] 第一這是在頭
[1502.92-1505.92] 雖然大家 COB平台YourQ
[1505.92-1507.92] hiện時在 128%分別
[1507.92-1508.92] 但...!
[1508.92-1524.92] 是不是假這樣
[1524.92-1526.92] 人方選擇投資出錢
[1526.92-1530.10] 只是現在的這種所謂的電商
[1530.54-1534.42] 而是在整個數位經濟裡面的變化情況
[1534.74-1536.58] 集團將來如何能夠運用
[1537.24-1540.64] 在我們的觀察裡面 電商是數位經濟裡面
[1540.64-1543.96] 現在相對表現比較成熟的一個營運模式
[1544.36-1548.70] 但是即使是電商 我們也可以看出來 他透過數位的演化
[1549.00-1552.06] 還有特別是人工智慧不斷的這個進展
[1552.36-1554.22] 他在整個商業模式來講
[1554.22-1556.98] 可謂變化的速度非常快
[1556.98-1558.66] 所以對集團來講的話
[1558.66-1562.82] 我們今年投入在這個電商的部分來講
[1562.82-1567.62] 第一個是讓我們的集團有機會可以更進一步
[1567.62-1569.78] 貼身的去了解一下
[1569.78-1573.36] 有關於這種數位經濟的門道
[1573.36-1575.82] 還有他商業的邏輯
[1578.32-1579.90] 這個部分來講的話
[1579.90-1584.20] 當然另外一方面也可以讓我們更了解一下
[1584.20-1588.64] 電商跟實體通路在獲倡其流的部分來講
[1588.64-1590.44] 他可以扮演什麼樣的一個角色
[1590.86-1592.12] 所以這個部分來講的話
