[0.00-5.00] 觸控佔75%,非觸控佔25%
[345.80-348.80] 在我们的税前税后美股营运
[348.80-349.80] 我想
[349.80-353.80] 每一个项目都应入于2023年
[353.80-354.80] 谢谢
[355.80-357.80] 紧接着看我们资产负债表
[357.80-360.80] 我们看到我们的约账现金
[360.80-363.80] 大概在11.51左右
[364.80-366.80] 当然我们还有一些
[366.80-368.80] 保留于资本公积
[368.80-370.80] 当然还有一些
[370.80-372.80] 被供出售的股票
[372.80-374.80] 也就是我们的
[374.80-376.80] 投资上柜的巨基
[376.80-379.80] 新柜的物联等等
[379.80-385.80] 整个库仓库大概还有大概8亿多
[385.80-387.80] 所以现金流量表的部分
[387.80-391.80] 我们看一页活动的现金流大概33.1
[391.80-396.80] 这里面大概还有支付税的3亿多
[396.80-399.80] 另外投资活动的现金流
[399.80-401.80] 这一块主要是两个大项
[401.80-404.80] 一个就是我们三个月的定存的减少
[404.80-406.80] 还有另外就是
[406.80-409.80] 我们在租给新建大楼的支付款
[409.80-411.80] 最后一个
[411.80-414.80] 融资活动的一个进现金流出
[414.80-415.80] 是8亿多
[415.80-417.80] 这个看到主要是
[417.80-420.80] 我们去年上下半年
[420.80-423.80] 4月跟10月分派股利
[423.80-426.80] 加起来每股大概有7块多
[426.80-430.80] 一个十字的现金的支付
[430.80-433.80] 所以这一块主要是融资活动
[433.80-435.80] 流出的一个主要因素
[437.80-438.80] 接着
[438.80-440.80] 接着第一季的一个改变
[440.80-444.80] 原则上第一季working day比较少
[444.80-448.80] 然后整个来讲也相对是消费性淡季
[448.80-451.80] 不过我刚刚向各位报告就是
[451.80-453.80] 整个关税这个因素
[453.80-456.80] 第一季实际上看起来是淡季不淡
[456.80-459.80] 所以我们估计大概营收会介于
[459.80-462.80] 30到32亿之间
[462.80-467.80] 整个产品现在毛利率有48到51左右
[468.80-472.80] 我想费用应该出估贷跟上市差不多
[472.80-479.80] 所以我们的OP Margin会抓21.9%到26.5%
[479.80-482.80] 我想这个大概整个我们营运的一个说明
[482.80-485.80] 我想额外向各位报告
[485.80-490.80] 就是我们下一次的法收会召开实体法收会
[490.80-496.80] 我想那个时间点预计跟往常我们召开的时间差不多
[496.80-499.80] 因为预计在五个月份
[499.80-501.80] 那第一点我们会选择台北
[501.80-504.80] 我想大概捷运站附近
[504.80-507.80] 原则是要选在大安区或新宜区
[507.80-511.80] 那实际上我们到时候会激发邀请
[511.80-513.80] 还有上东大讯息
[513.80-516.80] 我想以上是我的一个说明
[516.80-518.80] 那紧接着我们进行Q&A
[518.80-520.80] 好谢谢
