[0.00-29.40] 國金公司與簡報中提供的外部資料均取於市場公開訊息,並盡力維持最新資訊。
[200.86-205.86] 從2010年開始,我們擴大了UV光固化的生產,在永安區擴建了25000噸人產品。
[205.86-210.86] 並且與UV光固化起始計一個知名大廠IGM在國際市場上合作。
[210.86-213.86] 並且與UV光固化起始計一個知名大廠IGM在國際市場上合作。
[213.86-221.52] 正在全球發展應用業owo ένα位新建設副總裁C
[221.52-233.52] 向上借管,不用�!
[233.52-241.52] 2030年 clarificationäche用途出口, Поэтому我們將更多的設計計畫flan sho不要下廠 selves,所以我們要pfc法律決定,就是在線上寫商品劃開發,才能犯件。
[241.52-243.12] 스가
[243.12-243.76] 是
[243.76-245.76] 投資的一間信訊公司
[245.76-250.36] 美商的Electronic主要做電子瓶漿
[250.36-252.36] 也投入了PSMA
[252.36-256.16] 就是Syrene, Lichen, Hydrate 數值的開發
[256.16-258.36] 正著影下一個世代
[258.36-262.96] 主要就是針對UV光掛的solutions
[262.96-266.76] 以及電子化學材料及特用數值
[266.76-268.76] 下一頁
[268.76-275.36] 公司在各項產品認證基本上都有取得
[275.36-279.36] 主要是系統各種ISO認證
[279.36-282.36] 以及各項產品化學允訪的註冊
[282.36-284.36] 像Witch, Tosca的註冊
[284.36-291.36] 以便公司在行銷、選手上面有更多的立足點
[291.36-293.36] 下一頁
[293.36-298.36] 公司主要產品有幾個面向
[298.36-300.96] 剛剛有提到光光化材料、電子化學材料
[300.96-304.36] PSMA數值、不薄的G數值及塗料數值
[304.36-308.16] 這上面兩項就是傳統的塗料容器型數值
[308.16-313.16] 上面三項則是近年正在主力開發的數值
[313.16-315.16] 下一頁
[315.16-321.16] 光光化材料顧名思義就是預光會固化的材料
[321.16-324.16] 它具有節能、高效、環保特性
[324.16-328.16] 對於傳統數值容器固化來說
[328.16-331.16] 它沒有VOC的優勢
[331.16-339.16] 所以說它在未來追求Sustainability以及ESG的面向
[339.16-341.16] 它具有正向成長的趨勢
[341.16-345.16] 下一頁
[345.16-348.16] 它的主要應用範圍就很廣
[348.16-350.16] 舉例來說像工業塗料
[350.16-355.16] 工業塗料就是所謂的硬鐵罐或各式各樣的罐裝
[355.16-358.16] 像噴霧罐等等的印刷
[358.16-360.16] 以及印刷塗料
[360.16-362.16] 印刷塗料及油墨
[362.16-366.16] 就是我們常看到紙張、紙類、書類的塗料
[366.16-370.16] 這些都是預光化的主要的市場
[370.16-372.16] 另外還有就是木器塗料
[372.16-377.16] 比如說我們家裡面的家具、服裝以及木地板
[377.16-378.16] 木木地板等等
[378.16-381.16] 這些都是木器塗料的一部分
[381.16-383.16] 電子材料方面
[383.16-387.16] 光光化材料主要的應用就是乾木工廠機
[388.16-391.16] PCB的行業也是一個主力的市場
[391.16-393.16] 所以從這邊可以看得出來
[393.16-397.16] 光光化材料主要的市場就是在消費性市場
[397.16-399.16] 在消費性市場端
[399.16-402.16] 它的需求也跟消費性市場是息息相關
[402.16-404.16] 只要消費性市場景氣比較好
[404.16-408.16] 它總體的需求也會提高
[408.16-412.16] 下一頁
[412.16-414.16] 在電子化學材料方面
[414.16-417.16] 公司主要有兩個主動項目
[417.16-420.16] 第一個就是跟日本廠商JSA合作
[420.16-424.16] 目前跟JSA合作除了在顯示材料方面
[424.16-426.16] 我們也配合了BI配上某些材料
[426.16-429.16] 以及居高品級版的材料
[429.16-433.16] 另外一項目也是剛剛提過的電子雲下的一個充電器
[433.16-438.16] 它主要的用途都是用在下一世代的產品
[438.16-443.16] 包含在手機、前進封裝以及在晶片上面
[443.16-445.16] 下一頁
[447.16-449.16] PSMA特用數值
[449.16-453.16] 全名就是Sterium, Molybdenum, Hydrogen, or Copolymer
[453.16-456.16] 它具有一個非常特殊的梳狀結構
[456.16-459.16] 線性結構在側鏈做分支
[459.16-463.16] 本義西集集團本身就是一個非集性集團
[463.16-466.16] 它具有Low Dk, Low Df的特性
[466.16-469.16] 就是低介電長處以及低介電損耗的特性
[469.16-475.16] 所以它主要是用來作為環氧數值的固化劑
[475.16-476.16] 可以用在4G機場上的電子化學材料上
[477.16-480.16] 以及4.5G CCL的基本上的應用
[480.16-482.16] 它具有非常好的熱軟解控
[482.16-484.16] 除了CCL的應用以外
[484.16-487.16] 它主要也用在油分站鑄劑
[487.16-492.16] 比如水泥或是乳膠水性塗料裡面的應用
[492.16-500.16] 它的特色就是它市場的應用算是非常地niche
[500.16-503.16] 所以說市場的供應商極少
[503.16-507.16] 也讓我們掌握到這樣子的市場推廣機會
[507.16-509.16] 那下一頁
[512.16-517.16] 那不保濕劑的數值就如同剛剛Yubi說過的一樣
[517.16-519.16] 它主要也是在市場上
[519.16-526.16] 那例如像是紐紗大理石、紐扣、標錯品
[526.16-530.16] 這些柱形品都是不保濕劑的數值的主要應用
[530.16-534.16] 另外就是FRB複合材料
[534.16-536.16] 它具有輕量化耐厚性
[536.16-539.16] 耐化性的特性
[539.16-546.16] 所以說像是在漁船船舶的一些船殼
[546.16-550.16] 或者是除草盆的這些應用還有蜂蜜葉片
[550.16-552.16] 那SACPAC舉例來說
[552.16-555.16] 就像我們在日本旅遊的時候
[555.16-558.16] 我們去飯店我們可以看到他們的浴室
[558.16-561.16] 整體浴室每一間都長得很像
[561.16-562.16] 長得一樣
[562.16-565.16] 那他們用的地板或是裡面所有的牆壁
[566.16-568.16] 都是SMG的材料
[568.16-572.16] 那就是具有輕量化耐厚、耐化性的特性
[572.16-576.16] 那它也是跟消費意識其實相關的項目
[576.16-577.16] 項目
[581.16-583.16] 那最後是塗料數值
[583.16-587.16] 那塗料數值是公司所以前期發展的一個項目
[587.16-590.16] 那目前漸漸漸漸漸轉移了
[590.16-594.16] 主要是因為這個市場在中低端的應用比較多
[594.16-596.16] 那中高端的應用比較多
[596.16-598.16] 相對比較Niche
[598.16-601.16] 那目前公司主要發展還是在中高端的應用
[601.16-605.16] 因為在中低端市場它需要規模化經濟才具有效益
[605.16-610.16] 那它項目有公司主要的純磚數值、壓克力數值及氨基數值
[610.16-615.16] 那這些項目呢公司會逐漸轉移到大陸的加溫廠
[615.16-618.16] 那在永安廠這邊呢這些產線及人力
[618.16-621.16] 會慢慢轉移到高磁化的應用項目
[621.16-622.16] 謝謝
[626.16-634.16] 那當時在建廠的時候我們就已經決定不會把光固化數值的技術轉移到那邊去
[634.16-637.16] 那當然也是避免這個技術外流的部分
[637.16-644.16] 那所以說加溫廠主要就是以溶劑型數值為生產基地
[644.16-650.16] 那主要服務的客戶群過去都是以大陸市場為主要的服務客戶
[650.16-655.16] 那未來因為大陸目前也屬於RCEP東協加生的一個
[655.16-660.16] 所以他也會往目前我們也會利用加溫廠這個優勢
[660.16-664.16] 來逐漸轉移我們東南亞及澳洲的訂單
[664.16-667.16] 以加溫廠為主要生產基地
[667.16-668.16] 下一頁
[671.16-676.16] 那全球公司總共銷售超過50個國家
[676.16-682.16] 那主要UE的話就是以歐洲、美國以及東北亞為主
[682.16-684.16] 那傳產數值則是
[684.16-685.16] 因為我們有一個很重要的一個優勢
[685.16-688.16] 由於保存期限較短的原因呢
[688.16-690.16] 他主要會是亞洲區域
[690.16-696.16] 東南亞最遠大概就是在大亞洲、澳洲這個區域為主
[696.16-703.16] 那目前跨足的國家大概超過50個國家
[703.16-705.16] 下一頁
[710.16-714.16] 那針對營運早旺的部分呢
[714.16-719.16] 我們就先跟各位說明一下去年的營運狀況
[719.16-722.16] 那去年的營運狀況呢
[722.16-725.16] 基本上是比原本的
[725.16-729.16] 由於第三季世紀開始需求開始下滑
[729.16-732.16] 那所以說我們比起原先設定
[732.16-735.16] 加成到20%目標沒有達到
[735.16-737.16] 那在奧運結束之後呢
[737.16-739.16] 足以歐洲市場需求放寡
[739.16-743.16] 那也包含客戶的庫存不明偏高
[743.16-748.16] 我們目前認為是有進入下一個去庫存的一個週期
[748.16-752.16] 那產品數值則是全年保持持平的狀況
[752.16-757.16] 那全年銷售跟2023年是差不多相同
[757.16-761.16] 那我們認為這樣的狀況應該是未來的一個常態
[761.16-764.16] 那從此為盡維持這樣的銷售狀況
[764.16-767.16] 那電子化與材料則是符合預期
[767.16-770.16] 全年的營收都比2023年要成長
[770.16-772.16] 那
[772.16-775.16] 針對2025年的營運的展望呢
[775.16-780.16] 那公司上半年由於有很多生產線的工程都正在進行當中
[780.16-782.16] 包含新產線設置
[782.16-784.16] 反應節反應除潮遷移等等
[784.16-787.16] 那有一定程度都會影響到光固化的產能
[787.16-790.16] 所以說在安安產能啟用以前
[790.16-795.16] 我們目前看來我們的營收會呈現比較衰退的狀況
[795.16-798.16] 那如果
[798.16-800.16] 目前的消費性市場的景氣比較低
[800.16-801.16] 所以說
[801.16-803.16] 我們會有一個比較強勁的工程
[803.16-806.16] 那公司會以順利完成產線工程為優先的考量
[806.16-808.16] 那供貨上則也
[808.16-810.16] 重點是確保供貨有一定的原則
[810.16-814.16] 期望所有的建設工程都能夠如期完成
[814.16-818.16] 那等待市場需求反轉的時候公司能做好準備
[818.16-823.16] 那安安廠主要規劃是UV的生產的產線
[823.16-825.16] 那正式投入量產之後呢
[825.16-830.16] UV的光固化的總產能達到5萬多
[830.16-833.16] 預計第三季之後會開始試車正式量產
[833.16-835.16] 預估會從第四季開始
[835.16-838.16] 首要工作會先把加工利率提高
[838.16-842.16] 因此會以UV的一般品作為主要銷售的影響
[842.16-845.16] 所以屆時我們可以預期公司對UV光固化的總品毛利率
[845.16-847.16] 可能會有所影響
[847.16-850.16] 那目前公司UV的銷售
[850.16-854.16] 一般品跟特殊品的比例大概是25比75
[854.16-856.16] 那未來會逐步向1比1靠謀
[856.16-860.16] 那我們會等待安安廠的加工率提高到效率產能之後呢
[860.16-863.16] 會再逐步調整產品的配額
[863.16-866.16] 然後來提高產品價值為產品目標
[866.16-869.16] 那今年的營運量點主要還是在高速運算材料
[869.16-871.16] 就是HC材
[871.16-874.16] 那這是跟J3合作項目
[874.16-877.16] 那第一套設備量產設備將於第二季完工
[877.16-879.16] 六月份會正式投產
[879.16-882.16] 那以它設備的年產會達到大概450噸左右
[882.16-885.16] 那第二第三套設備正在建設當中
[885.16-887.16] 預計今年底可以完成
[887.16-889.16] 那明年可以正式投入量產
[890.16-894.16] 公司的HC年產就會達到1350噸到1400噸左右
[894.16-897.16] 那隨著高速運算市場需求快速增加
[897.16-901.16] CCO廠商對於新產業的需求引擎需要下修
[901.16-906.16] 所以說公司下半年會再與J3公司討論後續的擴產計畫
[906.16-909.16] 那PHMA產線也是預計今年也會完工
[909.16-911.16] 這季年產了3000噸
[911.16-915.16] 明年也將會成為營業成長的一個主要項目之一
[915.16-917.16] 那傳統產業的數值呢
[917.16-919.16] 公司已經陸陸續續將配方轉移到
[920.16-921.16] 江門廠
[921.16-925.16] 所以說利用江門廠RCEP的優勢在供應東南亞及澳洲市場
[925.16-928.16] 那永安廠這邊已經傳的數值會逐步減掉
[928.16-930.16] 但也不會立刻
[930.16-936.16] 那未來供應會以國內以及東北亞等較高端的市場運用為主
[936.16-940.16] 那總體而言目前傳的數值公司的營業目標還是齊全為主
[940.16-944.16] 未來不會是公司營業成長主要目標
[944.16-946.16] 下兩頁
[946.16-948.16] 因為剛剛一個電音過了
[948.16-950.16] 再下一頁
[950.16-952.16] 這邊講過
[952.16-954.16] 那安南廠
[954.16-956.16] 上一頁
[958.16-960.16] 安南廠
[960.16-964.16] 安南廠的話會是坐落在安南科技工業園區
[964.16-966.16] 有25000平方米
[966.16-969.16] 那大概是8500平
[969.16-973.16] 那主要規劃項目是UV光掛數值以及濾機型的
[973.16-975.16] 還有空地可以做濾機型的數值
[975.16-979.16] 那我們目前預計是第三季能夠是
[980.16-982.16] 可以完工
[982.16-984.16] 第四季可以正式投入量產
[984.16-989.16] 那往後面請我們財務主管何傑麗來跟各位報告一下我們這一頁的數
[989.16-990.16] 好
[990.16-991.16] 好
[991.16-993.16] 各位線上的投資先進好
[993.16-997.16] 現在換我國際化學財務部何英堂來為各位報告
[997.16-999.16] 這一頁呢
[999.16-1004.16] 是113年第四季及113年度的綜合生育狀況
[1004.16-1009.16] 113年第四季合併營收是9.66億元
[1009.16-1013.16] 較112年第四季成長1%
[1013.16-1015.16] 毛利率15.8%
[1015.16-1020.16] 較112年第四季增加0.3個百分點
[1020.16-1023.16] 合併營業費用1.08億元
[1023.16-1026.16] 較112年第四季增加6%
[1026.16-1029.16] 主要是年終獎金提煉
[1029.16-1032.16] 合併營業利益4510萬元
[1032.16-1036.16] 較112年第四季衰退1%
[1036.16-1037.16] 合併營業利率4.4%
[1037.16-1038.16] 合併營業利益4510萬元
[1039.16-1044.16] 較112年第四季減少0.1個百分點
[1044.16-1047.16] 在收到業外收益中
[1047.16-1050.16] 股利收入減少1900多萬的影響
[1050.16-1056.16] 113年第四季合併本期淨利為4259萬元
[1056.16-1060.16] 較112年第四季衰退7%
[1060.16-1063.16] 合併本期淨利率4.4%
[1063.16-1067.16] 較112年第四季減少0.4個百分點
[1067.16-1072.16] 113年第四季EPS為0.43元
[1072.16-1076.16] 較112年第四季減少7%
[1076.16-1079.16] 再來是表格右邊的部分
[1079.16-1083.16] 113年度合併營收40.4億元
[1083.16-1086.16] 較112年成長17%
[1086.16-1089.16] 毛利率16.8%
[1089.16-1092.16] 較112年增加1.5個百分點
[1092.16-1095.16] 合併營業費用4.17億元
[1095.16-1096.16] 較112年第四季EPS為0.43元
[1097.16-1099.16] 較112年增加15%
[1099.16-1102.16] 主要是薪資費用及出口費用增加
[1102.16-1105.16] 合併營業利益2.6億元
[1105.16-1108.16] 較112年成長57%
[1108.16-1111.16] 合併營業利率6.4%
[1111.16-1114.16] 較112年增加1.6個百分點
[1114.16-1119.16] 受到業外受益股股利收入及樣品收入減少的影響
[1119.16-1123.16] 113年度合併本期淨利為2.25億元
[1123.16-1126.16] 較112年成長34%
[1126.16-1130.16] 合併本期淨利率5.6%
[1130.16-1135.16] 較112年同期增加0.8個百分點
[1135.16-1139.16] 113年度EPS為2.25億元
[1139.16-1141.16] 較112年增加35%
[1141.16-1143.16] 下一頁
[1143.16-1148.16] 這一頁是主要產品別的合併營收
[1148.16-1152.16] UV光固化材料第四季營收為5.3億元
[1152.16-1155.16] 較112年第四季衰退6%
[1155.16-1159.16] 113年度營收為24億元
[1159.16-1162.16] 較112年成長27%
[1162.16-1167.16] 電子化學材料第四季營收為9,345萬元
[1167.16-1170.16] 較112年第四季成長85%
[1170.16-1173.16] 113年度營收為2.9億元
[1173.16-1176.16] 較112年成長21%
[1176.16-1181.16] 不飽和聚酯素質第四季營收為1.95億元
[1181.16-1184.16] 跟112年第四季差不多
[1184.16-1187.16] 113年度營收為7.7億元
[1187.16-1190.16] 較112年衰退1%
[1190.16-1193.16] 塗料素質第四季營收為1.2億元
[1193.16-1197.16] 較112年第四季成長2%
[1197.16-1200.16] 113年度營收為4.7億元
[1200.16-1203.16] 較112年成長7%
[1203.16-1205.16] 下一頁
[1205.16-1209.16] 這一頁是主要產品別的毛利率
[1209.16-1213.16] UV光固化材料第四季毛利率4.5%
[1213.16-1216.16] 較112年第四季略減
[1216.16-1219.16] 這主要是受到第四季歐美需求減緩
[1219.16-1222.16] 歐洲科普調整庫存的影響
[1222.16-1226.16] 但是113年度毛利率17.3%
[1226.16-1229.16] 則是較112年大幅成長
[1229.16-1233.16] 主要是113年上半年歐美需求回溫
[1233.16-1237.16] 以及第三季歐洲大型再次帶動需求的影響
[1237.16-1241.16] 113年電子化學材料的毛利率
[1241.16-1243.16] 都維持在30%左右
[1243.16-1245.16] 較112年衰退
[1245.16-1249.16] 主要是我時跟JSR的合作案是收取固定的代工利潤
[1249.16-1255.16] 毛利率會隨著我時自行採購原料比重提高而逐漸降低
[1255.16-1258.16] 再來是不保而居指數值的毛利率
[1258.16-1262.16] 113年度大約維持在13%左右
[1262.16-1264.16] 較112年減少
[1264.16-1267.16] 主要受競爭對手競價的影響
[1267.16-1269.16] 毒料數值113年度
[1269.16-1271.16] 毛利率11.3%根
[1271.16-1273.16] 同期112年度差不多
[1273.16-1275.16] 下一頁
[1275.16-1278.16] 法說會到此為止
[1278.16-1280.16] 這一頁有我時的聯絡方式
[1280.16-1283.16] 各位投資先進如果有問題都可以跟我時聯絡
[1283.16-1285.16] 或跟富邦證券聯絡
[1285.16-1287.16] 以上
