[0.00-4.48] OK 歡迎大家參加今天2025年第一季的法收會
[4.48-8.86] 今天會跟大家介紹第一季的整個
[607.06-608.60] 比如是从
[608.60-614.24] 原本的澳洲中国铁矿砂是澳洲中国可能改到比如说
[614.24-616.28] 西非到中国
[616.28-618.58] 那这个航运的里程数
[618.58-621.40] 延顿海里会增加了大概7000
[621.40-623.20] 海里
[623.20-626.78] 然后运费的市场也会有所影响
[626.78-630.36] 然后对于这个CAPSIZE对于铁矿砂船的
[630.36-632.16] 需求也会增加
[632.16-634.46] 所以长期来讲
[634.46-638.56] 展望是好的所以这个也可以解释为什么
[638.60-640.14] 中国的船
[640.14-642.70] 船东大概在大量购买
[642.70-644.74] 大型的船舶
[644.74-647.56] CAPSIZE是VLC的原因
[647.56-650.64] 是这样子
[650.64-653.20] 不知道大家有没有什么问题
