[0.00-2.72] 欢迎参加维影科技线上座谈会
[191.42-194.18] 以因应正经动态与客户需求
[194.18-196.92] 以上是2024年财报的说明
[196.92-197.70] 谢谢大家
[197.70-200.98] 谢谢Natalie
[200.98-205.20] 那接下来请Harry针对公司的营运以及展望做说明
[205.22-205.58] 谢谢
[205.58-208.42] 好那个谢谢Harry
[208.42-213.28] 那各位这个投资先进还有这个媒体的这个朋友们大家好
[213.28-215.32] 我是公司的财务长Harry
[215.32-219.26] 那先由我来这边先跟大家开个场
[219.26-224.62] 就是有关刚刚Natalie已经先就这个Q4的这个财务报告
[224.62-227.94] 跟一些股东会的事项做报告
[227.94-232.74] 那我就再做一些重点的这个说明
[232.74-235.20] 那首先是这个Q4的财务
[235.20-238.36] 非常感谢ronic店的Al HAMAM e-star
[238.36-239.78] Zoom liters
[239.78-240.52] pages
[240.52-240.66] allah
[240.66-241.02] 你好
[241.02-241.64] 阿王
[241.64-242.22] 家庭
[242.22-243.16] 请
[243.16-258.48] 我认为订阅 CBNA fans
[258.48-263.78] 我们推荐股市前麦
[263.78-265.18] ow News
[265.20-273.62] 年度结束后公司的总支会有通过盈余配股的案
[273.62-280.88] 每股配股欠薪股率74块
[280.88-287.36] 这个数字如果去用我们的公司所配发出的总金额
[287.36-292.78] 跟处于公司的税后盈余的话
[292.78-294.58] 那这个比例是60%
[294.58-301.04] 那我想这个是合乎公司的长期稳定的一个均衡的鼓励政策
[301.04-306.50] 那这里的均衡的意思是不仅仅是对投资人股东的均衡
[306.50-314.04] 那也对公司留有这些营运资金去保留做持续的投资跟准备
[314.04-319.18] 我想这是一个公司追求的这个长期均衡的这个目标
[319.18-323.64] 那我们今年还是有达到这样子的自我的这个设定的目标
[323.64-324.56] 好
[324.58-327.66] 董事会同时也有
[327.66-332.90] 2月27号的董事会同时也通过两个重大的这个投资议案
[332.90-335.40] 那都是在资本支出的部分
[335.40-340.96] 那是在一个是在台南新厂的这个投资
[340.96-344.98] 那这个是我们会在台南新厂的
[344.98-354.50] 自建的大楼的包括里面的图建还有机电设备的这个持续的
[354.58-358.14] 这个投资跟更新这个投资状况
[358.14-367.24] 那目前台南新厂的状况是已经在去年第四季的时候已经动土开工了
[367.24-368.58] 那现在正在建设中
[370.40-374.50] 那还有一个就是在美国德州的这个投资案
[374.50-378.48] 那这个是已经三亿元的投资案
[378.48-380.56] 那在这个投资
[380.56-382.92] 我想大家都很清楚了解
[382.92-383.50] 就是说这个目前在美国的投资案是有很多的投资的投资案
[383.50-384.46] 就是说这个目前在美国的投资案
[384.46-384.96] 就是说这个目前在
[384.96-392.32] 因为美国对穆辛克克与关税的这个事件
[392.32-398.28] 那公司去做这样子的长期的这个应对措施
[398.28-404.70] 那我想关税这个议题是今天早上又有新的变化
[404.70-408.32] 那又这个再延一个月这样子
[408.32-413.84] 那我想这个看来已经是一个常态了
[413.84-414.44] 就是说这个这个投资案是已经在进行的
[414.44-414.46] 就是说这个这个投资案是已经在进行的
[414.46-414.80] 就是说这个这个投资案是已经在进行的
[414.80-416.94] 这个不确定的因素啦
[416.94-419.88] 这对于美墨之间关税的这个议题
[419.88-422.66] 那会变动是一个常态
[422.66-426.94] 那我想说的是说这个变动的常态
[426.94-432.36] 不会影响这个美国的这个指控制的政治案
[432.36-437.80] 那长期以来要把我们的营运据点再扩张
[437.80-443.70] 那达到这个多元性跟这个营运的任性
[443.70-443.76] 那达到这个多元性跟这个营运的任性
[443.76-444.30] 我想这是一支大事啊
[444.30-446.76] 我们应该要做的事情
[446.76-449.28] 所以这个不管关税的政策
[449.28-450.54] 会怎么样的改变
[450.54-453.04] 这个投资案会持续的进行下去
[453.04-459.68] 那2025年我们公司整体来看
[459.68-462.82] 还是对于前景是看好的
[462.82-464.18] 所以整个资本支出
[464.18-466.08] 总金额的部分
[466.08-469.40] 我们大约可以去设定
[469.40-473.10] 是大概180亿台币的这样子的金额
[473.10-477.72] 来做这个今年2025年的资本支出设定
[477.72-482.46] 那这里面不止只有总是会通过
[482.46-484.94] 2月27号通过的这两个议案
[484.94-487.98] 那也包括我们在马来西亚
[487.98-494.24] 包括我们在南科厂
[494.24-496.28] 我们在陆竹还有一个工厂
[496.28-497.76] 然后在墨西哥
[497.76-500.42] 其实都还有这个扩增的需求
[500.42-501.86] 那当然就是
[501.86-506.08] 台南的新厂跟这个美国的
[506.08-510.20] 这个新厂的部分会是重点
[510.20-512.56] 好那
[512.56-516.90] 最后就是展望这个
[516.90-518.42] 这个
[518.42-520.36] 前景
[520.36-522.16] 那我想各大
[522.16-525.60] 这个各大的CSP
[525.60-528.74] 云端服务云端服务的这个供应商
[528.74-530.98] 也对已经都
[530.98-531.84] 先后对
[531.86-536.34] 所以2025年的资本支出做出展望
[536.34-542.66] 那这些这些 这些云端服务商的资本支出
[542.66-545.70] 那相对应就是可以来当做这个微云
[545.70-547.72] 对于这个营运前景的这个展望
[547.72-551.88] 那我们看到的都是有看到双位数的门对营的增长
[551.88-552.60] 所以
[552.60-557.82] 总括来说对2025年的营运是 是是乐观的
[557.82-561.02] 那在今天的这个法说会开始的前
[561.02-561.86] 前前
[561.86-564.16] 前一刻我们公布了
[564.16-566.22] 也公布了二月份的
[566.22-567.00] 营收
[567.00-570.14] 那二月份的营收又再一次创下
[570.14-571.84] 这个单月历史新高
[571.84-574.12] 那我想像这样子的
[574.12-576.32] 客户的这个云端资料
[576.32-577.26] 供应商的
[577.26-580.10] 资本资助展望还有二月
[580.10-581.82] 最新的这些营收的
[581.82-584.34] 数字公告我想都可以来
[584.34-585.46] 都可以
[585.46-586.52] 来
[586.52-589.90] 支持
[589.90-592.62] 让我们来看对于2025年
[592.62-594.02] 的这个乐观的
[594.02-595.96] 需求的前景来
[595.96-597.20] 做这样的看法
[597.20-599.44] 那
[599.44-601.92] 所以我想这个
[601.92-604.18] 以上就是关于我们的这个
[604.18-605.90] Q4的
[605.90-607.58] 营运的一些重点
[607.58-610.06] 然后还有一些对一些重大的
[610.06-611.84] 资本支出鼓励发放
[611.84-613.48] 跟这个未来的营运展望
[613.48-615.84] 那我想我的时间
[615.84-617.22] 就先讲到这边
[617.22-619.18] 那把时间交给Carrie看
[619.18-619.88] 进行下面
[619.88-620.90] 的这个议程
[620.90-624.20] 谢谢
[624.20-626.12] Henry那接下来我们
[626.12-628.14] 将开始进行Q&A
[628.14-629.92] 由于本次与会人数
[629.92-631.98] 众多烦请想要提问的
[631.98-634.22] 投资先进使用举手的功能
[634.22-636.26] 我将依序请您提问
[636.26-638.12] 每次提问请以一个
[638.12-639.92] 问题加一个follow up
[639.92-642.14] 为限提问前也烦请
[642.14-644.30] 投资先进提供您的贵姓
[644.30-646.00] 大名及公司保号
[646.00-648.24] 在此先感谢投资先进的
[648.24-648.64] 配合
[648.64-649.66] 那
[649.88-652.22] ,我们等待线上投资人
[652.22-653.54] 提问的同时
[653.54-656.86] 我这边有一个问题想先跟
[656.86-659.54] Henry请教的是
[659.54-662.54] 关于这个德州的投资
[662.54-664.16] 您刚刚有提到我们这个投资
[664.16-666.38] 金额大概是300万美金
[666.38-669.70] 300个300个million美金左右
[669.70-673.00] 那想请教的是这个
[673.00-676.44] capacity的规模大概有多少
[676.44-679.64] 相较于现在墨西哥占我们total的
[679.64-681.92] 这个capacity大概是70个percent左右
[681.92-685.26] 德州的部分大概可以大概可以满足
[685.26-688.32] 多少客户想要专场的需求
[688.32-689.30] 这是第一个问题
[689.30-690.58] 谢谢
[690.58-691.48] OK好
[691.48-695.50] 那我想也因应现在这个多变的
[695.50-696.22] 这个情势
[696.22-701.60] 我们我没有办法量化这个
[701.60-703.62] 这个这个对等数字
[703.62-707.32] 那我想这个是一个动态的状况
[707.32-709.22] 那我们不会因为这个
[709.64-711.64] 关税课或不课
[711.64-713.64] 那去做改变
[713.64-715.64] 那当然如果不课的话
[715.64-719.64] 我们会这个动态就是动态所造成的影响
[719.64-720.64] 就是还是会前进
[720.64-722.64] 但是如果不课
[722.64-726.64] 那其实会给我们更充裕的时间去做
[726.64-727.64] 这个
[727.64-731.64] 布展跟这个这个就是部署了
[731.64-738.64] 那可以去有更更更更长的考虑时间去做搭配
[738.64-739.64] 那所以我想
[739.64-742.64] 这是一个动态的调整
[742.64-745.64] 那所以
[745.64-746.64] 我们不会好我们
[746.64-748.64] 那这个终极的目标呢
[748.64-751.64] 其实我们也不会
[751.64-753.64] 呃终极的目标不会说
[753.64-757.64] 因为有了这个美国新厂而去取代掉
[757.64-758.64] 墨西哥墨西哥厂
[758.64-762.64] 这是不会发目前我们没有没有做这样的计划
[762.64-767.64] 那呃反而其实就是动态的去针对这个政策的
[767.64-769.64] 的状况去做动态的调整
[769.64-772.64] 那这个我以上回答
[772.64-775.64] 了解
[775.64-778.64] 那呃我这边第二个问题是
[778.64-782.64] 呃一样就是也是关于这个产能以及关税的部分了
[782.64-785.64] 因为呃其实关税在这两天已经开始了
[785.64-787.64] 那当然呃像您刚刚提到
[787.64-790.64] 今天早上有有些呃新的变化
[790.64-791.64] 不过在开始之后
[791.64-798.64] 呃想请教 harry 的是呃在公司跟客户呃接触呃所得到的feedback来看
[798.64-805.64] 呃多数的客户是现在是倾向继续留在墨西哥呃等待美国厂ready
[805.64-809.64] 还是说呃已经有客户提出转场
[809.64-812.64] 从马来西亚或是捷克出货的需求
[812.64-813.64] 谢谢
[813.64-821.64] 嗯好呃我想跟客人之间的这个密切沟通啊也不不止就已经持续一阵子了
[821.64-827.64] 就是随这个这个政策的这个改变啊那这几天真的很这个多变了啊
[828.64-836.64] 所以呃harry刚提到了这些这些剧本的这个在在前更早的时间的剧本的设计
[836.64-838.64] 那跟后来事实的发生
[838.64-842.64] 你讲的这些剧本啊这个客人怎么去在短期的因应
[842.64-846.64] 毕竟我们现在这个董事会才刚过美国厂的投资嘛
[846.64-849.64] 那都现在还是目前是没有的
[849.64-855.64] 所以呃客户的选择跟因应方式也都这几天来说也都有所不同
[855.64-857.64] 那我想
[857.64-858.64] 嗯
[858.64-863.64] 呃让这个客客人的客户的这个自身的这个需求啊
[863.64-871.64] 去对于这个需求的这个强度跟这个替代性的这个方案也有不同的这个故事假设
[871.64-878.64] 那展现出来的结果就是有客人会呃就是这几天我们还是持续出货
[878.64-885.64] 好那有客人可能是选择一些产品持续出那有停止出货一些产品
[885.64-887.64] 那停止的部分是从墨西哥停
[887.64-896.64] 但是会从我们的这个欧洲跟亚洲的地区就是马来西亚呃这个捷克跟马来西亚场的部分去做资源出货
[896.64-900.64] 那那也有客人选择就是出继续出
[900.64-902.64] 那这个就缴关税
[902.64-910.64] 那我这个这个对所以呃您提到的这些剧本的做法
[910.64-913.64] 呃其实是都的确都都有了
[913.64-915.64] 那都有发生那各自的
[915.64-916.64] 所以这这这里我
[916.64-917.64] 我
[917.64-923.64] 我再重申就是说再呼应一次就是说为什么现在这个政策是多变的
[923.64-929.64] 然后客人的呃选择跟这个背景的因素是是不一样的
[929.64-934.64] 那这这个才让我们的这个决策的这个环境啊
[934.64-937.64] 就这个这个应该说决策的情境啊
[937.64-939.64] 其实也变成是多元的
[939.64-945.64] 而且要能够就没有办法做这么呃极端的这个这个决策啊
[945.64-946.64] 那那这个决策的方向是什么呢
[946.64-953.64] 这个决策的方向都是在一个比较动态的可以随时能够弹性调整的方式去去去做的
[953.64-957.64] 因为客客户的情境是是很不一样
[957.64-960.64] 好那我就以上回答这些问题
[960.64-962.64] 了解谢谢harry的说明
[962.64-966.64] 那接下来我们就开始接受线上呃投资人的提问
[966.64-969.64] 呃首先第一位请ubs的brace
[969.64-971.64] 请开始谢谢
[971.64-973.64] 好谢谢谢谢呃carry
[973.64-975.64] 那呃财务长dantoli您好
[975.64-977.64] 呃我是ubs的grace
[977.64-985.64] 我想要请问第一个问题就是呃我们刚才有提到这个二月营收呃非常的强
[985.64-994.64] 请问一下这个二月营收它的动能主要来自于asic server还是general server还是这两项都有
[994.64-996.64] 这是第一个问题
[996.64-998.64] 都有
[998.64-1000.64] 呃都有
[1000.64-1004.64] 那今年的general server有一个预估大概会增长多少呢
[1005.64-1011.64] 因为去年general service的base已经很高而且需求也很强
[1011.64-1016.64] 呃我想是有有就是说它也是会增长的嘛
[1016.64-1018.64] 就成我刚刚说的这个
[1018.64-1021.64] 你提到的二月份的这个数字是都有增长
[1021.64-1023.64] 那当然对全年来说
[1023.64-1031.64] 呃我们现在看到的呃像这我们的这个评估来源当然是客户呃产业报告跟客户说
[1031.64-1033.64] 所做的这个这个展望啊
[1033.64-1035.64] 那客户的展望其实是并不一样的
[1035.64-1038.64] 我们没有去明细说明这里面有多少的
[1038.64-1040.64] 这个
[1040.64-1042.64] AI或是non AI
[1042.64-1044.64] 所以general service
[1044.64-1049.64] 那更别说可能里面这里面的capex里面可能也含有一些土木建设
[1049.64-1053.64] 好资料中心的这个建筑建筑建设电力设施等等
[1053.64-1057.64] 那呃我想就整个趋势上来说是成长的
[1057.64-1059.64] 但是如果要去分产品别
[1059.64-1064.64] 一样就是每一个客户有不同的这种商业模式跟跟跟
[1065.64-1067.64] 跟策略规划
[1067.64-1074.64] 那我想这个数字呃对我们来说呃就整体来说这个不管产品是哪一种是AI是general purpose
[1074.64-1079.64] computer我们都是都都都是为客人去做
[1079.64-1084.64] 照客人的这个指示跟期望去生产制作这样子
[1084.64-1093.64] 了解那这个这么强劲的ASIC跟general server的momentum在二月是比我们之前预期要来的好的吗
[1093.64-1094.64] 还是说是符合我们的预期呢
[1094.64-1096.64] 符合我们的预期
[1096.64-1102.64] 那这个会持续到接下来几个月到第二季吗
[1102.64-1106.64] 会持续哦
[1106.64-1107.64] 会持续
[1107.64-1110.64] 我你说我再重复你的问题
[1110.64-1111.64] 好的
[1111.64-1118.64] 呃我想这个这个会不会我们就我也没有我也没有标准答案了
[1118.64-1121.64] 那就是这个呃
[1121.64-1123.64] 但我们就从这些
[1123.64-1124.64] 呃
[1124.64-1125.64] 呃
[1125.64-1127.64] 现在的这个客户的
[1127.64-1129.64] 我说出的这个年度展望啊
[1129.64-1130.64] 那跟呃
[1130.64-1131.64] 呃
[1131.64-1134.64] 我们短期间都跟我们一直都看客户保证密切的联络了
[1134.64-1143.64] 那我们可得的资讯其实这个需求是是是持续的好并并非并非是这个这个短暂的这样子
[1143.64-1144.64] 好
[1144.64-1153.64] 那我再问你请请教一下就是我们看到这个呃ASIC的server很强然后general server也很强那请问一下
[1153.64-1161.64] 就为为你这边呢是不是也会开始在第一季出货GB200的server
[1161.64-1162.64] 嗯
[1162.64-1163.64] 好
[1163.64-1182.64] 我们这个这个产品这各种的产品线都是依客人的指示去去去出货的好那确实我们有客人指定这样子的型号的产品那第一季有在这个出货的计划计划中呃出货计划中但是
[1182.64-1186.64] 已经出货或者说在第一季会开始出货
[1186.64-1188.64] 会会开始
[1188.64-1194.64] 好好了解谢谢您谢谢那呃我现在问题在先呃到这边谢谢您
[1194.64-1201.64] 谢谢呃第二位请呃富邦人说的凯文请开始谢谢
[1201.64-1208.64] 谢谢
[1208.64-1211.64] 谢谢
[1211.64-1216.64] 谢谢
[1216.64-1217.64] 谢谢
[1217.64-1218.64] 谢谢
[1218.64-1219.64] 谢谢
[1219.64-1220.64] 谢谢
[1220.64-1221.64] 谢谢
[1221.64-1222.64] 谢谢
[1222.64-1223.64] 谢谢
[1223.64-1224.64] 谢谢
[1224.64-1225.64] 谢谢
[1225.64-1226.64] 谢谢
[1226.64-1227.64] 谢谢
[1227.64-1228.64] 谢谢
[1228.64-1229.64] 谢谢
[1229.64-1230.64] 谢谢
[1230.64-1232.32] 期内因为驾动因素
[1232.32-1234.56] 去影响到公司利润率的状态
[1234.56-1236.78] OK
[1236.78-1237.48] 好
[1237.48-1243.40] 我想从您刚才的推论
[1243.40-1244.42] 是对的
[1244.42-1247.48] 从这种数字这样子的逻辑
[1247.48-1248.20] 来推的话
[1248.20-1250.64] 确实会有这个产能
[1250.64-1256.28] 因为重复投资在每一幕都投了
[1256.28-1260.18] 然后会有增加成本的
[1260.18-1265.10] 这种财务会计上面的这种反应
[1265.10-1268.92] 那我想在这个营运上面的
[1268.92-1271.58] 这就像买保险一样
[1271.58-1273.86] 去增加这样子
[1273.86-1278.28] 去避开因为政策改变所造成的
[1278.28-1282.12] 这些营运上的风险
[1282.12-1283.18] 那是
[1283.18-1286.26] 我想这就是一个决策
[1286.26-1289.36] 在投资避开这样子的风险
[1289.36-1289.66] 那
[1289.66-1293.76] 从另外一种想法是增强这种营运的韧性
[1293.76-1297.98] 让这个客户在选择决策的时候
[1297.98-1299.90] 选择这个出货据点的时候
[1299.90-1301.50] 能够有更多的选择
[1301.50-1303.10] 那让我们的竞争力
[1303.10-1305.62] 因为我们能够提供更多的选择
[1305.62-1307.52] 让我们的竞争力能够更好
[1307.52-1310.06] 那这里面的取舍
[1310.06-1310.82] 我想对
[1310.82-1312.74] 所以说从回答你的问题
[1312.74-1315.80] 就是说会这个会造成成本的影响
[1315.80-1318.62] 一定会在某个时候会
[1318.62-1319.48] 这个有重复投资的影响
[1319.48-1319.58] 这个有重复投资的影响
[1319.58-1323.04] 但是我们也可以从这边来期望说
[1323.04-1325.06] 因为我们有先做了这样的准备
[1325.06-1327.02] 其实是能够迎接
[1327.02-1331.26] 就足够能够迎接再增加的这样子的需求
[1331.26-1331.78] 我们在
[1331.78-1333.96] 如果我们没有投资美国的话
[1333.96-1335.26] 不管是
[1335.26-1338.72] 这个政策
[1338.72-1340.32] 关税政策所带来的风险
[1340.32-1341.36] 或是
[1341.36-1344.02] 产业上面
[1344.02-1347.92] 需求的有机的自然的增加
[1347.92-1349.56] 我们不会错失这种风险
[1349.58-1350.70] 我们会有这样的机会
[1350.70-1352.20] 我们有把产能给准备好
[1352.20-1354.34] 那就可以能够掌握这样子
[1354.34-1357.90] 这个成长的这个机会
[1357.90-1358.40] 了解
[1358.40-1359.94] 所以我们可以简单解释为
[1359.94-1362.42] 至少在往未来长期来看
[1362.42-1365.24] 因为您的美国厂应该也是一个长期规划
[1365.24-1368.10] 我们看到需求应该都是比较正面的
[1368.10-1369.36] 是
[1369.36-1371.44] 那我再我再补充一点好了
[1371.44-1376.68] 就是说我们现在在在在产能上面
[1376.68-1377.38] 就美国
[1377.38-1379.28] 因为美国产能这是全新的嘛
[1379.28-1381.40] 那刚好也在这个
[1381.40-1382.90] 这个AI的这个时代
[1382.90-1385.56] 所以其实是
[1385.56-1387.58] 我们没有我们没有相对来说
[1387.58-1391.04] 我们没有包袱在美国厂的设计
[1391.04-1399.14] 在这个刚好这个有我们似乎在一个是世代产品的一个这个交换点上面
[1399.14-1401.72] 那我们正有一个新的距离要展开
[1401.72-1410.12] 所以我们其实可以引进不一样的适合新世代的这个制程的一些这个设计
[1410.12-1413.54] 那例如像是这个AI所的特性啊
[1413.54-1415.78] 就是比较需要耗电的
[1415.78-1416.82] 那因为耗电
[1416.82-1420.86] 而又有这个散热的这些不同的散热方式
[1420.86-1423.80] 用水冷的方式替代气冷的方式
[1423.80-1426.14] 那又因为在这个交界的时间点
[1426.14-1429.02] 那我们应该要找到一种这种hybrid的
[1429.02-1431.54] 的的可以可转换的这种
[1431.72-1434.34] 这种厂房设施
[1434.34-1436.66] 然后在这个工序上面
[1436.66-1439.46] 那也也应也去因应说这个
[1439.46-1444.58] 在不同的国家的劳动力成本不同的情况下
[1444.58-1449.48] 那我们去考虑引进自动化工业自动化的一些设计
[1449.48-1452.36] 那这正正是一个好的时候
[1452.36-1456.40] 没有重复投资的这些这些问题在这个
[1456.40-1460.82] 你可以说世代交替的这个这个刚好在这个当下当口上
[1460.82-1461.58] 我觉得
[1461.58-1464.58] 也未尝不是一件这个好事
[1464.58-1466.70] 了解
[1466.70-1469.70] Terry我的follow up是我们的资本支出
[1469.70-1472.98] 刚刚您已经宣告可能会在180台币今年
[1472.98-1477.38] 但我们再看一下现金状况跟去年的overdue cash flow
[1477.38-1479.58] 可能这个数字相对有点压力
[1479.58-1484.20] 想请教您说对未来公司营运资金方面的筹策计划
[1484.20-1487.30] 以及现有的AI出货制度上有没有可能
[1487.30-1491.42] 比如改变成comply之类的制度来减少资金的负担以上
[1491.58-1492.10] 好
[1492.10-1496.70] 我想我先从现金流的角度来切入
[1496.70-1504.64] 我们去年的财报上面可以看到说我们的营运现金流出是大约是200亿台币
[1504.64-1506.68] 然后资本支出是50亿台币
[1506.68-1511.04] 那这些数字比起2024的数字
[1511.04-1512.58] 那比起2023年的话
[1512.58-1515.90] 2023年的这个营运现金流入是230亿
[1515.90-1520.76] 那流那个capx差不多是也是差不多49亿50亿
[1520.76-1523.06] 跟2024年相当
[1523.06-1524.60] 所以
[1524.60-1525.36] 营运资金
[1525.36-1529.72] 简单说营运现金在2024年是流出的
[1529.72-1531.26] 那在这个
[1531.26-1533.04] 2023年是流入的
[1533.04-1536.38] 那确实这所以这也可以反映了
[1536.38-1538.42] 这个是一整年的数字
[1538.42-1543.04] 那这其实可以先反映的说为什么公司要在去年
[1543.04-1549.68] 去做了这个增值跟发行ECB跟GDR的这个需求
[1549.68-1550.72] 那
[1550.76-1555.62] 做了这样的动作就是要去因应一整年的这些我们预期到的这个
[1555.62-1558.44] 营运资金的流出那这个流出其实
[1558.44-1563.04] 很大一部分如果再去看细项数字其实就是多在存货
[1563.04-1568.68] 存货多出来的这个现象如果我们去看现在台湾的这些
[1568.68-1571.76] 同业的Odm的这个
[1571.76-1574.06] 如果已经揭露年报的公司了
[1574.06-1575.84] 其实我们看到同样的趋势
[1575.84-1580.46] 在operating营运的现金流出的部分
[1580.46-1583.28] 2020年确实有面临到这样的压力
[1583.28-1585.06] 那是流出的
[1585.06-1587.88] 那我觉得从维影的单独的所以
[1587.88-1589.94] 其实这个趋势是
[1589.94-1591.22] 普遍的趋势
[1591.22-1593.00] 那如果从维影自己
[1593.00-1594.80] 本身公司来看的话
[1594.80-1596.58] 下半年的
[1596.58-1599.40] 第三季还是流出的121亿
[1599.40-1601.46] 在第四季的时候其实已经转正
[1601.46-1603.50] 转正到66亿台币
[1603.50-1604.52] 那所以
[1604.52-1609.64] 我想相对于我们已经做的GDR跟ECB在去年做的这些
[1609.64-1610.42] GDR ECB
[1610.46-1612.76] 去因应
[1612.76-1614.56] 这个存货的
[1614.56-1618.90] 也就是说第四季的现金流量转正
[1618.90-1621.22] 没有再继续在流出了
[1621.22-1622.50] 它开始这个
[1622.50-1624.02] 我可以说存货有
[1624.02-1626.34] 好像停在一个水平位上面
[1626.34-1628.64] 那
[1628.64-1629.66] 这个数字
[1629.66-1634.26] 再加上我们的这个180亿的这个预估的现金流出
[1634.26-1638.62] 目前的情况我认为都是可以去支持的
[1638.62-1640.42] 这个是没有问题的
[1640.42-1642.22] 所以到目前为止
[1642.22-1646.06] 公司是没有在做
[1646.06-1648.62] 股权上面的这个增值的计划
[1648.62-1651.68] 那但是我们会做的是还是
[1651.68-1653.48] 我们就往更长期来看嘛
[1653.48-1655.52] 那短期的营运资金就是
[1655.52-1659.10] 从营运现金流来看其实是
[1659.10-1660.14] 是可以的
[1660.14-1661.92] 那往长期一点来看
[1661.92-1665.26] 毕竟你也提到了就我们说这个资本支出的
[1665.26-1666.78] 这样的金额
[1666.78-1669.34] 我们会考虑用这个
[1669.34-1672.66] 债权长期债权的方式去
[1672.66-1674.20] 去优化
[1674.20-1676.00] 债权部分的流动性
[1676.00-1676.76] 这个
[1676.76-1679.06] 多一点这个长期的这个
[1679.06-1680.86] 债
[1680.86-1682.90] 长期的债
[1682.90-1683.94] 长期的债
[1683.94-1685.98] 然后再去更
[1685.98-1689.06] 同步的再增强我们的产能的这个
[1689.06-1690.34] 韧性以外
[1690.34-1691.86] 也把我们的这个
[1691.86-1693.66] 财务的韧性也加强
[1693.66-1695.20] 把这个流动性
[1695.20-1698.26] 流动债务变成这个这个非流动的长期债务
[1698.26-1699.30] 那这个会是我们
[1699.34-1702.42] 目前25年的这个
[1702.42-1706.50] 从融资资金投措的
[1706.50-1708.82] 策略方向上面的一个规划
[1708.82-1711.12] 以上回答
[1711.12-1712.66] 很清楚谢谢
[1712.66-1716.74] 谢谢接下来请Glenda
[1716.74-1717.78] Glenda请开始
[1717.78-1721.36] 谢谢Glenda首长谢谢您的时间
[1721.36-1723.40] 我想就是请问一下
[1723.40-1725.96] 总市会P的这个3亿的
[1725.96-1728.26] 投资在德州
[1728.26-1729.30] 我们
[1729.34-1732.16] 可不可以就是except说
[1732.16-1733.44] 今年
[1733.44-1738.30] 大概就会是这样子的金额大概就足够我们在美国当地的
[1738.30-1739.06] 这个
[1739.06-1740.34] 产能的规划
[1740.34-1748.02] 应该不会在今年看到还有更大笔的相关的在美国的资本支出
[1748.02-1749.56] 可以这样讲
[1749.56-1750.08] 好
[1750.08-1751.36] 这个我
[1751.36-1755.20] 先简单说可以这样假设就是说这个是今年最大数
[1755.20-1756.98] 在对美国的部分
[1756.98-1759.30] 但他不代表说他就一定会
