[0.00-7.68] 各位投資先進大家午安
[262.68-268.72] 跟去年同期相比YY成長了將近79個%
[268.72-271.12] 這裡面有一些業外部分
[271.12-275.36] 先在這邊跟大家做說明
[275.36-276.68] 第一季的業外收入
[276.68-281.00] 大概是將近台幣約台幣1.3億左右
[281.00-284.84] 有正的貢獻也有負的貢獻
[284.84-287.08] 細項如下
[287.08-291.48] 正的貢獻主要是來自於匯兌收益
[291.48-292.64] 約有3000多萬
[292.68-295.24] 另外就是有其他收入
[295.24-299.08] 主要的部分是來自於大陸政府的補貼
[299.08-302.92] 政府的補貼大概是1.4億多左右
[302.92-307.00] 兩個業外的收入有將近1.7億
[307.00-312.64] 在負相的部分有CB的評價損失約1000多萬
[312.64-315.92] 還有淨的利息費用約6000多萬
[315.92-319.04] 這個是業外的細項部分
[319.04-320.84] 所以在第一季我們看到的就是這個貢獻的貢獻的部分
[320.84-321.80] 這個貢獻的部分有CB的評價損失約1000多萬
[321.80-322.52] 還有淨的利息費用約6000多萬
[322.52-326.36] 在第一季我們的稅後淨利是約當34.7億元
[326.36-330.72] 跟第四季的26.4億來比
[330.72-333.28] QOQ成長31%
[333.28-337.36] 跟去年同期接近21%相比
[337.36-339.92] YY成長75.4%
[339.92-342.24] EPS是10.01塊錢
[342.24-343.76] 這個是創我們歷史新高
[343.76-346.32] 而且是單季獲利就超過一個股本
[346.32-350.16] 這裡面稅率的部分再跟大家做說明
[350.16-352.36] 第一季的稅率大概是24.7億元
[352.36-354.40] 但是25.7%
[354.40-359.28] 主要是因為我們在第一季有提列的未分配營餘課稅
[359.28-363.12] 約當1.6億台幣左右
[363.12-365.68] 如果把這個扣掉的話
[365.68-369.00] 稅率應該是在22.3%
[369.00-374.12] 如果1.6億的未分配營餘課稅不算的話
[374.12-377.20] EPS還原才可以多0.46塊錢
[377.20-380.52] 所以這個算是一次性的所得稅費用
[380.52-382.32] 跟大家再做一個說明
[382.36-385.68] 所以整個損益表來看
[385.68-388.76] 第一季營收再創單季新高
[388.76-391.32] 三綠的部分三升
[391.32-392.60] 毛利率
[392.60-394.90] 盈益率
[394.90-395.92] 淨利率
[395.92-398.48] 都是創新高的一個數字
[398.48-400.80] 更是
[400.80-402.58] 首次
[402.58-403.60] 在單季
[403.60-406.16] 賺一個股本的一個里程碑
[406.16-412.32] 接下來看到我們第一季的資產負責代表
[412.36-416.20] 跟重要的財務指標的部分
[416.20-419.52] 第一季賬上的現金跟約當現金
[419.52-421.58] 約184億
[421.58-423.36] 佔比有21%
[423.36-424.64] 跟
[424.64-431.56] 年底145億來比將近增加了34億
[431.56-435.66] 在第一季裡的存貨大概是105億元左右
[435.66-437.44] 跟第四季來比
[437.44-441.80] 將近增加了11億或者是約當12%
[441.80-444.36] 這裡面的現項主要
[444.36-446.40] 是原物料的部分
[446.40-447.94] 原物料已經佔
[447.94-449.74] 68億
[449.74-452.80] 製成品大概是30億左右
[452.80-454.60] 所以這個主要還是因為我們
[454.60-457.68] 對於未來的看法還是
[457.68-458.96] 比較樂觀
[458.96-462.02] 所以我們有多準備一些
[462.02-467.92] 原物料以因應客戶在未來的一個需求
[467.92-470.48] 重要的財務指標的部分我們的
[470.48-471.76] 收現的天數
[471.80-476.40] 其實有在改善從125天在去年同期
[476.40-480.76] 第四季是122天在今年的第一季我們改善到
[480.76-482.30] 118天
[482.30-485.36] 平均消耗天數也有變短
[485.36-488.44] 在第一季底的時候大概是在60天左右
[488.44-493.30] 所以我們的現金周轉天數大概從去年同期的84天
[493.30-496.12] 縮短到今年第一季底的75天
[496.12-501.24] 這個是第一季重要的損益表跟資產負債表的項目
[501.80-508.20] 這個是我們在
[508.20-510.76] 產品組合
[510.76-515.62] 季對季跟年對年的一個營收成長的一個變化
[515.62-519.98] 我們第一季的營收約當217億
[519.98-522.54] 就產品組合來看
[522.54-526.38] 基礎設施的占比
[526.38-529.70] 在65到70%左右
[529.70-531.76] 之間65到70%左右
[531.80-533.08] 之間
[533.08-538.46] 行動裝置的占比在20到25%之間
[538.46-541.52] 車用工業跟其他
[541.52-547.68] 營收占比在第一季是10到15%
[547.68-549.46] 我再重複一次
[549.46-554.58] 基礎設施占比65到70%之間
[554.58-556.38] 行動裝置
[556.38-558.42] 20到25%
[558.42-559.70] 之間
[559.70-561.76] 車用工業跟其他是
[561.76-564.06] 10到15%
[564.06-570.20] 所以用這樣的營收占比來看我們基礎設施
[570.20-573.28] 第一季QOQ成長23%
[573.28-575.84] 行動裝置是1%
[575.84-577.64] 車用工業跟其他
[577.64-580.96] QOQ是成長16%
[580.96-583.78] 那如果用年對年的角度來看的話
[583.78-587.88] 去年第一季的營收是129億
[587.88-589.16] 那
[589.16-591.72] 再提醒大家一下我們在去年同期的
[591.76-594.06] 產品的
[594.06-595.60] 組合
[595.60-600.98] 基礎設施的占比大概是50到55%之間
[600.98-604.82] 行動裝置是30到35%之間
[604.82-609.16] 車用工業跟其他是在10到15%之間
[609.16-611.72] 所以用這樣的一個營收占比來
[611.72-613.00] 算的話呢
[613.00-617.62] 我們基礎設施年對年的成長率達到了99%
[617.62-620.18] 行動裝置
[620.18-621.72] 年對年成長
[621.76-623.80] 28%
[623.80-625.86] 車用工業跟其他
[625.86-628.42] 成長了30%
[628.42-633.28] 所以我們基礎設施的強勁增長反映了我們高端材料市占率的一個
[633.28-643.00] 持續擴大的一個增加的狀況
[643.00-646.08] 那這個是跟我們台灣
[646.08-651.72] 主要的同業做相比的一個比較
[651.76-653.80] 在去年第一季的時候
[653.80-657.90] 我們的營收是129億
[657.90-658.68] 兩家
[658.68-663.28] 國內主要的競爭對手合計的營收是在106億左右
[663.28-664.56] 所以我們的營收
[664.56-665.84] 超過他們
[665.84-668.14] 接近22%
[668.14-670.20] 這是去年第一季的部分
[670.20-674.28] 可是大家看到今年的第一季我們營收217億
[674.28-677.10] 那他們加起來營收139億
[677.10-681.72] 我們的營收超過他們55%
[681.76-684.84] 所以我們跟同業的差距
[684.84-686.88] 其實持續在擴大
[686.88-688.68] 照這個
[688.68-699.16] 未來的一個營運看法來講的話這個差距會持續的一個擴大
[699.16-702.24] 這個是我們
[702.24-703.52] 市占的一個情況
[703.52-704.80] 我想大家都知道
[704.80-705.82] 我們的
[705.82-711.20] 在五輪的市占已經殘年超過20年是全球市占第一了
[711.20-713.24] 比較值得
[713.24-718.12] 跟大家做報告的是我們在高速的材料其實也有快速的成長
[718.12-720.92] 在2017年我們的市占大概是零
[720.92-723.24] 但是根據Prismark
[723.24-724.26] 在
[724.26-727.58] 今年公布的資料2003年我們的市占
[727.58-729.12] 已經到全球第一
[729.12-731.68] 達到28.4%
[731.68-733.72] 那今年可能Prismark資料
[733.72-736.28] 也會在5月底
[736.28-738.60] 可能在5月底會公布
[738.60-741.16] 不過基於剛才我們跟大家報告的
[741.20-745.56] 我們跟同業的差距其實持續在擴大
[745.56-747.34] 所以我們預估
[747.34-751.96] 我們可以持續維持市占第一而且持續擴大
[751.96-755.54] 那根據我們自己的內部預估
[755.54-756.82] 去年的
[756.82-767.82] 市占在高速市場我們應該可以在35%以上的一個市占
[767.82-770.64] 那很多投資人都會擔心說
[770.64-771.16] 這個市場
[771.16-773.46] 還會持續的一個成長
[773.46-774.74] 所以我們就
[774.74-780.64] 引用這個券商的報告以及我們實際的經營成果跟大家做一個說明
[780.64-782.16] 券商預估
[782.16-792.40] 整個高階CCO的市場年複合成長率從2024年到2027年是成長28%
[792.40-794.46] 那同伯基板市場
[794.46-795.22] 整個
[795.22-800.08] 整個市場的年複合成長率大概在12%左右
[800.08-801.12] 所以剛才跟大家說的這個市場的年複合成長率大概在12%左右
[801.12-806.24] 那大家報告營收的時候有提到我們去年的營收成長是68%
[806.24-810.60] 所以我們已經遠遠超越整個高階同伯市場的成長率
[810.60-812.38] 所以我們的成長率
[812.38-819.56] 將持續高於高階同伯基板市場的成長
[819.56-821.08] 為什麼我們可以
[821.08-823.40] 持續保持領先呢
[823.40-823.90] 其實
[823.90-826.46] 最主要原因第一個是在我們
[826.46-829.02] HDI製程的技術
[829.02-831.08] 持續在領先我們
[831.12-837.78] 台灣跟大陸的一個同業從這個表上面大家可以看到
[837.78-841.36] 我們的
[841.36-842.64] 對手
[842.64-845.96] 從區域來分的話日本跟韓國
[845.96-847.24] 也許他們在
[847.24-851.86] 高階市場HDI市場的技術其實跟我們一樣
[851.86-854.16] 但是他們在
[854.16-855.18] 產能
[855.18-858.26] 跟成本上面比較沒有辦法跟我們相比
[858.26-861.08] 反過來講就是說如果你是客戶
[861.12-865.22] 你會要求你的工藝商具備什麼條件
[865.22-868.28] 第一個應該就是說你的
[868.28-871.62] 材料的品質要到位
[871.62-874.68] 那你的材料到位之後你還要能夠量產
[874.68-876.22] 所以你需要產能
[876.22-880.84] 那這部分日韓其實在過去幾年其實都沒有什麼太大的擴張
[880.84-882.88] 所以他們在這邊其實
[882.88-885.18] 沒有辦法滿足客人
[885.18-887.74] 對於這個產能的需求
[887.74-889.80] 那你可以量產之後
[889.80-891.08] 你的產品還要能夠上市嗎?
[891.08-891.84] 那你需要一個商業化
[891.84-892.88] 也就是說
[892.88-894.40] 你的成本要
[894.40-895.68] 競爭優勢
[895.68-898.76] 那他們都是在當地生產所以他們的成本
[898.76-901.58] 會比我們還來的高
[901.58-906.96] 所以基於這三個因素我們跟日韓來比雖然技術是差不多
[906.96-909.00] 那但是在產能
[909.00-912.84] 跟成本上面我們是遠遠領先我們日韓的競爭對手
[912.84-915.66] 那相較於台灣跟
[915.66-917.20] 大陸的競爭對手
[917.20-921.04] 我們覺得我們的技術上面領先他們一到兩個世代
[921.08-925.94] 所以客人要求不是只有技術他還要求產能跟成本
[925.94-929.02] 所以這三個因素加起來
[929.02-931.06] 我們是覺得我們是
[931.06-933.88] 在亞洲區唯一可以符合客人
[933.88-935.42] 對於技術
[935.42-937.98] 產能跟成本要求的
[937.98-942.58] 工藝商
[942.58-944.12] 那接下來
[944.12-945.66] 講到我們的
[945.66-947.20] 規模跟全球佈局
[947.20-948.72] 大家都知道日
[948.72-951.04] 日韓在過去幾年其實沒有什麼擴張
[951.08-953.38] 產能相對有限
[953.38-956.20] 這個是我們的一個擴廠的計畫
[956.20-960.30] 那先跟大家說明我們今年
[960.30-965.68] 產能預計開出來的時程跟地區
[965.68-970.02] 我們在去年底的產能大概是在430萬張左右
[970.02-972.84] 那今年在黃石廠
[972.84-975.14] 第二季
[975.14-978.48] 會有30萬張的產能開出
[978.48-980.78] 在馬來西亞廠
[980.78-981.80] 在第三季
[981.80-984.88] 會有60萬張的產能開出
[984.88-989.74] 在中山廠在第四季預計會有60萬張的產能開出
[989.74-992.30] 那我們之前有跟大家報告說
[992.30-997.42] 我們黃石廠本來是預計在6月份第二季底的時候會開出
[997.42-999.46] 現在看起來它的量產時間點
[999.46-1001.52] 提前到5月
[1001.52-1002.54] 同樣的
[1002.54-1005.86] 馬來西亞廠我們預計產能是在9月開出
[1005.86-1007.92] 我們現在預計8月
[1007.92-1009.70] 就可以開始進行量產
[1009.70-1010.74] 所以量產的時間點是在9月開出
[1010.74-1014.58] 時間點其實都比我們預計的還要再早一些
[1014.58-1017.66] 所以這個也是某種程度可以
[1017.66-1019.70] 舒緩投資人對產能
[1019.70-1022.00] 就是說客戶需求的一個狀況
[1022.00-1024.82] 因為看起來我們的產能不但沒有停滯
[1024.82-1025.58] 甚至
[1025.58-1029.18] 還往前鋪印
[1029.18-1033.52] 那講到產能再順便跟大家update一下我們今年的一個
[1033.52-1036.08] 資本支出的狀況
[1036.08-1040.70] 那今年的資本支出大概是約當130億左右
[1040.74-1042.54] 從現金基礎來看
[1042.54-1047.66] 那就用途來看的話呢
[1047.66-1051.74] 馬來西亞廠的資本支出約當40億左右
[1051.74-1053.54] 中山廠
[1053.54-1055.58] 約當20億左右
[1055.58-1056.86] 黃石廠
[1056.86-1059.94] 約當新台幣10億左右
[1059.94-1064.80] 那美國廠設備的升級資本支出約當台幣7億左右
[1064.80-1068.38] 另外就是說各個廠區的年度的稅休
[1068.38-1070.70] 正常的維修費用在7億左右
[1070.74-1073.56] 那我們在
[1073.56-1075.60] 明年底預計在
[1075.60-1076.62] 大圓
[1076.62-1079.18] 有30萬張的產能開出
[1079.18-1082.78] 那這個的資本支出大概在46億左右
[1082.78-1084.06] 所以加起來
[1084.06-1093.02] 今年預計的資本支出約當新台幣130億左右
[1093.02-1094.54] 那這個是我們
[1094.54-1097.88] 永續報告書的部分我們現在還在
[1097.88-1099.16] 更新
[1100.74-1102.78] 今年度的永續報告書
[1102.78-1107.66] 那這下一本的永續報告書會針對於減碳
[1107.66-1111.50] 以及大家關心的這個
[1111.50-1117.12] 碳排的部分會有更詳細的一個說明
[1117.12-1118.14] 所以
[1118.14-1121.22] 就結論來講的話呢
[1121.22-1123.02] 展望未來
[1123.02-1129.42] 台光電對全產品線各應用領域發展均保持樂觀的態度
[1129.42-1130.70] 從AI應用
[1130.70-1132.74] 雲端服務
[1132.74-1134.28] 邊緣運算
[1134.28-1135.82] 到低軌衛星
[1135.82-1138.64] 預期都將維持成長動能
[1138.64-1142.22] 全年營運前景可期
[1142.22-1145.54] 同時我們也看到新的AI軟體
[1145.54-1147.34] 將AI運算
[1147.34-1148.36] 從雲端
[1148.36-1149.90] 移到邊緣
[1149.90-1152.20] 帶動相關需求的增溫
[1152.20-1154.00] 例如AI PC
[1154.00-1157.06] 及AI Smartphone等產品
[1157.06-1158.34] 台光電在
[1158.34-1159.62] HDI
[1160.70-1163.26] 材料製程技術領先同業
[1163.26-1164.54] 市佔率
[1164.54-1166.58] 在高速產品穩居
[1166.58-1167.86] 全球第一
[1167.86-1174.78] 將成為邊緣運算浪潮下最大的收費者
[1174.78-1176.06] 我們在
[1176.06-1181.18] 產能的布局上面剛才有跟大家提到過除了台灣
[1181.18-1182.20] 大陸
[1182.20-1182.98] 馬來西亞
[1182.98-1185.78] 我們還有美國的一個產能
[1185.78-1187.32] 所以我們在
[1187.32-1190.66] 地緣布局更深具前瞻性
[1190.70-1194.02] 為亞洲同伯基板供應商中
[1194.02-1197.86] 唯一在美國擁有銷售及生產的基地
[1197.86-1199.92] 台光電因為
[1199.92-1200.94] 台灣
[1200.94-1202.74] 中國美國
[1202.74-1204.78] 及東南亞的多角布局
[1204.78-1207.60] 未來面對市場多變的局勢
[1207.60-1210.66] 並能領先同業進行靈活調整
[1210.66-1215.28] 在AI
[1215.28-1217.32] 應用雲端服務
[1217.32-1220.40] 及邊緣運算推動的成長趨勢下
[1220.70-1221.72] 台光電
[1221.72-1223.52] 將因為技術領先
[1223.52-1224.80] 規模領先
[1224.80-1225.56] 以及
[1225.56-1230.68] 地緣布局領先佔據最有力的位置
[1230.68-1234.02] 將持續的成長
[1234.02-1237.08] 這個是今天的一個
[1237.08-1238.88] 簡報內容
[1238.88-1241.18] 那在進行Q&A之前
[1241.18-1242.98] 我先回答
[1242.98-1245.54] 可能大家會問到的問題
[1245.54-1248.34] 先舉三個問題來跟大家做說明
[1248.34-1250.66] 第一個是關稅的問題我想很多人都知道的
[1250.70-1251.72] 很多人都會關稅
[1251.72-1253.26] 都會關心
[1253.26-1255.56] 關稅對我們到底有什麼影響
[1255.56-1257.10] 首先就針對
[1257.10-1261.70] 關稅這個問題來跟大家做說明
[1261.70-1264.02] 首先我們認為
[1264.02-1265.54] 關稅這個問題
[1265.54-1267.60] 是個談判策略
[1267.60-1270.42] 非最終的目的
[1270.42-1273.22] 所以大家有看到今天的新聞
[1273.22-1277.58] 大陸已經有在評估要跟美國做關稅的一個談判
[1277.58-1279.12] 所以
[1279.12-1280.66] 關稅這個是一個
[1280.66-1283.74] 一個策略所以它不會持續長久下去
[1283.74-1284.76] 像
[1284.76-1285.78] 美國要
[1285.78-1290.14] 像Apple它有提到它關稅成本要增加9億的美金
[1290.14-1291.16] 所以這個
[1291.16-1291.92] 不是
[1291.92-1295.00] 業者要吸收就是要消費者要吸收所以
[1295.00-1301.40] 沒有一個國家的百姓可以接受這樣的一個情況所以我們覺得關稅戰其實不會持久
[1301.40-1303.18] 那另外說就算它
[1303.18-1307.28] 有關稅戰但是我們還是以內銷的市場為主
[1307.28-1309.34] 出口很少所以我們影響
[1309.34-1310.62] 其實很有限
[1310.66-1312.46] 那另外我們還有美國廠
[1312.46-1315.78] 所以我們如果需要我們會利用到我們的美國廠
[1315.78-1318.60] 所以就結論來講的話關稅
[1318.60-1321.92] 對我們沒有什麼影響
[1321.92-1325.00] 另外第二個問題就問到說
[1325.00-1326.78] 那AI的需求
[1326.78-1329.34] 可以持續多久現在AI
[1329.34-1330.38] 到底在
[1330.38-1332.68] 用棒球來比到底是在第幾局
[1332.68-1336.26] 是第一局第二局還是在第幾局
[1336.26-1338.82] 那我覺得這個問題其實就可以問問大家就是說你們的工業
[1338.82-1340.62] 那我覺得這個問題其實就可以問問大家就是說你們的工業
[1340.66-1343.22] 或者是你們個人
[1343.22-1345.52] 現在有在用AI
[1345.52-1348.86] 在處理事情的比重有多少
[1348.86-1350.90] 像NVIDIA的
[1350.90-1353.46] 健身化有提到
[1353.46-1355.26] 在你擔心
[1355.26-1357.30] 被AI取代之前
[1357.30-1362.94] 你應該要先擔心會被用AI的人取代
[1362.94-1366.00] 所以現在大家都在學AI怎麼應用
[1366.00-1368.30] 我想每家公司或者每家個人
[1368.30-1370.62] 都有在持續用到AI的
[1370.66-1373.48] 所以我們覺得這個才剛開始在走位
[1373.48-1377.32] 所以我們覺得這個才剛開始在走位
[1377.32-1380.38] 就像廣達的董事長林百里提到的
[1380.38-1382.70] 明年還會有十倍數
[1382.70-1385.50] 增加十倍數運算的產品推出
[1385.50-1387.56] 所以在產品升級的路上
[1387.56-1389.34] 還有很長的路要走
[1389.34-1391.14] 所以這個市場
[1391.14-1393.18] 看起來
[1393.18-1395.74] 還是有蠻大的一個空間
[1400.66-1403.98] 另外第三個衍生的問題就是說
[1403.98-1406.80] 現在看起來很多公司
[1406.80-1408.34] 對於第二季
[1408.34-1409.88] 甚至下半年
[1409.88-1411.42] 都沒有什麼
[1411.42-1413.72] 能見度
[1413.72-1415.00] 可能
[1415.00-1419.10] 投資人也會問說那我們對於下半年的看法是怎麼樣
[1419.10-1423.44] 所以剛才有提到說關稅其實對我們沒有什麼影響
[1423.44-1425.50] 另外剛才也跟
[1425.50-1427.80] 大家報告到說
[1427.80-1429.08] 我們的產能
[1429.08-1430.36] 在今年的
[1430.36-1431.12] 五月
[1431.12-1432.16] 房市場
[1432.16-1433.68] 八月
[1433.68-1434.96] 馬來西亞場
[1434.96-1436.50] 以及十二月
[1436.50-1437.78] 中山場
[1437.78-1440.08] 都會有新的產能開出
[1440.08-1441.62] 所以我們認為
[1441.62-1443.68] 在新的產能依註下
[1443.68-1445.72] 下半年的營收
[1445.72-1448.02] 一定會比上半年成長
[1448.02-1450.08] 以上我就針對
[1450.08-1452.12] 投資人可能問到的問題
[1452.12-1453.66] 跟大家做說明
[1453.66-1454.68] 接下來
[1454.68-1455.44] 如果
[1455.44-1456.98] 還有其他
[1456.98-1458.52] 沒有回答到的
[1458.52-1460.32] 再跟大家做意見的交流
[1460.36-1461.90] 我們就再回到
[1461.90-1462.92] 我們在
[1462.92-1463.68] 這邊
[1463.68-1464.96] 這邊非常謝謝
[1464.96-1466.24] Rober這邊的
[1466.24-1467.52] 完整的分享
[1467.52-1472.64] 那線上目前有一個問題想要請問不知道剛有沒有回復到
[1472.64-1474.96] 最近台幣大幅升值
[1474.96-1480.08] 可否說明台幣升值對我們毛利率以及業外可能的影響
[1480.08-1482.88] 那另外台幣升值如果
[1482.88-1483.92] 回不去
[1483.92-1489.04] 那我們的報價是否可以跟客人反映還是說會影響到我們的毛利率
[1490.36-1495.48] 我們主要的貨幣
[1495.48-1498.56] 會是做美元交易可是我覺得
[1498.56-1499.84] 匯率這個
[1499.84-1501.36] 這個事情其實
[1501.36-1502.64] 很難
[1502.64-1505.98] 大家會去判斷說也許它的短期影響
[1505.98-1509.30] 波動會有但是看起來長期其實
[1509.30-1511.86] 它會趨向一個穩定的狀況
[1511.86-1512.88] 所以
[1512.88-1516.22] 我們覺得雖然它在短期上面
[1516.22-1518.26] 也許在
[1518.26-1520.32] 那個貨幣上的影響會有影響到我們的毛利率
[1520.36-1523.94] 但是我們覺得匯率轉換成台幣的時候可能會有一點點影響
[1523.94-1526.00] 但是就長期的角度來講
[1526.00-1527.78] 對我們應該是沒有什麼太大影響
[1527.78-1529.32] 其實就我們來講
[1529.32-1534.18] 台幣不管是升值跟貶值不影響我跟競爭對手的競爭力
[1534.18-1535.46] 競爭力還是最強的
[1535.46-1541.10] 所以大家的競爭條件其實沒有變影響的是短期的這個匯率的影響
[1541.10-1546.98] 所以我們並不擔心匯率會對公司的競爭力有什麼影響我們還是持續在
[1546.98-1550.32] 本業上的經營持續擴大我們在市場的市佔率的影響
[1550.36-1560.60] 下一個問題想要請教是否有提供EQ25基礎建設產品組合系想
[1560.60-1564.18] 那Server Switch低軌衛星的佔比
[1564.18-1568.54] 低軌衛星約當8%左右
[1568.54-1573.14] Server跟Switch約當各46%
[1573.14-1577.50] 想請問台積電都會提供EQ25基礎建設產品組合系想
[1577.50-1577.76] 想請問台積電都會提供EQ25基礎建設產品組合系想
[1577.76-1580.32] 想請問台積電都會提供EQ25基礎建設產品組合系想
[1580.36-1583.50] 想請問台積電都會提供EQ25基礎建設產品組合系想
[1583.50-1586.60] ambitions for We 나오
[1586.60-1593.16] 希望能提供美升值電源的� Poke
[1593.16-1597.72] diagnosing
[1597.72-1602.76] tenían monies
[1602.76-1603.92] 收起
[1603.92-1607.76] 其實鏈inspires
[1607.76-1610.04] 適合
[1610.04-1610.06] Gulf
[1610.06-1610.14] Gulf
[1610.14-1610.22] Gulf
[1610.22-1610.30] 郈
[1610.30-1610.32] 老師
[1610.32-1610.34] ケ ilk
[1610.34-1612.64] 新台幣匯率的波動
[1613.16-1614.44] 造成毛利率的影響
[1614.94-1615.72] 做一個
[1616.22-1617.26] 敏感性的分析
[1617.76-1619.04] 謝謝投資人這個問題
[1627.74-1630.56] 想請問線上的盤還有問題想要詢問嗎
[1630.56-1642.60] 想請問台幣升值能夠把受到的影響轉嫁給客人嗎
[1644.64-1645.92] 這個我剛有提到啦
[1646.18-1649.00] 他台幣升值其實不影響我們的競爭力
[1649.50-1650.28] 所以
[1650.52-1654.88] 我覺得這個就長期來看其實這個沒有什麼特別影響這個就好像
[1655.40-1658.20] 原物料一樣那個銅價上漲大家之前
[1658.46-1659.24] 銅價漲到
[1659.48-1660.52] 超過一萬塊的時候
[1660.82-1663.12] 大家也在擔心說會不會影響毛利率或什麼
[1663.64-1666.70] 但他其實很快就下來但是這不是我要講的重點
[1666.96-1667.98] 我要講的是說
[1668.24-1669.26] 我銅價上漲
[1669.52-1671.56] 其實競爭對手面臨到同樣的
[1671.82-1673.36] 成本競爭的情況
[1673.62-1675.16] 所以不影響我們的競爭力
[1675.66-1677.20] 所以這個比較算是
[1677.46-1678.22] 短期的影響
[1678.74-1679.24] 不會
[1679.50-1683.86] 特別在意我們會focus在我們的R&D以及我們在
[1684.12-1686.16] 終端市場的市佔持續的擴大
[1686.16-1698.44] 請問第一季業績這麼出色是因為關稅效應產生的急單還是本來需求就是如此強勁
[1702.04-1704.08] 我們第一季的加動率
[1704.34-1705.88] 應該是屬於滿載
[1706.12-1706.64] 所以
[1706.90-1711.50] 沒有感覺到是因為急單的狀況造成需求比較好
[1712.28-1714.32] 那第二季的狀況
[1715.08-1716.12] 剛才有提到嘛
[1716.42-1717.96] 我們沒有提供財務預測
[1718.20-1720.52] 不過就產品線來看的話
[1721.02-1722.30] 三大產品線
[1722.56-1724.10] 包括基礎設施
[1725.88-1726.92] 手持裝置
[1727.94-1728.96] 車用工業
[1729.48-1730.24] 及其他
[1730.76-1732.04] 也有機會
[1734.08-1735.36] 可以比第一季成長
[1739.72-1741.00] 那特別是在
[1741.50-1744.32] 基礎設施方面因為目前看起來
[1744.84-1745.86] 不管是在
[1746.16-1751.28] GPU或者是Ace的客人甚至800G產品
[1751.80-1753.08] 這些的需求
