[0.00-8.52] 现在时间是下午两点整
[776.24-778.24] 所以利用高分子取代TOTM的利基是减少的
[778.24-780.24] 但是连城将高分子可塑剂导入车用的高端应用
[780.24-782.24] 但是连城将高分子可塑剂导入车用的高端应用
[782.24-784.24] 我们跟日本厂商合作
[784.24-786.24] 开发车用的PVC材料导入高分子
[786.24-788.24] 开发车用的PVC材料导入高分子
[788.24-790.24] 目前车厂的认证作业正在进行当中
[790.24-792.24] 目前车厂的认证作业正在进行当中
[792.24-794.24] 预期下半年可以批量生产
[794.24-796.24] 预期下半年可以批量生产
[796.24-798.24] 另外我们也跟日本同业合作
[798.24-800.24] 导入高性能的抗静电可塑剂
[800.24-802.24] 预计将切入医疗、电子、工业模材等这些PVC高阶应用
[802.24-804.24] 预计将切入医疗、电子、工业模材等这些PVC高阶应用
[804.24-806.24] 预计将切入医疗、电子、工业模材等这些PVC高阶应用
[806.24-808.24] 预计将切入医疗、电子、工业模材等这些PVC高阶应用
[808.24-810.24] 以及在PPU、NBR的应用领域
[810.24-812.24] 以及在PPU、NBR的应用领域
[812.24-814.24] 为符合全球循环经济趋势
[814.24-816.24] 为符合全球循环经济趋势
[816.24-818.24] 我们目前正在执行经济部科技研究发展专案
[818.24-820.24] 跟台湾的5家校园客户共同合作
[820.24-822.24] 跟台湾的5家校园客户共同合作
[822.24-824.24] 导入回收PET废料
[824.24-826.24] 通过化学解聚的技术
[826.24-829.24] 来开发低碳、高耐热、低涉度
[829.24-831.24] 的绿色环保可塑积产品
[833.24-835.24] 在海外布局的策略
[835.24-837.24] 连成以八大产销据点为基础
[837.24-838.24] 连成以八大产销据点为基础
[838.24-840.24] 形成区域供应链网络
[840.24-842.24] 马来西亚跟台湾厂
[842.24-844.24] 将作为被中国大陆
[844.24-846.24] 出口的核心平台
[846.24-848.24] 另外呢,马来西亚厂则利用
[848.24-850.24] RCEP贸易优惠来深化
[850.24-852.24] 东南亚市场
[852.24-854.24] 并且扩展印度中東非洲市场
[854.24-859.24] 大陆的四川厂则可以凭借中欧铁路来拓展中亚的市场
[859.24-864.24] 盘景厂则面对日韩港口快速交货
[864.24-869.24] 在智能制造方面,我们导入AI实现智能排成
[869.24-874.24] 跟自动化的品质监控,提升生产效率
[874.24-879.24] 我们透过转动设备的线上监测,建立设备失效AI预测系统
[879.24-884.24] 来强化制程安全管理,并利用AI找出制程最佳的操作条件
[884.24-889.24] 有效降低制程能耗
[889.24-894.24] 为了确保工厂的安全性,联成参与了政府的亚湾2.0智慧公安计划
[894.24-899.24] 成为台湾首例智慧公安的示范园区
[899.24-904.24] 导入AI监测跟智能辨识,如果发生异常事件
[904.24-909.24] 像是员工未穿戴安全护具,有烟雾或烟产生
[909.24-914.24] 即时发出警告,以确保零工伤零事故
[914.24-919.24] 来提升安全跟预防管理能力
[919.24-924.24] 在永续发展部分,我们持续推动节能改善跟制程最佳化
[924.24-929.24] 导入再生能源,蒸汽有效利用,废热回收跟碳排管理
[929.24-934.24] 目标是在2030年前,年仅碳量可以达到2.6万吨
[934.24-939.24] 逐步朝向近年排放的目标迈进
[939.24-943.24] 成功是将持续积极布局绿色产品跟服务
[943.24-948.24] 拓展细心市场跟高端应用,深化策略联盟还有战略合作
[948.24-953.24] 优化供应链,同时推动数位转型,导入BI AI
[953.24-958.24] 来提升决策的精准度跟营运效率,强化公司的竞争韧性
[958.24-963.24] 以实现长期稳健成长,来确保公司的永续经营
[963.24-968.24] 好,谢谢张资深经理的说明,接下来有请吴胜权
[969.24-973.24] 副总经理进行经营绩效报告
[973.24-977.24] 好,现在我跟各位报告一下整个经营绩效率的数字
[977.24-981.24] 那我们先看一下那个我们合并的营收
[981.24-984.24] 各位可以看一下这个,以前也报告过过去五年
[984.24-989.24] 大概除了2021年的话,它那个是整个价格上涨
[989.24-994.24] 后来后面的三年持续价格大概就是持平
[994.24-999.24] 2024年其实刚才我们那个前一位报告过
[999.24-1003.24] 我们的营收呢,感觉上是跟去年差不多持平
[1003.24-1007.24] 那这个第一季的话,我们的那个销量呢
[1007.24-1012.24] 是营收的话是146亿,各位看一下
[1012.24-1017.24] 那整个占比的话,可做季的话是占了79%
[1017.24-1023.24] PVC 12%,那双干7%这是主要的一个我们的产品
[1023.24-1028.24] 那我们销量看一下,销量的话过去几年其实我们在
[1029.24-1037.24] 近两年2023跟2024都达到190几万吨
[1037.24-1041.24] 那2024还比2023都增加了接近2%
[1041.24-1045.24] 那我们第一季的话是43万吨
[1045.24-1050.24] 那它的整个量的销量的一个占比主要的还是可做季的72%
[1050.24-1056.24] 还有PVC的18%那双干的话是占了9%
[1056.24-1059.24] 接着跟各位报告一下我们的那个损益
[1059.24-1062.24] 这个损益的报表大概都已经公布了
[1062.24-1068.24] 那我们看一下,就是去年呢其实是我们亏损比较大的一年
[1068.24-1073.24] 那今年的第一季呢其实我们已经有很大的一个改善
[1073.24-1078.24] 去年虽然没有转亏为盈,但是第一季的我们亏损已经相对的减少
[1078.24-1085.24] 我们是亏了大概2.6亿左右,那EPS是负的2毛钱
[1085.24-1089.24] 好,那接着下来我们报告一下呢
[1089.24-1092.24] 我们的整个财务的一个结构,财务结构的状况
[1092.24-1096.24] 那我们的那个负债比率呢是49%
[1096.24-1100.24] 那净负债的话是46%左右
[1100.24-1105.24] 那自己这里面主要的,其实我们整个结构都还算蛮健康的
[1105.24-1109.24] 主要的就是因为金融资产这个评价的调整
[1109.24-1113.24] 所以让我们列为上升的负债比率上升1%
[1113.24-1119.24] 那相对于,相对来说的话我们的那个负债整个财务结构算是健康的
[1119.24-1124.24] 接着跟各位报告一下我们的那个常债能力
[1124.24-1131.24] 我们常债能力除了2022年相对的下降
[1131.24-1134.24] 主要的是因为我们当时有个60亿的一个公司在
[1134.24-1139.24] 就是一年起从流动,那一部分造成我们这个
[1139.24-1143.24] 疏动比例跟流动比例都相对的下降
[1143.24-1148.24] 那我们现在过去两年跟到目前为止我们的流动比例是2
[1149.24-1154.24] 25%那疏动比例113%都是相对的健康
[1154.24-1157.24] 而且常债能力算是好的
[1157.24-1163.24] 那接着再跟各位报告一下我们的那个资本支出
[1163.24-1166.24] 那过去五年里面呢
[1166.24-1170.24] 我们大概是2021到2023的那个资本支出相对的多
[1170.24-1173.24] 那这段期间我们的扩建也高了一个段落
[1173.24-1177.24] 2024年就已经慢慢结束了我们的扩建
[1177.24-1179.24] 快速扩建的一个过程
[1179.24-1184.24] 那2025年我们预估大概我们资本支出
[1184.24-1187.24] 主要的其实是在增设改善的部分比较多
[1187.24-1191.24] 那相对的所以我们相对的是低的
[1191.24-1193.24] 是预估大概8亿左右
[1193.24-1197.24] 那低季的话我们是资本支出是2亿
[1197.24-1200.24] 那谢谢各位
[1200.24-1202.24] 好谢谢吴副总
[1202.24-1204.24] 公司简报已经进行完毕
[1204.24-1207.24] 再次提醒您请不吝加您的提问
[1207.24-1209.24] 输入问与答功能区
[1209.24-1212.24] 再由公司主管提出说明
[1212.24-1216.24] 接下来我们将进入Q&A问答环节
[1216.24-1218.24] 我会先代为附送提问内容
[1218.24-1222.24] 再请相关主管回复说明
[1222.24-1225.24] 在等待大家输入提问的同时
[1225.24-1228.24] 我们也整理了部分法人媒体朋友们
[1228.24-1231.24] 与会前预先提供的提问
[1231.24-1233.24] 首先第一个问题是
[1233.24-1237.24] 当前视况看法及营运应运策略
[1237.24-1238.24] 已展望
[1238.24-1241.24] 那我们先请毕总来跟我们说明
[1241.24-1246.24] 各位媒体法人先进朋友们
[1246.24-1248.24] 大家午安
[1248.24-1250.24] 我是毕淑倩
[1250.24-1253.24] 我做的这个section的回应
[1253.24-1256.24] 就有关这个目前大环境的部分
[1256.24-1259.24] 其实今年的情况在第一季的时候
[1259.24-1261.24] 相对来讲跟去年是
[1261.24-1264.24] 大概是需求大概是持平的
[1264.24-1266.24] 但是因为4月之后
[1266.24-1269.24] 当然地缘政治的不稳定是一直持续的
[1269.24-1271.24] 那因为这个4月开始
[1271.24-1275.24] 这个关税的这个议题
[1275.24-1279.24] 让很多这个就是刚刚在简报里面有讲
[1279.24-1281.24] 引起很大的一个恐慌
[1281.24-1284.24] 所以大家对于这个发展
[1284.24-1287.24] 或者设厂或者采购都缩手
[1287.24-1289.24] 都采观光的这个态度
[1289.24-1292.24] 然后在宣布有90天的豁免期的时候
[1292.24-1295.24] 有短暂的这个所谓的买买气潮
[1295.24-1297.24] 希望利用这90天赶快到港
[1297.24-1300.24] 这个是我们目前看到大陆
[1300.24-1302.24] 对于整个中国大陆
[1302.24-1305.24] 跟我们所授杆的范围之内
[1305.24-1307.24] 对于未来的展望
[1307.24-1309.24] 我们还是不乐观不容乐观的
[1309.24-1311.24] 但是在这样的情况之下
[1311.24-1314.24] 对连城来讲有一个比较好的地方
[1314.24-1319.24] 就是说现在的供应设备供应的这个部分
[1319.24-1323.24] 我们的同行也增加了很多的产能
[1323.24-1325.24] 我们的上游增加了很多产能
[1325.24-1328.24] 所以在供应面来讲原料是充足的
[1328.24-1333.24] 所以导致我们产品的原料的价差是缩小的
[1333.24-1336.24] 也就是去年那种富毛利很大的情况
[1336.24-1339.24] 在今年是有所改善的
[1339.24-1342.24] 那在应应面方面的话
[1342.24-1347.24] 基本上我们今年的策略是维稳
[1347.24-1351.24] 维稳的话就是说包括在我们的库存方面
[1351.24-1354.24] 我们是严谨的控制在我们所谓的
[1355.24-1359.24] 最理想的范围就是不高
[1359.24-1363.24] 不要因为这个价格的波动导致叠加损失的这个发生
[1363.24-1366.24] 这是我们去年一个很大的痛
[1366.24-1370.24] 所以在整个公司来讲有一个设了一个系统
[1370.24-1372.24] 就是利用这个销售量
[1372.24-1378.24] 存量跟销售量的比例严格去每天去看它未来八周的这种情况
[1378.24-1381.24] 作为最后的这个原料的管控
[1381.24-1383.24] 那原料的话就是最后的把关
[1383.24-1385.24] 因为我们过去原料的比例都偏高
[1385.24-1387.24] 我们今年的原料比例缩小了
[1387.24-1390.24] 最主要就是为了有弹性让我们采购
[1390.24-1392.24] 一方面是价格的诱因
[1392.24-1394.24] 一方面是数量的不要过多
[1394.24-1396.24] 这是在库存方面
[1396.24-1399.24] 那刚刚在简报里面其实我们有详尽的报告
[1399.24-1402.24] 我们在未来的发展方面
[1402.24-1405.24] 我们跟这个市场面
[1405.24-1409.24] 我们是跟合作方我们要发展新的市场
[1409.24-1413.24] 当然大家都知道印度是现在是大家最追逐的一个市场
[1413.24-1414.24] 但是他那个市场
[1414.24-1415.24] 虽然还没有很高的市场
[1415.24-1417.24] 但是价格都非常低
[1417.24-1420.24] 所以我们现在就是改变了我们的方向
[1420.24-1423.24] 我们印度还是依然还是会去
[1423.24-1425.24] 但是我们在中亚这个地方
[1425.24-1428.24] 也就是利用我们南充那个场的一个地理优势
[1428.24-1432.24] 我们可能在那个地方会积极的开拓
[1432.24-1435.24] 那目前看来也有一点点的
[1435.24-1438.24] 这个渠道可以去做联系
[1438.24-1440.24] 另外一方面就在日本方面
[1440.24-1443.24] 我们也因为日本有一些本安厂
[1443.24-1444.24] 他也也关厂了
[1444.24-1448.24] 然后DMP的这个产量跟征货季好像产能也有减
[1448.24-1449.24] 缩减
[1449.24-1452.24] 所以我们就利用这个空档也打入了这个日本市场
[1452.24-1454.24] 所以我们在日本的这个销售量也增加
[1454.24-1456.24] 那在高质化的部分
[1456.24-1460.24] 我们现在是利用客制化的产品
[1460.24-1463.24] 我们现在销售的方式是我们的研发人员
[1463.24-1465.24] 跟我们的业务一起去拜访客户
[1465.24-1466.24] 看客户的需求
[1466.24-1469.24] 我们看到需要什么我们在研发
[1469.24-1472.24] 当时就给予比较好的建议
[1472.24-1473.24] 也就是我们的经营人员
[1473.24-1475.24] 就是我们的销售试材
[1475.24-1477.24] 差异化的这种方式
[1477.24-1480.24] 刚刚也提到我们跟车厂跟同行
[1480.24-1482.24] 都有一些比较密切的合作
[1482.24-1486.24] 希望能够在我们这个征售季方面
[1486.24-1490.24] 能够有不同的高价的产品能够推广出来
[1490.24-1494.24] 然后在这个运用端方面
[1494.24-1495.24] 我们刚也报告了
[1495.24-1498.24] 我们会在征数计这边
[1498.24-1501.24] 我们不以后不仅在PPC发展
[1501.24-1503.24] 我们希望找出包括润滑油
[1503.24-1505.24] 现在很多AI的设备
[1505.24-1507.24] 他们需要一些纸化的产品
[1507.24-1509.24] 我们希望在这边能够拓展
[1509.24-1510.24] 那在管理面方面
[1510.24-1512.24] 刚刚也有跟各位报告
[1512.24-1514.24] 我们除了今年必须要
[1514.24-1517.24] 面对现在的恶劣环境要生存
[1517.24-1520.24] 我们在内部的管理也投入了
[1520.24-1523.24] 很大的数位化的资金
[1523.24-1525.24] 我们希望利用智能的方面
[1525.24-1528.24] 不管在我们本身工厂的管理方面
[1528.24-1530.24] 或者是其他方面
[1530.24-1531.24] 销售管理方面
[1531.24-1533.24] 都能够有比较大幅度的
[1533.24-1534.24] 提升
[1534.24-1536.24] 这是我们公司对于目前市况
[1536.24-1539.24] 跟未来营运的因应
[1539.24-1540.24] 谢谢
[1540.24-1542.24] 好谢谢B总
[1542.24-1544.24] 那接下来是浩辰
[1544.24-1546.24] 他提出了三个问题
[1546.24-1548.24] 那我先把题目练完
[1548.24-1551.24] 待会再请B总一并来回答
[1551.24-1552.24] 第一个问题是
[1552.24-1555.24] 如何看今年硕化的景气
[1555.24-1556.24] 那第二个问题是
[1556.24-1558.24] 有无受到关税贸易战
[1558.24-1560.24] 提前拉货的影响
[1560.24-1561.24] 第三个问题是
[1561.24-1563.24] 公司未来的发展预期
[1563.24-1564.24] 是否会向上移动
[1564.24-1565.24] 那以上三个问题
[1565.24-1567.24] 请B总先一并回复
[1567.24-1568.24] 谢谢
[1570.24-1571.24] 好谢谢
[1571.24-1572.24] 我想这个题目里面
[1572.24-1574.24] 其实刚刚也有
[1574.24-1576.24] 应该都有回答到了
[1576.24-1578.24] 也就是说我们对于硕化
[1578.24-1580.24] 今年的展望
[1580.24-1582.24] 其实并不乐观的
[1582.24-1584.24] 可能要等到整个贸易
[1584.24-1587.24] 美国的进口关税的议题
[1587.24-1589.24] 确定了之后
[1589.24-1591.24] 才会知道整个需求怎么讲
[1591.24-1593.24] 但是我们现在已经
[1593.24-1594.24] 观察到了
[1594.24-1595.24] 因为美国的关税
[1595.24-1599.24] 已经让本来要转往东南亚投资的
[1599.24-1602.24] 这个脚步目前是暂时就停止了
[1602.24-1604.24] 这个对我们来讲是一个好的方向
[1604.24-1609.24] 贸易战的拉货有很短暂
[1609.24-1612.24] 现在目前没有再持续
[1612.24-1614.24] 第三个就是未来的发展方向
[1614.24-1615.24] 我刚刚已经报告过了
[1615.24-1616.24] 好谢谢
[1616.24-1620.24] B总那以上是一线的提问
[1620.24-1623.24] 那现在我们回到线上的部分
[1623.24-1626.24] 那首先我看到的第一个问题是
[1626.24-1628.24] 2025年Q1PVC
[1628.24-1630.24] 可塑剂酸钢
[1630.24-1633.24] 等各产品毛利大约是在多少
[1633.24-1636.24] 那我们再请B总跟我们回复一下
[1636.24-1639.24] 我想详细的数字
[1639.24-1641.24] 抱歉我就不明确说
[1641.24-1643.24] 但是我跟各位报告一下
[1643.24-1645.24] 这三种产品的毛利的状况
[1645.24-1648.24] 其实PVC因为我们的这个供应
[1648.24-1650.24] 我们的原料供应来源是我们隔壁的
[1650.24-1653.24] 这个就在泰州中国大陆那个特区
[1653.24-1656.24] 所以我们有一个原料的一个价格公式
[1656.24-1660.24] 所以相对来讲我们的毛利相对来讲是稳定的
[1660.24-1661.24] 是比较稳定的
[1661.24-1664.24] 然后PA的话刚刚简报有讲
[1664.24-1668.24] 因为整个原料02甲本跟本杆的倒挂的情况
[1668.24-1670.24] 其实目前还存在的
[1670.24-1672.24] 但是已经比去年好了
[1672.24-1673.24] 因为油价下跌
[1673.24-1676.24] 所以让这个零本的价格没有这么高
[1676.24-1679.24] 所以整个来讲这个还不是
