[0.00-28.82] 接下來很榮幸能邀請到華擎的許龍倫總經理
[388.82-390.82] 所以相對的定存來講
[390.82-392.82] 利息收入也比較高
[392.82-394.82] 所以2.7億主要就是來自於利息收入
[394.82-398.82] 然後其次是匯兌收益
[398.82-400.82] 整個公司去年的話
[400.82-403.82] 歸屬於12.9 YOY成長40
[403.82-405.82] 那每股EPS10.5
[405.82-408.82] 那就整個資產結構來講的話
[408.82-410.82] 公司的資產結構相對都
[410.82-412.82] 一向是比較簡單一點
[412.82-414.82] 主要就是其中在三個部分
[414.82-416.82] 就是現金 營收 賬款 跟存貨
[416.82-418.82] 那現金的部分來講的話
[418.82-420.82] 35.8億到去年有成長
[420.82-422.82] 不過如果把定存含進來的話
[422.82-426.82] 大概我們在去年底大概48億的
[426.82-430.82] 48億的現金其實是跟去年相當的
[430.82-433.82] 那比較變動比較大是我們的存貨
[433.82-435.82] 就是將近100億
[435.82-437.82] 那這將近100億主要是因為
[437.82-439.82] 針對的是說包含後面
[439.82-441.82] 因為在去年第四季的
[441.82-443.82] 今年第一季有幾個比較大的
[443.82-446.82] 一個是AI的需求還是比較倉望
[446.82-448.82] 第二個是Modepod跟VGA
[448.82-449.82] 都有新產品推出來
[449.82-451.82] 所以在去年底的12月的時候
[451.82-454.82] 這三個東西我們需要比較積極的備料當中
[454.82-457.82] 所以這部分的話存貨以目前來看
[457.82-460.82] 因為今年來看的話AI目前我們還是認為
[460.82-463.82] 需求比較熱絡一點的
[463.82-465.82] 那VGA卡這部分的話
[465.82-468.82] 因為AMD的產品目前
[468.82-470.82] 這個新產新一代的產品
[470.82-472.82] 市場需求表現也都還不錯
[472.82-474.82] 所以我們還是會積極備料
[474.82-475.82] 所以整體來看的話
[475.82-478.82] 以目前來看至少到今年第二季來看
[478.82-480.82] 整個存貨可能變動
[480.82-484.82] 比較沒有辦法有比較明顯的往下降的狀況
[484.82-486.82] 應該會因為業績的關係
[486.82-489.82] 所以我們還是會比較積極的在被迫動
[489.82-491.82] 那短期借款的部分來講
[491.82-494.82] 這是公司少數以來會有第一次
[494.82-497.82] 第二次有短期借款出現
[497.82-499.82] 那這個部分主要是因為
[499.82-500.82] 永勤備料的關係
[500.82-503.82] 因為AI的話它主要的客人都是國際大廠
[503.82-505.82] 那他們的部款條件都是這樣
[505.82-507.82] 所以我們現在的經費都比較少
[507.82-509.82] 我們從買進料到最後出貨
[509.82-514.82] 這個時間我們其實是需要一段比較大的營運資金
[514.82-516.82] 那因為AI單價也相對的比較高
[516.82-519.82] 所以永勤開始會有做一些
[519.82-522.82] 短期借款來做營運資金的營運
[522.82-524.82] 那這個部分來講估計
[524.82-529.82] 未來的話可能還會往上增加
[529.82-532.82] 那應付賬款當然就是因為整個備料的增加
[532.82-534.82] 所以整個應付賬款也明顯的提高
[534.82-538.82] 那股本的部分12.36億是因為有發行限制型股票的關係
[538.82-541.82] 那整個股東權益大概103億
[541.82-544.82] 那每股淨值75.25億
[544.82-548.82] 就現金流量的狀況來講的話
[548.82-552.82] 雖然2024年整年的現金流量比較
[552.82-555.82] 19.3億比2023年高
[555.82-558.82] 但是因為整個存貨的影響因素
[558.82-562.82] 造成整個營運產生出來的現金流入的話
[562.82-565.82] 其實是比之前的還要少
[565.82-569.82] 那整個投資活動的部分來講的話
[569.82-573.82] 如果扣除按攤銷後期的資產衡量的話
[573.82-575.82] 其實並沒有太大的變動
[575.82-578.82] 那就投資活動來講的話
[578.82-580.82] 除了發放現金影響比較大
[580.82-582.82] 那對去年來講
[582.82-585.82] 兩個一個增加的一個因素是
[585.82-587.82] 剛才提到的3.6億的短期借款
[587.82-589.82] 那另外一個部分是處分子公司股權
[589.82-592.82] 就是因為我們子公司永勤新公司
[592.82-593.82] 要登入新櫃
[593.82-596.82] 那公司依法需要提撥一定的章數
[596.82-597.82] 作為新櫃使用
[597.82-600.82] 所以這部分有處分子公司的股權
[600.82-602.82] 但是這部分並沒有
[602.82-604.82] 因為是權益法的認定的關係
[604.82-608.82] 所以並沒有進入到影響到我們去年的損益數字
[608.82-610.82] 只有影響到權益數字而已
[610.82-615.82] 所以剛才看到去年的損益數字部分來講的話
[615.82-618.82] 並沒有這部分的處分利益收入在裡面
[618.82-620.82] 那整個部分來講
[620.82-622.82] 現金本金一張現金
[622.82-625.82] 現金數字增加535億
[625.82-627.82] 期末的現金35.8億
[627.82-631.82] 那如果剛才報道如果含現定存的部分來講的話
[631.82-633.82] 大概在48億左右
[633.82-637.82] 那就整個營收的趨勢來講的話
[637.82-642.82] 去年第四季的整個公司的營收確實因為在AI帶動
[642.82-644.82] 再加上VGA motherboard的帶動之下
[644.82-647.82] 確實營收有比較高一個YY64.2
[647.82-651.82] 那也是我們過去連續7個季度以來
[652.82-653.82] YOY的成長
[653.82-655.82] 那以目前的這個狀況來講
[655.82-660.82] 我們認為從今年至少到第三季來講的話
[660.82-664.82] 應該這個YY的成長力道還是會持續的一直往上延伸才對
[664.82-667.82] 所以目前來看的話公司未來整個營收趨勢
[667.82-670.82] 應該還是會一直YY會逐漸成長
[670.82-674.82] 那所以整個應該至少會維持個10個季度以上的
[674.82-676.82] YY持續成長的狀況
[676.82-680.82] 就產品組合來講的話
[680.82-681.82] 因為剛才提到
[681.82-685.82] 因為AI server是我們第四季整個營收的帶動的一個主力
[685.82-686.82] 那其次是VGA
[686.82-689.82] 所以這兩個產品線的占比就是明顯的攀高
[689.82-692.82] 就是server的部分VGA的部分
[692.82-693.82] 那Motorboat的部分來講的話
[693.82-696.82] 則是明顯的有也往下降
[696.82-699.82] 那IPC因為整個如果以QOQ來講
[699.82-702.82] IPC有一個微幅的下滑
[702.82-706.82] 所以它的整個占比相對的就開始也比較明顯往下降
[709.82-711.82] 那就獲利的趨勢來講的話
[711.82-713.82] 整個獲利的趨勢
[713.82-716.82] 這盤利率目前來講第四季還在往下
[716.82-722.82] 那主要當然剛才講到的是那個產品組合的關係
[722.82-725.82] 那展望我們目前來看第一季來看的話
[725.82-729.82] 因為整個產品組合跟第四季來講的話
[729.82-731.82] 可能變動性不是那麼的大
[731.82-733.82] 那所以整個overall來看
[733.82-736.82] 因為整個目前來講整個Q1
[736.82-741.82] AI server再加上VGA都是一個成長動能比較強勁的
[741.82-743.82] 那Motorboat的部分來講的話
[743.82-745.82] 成長動能反而比較弱一點
[745.82-748.82] 主要有因為主要的一個產品限油
[748.82-752.82] 產品比較新產品比較不如預期
[752.82-757.82] 所以這部分來講可能會使得它的營收會相對的比較成長動能會比較壓抑的
[757.82-759.82] 所以整個overall來看
[759.82-761.82] Q1來講的話
[761.82-765.82] 我們認為毛利率應該是跟Q是一個微幅的波動
[765.82-770.82] 可能一個大概一個百分點上下一個這樣一個上下的波動
[770.82-773.82] 可能還要再持續看後面的狀況
[773.82-775.82] 那整個營業利益的部分來講的話
[775.82-778.82] 跟淨利率來講的話還是有下滑
[778.82-783.82] 那不過整個overall來看應該在Q1來講的話
[783.82-787.82] 這個部分應該是會先開始止跌回升的機率會比較大一點
[787.82-791.82] 因為主要是隨著規模的擴大來講的這個影響因素比較大
[791.82-797.82] 那以上是幾個我們整個財務數字的一些報告
[797.82-800.82] 那接下來的話會請董經理來跟各位說明一下
[800.82-803.82] 整個產品線的現況跟未來展望
[809.82-811.82] 謝謝Edward
[811.82-813.82] 謝謝大家光臨
[813.82-815.82] 那我就是簡單跟大家報告一下
[815.82-821.82] 我們公司幾個產品線接下來的生意的看法
[821.82-824.82] 那首先講到是有關Motorboat的部分
[824.82-827.82] 那Motorboat現在在我們公司佔比以revenue來講的話
[827.82-829.82] 因為Serve還有VGT
[830.82-832.82] VGT卡的佔比越來越高
[832.82-836.82] 所以Motorboat佔比現在原則上大概都會低於40%
[836.82-839.82] 那今年來看的話以Motorboat本身來看
[839.82-842.82] 單獨來看的話應該還是個位數的成長
[842.82-846.82] 那ASP的話可能還是持平
[846.82-850.82] 那目前主板的生意的話AMD很強
[850.82-853.82] 在Channel上AMD非常強那Intel就蠻弱的
[853.82-858.82] 尤其是高階的部分AMD大概吃走了八九成吧
[858.82-860.82] 所以Intel那邊就比較辛苦一點
[860.82-867.82] 那現在看起來這個情勢的話應該到今年下半年
[867.82-871.82] 現在看不出來Intel可以怎麼樣Fight back
[871.82-874.82] 所以我們目前看起來還是AMD比較強
[874.82-876.82] 那AMD強的話傳統上對我們比較有利一點
[876.82-880.82] 只是說我們現在Production那邊比較慢一些
[880.82-881.82] 所以有點缺貨
[881.82-885.82] 那這個缺貨預計到四月份才能夠解決
[885.82-889.82] 那我們看好整個AMD的PlayFone的話今年應該
[890.82-893.82] MicroShare可以再上去那對我們公司也比較好
[893.82-896.82] 那尤其是在高階的部分高階的部分的話
[896.82-903.82] 目前來講的話主板ASP還有Profi大概是靠這個AMD的高階在撐
[903.82-906.82] 那一起到下半年都還不錯
[906.82-909.82] 那Intel的部分的話目前在中低階
[909.82-912.82] 那希望是下半年可以好一些啦
[912.82-918.82] 那這是主板的狀況那Turtle來看的話歐洲還是比較辛苦一些
[918.82-919.82] 因為歐洲基本上就是個戰爭的關係
[920.82-926.82] 那其他區域美國跟亞太區對我們來講還不錯
[926.82-928.82] 那我們傳統上在大陸做得不好
[928.82-932.82] 但是我個人看大陸Boss case可能已經過了
[932.82-936.82] 所以大陸經濟狀況接下來可能會略微的好轉一些
[936.82-944.82] 所以我們也會看一下大陸我們要怎麼去再去想辦法去把一些生意拿回來
[944.82-948.82] 所以歐洲來看的話主板今年我們認為是個位數的成長
[948.82-949.82] 那ASP大概在持平
[949.82-952.82] 那毛利率的話可能會略微下滑
[952.82-956.82] 主要是因為華碩倒不只技嘉維新在殺價
[956.82-959.82] 所以這邊的毛利率比較辛苦一些
[959.82-961.82] 那這是主板的部分
[961.82-964.82] 那我們公司還有那個VGA部分的話
[964.82-968.82] VGA我們現在看起來倒還是挺樂觀的
[968.82-974.82] 因為現在看起來AMD的那個9000系列9070XT
[974.82-979.82] 3月6號上市之後整個評價都還不錯
[979.82-984.82] 再加上AMD目前來講的話還是在缺貨的狀態
[984.82-990.82] 所以看起來我們認為今年AMD有可能在這個SHARE上會稍微好一些
[990.82-992.82] 那稍微好一些對我們來講就是蠻好的
[992.82-996.82] 那因為我們在AMD INNER SHARE這邊也是越來越大
[996.82-999.82] 所以就是說我們跟AMD的合作的話這邊也是越來越大
[999.82-1002.82] 所以整個Allocation各方面都還不錯
[1002.82-1007.82] 那有可能今年VGA包括毛利率包括REVENUE
[1007.82-1008.82] 都會比我們原先的還要多一點點
[1009.82-1011.82] 預期的再好一些
[1011.82-1013.82] 這個是目前看到的情況
[1013.82-1017.82] SO FAR來講第一季第二季看起來VGA應該是蠻不錯的
[1017.82-1020.82] 所以會比我們之前預期的再好
[1020.82-1024.82] 那有可能可以延伸到第三季
[1024.82-1026.82] 目前看起來第一季第二季都還不錯
[1026.82-1029.82] 那第三季看起來有機會延續
[1029.82-1031.82] 因為整個MOMENTUM還不錯
[1031.82-1035.82] 那我們從AMD那邊拿到Allocation也足夠
[1035.82-1037.82] 所以OVER來看我覺得今年VGA
[1037.82-1039.82] 算是比我們之前預期的再好一些
[1039.82-1042.82] 所以我們去年第四季在估算的時候
[1042.82-1044.82] 還更樂觀許多
[1044.82-1046.82] 這個是目前VGA的狀況
[1046.82-1049.82] 那另外我們家還有MONITOR的話
[1049.82-1051.82] 今年大概小幅成長
[1051.82-1055.82] 那系統部分的話應該是在持平
[1055.82-1058.82] 那系統那邊持平但是因為它的毛利率是不錯
[1058.82-1060.82] 所以還是可以帶來穩定的PROFIT
[1060.82-1063.82] 再來就是說我們華擎本身的話
[1063.82-1067.82] 去年第四季開始應該說12月開始
[1067.82-1069.82] 我們推出了我們自己品牌的PROFIT
[1069.82-1072.82] 那經過這三個多月以來的話
[1072.82-1077.82] 目前看起來在美國跟亞太區一些特定國家做的還不錯
[1077.82-1083.82] 那看起來有機會今年POWER SUPPLY的話
[1083.82-1086.82] 應該會超過我們原先去年預期的目標
[1086.82-1088.82] 那今年會超標
[1088.82-1089.82] 那SO FAR
[1089.82-1092.82] 而且POWER SUPPLY的利潤毛利率還不錯
[1092.82-1093.82] 只要規模放大就有機會
[1093.82-1095.82] 所以我們現在第一年做起來
[1095.82-1097.82] SO FAR我們之前的預估來講超標
[1097.82-1099.82] 所以OVER來看的話
[1099.82-1103.82] 今年POWER SUPPLY對我們來講也是挺不錯的
[1103.82-1106.82] 那我們做POWER SUPPLY做MONITOR最主要的目的
[1106.82-1108.82] 就是要把整個GAMING的系統
[1108.82-1110.82] ECO系統把它做起來
[1110.82-1114.82] 變成說我們家有一套完整的GAMING的SOLUTION
[1114.82-1116.82] 那目前看起來MOTORBOARD VGA卡
[1116.82-1118.82] VGA卡只要MD的效率拉高
[1118.82-1120.82] 我們在這邊就站得更好
[1120.82-1122.82] 然後POWER SUPPLY是蠻重要的一個元件
[1122.82-1124.82] 那我們現在看起來
[1124.82-1126.82] POWER SUPPLY對我們來講比推MONITOR更有力量
[1127.82-1129.82] 更順手一些
[1129.82-1132.82] 有可能就是說很快的POWER SUPPLY
[1132.82-1136.82] 整個REVERING會超過MONITOR跟DEGITAL
[1136.82-1138.82] 我是認為在2026吧
[1138.82-1140.82] 對所以OVER來講的話
[1140.82-1142.82] 這樣子的話對我們家在GAMING
[1142.82-1144.82] GAMING整個ECO SYSTEM
[1144.82-1146.82] 在整個GAMING的SOCIETY裡頭
[1146.82-1148.82] 就會站得更穩一些
[1148.82-1150.82] 然後這樣子就是剛剛我們財務長有提到
[1150.82-1152.82] 我們現在在投MARKETING的時候
[1152.82-1154.82] 當我們PRODUCT LINE更多的時候
[1154.82-1156.82] 我們投MARKETING會
[1156.82-1158.82] 那個CP RATIO會更好
[1158.82-1159.82] 那我們也更敢去投
[1159.82-1161.82] 因為REVERING BASE我還是來看的話
[1161.82-1163.82] 這樣對我們來講是更有利的
[1163.82-1165.82] 所以變成說我們在這邊的BLENDING的話
[1165.82-1166.82] 也會更強
[1166.82-1168.82] 那其實在GAMING的系統裡頭
[1168.82-1170.82] 最後大家會發現
[1170.82-1174.82] 板卡廠商還是站得最重要的地位
[1174.82-1176.82] 包括這些COMPONENT端的話
[1176.82-1178.82] 目前來講的話
[1178.82-1180.82] 我們跟微星跟技嘉
[1180.82-1182.82] 大家都努力在這邊來做的話
[1182.82-1184.82] 接下來我們有可能在這些比較屬於電方面的
[1184.82-1186.82] ELECTRIC方面的東西
[1186.82-1188.82] COMPONENT SIDE的話
[1188.82-1190.82] 我們就有可能
[1190.82-1192.82] 我是覺得板卡廠的機會比其他的PRO來的大
[1192.82-1196.82] 因為板卡廠畢竟掌握了主板的KNOWLEDGE
[1196.82-1199.82] 所以你只要插在主板上的東西基本上
[1199.82-1201.82] 都跟板子有關係
[1201.82-1204.82] 那我覺得在過這個一兩年兩三年之後
[1204.82-1206.82] 板卡廠在這個COMPONENT
[1206.82-1208.82] DIY COMPONENT的優勢會慢慢出來
[1208.82-1211.82] 這也是為什麼我們去做這個POWER SUPPLY
[1211.82-1212.82] GENERAL MONITOR
[1212.82-1214.82] 我們還在想其他東西
[1214.82-1215.82] 其他的產品
[1215.82-1218.82] 預計應該還是會有一些其他產品會再出來
[1218.82-1220.82] 這個都屬於GAMING的範疇裡頭
[1220.82-1222.82] 所以OVERWALL我們就想打造一個
[1222.82-1224.82] 在這個DIY的GAMING裡頭
[1224.82-1227.82] 一個整個XROCK的BRANDING
[1227.82-1228.82] XROCK的BRANDING
[1228.82-1231.82] 那目前看起來漸漸的會成型
[1231.82-1233.82] 那這個BRANDING基本上
[1233.82-1235.82] 最後會發現
[1235.82-1237.82] 賣CONSUMER產品BRANDING的話
[1237.82-1238.82] 當然非常重要
[1238.82-1243.82] 因為它BRANDING可以給你帶來的那個RV GAME
[1243.82-1244.82] 那個是很大的
[1244.82-1247.82] 所以這個就是為什麼我們這幾年一直在投資這些東西
[1247.82-1249.82] 包括在產品上頭
[1249.82-1250.82] 包括在MARKETING
[1250.82-1251.82] 包括在SALES上頭
[1251.82-1252.82] 這是我們
[1252.82-1256.82] 所以大家看到華擎本身OVERHEAD的增加
[1256.82-1258.82] 主要來自兩個
[1258.82-1261.82] 一個就是說我們新的產品現在投入時候需要人力
[1261.82-1265.82] 另外一個就是我們SALES MARKETING的HACK COUNT增加
[1265.82-1267.82] 這個是最主要
[1267.82-1269.82] 當然因為PROBIT比較多之後
[1269.82-1271.82] 員工分紅的占比就直接拉高
[1271.82-1273.82] 這個之外我們大部分的OVERHEAD的
[1273.82-1278.82] 增加並不是來自於R&D
[1278.82-1280.82] MARBLE或者是VGA
[1280.82-1282.82] 其實是帶新的產品
[1282.82-1285.82] 還有我們增強我們的SALES MARKETING
[1285.82-1288.82] 還有那個就是SALES OF FORCE
[1288.82-1291.82] 我們在很多地方有開了小型的辦公室
[1291.82-1294.82] 然後還有更多的SALES
[1294.82-1296.82] 另外就是MARKETING的能力
[1296.82-1297.82] 這是我們這幾年在做
[1297.82-1299.82] 所以除了新產品包括MONITOR
[1299.82-1300.82] 包括POWER SUPPLY之外
[1300.82-1301.82] 這邊增加能力之外
[1301.82-1302.82] 另外就是SALES MARKETING的能力
[1302.82-1304.82] 這是我們在投資的
[1304.82-1305.82] 這是屬於華潛的部分
[1305.82-1308.82] 我們希望把這個品牌打造出來
[1308.82-1312.82] 來跟主要的華碩微星在這個市場上競逐
[1312.82-1315.82] 現在看起來慢慢慢慢有成效的時候
[1315.82-1318.82] 當你有一個新的產品推出來的時候
[1318.82-1321.82] 你的有一群的FANS就會去ADAPT這個東西
[1321.82-1325.82] 那我就可以馬上有這樣的SALES出來
[1325.82-1327.82] POWER SUPPLY就是一個蠻好的例子
[1327.82-1329.82] 以上報告是整理華潛的部分
[1329.82-1332.82] 所以歐巴馬華潛來看今年相較於去年
[1332.82-1333.82] 還是蠻真相
[1333.82-1334.82] 特別是在VGA
[1334.82-1335.82] 我覺得今年的漲幅
[1335.82-1342.82] VGA的營收會比我們去年第四季估的還來樂觀許多
[1342.82-1347.82] 那也是華潛本身的產品裡頭會是成長率最高的
[1347.82-1349.82] 這是有關華潛的部分
[1349.82-1351.82] 接下來是IPC的部分
[1351.82-1354.82] IPC的話我們去年就比較辛苦一些
[1354.82-1356.82] 今年看起來
[1356.82-1358.82] 其實去年下半年就比較好了
[1358.82-1360.82] 國一九一就漸好漸漸變好了
[1360.82-1362.82] 今年看起來也不錯
[1362.82-1367.82] 今年應該還是有機會有一個雙位數的成長
[1367.82-1369.82] 那PROFIT MARGIN的話
[1369.82-1372.82] COST MARGIN還蠻STABILITY的
[1372.82-1377.82] 那我們其實IPC除了傳統上我們也一直在做新的東西
[1377.82-1380.82] 還是有在投資一些東西往系統方向去做
[1380.82-1381.82] 系統整合
[1381.82-1383.82] 因為最後IPC的VALUE其實是在那邊
[1383.82-1386.82] 因為COMPONENT的東西我們做到一個程度之後
[1386.82-1388.82] 就蠻SATURATION的
[1388.82-1392.72] 所以其實我們做了蠻多INVESTMENT在系統上頭
[1392.82-1394.82] 那我覺得在未來的一兩年
[1394.82-1397.82] 這會慢慢回酒裡開發出來
[1397.82-1399.82] 那個東西的話它就是
[1399.82-1401.82] 重點就是它是比較
[1401.82-1403.82] 它非常INDUSTRY
[1403.82-1405.82] 它是非常INDUSTRY ORIENTED
[1405.82-1407.82] 所以那個東西就是
[1407.82-1409.82] 你一旦進了那個MARKET之後
[1409.82-1411.82] 你就有一席之地
[1411.82-1414.82] 所以我們其實這幾年花了很多的時間在這個上頭
[1414.82-1419.82] 那是跟傳統我們家只做那個IPC板卡不太一樣
[1419.82-1420.82] 是屬於做系統那邊
[1420.82-1421.82] 那目前看起來
[1421.82-1424.82] 未來的兩三年應該會有些成果出來
[1424.82-1426.82] 那今年的話我們估計大概是
[1426.82-1428.82] Double DIGITAL的成長這樣子
[1428.82-1430.82] 那GROSS MARKET應該可以Maintain
[1430.82-1432.82] 沒有什麼太大問題
[1432.82-1435.82] 那比較大的成長我覺得可能會是在2026
[1435.82-1437.82] 這是我看IPC的部分
[1437.82-1441.82] 那再來的話跟大家報告一下SERVER的部分
[1441.82-1445.82] 那SERVER的話我們家SERVER傳統上
[1445.82-1446.82] 我們還是分成兩個
[1446.82-1449.82] 一個是傳統的SERVER一個是AI SERVER
[1449.82-1451.82] 那我們家AI SERVER事實上
[1451.82-1453.82] 之前有跟大家報告過是去年的Q3
[1453.82-1455.82] 甚至Q3
[1455.82-1457.82] Q2開始小量出貨Q3一點
[1457.82-1458.82] 然後Q4再比較多
[1458.82-1462.82] 那Q1看起來可以維持Q4的MOMENTUM
[1462.82-1468.82] 那Q2應該也還有一定的MOMENTUM
[1468.82-1469.82] 那這是屬於AI的部分
[1469.82-1471.82] 所以我們對AI來講的話
[1471.82-1473.82] 我們看今年的AI對我們來講
[1473.82-1477.82] 應該就是一個蠻穩定成長的
[1477.82-1480.82] 就是相較於2024
[1480.82-1481.82] 那大家可以
[1481.82-1485.82] 我們是希望是把去年的Q4當成GUIDANCE
[1485.82-1488.82] 以那個當成QUARTER BASE來看這件事情
[1488.82-1493.82] 那SO FAR Q1 Q2 SO FAR看起來都還蠻有機會的
