[0.00-5.00] 好各位
[450.00-452.00] 所以这个基础股份有一部分是来自于这个
[452.00-454.00] 这个生产公司的一个贡献
[454.00-456.00] 好
[456.00-458.00] 那这样大概就是我编的部分
[458.00-460.00] 我们还是维持一个高毛利的状况
[460.00-462.00] 那大家怎么可以
[462.00-464.00] 好奇为什么感觉上这个毛利率
[464.00-466.00] 那种
[466.00-468.00] 逐季的有些微的下降
[468.00-470.00] 我跟大家说明一下
[470.00-471.00] 这个主要的原因第一个
[471.00-475.00] 但第一个它会受到我们的营收力中的影响
[475.00-477.00] 因为我们的这个成本
[477.00-481.00] 最主要是来自于消费者订阅顾客的
[481.00-483.00] 这个亚洲的顾客
[483.00-485.00] 有一定的资讯率
[485.00-487.00] 那当
[487.00-489.00] 这个订阅的比例提高
[489.00-491.00] 我们的这个
[491.00-493.00] 会些会受到一些影响
[493.00-495.00] 但是最主要最主要的影响其实是因为
[495.00-497.00] 我们的身份里面
[497.00-499.00] 订阅的这个分口
[499.00-501.00] 大家其实会看到
[501.00-503.00] 我们在整个 gallons左右延期
[503.00-505.64] 他们也不是一天下楼
[507.00-509.00] 那么我们啦
[509.00-510.00] 这个Gentor
[510.00-511.00] 我们很群的
[511.00-512.46] 从gallt comunidad
[512.46-513.32] 已经提供了我们的 trek
[513.32-514.58] 我们 overwhelming
[514.58-518.20] 我们这个नyy子
[518.20-519.54] 可以说是别的
[519.54-520.96] 就是这个
[520.96-522.96] 全程石案
[522.96-524.96] 让 microbi style
[524.96-526.06] 关键
[526.06-527.92] 拿起来
[527.92-529.40] 让这个研究所
[529.40-530.34] 给他一个
[530.34-530.94] 一个
[530.94-533.70] 其实是更全面的
[534.30-535.02] 第二就是说
[535.02-536.86] 因为我可以更好去trace
[536.86-539.14] 每一个Cloud的应用的使用
[539.26-541.18] 所以我们后续的money
[541.18-543.22] 它的成本是更容易
[543.22-545.10] 单价会因为我一次性的
[545.10-546.90] 把一个大顶水池
[546.90-548.10] 变成很多消费时
[548.30-551.62] 所以初期会反映在这个成本上
[551.62-552.90] 因为我就可以把它
[552.90-553.98] 把部分的费用
[553.98-554.94] 可以把它的
[554.94-556.02] 实在是很实在的
[556.02-557.58] 所以整体来看
[557.58-559.38] Cloud的费用跟成本
[559.38-561.50] 是持平甚至下降的
[561.50-562.74] 只是说在分类部分
[562.74-564.82] 有部分从原本的费用到什么
[564.82-566.02] 就单单这样说
[567.18-569.46] 大家如果看营业经济的部分
[569.46-571.62] 然后就会看到一个很漂亮的一个区域
[572.74-575.34] 类似一个微笑的这样的一个
[575.34-577.18] 就是我们在去年第三季的时候
[577.18-578.34] 但去年第三季
[578.34-580.10] 也因为去年的并购的一次
[580.10-582.62] 有一些一次性并购的一些支出
[582.62-584.98] 但是我们看到从去第三季开始
[584.98-586.98] 我们主机之中飘浪的时机
[589.38-592.66] 好在费用刚才看
[592.66-595.22] 大家手边营业没有的部分
[595.22-598.50] 从去年的第三季开始
[598.50-601.34] 就是逐渐的费用
[601.34-605.14] 到今年第一季有明显的减少
[605.14-607.50] 主要都是来自于我们在营业效率
[607.50-608.62] 上面的一个进步
[608.62-611.78] 我们其实目前在我们的行销费用
[611.78-612.18] 上面
[612.18-613.62] 因为我们的FoodScore
[613.62-614.74] 跟我们等一下会提到
[614.74-617.06] 我们贷宿金融的流量
[617.06-619.18] 已经到一个相对到的位置了
[619.18-619.82] 所以是好
[619.82-621.30] 所以它其实相对于
[621.30-623.86] 不需要太多的行销费用
[623.86-624.90] 它就会有办法
[624.90-627.82] 给你去创造更多的一些用户
[627.82-629.74] 所以行销费用
[629.74-631.22] 其实它有很好的
[631.22-633.38] 这个费用经济上的活泼
[633.38-633.98] 对我们来讲
[633.98-635.86] 但是刚刚说的也是一样
[635.86-636.94] 它现在是哪不会
[636.94-639.94] 我们这个临终省长这样的一个关系
[639.94-641.02] 好
[641.02-642.70] 那回过来就来看
[642.70-644.38] 从是费用还是费用
[644.38-646.10] 其实来进行我们的人事费用
[646.10-648.14] 人事费用目前还是占
[648.14-648.94] 整体的
[649.18-653.06] 大概是近45%
[653.06-655.18] 但是我们预期
[655.18-657.78] 这样的人事的效率跟费用
[657.78-661.34] 我们在去今年不会有太大的一些变动
[661.34-663.30] 所以随着营收成长
[663.30-665.94] 其实我们的人事费用的占比
[665.94-667.62] 会很明显的差距
[667.62-669.38] 我们其实可以看到
[669.38-671.74] 第一季我们已经有做一些调节
[671.74-674.70] 这个是一个我们定期的一个人力的调节
[674.70-676.22] 那也带给因应的
[676.22-677.58] 现在AI的一些趋势
[677.58-678.86] 我们做一些人力
[678.86-679.86] 让给你调整
[679.86-680.90] 好
[680.90-682.58] 所以我们预期今年的话
[682.58-683.74] 人事费用
[683.74-685.42] 现在不会有太大的一些变动
[685.42-688.14] 好
[688.14-688.54] 对
[688.54-689.50] 相提到了
[689.50-691.38] 这几个最重要的就是我们明天
[691.38-693.46] 我们会从这个属性版
[693.46-694.62] 改变到一般城市
[694.62-697.50] 那可能有些人不太清楚
[697.50-700.10] 因为转发的改变的公司没有去付
[700.10-701.18] 然后他怎么定价
[701.18-701.98] 然后定什么是
[701.98-702.94] 跟新闻改良
[702.94-704.30] 他是用前一天的价格
[704.30-707.34] 来来视为安全价格
[708.86-711.50] 然后我们就要去做一些改变
[711.50-712.38] 好
[712.38-714.82] 但最近也有一些很好的消息
[714.82-717.90] 例如说我们在Foodspot上面有一个切断的服务
[717.90-719.30] 叫做认证号码
[719.30-721.90] 我们只能叫绿勾勾
[721.90-722.94] 我们这样去认证
[722.94-723.26] 就是说
[723.26-726.38] 因为现在交了电话的时候
[726.38-729.34] 是确确定是于然正面打开的电话
[729.34-731.26] 那这样的一个服务
[731.26-733.94] 我们看到它生长非常快速
[733.94-736.50] 过去可能不是我们主要推的一个
[736.50-738.70] 这个时候的项目
[738.70-740.30] 当然我们也看到它是很大方
[740.30-742.30] 那也有很多大型的机构
[742.30-743.50] 他们尝试还能
[746.54-752.38] 那在Who's Call或者是切断房的海外部分的一些扩张
[752.38-753.62] 我们的做法
[753.62-755.50] 除了这个
[755.50-757.42] 传统的一些行销的支出之外
[757.42-759.70] 我们更强调是通过抛销的方式
[759.70-764.34] 我们在当地找到可以跟我们做大市场的一些pioneer
[764.34-765.46] 高知名的pioneer
[765.46-766.62] 一起来进攻市场
[766.62-768.22] 所以这边最为有一个很重要的例子
[768.22-771.66] 我们今年就是我们在菲律宾设的一个通通市
[771.66-774.18] 我们跟菲律宾最大的电竞公司
[774.18-777.14] 还有前五大私营的银行
[777.14-778.54] CBC合作
[778.54-782.30] 透过他们的一些用户来推广我们的收益
[782.30-786.14] 我们也没有忘记我们的市场
[786.14-787.62] 我们现在在市场里期盘标准
[787.62-789.50] 但我们不容许大型的公司
[789.50-792.46] 尤其针对中高银的这些朋友
[792.46-794.78] 我们就是透过跟Indy卡通的合作
[794.78-796.66] 来推广给这些
[798.22-799.78] 我们的公司的一个交易者
[799.78-806.38] 所以Webhub就是我们怎么看今年的一些展望
[806.38-811.42] 基本上我们认为我们所有的产品类别
[811.42-815.74] Whoseco本身已经是获利非常好的一个产品了
[815.74-817.38] 我们希望我们一两年
[817.38-818.94] 我们使用Whoseco的活力
[818.94-823.66] 来去支持我们新产品服务的生长
[823.66-826.26] 当然我们今年已经看到这些新的服务
[826.26-828.06] 它已经逐渐的成熟了
[828.22-830.78] 所以我们已经看到一个
[830.78-834.94] 我们已经看到了一个所谓Crypto Master的一个阶段
[834.94-839.26] 所以当这样的一个商业模式高获利成本
[839.26-842.66] 低变成的商业模式达到这样的一个状态之后
[842.66-844.74] 我们预期未来的获利成长
[844.74-847.30] 它其实是非常吸引人的成长
[850.58-854.22] 最近的这些国内外的震惊情势
[854.22-856.66] 其实相对对我们来讲也是蛮有利益的
[856.66-857.82] 为什么说呢
[858.22-861.50] 其实防炸它有点像一些自然的连锋
[861.50-864.90] 它比较会抗拒的整体循环
[864.90-866.78] 所以我们看到就是说
[866.78-868.74] 尤其过去一年以来
[868.74-873.46] 很多政府都推出了这些防炸面相关的一些政策
[873.46-876.34] 要求企业要负担更多的责任
[876.34-878.82] 所以我们已经看到我们切断防炸的困难
[878.82-881.22] 已经非常的非常的废了
[881.22-884.58] 也预期今年会有很好的成本在切断防炸的部分
[885.70-888.18] 那除了切断的部分的话
[888.22-891.42] 不知道我们继续在海外做购物
[891.42-893.14] 尤其在泰国市场
[893.14-894.42] 我们现在已经在买
[894.42-895.78] 其实有非常好的负担力
[895.78-901.50] 我们会积极去进入曼陵以外的一些二三十城市的一个市场
[901.50-904.42] 那在金融科技的部分
[904.42-906.90] 我们分了这个代锁金融的网站
[906.90-908.54] 这个全球交叉方式
[908.54-910.38] 我们两位如果不熟悉的朋友
[910.38-913.62] 我等一下会有机会详细说明一下这个产品
[913.62-917.22] 那代锁金融它是一个消费金融的一个推荐平台
[917.22-918.22] 它在去年也拿到一个购物费用的购物费用平台
[918.22-920.70] 一个非常最好的货物费用平台
[920.70-922.46] 有一个最大的货币平台
[922.46-924.46] 所以我们今年很重要的任务就是
[924.46-926.10] 怎么样更有效的去
[926.10-928.22] 让这些流量更有效的变现
[928.22-930.26] 那这个
[930.26-932.10] 这个招费码是这个小额
[932.10-935.82] 去年就是推出出来的一个月的非常大数
[935.82-937.58] 所以我们也可以看到
[937.58-938.58] 这部分的部分
[938.58-940.26] 我们所谓防炸的领域
[940.26-942.18] 进行的会非常大数的进展
[942.18-943.30] 所以真的要讲
[943.30-944.38] 我们会觉得
[944.38-945.54] 我们很有信心
[945.54-947.70] 今年我们会重复看到
[947.70-949.82] 营收跟获利的成长
[949.82-955.26] 营收部分我们维持可以至少是在这个企业平均的高度上
[955.26-956.22] 这样放放
[956.22-958.70] 因为防炸就是一种
[958.70-963.26] 让我们更强调我们怎么样可以维持一个
[963.26-964.70] 非常
[964.70-966.38] 这样的一个货币的升值
[966.38-969.82] 我想这是今年我们最进步的一个期许
[969.82-971.14] 好
[971.14-975.06] 那当然还有一些其他的这些例过去
[975.06-977.06] 像刚刚提到的CMIS
[977.70-980.34] 说去年大概是7000多万的台币
[980.34-982.86] 去年整并了一半
[982.86-984.10] 但是也就去年扣一半
[984.10-985.62] 那是一个货币的公司
[985.62-986.66] 是个最买单
[986.66-989.86] 这样我也把这个回信的时间
[992.30-993.82] 那很快我会
[995.94-996.38] 这个
[996.38-1003.82] 看一下
[1007.70-1009.74] 好
[1009.74-1012.82] 那接下来我就欢迎实际上介绍的视频
[1012.82-1014.62] 有这段影片还是什么时候
[1014.62-1016.14] 实际上我们在去年也有一些
[1016.14-1017.94] CMIS上的一些进展
[1017.94-1018.70] 好
[1018.70-1021.02] 这个公司成立2012年
[1021.02-1022.54] 目前的员工者
[1022.54-1024.02] 超过250位
[1024.02-1025.82] 然后我们在以外
[1025.82-1027.90] 就是这个主要的市场国家
[1027.90-1028.70] 在欧美亚
[1028.70-1029.26] 欧美亚为主
[1029.26-1031.26] 让我们去年透过并购荷兰
[1031.26-1032.78] 我们也进去到欧美市场
[1032.78-1035.34] 好
[1035.34-1035.86] 购入怎么样的随机的进程里面呢?
[1035.86-1036.38] 购入怎么样的随机的进程里面呢?
[1036.38-1037.14] 购入怎么样的随机的进程里面呢?
[1037.70-1038.98] 也就是说你自己买的
[1038.98-1040.58] 所以AI房仓的东西
[1040.58-1042.10] 我们这个产品刚刚介绍到的
[1042.10-1043.46] 应用价格
[1043.46-1044.50] 这个肥油科技
[1044.50-1045.90] 主要有三个问题
[1045.90-1047.18] 第一个是
[1047.18-1048.46] 我们怎么样的去
[1048.46-1049.98] 创造更多的科技
[1049.98-1052.90] 有一个频道
[1052.90-1053.98] 那是自由好处
[1053.98-1054.22] 好
[1054.22-1054.82] 那再来就是说
[1054.82-1056.62] 非常这个我们自由放大
[1056.62-1057.66] 放大自由好处
[1057.66-1058.62] 有办法去
[1058.62-1060.62] 能用自由的这个AI的办法
[1060.62-1062.26] 这三个是最重要的主要
[1062.26-1064.70] 我们AI房仓的基本一个方向
[1064.70-1065.58] 那
[1065.58-1067.18] 等下我们特别提到
[1067.18-1067.66] 我们这个
[1067.66-1069.10] 三个主要的这个产品
[1069.10-1071.10] 全
[1071.10-1071.86] 好
[1071.86-1074.14] 那我们也从FoodScore出发
[1074.14-1076.50] 逐渐建立一个文件多元的
[1076.50-1077.42] 自己的收来源
[1077.42-1079.58] 目前从服务来看的话
[1079.58-1082.62] 消费性房仓是这个大多数
[1082.62-1085.46] 但是这个是外的关系的房仓
[1085.46-1087.62] 跟这些科技在进行
[1087.62-1088.94] 好
[1088.94-1091.22] 那我们就看一区别来看的话
[1091.22-1092.98] 因为这种科技的
[1092.98-1095.06] 目前还是主要的
[1095.06-1096.34] 在市场
[1096.34-1097.14] 所以
[1097.14-1098.58] 整体来看
[1098.58-1100.58] 目前45%的现的
[1100.58-1101.78] 已传出于海外
[1101.78-1103.82] 但是如果如果只能说一方法
[1103.82-1105.30] 就是不干净不解的话
[1105.30-1107.70] 应该是将近60%的
[1107.70-1109.50] 营收是在自营的营收
[1109.50-1111.94] 好
[1111.94-1112.78] 这是我们的团队
[1112.78-1112.94] 好
[1112.94-1115.34] 因为我们从非外界做海外市场
[1115.34-1116.34] 所以你会看到我们主要现行的
[1116.34-1118.22] 其实是非常多国籍
[1118.22-1119.42] 从台湾
[1119.42-1120.62] 韩国
[1120.62-1121.58] 新加坡
[1121.58-1122.14] 荷兰
[1122.14-1123.58] 都有
[1123.58-1125.70] 好
[1125.70-1127.10] 那我们接下来来的
[1127.14-1129.70] 发展就是
[1129.70-1130.70] 两个出手
[1130.70-1132.26] 一个就是我们从第二个地步
[1132.26-1133.38] 而上
[1133.38-1134.10] 就是我们的计划
[1134.10-1137.70] 那再来就是我们持续研发新的广大产品
[1137.70-1139.30] 好
[1139.30-1142.34] 那我快点先讲我们这个我们这个飞轮
[1142.34-1146.02] 我们这个google的飞轮怎么样运作
[1146.02-1148.66] 从一开始我们就是一个很会做消费性
[1148.66-1149.98] 产品服务的美化
[1149.98-1150.30] 对
[1150.30-1150.54] 好
[1150.54-1153.90] 所以我们可以给予我们的用户非常好的
[1153.90-1154.42] 经验
[1154.42-1155.78] 不管是sales
[1155.78-1156.98] 不管是这个代理商
[1157.14-1158.74] 那透过这样的好的经验
[1158.74-1162.70] 就会愿意回馈我们一些资料或者回报
[1162.70-1164.50] 这个产品电话的一些来源
[1164.50-1167.54] 所以我们有一个非常comprehensive的一个
[1167.54-1168.54] 广大资源服务
[1168.54-1168.86] 好
[1168.86-1171.46] 那我目前已经非常有信心的去讲
[1171.46-1174.06] 我们是全世界可以提供最完整的
[1174.06-1175.06] 广大资源服务的公司
[1175.06-1176.34] 好
[1176.34-1178.30] 那这样的独有方向资源服务
[1178.30-1179.42] 这个为foundation
[1179.42-1182.02] 然后我们就会去开发我们自己的
[1182.02-1183.26] 这个AI的专访
[1183.26-1186.70] 那有这样的AI演算法去辨识照片之后
[1186.70-1189.30] 我们可以提供更多更好的服务给我们的客户
[1189.30-1189.70] 好
[1189.70-1191.54] 所以这就是我们一路以来
[1191.54-1194.82] 这个很快速可以成长的一个飞轮的一个概念
[1194.82-1197.22] 好
[1197.22-1199.46] 那在off market
[1199.46-1201.30] 我们也跟一般的消费性的
[1201.30-1204.50] 我们主要不是靠
[1204.50-1206.30] 去学习
[1206.30-1207.78] 因为诈骗是
[1207.78-1209.94] 很多政府都很投入的问题
[1209.94-1210.34] 好
[1210.34-1212.66] 所以我们发现跟政府合作
[1212.66-1214.10] 让政府来推广服务
[1214.10-1216.02] 其实是从这个
[1216.02-1216.46] 呃
[1216.46-1219.34] 从这么教育下是最好的这个学习用户的方法
[1219.34-1222.18] 我们说过去10年在东亚东亚地区
[1222.18-1224.82] 其实跟这些呃在地的这些政府
[1224.82-1226.98] 现在大家会建立非常好的关系
[1226.98-1229.38] 透过他们的这个呃
[1229.38-1231.06] 所谓的所谓的飞广
[1231.06-1235.42] 帮我们去去取得很多这个高这个啊
[1235.42-1235.82] 啊
[1235.82-1237.02] revision的业务
[1237.02-1238.58] 好
[1238.58-1242.70] 但我们希望把这样的东亚东亚市场给顺受到全球
[1242.70-1242.86] 好
[1242.86-1245.98] 所以我们再去也加入这个全球性的这个
[1245.98-1246.82] 大股市场
[1246.82-1247.54] 好
[1247.54-1249.70] 那一开始的时候其实没有这么多
[1249.70-1250.78] 所谓的foundation member
[1250.78-1251.86] 就是他可以
[1251.86-1256.38] 共同制定这个这个这个联盟的一些一些一些这个呃
[1256.38-1256.86] 规则
[1256.86-1257.30] 好
[1257.30-1258.46] 一开始其实没有这么多
[1258.46-1261.02] 因为看到因为诈骗的问题非常的大
[1261.02-1261.18] 好
[1261.18-1264.66] 所以我们现在同时列在高上里面的这些成员
[1264.66-1265.86] 除了google语外
[1265.86-1267.22] 包括包含啊
[1267.22-1268.14] amazon
[1268.14-1269.18] 包含google
[1269.18-1269.54] 啊
[1269.54-1270.38] meta
[1270.38-1271.66] 然后后
[1271.66-1271.90] 啊
[1271.90-1272.70] mastercard
[1272.70-1273.10] 啊
[1273.10-1274.26] 这个match group
[1274.26-1274.46] 啊
[1274.46-1275.70] 这个做做做这个online
[1275.70-1275.94] facebook
[1275.98-1278.38] 这个然后还有很多这个呃自身公司
[1278.38-1278.54] 好
[1278.54-1280.30] 其实都在这样的这个联盟里面
[1280.30-1283.42] 那我们透过这个联盟这个关注我们也可以很容易去接触到我们的
[1283.42-1283.94] 结果
[1283.94-1285.74] 好
[1285.74-1288.94] 所以呃这这一页基本上主要在讲说因为我们是一个data
[1288.94-1289.50] 基本公司
[1289.50-1292.30] 所以我们重视data的客资跟资安
[1292.30-1292.62] 好
[1292.62-1295.66] 那呃我们有250多员工
[1295.66-1297.42] 那有大概40位在海外
[1297.42-1299.22] 那我们都很追寻这个肉海
[1299.22-1300.90] 我们用当地的产业当地是什么
[1300.90-1303.86] 好
[1303.86-1305.70] 那呃整个这个是一
[1305.70-1306.94] 他是个 triggers
[1306.94-1309.58] lastly
[1309.58-1309.98] heb
[1309.98-1310.14] 啊
[1310.14-1312.06] 那个像剧情
[1312.06-1313.22] 是
[1313.42-1314.66] throughput
[1314.66-1315.16] 分享
[1315.46-1316.74] 这样的一个
[1317.74-1318.06] 对
[1318.06-1319.62] 然后也会有一些
[1319.62-1320.78] 就
[1321.30-1322.58] 还 timely
[1322.58-1324.26] 我能学到那 halt
[1324.26-1324.66] F blah
[1324.66-1325.70] extrapolation
[1325.70-1326.60] 这个 Cocoa
[1326.60-1326.90] 这个
[1326.90-1327.90] técnica
[1327.90-1328.82] � SCP
[1328.82-1329.30] HAHA
[1329.30-1329.82] 好
[1329.82-1330.22] 选择
[1330.22-1331.66] 我们现在再参观就是这个
[1331.66-1332.40] 另外一个
[1333.86-1334.62] 海外
[1334.62-1335.66] 我 네
[1335.70-1337.86] 这样的一个需求的程序
[1337.86-1341.46] 另外一个给大家的一个数字
[1341.46-1343.26] 就是说我们有一个
[1343.26-1345.02] Batch 1的同业叫
[1345.02-1347.26] GenFish同在NASDAQ上市
[1347.26-1348.38] 我们原本是说资安的
[1348.38-1351.02] 他们出这几年也很专注在做大片
[1351.02-1352.86] 但他们其实因为手上有很多
[1352.86-1353.86] 资安的情景
[1353.86-1355.54] 包含Norton
