[0.00-3.40] 各位投資先進午安
[156.98-160.98] 那目前公司我們搬到新的場
[160.98-164.98] 新的那個場區的部分
[164.98-168.98] 我們目前是在公司搬到土城三明路這邊
[168.98-170.98] 也就是在土城工業區這邊
[170.98-174.98] 那目前員工總數大概是1204人
[174.98-178.98] 那2024年去年的部分
[178.98-181.98] 已經來到了47.1億左右
[181.98-186.98] 那我們一直致力於整個停車場的開發
[186.98-189.98] 生產製造以及停車場的營運
[189.98-194.98] 我們在全台灣都布局相當綿密的一個服務網絡
[194.98-198.98] 在產品部分我們公司有主要兩大事業
[198.98-200.98] 一個是系統銷售事業
[200.98-202.98] 一個是停車場經營的部分
[202.98-207.98] 那系統銷售事業主要就是針對停車系統
[207.98-212.98] 的一個開發生產以及施工安裝以及維護的
[212.98-214.98] 系統維護的一個部分
[214.98-217.98] 那城市車旅是可能大家比較熟悉
[217.98-222.98] 因為主要是服務廣大的停車族群
[222.98-225.98] 這個是比較吐息的一個品牌
[225.98-231.98] 那我們目前也應該是國內最大的一個停車場營運商
[231.98-236.98] 那系統事業部分我們除了做停車場的部分
[236.98-237.98] 還有呢
[237.98-240.98] 停車場大概分路邊跟路外
[240.98-245.98] 那我們針對路外停車場就是馬路以外的停車場
[245.98-248.98] 我們有一個一系列非常完整的系統設備
[248.98-253.98] 那近期我們也公司積極在開發更先進
[253.98-259.98] 更有效能的一個世代的系統
[259.98-263.98] 那另外路邊的部分我們目前路邊開單
[263.98-266.98] 我們目前也配合智慧城市的部分
[266.98-275.98] 我們在國內開始逐步導入整個用車牌便士來做開單的一個服務
[275.98-279.98] 那另外相對應我們還有提供像訪客啦
[279.98-283.98] 批價機啦點餐一起加油的一個服務
[283.98-288.98] 那二十幾年來我們致力於整個系統的推動
[288.98-293.98] 所以我們的客戶群遍佈廣大的一個客戶群
[293.98-295.98] 包含在教育醫療以及百貨相關的部分
[295.98-300.98] 那停管事業部分我們主要
[300.98-307.98] 城市車旅的一個服務主要有含自營以及幫協助客戶代管的一個服務
[307.98-312.98] 那這個是整個停車的一個經營的模式跟架構
[312.98-315.98] 請各位投資先進來做一個參考
[315.98-322.98] 那我們從城市車旅創立大概七八年的期間
[322.98-324.98] 我們很迅速的因為有
[324.98-327.98] 因為我本身就是系統的供應商
[327.98-331.98] 所以我們在這幾年以相當快的速度
[331.98-334.98] 累積我們的整個的營運場次
[334.98-338.98] 那在過程中也受到客戶的一些認同
[338.98-343.98] 所以我們的暗場數也慢慢一直在往上爬升
[343.98-345.98] 市場概況的部分
[345.98-353.98] 目前我們城市車旅現在是在今年的三月已經來到了1170場
[353.98-356.98] 那目前應該在
[356.98-360.98] 目前我們針對這個部分是在每個
[360.98-363.98] 我們同業的網站來做一個調查
[363.98-367.98] 那目前我們目前不管是在
[367.98-373.98] 廠商數以及車位數的部分應該都是業界的領先的一個部分
[373.98-381.98] 那我們這張表是在我們在全台灣的一個停車的一個分佈的一個概況
[381.98-382.98] 那目前
[382.98-383.98] 總車位數的部分是在我們全台灣的一個停車的一個分佈的一個概況
[383.98-385.98] 那目前我們總車位數已經預計
[385.98-388.98] 應該約上四月應該會突破14萬個
[390.98-391.98] 營運成果的部分
[391.98-396.98] 我們從開始規劃要IPO
[396.98-400.98] 我們整個整理下來
[400.98-404.98] 我們從16年開始整理我們的一些相關的一個數據
[404.98-406.98] 大家看表下的部分
[406.98-408.98] 我們經營場次從142場
[408.98-410.98] 從2016年到現在是
[410.98-412.98] 到Q1底
[412.98-414.98] 是1170場
[414.98-418.98] 那我們的按場數的一個經營場數的
[418.98-424.98] 這五年近五年的一個成長的一個幅度大概是22.25%
[424.98-428.98] 那營收大概平均有16.18
[428.98-432.98] 那今年Q1我們的營運狀況還不錯
[432.98-434.98] 那目前大概
[434.98-440.98] YY的部分跟去年對比起來我們有成長到18.19的部分
[440.98-441.98] 算有比
[441.98-445.98] 比五年的平均還在略高一些
[445.98-448.98] 那這個是我們
[448.98-453.98] 停車服務以及停車場系統建置的一個
[453.98-455.98] 營收的一個分佈的Pitra
[455.98-459.98] 大概92%是停車場的一個服務
[459.98-463.98] 那5%左右是系統銷售相關
[465.98-467.98] 那這樣表示我們
[467.98-471.98] 2024跟2023的一個年度的一個
[471.98-472.98] 損益
[472.98-474.98] 那給各位
[474.98-476.98] 長官來做一個參考
[479.98-482.98] 這是我們這五年來的一個損益
[488.98-491.98] 那另外資產負債表的部分
[491.98-492.98] 公司
[492.98-494.98] 從經營到現在其實
[494.98-498.98] 在財務以及相關的一些部分都
[498.98-500.98] 相當穩健喔
[500.98-502.98] 所以這一塊的部分也
[502.98-506.98] 原則上也會我們都公視到我們的
[508.98-510.98] 一些財報相關都會公視出來
[510.98-514.98] 那這個部分結錄給各位來做一個參考
[515.98-518.98] 那目前現金流的部分我們在
[518.98-520.98] 今年目前為止的話
[520.98-522.98] 我們手頭現金大概有16點
[523.98-525.98] 16.8億左右
[525.98-527.98] 這個部分在現金部分
[527.98-530.98] 公司的資金是算相當充裕的
[530.98-532.98] 所以我們會把現金的一個部分
[532.98-534.98] 鼓勵部分的話
[534.98-537.98] 我們也通過董事會
[537.98-540.98] 那接下來要股東會這邊來做確認
[540.98-542.98] 那我們今年的話
[542.98-546.98] 去年2024年總共是EPS17.14
[546.98-548.98] 那我們規劃
[548.98-550.98] 發六塊現金的一個部分
[550.98-554.98] 那這個部分也給大家來做一個參考
[554.98-558.98] 那往年我們都是現金鼓勵我們都是持續
[558.98-559.98] 把每年的現金都發出去的部分
[559.98-561.98] 把每年賺的部分
[561.98-563.98] 我們主要以現金鼓勵為主
[563.98-565.98] 那過去的話
[565.98-568.98] 大概過去的話就是主要
[568.98-572.98] 因為保留一些資金在以擴張的使用
[572.98-576.98] 那近期的話因為我們整個資金比較充裕的部分
[576.98-579.98] 那我們有撥比較大的一塊
[579.98-582.98] 來回饋給我們的股東
[584.98-586.98] 營運展望的部分
[586.98-588.98] 目前我們
[589.98-591.98] 還是保持一個中性的樂觀
[591.98-592.98] 因為雖然
[592.98-595.98] 這兩個月其實
[595.98-597.98] 美國的一個關稅的一個部分
[597.98-599.98] 那當然我覺得我們
[599.98-601.98] 算比較偏內需的部分
[601.98-604.98] 所以我們目前看起來
[604.98-608.98] 短期內受衝擊的部分其實是不大
[608.98-611.98] 那目前其實Q1
[611.98-616.98] even到Q2我們都是保持相當樂觀的一個狀態
[616.98-619.98] 那我們相信今年應該還是可以維持
[619.98-622.98] 整個雙位數的一個成長
[622.98-624.98] 那在系統銷售部分的話
[624.98-629.98] 我們持續開發商業的一些大型的一個案件的取得
[629.98-633.98] 那像近期可能比如說像
[633.98-639.98] 一些我們講台中的一些知名的排戶公司的一些新建的
[639.98-641.98] 一些案件或者是
[641.98-646.98] 比較北部大型的辦公大樓的一些取得的部分
[646.98-649.98] 我們在訂單的取得部分算蠻
[649.98-651.98] 還算蠻順利的
[651.98-654.98] 那在智慧開端的部分
[654.98-658.98] 我們目前除了導入高雄跟台中之外
[658.98-662.98] 我們目前針對我們去年10月
[662.98-666.98] 去年10月開始執行我們竹北市的整個
[666.98-669.98] 路邊路外的一個承攬的案件
[669.98-671.98] 我們預計今年開始
[671.98-675.98] 我們預計將竹北市的5160個路邊停車格
[675.98-678.98] 全部導入智慧化的一個部分
[679.98-682.98] 那這個是比較大的工程
[682.98-686.98] 我們預計大概今年到明年的部分來做完成
[686.98-688.98] 那智慧房客道的部分
[688.98-694.98] 我們目前手頭已經有拿到案件大概有八件左右
[694.98-697.98] 那持續還在洽談的還有二十幾件
[697.98-702.98] 那在這一塊的部分除了過去可能做房客
[702.98-704.98] 管制人的進出之外
[704.98-708.98] 還有停車結合停車場的一些管制部分
[708.98-712.98] 我們更積極的針對整棟大樓的一些
[712.98-715.98] 弱電安全監控相關的部分來做一個
[715.98-717.98] 擴大的一個承攬
[717.98-719.98] 那在停車經營部分
[719.98-725.98] 我們目標是今年我們希望可以突破1300場
[725.98-728.98] 那在Q1部分我們已經順利
[728.98-731.98] 開場營運的比較大型指標的案場
[731.98-733.98] 像南港拉拉破啦
[733.98-735.98] 還有南港的中信總部
[735.98-738.98] 還有像星光站前摩天大樓就是
[738.98-740.98] 我們比較熟悉的早期
[740.98-742.98] 新光三越的部分
[742.98-743.98] 像豐原醫院啊
[743.98-747.98] 光田向上醫院區的一些等大型案件
[747.98-750.98] 那針對標案部分我們也
[750.98-753.98] 開始拆分更專業的一個分工
[753.98-758.98] 來希望能夠取得更多的一個案件
[758.98-761.98] 海外部分的話我們在泰國
[761.98-765.98] 目前已經開始導入整個城市車旅的一個服務
[765.98-768.98] 目前我們在
[768.98-770.98] 市區的部分的購物中心
[770.98-774.98] 我們已經取得一個案件是委託我們來做
[774.98-777.98] 經營的一個服務的一個部分
[777.98-780.98] 那在系統銷售部分今年也
[780.98-784.98] 包含跟他們的Mall集團或者是
[784.98-786.98] 大家比較熟悉有一個叫
[786.98-789.98] Seahorn Paragon的一個相關的案件
[789.98-792.98] 我們都積極來爭取
[792.98-796.98] 他們的整個的一個停還系統的一個建置
[796.98-798.98] 然後在
[798.98-800.98] 目前我們
[800.98-803.98] 國外的部分我們近期鎖定東北亞
[803.98-805.98] 我們透過
[805.98-809.98] 國際的一個財務公司來協助我們尋覓
[809.98-811.98] 東北亞的日本韓國的一個
[811.98-814.98] 中小型停車場的一個部分
[814.98-815.98] 那我們目前是
[815.98-817.98] 目前過程還在洽談中
[817.98-819.98] 那我們希望透過
[819.98-822.98] 併購或合資的方式進入市場
[822.98-824.98] 那在停車場經營之外
[824.98-827.98] 再來推動整個停車的一個系統的一個銷售
[828.98-831.98] 那內部管理我們
[831.98-834.98] 過去這幾年持續的擴張
[834.98-835.98] 那部門當然
[835.98-837.98] 職內也相當的擴張
[837.98-839.98] 所以我們希望說
[839.98-842.98] 未來在整個的一個效率
[842.98-844.98] 我們也持續針對內部來做一個
[844.98-846.98] 組織的一個再造以及
[846.98-849.98] 提高效率跟降低成本的部分
[849.98-852.98] 那當然我們每一季都會持續
[852.98-854.98] 或是每個月我們都持續來
[854.98-855.98] 關注一些
[855.98-856.98] 場戰的部分
[856.98-857.98] 針對一些
[857.98-858.98] 不良的案場
[858.98-859.98] 我們會做
[859.98-862.98] 地主這邊做檢註
[862.98-864.98] 或者是官場的部分來
[864.98-867.98] 後製我們的一個營運的一個績效
[867.98-869.98] 那包含人事啦財務啦
[869.98-871.98] 以及一些相關的部分
[871.98-873.98] 我們希望能夠
[873.98-875.98] 因為我們本身也是系統開發商
[875.98-877.98] 我們希望能夠
[877.98-879.98] 在人力的一個依賴上
[879.98-881.98] 能夠逐步的降低
[881.98-884.98] 包含一些AI的一些運用的嘗試
[884.98-886.98] 我們目前也是
[886.98-888.98] 逐步在研究
[888.98-892.98] 看怎麼樣的方式來讓我們整個的公司運作
[892.98-895.98] 能夠更有效率這樣子
[895.98-898.98] 那以上是我的一個
[898.98-900.98] 簡單的說明
[900.98-902.98] 那接下來就看各位
[902.98-904.98] 給我們一個
[904.98-905.98] 給我們一些指教
[905.98-906.98] 謝謝
[906.98-908.98] 那如果各位同事先進有任何問題
[908.98-909.98] 都歡迎
[909.98-911.98] 提問在聊天室中
[911.98-913.98] 那團隊會來為各位說明
[913.98-914.98] 謝謝
[916.98-918.98] 謝謝
[946.98-951.98] 請問各位同事先進有問題想要詢問的嗎
[968.98-971.98] 我們未來的鼓勵政策是這樣子
[971.98-976.98] 我們團隊的部分包含董事這邊
[976.98-978.98] 大家的想法是說
[978.98-980.98] 未來我們可能
[980.98-982.98] 今年的部分
[982.98-985.98] 應該說發去年的鼓勵
[985.98-990.98] 是我們一個比較大的一個嘗試
[990.98-992.98] 那過去我們大概是會
[992.98-995.98] 針對公司獲利的一半
[995.98-997.98] 我們內部有一個
[997.98-999.98] 其實我們的自我的要求
[999.98-1002.98] 就是說希望至少一半能夠來回饋股東
[1002.98-1006.98] 那今年的話我們逐步拉升到大概80%左右
[1006.98-1010.98] 那我們也希望說未來可以維持這樣的一個高
[1010.98-1013.98] 高鼓勵的一個方式去進行
[1013.98-1016.98] OK
[1016.98-1018.98] 那
[1018.98-1021.98] 2024還有Q1的
[1021.98-1024.98] 置營及代管的一個比重部分
[1024.98-1026.98] 昆賢你回答一下
[1026.98-1030.98] 這個營收來講的話就是
[1030.98-1032.98] 2025 Q1
[1032.98-1035.98] 置營的比重大概是83.42
[1035.98-1040.98] 那代管的部分是11.06
[1040.98-1042.98] 那2024的部分
[1042.98-1045.98] 置營的話是83.49
[1045.98-1049.98] 那代管的部分是8.21
[1049.98-1053.98] 佔營收比重大概是這樣的分布
[1053.98-1057.98] 可以再講一次好了
[1057.98-1059.98] 我怕大家講不太快
[1059.98-1061.98] 2025年Q1的部分
[1061.98-1064.98] 置營的比重大概是83.42
[1064.98-1067.98] 那物業的部分是11.06
[1067.98-1069.98] 2024年的話
[1069.98-1072.98] 置營的部分是83.49
[1072.98-1075.98] 那物業的部分是8.21
[1075.98-1080.98] 這個比重都是佔營業和佔整體營收的比重
[1080.98-1082.98] OK
[1082.98-1084.98] 那現在我們來看看
[1084.98-1086.98] 我們現在看到的這個表面
[1086.98-1088.98] 就是我們在這個表面
[1088.98-1090.98] 我們看到的這個表面是
[1090.98-1092.98] 這個表面是
[1092.98-1099.98] 2024年
[1099.98-1101.30] Quan Walking
[1101.30-1101.98] 你 ail
[1101.98-1102.98] 你 cuenta
[1102.98-1113.98] 你開始 turtle
[1113.98-1114.98] no
[1114.98-1118.98] 你試著
[1118.98-1121.98] 來
[1121.98-1124.98] 对不起因为刚才听成有点像18.21
[1124.98-1126.18] 好8.21谢谢
[1126.18-1127.08] 8.21
[1127.08-1127.64] 好
[1127.64-1148.44] 上次法说提及农历年后洽谈并购
[1148.44-1151.62] 请问一下洽谈的结果
[1151.62-1155.84] 并购这个部分其实是比较漫长的
[1155.84-1158.08] 那我们目前的话
[1158.08-1162.18] 在应该是农历年后
[1162.18-1164.62] 我们其实一直有在进行中
[1164.62-1168.00] 那当然我们也是蛮审慎评估的部分
[1168.00-1169.08] 那目前
[1169.08-1175.88] 比较focus的是跟日本厂商
[1175.88-1177.54] 那日本厂商这边其实
[1177.54-1179.98] 大家也知道说日本公司相对在
[1179.98-1181.52] 这一块的部分是比较
[1181.52-1181.60] 一样的
[1181.62-1182.34] 严谨
[1182.34-1185.04] 他不过有持续在进行
[1185.04-1186.00] 这个进度的部分
[1186.00-1190.76] 我们也有持续在与财务公司这边一起
[1190.76-1196.44] 在跟日方这边来做一个写商的一个部分
[1196.44-1199.36] 那当然这个就跟追女朋友一样
[1199.36-1203.60] 就是有些也我们相关的部分
[1203.60-1205.66] 我们要洽谈完之后
[1205.66-1207.92] 我们也会做一个比较严格的DD
[1207.92-1211.52] 来评估一些可惜性的一个部分
[1211.52-1214.94] 不过这一半我们也是有积极在做处理
[1214.94-1215.94] 大概是这样子
[1215.94-1228.24] 系统销售占比是不是
[1228.24-1234.58] 请问一下2024跟EQ25系统销售比重
[1234.58-1238.18] 系统销售2025Q1的销售比重
[1238.18-1239.24] 大概在3.35%
[1239.24-1240.24] 大概在3.35%
[1240.24-1240.66] 大概在3.35%
[1240.66-1240.88] 大概在3.35%
[1240.88-1241.38] 大概在3.35%
[1241.38-1242.10] 大概在3.35%
[1242.10-1242.14] 大概在3.35%
[1242.14-1243.80] 大概在3.35%
[1243.80-1245.34] 2024
[1245.34-1245.74] 不好意思
[1245.74-1249.46] 2025年Q1大概是3.36%
[1249.46-1261.46] 那2024年的部分大概是5.46%的销售比
[1261.46-1263.72] 现在有
[1263.72-1264.76] 这个我再说一下
[1264.76-1268.64] 2024年整个年度是5.46%
[1268.64-1270.74] 那2025年的Q1
[1270.74-1274.32] 现在的Q1目前占比是3.36%
[1274.32-1275.46] 那往年来讲
[1275.46-1277.86] 因为Q1的部分有涉及到过年
[1277.86-1280.82] 还有一些完工的一个时程的部分
[1280.82-1284.86] 通常在前半年或者是Q1的部分
[1284.86-1288.68] 系统销售部分的一个比重会相对比较低一点点
[1288.68-1289.28] 这样子
[1289.28-1294.38] 那2024年的Q1是多少个年度的比重
[1294.38-1296.90] 2024年整个年度的比重是多少个年度
[1296.90-1298.70] 2024年整个年度的比重是多少个年度
[1298.70-1299.66] 2025年整个年度的比重是多少个年度
[1299.66-1300.70] 2025年整个年度的比重是多少个年度
[1300.74-1302.54] 2025年整个年度的比重是多少个年度
[1302.54-1306.94] 主北的案件我们是整个其实
[1306.94-1310.30] 我们的对口是主北市公所
[1310.30-1313.74] 那这个专案是我们每个月固定付租金
[1313.74-1316.22] 包含它所有的路边跟路外
[1316.22-1320.14] 其实都整个的经营权都在我们身上
[1320.14-1326.36] 那我们目前是跟公所这边是希望在全台湾设立一个
[1326.36-1328.32] 因为过去
[1328.32-1330.08] 智慧开端的部分就只有
[1330.08-1330.58] 大家都只能在全台湾设立一个公所
[1330.58-1330.72] 因为过去智慧开端的部分就只有大家都只能在全台湾设立一个公所
[1330.74-1331.24] 因为过去智慧开端的部分就只有大家都只能在全台湾设立一个公所
[1331.24-1333.50] 因为各县市及政府
[1333.50-1336.06] 政府机构相对是单纯
[1336.06-1337.26] 比较保守
[1337.26-1338.86] 那这个案子因为
[1338.86-1342.46] 整个权力委外给我这边来做经营
[1342.46-1344.46] 那跟公所这边也有讨论说
[1344.46-1346.46] 因为主北也算是我们
[1346.46-1348.46] 高科技的重镇
[1348.46-1350.46] 我们希望在这一块
[1350.46-1352.46] 我们在这两年
[1352.46-1355.82] 逐步将五千多个车格导入
[1355.82-1357.82] 整个智慧开端的一个部分
[1357.82-1360.58] 那智慧开端部分也可以有一个
[1360.58-1362.58] 可以有效的去
[1362.58-1364.58] 降低我对
[1364.58-1366.58] 开单员
[1366.58-1368.58] 因为一般现在路边都是要派开单员
[1368.58-1370.58] 目前我们也大概
[1370.58-1372.58] 有雇佣开单员
[1372.58-1374.58] 在现场去做假单的一个部分
[1374.58-1376.58] 那我们希望说
[1376.58-1378.58] 透过这样的一个投入
[1378.58-1380.58] 全自动化的部分
[1380.58-1382.58] 降低人的一个管理
[1382.58-1384.58] 降低人的一个管理
[1384.58-1386.58] 因为毕竟现在其实人的部分也越来越难招募
[1386.58-1388.58] 因为毕竟现在其实人的部分也越来越难招募
[1388.58-1390.58] 那另外也设一个标准
[1390.58-1392.58] 在台湾这边
[1392.58-1394.58] 这一个标准的部分给大家看
[1394.58-1396.58] 一般来讲
[1396.58-1398.58] 有些都像台北市来看
[1398.58-1400.58] 有时候大家看
[1400.58-1402.58] 一个路段一个路段做
[1402.58-1404.58] 那我们是整个全区
[1404.58-1406.58] 整个全部人来做一个直线
[1406.58-1408.58] 大概是这样子
[1408.58-1410.58] 那这个部分原则上
[1410.58-1412.58] 竹北的专案
[1412.58-1414.58] 我们是每个月付一个固定租金
[1414.58-1416.58] 那它在合约的一个部分
[1416.58-1418.58] 它有定定一个是说
[1418.58-1420.58] 年度超过多少薪水
[1420.58-1422.58] 好像是抽5%
[1422.58-1424.58] 一个%数的一个部分
[1424.58-1426.58] 大概是这样子
[1448.58-1458.58] 另外我大概讲一下
[1458.58-1460.58] 因为刚才简报上面
[1460.58-1462.58] 因为刚才简报上面
[1462.58-1464.58] 可能怕大家比较不清楚
[1464.58-1466.58] 我们目前整个营运的状况
[1466.58-1468.58] 我们目前整个营运的状况
[1468.58-1470.58] 大概是这样子
[1470.58-1472.58] 就是可能我之前有看
[1472.58-1474.58] 好像其实有一些还蛮关心
[1474.58-1476.58] 我们南港拉拉破的一个部分
[1476.58-1478.58] 我们南港拉拉破的一个部分
[1478.58-1480.58] 还有像一些相关的案件
[1480.58-1482.58] 我们拉拉破是大概是
[1482.58-1484.58] 3月20几号开始
[1484.58-1486.58] 3月20几号开始
[1486.58-1488.58] 配合三级拉拉破开幕
[1488.58-1490.58] 开始执行
[1490.58-1492.58] 那所以其实坦白说
[1492.58-1494.58] 拉拉破的开幕还有包含中信
[1494.58-1496.58] 总部的开幕
[1496.58-1498.58] 这个应该都会反映在Q2的营收上面
[1498.58-1500.58] 这个应该都会反映在Q2的营收上面
[1500.58-1502.58] 那Q1的部分
[1502.58-1504.58] 其实过去我们在
[1504.58-1506.58] 竹北
[1506.58-1508.58] 其实竹北整个案件
[1508.58-1510.58] 其实也对我们营收有蛮大的推升
[1510.58-1512.58] 那主要其实反映在Q1
[1512.58-1514.58] 今年Q1的一个状态
[1514.58-1516.58] 所以我们目前
[1516.58-1518.58] 针对Q1的一个营运
[1518.58-1520.58] Q2的一个营运
[1520.58-1522.58] 我们是保持是乐观的
[1522.58-1524.58] 另外
[1524.58-1526.58] 滞云贷款的毛利率
[1526.58-1528.58] 大概是落在区间
[1528.58-1530.58] 这个部分
[1530.58-1532.58] 滞云跟贷款如果以
[1532.58-1534.58] 最近两年度来看的话
[1534.58-1536.58] 滞云大概是在17到18%左右
[1536.58-1538.58] 滞云跟贷款如果以最近两年度来看的话
[1538.58-1540.58] 劳务的部分
[1540.58-1542.58] 贷款的部分
[1542.58-1544.58] 劳务的部分
[1544.58-1546.58] 大概在20到27%左右
[1546.58-1548.58] 大概在20到27%左右
[1568.58-1578.58] 那我们现在是在
[1578.58-1580.58] 今年的部分
[1580.58-1582.58] 我们有提过说
[1582.58-1584.58] 其实我们是保持蛮乐观的状态
[1584.58-1586.58] 没有错
[1586.58-1588.58] 其实去年因为要符合合规
[1588.58-1590.58] 我们有些暗藏的一些部分
[1590.58-1592.58] 那当然今年Q1
[1592.58-1594.58] 我们认为今年Q1的表现
[1594.58-1596.58] 也符合我们的预期
[1596.58-1598.58] 那甚至好
[1598.58-1600.58] 好一些
[1600.58-1602.58] 这部分的话
[1602.58-1604.58] 应该是这样讲
[1604.58-1606.58] 其实我们也是蛮乐观的
[1606.58-1608.58] 然后忽然这两个月
[1608.58-1610.58] 川普忽然又
[1610.58-1612.58] 搞了关税的一个问题
[1612.58-1614.58] 我觉得短期内对我们影响
[1614.58-1616.58] 我觉得短期内对我们影响
[1616.58-1618.58] 刚才在报告上有说
[1618.58-1620.58] 对我们影响并不是非常大
[1620.58-1622.58] 唯一我们比较担心的是
[1622.58-1624.58] 总经济整体经济
[1624.58-1626.58] 有往下的一个因素
[1626.58-1628.58] 这个其实可能大家目前
[1628.58-1630.58] 都看不太清楚
[1630.58-1632.58] 不过我们觉得
[1632.58-1634.58] 我们目前看起来Q2部分
[1634.58-1636.58] 甚至到Q3
[1636.58-1638.58] 看起来还OK
[1638.58-1640.58] 我觉得整个台湾的国内经济
[1640.58-1642.58] 我们目前看到的是还OK
[1642.58-1644.58] 那
[1644.58-1646.58] 台风的部分
[1646.58-1648.58] 这个不可抗力的部分
[1648.58-1650.58] 我们其实我觉得
[1650.58-1652.58] 应该说去年来了四个台风
[1652.58-1654.58] 所以基本上我们也是
[1654.58-1656.58] 我们在内部的管理
[1656.58-1658.58] 跟成本的预估上面我们也是有
[1658.58-1660.58] 把他先喊进去
[1660.58-1662.58] 也是做一些有效的控管
[1662.58-1664.58] 那主要的推升是
[1664.58-1666.58] 因为我们今年的一些大型
[1666.58-1668.58] 这些的大型案场其实有起来
[1668.58-1670.58] 所以对毛利率的一个
[1670.58-1672.58] 提升的部分我们目前是
[1672.58-1674.58] 乐观的
[1674.58-1676.58] 然后今年公司
[1676.58-1678.58] 表示官员持续增加
[1678.58-1680.58] 不断每季营收
[1680.58-1682.58] 随着投入的
[1682.58-1684.58] 而成长吗?没有错其实
[1684.58-1686.58] 我觉得我们目前
[1686.58-1688.58] 我们Q1跟去年的
[1688.58-1690.58] Q1 YOY比是
[1690.58-1692.58] 18%左右
[1692.58-1694.58] 这个因为有
[1694.58-1696.58] 已经公告我们可以来做一个
[1696.58-1698.58] 说明那
[1698.58-1700.58] 我们其实过往
[1700.58-1702.58] 大概目前都还是维持一个
[1702.58-1704.58] 双位数那去年
[1704.58-1706.58] 其实Q1应该对比
[1706.58-1708.58] 去年一整年的
[1708.58-1710.58] 呃成长的一个
[1710.58-1712.58] 幅度其实也是
[1712.58-1714.58] 成绩也是算蛮好的
[1714.58-1716.58] 部分这样子对
[1716.58-1718.58] 然后
[1718.58-1720.58] 呃
[1720.58-1722.58] 哈
[1722.58-1724.58] 就打到
[1724.58-1726.58] 主要刚才
[1726.58-1728.58] 刚才我的那个回答
[1728.58-1730.58] 是针对今年的
[1730.58-1732.58] 每一季的营收
[1732.58-1734.58] 持续成长的部分
[1734.58-1736.58] 对是没错
[1746.58-1747.58] Е Links
[1747.58-1759.48] 我中文
[1773.42-1775.72] 那你们投资现场有其他的问题吗
[1776.58-1787.58] 如果没有其他的问题的话
[1787.58-1790.64] 我们今天富尔运通的法人说明会就到此结束了
[1790.64-1792.22] 谢谢大家参加
[1792.22-1792.74] 谢谢
[1792.74-1794.02] 谢谢大家
[1794.02-1794.54] 谢谢
