[0.00-5.00] 請到滕輝來為大家舉辦法術會分享
[175.00-177.00] 所以但是我們只有
[177.00-179.00] 從市場上最中低階
[179.00-181.00] 到最高階的公司
[181.00-183.00] 同時我們也有IC載板
[183.00-185.00] 這些這邊特別強調
[185.00-186.00] 我們還有
[186.00-190.00] 類似版使用的高耐熱的材料
[190.00-192.00] 然後我們在軟硬結合板上面
[192.00-195.00] 在全世界前三大的公司上
[195.00-197.00] 是就我們鞋不留膠的
[197.00-198.00] 的PV電
[198.00-199.00] 免膠
[199.00-201.00] 那個免合片
[201.00-202.00] 另外就是在散熱
[202.00-203.00] 半導體
[203.00-204.00] 或是
[204.00-206.00] 一些測試上面的
[207.00-209.00] 我們也有測試的這些上面
[209.00-210.00] 需要的
[210.00-213.00] 公司應該是
[213.00-215.00] 一家最專注在
[215.00-216.00] 公共產品的製造商
[216.00-218.00] 那目前就是
[218.00-221.00] 因為一些新的應用要突破
[221.00-223.00] 現有的產品
[223.00-224.00] 已經很難買出
[224.00-226.00] 所以在新的公司上面
[226.00-228.00] 需要各式各樣
[228.00-230.00] 所有這些材料都具備的
[230.00-231.00] 性能
[231.00-234.00] 但是它是沒有玻璃固裝品材的
[234.00-236.00] 這種公共產品
[236.00-239.00] 公司是應該也是全世界
[239.00-241.00] 唯一一家最專注在這產品
[241.00-243.00] 所以好像目前的
[243.00-245.00] 產品應用越來越多
[245.00-246.00] 所以我們有就是
[246.00-248.00] 有未來的趨勢
[248.00-250.00] 那我們特別強調
[250.00-252.00] 能夠做全球公益
[252.00-254.00] 所以我們自己在
[254.00-256.00] 英國
[256.00-257.00] 歐洲德國
[257.00-258.00] 跟美牛
[258.00-261.00] 你有自己的投資的公司
[261.00-263.00] 全球的員工
[263.00-265.00] 台灣的員工有70幾位
[265.00-267.00] 所以它能夠做
[267.00-269.00] 對客戶有承諾
[269.00-270.00] 在那邊設倉庫
[270.00-272.00] 可以讓他們做
[272.00-273.00] 採接跟門票公司
[273.00-274.00] 另外就是我們
[274.00-276.00] 在海外客戶提供
[276.00-278.00] 把亞洲
[278.00-279.00] 平價的
[279.00-280.00] 原料物料設備
[280.00-282.00] 都引進到歐洲去
[282.00-284.00] 讓他們能夠在
[284.00-286.00] 公司做到
[286.00-287.00] 在辦的
[287.00-289.00] 這個公務
[291.00-293.00] 這是我們全球公益的
[293.00-294.00] 這些
[294.00-296.00] 是
[296.00-298.00] 那我們的製造機構
[298.00-299.00] 主要在蘇州
[299.00-300.00] 我們在嘉陵
[300.00-302.00] 跟深圳各種工廠
[302.00-304.00] 台灣也有公司
[304.00-306.00] 那剛剛我提到過
[306.00-308.00] 我們在韓國
[308.00-310.00] 新加坡
[310.00-311.00] 包括印度
[311.00-312.00] 這一些
[312.00-313.00] 我們都有在
[313.00-314.00] 並且
[314.00-315.00] 都有業務在
[315.00-317.00] 支持大陸
[320.00-321.00] 這是我們官員的工廠
[321.00-322.00] 總公司
[322.00-324.00] 是大概7萬多
[324.00-326.00] 其實不剩一張牆的
[326.00-328.00] 地方是在蘇州
[328.00-329.00] 編發
[329.00-331.00] 就是官員都在
[331.00-332.00] 這幫
[332.00-334.00] 那其他基本上
[334.00-335.00] 基本的
[335.00-336.00] 他們官員
[336.00-337.00] 這些都是私人
[337.00-338.00] 大量的都出了
[338.00-339.00] 其他都
[339.00-340.00] 接單
[340.00-342.00] 然後交付快單
[342.00-344.00] 然後來滿足
[344.00-345.00] 大陸客戶的需求
[345.00-346.00] 那大量的病態
[346.00-348.00] 都從蘇州來交流
[348.00-349.00] 基本上也有一個好處
[349.00-350.00] 就是我們把
[350.00-351.00] 最核心的
[351.00-353.00] 這個技術跟品質
[353.00-354.00] 的
[354.00-355.00] 面對面都變
[355.00-356.00] 別讓我們都在
[356.00-357.00] 這個工廠生命
[357.00-359.00] 然後所有的品質
[359.00-360.00] 對客戶來講
[360.00-361.00] 常規的問題
[361.00-363.00] 那我們除了
[363.00-364.00] 剛才提到的
[364.00-365.00] 嘉義工廠
[365.00-366.00] 不曾認工廠
[366.00-367.00] 大工廠之外
[367.00-368.00] 我們也
[368.00-369.00] 也即將在泰國
[369.00-370.00] 設廠
[370.00-372.00] 大概下個月就用
[372.00-373.00] 我們預計
[373.00-374.00] 能夠在
[374.00-375.00] 第二期能夠
[375.00-376.00] 提供一份產
[381.00-382.00] 另外我最強調的
[382.00-383.00] 是我們研發
[383.00-384.00] 來代理公司
[384.00-385.00] 我們在泰國的
[385.00-386.00] 發展
[386.00-387.00] 這邊是我們公司
[387.00-388.00] 大概有
[388.00-389.00] 6%的研發人員
[389.00-390.00] 我們能夠在
[390.00-391.00] 其實我們在過去
[391.00-392.00] 從整部
[392.00-393.00] 所以在2013年
[393.00-394.00] 之前公司
[394.00-395.00] 就可以到
[395.00-396.00] 然後從整以後
[396.00-397.00] 從2013年開始
[397.00-398.00] 然後2017年
[398.00-399.00] 我們轉過20
[399.00-400.00] 反正什麼產品
[400.00-401.00] 都能有
[401.00-402.00] 所以從
[402.00-403.00] 2016年
[403.00-404.00] 開始做研發
[404.00-405.00] 一直到今天
[405.00-406.00] 我們
[406.00-407.00] 我們全世界
[407.00-408.00] 有很多
[408.00-409.00] 研發
[409.00-410.00] 我們有很多
[410.00-411.00] 研發
[411.00-412.00] 我們有很多
[412.00-413.00] 研發
[413.00-414.00] 我們全世界
[414.00-416.00] 所有計劃場面
[416.00-417.00] 最多生產
[417.00-418.00] 最多產品
[418.00-419.00] 最多一家公司
[419.00-420.00] 其實靠的就是
[420.00-422.00] 我們研發的實力
[422.00-424.00] 各位可以算一算
[424.00-425.00] 就是
[425.00-426.00] 我們如果從這10年來
[426.00-427.00] 跟我們同行
[427.00-428.00] 像他們都
[428.00-429.00] 出道的
[429.00-430.00] 30成
[430.00-431.00] 比我們早了很久
[431.00-432.00] 所以我們
[432.00-433.00] 雖然是晚到
[433.00-434.00] 但是
[434.00-435.00] 現在
[435.00-436.00] 基本上可以說
[436.00-437.00] 除了在
[437.00-438.00] 高速的表現
[438.00-439.00] 不然我們其他
[439.00-440.00] 其他的產品
[440.00-441.00] 都會缺失
[441.00-442.00] 尤其是
[442.00-443.00] 我們在
[443.00-444.00] 幫助在出動
[444.00-445.00] 我們認可
[445.00-446.00] 為了拿到
[446.00-447.00] 多克西的馬丁
[447.00-449.00] 多西的維神的任務
[449.00-450.00] 多科花的
[450.00-451.00] 7年到10年
[451.00-452.00] 這樣長期的
[452.00-453.00] 進度的分別
[453.00-454.00] 那我們除了
[454.00-455.00] 在研發上面
[455.00-456.00] 還有一個場
[456.00-457.00] 一個是我們自己
[457.00-458.00] 研究
[458.00-459.00] 研發出
[459.00-460.00] 我們自己的配方
[460.00-461.00] 數值的配方
[461.00-462.00] 是我們
[462.00-463.00] 有一份最重要的
[463.00-464.00] 東西
[464.00-465.00] 是我們自己的本身
[465.00-466.00] 我們自己在工廠
[466.00-467.00] 裡面的
[467.00-468.00] 所反應起
[468.00-469.00] 所以我們會
[469.00-470.00] 是
[470.00-471.00] 為了
[471.00-472.00] 是
[472.00-473.00] 因為現在的配方
[473.00-474.00] 基本上是機位性
[474.00-475.00] 所以我們就會在裡面
[475.00-476.00] 核心的
[476.00-477.00] 會講到
[477.00-478.00] 特性
[478.00-479.00] 因為
[479.00-480.00] 台獨很多重點的
[480.00-481.00] 這種分析都是一個
[481.00-482.00] 綜合的
[482.00-483.00] 所以叫
[483.00-484.00] 多鞋的產品
[484.00-485.00] 你怎麼樣去
[485.00-486.00] 鎖住到電性加工品
[486.00-488.00] 還有很多化學特性
[488.00-489.00] 什麼都要
[489.00-490.00] 能夠
[490.00-491.00] 盤住
[491.00-492.00] 比方說都7 80分
[492.00-494.00] 那可能就是一個
[494.00-495.00] 最好的產品
[495.00-496.00] 你怎樣去鎖住
[496.00-497.00] 多是關鍵
[497.00-498.00] 裡面的一些
[498.00-499.00] 出品
[499.00-500.00] 要去找到
[500.00-501.00] 可能
[501.00-502.00] 是一個
[502.00-503.00] 好的
[503.00-504.00] 做戰略對抗
[504.00-505.00] 那在市場上
[505.00-506.00] 也不一定找得到
[506.00-507.00] 那我就會自己去研發
[507.00-508.00] 像我們的
[508.00-509.00] 那還會什麼
[509.00-510.00] 在
[510.00-511.00] 零起
[511.00-512.00] 就參考全世界
[512.00-513.00] 百分之二十幾的產品
[513.00-514.00] 要拿到全世界
[514.00-515.00] 可以進攻大廠
[515.00-516.00] 或是
[516.00-517.00] 國防
[517.00-518.00] 機器的這些
[518.00-519.00] 任何
[519.00-520.00] 其實不是
[520.00-521.00] 像我們
[521.00-522.00] 像我們
[522.00-523.00] 跟
[523.00-524.00] 呃
[524.00-525.00] 某一
[525.00-526.00] 的各個公務廠
[526.00-527.00] 這些都不是
[527.00-528.00] 基本上
[528.00-529.00] 就是因為我們可以做
[529.00-530.00] 自己的
[530.00-531.00] 那我們
[531.00-532.00] 有兩
[532.00-534.00] 這些都是我們的產品認證
[534.00-535.00] 最重要是這一種
[535.00-536.00] SW
[536.00-538.00] 你要拿到SW
[538.00-540.00] 才能夠做航空航電
[540.00-541.00] 所以我們
[541.00-542.00] 在
[542.00-543.00] Rothwell
[543.00-545.00] 這家公司的
[545.00-546.00] 協助理價
[546.00-547.00] 拿到了
[547.00-549.00] 全世界第二家
[549.00-550.00] 拿到這個
[550.00-551.00] 驗證
[551.00-552.00] 那這個驗證
[552.00-553.00] 就讓我們能夠做
[553.00-555.00] 零工房這個產品
[555.00-556.00] 像我對自己拿到
[556.00-557.00] SW
[557.00-559.00] 這個材料的任務
[559.00-560.00] 也是
[560.00-561.00] 也是因為
[561.00-563.00] 新有這個交代
[565.00-566.00] 這邊我們當然比較
[566.00-568.00] 比較為航道工房做法
[568.00-569.00] 交付
[569.00-570.00] 就有這些
[570.00-571.00] 這個認證的地方
[571.00-572.00] 那
[572.00-574.00] 把它認證是比較困難
[574.00-575.00] 像
[575.00-577.00] 目前臺灣也有中廠
[577.00-578.00] 有些PCC客戶
[578.00-579.00] 也想要去這邊
[579.00-580.00] 當我們開始做這個認證
[580.00-581.00] 做發展商
[581.00-584.00] 到現在都還沒有這個
[586.00-587.00] 是有的
[587.00-589.00] 然後另外就是
[589.00-590.00] 這些
[590.00-591.00] 接下來這一邊
[591.00-592.00] 就是介紹
[592.00-593.00] 產品的測量
[593.00-597.00] 一個我們當然會去交
[597.00-599.00] 在一些產品上
[599.00-601.00] 就是5G 6G的高能導數
[601.00-604.00] 這個我們已經有個全系列產
[604.00-605.00] 目前也
[605.00-607.00] 參與了
[607.00-609.00] AI
[609.00-610.00] 主機
[610.00-611.00] 還有很多
[611.00-612.00] 手光通訊
[612.00-614.00] 很多產品的認證
[614.00-615.00] 我們公司也
[615.00-616.00] 大概如果這個
[616.00-619.00] 還能幫你了解的話
[619.00-620.00] 我們公司也提供了
[620.00-621.00] 一個高速的
[621.00-622.00] 也有馬8的產品
[622.00-624.00] 也有馬9的高速能動
[624.00-627.00] 也在這些客戶認可當中
[627.00-629.00] 達到就是至少
[629.00-631.00] PCC客戶的認可
[631.00-633.00] 也達到同時也並該
[633.00-635.00] 用在一些測試
[635.00-637.00] 就是AI晶片的測試上
[638.00-640.00] 基本上就是
[640.00-642.00] 多一點開始進入這個產業
[642.00-644.00] 然後另外就是金融
[644.00-647.00] 跟汽車的高速超高值能力達成
[647.00-650.00] 這個部分是越來越
[650.00-652.00] 像在中國
[652.00-653.00] 他們設計的高度
[653.00-654.00] 都要對
[654.00-656.00] 尤其像亞洲
[656.00-658.00] 都會被這樣子
[658.00-659.00] 隨著市場
[659.00-660.00] 最大
[660.00-662.00] 另外就是在中國
[662.00-663.00] 因為都
[663.00-665.00] 看到
[665.00-667.00] 巴基斯坦令度
[667.00-668.00] 這個戰爭
[668.00-671.00] 所以中國在這一次的戰爭
[671.00-672.00] Bolt
[672.00-675.00] 他的一些氣象
[675.00-678.00] 有增加很多的產工量
[678.00-679.00] 所以這些
[679.00-680.00] 大家可以看得出來
[680.00-682.00] 這些非常迫切
[682.00-684.00] 需要一些的市場的產品
[684.00-687.00] 然後另外就是高速
[687.00-689.00] 在軍工還有高速
[689.00-690.00] 還有醫療
[690.00-692.00] 聯安運用的版本
[692.00-695.00] 我們最近有開發一款馬6
[697.00-699.00] 不流膠的版本
[699.00-700.00] 我們最近
[700.00-702.00] 得到大量的宣傳
[702.00-703.00] 交出認證
[703.00-704.00] 一開始
[704.00-705.00] 有訂單
[705.00-706.00] 所以我們就是說
[706.00-708.00] 我們在這些材料上面
[708.00-710.00] 我們不斷的推成出行
[710.00-711.00] 讓我們同時也可以去
[711.00-712.00] 薄膜的這種
[712.00-714.00] 這種產品
[714.00-715.00] 那
[715.00-716.00] 它能夠讓
[716.00-718.00] 因為它不流膠
[718.00-719.00] 所以夠不在
[719.00-720.00] 製作
[720.00-721.00] 一些需要買
[721.00-722.00] 買物資的
[722.00-724.00] 很多這種芯片上
[724.00-725.00] 這種工藝上面
[725.00-726.00] 它可以
[726.00-728.00] 有很好的解決方案
[728.00-729.00] 不需要
[729.00-730.00] 太複雜的工藝
[730.00-732.00] 用一般的材料
[732.00-733.00] 來取代
[733.00-734.00] 因為你要
[734.00-735.00] 它不流膠
[735.00-736.00] 你都要
[736.00-737.00] 它能夠
[737.00-738.00] 非常
[738.00-739.00] 精準化
[739.00-740.00] 這不成功
[740.00-742.00] 然後另外就是
[742.00-743.00] 第四個重點
[743.00-744.00] 就是我們在
[744.00-745.00] 西沙河芯片
[745.00-746.00] 航海
[746.00-747.00] 疫療
[747.00-748.00] 跟備案運動上
[748.00-749.00] 這個重點
[749.00-750.00] 是高性脈力
[750.00-751.00] 要經過
[751.00-752.00] 長期
[752.00-754.00] 的測試
[754.00-755.00] 不管是
[755.00-756.00] 冷熱衝擊
[756.00-758.00] 或是高溫高濕的環境
[758.00-759.00] 比較
[759.00-760.00] 大概是維持的
[760.00-761.00] 很穩定
[761.00-762.00] 至少
[762.00-763.00] 可以耐1000個小時的冷氣
[763.00-765.00] 那這個是那麼
[765.00-766.00] 所以我們
[766.00-767.00] 現在的很多的材料
[767.00-768.00] 也都可以
[768.00-769.00] 用金
[769.00-770.00] 對客戶的
[770.00-771.00] 開始使用
[771.00-773.00] 這是一個新的東西
[773.00-774.00] 因為
[774.00-776.00] 以前並沒有這麼
[776.00-777.00] 重要
[777.00-779.00] 在這些材料上
[779.00-780.00] 但是現在大家
[780.00-781.00] 越來越生氣
[781.00-782.00] 在討論
[782.00-783.00] 汽車業者
[783.00-784.00] 像
[784.00-785.00] 細節
[785.00-786.00] 都是工藝
[786.00-787.00] 是越來越
[787.00-788.00] 然後以前
[788.00-789.00] 現發現去的
[789.00-790.00] 大會
[790.00-791.00] 大行
[791.00-792.00] 神劇演藝園
[792.00-793.00] 這個問題很大
[793.00-794.00] 但是現在
[794.00-795.00] 這個問題
[795.00-796.00] 就變成是一個
[796.00-797.00] 重要的重點
[797.00-798.00] 就是工業汽車
[798.00-800.00] 能來入芯片的善用
[800.00-802.00] 這一塊我們發現
[802.00-803.00] 市場越來越大
[803.00-804.00] 搞不定可以
[804.00-805.00] 多使用
[805.00-806.00] 還有很多其他的芯片
[806.00-807.00] 都
[807.00-808.00] 他們都
[808.00-809.00] 要
[809.00-811.00] 做這樣的設施
[811.00-812.00] 希望能夠導致
[812.00-814.00] 把芯片買入
[814.00-815.00] 然後可以減少他們
[815.00-816.00] 幫助使用
[816.00-817.00] 愛心兵器
[817.00-818.00] 他們沒有好多施力
[818.00-819.00] 反正就是
[819.00-820.00] 在芯片上
[820.00-821.00] 這些芯片
[821.00-822.00] 會少幾顆
[822.00-823.00] 其實有獎勵很大
[823.00-824.00] 大臣
[824.00-825.00] 半導體的相關產品
[825.00-826.00] 就是在測試上
[826.00-827.00] 就是目前一個重點
[827.00-828.00] 就是這六個
[828.00-829.00] 另外
[829.00-830.00] 就是介紹一下
[830.00-831.00] 我們產品結構
[831.00-832.00] 銷售的進程
[832.00-833.00] 這個我們主要
[833.00-834.00] 一列
[834.00-835.00] 這三個材料
[835.00-836.00] 大概營收上面
[836.00-837.00] 這四個材料
[837.00-838.00] 也在
[838.00-839.00] 太陽上的
[839.00-840.00] 所以我們
[840.00-841.00] 比較專注
[841.00-842.00] 在這個
[842.00-843.00] 產品材料上
[843.00-844.00] 因為一般材料
[844.00-845.00] 說實話
[845.00-846.00] 就是
[846.00-847.00] 其實要冰亮
[847.00-848.00] 要不然
[848.00-849.00] 就很難
[849.00-850.00] 因為
[850.00-851.00] 我們有很多
[851.00-852.00] 產品
[852.00-853.00] 我們有很多
[853.00-854.00] 產品
[854.00-855.00] 我們有很多
[855.00-856.00] 產品
[856.00-857.00] 我們要有一個
[857.00-858.00] 一個成本
[858.00-859.00] 好
[859.00-860.00] 平周轉運
[860.00-861.00] 這個是我們
[861.00-862.00] 開業的
[862.00-863.00] 第二
[863.00-864.00] 公司一直進行開發
[864.00-865.00] 新的
[865.00-866.00] 已經
[866.00-867.00] 好
[867.00-868.00] 這個
[868.00-869.00] 就是說
[869.00-870.00] 剛剛提到的
[870.00-871.00] 都會採訪
[871.00-872.00] 都是我們
[872.00-873.00] 一直在這裡
[873.00-874.00] 看進
[874.00-875.00] 這類
[875.00-876.00] 當家的
[876.00-877.00] 焦米
[877.00-878.00] 或是
[878.00-879.00] 胡椒紅
[879.00-880.00] 還有一些
[880.00-881.00] 是PCB的
[881.00-882.00] 應用
[882.00-883.00] 像我們
[883.00-884.00] 已經用到
[884.00-885.00] 電
[885.00-886.00] 電容
[886.00-887.00] 現在的電
[887.00-888.00] 當下也需要
[888.00-889.00] 弱膜
[889.00-890.00] 然後把它的
[890.00-891.00] 像
[891.00-892.00] 就是它們的電孔
[892.00-893.00] 來撞
[893.00-894.00] 然後它們需要
[894.00-895.00] 點餘化
[895.00-896.00] 然後它就希望
[896.00-897.00] 那個電孔
[897.00-898.00] 讓大家看不出來
[898.00-899.00] 所以又
[899.00-900.00] 有一些顏色
[900.00-901.00] 灰色而已
[901.00-902.00] 那
[902.00-903.00] 因為
[903.00-904.00] Casla
[904.00-905.00] 跟Apple
[905.00-906.00] 要存
[906.00-907.00] 所以這個
[907.00-908.00] 可能會在未來
[908.00-909.00] 我們客人告訴
[909.00-910.00] 他們會從
[910.00-912.00] 目前大概
[912.00-913.00] 約200多萬顆
[913.00-915.00] 200多萬顆
[915.00-916.00] 到
[916.00-917.00] 以後被改成
[917.00-918.00] 200多萬顆
[918.00-920.00] 這個需求
[920.00-921.00] 那對我們來說
[921.00-923.00] 就是一個很大的
[923.00-924.00] 應收
[924.00-925.00] 跟獲利的公司
[925.00-926.00] 目前
[926.00-927.00] 這五年
[927.00-929.00] 跟他們配合在一起
[929.00-931.00] 然後還有很多
[931.00-932.00] 其他的
[932.00-933.00] 一般的
[933.00-934.00] 就是
[934.00-935.00] 我們也開發
[935.00-937.00] 有做進
[937.00-939.00] 職業的做的
[939.00-940.00] 這種
[940.00-941.00] 這種需求
[941.00-942.00] 然後另外再接近
[942.00-943.00] 更大的什麼
[943.00-944.00] 其他的運動上
[944.00-945.00] 就是
[945.00-946.00] 我們其實
[946.00-947.00] 越來越多的小話題
[947.00-948.00] 那同時
[948.00-950.00] 也要一些有量的產品
[950.00-951.00] 像我剛剛
[951.00-952.00] 我剛剛提到
[952.00-953.00] 一種高速用
[953.00-954.00] 用在一些
[954.00-955.00] 一般的SERVER
[955.00-956.00] AI的地址
[956.00-957.00] 現在是聯想最
[957.00-958.00] 聯想
[958.00-959.00] 聯想的
[959.00-960.00] 先開系列的
[960.00-961.00] 網站
[961.00-962.00] 然後
[962.00-963.00] 一些無農素的材料
[963.00-964.00] 實在
[964.00-965.00] 這些高壓模組
[965.00-966.00] 或是運動機器
[966.00-967.00] 這些運動上
[967.00-968.00] 好運動
[968.00-969.00] 特別厲害
[969.00-970.00] 就是這一塊
[970.00-971.00] 我說
[971.00-972.00] 謝謝
[972.00-973.00] 謝謝
[973.00-974.00] 謝謝
[974.00-975.00] 打見我們
[975.00-976.00] 謝謝
[976.00-977.00] 謝謝
[977.00-978.00] 謝謝
[978.00-979.00] 謝謝
[979.00-980.00] 謝謝
[980.00-981.00] 謝謝
[981.00-982.00] 謝謝
[982.00-983.00] 謝謝
[983.00-984.00] 謝謝
[984.00-985.00] 謝謝
[985.00-986.00] 我們希望
[986.00-987.00] 在量上面
[987.00-988.00] 然後也有
[988.00-989.00] 一輪材料
[989.00-990.00] 不夠
[990.00-991.00] 慢慢的
[991.00-992.00] 在市場
[992.00-993.00] 得到的
[993.00-994.00] 希望
[994.00-995.00] 各位
[995.00-996.00] 你解決
[996.00-997.00] 我們東西
[997.00-998.00] 其實
[998.00-999.00] 錢
[999.00-1000.00] 就是定價
[1000.00-1001.00] 然後
[1001.00-1002.00] 推到
[1002.00-1003.00] 科技dependent
[1003.00-1004.00] 再拯救
[1004.00-1010.40] 另外就是我們在新市場上的應用不斷的推行
[1010.40-1017.06] 所以我們在一些AI 軌道衛星 還有風飛行器 風雲上的一些客戶
[1017.06-1020.38] 都拿到他們的任何的貨幣
[1020.38-1023.72] 這些都是未來的需求
[1023.72-1026.78] 所以我們一直是產在未來的市場上
[1026.78-1029.86] 我們很多市場上都沒有產品
[1029.86-1036.40] 所以只要有這樣的需求 這些買入器或是風飛行器
[1036.40-1041.10] 它比較高性脈力 產品在行動 也都拿到貨幣
[1045.06-1051.22] 另外就是這次我們飛往車載產品的產品實驗
[1051.22-1055.54] 反正我們跟你說 在這一些車載的應用上
[1055.54-1057.54] 我們也很努力在匯購
[1057.54-1059.60] 尤其是我們應該是全世界
[1059.60-1061.90] 最大的改革時期的風雲上
[1061.90-1063.90] 它是用三熱的雲基帶
[1063.90-1067.28] 然後現在改成多層的三熱雲基帶
[1067.28-1074.70] 這個是一直在默默被在過去的情形當中不斷的取得成果
[1074.70-1085.66] 這是Tempro 我們應該是台商永遠會以家能夠提供前工這個材料
[1085.66-1088.88] 那在過去幾年
[1088.88-1090.88] 我們也有得到幾個爭取
[1090.88-1092.88] 就是因為中美的這個Tempro
[1092.88-1096.30] 然後中國把Glacier到120%進口
[1096.30-1099.30] 羅傑斯的產品到中國
[1099.30-1102.30] 其實是非常困難
[1102.30-1109.30] 他們曾經就是大家都在一些公司在市場上去搜刮羅傑斯這家的貨
[1109.30-1111.30] 然後我們也被制止
[1111.30-1113.30] 開始供一些人
[1113.30-1115.30] 供一些機構讓我們做人才
[1115.30-1118.72] 這以前是不容易的 供工平常非常少
[1118.88-1120.88] 那都可以看得到這個
[1120.88-1124.88] 這些主要它應該是三系列
[1124.88-1126.88] 然後我們這裡提到六系列
[1126.88-1128.88] 大部分都是航天航天
[1128.88-1130.88] 給自己偵測給大家上去
[1130.88-1137.88] 然後另外就是我們比較特別的就是軍工航海
[1137.88-1142.88] 各位反正也知道就是我們自己全世界因為軍艇的戰爭
[1142.88-1145.88] 然後最近又是第八戰爭
[1145.88-1147.88] 都會刺激這個軍工
[1148.88-1149.88] 這個力量
[1149.88-1151.88] 這個我們認為至少在未來
[1151.88-1154.88] 不是一個長期的需求
[1154.88-1157.88] 因為我們這些問題大部分
[1157.88-1160.88] 都會失去全世界的聯邦信號
[1160.88-1162.88] 然後被保住也不要收回
[1162.88-1165.88] 所以我覺得大家都會去想辦法
[1165.88-1167.88] 建構自己的Tempro
[1167.88-1171.88] 進一波把我們Tempro學術的利用會越來越多
[1171.88-1175.88] 另外我們在過去三年有很大的成長是在
[1175.88-1177.88] 半導體的導化測試上
[1177.88-1182.88] 應該是因為AI的需求越來越強烈
[1182.88-1184.88] 然後這些產品都非常昂貴
[1184.88-1187.88] 所以它一定要去測試它的設計
[1187.88-1188.88] 或是它生產過程
[1188.88-1192.88] 以及是不是在老化的非常快
[1192.88-1196.88] 所以以前大概是幾乎100個設計的
[1196.88-1199.88] 現在幾乎都是有百分之百的設計
[1199.88-1202.88] 或是至少是增加10倍的測試能量
[1202.88-1205.88] 所以這個手套會運用非常的多
[1205.88-1207.88] 然後這是AI的建構
[1207.88-1209.88] 然後這個就是我們在
[1209.88-1211.88] 去學亞的智能
[1211.88-1213.88] 這個是我們在
[1213.88-1216.88] 就是我們這一系列的材料都可以
[1216.88-1218.88] 都運用在英文行業上
[1218.88-1221.88] 多語 風吧 歐洲語行業
[1221.88-1222.88] 叫Bansal
[1222.88-1225.88] 這一類的家庭規模是
[1225.88-1226.88] 是產品的
[1226.88-1228.88] 然後亞利安娜我們自己
[1228.88-1230.88] 中國也有一些產品
[1230.88-1232.88] SpaceX的
[1232.88-1234.88] 跟這裡一起上去
[1234.88-1236.88] 所以我們也會去做一些
[1236.88-1238.88] 新的商品
[1238.88-1239.88] 然後商訓公路
[1239.88-1241.88] EA 還有
[1241.88-1243.88] MARV這類的
[1243.88-1245.88] 其實是在三十幾個出版公司上
[1245.88-1248.88] 然後也有一些像美神或是
[1248.88-1251.88] 一些產品上
[1251.88-1252.88] 在工藝
[1252.88-1254.88] 小半島有設計商
[1254.88-1256.88] 也做了很多
[1256.88-1258.88] 然後無人機
