[0.00-14.20] 今天我們很高興大家來參加教士達的法人說明會
[245.98-249.98] 就是我們在去年的2024年的11月
[249.98-252.98] 我們把諾貝爾寶貝精定藥局併進來
[252.98-257.98] 從轉投資公司轉為合併子公司
[257.98-259.98] 所以它就是我們的醫療健康通路
[259.98-262.98] 在醫療管理我們還有一些子公司
[262.98-263.98] 康克特
[263.98-265.98] 在設備號之外
[265.98-268.98] 還有一些主要就是民機三豐在做的
[268.98-270.98] 它主要負責首度登台
[270.98-272.98] 然後超音波注聽器
[272.98-275.98] 然後一些耗材這些種種的東西
[275.98-277.98] 最後是我們的血液透析
[277.98-281.98] 這兩年我們在血液透析除了在台灣以外
[281.98-284.98] 中國這邊也陸續有比較多的進展
[284.98-286.98] 接下來是智能方案
[286.98-289.98] 它的涵蓋的範圍就比較廣
[289.98-293.98] 包括企業的IT就是AI運算這邊
[293.98-295.98] 主要是以MindArt這些上市公司
[295.98-298.98] 再來第二部分是OT智能化
[298.98-301.98] 基本上是以有通這個集團為主
[301.98-305.98] 再來OMO線上線下整合就是拍檔
[305.98-308.98] 主要做一些POS系統
[308.98-310.98] YASC這些東西
[310.98-315.98] 自動結帳機的這些機台的一些建置跟營運
[315.98-317.98] 最後一個是網路通訊
[317.98-320.98] 網路通訊基本上就是網通產品
[320.98-324.98] 我們旗下最重要的子公司就是明泰集團
[324.98-329.98] 明泰下面還有重體還有互動這幾個公司
[329.98-331.98] 剛剛其他的部分我已經提過了
[331.98-335.98] 就是在那個銘機材料的偏光片這一邊
[335.98-339.98] 我們來看一下第四季的營運狀況
[339.98-343.98] 第四季其實我們的營收541億
[343.98-347.98] 其實已經是近兩年來一個新高
[347.98-351.98] 其實從2023年的第四季
[351.98-353.98] 2022年的第四季
[354.98-358.98] 我們就開始陸續受到一些緊迫循環的影響
[358.98-359.98] 我剛有提到說
[359.98-362.98] 因為嘉士達其實涵蓋的一個
[362.98-364.98] 產業範圍比較廣
[364.98-369.98] 所以說每一個產業受到緊迫循環影響的時間點會不一樣
[369.98-372.98] 從一開始最開始的
[372.98-375.98] MoneyChain這一塊IT部分受到影響
[375.98-380.98] 然後之後再來是BSG這邊工業電腦這邊受到影響
[380.98-381.98] 最後是網通
[381.98-383.98] 所以我們這一次
[383.98-384.98] 歷經的一個
[384.98-387.98] 大概兩年多的一個緊迫循環的cycle
[387.98-390.98] 所以說這兩年對嘉士來講是一個比較辛苦的
[390.98-392.98] 不過在去年的第四季
[392.98-398.98] 就是說去年第四季我們的營收終於重新回到比較正面的數字
[398.98-399.98] 541億
[399.98-402.98] 這是這兩年來的一個單季新高
[402.98-407.98] 最主要是顯示器它已經連續10季的逐步成長
[407.98-410.98] 已經創下10季的新高
[410.98-413.98] 在高負壓價值這邊也從第一季的谷底
[413.98-415.98] 慢慢往上爬
[415.98-419.98] 連續三季成長達到256億也增加了4%
[419.98-421.98] 那分開來看的話
[421.98-423.98] 其實第一個是醫療事業的貢獻
[423.98-427.98] 醫療除了醫院一直持續穩健成長以外
[427.98-432.98] 那剛剛提到我們因為加入了丁病藥局的病務和病營收
[432.98-435.98] 所以說我們的營收其實是創下了歷史新高
[435.98-437.98] 已經達到263億
[437.98-439.98] 那在預計在2025年
[439.98-442.98] 就是今年我們有辦法達到300億的水準
[442.98-449.98] 那智能方案在去年的上半年其實相對比較weak
[449.98-453.98] 就是我剛剛講到還在一個景氣循環的谷底
[453.98-457.98] 可是從下半年開始整個狀況有明顯的好轉
[457.98-462.98] 尤其是說我們在加入了引進這個管包機的自動化公司以後
[462.98-465.98] 我們的營收也都是創下一個歷史的新高
[465.98-468.98] 那網通事業就如同我講的
[468.98-471.98] 它是最後受到一個景氣循環的影響
[471.98-472.98] 所以在2025年的時候
[472.98-475.98] 大概在2023年的下半年開始
[475.98-479.98] 陸續出現一些客戶調節不全的狀況
[479.98-482.98] 所以2023年下半年開始跟整個2024年
[482.98-485.98] 它的營收狀況都相對的比較不理想
[485.98-487.98] 所以說從營收的角度來
[487.98-488.98] 不過對不起
[488.98-490.98] 不過從QOQ來講的話
[490.98-492.98] 跟第四季跟第三季相比
[492.98-495.98] 它的營收已經恢復這個成長的動能了
[495.98-497.98] 所以說基本上我們認為
[497.98-501.98] 這剛剛講的這整個比較大的景氣循環
[501.98-505.98] 對加斯達而言大概在2024年的年底
[505.98-511.98] 基本上已經陸續已經回到一個健康的狀態
[511.98-513.98] 那我們來看一下獲利
[513.98-516.98] 其實營收創了新高
[516.98-519.98] 可是獲利好像各位覺得說怎麼會創了新低
[519.98-521.98] 主要是有三個原因
[521.98-524.98] 第一個原因當然是資訊事業
[524.98-525.98] 我剛剛已經講了
[525.98-528.98] 它的營收它的獲利都是在逐步創新高
[528.98-530.98] 那今年的展望也是十分的正常的
[530.98-533.98] 那再來看一下醫療
[533.98-534.98] 醫療事業
[534.98-535.98] 那我剛剛有提到兩件事
[535.98-539.98] 第一個事情就是說我們醫院要IPO
[539.98-542.98] 所以今年我們陸續認列為醫院IPO的費用
[542.98-544.98] 所以即便營收成長
[544.98-546.98] 然後創下歷史新高
[546.98-547.98] 然後我們再拼入丁丁
[547.98-549.98] 讓營收創下歷史高
[549.98-552.98] 不過認列那個醫院IPO的費用
[552.98-555.98] 這個在香港上市的IPO費用的
[555.98-560.98] 金額是相對那些手續費啊什麼佣金
[560.98-563.98] 它的比例其實是相對台灣來高很多的
[563.98-568.98] 所以說它造成了我們去年整個醫院的一個獲利
[568.98-571.98] 是比前年下降了一點
[571.98-574.98] 那第二個就是我們在智能方案
[574.98-577.98] 就是麥達克它在海外有兩間的子公司
[577.98-579.98] 一間叫做Brainstorm
[579.98-582.98] 在美國在做電商的
[582.98-584.98] 然後一個叫Corex
[584.98-589.98] 在南非也是做一些業務代理的東西
[590.98-592.98] 可能就是說在去年
[592.98-594.98] 我們在南非的一個市場
[594.98-597.98] 因為有一些產品的問題
[597.98-601.98] 所以說導致說我們的產品庫存過高
[601.98-604.98] 那我們決定最後的決定就是說
[604.98-606.98] 我們把它的整個庫存
[606.98-609.98] 在去年年底做了一次的打消
[609.98-611.98] 所以說造成說
[611.98-614.98] 那個營業的獲利的金額比去年還要
[614.98-616.98] 整年來看去年的
[616.98-618.98] 麥達克的表現是不理想
[618.98-620.98] 那當然我們把這些產品的
[620.98-622.98] 這個價格都打消之後
[622.98-625.98] 陸續其實這東西我們還是會慢慢銷售
[625.98-627.98] 慢慢把這個東西回充
[627.98-631.98] 這個東西可以反映在今年2025年的一個狀況
[631.98-635.98] 那網通就不太提了
[635.98-636.98] 就是說剛剛講到
[636.98-639.98] 就是說這兩年客戶的庫存調節
[639.98-645.98] 造成我們比較大的一個減少
[645.98-648.98] 那去年開始我們已經加入了
[648.98-650.98] 印度這個新市場
[650.98-654.98] 一個新的一個電信業者的客戶
[654.98-656.98] 那相信這個動能我們在今年的
[656.98-660.98] 應該是3月開始會陸續出貨
[660.98-664.98] 所以說我們有把握說今年的一個狀況
[664.98-666.98] 會比去年更好
[666.98-668.98] 最後來看一下全年
[668.98-671.98] 那全年的營收是2017億
[671.98-674.98] 跟去年差不多少了1%
[674.98-676.98] 那資訊事業的營收是增加了
[676.98-678.98] 那高付價價值我剛剛提到了
[678.98-679.98] 因為收到
[679.98-681.98] 因為收到智能方案
[681.98-682.98] 因為收到網通的影響
[682.98-685.98] 所以說基本上它的營收是減少了8%
[685.98-688.98] 所以一個增加4%一個減少8%
[688.98-691.98] 整體而言是減少了20億大概1%
[691.98-693.98] 那從獲利的角度來看
[693.98-697.98] 基本上我們等一下直接看到下一頁那個採訪
[697.98-699.98] 我們再來做說明會比較清楚
[701.98-703.98] 先簡單講說
[703.98-708.98] 其實因為我們在陸續加入一些比較後端的一些
[709.98-711.98] 通路型的公司
[711.98-715.98] 所以你可以看到說我們的毛利率是持續在創新高
[715.98-721.98] 從我們現在從過去2022年我們的毛利只有14.4%
[721.98-724.98] 那到2023年2024年
[724.98-728.98] 我們這連續兩年我們的毛利率都有在16%以上
[728.98-730.98] 那現在甚至來到16.3%
[730.98-733.98] 那相信說我們在陸續再加入更多的
[733.98-738.98] 以後我們的毛利率還是會持續的創新高
[739.98-741.98] 好那在營運面的部分
[741.98-743.98] 有幾個重點跟大家做一下說明
[743.98-747.98] 第一個就是說我們在2024年的11月
[747.98-750.98] 我們把原來大概持有大概將近
[750.98-752.98] 大概20%的丁丁藥局
[752.98-755.98] 它的持股增加到40.66
[755.98-760.98] 所以說我們目前已經把它從權益法變成合併子公司了
[760.98-763.98] 那所以說它的那個都會並表
[763.98-768.98] 所以它的包括營收那個資產都會都會納入股價視達來
[769.98-772.98] 那第二個就是民進院的一個上市的一個
[772.98-774.98] 民進院上市的一個進程
[774.98-778.98] 那基本上以過往的經驗就是說
[778.98-783.98] 在香港要上市基本上會歷經8到12個月的一個過程
[783.98-785.98] 那最重要的就是說
[785.98-789.98] 好像從兩三年前開始
[789.98-791.98] 就是說你要在香港上市
[791.98-794.98] 你必須取得中國證券監督管理委員會
[794.98-797.98] 境外發行上市備案通過
[797.98-799.98] 那這個部分
[799.98-802.98] 我們在今年的1月20號取得了
[802.98-803.98] 那這樣取得以後
[803.98-807.98] 我們就可以開始安排在香港的一些聆訊作業
[807.98-810.98] 那因為剛好跨過一個年度1月了
[810.98-818.98] 所以說香港會在要求我們去年整年的一個財務報表去做更新之後
[818.98-822.98] 然後他再做一些簡單的提問就可以進行聆訊了
[822.98-826.98] 所以我相信這個過程應該會很快
[826.98-828.98] 大概就是這
[828.98-830.98] 應該是最近
[830.98-831.98] 最近啦
[831.98-832.98] 不是最近
[832.98-836.98] 我說可能就是這一兩個月就可能參加聆訊
[836.98-838.98] 然後準備上市
[838.98-842.98] 那第三個就是在鼓勵發放率的部分
[842.98-847.98] 今年因為加士達過往大概都有4塊2塊左右
[847.98-849.98] 所以我們配發都是會維持
[849.98-854.98] 但我們配發率基本上我們的原則是大概50以上
[854.98-857.98] 然後甚至到去年是大概
[857.98-858.88] 70
[858.98-859.98] 70個%
[859.98-861.98] 那今年的話
[861.98-863.98] 去年1塊5配1塊2
[863.98-868.98] 那今年因為我們的整個獲利狀況有稍微比較不好
[868.98-872.98] 所以說在一個鼓勵穩定政策的情況之下
[872.98-873.98] 因為去年配了1.2塊
[873.98-877.98] 所以我們今年還是打算就是讓鼓勵穩定
[877.98-880.98] 所以我們的配發率來到100個%
[880.98-883.98] 是配發1.11元
[883.98-885.98] 幾乎就是全配
[885.98-887.98] 好那這次主要就是兩個原因嘛
[887.98-889.98] 第一個是穩定鼓勵
[889.98-892.98] 然後第二個就是回饋股東的支持
[892.98-895.98] 那最後一個也是比較重要的
[895.98-899.98] 就是因為我們最近這兩年的一個盈利狀況
[899.98-903.98] 所以我們決定說我們要辦理現金減資
[903.98-905.98] 然後來調整一個資本結構
[905.98-908.98] 而且還要提升股東的權益保守率
[908.98-912.98] 所以我們決定每股會退還1.8元
[912.98-915.98] 減資的比例就是大概18個%
[915.98-916.98] 所以換句話說就是
[916.98-919.98] 你1000股會變成820股
[919.98-922.98] 當然股價會有些調整
[924.98-926.98] 接下來我們直接看一下損益表
[926.98-927.98] 從損益表來看
[927.98-929.98] 我們的營收541億
[929.98-933.98] 不管是YOY還是QOQ都大概增加了30多億
[933.98-935.98] 大概7個%的情況
[935.98-937.98] 大馬利率創新高
[937.98-940.98] 營業淨利率也回到了2%以上
[940.98-943.98] 所以說我們整個稅前來看的話
[943.98-945.98] 其實都還算正面
[946.98-948.98] 但是在這個四季的話
[948.98-951.98] 因為有一些業外的狀況
[951.98-955.98] 所以說我們基本名每股盈餘大概只有0.1元
[955.98-959.98] 比相較上一季的0.22是減少了0.1
[959.98-961.98] 大概0.12
[961.98-964.98] 然後跟去年相比是減少了0.44
[968.98-970.98] 接下來看到年度的損益表
[970.98-971.98] 他年度損益表剛剛提到了
[971.98-973.98] 說減少了1%
[973.98-974.98] 那毛利率有提升
[974.98-975.98] 所以毛利有增加
[976.98-978.98] 因為規模的關係差了一點點
[978.98-980.98] 少了4億9
[980.98-985.98] 那整個每股盈餘是1.1元
[985.98-988.98] 相較於去年至少大概0.4元左右
[993.98-994.98] 合併資產都代表
[994.98-997.98] 我們資產因為就像我剛剛講的
[997.98-998.98] 我們扣併了
[998.98-1000.98] 我們把丁丁跟宜峻併進來
[1000.98-1003.98] 所以說我們在去年的12月31號
[1003.98-1005.98] 我們的資產總計
[1006.98-1009.98] 已經來到了2064億
[1009.98-1010.98] 增加幅度還蠻大
[1010.98-1012.98] 增加了70幾億
[1012.98-1014.98] 跟去年相比是增加了更多
[1014.98-1016.98] 大概179億
[1016.98-1017.98] 主要就是剛剛提到的
[1017.98-1023.98] 進來丁丁跟宜峻的一些影響
[1023.98-1025.98] 金融負債比的話
[1025.98-1026.98] 大概還是
[1026.98-1031.98] 負債比大概還是維持在68%
[1031.98-1035.98] 所以沒有太大的一個變化
[1036.98-1039.98] 財務指標沒有太大變化
[1039.98-1041.98] 這就大家做參考用就好
[1041.98-1044.98] 我們來看一下整個財務趨勢
[1044.98-1047.98] 其實我們撇開去年第一季
[1047.98-1049.98] 從今年第一季來看的話
[1049.98-1051.98] 我們的營收在逐步的增加
[1051.98-1053.98] 然後利率在穩定的成長
[1053.98-1058.98] 營業淨利率也從第二季開始回復到2%以上
[1058.98-1061.98] 當然這個2%不是很好
[1061.98-1065.98] 可是這部分我們會持續的努力
[1066.98-1067.98] 到25年
[1067.98-1071.98] 我相信這個數字會有比較明顯的一個改善
[1071.98-1076.98] 營業淨利率也從第二季開始回復到10億以上
[1076.98-1081.98] 所以整個看起來還是比較正向的發展
[1081.98-1084.98] 我們來比較Q4同期
[1084.98-1086.98] 各位可以看最後的兩根就好了
[1086.98-1090.98] 就是2023年的Q4跟2024年的Q4
[1090.98-1092.98] 我們可以很明顯看到
[1092.98-1095.98] 它不管在營收、毛利率還有淨利率
[1095.98-1096.98] 都有一個明顯的改善
[1096.98-1100.98] 那獲利金額也從過去的8億來到11億
[1100.98-1103.98] 毛利率也都在成長
[1103.98-1110.98] 所以說我們確實整個營運狀況有在逐步的改善當中
[1110.98-1114.98] 接下來看一下事業群的狀況
[1114.98-1116.98] 事業群在這邊
[1116.98-1118.98] 這個是叫做右上角
[1118.98-1121.98] 右上角就是我們高附加價值的營收
[1121.98-1123.98] 高附加價值包括哪些
[1123.98-1125.98] 包括第一個Medical
[1125.98-1127.98] 就是我們的醫療產業
[1127.98-1130.98] 第二個BSG就是我們剛剛的智能解決方案
[1130.98-1132.98] 還有NCG跟IDHDA
[1132.98-1137.98] 所以這1234都是屬於我們高附加價值的營收
[1137.98-1141.98] 這邊可以看到在Medical的部分就是醫療的部分
[1141.98-1145.98] 我們的營收已經來到75億
[1145.98-1147.98] 首次突破70億
[1147.98-1150.98] 這是創下歷史的單季新高
[1150.98-1154.98] 當然主要原因就是第一個就是各個事業持續成長
[1154.98-1156.98] 另外一個就是我們
[1156.98-1158.98] 在11月併進來
[1158.98-1161.98] 所以說它的營收有碰的新高
[1161.98-1163.98] 剛剛提到今年是263億
[1163.98-1166.98] 我預計在今年會
[1166.98-1169.98] 整個醫療事業會突破300億沒有問題
[1169.98-1172.98] 甚至往350億前進
[1172.98-1174.98] BSG的部分
[1174.98-1176.98] 從過去的70幾億
[1176.98-1178.98] 這一季也來到88億
[1178.98-1180.98] 也是創下一個歷史的新高
[1180.98-1182.98] NCG還是都
[1182.98-1184.98] 50億這邊做整理
[1184.98-1187.98] 相信今年從大概第二季開始
[1187.98-1191.98] 會陸續的會反映出我們在新市場的佈局
[1191.98-1195.98] 這個機會這個數字有可能進一步拉高
[1195.98-1200.98] IDHDA維持在大概40億以下
[1200.98-1203.98] IT Original就是剛剛講到的
[1203.98-1207.98] 包括Monitor包括Projector這邊
[1207.98-1210.98] 營收其實是反覆增加的
[1210.98-1211.98] 當然
[1211.98-1214.98] BSG跟DG有一些性質因素往下掉
[1214.98-1216.98] 可是其實剛剛提到的
[1216.98-1219.98] 這個254億已經是創下這個實際
[1219.98-1222.98] 大概兩年半以來的新高
[1226.98-1229.98] 這張主要給各位看的是一個毛利率的區間而已
[1229.98-1234.98] 所以各位只要focus在這個黃色的框框就好了
[1234.98-1236.98] 可以看到BSG的毛利率
[1236.98-1239.98] 雖然看起來每個區間都是維持的
[1239.98-1240.98] 可是其實每一個
[1240.98-1241.98] 市益
[1241.98-1244.98] 群的毛利都還是有微幅的增加
[1244.98-1247.98] 那Hallers的部分就是有一些調節的部分
[1247.98-1249.98] 所以我們不用特別去關注它
[1249.98-1251.98] 有一些沒有辦法調整那個的
[1251.98-1252.98] 都會放在那邊
[1252.98-1254.98] 所以這個只是一個調節用
[1254.98-1258.98] 所以基本上每一個市益群的營收都還是在
[1258.98-1263.98] 對不起毛利率都還是維持一個比較正常的狀態
[1263.98-1265.98] 然後有微幅的提升
[1265.98-1267.98] 所以整個毛利率才會創下新高
[1267.98-1269.98] 這裡可以給大家看到整個毛利率的狀況
[1269.98-1273.98] 這裡可以給大家看到整個這個市益群的分佈
[1273.98-1278.98] 那基本上顯示器大概穩定在4成左右
[1278.98-1282.98] 其他包括BSG它在逐年在成長
[1282.98-1284.98] 已經來到16個%
[1284.98-1286.98] 那Medical就是醫療的部分
[1286.98-1290.98] 從過去你看12個%一路拉高到14個%
[1290.98-1293.98] 所以說這兩個都是逐步在成長
[1293.98-1297.98] 那當然今年表現比較相對弱勢的就是NCG
[1297.98-1298.98] 那從過去的
[1298.98-1300.98] 最高站到15個%
[1300.98-1302.98] 那這一季來到10個%
[1306.98-1308.98] 下一張是我們各個
[1308.98-1312.98] 因為加斯達是一個屬於一個艦隊式的經營
[1312.98-1316.98] 所以說它旗下我們現在旗下有17家
[1316.98-1318.98] 那個上市櫃的子公司
[1318.98-1322.98] 那今年的表現當然相較於過去是稍微
[1322.98-1324.98] 在不同的產業有不同的那個
[1324.98-1328.98] 資訊跟跟廣通這邊的表現是一樣的
[1328.98-1330.98] 但是相對的比較弱勢
[1330.98-1333.98] 那醫療它是呈現一個穩定的狀態
[1333.98-1336.98] 那智能方案其實是獲利狀況除了
[1336.98-1339.98] 曼達特它受到海外子公司的影響
[1339.98-1342.98] 其他基本上都是呈現一個增加的狀況
[1346.98-1349.98] 接下來我們來看一下我們
[1349.98-1352.98] 對2025年的一個展望
[1352.98-1355.98] 還有那個子公司的一個營運概況
[1355.98-1356.98] 那首先
[1356.98-1359.98] 目前最重要的議題我想就是
[1359.98-1362.98] 就是那個美國的一個關稅政策
[1362.98-1364.98] 還有一些貨幣政策的變化
[1364.98-1369.98] 都會是影響今年緊急鏈的一個最大的地道
[1369.98-1373.98] 那前幾天應該已經有宣布一些關稅的一些政策
[1373.98-1376.98] 那我們會很因應
[1376.98-1378.98] 那目前我們的主要
[1378.98-1380.98] 像以顯示器來講好了
[1380.98-1383.98] 以顯示器來講我們目前主要生產基地
[1383.98-1386.98] 當然就是包含了中國跟越南
[1386.98-1390.98] 然後還有台灣是一些少量都要比較親自的東西
[1390.98-1392.98] 那因應這個政策
[1392.98-1395.98] 因為基本上在2月以前還沒收到關稅
[1395.98-1398.98] 所以說很多就是輸美的產品
[1398.98-1403.98] 我們之前都還是會維持就是中國跟越南生產
[1403.98-1406.98] 那2月以後的產品基本上未來輸美
[1406.98-1411.98] 大概都會從越南出貨
[1411.98-1415.98] 那因應關稅政策當然我們會再去想思考
[1415.98-1420.98] 就如何布局一個應該說第4個
[1420.98-1423.98] 第4個除了中國除了台灣以外
[1423.98-1425.98] 當然就是中國越南以外
[1425.98-1429.98] 我們應該還是會去思考一個另外一個東南亞的一個據點
[1429.98-1434.98] 那至於是哪裡目前還在討論中思考中規劃中
[1434.98-1437.98] 所以我今天沒有辦法給各位一個答案
[1437.98-1439.98] 不過應該很快就會有這個答案
[1439.98-1441.98] 就是說我們會在
[1441.98-1443.98] 可能會在另外一個
[1443.98-1445.98] 另外一個東南國這樣在設立
[1445.98-1448.98] 可以應應生產基地
[1448.98-1452.98] 那網通的部分剛剛提到兩點
[1452.98-1459.98] 第一個就是我們過去一年有布局一個新興的那個
[1459.98-1461.98] 印度市場
[1461.98-1464.98] 所以我們在印度有一個代工夥伴
[1464.98-1467.98] 那我們現在主要包括明泰包括仲啟
[1467.98-1471.98] 我們所有的生產基地都集中在越南這個地區
[1471.98-1475.98] 所以說我們在去年
[1475.98-1477.98] 我們已經做了一些整併
[1477.98-1479.98] 所以所有的生產
[1479.98-1483.98] 現在明泰仲啟已經不做生產
[1483.98-1486.98] 主要所有的生產都交給明泰來做
[1486.98-1491.98] 那仲啟就是負責他的一個品牌的一個行銷政策
[1491.98-1495.98] 這樣子可以節省一些成本產生一些中效
[1495.98-1497.98] 那簡單來講的話
[1497.98-1500.98] 我們就是想要打造一個韌性的工業鏈
[1500.98-1502.98] 所以不管川普的
[1502.98-1505.98] 對不起那個川普2.0的政策是怎麼樣
[1505.98-1507.98] 我們都想辦法去做因應
[1507.98-1510.98] 然後整個來講
[1510.98-1512.98] 這是整個大環境的方向
[1512.98-1514.98] 那我們現在來看看各個產業
[1514.98-1517.98] 第一個產業還是一樣我們講我們的顯示器
[1517.98-1521.98] 顯示器的話基本上市場的需求大概是持平的
[1521.98-1526.98] 所以我們今年第一季的出貨量應該不會增加太多
[1526.98-1531.98] 不過因為我們一直持續往高基種高單價的幾種前進
[1531.98-1535.98] 所以說今年在營收的部分成長的幅度
[1535.98-1539.98] 會比銷量成長的更加明顯
[1539.98-1541.98] 營收會成長的幅度比較大
[1541.98-1544.98] 那銷量的成長應該會維持
[1544.98-1547.98] 我在講的是第一季抱歉
[1547.98-1549.98] 剛剛是說第一季的部分
[1549.98-1552.98] 那工業電腦跟資安網通
[1552.98-1555.98] 剛剛講到去年的上半年其實是一個谷底
[1555.98-1559.98] 可是從下半年陸續開始出現一些極單
[1559.98-1561.98] 出現一些標案的需求
[1561.98-1564.98] 所以說這個微溫的影像
[1564.98-1566.98] 已經慢慢開始浮現了
[1566.98-1571.98] 所以我們可以比較看好工業電腦跟資安的需求
[1571.98-1578.98] 那其實我們的智能方案事業局的表現一向都不錯
[1578.98-1579.98] 持續在成長
[1579.98-1585.98] 那去年剛有提到因為在獲利面是受到一些非預期因素
[1585.98-1588.98] 就是海外子公司的營運有一些狀況
[1588.98-1592.98] 那這個部分在去年年底我們已經一次的把它打消了
[1592.98-1594.98] 所以今年應該可以回到原來的狀況
[1594.98-1596.98] 回到一個正軌
[1596.98-1600.98] 那網路通訊產業它的庫存基本上調節
[1600.98-1603.98] 我們認為已經到了一個非常合理的水準
[1603.98-1608.98] 那加上說今年我們有兩大的事業規劃
[1608.98-1614.98] 第一個就是說我們會在越南市場去開始出貨
[1614.98-1619.98] 那第二個我們會朝Data Center跟AI Data Center的這個產業去做邁進
[1619.98-1623.98] 那這些東西陸續都會反映在我們未來的營運上面
[1624.98-1628.98] 那醫療基本上它就是一個很穩定成長
[1628.98-1632.98] 健康成長的一個產業
[1632.98-1635.98] 它也不會受緊急循環有太大的一個波動
[1635.98-1637.98] 所以說醫院持續正在成長
[1637.98-1642.98] 那今年我們陸續會有什麼南京二期
[1642.98-1644.98] 蘇州二期的加入營運
[1644.98-1648.98] 所以說這個營收狀況會更加的成長
[1648.98-1651.98] 那另外我們購入了丁丁藥局之後
[1651.98-1654.98] 我們在丁丁藥局的一個
[1654.98-1656.98] 擴展的角度是蠻
[1656.98-1658.98] 腳步是蠻積極的
[1658.98-1660.98] 加上說醫院IPO以後
[1660.98-1664.98] 我們在醫院的發展也會有更
[1664.98-1665.98] 整個腳步
[1665.98-1668.98] 不過現在受限於說我們IPO還沒有通過
[1668.98-1672.98] 所以很多規劃是不能上台面化的
[1672.98-1676.98] 那以上就是我大概對整個事業群
[1676.98-1682.98] 跟整個事業群還有整個明年的展望做一個簡單的說明
[1682.98-1684.98] 那不知道各位這邊有什麼想法嗎
[1684.98-1685.98] 那我先
[1685.98-1687.98] 等一下我們會開放Q&A
[1687.98-1690.98] 如果各位有問題的話歡迎你們可以請問
[1690.98-1693.98] 那一樣因為我是母公司
[1693.98-1694.98] 所以我不會
[1694.98-1697.98] 我不會點名說譬如說邁達特說什麼什麼
[1697.98-1699.98] 丁丁說什麼不會
[1699.98-1703.98] 我都是以那個集團母公司的一個例子去做說明
[1703.98-1704.98] 以上報告
[1714.98-1721.98] 以及醫院
[1721.98-1722.98] 一件事
[1722.98-1724.98] 第一個因為他還沒有上
[1724.98-1725.98] 他還沒有通過審議
[1725.98-1727.98] 所以我不能把數字放在檯面上
[1727.98-1730.98] 我相信你應該有download到那個
[1730.98-1732.98] 那個那個那個
