[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-35.64] 我们也很感谢各位法人先进对日胜生活科技的兴趣
[504.30-508.32] 我们万达通是主要就是做管理台北
[508.34-511.56] 转运站的营运跟出租的事业
[511.56-516.32] 那这个部分我们集团总共持有的部分大概是98.5%
[516.32-523.22] 那我们集团重点的个案要跟各位报告跟说明
[523.22-524.86] 在三支案的部分
[524.86-531.22] 那这是我们第一个营养乐林复活园区的一个指标型的答案
[531.22-535.34] 东侧第一起就是基地面积是4600多平
[535.34-537.60] 西侧大概是1200多平
[538.34-539.22] 那这个部分呢
[539.22-542.00] 我们在东侧就第一起的部分
[542.00-545.88] 我们计划完工的时间我们有稍微做一些调整
[545.88-548.40] 那主要是因为这个指标答案呢
[548.40-550.36] 对我们来讲是非常重要
[550.36-552.86] 然后我们也非常的谨慎小心
[552.86-554.92] 所以在这个部分呢
[554.92-557.72] 虽然它的削减什么都已经完成了
[557.72-561.74] 那我们现在的计划就是东侧第一起的部分呢
[561.74-566.16] 我们希望在第三季同时完工跟始造
[566.16-568.14] 那第四季开始交无
[568.34-570.26] 那西侧的部分呢
[570.26-572.38] 就是我们第二期的部分呢
[572.38-575.84] 我们的预计完工时间也是会落在第四季
[575.84-578.42] 那其上的部分呢
[578.42-583.26] 我们的基地面积是18800多平
[583.26-587.08] 那这个部分是比较属于长期的康养复活园区
[587.08-589.46] 那战斗案的部分呢
[589.46-593.20] 这个部分我们的基地面积是8300多平
[593.20-598.14] 那这个部分我们还在持续做一些整合的沟通
[598.34-603.70] 那我们的目标是要做一个复合式的犬龄社区
[603.70-607.22] 那台中连开案的部分呢
[607.22-608.74] 我们有三个案子
[608.74-612.78] 就是文兴崇德站文兴樱花站跟南屯站
[612.78-617.96] 那全部都是以捷运联运联合开发住宅案为主
[617.96-622.98] 那崇德站它的基地面积大概700平
[622.98-625.06] 樱花站大概是500平
[625.06-627.46] 那南屯站大概是770平
[627.46-628.32] 那我们的目标是要做一个复合式的犬龄社区
[628.34-634.70] 文兴崇德站的开工时间大概就是落在今年的上半年
[634.70-642.50] 那我们已经做了主体工程的八包作业的一些前置的作业
[642.50-647.62] 那樱花站的部分我们预计的开工时间会落在2026年的下半年
[647.62-650.60] 南屯站是2026年的上半年
[650.60-652.16] 那完工的时间呢
[652.16-655.68] 我们崇德站大概计划是在2028年的下半年
[655.68-658.32] 樱花站是大概是2030年
[658.34-660.10] 2030年的上半年
[660.10-665.56] 那南屯站的完工时间预计是2029年的下半年
[665.56-668.70] 那管前路的联合大楼案的部分呢
[668.70-671.78] 因为这个是一个进化商业区
[671.78-676.34] 那我们是以都市更新做一些规划
[676.34-682.24] 那产品会在变是以A级的办公大楼智慧绿建筑
[682.24-685.42] 那我们的基地面积大概是608平
[685.42-688.32] 目前计划开工的时间会在2028年
[688.34-690.70] 会在2026年的第四季
[690.70-696.00] 那完工的时间大概是在2030年的第四季
[696.00-699.12] 那再另外是桥安的筑墓案
[699.12-702.90] 这也是我们一个很指标的一个进化区的案子
[702.90-706.38] 那它是以围牢重建为主
[706.38-711.70] 那基地面积是1038平
[711.70-718.32] 那我们现在呢计划完工的时间会落在2026年的第四季
[718.34-721.14] 那北投的新秀格案呢
[721.14-724.26] 它是临近我们的嘉赫屋
[724.26-729.26] 那目前的计划新建方式以都市更新为主
[729.26-735.26] 那以住宅或因为我们是我们的康阳事业做得非常好
[735.26-741.82] 所以住宅或是康阳相关的住宅或者是温泉相关的高级住宅
[741.82-744.34] 这个都是一个可能的规划方向
[744.34-748.12] 那基地面积大概是1300多平
[748.34-750.38] 那目前这都还在规划当中
[750.38-756.92] 那跟各位报告我们的康阳乐林事业的发展愿景
[756.92-764.02] 那我们是以明光计划作为整个事业的一个指标方向
[764.02-770.04] 那我们是以明光计划做我们转型的地产开发
[770.04-773.64] 那我们创立了康阳的商机跟模式
[773.64-777.16] 那其中就主要的就是以出售复合的模式
[777.16-778.32] 去打造一个乐林的市场
[778.34-779.06] 那我们的专业是以乐林园区
[779.06-783.44] 那会做双品牌就出租型的就是乐桃居
[783.44-789.00] 那目前有中和馆跟即将完成的三芝馆
[789.00-791.82] 那未来的高雄的旗山馆
[791.82-794.20] 那出售型的部分呢
[794.20-795.82] 大概就是日出布老庄园
[795.82-800.78] 那目前就是即将完工的三芝馆跟未来的旗山馆
[803.78-807.18] 那我们康阳事业是
[807.18-811.08] 其实是以乐桃居中和馆作为我们的旗手式
[811.08-811.90] 那这个部分
[811.90-815.16] 它做的地方就是刚刚各位报告的
[815.16-817.98] 就是我们的中和的青年社宅
[817.98-819.38] 其中的一层
[819.38-821.28] 那所以呢
[821.28-825.32] 这个部分我们是完全把它的社区共融
[825.32-828.66] 跟轻盈共居这个理念给它融入
[828.66-833.36] 那再加上我们的中和乐桃居有三人房
[833.36-834.34] 所以呢
[834.34-836.14] 其实是可以做三代同堂
[836.14-837.16] 那实际上我们的乐桃居是三代同堂的
[837.18-839.48] 我们也有客户的确是以三代同堂
[839.48-842.80] 有小朋友在那边健康的长大
[842.80-844.84] 这个部分我们都觉得非常的开心
[844.84-846.50] 那另外呢
[846.50-850.30] 乐桃居我们以安全照护的定位系统
[850.30-851.32] 那这个部分呢
[851.32-853.54] 所以我们在全区整栋的部分呢
[853.54-859.56] 我们的长辈手上都会有一个类似就是房卡的一个ID
[859.56-860.58] 那这个部分呢
[860.58-861.66] 我们可以精准定位
[861.66-865.12] 假如说如果万一有什么需要帮忙的部分呢
[865.12-867.16] 我们可以马上就找到我们的
[867.18-868.02] 长辈
[868.02-869.22] 那另外呢
[869.22-870.86] 还有我们有社工人员
[870.86-875.74] 那会做一些生活管家跟一些健康管理
[875.74-879.24] 那我们也会做一些课程
[879.24-880.74] 就精灵学院的课程
[880.74-885.34] 那这个部分的理念我们受到蛮多的支持
[885.34-888.66] 所以我们有得到国家品牌的玉山奖
[888.66-893.40] 最佳人气品牌奖跟三年的SNQ国家品牌标章
[893.40-895.76] 那右下方的这个部分呢
[895.76-897.10] 这主要是我们的一个
[897.10-897.16] 这个部分呢
[897.18-899.24] 是会养生的一个理念跟概念
[899.24-900.40] 那包括呢
[900.40-901.10] 我们会
[901.10-903.88] 我们有导入社区诊所跟药局
[903.88-909.92] 那健康APP是对我们所有的长辈都会做一些参与跟照
[909.92-911.82] 跟支持
[911.82-917.28] 那另外就是刚刚跟各位说明的超宽屏的科技定位
[917.28-918.72] 那居家安全灵
[918.72-923.06] 那安全除了就是身上的一个ID之外呢
[923.06-926.30] 居家安全灵是建立在房间里面
[926.30-927.10] 那像床头之类的
[927.10-929.84] 那这个地方就是我们的房间里面的一个床头这个部分
[929.84-931.10] 如果万一有什么需要的话
[931.10-935.10] 长辈可以马上就是按铃来告诉我们
[935.10-941.74] 那另外还有就是一些社工的健康咨询
[941.74-945.70] 那这个部分我们在三芝的乐龄宅
[945.70-950.74] 其实也是配合新北市的三芝长照的创新聚落
[950.74-956.24] 左手边的两个地方就是我们的日出布老庄园的第一齐跟乐桃居的三芝馆
[956.24-956.90] 那我们在这个地方呢
[956.90-959.66] 另外就是日出布老庄园的第二齐
[959.66-961.54] 那在中间呢
[961.54-963.02] 我们是以雅健康
[963.02-965.90] 我们以雅健康作为我们的主要客户群
[966.50-970.32] 那双联安养中心也是当初我们创立的时候非常支持
[970.32-971.98] 有一些know how
[971.98-979.30] 我们有请他们的执行长在帮忙我们做一些理念的一些发想
[979.30-984.06] 那中国步道会的长照机构呢
[984.06-986.78] 这个部分为什么说是可以
[986.90-990.86] 我们强照创新的聚落就是我们从雅健康到中间
[990.86-999.50] 就是包括雅健康跟可能有些照护的长辈的需求到右手边的这个部分就可能偏向更偏向于长照
[999.50-1006.38] 那我们日胜荧光计划的日出布老庄园的部分呢
[1006.38-1012.34] 这个案子跟各位说明他的基地面积总共大概是五千八百多平
[1012.34-1015.54] 那总罗板面积大概是一万九千多平
[1015.54-1016.74] 那第一齐的部分呢
[1016.74-1021.66] 就是我们所谓东区出租型的银发宅就是在AB栋
[1021.66-1023.78] 就是乐陶居的三支馆
[1023.78-1028.48] 那CDEF是我们的出售的部分
[1028.48-1030.24] 就是日出布老庄园
[1030.24-1033.78] 那这个部分您可以看到由于我们的所有的
[1033.78-1037.66] 不管是热灵设施或者是一些住宅
[1037.66-1041.42] 这一块都占了非常大的一个部分
[1041.42-1044.42] 那我们真的是非常谨慎小心在处理这一块
[1044.42-1045.82] 那我们希望说
[1045.82-1046.72] 所以长辈的朋友们呢
[1046.74-1048.24] 在入住之后呢
[1048.24-1049.86] 可以真的是生活无忧
[1049.86-1052.98] 所以我们这个部分谨慎之下呢
[1052.98-1054.72] 我们把所有的
[1054.72-1057.62] 不管是消解或什么都已经处理好
[1057.62-1064.26] 那目前我们要开始要进入完工跟拿到始照
[1064.26-1065.58] 那刚刚跟各位报告
[1065.58-1068.08] 我们希望说年底的时候就可以开始交屋
[1068.08-1072.38] 那第二齐的部分就是左手边的西区
[1072.38-1076.64] 那这个部分主要就是出售型的乐陵宅
[1076.74-1080.36] 那计划完工的时间也是落在今年的第四季
[1080.36-1083.62] 那全区总共就是816户
[1083.62-1087.48] 有出租型的就是在乐陶居的部分是164户
[1087.48-1090.24] 那出售型的是652户
[1090.24-1093.40] 那单人房跟双人房兼具
[1093.40-1097.42] 那这个部分日出布老庄园的理念呢
[1097.42-1099.14] 我们还是要跟各位说明
[1099.14-1103.78] 为什么我们的康养乐陵事业会这么受到瞩目
[1103.78-1106.02] 那我们因为我们的
[1106.02-1106.72] 主要是因为我们的乐陵事业的目标
[1106.74-1109.82] 我们是以智慧照护跟营运服务
[1109.82-1111.52] 作为一个双管的进行
[1111.52-1114.06] 那包括乐陶居的三支管
[1114.06-1114.96] 刚刚的B栋
[1114.96-1116.84] 这栋就是营运中心
[1116.84-1118.90] 那我们会进驻护理师
[1118.90-1120.12] 营养师跟社工
[1120.12-1121.82] 这些专业的同仁
[1121.82-1123.04] 那另外呢
[1123.04-1124.58] 我们有导入了先进科技
[1124.58-1129.44] 那这个部分也是从乐陶居的经验延伸而来
[1129.44-1131.08] 像说超宽屏的定位系统
[1131.08-1132.52] 那我们的园区这么大
[1132.52-1136.56] 是一定要能够马上就可以精准定位长辈
[1136.56-1136.72] 的
[1136.74-1137.30] 所在
[1137.30-1140.84] 那再包括结合了康雅的APP跟身份晶片
[1140.84-1145.86] 那我们的日出宝庄园的建筑的特色呢
[1145.86-1149.34] 我们全部都是以智慧绿建筑去建制
[1149.34-1150.46] 那另外呢
[1150.46-1153.98] 我们把那个美洞的动具都拉大
[1153.98-1157.30] 所以住户都可以欣赏到那个
[1157.30-1159.96] 他的三支的美景
[1159.96-1161.30] 另外呢
[1161.30-1163.76] 无障碍空间是一定要的
[1163.76-1166.62] 那我们有强化通风采光
[1166.62-1166.72] 那我们的建筑的特色呢
[1166.74-1168.34] 那隔热节呢
[1168.34-1170.48] 这个都是在这个建筑的设计上面
[1170.48-1171.66] 那另外在这个
[1171.66-1174.28] 这几栋中间呢
[1174.28-1176.88] 会有没有设置高台的开心农场
[1176.88-1180.66] 那让长辈就养花食草的时候
[1180.66-1182.44] 都不需要弯腰
[1182.44-1183.40] 那这个部分
[1183.40-1188.84] 相信可以更让长辈生活的开心
[1188.84-1190.56] 那在系统整合的部分呢
[1190.56-1192.26] 我们用云端智慧照顾系统
[1192.26-1194.94] 跟身心健康的监测去做导入
[1194.94-1196.56] 那我们的主要的
[1196.56-1199.20] 目标愿景就是希望在三支
[1199.20-1201.08] 可以打造一个台湾高端的
[1201.08-1203.32] 营养生活的乐龄社区
[1203.32-1207.46] 那我们在日盛幸福站
[1207.46-1209.22] 板桥的日盛幸福站呢
[1209.22-1212.46] 我们也导入我们全龄的
[1212.46-1215.46] 乐龄热活宅的理念
[1215.46-1216.86] 包括呢
[1216.86-1218.70] 第一个就是
[1218.70-1221.56] 因为日盛幸福站的一楼
[1221.56-1224.16] 它是挑高的六笔楼中楼
[1224.16-1224.70] 所以呢
[1224.70-1226.44] 我们在那边也设立了
[1226.44-1229.10] 一个乐桃居的板桥会馆
[1229.10-1231.26] 那长辈可以坐在一楼
[1231.26-1233.10] 然后小家庭坐在二楼
[1233.10-1237.06] 所以有同居不同层的一个优势
[1237.06-1238.26] 那另外呢
[1238.26-1240.68] 因为
[1240.68-1243.84] 因为我们的日盛幸福站
[1243.84-1247.22] 大概有4400多户的住户
[1247.22-1250.50] 那居住的人口大概就是上万人
[1250.50-1251.06] 所以呢
[1251.06-1254.50] 它在那边的确有商机
[1254.50-1255.24] 所以呢
[1255.24-1256.42] 我们有推出
[1256.44-1258.44] 就是店面跟围巾办公室
[1258.44-1261.90] 跟住家的一个all in one的复合空间
[1261.90-1262.88] 那这个部分呢
[1262.88-1266.96] 我们希望说可以有更多的创业的商机在里面
[1266.96-1268.00] 那另外呢
[1268.00-1269.52] 右手边的透天的别墅
[1269.52-1271.62] 就是如果说前后都有庭院
[1271.62-1273.96] 就是我们的一楼的部分的话呢
[1273.96-1276.06] 那我们有推出说
[1276.06-1281.10] 就是可以在等于是在社区在市区
[1281.10-1284.88] 可是有一个别墅生活的一个空间优势
[1286.44-1290.40] 那其他人的部分就真的是属于长期
[1290.40-1292.08] 那这是在高雄的部分
[1292.08-1296.52] 那因为毕竟北高有一些不同
[1296.52-1297.88] 所以呢
[1297.88-1304.72] 目前我们的计划的开发规模是大概是基地面积是一万八千多平
[1304.72-1306.24] 那这是属于长期的部分
[1306.24-1311.06] 那这等于我我们日出不好中研的那个三支管
[1311.06-1312.62] 全部都完成之后呢
[1312.62-1315.98] 我们会再进一步做这个部分的规模
[1315.98-1316.28] 那这等于我们日出不好中研的那个三支管全部都完成之后呢我们会再进一步做这个部分的规模
[1316.28-1316.40] 那这等于我们日出不好中研的那个三支管全部都完成之后呢我们会再进一步做这个部分的规模
[1316.40-1322.72] 那台中的捷运连开案我们总共有三个案
[1322.72-1326.98] 那最北投资就是文兴宠德案
[1326.98-1332.02] 那文兴宠德他就是位在一个非常成熟的开发的区域
[1332.02-1335.40] 所以您可以看到像说旁边有国小啊
[1335.40-1340.24] 然后说在文兴宠德跟文跟文兴中心的这些
[1340.24-1345.58] 就是非常的已经开发的一个社区的部分呢
[1345.58-1348.96] 所以他的人口跟商业都非常的密集
[1348.96-1352.70] 那文兴樱花站呢
[1352.70-1357.22] 他在旁边有他等于就是一个新的一个非常
[1357.22-1359.42] 更高的一些高阶的社区
[1359.42-1364.68] 那像市政府跟国家科技院都在这附近
[1364.68-1368.82] 所以呢这个社区是一个算是一个特区
[1368.82-1371.84] 那南屯站的部分呢
[1371.84-1374.80] 您可以看到像说森林公园
[1374.80-1375.56] 都在这附近呢
[1375.56-1376.56] 都是在那附近
[1376.56-1379.36] 所以南屯站是属于更有一些绿化
[1379.36-1387.12] 那所以呢我们对各这三个案有不同的相似
[1387.12-1388.56] 但是不同的规划
[1388.56-1391.02] 文兴宠德案呢
[1391.02-1394.46] 他在北屯区那面积大概是700平
[1394.46-1396.96] 实设的鉴密率大概是70%
[1396.96-1399.28] 那实设容积率大概是800%
[1399.28-1402.44] 那他主要就是在宠德跟文兴的交汇
[1402.44-1404.58] 所以是一个非常成熟的生活圈
[1404.58-1405.54] 那文兴宠德案呢
[1405.54-1409.46] 我们已经进入了申报开工的前置作业
[1409.46-1411.12] 包括我们的总体工程
[1411.12-1415.46] 已经进入包包的一些作业阶段
[1415.46-1417.96] 那文兴樱花站呢
[1417.96-1420.08] 就是在西屯区
[1420.08-1422.58] 那他的面积大概是500平
[1422.58-1425.48] 那实设的鉴密率是70%
[1425.48-1427.82] 容积率大概实设是800%
[1427.82-1430.16] 那目前呢
[1430.16-1434.00] 他是进入都市计划的定证作业当中
[1434.00-1435.52] 所以他的特色是
[1435.54-1439.42] 就是我们会以商区跟特区做融合
[1439.42-1441.58] 那南屯站的部分呢
[1441.58-1444.66] 就因为邻近非常多的公园
[1444.66-1447.34] 所以我们这个部分是以南屯之肺
[1447.34-1448.72] 去做一个规划
[1448.72-1452.12] 那他的面积大概是770平
[1452.12-1454.26] 实设的鉴密率70%
[1454.26-1456.68] 实设容积率大概790%
[1456.68-1460.02] 他交通位置是在文兴跟五泉的交汇当中
[1460.02-1462.60] 那这个部分我们目前进入
[1462.60-1464.66] 是都市设计的审查作业当中
[1465.54-1467.14] 那这三个案子
[1467.14-1469.10] 我们全部都会用那个TOD
[1469.10-1471.30] 去做一个都市模式的规划
[1471.30-1473.30] 都市发展模式的规划
[1473.30-1476.30] 包括说我们是从这三案全部都
[1476.30-1480.06] 是从已经成立的那个捷运站体
[1480.06-1481.10] 我们就是在网上
[1481.10-1485.14] 就是基础会更加的加强兼顾
[1485.14-1486.80] 然后再往上去做一个
[1486.80-1488.36] 共构的智慧绿建筑
[1488.36-1492.68] 那用并导入在做一个低碳
[1492.68-1494.30] 低运碳汉的建筑
[1495.54-1497.54] 那我们的目标当然就是
[1497.54-1500.98] 未来会强化更多的那个区域经济发展
[1500.98-1504.18] 就是这个就是TOD主要的一个
[1504.18-1506.54] 一个更好的目标这样子
[1506.54-1507.98] 那计划的迟程呢
[1507.98-1511.38] 我们都是这三个案子
[1511.38-1516.94] 大概都是在6到7年会完工交屋
[1516.94-1518.58] 那部分的话就是
[1518.58-1524.06] 还是要跟主管机关去做一个合订
[1524.06-1525.38] 那管钱案的部分
[1525.38-1525.50] 那管钱案的部分
[1525.54-1528.54] 就是这个是台北市的精华区
[1528.54-1531.54] 那它是原来的管钱联合大楼
[1531.54-1536.18] 总共土地的面积大概是608平
[1536.18-1538.54] 那是第四种的商业区
[1538.54-1540.58] 实设的建壁率是70%
[1540.58-1543.90] 大概实设容积率大概是1100%
[1543.90-1546.78] 那目前的部分是百分之百都同意
[1546.78-1550.66] 那我们会采取全区重建跟权力变换
[1550.66-1551.54] 那这个部分呢
[1551.54-1554.54] 因为是在无铁共构的一个市中心
[1554.54-1555.10] 所以呢
[1555.10-1558.10] 我们是特别要
[1558.10-1561.74] 它的开发定位会在A级的智慧绿建筑办公大楼上
[1561.74-1564.54] 那配备的系统是
[1564.54-1566.90] 当然是5G的智慧的营运系统
[1566.90-1568.06] 绿建筑
[1568.06-1569.66] 低云弹旱的建筑
[1569.66-1571.38] 那地上是27层
[1571.38-1574.90] 地下5层钢骨的结构
[1574.90-1577.02] 那预计的开发时程呢
[1577.02-1578.86] 目前我们是计划呢
[1578.86-1582.46] 2025年的第四季是都跟的计划合订
[1582.46-1586.10] 2026年的第二季是建筑执照合发
[1586.10-1589.34] 那开工会在2026年的第四季
[1589.34-1593.10] 那完工计划是在2030年的第四季
[1597.06-1600.58] 那注目案的部分是我们的大安区
[1600.58-1601.26] 那这个部分
[1601.26-1603.46] 我们这个案子我们也受到非常大的阻
[1603.46-1606.58] 因为它的基地面积是1038平
[1606.58-1609.46] 那由于是在国富经验馆跟大巨蛋的一个商业经货的一个基地面积
[1609.46-1613.42] 那由于是在国富经验馆跟大巨蛋的一个商业经货的一个基地面积
[1613.42-1617.14] 那非常的适合驻办的复合开发
[1617.14-1620.98] 那我们历经了12年去做整合
[1620.98-1629.18] 那用依据都市为老重建加速重建的条例去申请为老重建
[1629.18-1631.38] 那原来它是一个桥安新村
[1631.38-1637.62] 那我们的地主都已经非常同意我们做一个为老重建
[1637.62-1639.42] 那相对的这个
[1639.42-1642.74] 结构跟安全的效益是马上看得到的
[1642.74-1646.50] 那我们目前也是以钢骨结构去做一个规划
[1646.50-1649.04] 那地上24层地下4层
[1649.04-1653.46] 采用智慧绿建筑系统去做设计
[1653.46-1656.70] 那我们会拿到计划拿到五个标章
[1656.70-1660.90] 就是为智慧建筑跟绿建筑
[1660.90-1663.44] 低震建筑跟耐震建筑
[1663.44-1665.16] 那预计开发的时程呢
[1665.16-1667.68] 今年的第一季已经上两轮
[1667.68-1669.00] 那我们是预计
[1669.00-1669.02] 我们是预计
[1669.42-1672.74] 我们是预计在2026年第四季完工
[1672.74-1676.34] 那淡金安金的社会住宅的部分呢
[1676.34-1679.30] 由我们的子公司泰城去得标
[1679.30-1682.38] 然后进行建制
[1682.38-1686.82] 那它在淡金公路跟滨海路的交叉口
[1686.82-1688.44] 是属于淡海的新市镇
[1688.44-1692.54] 核心基地面积大概是2117平
[1692.54-1696.02] 那旁边仍临近了淡水轻轨
[1696.02-1699.40] 我们得标的金属屋是2117平
[1699.42-1700.42] 那我们的房子呢
[1700.42-1702.50] 是33.39亿新台币
