[0.00-9.00] 感謝各位法人朋友參加聖群半島主委委員會113年的第四季度法人說明會
[313.00-316.00] 那產品馬力大概38.5
[316.00-319.00] 那實現馬力大概40.3
[319.00-322.00] 那全年的總費用大概是12.4億
[323.00-327.00] 那我們113年大概小幅增加3500萬
[327.00-330.00] 那剛剛有提到這些增加的費用主要是
[330.00-334.00] 我們下半年有一些組織跟人力的一些經濟
[334.00-337.00] 一次性的一些費用出現
[337.00-344.00] 那我們113年整體在本業是營業選
[344.00-346.00] 選資是2.36億
[346.00-350.00] 那業外的一個淨收益是4600萬
[350.00-352.00] 那整個稅錢淨利是1.25億
[353.00-358.00] 那稅上有一個所稅意義
[358.00-360.00] 那所以我們歸屬於牛貓食品類的一個分析
[360.00-362.00] 淨利是1.49億
[362.00-365.00] 那EPS是-5.6億
[365.00-372.00] 那12月底的資產度在表來看
[372.00-377.00] 那順序整體合併的一份資產總計在16.2億左右
[377.00-380.00] 那其中現金部位大概有28億
[380.00-382.00] 在我們總資產52成以內的資產總計
[383.00-385.00] 那我們關心的是庫存
[385.00-389.00] 那這兩年其實我們陸陸續續在清理庫存
[389.00-394.00] 那我們在12月底大概庫存所謂降到12億以下
[394.00-400.00] 整體在2024年大概去化了4億的一個庫存
[400.00-405.00] 那就資產部位我們另外一個要看的是說像我們長投
[405.00-409.00] 我們在長投也是12月底大概低了剩5億
[409.00-411.00] 那最主要是我們在去年有儲分的一個負債額
[411.00-412.00] 那最主要是我們在去年有儲分的一個負債額
[413.00-422.00] 好
[422.00-425.00] 那現在這個指標其實能除博貸的一個負債額
[425.00-428.00] 對 Mai 而講 enrollment 的費用
[428.00-429.00] 那現在是日本中嚴格上也已經不可能有 Ne yellow better
[429.00-442.14] 那接著就是
[443.00-451.00] 我們也有跟銀行有一個10億的短期不擔保的借款
[451.00-457.00] 雖然這部分借款其實公司目前的資金狀況其實還用得到
[457.00-460.00] 但跟銀行之間還是有維持這樣的關係
[460.00-463.00] 目前的流動負債比例大概28%
[463.00-466.00] 跟過去的3.7%差不多
[466.00-469.00] 目前負債總共也只有35%
[469.00-471.00] 也不是太高
[471.00-475.00] 以下面的幾項財務指標來看
[475.00-480.00] 首先像收款天數也就是營收站款的收款天數來看
[480.00-486.00] 很明顯的我們可以看到2024年底已經降到兩個月以下
[486.00-493.00] 這部分也反映了我們整個客戶端跟投資這邊的營運狀況在變好
[493.00-497.00] 所以它也反映在過去它可能對我們有一些預期
[497.00-500.00] 造成我們的營收站款天數稍微拉長
[500.00-501.00] 經過這樣
[501.00-503.00] 我們可以看見一年以下來
[503.00-509.00] 我們跟客戶端之間的一個合作配合改善方式
[509.00-511.00] 整體收款天數是有下降的
[511.00-515.00] 庫存目前雖然所謂還是有點偏高
[515.00-519.00] 整體銷售天數目前還是稍微偏高
[519.00-521.00] 目前大概有330天
[521.00-524.00] 不過整體庫存所謂在下降
[524.00-527.00] 營收也陸續在慢慢變好
[527.00-530.00] 所以我們預期今年如果營業的持續再往上
[530.00-535.00] 庫存所謂繼續會往下降
[535.00-541.00] 這個存貨的一個綜合天數可以慢慢回到我們比較正常的狀況
[541.00-544.00] 流通比例目前是208倍
[544.00-546.00] 基本上還算正常
[546.00-549.00] 以上是這邊的產業報告
[549.00-559.00] 接下來我報告營業的部分
[559.00-562.00] 首先MCU的營業額部分
[562.00-568.00] 2024年第一季是HOTEP的谷底
[568.00-572.00] 第一季度它的營業額只有3億2千萬
[572.00-574.00] 但是從第二季開始
[574.00-580.00] 二三四季每一個季度都穩定在5億左右
[580.00-586.00] 所以2024年MCU的整體銷售金額是18億8千百萬
[586.00-588.00] 相較於去年
[588.00-590.00] 相較於2023年
[590.00-593.00] 它的YY是負的9%
[593.00-595.00] 那從銷售金額這邊來看
[595.00-597.00] 它的YY是負的
[597.00-601.00] 但是從整個2024年的一個出貨數量來看
[601.00-605.00] 2024年的出貨數量是342KK
[605.00-607.00] 相較於2023年
[607.00-610.00] 它是298KK
[610.00-613.00] 它的YY是正的15%
[613.00-616.00] 那這說明我們的中端客戶代理商
[616.00-618.00] 他的庫存已經趨化
[618.00-620.00] 然後新的訂單開始進來
[620.00-623.00] 那數量增加但是金額變少
[623.00-626.00] 主要原因就是因為那個
[626.00-629.00] 中端價格售價往下調
[629.00-632.00] 所以說導致它的金額是變少的
[632.00-638.00] 那接下來看這個TOUCHMCU的一個出貨狀況
[638.00-641.00] 那TOUCHMCU它主要是用在小家電上面
[641.00-643.00] 所以說按照它的產品特性
[643.00-646.00] 都是第二季度的時候開始爬升
[646.00-648.00] 然後到第三季度的時候是它的高升
[648.00-650.00] 然後到第四季度的時候會再下來
[650.00-654.00] 那2024年POTEC的這個出貨芯片
[654.00-657.00] 它的一個出貨數量是65KK
[657.00-659.00] 相較於2023年43KK
[659.00-661.00] 它的成本產金數
[661.00-664.00] 它的那個YY是正的44%
[664.00-666.00] 那同樣是說明就是
[666.00-669.00] 中端客戶跟代理商它的庫存趨化
[669.00-670.00] 已經差不多了
[670.00-672.00] 那新的訂單開始進來
[672.00-676.00] 那接下來我們來看看這個TOUCHMCU的優勢
[676.00-680.00] 那接下來報告的就是安全防護
[680.00-681.00] 安防這一塊
[681.00-684.00] 那安全安防這部分呢
[684.00-687.00] 2024年它的這個出貨數量是20KK
[687.00-691.00] 相較於2023年31KK
[691.00-693.00] YY是負的35%
[693.00-695.00] 那它負的
[695.00-699.00] YY是負的主要原因就是2024年Q1跟Q2
[699.00-700.00] 它機體太低
[700.00-703.00] 但是從2024年Q3 Q4
[703.00-704.00] 這邊可以看到
[704.00-705.00] 它的這個電力量是
[706.00-708.00] 它的訂單是往上增加的
[708.00-710.00] 那後面我會報告就是
[710.00-714.00] 其實從現在掌握的訂單來看
[714.00-716.00] 我們預估
[716.00-719.00] 2025年的這個安防的這個出貨數量
[719.00-722.00] 應該會比2024年增加一倍
[727.00-730.00] 接下來報告健安產品的部分
[730.00-734.00] 健安產品是HOTCHECK在2024年
[734.00-736.00] 表現相對比較好的一個產品
[736.00-739.00] 那2024年它的這個出貨數量是45KK
[739.00-741.00] YY是正版這個設備
[741.00-743.00] 那這邊可以看到從
[743.00-745.00] 它每一個季度
[745.00-748.00] 從2023年Q4
[748.00-750.00] 2024年Q1 Q2 Q3 Q4
[750.00-753.00] 基本上每一個季度都是成長的
[753.00-757.00] 那同樣從目前掌握的訂單來看
[757.00-759.00] 那我們認為
[759.00-764.00] 2025年它是持續呈現成長
[764.00-765.00] 甚至
[765.00-767.00] 甚至目前的一個訂單
[767.00-768.00] 還會有些各位客戶
[768.00-771.00] 它會有一些追單的一個動作
[776.00-778.00] 接下來報告就是馬達產品
[778.00-783.00] 那馬達產品它2024年的出貨數量是6KK
[783.00-785.00] 相對於2023年5KK
[785.00-788.00] 增加了YY是29
[788.00-789.00] 那
[791.00-794.00] 主要成長力道是在2024年第十季度
[795.00-799.00] 那第四季度一樣也是客戶的這個庫存去化之後
[799.00-801.00] 訂單開始進來
[801.00-804.00] 那我們認為馬達這一塊呢
[804.00-808.00] 在2025年它還是會一樣持續維持成長
[811.00-812.00] 接下來報告就是
[812.00-814.00] 社品RF產品
[814.00-817.00] 那社品RF產品2024年
[817.00-820.00] 出貨數量是8KK
[820.00-821.00] 那跟2023年相比
[821.00-823.00] 基本上是持平的
[823.00-824.00] 但是
[824.00-826.00] 可以看一下
[826.00-829.00] 它每個季度跟2023年來比
[829.00-831.00] 除了2024年第一季度
[831.00-833.00] 跟2023年第一季度來比的話
[833.00-837.00] 它是衰退的幅度比較大
[837.00-840.00] 但是2024年234
[840.00-843.00] 跟2023年234來比
[843.00-845.00] 每一個季度都成長了
[845.00-848.00] 而且2024年它每一個季度也都是成長的
[848.00-854.00] 所以說RF這一塊在2025年應該還是會維持持續成長的趨勢來看
[854.00-864.00] 接下來報告的就是電動車充電器的一個部分
[864.00-867.00] 那2024年充電器呢
[867.00-869.00] 它出貨數量是6KK
[869.00-871.00] 2023年是10KK
[871.00-873.00] 那YY是負的40%
[873.00-877.00] 那會出現YY負的原因
[877.00-883.00] 主要原因就是中國大陸它原本在2024年1月份
[883.00-885.00] 要執行新國標
[885.00-889.00] 但是在過年期間因為南京大火的關係
[889.00-893.00] 那它的新國標有重新再做檢討
[893.00-897.00] 所以導致原本Hot Tech的客戶已經開發完畢了
[897.00-899.00] 全部都再離下來
[899.00-905.00] 那新的國標呢一直到2020年11月份才開始真正執行
[905.00-909.00] 所以說在充電器這一塊呢
[909.00-912.00] 業績應該是會反映在2025年
[913.00-921.00] 接下來報告一下就是各個產品的應用比重
[921.00-927.00] 首先Hot Tech的應用比重比例占最大的還是小家電這一塊
[927.00-930.00] 它的比重是占22%
[930.00-935.00] 那再來就是剛剛有提到就是表現相對較好的就是健康兩側產品
[935.00-938.00] 它的比重是占45%
[938.00-943.00] 那Display這一塊呢相較於去年
[943.00-946.00] 去年是8%今年成長到10%
[946.00-949.00] 那主要原因就是因為在
[949.00-953.00] Hot Tech在國外的一個電表廠
[953.00-956.00] 有接到一些新的訂單
[956.00-961.00] 所以讓我們的這個LCD Display這一塊
[961.00-964.00] 業績出現成長
[964.00-969.00] 那其他的部分就請各位朋友參考
[973.00-975.00] 謝謝大家
