[0.00-6.06] 谢谢各位来参与
[187.48-191.76] 我们是先做了AV流
[191.76-197.22] A流跟B流的感冒的快筛试剂
[197.22-198.86] 他现在因为AVC
[198.86-200.36] 现在C又进来了
[200.36-202.76] 所以本来我们也要做AVC
[202.76-204.18] 那现在这样子看起来
[204.18-205.30] AVC还是要做
[205.30-209.14] 就是AV流再加快这个COVID
[209.14-212.48] 这个就应该要赶快做出来
[212.48-213.60] 因为现在做出来
[213.60-215.72] 其实可能是以取证的时间
[215.72-220.52] 应该是要到明年才会拿到这里
[220.52-223.18] 那再来是这个
[223.18-230.80] 这个MCS适合一个多功能分析
[230.80-234.06] 分析以获得那个2020年的台湾健评奖
[234.06-236.06] 在今年的年初的时候
[236.06-238.06] 取得这个健评奖
[238.06-244.06] 那接下来是公司的品质系统
[244.06-248.06] 品质系统呢就是有台湾的TFDA
[248.06-249.06] 欧盟CE
[249.06-251.06] 美国的MDA
[251.06-253.06] 中国的NMPA
[253.06-256.06] 这个他们新的一个DEM代称
[256.06-259.06] 再来是巴西跟加拿大跟日本
[259.06-263.06] 那这五国就是所谓的MVCET
[264.06-267.06] 以后我们就一次认证
[267.06-270.06] 五国都会通过这样子
[270.06-274.06] 再来是这个公司的产品项目
[274.06-278.06] 其实没什么变化
[278.06-281.06] 有一些单品
[281.06-283.06] 就所谓的单品
[283.06-285.06] 这个专业快筛检测
[285.06-287.06] 除了这个是已经开始卖一阵子
[287.06-289.06] 我们还有几个单品在做
[289.06-292.06] 那这些做出来以后当然
[292.06-294.06] 那个是主要是应应客户的
[294.06-295.06] 要求
[295.06-296.06] 所以我们在看它
[296.06-298.06] 所以我们不会
[298.06-299.06] 我们也在考虑做出来以后
[299.06-301.06] 到底要不要放进来
[301.06-304.06] 那还是就是依客户的需求
[304.06-306.06] 给客户用这样
[306.06-308.06] 能力的量
[308.06-311.06] 真的还是没有血糖的量多
[311.06-313.06] 主要都是比较属于专业用的
[313.06-315.06] 医疗月手用的
[315.06-321.06] 那这个就是多功能的
[321.06-324.06] 发泄水的自由品牌的东西
[324.06-326.06] 就是这个多功能的解决
[326.06-327.06] 那这个就是我刚刚讲的
[327.06-328.06] 我讲的就是
[328.06-330.06] 我说一个多功能分析理念
[330.06-332.06] 它主要就是有
[332.06-334.06] 最重要是它有这个糖化血色素
[334.06-336.06] 它这个糖化血色素
[336.06-339.06] 在我们来讲算是第二代
[339.06-342.06] 我们之前有一个糖化血色素是第一代
[342.06-345.06] 那现在目前开发这个是比较新的第二代
[345.06-348.06] 然后再来就是这个
[348.06-352.06] Mipro-Argumin,Pretinamide 跟那个Azure
[352.06-353.06] 这个主要就是给
[353.06-355.06] 这个肾功能
[355.06-359.06] 对通常糖尿病早期都要去筛选
[359.06-361.06] 你的肾功能有没有什么问题
[361.06-363.06] 所以那我们就会做
[363.06-365.06] 把这几个结合起来
[365.06-367.06] 所以在一些诊所
[367.06-369.06] 它不用大力的仪器
[369.06-371.06] 它只要用这台机器
[371.06-373.06] 就可以深度了解
[373.06-375.06] 糖尿病人他到底肾功能
[375.06-378.06] 这边的病变开始了没有
[378.06-381.06] 那这边就可以提早去注意
[381.06-383.06] 它的一些
[383.06-384.06] 除了血糖以外
[384.06-386.06] 还有肾功能的检测
[386.06-390.06] 可以预防它再变严重这样子
[390.06-395.06] 那这个这两个产品也是
[395.06-397.06] 也卖了一阵子
[397.06-399.06] 也是医院专用的
[399.06-405.06] 就是这个是血酮
[405.06-408.06] 然后是我们卖欧洲螺丝种代理
[408.06-412.06] 那这个下面这个是血糖血酮
[412.06-415.06] 是我们自己在内消医院
[415.06-417.06] 六大医院都有在推广
[417.06-420.06] 所以就是主要就是
[420.06-422.06] 测血糖再加血酮
[422.06-425.06] 那现在罗士金说
[425.06-427.06] 他血糖也有点兴趣
[427.06-429.06] 想要加进去
[429.06-431.06] 因为我们就是这样子很慢的在推广
[431.06-434.06] 因为走医院专用的产品
[434.06-436.06] 其实要推很慢
[436.06-439.06] 所以要客户他们觉得可以做
[439.06-441.06] 那我们就愿意配合他们做
[441.06-445.06] 然后他们也看到我们国内这边产品做的蛮稳定的
[445.06-447.06] 所以他们才持续就想说
[447.06-449.06] 可以再继续往下去开发
[449.06-453.06] 然后他们也有在增加一些吸取项在这里面
[453.06-459.06] 所以到时候产品就会越来越多这样子
[459.06-461.06] 不是只有血糖
[463.06-468.06] 那这个是这个血红素
[468.06-470.06] 这个是血红素
[471.06-473.06] 这个是乳酸
[473.06-475.06] 这个是乳酸
[475.06-477.06] 这个是乳酸
[477.06-479.06] 这个是乳酸
[479.06-481.06] 这个是乳酸
[481.06-483.06] 这个是血红素
[483.06-485.06] 下面这个是乳酸
[485.06-487.06] 这个是乳酸
[487.06-489.06] 这个是乳酸
[489.06-491.06] 这个是乳酸
[491.06-493.06] 这个是乳酸
[493.06-495.06] 这两个产品
[495.06-497.06] 除了就是表示它是专业用的
[497.06-499.06] 那血红素其实捐血中心也会用
[499.06-501.06] 还有医院的产品也会用
[501.06-503.06] 那医院的产品也会用
[503.06-505.06] 那医院的产品也会用
[505.06-507.06] 那股酸也会用得到
[507.06-511.06] 就是急诊或是急性的病变的时候都需要测到这个乳酸
[511.06-513.06] 就是急诊或是急性的病变的时候都需要测到这个乳酸
[513.06-515.06] 就是急诊或是急性的病变的时候都需要测到这个乳酸
[515.06-517.06] 就是急诊或是急性的病变的时候都需要测到这个乳酸
[517.06-519.06] 好 再来就是
[519.06-521.06] 前面我们这么多的品项
[521.06-523.06] 我们全部把它加起来
[523.06-525.06] 放在一台机器上面
[525.06-527.06] 我们自己内部
[527.06-529.06] 我们自己内部甚至叫发肥育
[529.06-531.06] 很多的单独的品项
[531.06-533.06] 都可以放到这个机器里面来测
[533.06-535.06] 都可以放到这个机器里面来测
[535.06-537.06] 可是呢其实客户不见得会发现
[537.06-539.06] 全部放在里面
[539.06-541.06] 因为不是
[541.06-543.06] 每一个区域
[543.06-545.06] 它还有
[545.06-547.06] 医疗的
[547.06-549.06] 医疗的
[549.06-551.06] 医疗病症
[551.06-553.06] 其实不见得每个国家都一模一样
[553.06-555.06] 那有的可能会比较偏好省
[555.06-557.06] 有血糖
[557.06-559.06] 像日本血糖的量
[559.06-561.06] 糖尿病人并没有那么多
[561.06-563.06] 那主要他们
[563.06-565.06] 吃的比较
[565.06-567.06] 简单一点
[567.06-569.06] 那可是像印尼听说
[569.06-571.06] 他们吃的很甜
[571.06-573.06] 所以他们糖尿病人其实是蛮多的
[573.06-575.06] 还有肥胖
[575.06-577.06] 这些都可能会造成血糖
[577.06-579.06] 还有肥胖
[579.06-581.06] 一些
[581.06-583.06] 像那个三酸一酸油脂
[583.06-585.06] 一酸一酸这边都会有一点
[585.06-587.06] 影响到这样的
[587.06-589.06] 所以这个就会看我们
[589.06-591.06] 我们的各国的代理商
[591.06-593.06] 他觉得他需要的肥胖是什么
[593.06-595.06] 我们就会去帮他做组合
[595.06-597.06] 是不一定一方而已
[597.06-599.06] 可能会五合一或
[599.06-601.06] 或几分几这样的
[601.06-603.06] 可是我的机器就是可能是一台这样子
[603.06-605.06] 可是我的机器就是可能是一台这样子
[605.06-607.06] 你就不要开发太多台
[609.06-611.06] 那这个就是快三世纪
[611.06-613.06] 那快三世纪
[613.06-615.06] 之前我们就是有这个
[615.06-617.06] 之前我们有开发那个新冠
[617.06-619.06] 就是新冠
[619.06-621.06] 抗原快速检测
[621.06-623.06] 那时候申请的证是
[623.06-625.06] 就是有那个
[625.06-627.06] 临时的证用的
[627.06-629.06] 所以像今年
[629.06-631.06] 为什么大家会反弹
[631.06-633.06] 就是说有人三天就取诊了
[633.06-635.06] 因为那里面还要做很多的临床实验
[635.06-637.06] 还有那个
[637.06-639.06] 你的病毒菌是不是已经有取的
[639.06-641.06] 而且做过那些病毒检测
[641.06-643.06] 这些
[643.06-645.06] 所以我们都觉得不可思议怎么可能三天
[645.06-647.06] 所以还有临床实验
[647.06-649.06] 你要有免费就要达到一个量
[649.06-651.06] 你才能可能得到一个结果
[651.06-653.06] 那这个我们现在
[653.06-655.06] 因为我们也在开发ABC
[655.06-657.06] 那现在如果说
[657.06-659.06] 将来这个会持续发生的话
[659.06-661.06] 将来这个会持续发生的话
[661.06-663.06] 我们可能ABC就是接下来
[663.06-665.06] 我们在流感之后
[665.06-667.06] 我们就会再把快三再加进去
[667.06-669.06] 我们就会再把快三再加进去
[669.06-671.06] 就变成一个比较完整的产品
[671.06-673.06] ABC这样子
[673.06-675.06] 那我们另外这个有一个肺炎感染证
[675.06-677.06] 那我们另外这个有一个肺炎感染证
[677.06-679.06] 就是帮客户开发的
[679.06-681.06] 就是客户他要做
[681.06-683.06] 也做出来他也取证了
[683.06-685.06] 可是那现在就是看他销售的情况
[685.06-687.06] 可是那现在就是看他销售的情况
[687.06-689.06] 有开始小量出货啦
[689.06-691.06] 那量还不是很大
[691.06-693.06] 那再来是下面这些
[693.06-695.06] 可能就是病媒纹
[695.06-697.06] 传染性疾病啊
[697.06-699.06] 还有动物这个像
[699.06-701.06] 叫青猪啊
[701.06-703.06] 就测那个猪的厌孕
[703.06-705.06] 羊的厌孕
[705.06-707.06] 那再来是毒品的检测
[707.06-709.06] 那这个都是会用同样一种
[709.06-711.06] 这个技术平台
[711.06-713.06] 就快三的这个技术平台
[713.06-715.06] 只是里面的抗原抗体也是不一样
[715.06-717.06] 那下来就是
[717.06-719.06] 其实大家比较care
[719.06-721.06] 是我们家用的CGM
[721.06-723.06] 比较在确认我们家用CGM是怎么做出来
[723.06-725.06] 那我们现在
[725.06-727.06] 可能时间上还是会到
[727.06-729.06] 年底
[729.06-731.06] 今年年底看能不能比较明确
[731.06-733.06] 然后可以不可以送临床
[733.06-735.06] 那这些确定了
[735.06-737.06] 当然就是明年后年
[737.06-739.06] 看出来的时间
[739.06-741.06] 然后认证的时间
[741.06-743.06] 都可以开始出口
[745.06-747.06] 那这个
[747.06-749.06] 客字化的专案
[749.06-751.06] 这个就是
[751.06-753.06] 对我们公司从前面讲到现在
[753.06-755.06] 就是我们在技术
[755.06-757.06] 我们现有的技术平台就是
[757.06-759.06] 这个电话学光学
[759.06-761.06] 跟测流免疫分析
[761.06-763.06] 那当然后面还会有更多
[763.06-765.06] 其实还有一些其他的技术啊
[765.06-767.06] 我们可能没写出来
[767.06-769.06] 因为我们的产品的开发还没有完全出来
[769.06-771.06] 不明显
[771.06-773.06] 那这个就是我们的技术平台
[773.06-775.06] 那它会衍生出一些新产品
[775.06-777.06] 那当然我们就
[777.06-779.06] 持续去优化更多的产品出来
[779.06-781.06] 然后看客户的需求
[781.06-783.06] 然后
[783.06-785.06] 再来做法规
[785.06-787.06] 像昨天前三天
[787.06-789.06] 我们就在做Ivdr的
[789.06-791.06] 台湾的认证
[791.06-793.06] 那这个所谓的ivdr
[793.06-795.06] 对以前的ivdd完全
[795.06-797.06] 这个他们的法规内容
[797.06-799.06] 差异蛮大的
[799.06-801.06] 所以这边我们就要去
[801.06-803.06] 适应这些法规的需求
[803.06-805.06] 然后
[805.06-807.06] 再来现在所有的产品
[807.06-809.06] 基本上所有的产品都
[809.06-811.06] 医材或药品
[811.06-813.06] 都要学的药品也一定要做临床
[813.06-815.06] 以前ivdd都
[815.06-817.06] 不见得要做临床
[817.06-819.06] 现在基本上都需要
[819.06-821.06] 那再来就是
[821.06-823.06] 像这个4G 5G 8G
[823.06-825.06] 这种广通的界面
[825.06-827.06] 现在
[827.06-829.06] 在欧盟来讲
[829.06-831.06] 他们这个叫
[831.06-833.06] 它也有定出一些新法规的出来
[833.06-835.06] 所以我们现在说
[835.06-837.06] 这个
[837.06-839.06] 网通的产品
[839.06-841.06] 或界面
[841.06-843.06] 这个都要符合这个法规的需求
[843.06-845.06] 所以这个的要求
[845.06-847.06] 会越来越严谨
[847.06-849.06] 所以
[849.06-851.06] 这个也是要
[851.06-853.06] 然后也要做我们自己的app
[853.06-855.06] 上个礼拜他们也app出来
[855.06-857.06] 我们自己的app还不错
[857.06-859.06] 那这个就是可以
[859.06-861.06] 方便我的客户去使用
[861.06-863.06] 因为我们本来想说
[863.06-865.06] 可以去结合别人的app
[865.06-867.06] 后来我们的客户反应给我们是说
[867.06-869.06] 他不希望跟
[869.06-871.06] 其他的app
[871.06-873.06] 因为有些app太fancy
[873.06-875.06] 那对他们来讲太复杂
[875.06-877.06] 他们使用操作上面
[877.06-879.06] 其实没有那么多的必要性跟需要
[879.06-881.06] 所以后来我们现在
[881.06-883.06] 发展出来我们自己的app的时候
[883.06-885.06] 比较简单
[885.06-887.06] 机器操作完了他自动就可以传到我们手上
[887.06-889.06] 连我们自己的app
[889.06-891.06] 他自己就会有进入出来
[891.06-893.06] 所以这个
[893.06-895.06] 现在就是看后面的推广
[895.06-897.06] 那我们是iOS跟Android的版本都有的
[897.06-899.06] 所以这边就看
[899.06-901.06] 后续上架以后的
[901.06-903.06] 推广的
[903.06-905.06] 情况
[905.06-907.06] 那
[907.06-909.06] 那再来就是
[909.06-911.06] 这个刚讲的
[911.06-913.06] ICU的CGM
[913.06-915.06] 那现在就是真正都拿到
[915.06-917.06] 现在就是在等
[917.06-919.06] 这个取证
[919.06-921.06] 然后再来就是
[921.06-923.06] 这个有文章
[923.06-925.06] 刚刚有讲过
[925.06-927.06] 那就是
[927.06-929.06] 市场的销售
[929.06-931.06] 部阻的情况这个比重
[931.06-933.06] 今年EQ
[933.06-935.06] 美国看起来有比较高
[935.06-937.06] 欧盟比较少
[937.06-939.06] 亚洲也少
[939.06-941.06] 那亚洲就是
[941.06-943.06] 我要有一半
[943.06-945.06] 来自于大陆这边的销售
[945.06-947.06] 有下降那就是
[947.06-949.06] 跟大陆的经济
[949.06-951.06] 经济的状况
[951.06-953.06] 是有关联性的
[953.06-955.06] 那美国比较
[955.06-957.06] 成长是因为
[957.06-959.06] 我们为了关税的问题
[959.06-961.06] 我们有多进一点货
[961.06-963.06] 客户也有多进一点货
[963.06-965.06] 主要是想
[965.06-967.06] 不知道关税的最后的结果
[967.06-969.06] 会是什么
[969.06-971.06] 所以大家都背了一些货
[971.06-973.06] 那欧盟的话
[973.06-975.06] 其实欧洲比较少
[975.06-977.06] 主要是什么
[977.06-979.06] 好像是我们那个
[979.06-981.06] 意大利的客户的量
[981.06-983.06] 有点稍微
[983.06-985.06] 它有点停滞
[985.06-987.06] 反而是我奥地利的客户的单子
[987.06-989.06] 应该增加了
[989.06-991.06] 所以这边看起来是有稍微的少一点
[991.06-993.06] 那这是EQ
[993.06-995.06] 去年的整个
[995.06-997.06] 财务数字
[997.06-999.06] 其实
[999.06-1001.06] 我发现
[1001.06-1003.06] EQ表现算还可以
[1003.06-1005.06] 毛利
[1005.06-1007.06] 也有点低
[1007.06-1009.06] 比我想象中要29
[1009.06-1011.06] 那其实以机器跟饰片
[1011.06-1013.06] 这个比重
[1013.06-1015.06] 我后来自己去除出来
[1015.06-1017.06] 我觉得以这个产品
[1017.06-1019.06] 这个产量这个饰片跟机器的产出
[1019.06-1021.06] 其实今年EQ比重
[1021.06-1023.06] 是有稍微拉高一点
[1023.06-1025.06] 像24年就稍微低一点
[1025.06-1027.06] 也比23年
[1027.06-1029.06] 再高一点点
[1029.06-1031.06] 所以
[1031.06-1033.06] 其实今年到2Q
[1033.06-1035.06] 我觉得我们
[1035.06-1037.06] 我们的财务数字应该都会
[1037.06-1039.06] 来得错
[1039.06-1041.06] 所以今年目标看能不能到
[1041.06-1043.06] 下半年再说
[1043.06-1045.06] 下半年再说
[1047.06-1049.06] 那这个就是
[1049.06-1051.06] 产品占比
[1051.06-1053.06] 那这个可能要跟各位
[1053.06-1055.06] 说回一下
[1055.06-1057.06] 电极测试片
[1057.06-1059.06] 电极测试片
[1059.06-1061.06] 就是这个橘色这个6%
[1061.06-1063.06] 20266%
[1063.06-1065.06] 2025年的EQ
[1065.06-1067.06] 只有2%为什么呢
[1067.06-1069.06] 因为它之前是
[1069.06-1071.06] 我们出一个
[1071.06-1073.06] 就是一大板给他们
[1073.06-1075.06] 然后他们自己去分装
[1075.06-1077.06] 然后包装完出货
[1077.06-1079.06] 那现在它是
[1079.06-1081.06] 要我们帮它整个包装
[1081.06-1083.06] 包装成品出货
[1083.06-1085.06] 其实对我们也是好事
[1085.06-1087.06] 因为包装成品代价比较高
[1087.06-1089.06] 可是那它这边的
[1089.06-1091.06] 所以这个的量
[1091.06-1093.06] 就像
[1093.06-1095.06] 这个的量
[1095.06-1097.06] 就是这个的量
[1097.06-1099.06] 这个从6%
[1099.06-1101.06] 就变成2%
[1101.06-1103.06] 反过来我这个雪囊这个比重
[1103.06-1105.06] 会增加
[1105.06-1107.06] 那非雪囊的
[1107.06-1109.06] 测试套腿
[1109.06-1111.06] 有点下滑
[1111.06-1113.06] 表现的不如
[1113.06-1115.06] 不如预期
[1115.06-1117.06] 可是现在看
[1117.06-1119.06] 我们美国的
[1119.06-1121.06] 有一些证拿到
[1121.06-1123.06] 看是非雪囊这边的证
[1123.06-1125.06] 拿到以后
[1125.06-1127.06] 出货量会不会再上来一点
[1127.06-1129.06] 那这个就看下半年的表现
[1129.06-1131.06] 这样子
[1131.06-1133.06] 好
[1133.06-1135.06] 那这就是
[1135.06-1137.06] 第11届的公司治理评鉴结果
[1137.06-1139.06] 这个上个月才出来的
[1139.06-1141.06] 那我们表现还不错
[1141.06-1143.06] 就是总分有上来
[1143.06-1145.06] 因为去年是78分
[1145.06-1147.06] 那今年是88.4分
[1147.06-1149.06] 那排
[1149.06-1151.06] 集聚是
[1151.06-1153.06] 21到35%
[1153.06-1155.06] 可是如果说一层列表
[1155.06-1157.06] 那是一层列表
[1157.06-1159.06] 那市值会达50币
[1159.06-1161.06] 会达50币的公司来排
[1161.06-1163.06] 我们还更高
[1163.06-1165.06] 是2%到10%这个比重
[1165.06-1169.06] 我们非常努力在做EVSG
[1169.06-1171.06] 还有那个
[1171.06-1173.06] 资讯透明度那边
[1173.06-1175.06] 的表现
[1175.06-1177.06] 好
[1177.06-1179.06] 这就是我们的简报
[1179.06-1181.06] 就这样
[1181.06-1183.06] 接下来就直接去文维了
[1183.06-1185.06] 所以这个资讯
[1185.06-1187.06] 跟之前都差不多了
[1187.06-1189.06] 只是财务数字稍微做一些变化
[1189.06-1191.06] 那我也承认我们
[1191.06-1193.06] 我们有一些
[1193.06-1195.06] 产品客户发展
[1195.06-1197.06] 那边稍微慢了一点
[1197.06-1199.06] 那关税
[1199.06-1201.06] 我觉得目前看到的就是
[1201.06-1203.06] 10%
[1203.06-1205.06] 我们之前有出到美国去
[1205.06-1207.06] 那
[1207.06-1209.06] 美国子公司那边说
[1209.06-1211.06] 他就是
[1211.06-1213.06] 那个关税就是10%
[1213.06-1215.06] 就是现在最高就是10%
[1215.06-1217.06] 不然就是他整个关税撤掉
[1217.06-1219.06] 因为这两个
[1219.06-1221.06] 上个礼拜也是在扯
[1221.06-1223.06] 他说要撤销他这个
[1223.06-1225.06] 对的关税嘛
[1225.06-1227.06] 那就是回到0%
[1227.06-1229.06] 因为之前我们的关税都是0
[1229.06-1231.06] 那现在就是最高
[1231.06-1233.06] 现在是10%
[1233.06-1235.06] 不可能回到32%
[1235.06-1237.06] 30%都不太可能
[1237.06-1239.06] 所以还在看
[1239.06-1241.06] 那他如果被撤销对我们来讲是比较好
[1241.06-1243.06] 其实他最后也是伤害了他自己美国
[1243.06-1245.06] 他自己美国啊
[1245.06-1247.06] 那对我们来讲其实大家的竞争
[1247.06-1249.06] 都还是持续存在
[1249.06-1251.06] 那关税
[1251.06-1253.06] 就是最后有时候客户会把
[1253.06-1255.06] 关税会推给我们
[1255.06-1257.06] 说要我们负担
[1257.06-1259.06] 那这个就是大家要去商量的
[1263.06-1265.06] 现在还是
[1265.06-1267.06] 转嫁给小分子
[1267.06-1269.06] 一定要看看客户
[1269.06-1271.06] 客户要不要转嫁
[1271.06-1273.06] 现在还不是很明确
[1273.06-1275.06] 那我们美国子公司我们是希望
[1275.06-1277.06] 那如果说你走retail市场
[1277.06-1279.06] 当然我可以涨
[1279.06-1281.06] 那客户
[1281.06-1283.06] 那个retail的就是这些消费者
[1283.06-1285.06] 我觉得对他们来讲
[1285.06-1287.06] 那个金额其实涨
[1287.06-1289.06] 他们还是可以承受得起
[1289.06-1291.06] 可是一般的代理商
[1291.06-1293.06] 他就会来跟你argue
[1293.06-1295.06] 关税你要不要付一半
[1295.06-1297.06] 还是你全付这些的
[1297.06-1299.06] 那我们就会跟他们
[1299.06-1301.06] 现在就是有几家在谈判
[1301.06-1303.06] 那照理说应该是你们要
[1303.06-1305.06] 负一半还是你全付这些的
[1305.06-1307.06] 那我们就负费了
[1307.06-1309.06] 付那个关税才对
[1309.06-1311.06] 不是我们自然
[1311.06-1313.06] 不然我降价降那么多给你了
[1313.06-1315.06] 你还要我再负担这个关税
[1315.06-1317.06] 那我根本就赚不到钱了
[1317.06-1319.06] 这也是我们另外一个issue
[1319.06-1321.06] 这个谈判目前还没有结果
[1321.06-1323.06] 没有
[1323.06-1325.06] 因为川普一直在改啊
[1325.06-1327.06] 然后美国现在他们法院
[1327.06-1329.06] 也开始在跟川普对杠
[1329.06-1331.06] 对啊
[1331.06-1333.06] 所以这边其实不明确的时候
[1333.06-1335.06] 我看这边的这个关税
[1335.06-1337.06] 我们这边都很难去下决定
[1337.06-1339.06] 政府也知道我们很为难
[1339.06-1341.06] 他们也很为难
[1341.06-1343.06] 他也不能就说不管怎么样都要丢给我们
[1343.06-1345.06] 可是我不知道最后的数字是什么
[1345.06-1347.06] 是我不可能答应的
[1355.06-1357.06] 请问一下那个花园汇率的话
[1357.06-1359.06] 这边有没有
[1359.06-1361.06] 我我们到上个月
[1361.06-1363.06] 我看结账出来
[1363.06-1365.06] 我还有小赚
[1365.06-1367.06] 还有赚
[1367.06-1369.06] 对那我看起来好像是在30以上
[1369.06-1371.06] 应该是save
[1371.06-1373.06] 30以下就比较危险一点
[1373.06-1375.06] 还有现在就看我们
[1375.06-1377.06] 我们财务长他会不会去做
[1377.06-1379.06] 免费嘛
[1379.06-1381.06] 看他怎么跑
[1381.06-1383.06] 因为我们的AR大概是60到90天
[1383.06-1385.06] 那你
[1385.06-1387.06] 等你收到钱那时候汇率是多少
[1387.06-1389.06] 也不清楚
[1389.06-1391.06] 所以他可能这边他要去评估一下怎么做法
[1395.06-1401.30] 毕竟升 virgin
[1401.30-1403.06] 你看这个
[1403.06-1413.06] 我们现在 ощущ他
[1413.06-1415.06] 两个人 Sams Comes
[1415.06-1417.06] 我一开始也认为
[1417.06-1419.06] 这个是很节奏的
[1419.06-1420.92] 这段时间你说
[1420.98-1422.98] 永住2亿
[1422.98-1424.98] 应该是不错的
[1424.98-1428.44] 可是我現在有,因為新竹已經產線都滿
[1428.44-1435.04] 所以我後來像快篩還有像我那個ICU的CGM
[1435.04-1437.58] 我的產線是設在桃園
[1437.58-1442.44] 那邊還有地方,可是其實差不多滿
[1442.44-1446.08] 所以我們也在評估啦
[1446.08-1448.88] 可是有一些產線它會慢慢縮減
[1448.88-1454.04] 那有一些就是會取代的,有取代的效益
[1454.04-1458.24] 那就看訂單情況,如果訂單再擴大
[1458.24-1459.34] 那看是怎麼做
[1459.34-1462.28] 因為我知道我之前買桃園廠就是說
[1462.28-1465.28] 桃園廠可以再擴建
[1465.28-1470.00] 它從大概2800坪,它可以擴建到9000坪
[1470.00-1473.14] 可是你要擴建,你那廠區要怎麼安排
[1473.14-1474.08] 這是一個大問題
[1474.08-1476.48] 我就一直丟一個issue給他們說
[1476.48-1477.98] 你們如果要擴廠
[1477.98-1481.04] 你要一年半以前就要先給我講
[1481.04-1483.60] 不然我要怎麼去安排那個產線
[1483.60-1484.00] 這個
[1484.00-1485.70] 是蠻大的問題
[1485.70-1486.56] 可是呢
[1486.56-1489.24] 現在就是有一些舊的製程
[1489.24-1492.36] 其實在我們有把它簡化掉
[1492.36-1494.76] 那會用新製程取代掉
[1494.76-1497.66] 那有一些地方就配置會稍微變更
[1497.66-1501.60] 然後再加上現在那個ESG
[1501.60-1505.24] 減碳這些還有電力的問題
[1505.24-1507.30] 我們現在也是很積極在想
[1507.30-1510.30] 怎麼樣去應付這個電力吃緊
[1510.30-1513.06] 今年從去年開始
[1513.06-1514.00] 去年下半年了
[1514.00-1521.30] 電的用電的度數是下降的電費是漲
[1521.30-1523.34] 所以我們現在就要評估怎麼樣做法
[1523.34-1525.56] 可以讓這個電費不要漲
[1525.56-1529.54] 因為度數就是使用度數就是你有個加班
[1529.54-1531.76] 你有加班度數就會增加電費
[1531.76-1533.30] 當然增加
[1533.30-1535.90] 那現在就是說你度數已經減少了
[1535.90-1540.20] 可是費用因為漲價電費漲的比那個還多
[1540.20-1543.56] 所以我們現在也在考量用什麼方法來減碳跟減電費的計劃
[1544.00-1546.00] 一個是費用
[1546.00-1549.00] 一個是ESG這邊要怎麼做
[1549.00-1552.00] 不然我根本兩邊都打不到效益
[1552.00-1562.00] 我們今天就先這樣子
[1562.00-1564.00] 那有什麼問題的話
[1564.00-1567.00] 你可以再打電話給我
[1567.00-1569.00] 謝謝
