[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-59.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[60.00-65.36] 加斯达科技股份有限公司2024年第四季法人说明会
[258.72-262.72] 诸如残年六届的亚洲最佳企业雇主奖
[262.72-264.72] 连续两年荣获Area
[264.72-266.72] 亚洲企业社会责任奖
[266.72-270.72] 荣获Finance Asia亚洲最佳企业奖
[270.72-276.72] 在2024年的营收是台币2017亿元
[276.72-280.72] 在整个营收分布上分为亚洲54%
[280.72-284.72] 美洲27% 欧洲18%
[288.72-292.72] 那这边是事业群的营收的分布
[292.72-294.72] 那一样在那个
[294.72-299.72] 紫色的部分呢是我们所谓的高附加价值的事业布局
[299.72-303.72] 那在绿色的部分最主要是我们的有原先的事业
[303.72-307.72] 资讯事业IT事业那营收是1105亿
[307.72-312.72] 在资讯事业里面事实上我们在近年来也布局了IT高附加价值
[312.72-316.72] 那高附加价值的部分也占了141亿
[316.72-320.72] 医疗的部分营收占了13%有263亿
[320.72-323.72] 那我们看一下医疗下面我们有分三大领域
[323.72-328.72] 第一个叫医疗服务那最主要里面是我们有两家民机医院
[328.72-331.72] 一家在南京民机医院一家是苏州民机医院
[331.72-337.72] 第二个就是医疗健康通路就是在2024年11月新加入
[337.72-342.72] 加斯达集团由权益法变成合并子公司的诺贝尔宝贝
[342.72-344.72] 也就是台湾的丁丁药局
[344.72-348.72] 另外医疗管理顾问公司就是康科特
[348.72-352.72] 那第二大就是设备耗材以及我们在台湾在上海
[352.72-356.72] 这边都布局了这个协议透析的一个工厂
[356.72-362.72] 智能解决方案BSG AIoT的营收312亿
[362.72-367.72] 那分别我们在IT OT以及OMO线上线下整合服务
[367.72-372.72] 提供这个AIoT的一个一条龙的一个解决方案服务
[372.72-377.72] 网络通讯的营收有214亿那占集团的营收11%
[377.72-380.72] 那其他部分最主要是民机材料的这个机能膜产品跟品牌的营收
[382.72-384.72] 天光片电池之类的
[384.72-388.72] 那当然在下面我们有所谓的转投资的部分
[388.72-392.72] 那最主要是达芳还有低轨卫星的雷洋
[392.72-401.72] 然后还有FVOCI的友达
[401.72-406.72] 看到2024年的第4季财务结果
[406.72-410.72] 第4季呢整季的营收为近541亿
[410.72-413.72] 为近两年来的单季新高
[413.72-418.72] 不管是在QOQ或是YOY营收都是增加30几亿
[418.72-421.72] 然后成长大都是7%左右
[421.72-422.72] 这是第一个重点
[422.72-425.72] 那第二个重点实际上在整个集团合并营收
[425.72-430.72] 从2024年的第1季到第4季营收呈现逐季的一个成长
[430.72-435.72] 这个逐季的成长实际上也展现在资讯事业的营收
[435.72-438.72] 也是从Q1到Q4逐季成长
[438.72-440.72] 高附加价值事业也是逐季的成长
[440.72-445.72] 然后毛利率呢整体毛利率在第4季是16.3
[445.72-449.72] 我们已经连续7季在毛利率突破17%
[449.72-453.72] 并在第4季创下20年来同期
[453.72-455.72] 也就第4季的一个新高
[455.72-458.72] 那我们分别来看事业群的营收表现
[458.72-461.72] 刚才讲到资讯事业营收291亿
[461.72-464.72] YOY是成长的8%
[464.72-468.72] 这里面最主要是显示器的营收210亿
[468.72-470.72] 然后成长了11%
[470.72-473.72] 而且是创进10季来的新高
[473.72-475.72] 那不止营收成长
[475.72-478.72] 获利也就要去年同期来的成长
[478.72-483.72] 在高附加价值事业营收256亿
[483.72-485.72] YOY成长4%
[485.72-487.72] 也已经连续3季的成长
[487.72-491.72] 这里面最主要的成长动能来自于医疗事业
[491.72-495.72] 营收在YOY上面成长了14%
[495.72-497.72] 而且是历史单季新高
[497.72-499.72] 而且整个医疗事业在营收上
[499.72-503.72] 在医疗事业营运上面健康的一个成长
[503.72-505.72] 但是因为在获利上面
[505.72-508.72] 民机医院积极在推动在港交所上市
[508.72-511.72] 所以必须要认列一些IPO的费用
[511.72-514.72] 所以会影响到一些获利
[514.72-519.72] 智能解决方案的部分营收也是成长了11%
[519.72-522.72] 也同时创下历史单季新高
[522.72-527.72] 在第四季毛利率营业净利率及营业净利金额
[527.72-529.72] 有较去年同期成长
[529.72-531.72] 智能解决方案这一块
[531.72-534.72] 实际上它在12月的时候
[534.72-537.72] 有因为海外子公司的库存整理
[537.72-539.72] 所以提列了被抵存或叠价损失
[539.72-541.72] 即使是这样子
[541.72-544.72] 它的第四季相较于去年同期还是成长的
[544.72-549.72] 网通事业营收是唯一减幅比较大的
[549.72-550.72] 只有17%
[550.72-553.72] 不过QOQ已经开始逐步成长
[553.72-556.72] 最主要的还是客户端的调整库存
[556.72-558.72] 所以使得它的营收跟获利
[558.72-560.72] 较去年同期下降
[560.72-564.72] 整个来讲第四季虽然营收都是呈现成长的
[564.72-570.72] 但是受到一些在年底清理一些库存的影响
[570.72-574.72] 所以使得整体的营业净利11.7亿
[574.72-576.72] 虽然成长了3亿
[576.72-579.72] 但是归属于母公司少了2.4亿
[579.72-583.72] 因为归属于母公司净利是要按持股比例去认列的
[583.72-586.72] 所以EPS最后的成绩是
[586.72-587.72] 只有0.1元
[587.72-590.72] YY少了0.12元
[590.72-592.72] 我们再看到全年
[592.72-595.72] 全年毛利率16.5%
[595.72-597.72] 连续两年突破16%
[597.72-599.72] 也是有创下20年来新高
[599.72-603.72] 营收的部分刚好跟2023年减了1%
[603.72-605.72] 少了19亿
[605.72-609.72] 这里面实际上资讯事业营收呈现的是成长的
[609.72-611.72] 1105亿增加4%
[611.72-614.72] 最主要是高附加价值营收减了8%
[614.72-615.72] 不过我们刚才也提到
[615.72-619.72] 高附加价值营收也逐步在回温成长
[619.72-623.72] 那整个营业净利45.2
[623.72-627.72] 那相较于2023年少了4.9亿
[627.72-631.72] 那EPS呢1.11元少了0.41
[631.72-635.72] 所以一样的主要还是网通事业客户端库存的调整
[635.72-642.72] 以及智能解决方案海外子公司提列存货叠价损失的部分
[645.72-650.72] 那有关于在我们去年第四季呢
[650.72-652.72] 整个的事业布局里面呢
[652.72-659.72] 我们刚才提到在2024年11月增持诺贝尔宝贝股权到40.66
[659.72-662.72] 所以由权益法转为合并子公司
[662.72-667.72] 那这部分最主要是要强化这个医药零售通路的市场布局
[667.72-670.72] 另外在2025年的1月20号呢
[670.72-674.72] 有个好消息就是明基医院在推动港交所上市的过程当中
[674.72-681.72] 必须要先取得中国证券监督管理委员会的境外发行上市备案
[681.72-684.72] 也在1月20号取得了完成备案
[684.72-687.72] 那现在积极呢在港交所这边
[687.72-690.72] 那送进2024年的财报
[690.72-695.72] 然后等候这个整个审核的过程
[695.72-698.72] 现金鼓励呢经过董事会通过
[698.72-700.72] 每股配发1.11元
[700.72-703.72] 那整个鼓励配发率是百分之百
[703.72-704.72] 另外呢
[704.72-709.72] 也为了要调整资本结构以及提升股东权益报酬率
[709.72-716.72] 你办理现金减资每股退还现金约新台币1.8元
[716.72-724.72] 好那刚才这是灾药报告
[724.72-726.72] 我们现在来看
[726.72-728.72] 损益表的数字
[728.72-730.72] 第4季的营收是541亿
[730.72-732.72] YY增加34亿成长7个percent
[732.72-733.72] YYY增加34亿成长7个percent
[733.72-736.72] Gross margin 16.3
[736.72-740.72] 那相较于YY第4季为福上升了0.1
[740.72-743.72] 那营业净利11.63亿
[743.72-745.72] 那OY percentage是2.1
[745.72-751.72] 相较于去年前年第4季1.7是增加了0.4个percent
[751.72-753.72] 那在业外的部分呢
[753.72-758.72] 2023年第4季有一些一次性的获利
[758.72-761.72] 那第4今年第2024年第4季没有
[761.72-763.72] 所以大概这差异就是1亿这样
[763.72-765.72] 所以整个规模里面的
[765.72-767.72] 归属于母公司净利是1亿9
[767.72-770.72] 那相较于YY是少了2亿3500
[770.72-772.72] PS少了0.12
[772.72-776.72] 那QOQ的角度呢营收是增加33亿成长7个percent
[776.72-781.72] 然后获利上面呢相较于OY是少了8200万
[781.72-786.72] 那第3季呢因为有现金鼓励的收入
[786.72-790.72] 所以呢在2024年第3季是正的
[790.72-796.72] 那整个来讲呢相较于第3季EPS是少掉了0.44
[796.72-806.72] 那全年的营收呢是201116亿
[806.72-810.72] 相较于2023年是少了19亿减幅1个percent
[810.72-812.72] 那Gross margin 16.5
[812.72-816.72] 叫16.2增加0.3个percent
[816.72-820.72] 在营业净利45亿少了4亿9
[820.72-824.72] 那在2023年的夜晚呢有一次性的
[824.72-827.72] 这个获利比较多所以有正的13亿
[827.72-830.72] 那2024年这一部分的一次性比较少
[830.72-832.72] 所以这样一来一回就少了11亿
[832.72-836.72] 那最后归属于母公司净利是20亿少了8亿
[836.72-840.72] EPS呢是少掉了0.41元
[843.72-846.72] 现在看到合并资产负债表
[846.72-849.72] 资产总计是2064亿
[850.72-855.72] 那整个负债比呢68
[855.72-860.72] 那跟2024年9月30号同期相比是差不多的
[860.72-863.72] 然后我们看一下库存的部分呢
[863.72-868.72] 在420亿那QOQ是微幅增加了4亿9
[868.72-871.72] 那其他的部分那无形资产的部分呢
[871.72-875.72] 增加了24亿那这边最主要是我们在去年的
[875.72-879.72] 有并购了几家公司像诺贝尔像宜进正
[879.72-880.72] 那这边最主要是我们在去年的有并购了几家公司像诺贝尔像宜进正
[880.72-883.72] 那所以导致无形资产有一些增加
[883.72-886.72] 每股净值是18.45
[891.72-897.72] 财务指标从应收账款存货或是应付账款周转天数
[897.72-901.72] 在QOQ上面都没有太大的变化
[905.72-909.72] 那下面的财务趋势Quarterly Chain就请各位可以自行参考
[909.72-912.72] 那最主要是左上边的营业收入会看到了
[912.72-919.72] 就是说我们已经从2024年第三季营收又占回500亿
[919.72-921.72] 那第四季是541亿
[921.72-925.72] 然后第二个就左下边的营业毛利率呢
[925.72-928.72] 我们已经持续都在16%以上
[928.72-933.72] 但是我们在营业净利率呢的确也在2024年Q2又占回2%以上
[933.72-936.72] 但是还是有很大可以再提升的空间
[939.72-949.72] 下面这一页是第四季同期的一个数字
[949.72-954.72] 那也请各位投资先进自行参考
[954.72-960.72] 好我们看到失业群的营收趋势
[960.72-964.72] 那左手边最上面那个是高附加价值的营收
[964.72-967.72] 那高附加价值营收在第四季是256亿3千亿
[967.72-975.72] 那我们现在高附加价值营收大概加总都是在200多亿以上
[975.72-978.72] 那看到右手边的医疗
[978.72-980.72] 医疗第四季是75亿
[980.72-983.72] 所以医疗是创下历史单季的新高
[983.72-989.72] 那智能解决方案BSG是88亿也是创下历史单季的新高
[989.72-993.72] 网通从2024年的第一季到第四季
[993.72-997.72] 大概营收都在五十几亿的这样的一个范围
[997.72-1004.72] 那高附加价值的IT事业的营收规模大概是在三十几亿
[1004.72-1008.72] 另外在右手边就是我们的资讯原有事业
[1008.72-1015.72] 就最主要是monitor这一块营收的部分也从第一季的219
[1015.72-1019.72] 然后上升到240 251到254亿
[1019.72-1026.72] 在整个失业群的这个毛利是在210亿以上
[1027.72-1029.72] 所以我们在这个毛利率区间
[1029.72-1030.72] 我们讲的是区间
[1030.72-1032.72] 所以请看黄色的这一栏
[1032.72-1038.72] 所以在我们看到医疗第四季跟YY还有QOQ
[1038.72-1045.72] 实际上我们看到从医疗BSG NCG跟IT的高附加价值的这个毛利率区间
[1045.72-1049.72] 实际上除了NCG的毛利率是在15到20
[1049.72-1053.72] 其他那三大事业都是毛利率在20到25的区间
[1053.72-1056.72] 而且过去YY或QOQ也都维持在这一块
[1057.72-1060.72] 在这个20到25的毛利率区间这样子
[1060.72-1066.72] 那至于资讯产品的毛利率也是在10到15%这样子
[1066.72-1068.72] 然后也是维持的
[1068.72-1071.72] 至于有个其他像占比是比较低的
[1071.72-1073.72] 它的毛利率区间是10到15
[1073.72-1078.72] 那去年同期这个时候是15到20是有微幅下降
[1078.72-1083.72] 那这边最主要来自于就是敏基材料这个偏光片的毛利率的一个下降
[1087.72-1091.72] 那下面这页更详细的那个事业群的营收分布
[1091.72-1094.72] 就请各位投资先进自行参考
[1094.72-1098.72] 那下面我们列出呢
[1098.72-1103.72] 加斯达集团在上市上位新位的公司的财务绩效
[1103.72-1106.72] 那也可以请各位投资先进参考
[1106.72-1108.72] 那最主要我们还是分成事业群
[1108.72-1110.72] 在资讯事业里面呢
[1110.72-1112.72] 除了加斯达本身
[1112.72-1115.72] 刚才还报告了还有重辅跟细码
[1115.72-1117.72] 然后左手边这边有
[1117.72-1120.72] 那个持股比以及综合持股比
[1120.72-1123.72] 那自己投资先进请参考
[1123.72-1125.72] 那最主要在资讯事业里面呢
[1125.72-1128.72] 重辅跟细码营收是下滑的
[1128.72-1130.72] 获利也是下滑的
[1130.72-1133.72] 那在医疗的部分表现就比较好
[1133.72-1136.72] 就是敏基一就是敏基三丰
[1136.72-1138.72] 它的营收是上升了5个percent
[1138.72-1141.72] 但是获利小幅下滑了1000万
[1141.72-1145.72] 那康科特是属于营收跟获利都是上升的
[1145.72-1147.72] 而且是近两年来的新高
[1147.72-1148.72] 那育伟呢
[1148.72-1149.72] 虽然是营收下滑
[1149.72-1151.72] 可是它的获利是上升的
[1151.72-1154.72] 而且是获利是近9年来的新高
[1154.72-1155.72] 诺贝尔呢
[1155.72-1158.72] 是11月才由权益法转为合并子公司
[1158.72-1161.72] 那这个是诺贝尔本身的一个营收
[1161.72-1164.72] 那营收小幅下滑了一个6个percent
[1164.72-1167.72] 那在智能解决方案里面呢
[1167.72-1171.72] 有通奇洋 罗生 拍档
[1171.72-1173.72] 都是营收上升
[1173.72-1175.72] 而且上升的百分比
[1175.72-1177.72] 像奇洋 罗生都有上升
[1177.72-1178.72] 那这四家呢
[1178.72-1179.72] 也有两位数
[1179.72-1181.72] 那获利上面也都是属于成长
[1181.72-1185.72] 而且这四家都创下近两年来的一个新高在获利
[1185.72-1186.72] 麦达特呢
[1186.72-1188.72] 营收是受到海外子公司影响
[1188.72-1193.72] 所以在营收跟获利接受到影响的比较多
[1193.72-1194.72] 那德宏呢
[1194.72-1196.72] 是麦达特下面的子公司
[1196.72-1199.72] 在2024年1月才转为合并子公司
[1199.72-1203.72] 那目前的营收规模大概是在3亿左右
[1203.72-1205.72] 网络通讯里面最主要有三家公司
[1205.72-1206.72] 那刚才讲的就是
[1206.72-1207.72] 明泰本体的
[1207.72-1209.72] 明泰呢营收是下滑
[1209.72-1210.72] 获利也是下滑
[1210.72-1213.72] 那仲福呢营收是小幅下滑4个percent
[1213.72-1215.72] 那获利也是下滑
[1215.72-1217.72] 那互动的营收是成长的
[1217.72-1220.72] 那会看到获利的金额也是上升的
[1220.72-1222.72] 但是EPS却是下降了
[1222.72-1224.72] 那最主要是互动
[1224.72-1227.72] 实际上整体2024年表现是非常不错的
[1227.72-1230.72] 那EPS下降最主要它是有发可转
[1230.72-1233.72] 在最迟的股数又在往上增加
[1233.72-1236.72] 才会呈现EPS是往下的
[1236.72-1239.72] 那这是我的报告
[1239.72-1240.72] 你怎么看
[1244.72-1245.72] 好
[1245.72-1248.72] 各位投资先进以及媒体朋友们
[1248.72-1249.72] 大家午安大家好
[1249.72-1252.72] 我是加茨达董事长陈希宏
[1252.72-1256.72] 那针对刚刚的这个我们第4季
[1256.72-1258.72] 财务长这边所做的说明
[1258.72-1260.72] 那大家可以看到第一点
[1260.72-1262.72] 我特别补充说明
[1262.72-1265.72] 在去年的第4季
[1265.72-1268.72] 虽然我们营收是541亿
[1268.72-1271.72] 相对在去年的4季里面
[1271.72-1273.72] 如我们原先预期的
[1273.72-1276.72] 就是说我们的营收的足迹上升
[1276.72-1281.72] 那抱歉的就是在我们的获利上面
[1281.72-1285.72] 大概看到的只有EPS0.1
[1285.72-1289.72] 那大家一定会觉得比较惊讶
[1289.72-1291.72] 比较好奇为什么会这样
[1291.72-1294.72] 那我们在去年的这个法说啊
[1294.72-1299.72] 就先做过大概的这个报告
[1299.72-1301.72] 那在麦达特的这个
[1301.72-1303.72] 重讯也有说明
[1303.72-1305.72] 那就是在我们去年
[1305.72-1307.72] 在麦达特海外子公司
[1307.72-1309.72] 这个管理上面
[1309.72-1311.72] 出现库存过高
[1311.72-1313.72] 那这个
[1313.72-1317.72] 造成在库存的这个提列
[1317.72-1319.72] 我们就决定了
[1319.72-1321.72] 在年底一次把它打掉
[1321.72-1324.72] 所以去年在
[1324.72-1330.72] 在这方面也的确遭遇到比较大的这个冲击
[1330.72-1333.72] 所以把这个获利吃掉
[1333.72-1335.72] 那还有
[1335.72-1338.72] 特别说明就是说这个库存是按照
[1338.72-1340.72] 这个会计原则去提列
[1340.72-1341.72] 把它打消
[1341.72-1344.72] 那基本上这些东西都还有价值
[1344.72-1346.72] 我们会在今年
[1346.72-1348.72] 逐步的把它这个
[1348.72-1350.72] 这个出清
[1350.72-1352.72] 那如愿能够出清的话
[1352.72-1354.72] 那我们大概
[1354.72-1356.72] 就可以把它的这个
[1356.72-1358.72] 出清的这个价值
[1358.72-1360.72] 都会再回转
[1360.72-1362.72] 这个是第一个说明
[1362.72-1363.72] 那第一个当然是
[1363.72-1365.72] 我们在部分的产品线
[1365.72-1367.72] 比如说网通产品
[1367.72-1369.72] 去年第四季是属于这个
[1369.72-1371.72] 年度的这个
[1371.72-1373.72] 最低点
[1373.72-1375.72] 那应该也是过去这
[1375.72-1377.72] 两三年的低点
[1377.72-1379.72] 那这个
[1379.72-1381.72] 从今年第一季开始
[1381.72-1383.72] 会逐步看到回春
[1384.72-1386.72] 因为在过去两年的低点
[1386.72-1389.72] 所以网通在第四季的获利
[1389.72-1390.72] 也不理想
[1390.72-1392.72] 所以吃掉
[1392.72-1394.72] 另外一部分的这个获利
[1394.72-1396.72] 所以在大合并大家看到
[1396.72-1398.72] 第四季这个获利
[1398.72-1400.72] 只有一配的0.1
[1400.72-1402.72] 那营收确实创新高
[1402.72-1404.72] 这个因为一场
[1404.72-1406.72] 所以我们就特别说明
[1406.72-1409.72] 那期待在这些这个
[1409.72-1412.72] 不利因素促进之后
[1412.72-1414.72] 那从今年开始啊
[1414.72-1417.72] 可以这个恢复到
[1417.72-1418.72] 该有的这个
[1418.72-1420.72] 获利的能力跟状况
[1420.72-1422.72] 这是第一点说明
[1422.72-1424.72] 那第二大家会关心说
[1424.72-1426.72] 今年的这个第一季的情况
[1426.72-1430.72] 或者是今年全年大概的这个预估
[1430.72-1434.72] 那诚如在过去两季啊
[1434.72-1438.72] 我大概都有跟各位做过报告
[1438.72-1440.72] 就在2025年
[1440.72-1442.72] 相较于2024年
[1442.72-1443.72] 我们总的来讲
[1443.72-1447.72] 应该是可以比较乐观的看
[1447.72-1451.72] 他会比2024年好
[1451.72-1453.72] 不管是在营收跟获利
[1453.72-1455.72] 那这部分
[1455.72-1458.72] 目前从第一季可以看得到
[1458.72-1462.72] 我们在这个12月的营收
[1462.72-1465.72] 一加二月大概yoy
[1465.72-1467.72] 今年比去年成长6%
[1467.72-1470.72] 那二月份相较于去年的二月份
[1470.72-1472.72] 也成长了11%
[1472.72-1473.72] 那
[1473.72-1476.72] 这个三月份目前
[1476.72-1479.72] 看起来也会是比去年成长的
[1479.72-1482.72] 所以今年的第一季啊
[1482.72-1484.72] 已经很明显的看出
[1484.72-1486.72] 相较于去年
[1486.72-1488.72] 这个第一季啊
[1488.72-1491.72] 会有明显的这个
[1491.72-1494.72] 成长的这个这个现象
[1494.72-1501.72] 所以希望今年能够重新把营收的这个
[1501.72-1503.72] 比较高的成长高的成长
[1503.72-1505.72] 能够从获利上面恢复正常
[1505.72-1510.72] 能够呃展现出不一样的这个运营的成绩
[1510.72-1512.72] 那第三点
[1512.72-1514.72] 呃特别说明在减值这一块啊
[1514.72-1518.72] 在过去呃这个十几年来
[1518.72-1521.72] 呃我们呃基本上都是获利的
[1521.72-1524.72] 呃呃但是我们的财务报表
[1524.72-1528.72] 随着获利一年比一年有逐步的改善
[1528.72-1530.72] 所以呃
[1530.72-1532.72] 不过大家看到我们的整个股市啊
[1532.72-1535.72] 在这个原来一直维持在197亿
[1535.72-1536.72] 197亿
[1536.72-1540.72] 那去年也做了少部分的这个库场股的买回
[1540.72-1543.72] 那就打掉一部分
[1543.72-1547.72] 所以到去年第四季的股本192点多
[1547.72-1550.72] 但是这毕竟还是199亿啊
[1550.72-1554.72] 所以我们还是希望透过减值18%
[1554.72-1559.72] 那能够呃来呃从
[1559.72-1560.72] 呃从
[1560.72-1561.72] 呃从
[1561.72-1563.72] 这个这个股本的结构啊
[1563.72-1565.72] 来做一个比较合理的调整
[1565.72-1570.72] 那最重要就是要提升我们股东权益的报酬率啊
[1570.72-1577.72] 能够接下来看到在股东权益报酬率有明显的这个呃成长
[1577.72-1579.72] 呃伴随着我们的获利
[1579.72-1581.72] 呃也会越来越理想
[1581.72-1583.72] 那加上这个股本的调整
[1583.72-1587.72] 那可以呃有更好的经营成效
[1587.72-1589.72] 来回馈给这个股东
[1589.72-1591.72] 也感谢大家的支持
[1591.72-1593.72] 谢谢大家对我们的支持
[1593.72-1597.72] 呃大概是呃特别说明这三点
[1597.72-1603.72] 那接下来我也请我们总经理来这个呃做说明
[1603.72-1612.72] 并请呃各个事业群的主管来呃跟各位呃做更详尽的报告
[1612.72-1614.72] 那接着才会有Q&A
[1614.72-1617.72] 好那我的报告先到这里
[1617.72-1618.72] 谢谢
[1621.72-1626.72] 呃各位先进大家好
[1626.72-1628.72] 我是总经理黄汉洲
[1628.72-1632.72] 那关于第四季的财务概况跟呃
[1632.72-1634.72] 呃我们财务长跟董事长已经
[1634.72-1636.72] 刚刚有已经做了不少的说明
[1636.72-1638.72] 我这里就不再赘述
[1638.72-1640.72] 那大家关心有关美国关税的问题
[1640.72-1642.72] 我们已经有两地备案
[1642.72-1644.72] 那甚至有第三地在评估中
[1644.72-1646.72] 所以我们一直在进行
[1646.72-1647.72] 那请各位放心
[1647.72-1650.72] 那第一季为科技业的传统淡季啊
[1650.72-1656.72] 美国的关税跟货币政策的变化都影响今年的供应链跟景气复苏的力道
[1656.72-1658.72] 那市场氛围
[1658.72-1659.72] 审慎乐观
[1659.72-1660.72] 呃
[1660.72-1664.72] 唯有建立在韧性的供应链跟灵活的应对方
[1664.72-1667.72] 应对变化的关键才是成功的关键
[1667.72-1669.72] 从个别的产业业景气来看
[1669.72-1672.72] 呃显示需需求大致持平
[1672.72-1676.72] 但商用部分有预计会成长
[1676.72-1680.72] 工业电脑跟资安网安方面需求稳定成长
[1680.72-1683.72] 那网通产业刚才董事长也讲过了
[1683.72-1685.72] 库存已经趋于健康了
[1685.72-1686.72] 逐步回温
[1686.72-1689.72] 然后从加斯达各个事业的情况来看
[1689.72-1692.72] IT及医疗的成长都能最为明显
[1692.72-1696.72] IT产业显示器家用部分需求比较保守
[1696.72-1699.72] 但是商用备货积极
[1699.72-1703.72] 整体而言第一季预估可以较去年同期成长
[1703.72-1705.72] 其中医疗事业方面
[1705.72-1708.72] 医院已经通过中国证监会上市的备案
[1708.72-1710.72] 那上市申请计划如下
[1710.72-1712.72] 如预期在进行中
[1712.72-1717.72] 去年第四季也已经完成对订定药局的增持
[1717.72-1720.72] 医疗通路的布局加速扩展
[1720.72-1722.72] 至于智能方案跟网通事业
[1722.72-1726.72] 已经从逐步景气的低点往上走
[1726.72-1729.72] 来布局中长期的成长机会
[1729.72-1732.72] 网通事业在新兴市场的专案已经量产
[1732.72-1734.72] 带来未来新的动能
[1734.72-1739.72] 也持续整并工厂提高营运的绩效
[1740.72-1746.72] 从 rebirthers
[1746.72-1749.72] 推广市场预测
[1749.72-1753.72] 和新 sixth-gallon deep classroom
[1753.72-1754.72] 志愿 Away
[1754.72-1756.72] what's left for the future
[1756.72-1769.72] 西显
[1769.72-1773.52] 加斯達過去已經宣布我們制定了345的目標
[1773.52-1777.72] 2030減碳30% 2040達到2100
[1777.72-1779.72] 就是百分之百使用再生能源
[1779.72-1781.72] 2050到達近0%
[1781.72-1785.72] 其他在社會面或公司制裡面也分別有董事會
[1785.72-1789.72] 訂定目標 我們積極在執行
[1789.72-1792.72] 正因為我們的重視跟努力
[1792.72-1796.72] 並且帶著大艦隊一起發揮這個綜合中效
[1796.72-1800.72] 所以我們的集團7家公司總共獲得35個獎項
[1800.72-1807.72] 其中包括我們再次入選標普永續年鑑
[1807.72-1809.72] 並獲得全球百分之五的肯定
[1809.72-1816.72] 在全球超過62個大產業 7690家企業的激烈評比
[1816.72-1820.72] 連接僅780家企業入選年鑑
[1820.72-1824.72] 加斯達此次獲得86分 較前一年進步5分
[1824.72-1825.72] 以優異的成績
[1825.72-1826.72] 殘聯
[1826.72-1831.72] 在全球最高項目的5%的位置
[1831.72-1837.72] 再度入選標普全球永續年鑑
[1837.72-1841.72] 另外在臺灣工部門的國發會頒發的最高永續獎項
[1841.72-1842.72] 國家永續獎
[1842.72-1848.72] 去年我們也獲得肯定
[1848.72-1852.72] 在這一頁是大艦隊夥伴的獲獎的成績
[1852.72-1853.72] 大家可以看到獎項名稱
[1853.72-1855.72] 無論是整體績效或個別項目
[1855.72-1858.72] 績效或報告書的揭露品質
[1858.72-1861.72] 都獲得外部單位的認同跟肯定
[1861.72-1863.72] 那我的報告就到此為止
[1863.72-1865.72] 那接下來在Q&A之前
[1865.72-1870.72] 我們先請各事業群總經理做簡短的進行報告
[1870.72-1875.72] 我們首先請IT事業群總經理薛道榮先生報告
[1875.72-1877.72] 大家好 我是薛道榮Daniel
