[0.00-5.72] T mankind
[90.00-93.60] 那我們就接下來把時間交給南亞團隊
[381.80-384.80] 主要都是以台灣佔的比重最大
[384.80-389.80] 兩個產品大概都是接近65%左右
[389.80-392.80] 至於右手邊的電子材料
[392.80-394.80] 以及鋸齒產品的部分
[394.80-398.80] 相對海外地區的營收貢獻
[398.80-400.80] 佔比是比較大一點
[400.80-405.80] 台灣的部分比重相對是稍微少一點
[405.80-407.80] 這給各位做一個參考
[407.80-410.80] 當然我們不同產業來講的話
[410.80-414.80] 我們所涵蓋的產品的重量也是非常的多
[414.80-418.80] 所以每個產品其實在不同的產業裡面
[418.80-421.80] 它的市場地位也不盡相同
[423.80-428.80] 這也是在合併營收的一個比較方面
[428.80-431.80] 我們用今年第一季分為
[431.80-434.80] YOI與QOQ做一個比較
[434.80-438.80] 在YOI的比較方面
[438.80-445.80] 今年的第一季合併營收是比去年的同期略為增加
[445.80-449.80] 最主要是在我們的四個產品裡面
[449.80-455.80] 電子材料部分受惠於AI及周邊產業的蓬勃發展
[455.80-459.80] 成長動盪相對比較強勁
[459.80-464.80] 再加上鋸齒纖維、塑膠加工產品的營運
[464.80-468.80] 跟去年同期相比也有小幅增溫
[468.80-475.80] 所以整體今年第一季的合併營收是比去年同期好一點
[476.80-479.80] 至於QOQ的比較
[479.80-485.80] 今年第一季的營收比去年第一季的小幅減少
[485.80-491.80] 最主要的差異是第一季有碰到農曆春節假期
[491.80-496.80] 還有二月相對生產的天數比較少
[496.80-500.80] 再加上化工產業裡面有一些產線
[500.80-504.80] 在今年第一季有進行一些保養及檢修
[504.80-514.80] 所以整體營收的營收量稍微比去年第四季的減少
[517.80-523.80] 在稅情淨利方面也是分為YOI及QOQ的比較
[523.80-530.80] 今年第一季的稅情淨利比去年的同期稍微減少了一點
[531.80-535.80] 其中在營業利益本業的部分
[535.80-540.80] 其實是比去年同期成長了9.6億元
[540.80-542.80] 主要原因也是剛才有提到
[542.80-545.80] 最主要是在我們四大產品裡面
[545.80-551.80] 電子材料的表現是因為AI還有一些高階運算
[551.80-555.80] 傳輸的需求相對增加的幣度比較大
[555.80-560.80] 所以在這方面的莫利貢獻相對比較大一點
[560.80-565.80] 但是其他的因素包括權益法的投資的部分
[565.80-568.80] 還有外幣對應的部分
[568.80-572.80] 比去年同期相對是比較不利的
[572.80-576.80] 在權益法投資的部分減少了7.9億元
[576.80-580.80] 一眾佔的比較大一點是賣掉7.9億元的部分
[580.80-582.80] 減少了6.8億元
[582.80-586.80] 台速石化也減少了3.1億元
[586.80-590.80] 以及南亞科技減少了2.1億元
[590.80-595.80] 外幣對應的部分還是有對應
[595.80-601.80] 但是因為今年第一季台幣對美元的匯率免值的幅度
[601.80-604.80] 相較於去年來講稍微比較小一點
[604.80-608.80] 所以是跟去年同期比是不利的3.9億元
[608.80-611.80] 至於在銀行投資的部分
[611.80-618.80] 至於在跟上一季去年第四季稅前經歷的比較方面
[618.80-621.80] 同樣的在本業的營業利益方面
[621.80-625.80] 也是比去年第四季要來得好
[625.80-627.80] 增加了3億元
[627.80-631.80] 主要也是在今年第一季來講
[631.80-636.80] 包括電路板、通過機板等等的電子材料產品
[636.80-642.80] 因為AI網通、信用材料的需求相對比較好
[642.80-645.80] 而且今年第一季的銅價也上漲
[645.80-648.80] 拉抬的產品已經售價了
[648.80-654.80] 所以導致我們的獲利比較好地強漲
[654.80-656.80] 在權益行業的部分
[656.80-662.80] 今年第一季比去年第四季倒是增加了4.4億元
[662.80-665.80] 最主要的貢獻是來自於台速石化
[665.80-669.80] 今年第一季對我們的稅前經歷
[669.80-672.80] 共計算是增加了5.5億元
[672.80-675.80] 相對於去年第四季來講
[675.80-680.80] 外幣對應的部分也是跟去年同期一樣
[680.80-684.80] 因為今年第一季的台幣對美元匯率變值幅度
[684.80-687.80] 相較於上一季來講是比較小一點
[687.80-692.80] 所以同樣的外幣對應是鼓勵了3.9億元
[695.80-699.80] 至於美股英語也就是EPS的部分
[699.80-702.80] 今年第一季的EPS是0.06元
[702.80-709.80] 跟去年同期0.16元比較是有所減少的
[709.80-714.80] 這裡面當然最主要除了電的材料的部分
[714.80-719.80] 是有比去年同期獲利有增加以外
[719.80-721.80] 最主要是剛才講的台速石化
[721.80-725.80] 麥寮系列等投資收益的部分
[725.80-729.80] 相較於去年同期是下停了不少
[729.80-733.80] 還有包括剛才講的外幣對應的部分也減少
[733.80-738.80] 所以我們整體在今年第一季的EPS
[738.80-743.80] 是比去年同期來講稍微不理想一點
[743.80-749.80] 今年第一季跟去年第四季的EPS比較方面
[749.80-754.80] 是比去年第四季增加了0.02元
[754.80-756.80] 在本業的部分
[756.80-761.80] 相對主要是受到黑暗的產業的擴張
[761.80-765.80] 業界的加速相關的投資
[765.80-768.80] 以及同樣上漲推升的接上售價
[768.80-771.80] 所以都是我們電路辦
[771.80-775.80] 國際辦的電子材料產品的利益有增加
[775.80-777.80] 另外巨擇產品的部分
[777.80-780.80] 也因為美國關稅問題
[780.80-785.80] 當地客戶提高當地的採購品種
[785.80-788.80] 我們在南卡的那個巨擲纖維廠
[788.80-791.80] 在積極爭取訂單之下
[791.80-795.80] 相對營運的成果是比去年第四季要來得好
[795.80-797.80] 所以相對我們的第一季
[797.80-800.80] 比去年第四季的EPS是有所增加
[802.80-804.80] 至於在營業收入結構方面
[804.80-806.80] 我們以今年第一季
[806.80-810.80] 跟去年第四季的營收佔比的比重來分析
[810.80-812.80] 在電子材料的部分
[812.80-817.80] 相對是因為整個電子材料的量價
[817.80-821.80] 今年第一季比去年第四季是有增加的
[821.80-825.80] 主要的因素當然也都提到了
[825.80-829.80] 所以我們今年第一季的電子材料營收佔比
[829.80-831.80] 是達到42.8%
[831.80-837.80] 相較於去年市場的39.5%是有所增加的
[837.80-840.80] 至於在化工產品的部分
[840.80-845.80] 主要是因為部分的產線安排保養檢修
[845.80-849.80] 所以整個搶銷量是比去年第四季來得少
[849.80-853.80] 所以它的營收佔比相對有下滑
[853.80-855.80] 巨擲產品剛才也提到
[855.80-858.80] 因應美國關稅的問題
[858.80-862.80] 南加場的鋸子纖維廠有積極爭取
[862.80-865.80] 美國客戶的在地採購訂單
[865.80-868.80] 並且我們也適度的調升產品報價
[868.80-872.80] 所以整個鋸子產品的營收比重
[872.80-876.80] 是比去年第四季有所增加
[879.80-883.80] 至於在產業別的營業利益結構方面
[883.80-885.80] 上面這個表格
[886.80-890.80] 可以看到整個我們四個主要產品裡面
[890.80-893.80] 目前在第一季是電子材料
[893.80-898.80] 還有塑膠加工的產品是有獲利貢獻
[898.80-901.80] 至於在化工產品及鋸子產品
[901.80-906.80] 目前在第一季是處於一個虧損的情況
[906.80-909.80] 底下的OP Margin的變化部分
[909.80-914.80] 也是跟上半部的標準一樣
[914.80-917.80] 我們也看到以電子材料來講的話
[917.80-921.80] 第一季的OP Margin是1.7%
[921.80-926.80] 其實這個表現相對於去年同期來講的話
[926.80-928.80] 是已經改善了許多
[928.80-932.80] 去年同期的比較是-3.5%
[932.80-935.80] 今年相對剛才提到這些相關的
[935.80-939.80] 因為產業因素的變化
[939.80-941.80] 所以今年第一季的表現是
[941.80-945.80] 已經比去年同期要來得好
[945.80-948.80] 至於在化工產品的部分
[948.80-950.80] OP Margin是-9.5%
[950.80-953.80] 最主要是因為受到剛才講的部分產線
[953.80-956.80] 在第一季有安排瓦陽解銷
[956.80-961.80] 所以相對它的產品利益會偏低
[961.80-964.80] 導致停工損失比較大一點
[964.80-966.80] 再加上整個產業來講的話
[966.80-969.80] 因為中國大陸地區這幾年的
[969.80-972.80] 不入境跟破件導致市場行情
[972.80-976.80] 相對以往來講是比較不利的
[976.80-981.80] 所以它第一季的OP Margin是-9.5%
[981.80-984.80] 至於在鋸齒產品的部分
[984.80-987.80] 今年第一季的部分
[987.80-990.80] OP Margin是-1.3%
[990.80-995.80] 當然跟去年的第二季第三季
[995.80-998.80] 是比去年第三季的證數來講
[998.80-1000.80] 表現比較差一點
[1000.80-1004.80] 不過如果以YOY或QOQ的比較來講的話
[1004.80-1006.80] 其實在鋸齒產品的部分
[1006.80-1010.80] 也已經因整個來講也有所改善
[1010.80-1016.80] 所以它的OP Margin也是逐步在改善當中
[1016.80-1019.80] 至於第四個塑膠裝置產品的部分
[1019.80-1021.80] 各位有可能知道
[1021.80-1023.80] 我們四個產品裡面
[1023.80-1028.80] 塑膠裝置產品的獲利相對比較不見
[1028.80-1034.80] 所以它的第一季的OP Margin是-7.7%
[1034.80-1038.80] 大概在平均的水準中使用
[1041.80-1045.80] 至於在今年第二季的市場展望
[1045.80-1047.80] 我們也分四個產品
[1047.80-1049.80] 跟各位做一個比重說
[1049.80-1051.80] 在電子材料產品方面
[1051.80-1057.80] 當然這是我們現在主要的產品種類
[1057.80-1060.80] 受惠於整個產業裡面
[1060.80-1066.80] 包括網通、車載、伺服器等等的需求相對比較穩定
[1066.80-1070.80] 再加上有部分的消費性電子產品
[1070.80-1072.80] 因為關稅貨品息的
[1072.80-1075.80] 所以短期採購動力相對比較強
[1076.80-1084.80] 導致在電子材料還有電路管等等的背褲的短期占是有比較增加
[1084.80-1087.80] 在化工產品的部分
[1087.80-1091.80] 在我們的主要化工產品裡面
[1091.80-1095.80] 其中儀樂存因為下游的劇指開動率
[1095.80-1100.80] 目前都還維持在相對比較高位的水準
[1100.80-1107.80] 所以目前儀樂存的產品市場行情也是還算穩定
[1107.80-1110.80] 另外在BPA名額分的部分
[1110.80-1115.80] 第二季已經完成了定期
[1115.80-1117.80] 可以重啟生產
[1117.80-1122.80] 整個我們的產銷量跟第一季相比是挺受不少
[1122.80-1125.80] 在劇指產品的部分
[1125.80-1129.80] 第二季已經進入了很用力的旺季
[1129.80-1134.80] 再加上因為美國對中國產品加徵的關稅
[1134.80-1138.80] 當地客戶就地採購的意願提升
[1138.80-1141.80] 所以我們美國的南卡產的部分
[1141.80-1144.80] 有就近爭取了一些訂單
[1145.80-1147.80] 至於在塑膠加工產物的部分
[1147.80-1150.80] 剛才有提到相對來講卡
[1150.80-1152.80] 它的意願是比較穩健
[1152.80-1155.80] 再加上之前大陸地區
[1155.80-1158.80] 為了刺激當地的經濟
[1158.80-1162.80] 特別有擴大刺激消費的政策
[1162.80-1166.80] 導致汽車家電產品的需求增加
[1166.80-1172.80] 另外也是因應美國地區因為關稅轉回在地產貨的需求
[1172.80-1177.80] 我們也是適度的設法提升在美國廠商的產能
[1177.80-1180.80] 增加塑膠加工產品的產銷量
[1183.80-1186.80] 至於在目前的擴建計畫
[1186.80-1189.80] 在今年必定可以完成的
[1189.80-1193.80] 包括聚酯力、離形膜
[1193.80-1196.80] 還有在美國的磁膠布
[1196.80-1198.80] 其他在今年當中的
[1198.80-1201.80] 包括大陸的貨車廠的通貨
[1201.80-1205.80] 以及台灣新港地區的太陽光點系統等等
[1205.80-1210.80] 後續當然我們也會因應整個產業的趨勢變化
[1211.80-1215.80] 還有經濟狀況也變得適時適地
[1215.80-1220.80] 來進行下一階段的一些相關的投資回報
[1220.80-1225.80] 這個在後續有機會再增加一些相關的資料給各位參考
[1225.80-1229.80] 這是簡單的跟各位說明一下
[1229.80-1233.80] 在今年第一季的整個營運的概況
[1233.80-1236.80] 接下來看各位有沒有什麼樣的問題
[1236.80-1239.80] 非常感謝南亞團隊的分享
[1239.80-1242.80] 如果各位先進有任何問題
[1242.80-1244.80] 歡迎提出討論
[1266.80-1270.80] 請教一下電子材料的部分
[1270.80-1274.80] 我看簡報上面是說因為關稅
[1274.80-1276.80] 我們有一些短期的動能
[1276.80-1279.80] 我不知道說我們目前能見度可以看到什麼時候
[1279.80-1283.80] 因為關稅可能7月之後可能就會有改變
[1283.80-1285.80] 不知道說我們看到的需求
[1285.80-1288.80] 目前看到有變化嗎
[1288.80-1291.80] 7月之後的改變其實現在目前還不曉得
[1291.80-1293.80] 但是整個產業來看的話
[1293.80-1299.80] 其實我們是相對比較看好電子材料產業的局塊
[1299.80-1304.80] 因為我們的產能剛才也提到說
[1304.80-1310.80] 在目前全世界來講的話排名都在前行
[1310.80-1315.80] 另外我們自己本身也有針對過去在電子材料方面
[1315.80-1317.80] 我們覺得比較不足的
[1317.80-1320.80] 也就是跟終端刻骨的接觸的部分
[1320.80-1324.80] 我們這兩年也有做一些加強
[1324.80-1328.80] 我們在內部成立了一個市場擴展小組
[1328.80-1332.80] 直接到下游的終端刻骨去跟他們下商
[1332.80-1335.80] 了解他們的需求
[1335.80-1342.80] 再跟他們共同開發後續階段的產品規格
[1342.80-1347.80] 所以其實我們跟原本在電子材料局塊裡面的
[1347.80-1351.80] 一些其他的同業競爭廠商有一些落差
[1351.80-1357.80] 現在逐步看起來已經慢慢在把這個GAMP收小當中
[1357.80-1361.80] 像我們之前講的那個CCR的部分
[1361.80-1365.80] 現在大家都知道它主要是以電信分級來講
[1365.80-1373.80] 我們目前大概主要是在到M6這個階段
[1373.80-1379.80] M7、M8的部分是在今年預計下半年就可以量產
[1379.80-1381.80] 目前在持續的認證當中
[1381.80-1385.80] 在更新的更高規的M7、M8的部分
[1385.80-1388.80] 這個也已經開始研發了
[1388.80-1393.80] 當然後續再看實際的情況再做更新
[1395.80-1398.80] 電子一般訂單的建築可以看到
[1399.80-1404.80] 電子其實現在目前訂單我所了解的其實都還不錯
[1407.80-1410.80] 然後鋸子產品跟塑料加工我想問一下
[1410.80-1413.80] 因為你剛剛講到提到就是關稅有利
[1413.80-1417.80] 可能美國跟中國之間它的關稅之前比較高
[1417.80-1422.80] 我不知道兩個國家之間的關稅降到30%之後
[1423.80-1426.80] 這個你看到的狀況有影響嗎
[1426.80-1432.80] 就是說客戶轉單或美國的這個需求有沒有變化
[1432.80-1435.80] 目前看起來確實是有所增加
[1436.80-1440.80] 雖然看起來目前的關稅也是比之前剛開始
[1440.80-1447.80] 川普總統提出的那個比較誇張的數字還是有比較降低了
[1447.80-1450.80] 不過畢竟還是增加了不少
[1450.80-1454.80] 所以我們是希望能夠利用在地生產的優勢
[1455.80-1461.80] 設法去爭取這些當地就地採購的一些訂單的需求
[1462.80-1465.80] 尤其是商人主力就是哪邊有利往那邊保護
[1466.80-1469.80] 雖然看起來增加的幅度不是那麼大
[1469.80-1472.80] 但是其實現在這個做生意
[1472.80-1475.80] 尤其這種比較屬於傳產的部分
[1475.80-1477.80] 它的獲利其實並不是很高
[1477.80-1480.80] 不過像一些電產業的部分
[1480.80-1483.80] 所以差個幾%就差很多了
[1485.80-1488.80] 這兩塊我們後續看到第三季來說
[1488.80-1493.80] 它的那個OP Margin 加動率部分應該都是比法制
[1493.80-1496.80] 往上就是OP Margin跟加動率
[1497.80-1502.80] 我們目前看起來第三季應該是旺季
[1502.80-1508.80] 當然這個是在基本的這個假設前提就是
[1508.80-1511.80] 不要有一些在突發性的一些狀況
[1511.80-1515.80] 像以色列跟伊朗這個衝突
[1515.80-1521.80] 是不是會持續多久或是會不會再加劇
[1521.80-1523.80] 這個我們也不清楚
[1523.80-1531.80] 如果說以目前看起來相對比較小區小範圍內的那些變化的話
[1531.80-1537.80] 這個產業區是至少不會受到太大的衝擊
[1538.80-1543.80] 其實目前之前講一開始關稅的問題
[1543.80-1548.80] 關稅現在其實看起來也沒有像原本的講法
[1548.80-1550.80] 像我那個強硬
[1550.80-1553.80] 畢竟大家也都陸續在跟美國在談
[1553.80-1557.80] 但是談出來結果怎麼樣大家還不曉得
[1558.80-1564.80] 在五月份其實影響比較大的是匯率部分
[1564.80-1572.80] 因為它那個匯率是在短短的時間內急速的升值
[1572.80-1577.80] 所以這個我相信很多的這個公司都面臨同樣的問題
[1577.80-1580.80] 尤其以外交為主的那些公司
[1580.80-1584.80] 大家都挫折不及根本沒有反應的時間
[1584.80-1588.80] 不過現在看起來是相對比較穩定一點
[1588.80-1592.80] 所以這個因素應該暫時看起來
[1592.80-1598.80] 它也可以慢慢慢慢去調適去適應就對了
[1600.80-1604.80] 我也想問一下台幣升值對我們的影響
[1604.80-1612.80] 台幣升值對我們的影響最主要是在消耗毛利以及美元資產的那個部分
[1612.80-1618.80] 消耗毛利因為通常我們從原料買進來以後到生產
[1618.80-1621.80] 銷售出去把貨款收回來
[1621.80-1623.80] 大概都要有三十個月了
[1623.80-1628.80] 所以在中間如果說這個匯率有升值的幅度比較大的話
[1628.80-1630.80] 當然這會不會受到一些影響
[1630.80-1635.80] 但如果長期來講的話其實因為我們蠻雅公司以去年度來看
[1635.80-1638.80] 我的外銷的消貨收入
[1638.80-1644.80] 跟我內購的原料的進貨費用相抵之後其實影響不大
[1644.80-1648.80] 大概是在幾千萬之間而已
[1648.80-1651.80] 那是講長期來看的話
[1651.80-1657.80] 但是在美元資產部分就比較不好說了
[1657.80-1664.80] 因為美元資產是擺在那邊大概一兩天之內提出升值那麼大的話
[1664.80-1666.80] 根本沒辦法處理
[1666.80-1668.80] 而且現在央行他又有一些措施在管制
[1668.80-1670.80] 為了維持貨率的穩定
[1670.80-1674.80] 之前講說一天只能賣兩千萬
[1674.80-1676.80] 現在變一千萬
[1676.80-1678.80] 針對不同的公司他又有不同的一些說法
[1678.80-1680.80] 一些要求
[1680.80-1684.80] 所以這其實我想大概每一家公司都在投套
[1684.80-1686.80] 針對這個部分要怎麼去處理
[1686.80-1688.80] 當然我們內部我們也針對這個問題
[1688.80-1692.80] 所以真的是問題不利的做了一些研究
[1692.80-1698.80] 試圖看怎麼樣去設法去避免這個不利的影響繼續擴大
[1718.80-1720.80] 好
[1748.80-1754.80] 跟您請教一下我們第三季的營收跟獲利這邊
[1754.80-1756.80] 有沒有什麼樣的看法
[1756.80-1760.80] 第三季我剛才大概有提了一下
[1760.80-1764.80] 我們認為第三季是我們旺季
[1764.80-1770.80] 在整個我們南亞公司的營收獲利戰役的結果來看的話
[1770.80-1774.80] 電子材料目前看起來還是
[1774.80-1780.80] 營收獲利的貢獻的一個部門
[1780.80-1782.80] 目前看起來剛才提到說
[1782.80-1786.80] 在整個電子材料其實我們也不止第三季
[1786.80-1792.80] 我們從今年開始到明年
[1792.80-1798.80] 我們內部有做了一些
[1798.80-1800.80] 一些研究
[1800.80-1802.80] 在整個我們的那個
[1802.80-1804.80] 不管是營收獲利來講的話
[1804.80-1808.80] 這一兩年的電子材料的曲線
[1808.80-1810.80] 都是直線的
[1810.80-1812.80] 斜率是往上的
[1812.80-1816.80] 我相信在整個電子材料後續的表現
[1816.80-1822.80] 應該會持續的相對比較好
[1822.80-1824.80] 至於在塑膠加碳的部分
[1824.80-1826.80] 相對是比較穩健的產品
[1826.80-1830.80] 所以它的洗浮波動應該不至於太大
[1830.80-1834.80] 大概都是維持在剛才講的
[1834.80-1838.80] 或是營收戰役或是它的公平挖掘相對比較穩定
[1838.80-1842.80] 另外兩個主要產品的部分
[1842.80-1844.80] 分別來看
[1844.80-1848.80] 其實產品其實我們現在主要是營業的全球
[1848.80-1850.80] 營業的全球的產品
[1850.80-1852.80] 其實產品其實我們現在主要是
[1852.80-1854.80] 營業的全球
[1854.80-1856.80] 推到這個ESG
[1856.80-1860.80] 經濟這個大方向
[1860.80-1864.80] 我們現在都是主力放在一些回收製品
[1864.80-1868.80] 我們講一些包括全球的回收
[1868.80-1870.80] 平對平的回收等等
[1870.80-1874.80] 我們現在整個的這個營業的重心
[1874.80-1878.80] 其實都是在這方面比較多
[1878.80-1880.80] 相對這個看起來
[1880.80-1884.80] 因為這跟潮流是比較符合的
[1884.80-1886.80] 所以後續來講
[1886.80-1890.80] 我們也看到在具體產品有不單一的
[1890.80-1892.80] 我們也看到OB-Module的表現
[1892.80-1896.80] 其實我個人看起來是
[1896.80-1898.80] 應該是有足不改善的一個情況
[1898.80-1902.80] 當然要達到說這個
[1902.80-1906.80] 獲利或是持續維持的話
[1906.80-1910.80] 而是需要經過一些持續的努力
[1910.80-1912.80] 不過至少在整個某個產品的研發
[1912.80-1914.80] 或是後續的一些
[1914.80-1916.80] 像我們剛剛講的
[1916.80-1918.80] 因為美國地區的一些區域因素的影響
[1918.80-1924.80] 相對對我們來講是比較有利的一個情況
[1924.80-1926.80] 至於在化工產品的部分
[1926.80-1928.80] 第一季看起來它是
[1928.80-1932.80] 因為相對比較嚴重的一條
[1932.80-1934.80] 不過它最主要是因為
[1934.80-1936.80] 第一季我剛剛提到是因為
[1936.80-1938.80] 有部分的產線保養維修跟關係
[1938.80-1940.80] 至於在第二季以後
[1940.80-1944.80] 其實我們現在大概都是全場在生產
[1944.80-1948.80] 這裡面比較可以拿出來講的
[1948.80-1950.80] 應該是我們講的
[1950.80-1952.80] 娛樂傳這個產品
[1952.80-1954.80] 娛樂傳這個產品目前看起來
[1954.80-1960.80] 整個表現是有相當大的一個改善
[1960.80-1962.80] 包括在台灣地區
[1962.80-1964.80] 雖然四套裡面我們只開了兩套
[1964.80-1968.80] 不過這兩套目前開啟以後
[1968.80-1970.80] 目前也都是在全場生產
[1970.80-1974.80] 它的那個獲利其實是有一種有所改善
[1974.80-1980.80] 當然最主要是因為在它的副產品的氣體
[1980.80-1983.80] 在台灣地區這兩場的氣體上
[1983.80-1986.80] 獲利的貢獻是比較大一點
[1986.80-1990.80] 那至於在NVG本身的產品方面
[1990.80-1994.80] 因為我們跟上游的那個塑化公司
[1994.80-1998.80] 有取得一個共識
[1998.80-2003.80] 就是我們雙方要能夠共同協力
[2003.80-2007.80] 所以在這個以西的技嘉方式方面
[2007.80-2009.80] 我們也有做一些調整
[2009.80-2012.80] 所以在這個以西的技嘉方式方面
[2012.80-2014.80] 我們也有做一些調整
[2014.80-2016.80] 我們也有做一些調整
[2016.80-2022.80] 再根據過去的那個依照輕油的價格
[2022.80-2024.80] 亞洲地區或是東南亞地區的
[2024.80-2026.80] 那個現貨價的技嘉公司來算
[2026.80-2031.80] 我們現在是在雙方都有邊供的情況底下
[2031.80-2035.80] 再探出一個技嘉公司
[2035.80-2038.80] 以目前這個以西的價格
[2038.80-2041.80] 還有現在NVG的成品售價來看好不好
[2041.80-2043.80] 其實如果正常生產
[2043.80-2044.80] 剛剛講全球生產的話
[2044.80-2048.80] 我們目前台灣這個EG
[2048.80-2050.80] 目前是有獲利的
[2050.80-2052.80] 已經有獲利的
[2052.80-2054.80] 那至於在美國地區的部分
[2054.80-2056.80] 美國地區我們也有兩個場合
[2056.80-2062.80] 其實以目前6月份來看的話
[2062.80-2065.80] 我們的EG-1其實應該是
[2065.80-2069.80] 可以達到水平還有效果
[2069.80-2072.80] 或者甚至效果獲利的一個情況
[2072.80-2074.80] 那EG-2的部分
[2074.80-2081.80] 最主要是它投產的時機相對比較不理想
[2081.80-2084.80] 它在2020年底開始投產
[2084.80-2086.80] 然後投產以後
[2086.80-2088.80] 因為它的投資金額比較大
[2088.80-2095.80] 所以相對它有百分一行帶來一些貸款
[2095.80-2100.80] 那不幸在前兩年
[2100.80-2105.80] 美國地區暴力升息
[2105.80-2107.80] 所以造成我們的EG-2
[2107.80-2112.80] 相對它的利息成本的負擔比較高一點
[2112.80-2117.80] 不過我們在去年有辦理一次限年政治
[2117.80-2121.80] 所以已經有降低它的貸款負擔
[2121.80-2124.80] 相對它的利息成本也降低了
[2124.80-2127.80] 再加上在美國地區的利息
[2127.80-2132.80] 各位都知道它的價格相對我們東北來講的話
[2132.80-2134.80] 是比較便宜的
[2134.80-2136.80] 價差其實也滿大的
[2136.80-2139.80] 所以以目前它的整個移民來看的話
[2139.80-2144.80] 如果說它能夠持續維持正常的全球生產
[2144.80-2148.80] 再加上包括NPG的產品售價
[2148.80-2152.80] 利息的價格如果沒有太大的變化的話
[2152.80-2159.80] 我們今年第四季應該是有機會轉回維銀
[2159.80-2162.80] 所以整個在NPG的部分
[2162.80-2165.80] 不管是台灣也好美國也好
[2165.80-2168.80] 整個營運相較於前兩年
