[30.00-34.00] 今天非常歡迎各位來到台新政卷
[333.00-341.00] 以上是臺中產業114年第一次盤說明會的相關資料的說明
[341.00-344.00] 請問各位有沒有需要提問的部分
[344.00-346.00] 請問這次有什麼資金
[346.00-348.00] 第一季
[348.00-349.00] 虧損
[349.00-350.00] 是
[350.00-353.00] 我們可以回到剛剛
[353.00-356.00] 各位應該還是比較關心我們第一季目前的狀況
[356.00-360.00] 主要是在今年的第一季跟去年第一季比較上面
[360.00-362.00] 雖然我們的營業收入有略微增加
[362.00-365.00] 但是營業成本比較高居不下
[365.00-368.00] 主要第一季目前影響最大的是
[368.00-371.00] 因為我們主要的原料是來自於玉米
[371.00-374.00] 玉米目前主要都是來自於進口
[374.00-378.00] 進口目前在海外進口的狀況之下的話
[378.00-380.00] 玉米的成本並沒有降低
[380.00-383.00] 再來就是國際因素的不確定性
[383.00-385.00] 主要是會在美國政權
[385.00-387.00] 美國政局目前比較不穩
[387.00-389.00] 所以我們在第一季其實
[389.00-394.00] 包括中國大陸跟美國的通膨壓力
[394.00-398.00] 還有目前大家對持續的消費採貨並不是非常理想
[398.00-401.00] 所以我們的很多出口的夥伴
[401.00-403.00] 目前面壓力也比較大
[403.00-405.00] 所以我們在今年第一季的狀況下
[405.00-408.00] 目前看起來是有稍微的虧損
[410.00-415.00] 第二季呢
[415.00-419.00] 其實今年第二季目前我們這樣展望
[419.00-421.00] 看起來還是比較偏保守
[421.00-425.00] 美國關稅政策目前還是非常有來不定
[425.00-428.00] 雖然我們並沒有做出口
[428.00-432.00] 但實際上美國目前的情況對全世界每個國家
[432.00-435.00] 跟各種行業其實影響都蠻大的
[435.00-438.00] 所以會造成包括美國跟中國地區的
[438.00-440.00] 主要消費國家的影響也會很大
[440.00-443.00] 它的消費會比較去於保守
[443.00-444.00] 像是對於台灣來講
[444.00-446.00] 目前的影響也是蠻大的
[446.00-447.00] 所以第一季第二季
[447.00-450.00] 我們目前的評估都還是比較保守的方向
[462.00-465.00] 好 如果還有其他的問題嗎
[470.00-476.00] 那非常感謝台信這邊及台銀公司
[476.00-479.00] 非常感謝各位投資先進的參加
[479.00-482.00] 今天的台銀產業股票協同事的反送明會
[482.00-484.00] 就到此一段落
[484.00-485.00] 那最後呢
[485.00-487.00] 預祝各位投資先進的話
[487.00-488.00] 投資順利
[488.00-489.00] 謝謝
[489.00-491.00] 謝謝 謝謝各位
