[0.00-4.76] 各位现场以及线上的投资先进
[355.68-360.68] 没有像去年这样子的一个就是说这种热潮拉货的一个热潮
[360.68-363.68] 所以说回到一个比较就正常
[363.68-371.68] 所以说它就整个就是说整个的话第一季的话整个大概差不多是359亿
[371.68-380.68] 那这个359亿的话实际上的话也是仅次于就是说去年将近500亿的一个历史次高
[380.68-385.68] 那我们来看就是说
[385.68-391.68] 整个各个类别的一个这个的产品
[391.68-394.68] 第一个的话就是enterprise solution
[394.68-398.68] 就是商用市场商用市场这边的话是9个percent的成长
[398.68-406.68] 那商用市场这边的话几乎各个区域除了香港以外其实都是成长的
[406.68-411.68] 那其中的话这9%的一个成长主要是来自于data center
[411.68-413.68] data center这边有大幅的成长
[413.68-414.68] 大幅的成长
[414.68-415.68] 大幅的成长
[415.68-419.68] 大概有将近50个percent的一个成长
[419.68-424.68] 那另外的话就是在网路资安的部分有一些成长
[424.68-431.68] 但是回头但是在其他的几个sector的话就是有小幅的一些衰退
[431.68-436.68] 那主要的话另外的话就是在商用的这个PC notebook
[436.68-439.68] 有比较相对比较多的一点的一个衰退
[439.68-444.68] 那整个这个device and consumer就是消费性市场
[444.68-449.68] 那这部分大概是差不多微乎3个percent的一个衰退
[449.68-457.68] 那在这个家用市场几乎各类别的产品其实都是衰退的
[457.68-467.68] 那同样的话其实在各个区域每个国家在这个家用市场这边也都是微幅衰退
[467.68-473.68] 所以说整个商用市场这个的一个衰退的话看起来是蛮比较多的一个衰退
[474.68-484.68] 平均的就是说在各种产品的类别那区域看起来就是大概都是有微幅的衰退
[484.68-491.68] 所以整个的话其实我想在第一季的话我们看到的话就是说整个在这个消费性市场的话
[491.68-501.68] 整个市场的一个需求购买其实是有一点就是说持平微弱这样子
[501.68-503.68] 那手机的部分
[504.68-507.68] 这边我们看到的话大概是2个percent的一个衰退
[507.68-513.68] 但是手机的话大概是就是说是分两部分
[513.68-517.68] 一部分的话就是大幅的成长
[517.68-521.68] 印尼在手机的部分的话大幅的成长
[521.68-526.68] 大概整个成长也是差不多将近50个percent
[526.68-532.68] 那这些成长来自于就是说Infinix另外的话将Moto
[532.68-533.68] Moto的手机
[533.68-534.68] 在印尼来说就是Moto的手机
[534.68-537.68] 在印尼的市场其实就是说成长非常多
[537.68-543.68] 那同样的衰退这边的话其实主要的话就是这个
[543.68-545.68] 这个台湾跟香港
[545.68-547.68] 台湾跟香港
[547.68-550.68] 那澳洲也衰退一些
[550.68-557.68] 那台湾跟香港的话主要的衰退就是都在三星的手机
[557.68-563.68] 那三星的话去年的话其实我想整个在S24的话相对的话其实在
[563.68-567.68] 香港台湾的话都销售的非常的不错
[567.68-573.68] 但是今年的话同样有星基S25相对的销售就就比不上去年
[573.68-576.68] 所以在这部分有比较大幅的一个衰退
[576.68-583.68] 那像在这个印尼这边的话其实整个手机大概成长9亿
[583.68-589.68] 那其实台湾香港这边大概整个神重的手机大概就是少了10亿
[589.68-592.68] 我说这边的话大概是差不多手机整个部分的话大概是10亿
[593.68-596.68] 还是差了1亿的一个状况
[596.68-599.68] 那原件的部分的话刚谈到
[599.68-602.68] 就是说我想主要的话就是在去年
[602.68-605.68] 去年是一个历史的新高
[605.68-607.68] 而且是将近500亿
[607.68-614.68] 那今年的话其实实际上只是回归到一个就是说正常的一个市场跟需求
[614.68-618.68] 但是相对来讲是差了大概是135亿
[618.68-623.68] 但是我们看就是说这个chart里头来看就可以看得到实际上的话其实
[623.68-628.68] 在第一季的这个的业绩的话
[628.68-630.68] 其实相对来讲的话
[630.68-633.68] 其实也是算是还不错
[633.68-636.68] 还不错的一个一个一个季度这样
[636.68-643.68] 再的话我们我们看一下就是说整个就是说各个区域
[643.68-647.68] 那整个大陆地区的部分的话
[647.68-650.68] 那在第一季的话是成长6个%
[650.68-653.68] 那这6个%主要的话
[653.68-656.68] 就是来自于商用
[656.68-658.68] 其实整个从各地区的话
[658.68-665.68] 我想我们先可以先看一下主要成长单位就来自于大陆跟这个印尼
[665.68-669.68] 那主要衰退比较大的主要是在香港
[669.68-674.68] 但是overall的话除了香港以外所有地区其实商用都是成长
[674.68-677.68] 但是家用其实都是衰退
[677.68-678.68] 都是衰退这样子
[678.68-681.68] 所以说大陆基本上的话成长主要是来自于商用
[681.68-683.68] 那商用的部分其实
[683.68-688.68] 整个大概是有大概多了20几亿21亿
[688.68-691.68] 但是相对的话其实在消费性市场这边的话
[691.68-693.68] 大概就是差不多差了3亿
[693.68-695.68] 差了3亿这样子
[695.68-699.68] 那整个这个商用市场的话
[699.68-703.68] 那当然整个成长主要就是来自于data center的需求
[703.68-704.68] data center的需求
[704.68-706.68] 那其他类别的产品大概是
[706.68-712.68] 除了持平持平小幅小幅的一个一个成长这样子
[712.68-714.68] 那再来的话纽澳地区的话
[714.68-716.68] 那刚好是持平
[716.68-719.68] 那这部分啊主要的话就是在商用市场这边
[719.68-722.68] 一样大概也有8个percent的一个成长
[722.68-725.68] 但是回头的话就是在消费性市场还有手机
[725.68-727.68] 这边都是衰退的
[727.68-730.68] 我说两个大概offset掉大概是等于持平
[730.68-735.68] 那印尼的部分的话其实是相对的话是表现比较好的一个区域
[735.68-739.68] 就是有来到这10个percent的一个成长
[739.68-741.68] 那同样也是创价了
[741.68-745.68] 就是同时持续的创价就是这个等于在
[745.68-748.68] 同季度的一个一个新高
[748.68-751.68] 那印尼的成长主要的贡献也是来自于
[751.68-755.68] 就是说这个商用市场跟手机
[755.68-760.68] 那他的这个consumer这边的话其实也是衰退的
[760.68-762.68] 那尤其是在pc notebook
[762.68-764.68] pc notebook这边
[764.68-768.68] 那台湾的部分的话大概是衰退了5个percent
[768.68-771.68] 那同样的话其实是商用市场
[771.68-772.68] 是成长
[772.68-777.68] 但是在手机的衰退加上就是消费性
[777.68-782.68] 就是家用市场这边的一个衰退
[782.68-786.68] 所以说total下来大概差不多是4.5个percent
[786.68-789.68] 大概是差了将近5亿
[789.68-790.68] 大概掉了差不多5亿
[790.68-793.68] 那香港的部分的话则是有比较大的一个差异
[793.68-800.68] 其实在商用市场这边的话其实有来到27个percent的一个衰退
[800.68-806.68] 那这边的差异最主要的话来自于就是说整个就是说在
[806.68-810.68] 商用的pc notebook还有就是说软体
[810.68-812.68] 软体部分的一个那个
[812.68-817.68] 那另外相对的话就是说像data center这边也
[817.68-819.68] 几乎没有什么成长
[819.68-823.68] 所以主要的衰退就来自于就是说像软体还有pc
[823.68-828.68] 那手机也刚谈过因为三星的关系其实大幅的一个衰退
[828.68-830.68] 那consumer
[830.68-837.68] 的部分的话consumer的部分的话其实大概是跟其他地区是
[837.68-841.68] 相近大概差不多将近5个percent的衰退
[841.68-846.68] 那这个的话一样也是各类产品大概个别大概4至6个percent
[846.68-848.68] 4至6个percent这样子的一个衰退
[848.68-852.68] 都是呈现衰退的一个状况
[852.68-856.68] 那再来的话生命contact我讲刚刚谈过了刚谈过了
[856.68-860.68] 那这个的话大概就是整个在各区域
[860.68-865.68] 整个的一个经营的一个一个概况的
[865.68-871.68] 那接下来我想我们就直接看一下这个整个就是说财报的一个部分
[871.68-876.68] 那财报部分的话当然如果想整个在整个第一季的话
[876.68-881.68] 整个业绩这边当然有到12个percent的衰退
[881.68-885.68] 所以说在这个毛利率的部分
[885.68-889.68] 虽然就是比去年同期是微幅的增加0.3%
[890.68-894.68] 但是其实是因为整个业绩的一个衰退
[894.68-898.68] 还是overall在毛利的部分大概有10个percent的衰退
[898.68-901.68] 那毛利率的话大概是4.37
[901.68-906.68] 那费用的部分费用的部分是比去年同期
[906.68-910.68] 大概多增加了大概差不多2000万
[910.68-915.68] 2000万但是因为整个的一个业绩的一个下滑
[915.68-919.68] 所以我们看到就是说整个这个OPEC的ratio是
[919.68-922.68] 来到2.3
[922.68-923.68] 2.3这样子
[923.68-927.68] 所以说整个我想在Operating income的部分的话是
[927.68-930.68] 在第一季来到18.8亿
[930.68-933.68] 那Ratio的话是降到说2.06
[933.68-934.68] 2.06
[934.68-936.68] 那这边的话等于是
[936.68-941.68] 跟去年YYY来比的话是有高达19个percent
[941.68-945.68] 19个percent的一个下降
[945.68-948.68] 那另外的话就是在这个
[949.68-954.68] JV Income这边就是我们在海外的这些
[954.68-957.68] 同业的一个投资的一个部分
[957.68-962.68] 那JV Income这边的话则是大幅的成长大概20个percent
[962.68-966.68] 回到大概5亿的一个收益这样子
[966.68-970.68] 那这个20个percent是也蛮平均的在
[970.68-973.68] 就是说印度、越南跟泰国
[973.68-978.68] 那几乎都是有差不多将近20个percent
[979.68-980.68] 的一个成长
[980.68-983.68] 那其中的话主要是泰国有比较高的成长
[983.68-991.68] 泰国大概有将近大概30几个percent的一个成长
[991.68-996.68] 所以说overall的话大概是20个percent的一个成长
[996.68-998.68] 那在利息的费用上面
[998.68-1000.68] 利息的费用上面的话
[1000.68-1003.68] 待会我们看到因为整个的确整个working capital
[1003.68-1006.68] 其实也是大幅的下降
[1006.68-1008.68] 所以说其实跟去年比起来的话
[1008.68-1014.68] 在利息的费用的话大概也是减少了大概是25个percent
[1014.68-1017.68] 所以整个在PVT这边的话
[1017.68-1019.68] 是来到了24亿
[1019.68-1021.68] 然后大概是2.65个percent
[1021.68-1024.68] 但是整个跟去年比起来大概
[1024.68-1027.68] 一样是差不多有12个percent的一个衰退
[1027.68-1033.68] 那PAT的话是18.3亿
[1033.68-1036.68] 那YY是17个percent的衰退
[1036.68-1037.68] 那PAT的衰退是
[1038.68-1040.68] 比PPT要高一点
[1040.68-1044.68] 最主要的话因为是PAC的一个
[1044.68-1046.68] 所得税的一个问题
[1046.68-1049.68] 那所得税这边的话其实在第一季
[1049.68-1052.68] 所得税并没有说是比较高
[1052.68-1054.68] 而是说去年第一季
[1054.68-1060.68] 因为有其他一些原因
[1060.68-1063.68] 所以说其实相对的话
[1063.68-1065.68] 其实在因为去年的第一季
[1065.68-1067.68] 它的一个税率相对是
[1068.68-1071.68] 是比较低的
[1071.68-1074.68] 所以说今年的一个TAG回到一个一般
[1074.68-1078.68] 但是这边还是影响到最后我们整个PAT
[1078.68-1083.68] 所以说美股盈余的话在今年第一季的话是1.1
[1083.68-1085.68] 是1.1这样
[1085.68-1088.68] 所以这个的话大概就是我们整个的一个
[1088.68-1092.68] 就是说第一季的一个经营财报
[1092.68-1095.68] 那再来我们来看就是说整个working capital
[1095.68-1098.68] 刚谈到的话整个working capital的话第一季
[1098.68-1102.68] 是在差不多将近760亿
[1102.68-1104.68] 那这个的话是
[1104.68-1106.68] 不大确定是不是一个历史性低
[1106.68-1108.68] 但是其实我们看到近三年来的话
[1108.68-1111.68] 其实是相对是一个非常低
[1111.68-1114.68] 相对非常低的一个数字
[1114.68-1118.68] 那这边我们看到的话其实像这个
[1118.68-1122.68] 在库存的部分也是低于就是说400亿
[1122.68-1125.68] 那虽然就是说从天数来看的话
[1125.68-1128.68] 其实是八数
[1128.68-1131.68] 相对并没有说特别的突出
[1131.68-1134.68] 那主要的话我想是因为整个我想
[1134.68-1138.68] 因为第一季的确就是说业绩相对的话是
[1138.68-1140.68] 是下滑比较多
[1140.68-1143.68] 但实际上的一个working capital已经降到就是说
[1143.68-1146.68] 是超过761
[1146.68-1148.68] 761这样
[1148.68-1152.68] 那这个的话就我想在Banch的几个
[1152.68-1155.68] indicator
[1155.68-1157.68] 那这边的话我想大概就是说看起来
[1158.68-1160.68] 就跟
[1160.68-1162.68] 跟往年
[1162.68-1166.68] 跟过去几季其实相对都其实是比较
[1166.68-1168.68] 还算应该蛮平稳的
[1168.68-1173.68] 那主要的话我想在第一季的话其实整个free cash flow
[1173.68-1174.68] 是一个震的
[1174.68-1177.68] 震大概将近121
[1177.68-1179.68] 121这样
[1179.68-1184.68] 那最后还是就说我想整个做一个recap
[1184.68-1187.68] 那当然今年第一季其实在
[1187.68-1190.68] 这张slide里头就坦白讲是
[1190.68-1193.68] 看起来并没有
[1193.68-1195.68] 并不太exciting
[1195.68-1197.68] 看来都没什么亮点
[1197.68-1201.68] 但是实际上的话其实就是说所有的这些指标
[1201.68-1204.68] 虽然就是说所有这些数字
[1204.68-1208.68] 不管从就是说我们从revenue gp
[1208.68-1209.68] 然后等等
[1209.68-1212.68] 这个opi等等这些来看的话
[1212.68-1214.68] 虽然看起来就是说
[1214.68-1217.68] 没有什么特别的亮点但是不管怎么样其实
[1217.68-1221.68] 这我所有的这些数字都是在历年来以后
[1221.68-1226.68] 历年来应该也是排在大概差不多第四第五
[1226.68-1230.68] 第四第五当然没有说是新高或次高什么等等
[1230.68-1232.68] 但是至少所以说
[1232.68-1234.68] 虽然没什么亮点但是
[1234.68-1238.68] 基本上的话其实我想整个这个的话应该还是算是
[1238.68-1241.68] 蛮稳健的还是算
[1241.68-1245.68] 相对还是算好的并不是说不好
[1245.68-1247.68] 并不是不好那只是
[1247.68-1251.68] 的确是看不到什么特别的亮点这样子
[1253.68-1257.68] 那最后我想还是就是说整个我们来
[1257.68-1262.68] 做一个就是说第一季跟历年的一个的一些比较
[1262.68-1264.68] 那我想整个gp的话
[1264.68-1266.68] gp ratio的话4.37
[1266.68-1269.68] 所以回头来看就是说过去
[1269.68-1275.68] 6年来其实整个4.37其实还是有相当的水准
[1275.68-1277.68] 还是并没有说在
[1277.68-1279.68] 有太大的一个差异
[1279.68-1283.68] 还是维持在一个就是说算是高档的一个部分
[1283.68-1285.68] 那opeg的部分
[1285.68-1289.68] 虽然ratio是来到了就是说这个
[1289.68-1293.68] 2.3但是其实我想整个来
[1293.68-1295.68] 那个的话其实也
[1295.68-1305.68] 不算特别的高不算特别高那刚也讲过说其实实际上在第一季opeg的话实际上其实跟去年相对来比的话其实实际上只是多了2000万
[1305.68-1307.68] 但是因为整个
[1307.68-1311.68] 业绩的问题所以说其实看到ratio稍微是比较高一点
[1311.68-1316.68] 所以整个opi的话还是维持在就两个percent以上是2.06
[1316.68-1320.68] 相对历年来看的话其实2.06也是算是在
[1320.68-1322.68] 在上面
[1322.68-1324.68] 就算是在上面
[1324.68-1333.68] 那再来我要讲内income这边的话就我想是维持在做两个percent
[1333.68-1335.68] 维持两个percent
[1335.68-1341.68] 那我想整个净值这边的话大概是10块3
[1341.68-1344.68] 也差不多
[1344.68-1352.68] 那鼓励的话我想主要就是那个应该就是已经announced也讲过几次
[1352.68-1357.68] 就说我想在去年的话我们大概还是维持我们还是有4块钱的一个鼓励
[1357.68-1362.68] 那整个一个payout ratio是有72个percent
[1362.68-1364.68] 所以说整个的话讲其实我想
[1364.68-1365.68] 整个我们
[1365.68-1367.68] 在过去三年
[1367.68-1369.68] 过去三年我们大概
[1369.68-1372.68] 整个鼓励大概差不多也有10块钱
[1372.68-1374.68] 大概10块钱的一个鼓励这样子
[1374.68-1380.68] 那再来的话我想在这个业绩的报告部分
[1380.68-1382.68] 那我想整个
[1382.68-1389.68] 就基本上我们是算是一个low risk的一个产业
[1389.68-1394.68] 那我想我们就follow整个一个政府要求的一个规范
[1394.68-1396.68] 那我们今年已经做完
[1396.68-1400.68] 就说整个母公司的一个所有的盘查
[1400.68-1404.68] 那明年的话就是会再加上这个这些
[1404.68-1407.68] 子公司投资公司等等的一个盘查
[1407.68-1413.68] 那我们也定出了就说我们在2030年的一个减碳目标
[1413.68-1417.68] 那我以上就非常快速的跟各位update
[1417.68-1423.38] 就说这个整个联想在第一季的一个经营状况
[1424.68-1427.68] 那 Sensei
[1427.68-1428.68] 肯定我是很不甘兴
[1428.68-1429.68] 给你一个理解
[1429.68-1432.68] 但是不愿意
[1432.68-1436.68] 看时回 Rose 那个去
[1436.68-1439.68] 把它抵达 behavioral
[1439.68-1440.68] 肯定是
[1440.68-1441.68] 大家做了随便批判
[1441.68-1442.68] Mentor  somos parte, van
[1442.68-1443.68] 感谢
[1443.68-1446.68] 感谢
[1446.68-1448.68] 那你如何
[1448.68-1450.68] 如果我们来看
[1450.68-1453.68] 这个不则生物
