[0.00-14.54] 各位投资先进午安
[355.94-357.94] 同样在2010年占比7.1%
[357.94-359.94] 同样在2010年占比7.1%
[359.94-361.94] 至2020年增长到9.9%
[361.94-363.94] 至2020年增长到9.9%
[363.94-365.94] 随着电动车崛起
[365.94-367.94] 推动汽车电子高功能化
[367.94-369.94] 2023年市场占比达到高峰13.2%
[369.94-371.94] 2023年市场占比达到高峰13.2%
[371.94-373.94] 2023年市场占比达到高峰13.2%
[373.94-375.94] 之后预计将保持稳定的成长
[375.94-377.94] 之后预计将保持稳定的成长
[377.94-379.94] 下表进一步显示
[379.94-380.94] Server和DataStorage
[380.94-382.94] 在2023至2028年间的年均复合成长率
[382.94-384.94] 在2023至2028年间的年均复合成长率
[384.94-386.94] 高达13.6%
[386.94-388.94] 为所有应用领域中成长最快的类别
[388.94-390.94] 为所有应用领域中成长最快的类别
[390.94-392.94] 为所有应用领域中成长最快的类别
[392.94-394.94] 而Automotive的年均复合成长率为4.4%
[394.94-396.94] 而Automotive的年均复合成长率为4.4%
[396.94-398.94] 同样为市场关注的焦点
[398.94-400.94] 同样为市场关注的焦点
[400.94-402.94] 同样为市场关注的焦点
[402.94-404.94] 接下来我们看
[404.94-406.94] 定义2024年第四季的营运概况
[406.94-408.94] 接下来我们看
[408.94-410.94] 定义2024年第四季的营运概况
[410.94-412.94] 首先是第四季的产品别销售分析
[412.94-414.94] 首先是第四季的产品别销售分析
[414.94-416.94] 以占比来看
[416.94-418.94] 汽车版为68%
[418.94-420.94] 增加了2个百分点
[420.94-422.94] 但金额没有显著的变化
[422.94-424.94] 而网络通讯及服务器
[424.94-426.94] 则减少了2个百分点
[426.94-428.94] 主因客户部分的需求
[428.94-430.94] 延后到今年的1月出货
[430.94-432.94] 延后到今年的1月出货
[432.94-434.94] 比于产品别的占比则维持不变
[436.94-438.94] 以技术别来看
[438.94-440.94] 以技术别来看
[440.94-442.94] 第四季HDI减少了2个百分点
[442.94-444.94] 主要是汽车和网络通讯及服务器的客户调整需求
[444.94-446.94] 主要是汽车和网络通讯及服务器的客户调整需求
[446.94-448.94] 主要是汽车和网络通讯及服务器的客户调整需求
[448.94-450.94] 接下来我们看
[450.94-452.94] 接下来我们看
[452.94-454.94] 第四季的合并损益表
[454.94-456.94] 第四季的合并损益表
[456.94-458.94] 第四季的营收为46.4亿元
[458.94-460.94] 第四季的营收为46.4亿元
[460.94-462.94] 较前一季减少了2.3%
[466.94-468.94] 较前一季减少了5个百分点
[468.94-470.94] 较前一季减少了5个百分点
[470.94-472.94] 主要是受到泰国厂量产初期成本的影响
[472.94-474.94] 主要是受到泰国厂量产初期成本的影响
[474.94-476.94] 大约是3-4个百分点
[476.94-478.94] 以及产品组合的变化
[478.94-480.94] 但随着泰国厂产量持续扩大
[480.94-482.94] 但随着泰国厂产量持续扩大
[482.94-484.94] 学习曲线攀升
[484.94-486.94] 以及高阶新产品于下半年陆续量产
[486.94-488.94] 以及高阶新产品于下半年陆续量产
[488.94-490.94] 将有助于毛利率的回升
[490.94-492.94] 营业费用为7.34亿
[492.94-494.94] 营业费用为7.34亿
[494.94-496.94] 较前一季增加8.6%
[496.94-498.94] 主要是黄石厂及泰国厂的研发人士成本增加
[498.94-500.94] 主要是黄石厂及泰国厂的研发人士成本增加
[500.94-502.94] 主要是黄石厂及泰国厂的研发人士成本增加
[502.94-504.94] 因此营业净利率为3%
[504.94-506.94] 因此营业净利率为3%
[506.94-508.94] 较前一季减少6.6个百分点
[508.94-510.94] 较前一季减少6.6个百分点
[510.94-512.94] 营业外收入及支出为1.1亿元
[512.94-514.94] 营业外收入及支出为1.1亿元
[514.94-516.94] 主要包括柜队收益约1.6亿元
[516.94-518.94] 主要包括柜队收益约1.6亿元
[518.94-520.94] 利息费用约1.1亿元
[520.94-522.94] 以及其他收入约为0.7亿元
[522.94-524.94] 以及其他收入约为0.7亿元
[524.94-526.94] 本期净利为1.71亿元
[526.94-528.94] 本期净利为1.71亿元
[528.94-530.94] 存益率为3.7%
[530.94-532.94] 每股盈余为0.6亿元
[532.94-534.94] 每股盈余为0.6亿元
[534.94-536.94] 每股盈余为0.6亿元
[536.94-538.94] 接下来看合并资产负债表及重要财务指标
[538.94-540.94] 接下来看合并资产负债表及重要财务指标
[540.94-542.94] 在资产方面
[542.94-544.94] 主要是不动厂房及设备增加29亿
[544.94-546.94] 主要是不动厂房及设备增加29亿
[546.94-548.94] 主要是泰国厂设备的增加
[548.94-550.94] 主要是泰国厂设备的增加
[550.94-552.94] 负债增加27亿元
[552.94-554.94] 负债增加27亿元
[554.94-556.94] 在投资泰国厂的过程中
[556.94-558.94] 我们一直谨慎的评估资金和负债的状况
[558.94-560.94] 确保营运资金及现金流的稳定
[560.94-562.94] 确保营运资金及现金流的稳定
[562.94-564.94] 之后随着营收获利的增加
[564.94-566.94] 负债比将随之改善
[566.94-568.94] 负债比将随之改善
[568.94-570.94] 股东权益的增加主要是因为第四季的获利
[570.94-572.94] 股东权益的增加主要是因为第四季的获利
[572.94-574.94] 重要财务指标方面
[574.94-576.94] 接较最近一期无重大的变动
[576.94-578.94] 接较最近一期无重大的变动
[578.94-580.94] 接较最近一期无重大的变动
[580.94-582.94] 接下来是合并现金流量表
[582.94-584.94] 接下来是合并现金流量表
[584.94-586.94] 起初现金38.06亿
[586.94-588.94] 营业活动之净现金流入减少
[588.94-590.94] 营业活动之净现金流入减少
[590.94-592.94] 主要是与营业活动相关的资产负债变动数减少
[592.94-594.94] 主要是与营业活动相关的资产负债变动数减少
[594.94-596.94] 主要是与营业活动相关的资产负债变动数减少
[596.94-598.94] 日本支出8.41亿
[598.94-600.94] 主要是泰国厂的设备购置
[600.94-602.94] 主要是泰国厂的设备购置
[602.94-604.94] 期末现金为28.49亿
[604.94-606.94] 自由现金流量为-8.32亿
[606.94-608.94] 自由现金流量为-8.32亿
[608.94-610.94] 接下来我们对第四季做个总结
[610.94-612.94] 接下来我们对第四季做个总结
[612.94-614.94] 以产品别来看
[614.94-616.94] 汽车版在第四季的占比
[616.94-618.94] 从前一季的66%增加到68%
[618.94-620.94] 从前一季的66%增加到68%
[620.94-622.94] 但金额没有显著的变化
[622.94-624.94] 网路通讯及服务器
[624.94-626.94] 则减少了两个百分点
[626.94-628.94] 主要是客户部分需求
[628.94-630.94] 延后到2025年1月出货
[630.94-632.94] 延后到2025年1月出货
[632.94-634.94] 其余产品别则维持其占比
[634.94-636.94] 其余产品别则维持其占比
[636.94-638.94] 从技术别来看
[638.94-640.94] HDI的占比从前一季的35%降至30%
[640.94-642.94] 从技术别来看HDI的占比从前一季的35%降至30%
[642.94-644.94] 主要是汽车版和网路通讯及服务器的客户调整需求
[644.94-646.94] 主要是汽车版和网路通讯及服务器的客户调整需求
[646.94-648.94] 第四季的营收受到客户年底休假的影响
[648.94-650.94] 第四季的营收受到客户年底休假的影响
[650.94-652.94] 较上一季减少2.3%
[652.94-654.94] 毛利率降低5个百分点
[654.94-656.94] 毛利率降低5个百分点
[656.94-658.94] 主要是受到泰国厂量产初期成本的影响
[658.94-660.94] 主要是受到泰国厂量产初期成本的影响
[660.94-662.94] 以及产品组合的变化
[662.94-664.94] 以及产品组合的变化
[664.94-666.94] 营业费用增加8.6%
[666.94-668.94] 营业费用增加8.6%
[668.94-670.94] 主要是黄石厂及泰国厂的研发人士成本增加所致
[670.94-672.94] 主要是黄石厂及泰国厂的研发人士成本增加所致
[672.94-674.94] 营业外收益为1.1亿元
[674.94-676.94] 主要包括汇兑收益约1.6亿元
[676.94-678.94] 主要包括汇兑收益约1.6亿元
[678.94-680.94] 利息费用约1.1亿元
[680.94-682.94] 以及其他收入约0.7亿元
[682.94-684.94] 以及其他收入约0.7亿元
[684.94-686.94] 金领为1.71亿元
[686.94-688.94] 美股盈余为0.6亿元
[688.94-690.94] 美股盈余为0.6亿元
[690.94-692.94] 美股盈余为0.6亿元
[692.94-694.94] 接下来我们看
[694.94-696.94] 2024年整年的绩效
[696.94-698.94] 2024年整年的绩效
[698.94-700.94] 在产品别表现上
[700.94-702.94] 汽车版占比为68%
[702.94-704.94] 轿车版占比为68%
[704.94-706.94] 较前一年微幅下降1%
[706.94-708.94] 但金额仍成长10%
[708.94-710.94] 但金额仍成长10%
[710.94-712.94] 展现稳健增长趋势
[712.94-714.94] 储存装置占比达50%
[714.94-718.02] 8% 较前一年提升一个百分点
[718.02-720.44] 金额则成长25%
[720.44-723.54] 主要受惠于资料中心需求的扩展
[723.54-728.56] 网络通讯及伺服器较前一年增加两个百分点
[728.56-731.86] 金额更大幅成长82%
[731.86-733.90] 反映市场需求旺盛
[733.90-736.12] 以及主要客户的业务扩张
[736.12-739.96] 电脑及周边则占3%
[739.96-742.32] 较前一年提升一个百分点
[742.32-744.78] 金额成长52%
[744.78-748.02] 主要受到AIPC崛起的带动
[748.02-753.00] 从技术别来看
[753.00-755.20] 2024年HDI的占比
[755.20-759.18] 由24%大幅提升到32%
[759.18-760.94] 增长8个百分点
[760.94-763.80] 金额更增加55%
[763.80-767.40] 主要受惠于HDI市场的蓬勃发展
[770.80-773.18] 接下来看合并综合损益
[773.18-774.72] 全年营收
[774.72-777.86] 达177.87亿元
[777.86-780.36] 年增13.2%
[780.36-783.96] 受泰国厂从建制到量产的影响
[783.96-786.86] 毛利率微幅下降一个百分点
[786.86-789.16] 至23.1%
[789.16-792.90] 营业净利率同步下降1.8个百分点
[792.90-795.16] 至8.6%
[795.16-798.24] 本期净利达10.51亿元
[798.24-800.96] 较去年成长4.7%
[800.96-803.94] 每股盈余达3.78元
[804.72-811.16] 接下来我们也对2024年全年做一个总结
[811.16-815.32] 2024年定在产品应用方面表现亮眼
[815.32-818.30] 尤其在网络通讯及伺服器领域
[818.30-821.92] 受市场需求强劲与主要客户的成长带动
[821.92-824.20] 营收大幅跃升82%
[824.20-826.16] 占比提增2个百分点
[826.16-828.38] 展现强劲的成长动能
[828.38-830.62] 此外AIPC的崛起
[830.62-833.60] 推动电脑及周边业务成长52%
[833.60-834.70] 数据组织业务成长52%
[834.72-836.12] 车车业务成长10%
[836.12-837.28] 车车业务成长10%
[837.28-839.08] 车车业务成长10%
[839.08-840.68] 车车业务成长10%
[840.68-842.28] 车车业务成长10%
[842.28-844.28] 技术层面上受惠于HDI市场的蓬勃发展
[844.28-846.96] 技术层面上受惠于HDI市场的蓬勃发展
[846.96-850.16] HDI营收大幅成长55%
[850.16-851.16] HDI营收大幅成长55%
[851.16-852.16] HDI营收大幅成长55%
[852.16-853.16] 占比从24%提升到32%
[853.16-854.16] 占比从24%提升到32%
[854.16-856.16] 进一步优化产品结构
[856.16-858.16] 展现公司卓越的技术能力
[858.16-860.16] 展现公司卓越的技术能力
[860.16-862.16] 2024年定全年营收达178亿元
[862.16-864.16] 2024年定全年营收达178亿元
[864.16-866.16] 年增13.2%
[866.16-868.16] 受泰国厂从建制至量产影响
[868.16-870.16] 受泰国厂从建制至量产影响
[870.16-872.16] 毛利率微幅下降1个百分点至23.1%
[872.16-874.16] 毛利率微幅下降1个百分点至23.1%
[874.16-876.16] 营业净利率同步下降1.8个百分点至8.6%
[876.16-878.16] 营业净利率同步下降1.8个百分点至8.6%
[878.16-880.16] 营业净利率同步下降1.8个百分点至8.6%
[880.16-882.16] 本期净利10.51亿元成长4.7%
[882.16-884.16] 本期净利10.51亿元成长4.7%
[884.16-886.16] 本期净利10.51亿元成长4.7%
[886.16-888.16] 每股盈余3.78元
[888.16-890.16] 每股盈余3.78元
[890.16-892.16] 展现稳健的获利能力
[892.16-894.16] 展现稳健的获利能力
[894.16-896.16] 展现稳健的获利能力
[896.16-898.16] 未来展望
[898.16-900.16] 未来展望
[900.16-902.16] 展望2025年第一季营收预计与前期持平
[902.16-904.16] 展望2025年第一季营收预计与前期持平
[904.16-906.16] 展望2025年第一季营收预计与前期持平
[906.16-908.16] 展望2025年第一季营收预计与前期持平
[908.16-910.16] 展望2025年第一季营收预计与前期持平
[910.16-912.16] 展望2025年第一季营收预计与前期持平
[912.16-914.16] 展望2025年第一季营收预计与前期持平
[914.16-916.16] 展望2025年第一季营收预计与前期持平
[916.16-918.16] 展望2025年第一季营收预计与前期持平
[918.16-920.16] 展望2025年第一季营收预计与前期持平
[920.16-922.16] 展望2025年第一季营收预计与前期持平
[922.16-924.16] 展望2025年第一季营收预计与前期持平
[924.16-926.66] 將成為主要成長動能
[926.66-930.96] 其中網路通訊與伺服器領域成長最為強勁
[930.96-933.76] 儲存裝置保持穩健增長
[933.76-936.26] 汽車業務則溫和提升
[937.76-940.66] 泰國廠的建制堪稱業界的壯舉
[940.66-943.26] 我們以光速完成建制
[943.26-946.16] 從打樁到投產僅用一年
[946.16-947.46] 發新紀錄
[948.16-950.86] 自去年正式亮頭產以來
[950.86-954.06] 儘管面對諸多前所未有的挑戰
[954.16-958.56] 我們持續提升目標產品的良率、品質與營收
[958.56-961.36] 全力朝著既定獲利目標邁進
[962.16-966.66] 泰國廠專注於高階多層板與高階HDI技術
[966.66-968.26] 產品應用涵蓋
[968.26-973.16] GPU、ASIC、Server、Switch、Satellite
[973.16-976.06] 及Automotive等關鍵領域
[976.06-980.06] 我們的目標是贏得國際頂級客戶的信賴與訂單
[980.06-984.06] 將泰國廠打造成為泰國PCB高階製程
[984.06-986.96] 規模最大、技術最先進
[986.96-990.96] ESG發展最成熟的PCB生產基地
[990.96-993.96] 持續強化永續經營能力
[998.96-1001.96] 接下來我們看電影在ESG的作為
[1004.96-1009.96] 首先電影入選標普全球2025年可持續發展年間
[1010.96-1013.96] 在電影所屬的電子設備、儀器與電子工具中
[1014.06-1015.96] 並且在電影組件類別中
[1015.96-1018.96] 共有233家公司接受評估
[1018.96-1021.96] 最終僅有19家公司成功入選
[1021.96-1024.96] 這是對我們努力的高度肯定
[1024.96-1027.96] 也是讓我們繼續前行的動力
[1030.96-1035.96] 電影榮獲2024年TCSA台灣企業永續獎
[1035.96-1037.96] 我們拿到兩個獎項
[1037.96-1042.96] 在綜合績效類拿到台灣永續企業G.O.獎
[1044.06-1047.96] 拿到電子資訊製造業第一類銀集獎
[1051.96-1054.96] 這一頁的獲獎肯定
[1054.96-1058.96] 上方這四個獎項是客戶給我們的
[1058.96-1062.96] 包括大陸汽車、LG InnoTech
[1062.96-1066.96] 日立樂金光科技以及AMD
[1067.96-1070.96] 下面四個是超影榮獲國家級
[1070.96-1073.96] 綠色供應鏈管理企業
[1074.06-1078.96] 為高階HDI版氣效聯合創新中心
[1078.96-1083.96] 被湖北省生態環境廳評選為綠標企業
[1083.96-1087.96] 以及榮獲湖北五一勞動獎項
[1093.96-1096.96] 在永續環境方面
[1098.96-1101.96] 黃石榮獲國家級綠色工廠
[1101.96-1103.96] 在最後一個欄位
[1103.96-1107.86] 是我們成立循環經濟產業研究中心
[1107.86-1111.86] 用於廢棄物的循環利用及減量處置
[1111.86-1113.86] 中間有三張照片
[1113.86-1115.86] 分別是我們二期太陽能發電
[1115.86-1117.86] 廢水生物處理
[1117.86-1119.86] 生化處理廢棄吸收處置等
[1119.86-1123.86] 內容很多來供大家參考
[1125.86-1127.86] 在社會方面
[1127.86-1129.86] 電影愛護每一位電影人
[1129.86-1131.86] 我們的同仁參與桃園市政府的電影拍攝
[1131.86-1133.86] 我們的同仁參與桃園市政府的電影拍攝
[1133.96-1135.96] 與桃園市政府的電影拍攝
[1135.96-1137.96] 有關工作與工作的職業
[1137.96-1139.96] 也有關工作與工作的職業
[1139.96-1141.96] 有關工作與工作的職業
[1141.96-1143.96] 也有關工作與工作的職業
[1143.96-1145.96] 每個場也持續辦理團建活動
[1145.96-1147.96] 每個場也持續辦理團建活動
[1147.96-1149.96] 建立正向的企業文化
[1149.96-1151.96] 每個場也都有
[1151.96-1153.96] 康樂活動和社團活動
[1153.96-1155.96] 以及內部講師的培訓
[1155.96-1157.96] 以及內部講師的培訓
[1157.96-1159.96] 和年中基優員工評選的表揚
[1159.96-1161.96] 和年中基優員工評選的表揚
[1163.96-1165.96] 和年中基優員工評選的表揚
[1165.96-1167.96] 在社會關懷方面
[1167.96-1169.96] 在社會關懷方面
[1169.96-1171.96] 在教育方面
[1171.96-1173.96] 我們有設立教育基金的捐贈
[1173.96-1175.96] 在社會關懷方面
[1175.96-1177.96] 我們有設立教育基金的捐贈
[1177.96-1179.96] 在慈善方面
[1179.96-1181.96] 我們股東會的紀念品
[1181.96-1183.96] 採用小瑤苗庇護工廠
[1183.96-1185.96] 以及桃園市自閉症協進會的手工香皂
[1185.96-1187.96] 以及桃園市自閉症協進會的手工香皂
[1187.96-1189.96] 其他的資訊也很多供大家參考
[1189.96-1191.96] 其他的資訊也很多供大家參考
[1193.96-1195.96] 謝謝劉總經理的簡報說明
[1195.96-1197.96] 謝謝劉總經理的簡報說明
[1197.96-1199.96] 接下來是Q&A的時間
[1199.96-1201.96] 貴賓如果要提問
[1201.96-1203.96] 請將您的問題輸到聊天視窗
[1203.96-1205.96] 請將您的問題輸到聊天視窗
[1205.96-1207.96] 詢問所有答疑者
[1207.96-1209.96] 目前公司這邊有收到一些投資先進的提問
[1209.96-1211.96] 請公司這邊可以開始進行回覆
[1211.96-1213.96] 請公司這邊可以開始進行回覆
[1213.96-1215.96] 好的 謝謝
[1215.96-1217.96] 有先進問到說
[1217.96-1219.96] 2025年全年營收的展望
[1219.96-1221.96] 我們目前預估
[1221.96-1223.96] 2025年營收是雙位的展望
[1223.96-1225.96] 我們目前預估
[1225.96-1227.96] 2025年全年營收是雙位的展望
[1227.96-1229.96] 有先進問到2025年車市的概況
[1229.96-1231.96] 有先進問到2025年車市的概況
[1231.96-1233.96] 根據營調機構的預測
[1233.96-1235.96] 根據營調機構的預測
[1235.96-1237.96] 2025年全年汽車銷售量
[1237.96-1239.96] 預計約為9000-9200萬輛
[1239.96-1241.96] 預計約為9000-9200萬輛
[1241.96-1243.96] 較2024年微幅成長2.4%
[1243.96-1245.96] 較2024年微幅成長2.4%
[1245.96-1247.96] 但從印刷電路板設計端來看
[1247.96-1249.96] 但從印刷電路板設計端來看
[1249.96-1251.96] 因應汽車電子化的趨勢
[1251.96-1253.96] 近幾年汽車客戶使用HDIC
[1253.96-1255.96] 近幾年汽車客戶使用HDIC
[1255.96-1257.96] 產品的平均售價逐漸提高
[1257.96-1259.96] 產品的平均售價逐漸提高
[1259.96-1261.96] 這使我們受惠
[1261.96-1263.96] 整體來看我們預計
[1263.96-1265.96] 今年汽車版營收仍是溫和成長
[1265.96-1267.96] 整體來看我們預計
[1267.96-1269.96] 今年汽車版營收仍是溫和成長
[1269.96-1271.96] 有先進問到第四季公司毛利率
[1271.96-1273.96] 比第三季減了5%的原因
[1273.96-1275.96] 比第三季減了5%的原因
[1275.96-1277.96] 公司如何看待今年毛利率的表現
[1277.96-1279.96] 公司如何看待今年毛利率的表現
[1279.96-1281.96] 第四季毛利率下降了5%
[1281.96-1283.96] 剛剛在簡報中有報告
[1283.96-1285.96] 泰國廠出奇的營運成本
[1285.96-1287.96] 影響了3-4個百分點
[1287.96-1289.96] 以及產品組合的變化
[1289.96-1291.96] 以及產品組合的變化
[1291.96-1293.96] 如HDI減少等因素
[1293.96-1295.96] 2025年上半年
[1295.96-1297.96] 毛利率仍會受到
[1297.96-1299.96] 泰國廠量產出奇的影響
[1299.96-1301.96] 預計隨著泰國廠學習曲線爬升
[1301.96-1303.96] 預計隨著泰國廠學習曲線爬升
[1303.96-1305.96] 以及高階產品在下半年陸續加入量產
[1305.96-1307.96] 以及高階產品在下半年陸續加入量產
[1307.96-1309.96] 下半年毛利率預計會有比較好的提升
[1309.96-1311.96] 我們的目標是要優於2024年
[1311.96-1313.96] 我們的目標是要優於2024年
[1313.96-1315.96] 我們有先進問到泰國廠目前的價動率
[1315.96-1317.96] 我們有先進問到泰國廠目前的價動率
[1317.96-1319.96] 我們有先進問到泰國廠目前的價動率
[1319.96-1321.96] 以及預計何時可以將泰國廠
[1321.96-1323.96] 以及預計何時可以將泰國廠
[1323.96-1325.96] 一起50萬產能填滿
[1325.96-1327.96] 泰國廠第一季的價動率大約是50%
[1327.96-1329.96] 泰國廠第一季的價動率大約是50%
[1329.96-1331.96] 高階產品在下半年會陸續加入量產
[1331.96-1333.96] 高階產品在下半年會陸續加入量產
[1333.96-1335.96] 預計下半年價動率會再往上
[1335.96-1337.96] 預計下半年價動率會再往上
[1337.96-1339.96] 至於達到滿載的時間點
[1339.96-1341.96] 要視客戶的需求狀況而定
[1341.96-1343.96] 要視客戶的需求狀況而定
[1343.96-1345.96] 要視客戶的需求狀況而定
[1345.96-1347.96] 還有先進問到公司第一季的
[1347.96-1349.96] 還有先進問到公司第一季的
[1349.96-1351.96] 價動率為多少
[1351.96-1353.96] 第一季訂單能見度有多長
[1353.96-1355.96] 第一季訂單能見度有多長
[1355.96-1357.96] 第一季集團的價動率大約是80%-85%
[1357.96-1359.96] 第一季集團的價動率大約是80%-85%
[1359.96-1361.96] 訂單能見度為一個月
[1361.96-1363.96] 訂單能見度為一個月
[1363.96-1365.96] 還有詢問泰國廠新產品認證
[1365.96-1367.96] 還有詢問泰國廠新產品認證
[1367.96-1369.96] 及客戶認證的進度
[1369.96-1371.96] 網通及伺服器的驗證
[1371.96-1373.96] 網通及伺服器的驗證
[1373.96-1375.96] 目前客戶持續在做
[1375.96-1377.96] 生產機盒及樣品驗證
[1377.96-1379.96] 產品包括了AI Server
[1379.96-1381.96] 產品包括了AI Server
[1381.96-1383.96] SERVER SWITCH 還有汽車版
[1383.96-1385.96] 目前已經有高階汽車版量產中
[1385.96-1387.96] 目前已經有高階汽車版量產中
[1387.96-1389.96] SERVER版小量產中
[1389.96-1391.96] 以及AI Server和SWITCH在打樣中
[1391.96-1393.96] 以及AI Server和SWITCH在打樣中
[1393.96-1395.96] 有先進問到泰國廠的毛利率
[1395.96-1397.96] 有先進問到泰國廠的毛利率
[1397.96-1399.96] 大概需要經過多久的時間
[1399.96-1401.96] 才能提升到公司的水準
[1401.96-1403.96] 或是預估的損評時間點
[1403.96-1405.96] 或是預估的損評時間點
[1405.96-1407.96] 或盈利的時間點
[1407.96-1409.96] 我們預估
[1409.96-1411.96] 至少需要一年的時間
[1411.96-1413.96] 達到損評
[1413.96-1415.96] 達到損評
[1415.96-1417.96] 達到損評
[1417.96-1419.96] 達到損評
[1419.96-1421.96] 有先進問是否能談一下
[1421.96-1423.96] 目前車用客戶
[1423.96-1425.96] 談價的狀況
[1425.96-1427.96] 想詢問第一季汽車版的降價
[1427.96-1429.96] 想詢問第一季汽車版的降價
[1429.96-1431.96] 對本季毛利率的影響有幾個百分點
