[0.00-4.64] 各位投资先进法人朋友午安
[544.52-548.10] 那今年前两个月我们已经公告的营收来看的话
[548.10-550.16] 商用大概是57%
[550.16-552.46] 那家用35%
[552.46-554.76] 那按摩椅的部分大概7%
[554.76-556.80] 那这个部分我们会看到说
[556.80-558.34] 奇怪商用怎么掉下来
[558.34-562.70] 掉到从去年的7成掉到57%
[562.70-564.48] 那这个其实是因为
[564.48-568.08] 家用的部分因为Bofres是在2024年5月
[568.12-569.92] 才开始定表嘛
[569.92-573.50] 所以在Bofres的部分
[573.50-577.08] 去年的1月2月没有Bofres的贡献
[577.08-579.12] 我们看到1 2月已经进来了
[579.12-582.20] 所以这个占比稍微有看到有跟
[582.20-585.02] 有一点不一样不过整体来看的话
[585.02-588.08] 我们觉得应该还是会差不多
[588.08-589.12] 大概也是会
[589.12-593.98] 全年度来看的话应该还会是在721这样子的一个
[593.98-596.02] 一个营收占比的状态
[596.02-598.08] 那为什么会这么说呢?
[598.12-601.70] 其实除了家用的Bofres的增加之外
[601.70-604.78] 其实在商用的部分我们在今年有新推出
[604.78-607.34] Mansions, Anis系列跟Vision的产品
[607.34-609.12] 这个在去年也都是没有的
[609.12-611.44] 所以这些当我们
[611.44-614.24] 这些产品逐渐推广到市场上去的话
[614.24-615.52] 其实这个对
[615.52-619.12] 乔杉来讲也是一个新的通路新的营收
[619.12-620.64] 的进账啦所以
[620.64-623.46] 我们觉得整体的那个营收配比应该
[623.46-625.76] 跟去年不会差异太大
[625.76-627.82] 好
[628.12-634.52] 好那再来就是我们的销售分析地区别
[634.52-637.60] 这个以往我们也比较少在揭露这个部分
[637.60-639.12] 那目前我们可以看到
[639.12-644.50] 就2024年来讲的话我们美国区不含拉丁美洲
[644.50-646.80] 美国区的营收占比大概45%
[646.80-648.60] 那欧洲是26%
[648.60-651.16] 那拉丁美洲是7%
[651.16-653.46] 那其他区域大概是22%
[653.46-658.08] 那其实我们两个年度来看我们可以很明显看到说拉丁美洲他其实
[658.12-661.70] 从去年20从2023年的5%的营收占比
[661.70-663.50] 已经拉高到7%
[663.50-668.10] 这也是呼应到我们刚刚提到的
[668.10-669.90] 就是说拉丁美洲他那边的
[669.90-674.00] 营收的爆发率所产生的一个影响
[674.00-678.08] 那再来看到我们整个去年的营运结果首先看的是第四季
[678.08-679.88] 那第四季我们其实
[679.88-684.74] 算还不错啦我们在2023年第四季EPS大概是2.16
[684.74-686.80] 那到去年的2024年
[686.80-688.08] 第四季营收
[688.12-690.16] EPS大概是5.9%
[690.16-693.50] 那其实算是状况还不错
[693.50-695.28] 那首先看到的是
[695.28-697.84] 毛利率有一些拉升
[697.84-700.66] 营收其实算成长的
[700.66-701.44] 营收
[701.44-704.50] YY成长还不错那把我们整个营业费用
[704.50-706.80] 的费用率其实是拉低
[706.80-708.34] 拉低了1.7%
[708.34-710.64] 那所以整个看下来就
[710.64-712.44] 还不错啦去年第四季
[712.44-715.26] EPS供现还不错那全年来说的话
[715.26-718.08] 营收大概是478亿嘛
[718.08-719.62] EPS大概是8块钱
[719.62-721.92] 那毛利率大概是在50.8
[721.92-725.76] 相较于2023年也大概多了2.4%
[725.76-728.06] 这个还蛮不错的一个比例
[728.06-730.62] 那费用率也比去年少了1%
[730.62-732.16] 这个是整体
[732.16-733.96] 2024年的一个
[733.96-736.26] 损益状况
[736.26-738.56] 那再来看我们分季的毛利率
[738.56-742.92] 我们可以看到从疫情期间的40.4或40.1
[742.92-746.24] 然后我们逐渐的在2023年开始逐渐拉升
[746.24-748.04] 那这段的拉升
[748.08-749.36] 主要是
[749.36-752.68] 这个部分主要是因为反映海运费的影响
[752.68-755.24] 以往海运费是倍数的成长
[755.24-756.78] 那这个其实
[756.78-761.64] 整个海运费是我们是放在我们的成本里面
[761.64-763.70] 所以它会影响到我们的毛利率
[763.70-767.80] 那后来这个海运费其实就慢慢
[767.80-769.58] 恢复到一个正常的状态了
[769.58-772.40] 那所以我们的毛利率也可以逐渐的拉升
[772.40-775.72] 甚至拉的比以前我们在疫情期间
[775.72-777.78] 48.9这个部分还要好
[777.78-779.58] 那这个里这边其实
[779.58-781.36] 除了海运费的因素之外
[781.36-782.64] 我们认为
[782.64-786.74] 我们整个家用的毛利率其实也是在往上走
[786.74-789.56] 那为什么家用的毛利率也会往上走
[789.56-791.86] 主要是因为我们的整个
[791.86-795.96] 家用的产线一直都拉到越南去做生产
[795.96-798.26] 那我们家用的
[798.26-801.58] 最主要的销售国家其实是在美国
[801.58-804.66] 那美国从中国出口到美国
[804.66-806.70] 在这一次的
[806.70-807.74] 分布上任之前的
[807.74-810.82] 关税占里面他本来就加增了7.5%
[810.82-812.34] 那可是在越南没有
[812.34-816.44] 所以其实我们在很早之前在2020年越南厂成立之后
[816.44-817.72] 我们就开始一直把
[817.72-823.10] 家用的这些产线一直往越南做移动
[823.10-824.64] 那所以我们其实在
[824.64-828.22] 关税这个部分就有了7.5%的结余
[828.22-829.76] 然后再加上说
[829.76-834.10] 越南的制造成本也相对的比上海那边要来的低
[834.10-837.18] 所以其实我们的整个
[837.18-837.70] 因为制造成本也相对的低
[837.70-838.72] 所以我们的整个生产的价格
[838.72-842.30] 其实对于我们的毛利有一些很显著的影响
[842.30-847.42] 那第二个就是我们家用在中端的销售价格也是往上在拉升
[847.42-849.48] 因为我们可能都只能卖到
[849.48-854.86] 799或599美金一台的这样子的一个价格带
[854.86-859.98] 那渐渐的这几年我们都已经打到一些比较高价位的一个价格带
[859.98-867.14] 那比如说999 1299甚至今年有进到1599的这样子的一个价位带放在这边
[867.14-877.38] 那其实这个部分对于我们的家用的毛利率的拉升也是非常的有帮助
[877.38-880.76] 那这个我们也其实也反映在我们这个分季的毛利率
[880.76-886.76] 这边有一个会看到有蛮显著的一个正成长
[886.76-891.46] 那可是我们看到第四季的时候反而比第三季大概掉了0.9%
[891.46-895.66] 那这边主要是我们在第四季的时候
[895.66-897.06] 我们出货给
[897.14-900.46] 我们的大型客户占比也算是蛮高的
[900.46-903.54] 那因为大型客户他比较有一家能力嘛
[903.54-908.82] 所以他量多的话其实对于我们的毛利率还是会有一些些微的影响
[908.82-913.82] 所以我们可以看到说这边大概有稍微比第三季差了一点点
[913.82-916.78] 不过都还是还稳稳的站在50%以上
[916.78-921.70] 那这个部分就是针对分季的毛利率跟大家做说明
[921.70-925.32] 那另外再提到刚刚我们一直在讲
[925.32-927.12] 我一直在讲说我们有新产品的毛利率
[927.14-929.18] 我们现在讲的是我们的商用市场
[929.18-932.14] 那商用市场我们现在打的是中间黑色这一块
[932.14-934.30] MATRIX这个是我们的Cole Market
[934.30-937.38] 那Cole Market他这边大概可能占了八九成在这边
[937.38-941.48] 那因为两边他都还有他的各自的一个市占率在
[941.48-943.78] 那首先是右边的是走高端的
[943.78-946.60] 我们采用MATRIX品牌的ANIS系列
[946.60-948.64] 那我们现在在攻这个部分
[948.64-954.02] 那这个部分目前逐渐有一些效果在了
[954.02-955.82] 我们现在在攻这个部分
[955.82-957.10] 那这个部分目前逐渐有一些效果在了
[957.14-964.82] 我们目前看到台中的洲际酒店他已经有拉着高端的这个器材
[964.82-969.68] 然后在伦敦的四季酒店他也使用了MATRIX品牌这样子的
[969.68-973.02] 那渐渐的其实就是可以看到这样子的结果啦
[973.02-975.58] 那不过我们的Cole Market还是在MATRIX
[975.58-977.62] 那这边相对你看这个图
[977.62-981.20] 这相对的ANIS他其实量跟MATRIX来比
[981.20-982.74] 他还是比较少一些
[982.74-986.98] 可是因为他这个是一个我们算是一个新的通路
[986.98-989.02] 我们也想往高端走嘛
[989.02-991.08] 所以这个地方我们也不想放弃
[991.08-994.40] 那左边的是Vision品牌
[994.40-996.96] 那以往的Vision品牌就是走清常用
[996.96-1000.30] 可是我们的产品线没有那么的完整
[1000.30-1006.44] 那我们从去年开始我们把Vision这个品牌的产品线一直扩大
[1006.44-1011.82] 然后扩大到他可以满足一个健身房的完整的需求
[1011.82-1015.66] 那也就是说你一个健身房开幕的时候你不用买到MATRIX
[1015.66-1016.42] 你如果有资金
[1016.98-1020.06] 没有那么多或者是你比较小型的健身房
[1020.06-1023.12] 你不在意你不想要用到MATRIX
[1023.12-1024.92] 那我们就是推荐他用Vision
[1024.92-1028.50] 那这个部分也就就是看啦
[1028.50-1031.06] 看健身房老板他们大概想要用什么样的
[1031.06-1032.60] 等级的一个产品
[1032.60-1034.64] 那耐用性也是OK的
[1034.64-1039.26] 只是他比较没有像MATRIX他有一些比较特别的设计呀
[1039.26-1043.60] 或看起来比较高科技的一些应用这样子
[1043.60-1046.16] 那这个就是我们在商用的部分
[1046.16-1046.94] 我们
[1046.98-1051.08] 用三个系列的一个布局
[1051.08-1053.64] 那这个就是我们ANIS系列的产品
[1053.64-1055.18] 那他今年也开始
[1055.18-1056.96] 重量训练器材也出来了
[1056.96-1058.50] 所以他算是也是
[1058.50-1060.30] 他虽然大概只有六台啦
[1060.30-1067.46] 不过大概FOR这些高端的健身房应该也算够用的这样子
[1067.46-1070.54] 那Vision就是我们刚提到的他就是FOR
[1070.54-1076.16] 比较平价比较预算没有那么高的健身房所使用的一个系列
[1076.16-1079.48] 那最后我们就是谈一下集团的展望
[1079.48-1081.80] 我们现在就是营收
[1081.80-1084.60] 在去年的表现看起来也还可以啦
[1084.60-1086.66] 那个营收表现还可以
[1086.66-1091.52] 那我们今年的展望就是说我们商用的新品牌刚提到的部分
[1091.52-1094.08] 我们可以依旧全通路的开发
[1094.08-1098.68] 那另外家用的多品牌经营策略的实践品牌影响力的提升
[1098.68-1101.76] 这个部分主要是在讲说我们原本的HORIZON
[1101.76-1102.78] 那跟
[1102.78-1104.58] 新加进来的Ballface
[1104.58-1106.12] 那以往我们会面临到的这个形势的提升是什么呢?
[1106.16-1106.68] 那就是说
[1106.68-1110.26] 客户A不想要跟客户B用同样的东西
[1110.26-1111.80] 那同样的品牌
[1111.80-1114.86] 那这样子其实我们多品牌的经营的话我们其实
[1114.86-1120.50] 用HORIZON跟Ballface可以去满足各个不同的客户的需求
[1120.50-1122.80] 那让我们的
[1122.80-1126.90] 让我们可能在客户端会比较更好经营一点
[1126.90-1129.46] 然后整个品牌的影响力其实
[1129.46-1133.04] 我们现在像Ballface他以往他比较
[1133.04-1135.34] 擅长的可能是在Cardio的部分
[1135.34-1136.12] 就飞轮的部分
[1136.16-1139.74] 那HORIZON比较擅长是在跑步机的部分
[1139.74-1144.10] 那我们大概现在就是会这样子各自大家的品牌的
[1144.10-1145.88] 专场跟他品牌的影响力
[1145.88-1147.94] 然后来做
[1147.94-1150.76] 多品牌的经营的一个策略这样子
[1150.76-1153.56] 那再来在毛利率的提升跟营业利益的提升
[1153.56-1156.12] 那首先其实我们前面也有提到就是
[1156.12-1159.46] 产品制造基地的配置的优化
[1159.46-1160.74] 那让我们的
[1160.74-1163.04] 制造厂的产能复合率能够提升
[1163.04-1165.08] 让生产成本降低
[1165.08-1166.12] 那这个部分
[1166.16-1168.46] 主要还是在健身器材的部分
[1168.46-1170.00] 我们刚提到说
[1170.00-1171.54] 我们有
[1171.54-1172.82] 大陆有两个厂嘛
[1172.82-1174.60] 那现在越南未来也会有两个厂
[1174.60-1176.40] 现在第二厂在进行当中
[1176.40-1178.44] 然后再搭配台湾的这些比较
[1178.44-1180.24] 高端的
[1180.24-1181.26] 商用的健身器材
[1181.26-1183.06] 那我们会做一个
[1183.06-1185.62] 很合理的配置那甚至会是
[1185.62-1188.68] 一个生产成本比较低的一个
[1188.68-1191.76] 制造基地的一个配置
[1191.76-1194.32] 那再来采购规模放大
[1194.32-1195.34] 然后我们
[1195.34-1197.14] 采购谈判能力增强
[1197.14-1199.94] 这个主要是因为BofS加进来之后
[1199.94-1203.78] BofS以往他没有自己的工厂
[1203.78-1205.32] 他都是对外采购
[1205.32-1206.34] 凹手性的
[1206.34-1210.18] 那我们现在再纳进来跟乔三体系的一起在
[1210.18-1212.74] 一起跟我们乔三原本也有一些
[1212.74-1213.78] 采购的
[1213.78-1215.06] 也有一些采购嘛
[1215.06-1217.36] 那所以我们两家并起来之后
[1217.36-1218.90] 整个采购规模其实
[1218.90-1220.42] 放得还蛮大的
[1220.42-1224.52] 那这样子我们还是可以跟厂商那边有一些谈判的筹码在啦
[1224.52-1225.30] 那
[1225.34-1227.64] 最后一个就是说高毛利几种占比增加
[1227.64-1229.94] 就是刚刚我们前面提到1599
[1229.94-1232.26] 从本来的599 799
[1232.26-1237.62] 提高到999 1299 1599美金一台的这样子的占比持续增加
[1237.62-1240.18] 那个这个对我们的毛利率
[1240.18-1242.74] 大概会有相当好的一个
[1242.74-1244.02] 帮助
[1244.02-1251.20] 那以上就是我今天的简报那谢谢各位的聆听
[1251.20-1255.30] 我们今天谢谢林经理这边为我们的法税会做这么
[1255.30-1258.88] 详细的说明那以上是我们今天的法税会内容
