[0.78-9.18] 各位投资先进午安,欢迎参加新路投资控股股份有限公司2024年第四季度法人说明会。
[154.14-159.96] 在各事业体的营收分配上
[159.96-161.58] 营建工程事业
[161.58-163.22] 大物工程这边的营收
[163.22-165.88] 跟前一年度相比是持平
[165.88-168.18] 在不动产开发事业
[168.18-170.62] 由于新建案完工交入金额
[170.62-172.04] 较前一年度减少
[172.04-174.08] 所以整体的营收下降
[174.08-177.54] 但环境工程及水资源处理事业
[177.54-178.90] 营收创新高
[178.90-182.96] 较前一年度成长了64.7%
[182.96-183.84] 这块业务在
[183.84-184.12] 2014年度成长
[184.12-185.22] 2014年的营收
[185.22-187.30] 占所有事业体的家总营收
[187.30-188.58] 已经超过了两成
[188.58-190.26] 那主要是来自于
[190.26-192.78] 陈希及乔头这两项专案的经建
[192.78-194.84] 进入高峰期所带来的营收
[194.84-197.88] 这个部分也带动了我们逐渐实现
[197.88-199.78] 更均衡及互补成长的
[199.78-201.38] 三大事业组合方向
[201.38-205.64] 在经历组合的部分
[205.64-207.44] 不动产开发事业
[207.44-209.14] 前面提到由于在去年
[209.14-210.74] 完工交入的金额较少
[210.74-213.14] 占金入投控合并营收比重
[213.14-214.10] 较前一年减少
[214.12-216.84] 但是这项业务本身的毛利率
[216.84-217.86] 是比较高的
[217.86-219.30] 那经历比较低
[219.30-220.68] 有一部分是反映了
[220.68-222.66] 推案预售的包括丰盐
[222.66-224.80] 端棚横幕等这些建案
[224.80-225.98] 受到市场青睐
[225.98-227.68] 销售的非常好
[227.68-230.12] 因此销售费用是增加的
[230.12-233.66] 那在还工及水资源处理事业
[233.66-235.50] 在营收创新高下
[235.50-238.92] 获利是较去年增加了34.6%
[238.92-240.84] 也是创下历年的新高
[240.84-243.24] 最后在营建工程的部分
[243.24-244.10] 是维持于稳定性的
[244.12-248.22] 维持稳定的获利
[248.22-250.22] 资产负债表的部分
[250.22-252.32] 去年全年合并总资产
[252.32-255.00] 我们增加了89.9亿元
[255.00-259.04] 第四季单季增加了34.1亿元
[259.04-260.14] 资产项目的增加
[260.14-263.12] 其中第一个主要是反映在存货上
[263.12-264.64] 由于不动产开发事业
[264.64-268.12] 我们持续投资在未来中长期的新建案
[268.12-270.48] 包括去年预售的这些建案上
[270.48-273.24] 同时我们在台中陆续取得两笔土地
[273.24-274.08] 包括我们在台中南区的建筑项目
[274.12-275.70] 还有北屯区丰溪段的土地
[275.70-277.52] 因此存货增加很多
[277.52-279.24] 还有北屯区周济段
[279.24-281.78] 这边主要是预付的土地款
[281.78-284.70] 那再来无形资产的客取权
[284.70-286.76] 这边我们增加了33亿元
[286.76-289.10] 这个是反映了环境工程
[289.10-290.66] 及水资源处理上
[290.66-292.86] 我们持续投入专案工程新建
[292.86-295.26] 这些来自包括政府
[295.26-297.92] 科学园区等特定预收专案的资产
[297.92-299.10] 为我们未来的预收
[299.10-302.12] 带来了良好的基础
[302.84-303.82] 最后关于
[304.12-306.20] 我们的税务税务的部分
[306.20-310.60] 我们2024年将配发每股1.05元的现金股利
[310.60-313.22] 股利发放率是74%
[313.22-315.00] 跟过去几年相当
[315.00-317.10] 股利发放日及除息日的部分
[317.10-319.22] 我们会在后续再做公告
[320.22-322.44] 接下来有我们的执行长张芳卿
[322.44-325.86] 为各位报告营运成果
[325.86-326.98] 谢谢
[326.98-327.90] 各位好
[327.90-329.56] 我跟各位报告
[329.56-333.96] 就是近期我们取得相当多的新案中
[334.12-335.94] 金额比较大的几个案子
[335.94-338.28] 那就是这边提到的
[338.28-340.10] 在营建工程事业
[340.10-342.98] 也就是大陆工程的部分
[342.98-346.34] 那我们取得了三个大案
[346.34-350.06] 都是从台北市政府这边取得
[350.06-354.08] 那有一个是我们的社会住宅的领域
[354.08-356.96] 那有两个是我们非常熟悉的
[356.96-359.12] 这个捷运的一个领域
[359.12-363.16] 那这些都是我们既有的业主
[363.16-365.82] 那他再度就是让我们有
[365.82-369.56] 再度把这个工程交付给大陆工程
[369.56-372.70] 那这个应该就是证明说
[372.70-375.76] 既有的业主是相当肯定
[375.76-377.02] 大陆工程的能力
[377.02-380.70] 而且这个我们的核心的能力
[380.70-382.74] 也跟我们政府业主
[382.74-385.08] 在政策的发展方向
[385.08-387.42] 还有一些资源投入的领域
[387.42-389.34] 是有相契合的
[389.34-391.92] 那我一一说明这三个案子
[391.92-393.14] 那第一个案子
[393.14-400.26] 是台北市政府的这个南港机场社会住宅二区的这个工程
[400.26-402.88] 那这个金额有48亿
[402.88-404.76] 那对我们来说的话
[404.76-408.00] 因为这个南港机场社会住宅的一区
[408.00-411.40] 就是当初是由我们负责的
[411.40-415.36] 那这个是我们在社会住宅相关的领域
[415.36-417.64] 那再度拿到的这个新案
[417.64-419.90] 那对业主而言的话
[419.90-422.90] 这个是台北市政府非常重视的这个工程
[423.14-426.96] 就是这个东区门户计划的一个重大的计划之一
[426.96-431.96] 那业主在这个案件有相当多的循环经济的理念
[431.96-432.76] 从我们的角度
[432.76-434.76] 我们也会用我们的工程能力
[434.76-437.06] 包括是系统旅模
[437.06-439.78] 或是机电御主等工程能力
[439.78-444.80] 来帮业主实践它在循环经济相关的理念
[444.80-448.08] 那第二个案子跟第三个案子
[448.08-451.96] 就是这边有提到的这个是捷运台北捷运
[451.96-453.00] 南环座的这个工程能力
[453.00-455.00] 还有北环段CF670
[455.00-460.00] 还有北环段CF690B的这些
[460.00-463.00] 这两个区段标的这个工程
[463.00-467.00] 那这个金额分别是232亿
[467.00-471.00] 跟190亿在大陆工程的部分
[471.00-478.00] 那这个工程的内容都包括地下的车站
[478.00-480.00] 地下的隧道
[480.00-482.00] 还有一些机电的工程
[482.00-484.00] 这都是大陆工程非常熟悉
[484.00-487.00] 非常娴熟的一个领域
[487.00-493.00] 那我们这个轨道相关的业务
[493.00-500.00] 也就是大陆也是大陆工程的主要的一个努力的一个市场区块
[500.00-505.00] 所以我们等于说是在我们专注的核心的市场
[505.00-508.00] 透过刚刚提到的这三个工程
[508.00-510.00] 能够有更进一步的进展
[512.00-515.00] 那这个是大陆工程的部分
[515.00-520.00] 在不动产开发事业也就是大陆建设的部分
[520.00-528.00] 那我们在近期有取得台中市北屯区周季段的一个营建的用地
[528.00-532.00] 那这个就是台中的14期重划区
[532.00-538.00] 那我们在这个区域之前就已经有
[538.00-542.00] 我们现在正在持续预售的丰盐这个专案
[542.00-547.00] 那我们这次在取得了1700平左右的地
[547.00-550.00] 就是紧邻着我们目前的一个建案
[550.00-553.00] 所以对这个当地而言
[553.00-558.00] 会是一个蛮好的一个大陆建设的一个品牌的接扩
[558.00-564.00] 那这个建地附近也有将近万平的四张梨公园
[564.00-567.00] 我们之前在跟各位报告丰盐的时候
[567.00-569.00] 也有跟各位报告
[569.00-571.00] 那另外
[571.00-572.00] 我们也很感谢
[572.00-575.00] 也很高兴能够跟各位报告说
[575.00-580.00] 我们大陆建设在新北市的横幕专案
[580.00-583.00] 已经顺利的完销
[583.00-587.00] 那这个专案我们后续会列出来
[587.00-591.00] 那也就让我们在2028年
[591.00-594.00] 能够准备好52.8亿的营收
[594.00-599.00] 那关于董事会近期的决议
[599.00-601.00] 刚才佟副总已经有说明
[601.00-609.00] 董事会决议配发每股现金股利1.05元
[609.00-611.00] 那也有公布
[611.00-614.00] 就是我们也有公告
[614.00-618.00] 在6月17号召开我们的股东常会
[618.00-625.00] 那下一页是我们每一季都定期跟各位报告的
[625.00-627.00] 我们的营收的存量
[627.00-630.00] 那如果线上有新朋友的话
[630.00-634.00] 那我想简单说明一下这个数字的意义
[634.00-636.00] 那这个数字是
[636.00-640.00] 就每一家公司每一个事业而言
[640.00-645.00] 是我们已经取得的一个专案
[645.00-649.00] 那已经得到的一个专案内容中
[649.00-652.00] 未来我们需要逐步实现
[652.00-654.00] 来取得的营收
[654.00-658.00] 那所以我们会用我们近期的财务表现
[658.00-660.00] 来看我们的营收
[660.00-661.00] 近期的表现
[661.00-664.00] 那会用我们的营收存量
[664.00-666.00] 来跟各位报告
[666.00-669.00] 中长期的营收相关的展望
[669.00-675.00] 那在营建工程也就是大陆工程的部分
[675.00-679.00] 大陆工程在去年年底
[679.00-685.00] 我们的营收存量达到了历史的新高1298亿元
[685.00-688.00] 那主要的原因就是刚才跟各位报告的
[688.00-693.00] 我们在土木的领域建筑的领域
[693.00-697.00] 都有取得了蛮多的新案
[697.00-701.00] 所以这整个金额叫我们去年
[701.00-704.00] 增加了316亿元
[704.00-707.00] 那第二个是不动产开发事业
[707.00-711.00] 也就是大陆建设的营收存量
[711.00-718.00] 那我们在2024年年底是267亿元
[718.00-723.00] 那这也是大陆建设的一个历史的新高
[723.00-726.00] 在去年的四个季度
[726.00-731.00] 我们从2023年年底的123亿元
[731.00-734.00] 那我们是一路增加
[734.00-738.00] 连续创三季的历史新高
[738.00-742.00] 到年末到了267亿元
[742.00-744.00] 那刚好差不多就是两倍
[744.00-747.00] 等于说过去的
[748.00-752.00] 一年中大陆建设就把我们的backlog
[752.00-756.00] 就是达到两倍
[756.00-761.00] 那所谓什么是大陆建设的营收存量呢
[761.00-767.00] 这个是大陆建设已经卖出去的预售屋
[767.00-770.00] 但是因为我们要到成屋的时候
[770.00-772.00] 最后交屋的时候
[772.00-775.00] 才可以认列营收跟获利
[775.00-778.00] 意思是说大陆建设目前手上
[778.00-784.00] 有差不多是267亿的营收额
[784.00-790.00] 而且这都是已经签约的合约
[790.00-793.00] 等到房子盖完了交屋的时候
[793.00-798.00] 就可以很安稳的认列营收跟获利
[798.00-801.00] 这个是大陆建设的部分
[801.00-806.00] 那另外是环境工程及水资源处理事业
[806.00-808.00] 也就是新达环工
[808.00-814.00] 那新达环工的营收存量是647亿元
[814.00-819.00] 那接下来跟各位报告的是
[819.00-822.00] 营建事业也就是大陆工程
[822.00-825.00] 我们报告的是接下来一年
[825.00-830.00] 2025年我们会主要工作的一些专案
[830.00-835.00] 那跟2024年比
[835.00-837.00] 因为我们很多的专案都是
[837.00-842.00] 比较长期的需要好几年能够完成
[842.00-845.00] 那我想我主要跟各位报告就是
[845.00-850.00] 因为上一季跟各位说明的是2024年的专案
[850.00-854.00] 那2025年的专案主要是增加了
[854.00-858.00] 第一个是桃园铁路地下化
[858.00-862.00] 在土木工程这个区块
[862.00-866.00] 那第二个是在右边这个建筑工程的区块
[866.00-871.00] 就是一个很大的一个这个都更案
[871.00-874.00] 那是南港国际单元役
[874.00-881.00] 这是我们在2025年的工作的主要的新增的两个专案
[881.00-888.00] 那这是我们在2024年去年所取得的新案
[888.00-894.00] 那在今年都会是我们主要工作的专案之一
[894.00-895.00] 那这是
[896.00-898.00] 大陆工程的部分
[898.00-904.00] 那在不动产开发事业也就是大陆建设的部分
[904.00-911.00] 那我们跟过去一样会先从先各位报告是住宅的部分
[911.00-915.00] 然后再跟各位报告的是商业不动产部分
[915.00-917.00] 我们目前的投资组合
[917.00-921.00] 那住宅的部分也是会跟各位说明
[921.00-925.00] 我们目前的成屋还有我们接下来三年
[925.00-928.00] 我们看得到可以认业的专案
[928.00-932.00] 那还有我们已经整合完成或是土地购买完成
[932.00-937.00] 那我们日后规划完会陆续退出的一些存量
[937.00-944.00] 还有一些我们日后更中长期可以实现的部分
[944.00-946.00] 那在成屋的部分
[946.00-951.00] 我们这几个案子卓白保格利格跟上瑞
[951.00-954.00] 那都是有在持续的销售
[954.00-960.00] 那而且我们在2024年这四个案子的销售的量
[960.00-962.00] 都比2023年更多
[962.00-969.00] 那我们任何的成屋销售都是当期可以认列营收获利的
[969.00-974.00] 那所以这个部分也是我们专注在销售的区域
[974.00-978.00] 那在接下来跟各位报告的是
[978.00-984.00] 我们接下来三年主要规划认列的这个项目是
[984.00-985.00] 这个专案
[985.00-990.00] 那这个跟上一季不同的地方主要是
[990.00-995.00] 捐礼那已经在今年交入完毕
[995.00-999.00] 那接下来看得到说我们2025年
[999.00-1002.00] 会有这个三个主要的专案
[1002.00-1009.00] 那26 27各自都有排定相关的专案来认列营收跟获利
[1009.00-1013.00] 那再往下就是
[1014.00-1017.00] 就是2028年跟以后
[1017.00-1025.00] 那因为我们整个对我们这个建设不动产开发事业
[1025.00-1028.00] 我们在准备这个营收获利
[1028.00-1032.00] 已经一路是准备到2030年或2031年
[1032.00-1036.00] 那我们也把这个比较中长期的专案跟各位报告
[1036.00-1039.00] 那除了我想跟上一期
[1039.00-1043.00] 跟上一个季度跟各位报告的时候
[1043.00-1045.00] 这个表格主要的变化
[1045.00-1049.00] 第一个是我们这边有标示
[1049.00-1053.00] 刚刚有跟各位报告的是横幕的完销
[1053.00-1055.00] 那这是第一点
[1055.00-1059.00] 那第二点我们这边也有在增加
[1059.00-1064.00] 就是刚刚也有报告的我们取得新的土地
[1064.00-1068.00] 在台中市的第三行
[1068.00-1072.00] 北屯区周济段就是14期的这个土地
[1072.00-1075.00] 我们也是等规划完之后
[1075.00-1077.00] 会跟各位报告
[1077.00-1080.00] 那另外我们在新北市的部分
[1080.00-1082.00] 我们也有加入了一个是
[1082.00-1086.00] 新北市的第三行
[1086.00-1092.00] 第三列永和市长提区的这个案子
[1092.00-1095.00] 那这个案子是
[1095.00-1099.00] 环河东路
[1099.00-1100.00] 而且非常靠近符合河滨公路的这个路线
[1100.00-1101.00] 而且非常靠近符合河滨公路的这个路线
[1101.00-1103.00] 那这个案子是我们的一个合并公园
[1103.00-1107.00] 是我们面宽近百米的这个水岸的第一排
[1107.00-1112.00] 那这个是我们也是会在规划完之后
[1112.00-1114.00] 完成都更的程序
[1114.00-1116.00] 然后规划完之后
[1116.00-1119.00] 那我们也会之后也会退出
[1119.00-1125.00] 所以这个是我们2028年跟之后认列的一个专案
[1125.00-1128.00] 那在不动产开发的部分
[1128.00-1129.00] 我们对不动产开发的
[1129.00-1130.00] 就是我们的一个专案是
[1130.00-1135.00] 这个管理的方式跟后续的方式
[1135.00-1137.00] 是之前跟各位报告的
[1137.00-1140.00] 那如果是办公室相关的领域
[1140.00-1144.00] 可能是销售或是出租等等
[1144.00-1147.00] 那如果是在旅馆的部分
[1147.00-1153.00] 那我们会让旅馆能够先经营到一个比较稳定的状况
[1153.00-1158.00] 那再看就是有适当的时机可以做进一步的销售
[1160.00-1167.00] 那以上是不动产开发事业跟大陆建设的部分
[1167.00-1172.00] 那接下来跟各位报告的两个页面都是
[1172.00-1174.00] 环境工程跟水资源处理
[1174.00-1177.00] 也就是新达环工的部分
[1177.00-1179.00] 那这两个部分
[1179.00-1184.00] 这两页目前的状况大致都跟上一个季度
[1184.00-1186.00] 跟各位报告的时候相同
[1186.00-1188.00] 那我就不一一赘述
[1188.00-1190.00] 那所以
[1190.00-1198.00] 从新入投控的投资人的角度来看的话
[1198.00-1202.00] 那我想我们也会邀请各位就是
[1202.00-1206.00] 看我们每季定期公布的财务数字
[1206.00-1209.00] 那可以了解我们近期的一个表现
[1209.00-1213.00] 那也看我们每季都会定期公布的
[1213.00-1217.00] 每一个事业体的营收存量
[1217.00-1220.00] 来了解我们中长期的一些
[1220.00-1227.00] 的这些财务上面可能的一个表现的方向
[1227.00-1231.00] 那我想就是也就是在跟各位报告
[1231.00-1236.00] 就是从我们投控看我们三个事业体
[1236.00-1239.00] 在大陆工程
[1239.00-1241.00] 营建工程大陆工程
[1241.00-1245.00] 还有这个不动产开发的大陆建设
[1245.00-1250.00] 在这个季度都达到了这个历史形态
[1250.00-1257.00] 那就是让我们未来的这个相关的财务表现
[1257.00-1259.00] 能够有比较稳健的一个成长
[1259.00-1261.00] 那新达环工的部分
[1261.00-1264.00] 在一两年前它也曾经是
[1264.00-1268.00] 这个营收存量的历史新高
[1268.00-1272.00] 那现在已经把这个营收存量的历史新高
[1272.00-1275.00] 已经转换到他们真的实现了
[1275.00-1278.00] 在今年能够达到了一个
[1278.00-1280.00] 他营收跟环工的
[1280.00-1282.00] 获利的一个新高
[1282.00-1285.00] 那我想我们三个事业体
[1285.00-1287.00] 接下来也是会一样
[1287.00-1290.00] 能够非常努力的把我们已经到手的
[1290.00-1293.00] 这个非常丰沛的一个营收的一个存量
[1293.00-1298.00] 能够逐步能够在我们的营收跟获利中
[1298.00-1300.00] 能够表现出来
[1300.00-1302.00] 那回馈我们的股东
[1302.00-1306.00] 那以上是我们对各位的报告
[1306.00-1308.00] 谢谢张执行长及孔副总
[1308.00-1310.00] 本次的简报
[1310.00-1311.00] 到这里告一段落
[1311.00-1313.00] 接下来进入问答环节
[1313.00-1315.00] 请各位投资朋友
[1315.00-1317.00] 于直播画面右下角栏位
[1317.00-1318.00] 输入你的问题
[1318.00-1320.00] 我们将于整理问题后回复
[1320.00-1323.00] 请各位稍后片刻谢谢
[1335.00-1338.00] 线上有
[1338.00-1339.00] 有
[1339.00-1341.00] 一位先生
[1341.00-1342.00] 应该是先生
[1342.00-1345.00] 问说我们在
[1345.00-1348.00] 页面20
[1348.00-1351.00] 我们在未来三年
[1351.00-1355.00] 大陆建设交屋的这个表中
[1355.00-1358.00] 有端美
[1358.00-1359.00] 捐萃
[1359.00-1360.00] 丰时
[1360.00-1362.00] 这三个案子
[1362.00-1366.00] 那这段期间是否有客户
[1366.00-1367.00] 来解约
[1367.00-1369.00] 或是变更合约
[1369.00-1370.00] 没有
[1370.00-1373.00] 目前都没有客户来做一些
[1373.00-1376.00] 做一些建根
[1376.00-1378.00] 那另外就是
[1378.00-1379.00] 这三个案子
[1379.00-1382.00] 到我们的简报的资料
[1382.00-1386.00] 是规划在2025年开始认列
[1386.00-1390.00] 那就公司的规划是在哪一个年度
[1390.00-1392.00] 那我们这三个案子
[1392.00-1395.00] 其实应该主要都是在下半年
[1395.00-1396.00] 才会开始
[1396.00-1406.00] 认您
[1406.00-1407.00] ین
[1407.00-1416.00] zing
[1416.00-1417.00] CI
[1417.00-1420.00] integrator
[1420.00-1423.00] 7
[1423.00-1425.00] 上有
[1425.00-1428.78] 房地产的整体的大环境下
[1428.78-1432.72] 那大陆建设在2025年
[1432.72-1435.62] 是不是有持续购地的计划
[1435.62-1438.94] 那是不是有持续推案的计划
[1438.94-1441.84] 那我跟各位报告就是
[1441.84-1444.88] 大陆建设在2025年
[1444.88-1447.44] 目前我们还是希望
[1447.44-1449.88] 能够持续的开发新案
[1449.88-1451.80] 那当然新案的形式
[1451.80-1455.02] 包括购地或是合建等等
[1455.02-1456.52] 相关的一个形式
[1456.52-1459.52] 那另外在推案的部分
[1459.52-1462.24] 事实上我们今年已经排定
[1462.24-1463.44] 有非常多
[1463.44-1466.56] 有好几个是非常
[1466.56-1468.72] 我们认为非常强的一个建案
[1468.72-1470.88] 在各个地区
[1470.88-1474.70] 所以我们今年会持续的开发新案
[1474.70-1477.28] 今年也会持续的推案
[1477.28-1478.52] 以上说明
[1481.80-1498.56] 线上有投资人问到说
[1498.56-1500.52] 我们昨天有公告
[1500.52-1505.34] 会处分这个大台北的一个土地
[1505.34-1508.70] 那这些相关的细节
[1508.70-1511.12] 那第一个是这个
[1511.80-1514.56] 土地当然是没有在我们目前
[1514.56-1517.12] 已经规划的这个表格中
[1517.12-1519.48] 包括2024到2027
[1519.48-1521.40] 或是2028年以后
[1521.40-1523.96] 不然就不会去处分那个土地
[1523.96-1525.20] 那第二个就是说
[1525.20-1527.76] 关于这个土地的细节
[1527.76-1530.56] 我们可能是等到
[1530.56-1533.68] 最后真的是成交了之后
[1533.68-1536.60] 我们一定会做详细的公告
[1536.60-1537.92] 以上报告
[1541.80-1552.04] 线上有投资人询问到关于我们目前
[1552.04-1554.08] 成屋还有多少存量
[1554.08-1556.64] 那我们账上的成屋
[1556.64-1560.24] 目前大约还有70到80亿的存量
[1560.24-1564.84] 那都陆续持续的在销售中
[1564.84-1566.64] 以上报告
[1566.64-1568.80] 那现在我们的账上的存量
[1568.80-1569.96] 是什么样的
[1569.96-1571.76] 我们现在的账上的存量是什么样的
[1571.80-1582.04] 那现在我们的账上的存量是什么样的
[1582.04-1583.48] 线上有投资人询问
[1583.48-1586.58] 我们在美国旧金山饭店
[1586.58-1589.30] 刚才那个财务副总有提到
[1589.30-1590.40] 同副总有提到说
[1590.40-1592.32] 我们品牌的一个转换
[1592.32-1594.38] 那主要是
[1594.38-1595.66] 我们本来的品牌
[1595.66-1597.36] 是一个比较小众的品牌
[1597.36-1599.96] 那我们现在转换到
[1599.96-1601.50] 那个Hilton
[1601.50-1601.78] Hilton
[1601.78-1601.80] Hilton
[1601.80-1604.46] Hilton联盟下面的一个品牌
[1604.46-1606.26] 那转换了
[1606.26-1609.16] 我们是在去年12月的时候
[1609.16-1610.84] 完成转换
[1610.84-1613.74] 虽然因为转换品牌
[1613.74-1616.06] 会有一些一次性的一个费用
[1616.06-1617.92] 但是我们看
[1617.92-1618.70] 今年
[1618.70-1621.64] 前两个月的数据
[1621.64-1623.66] 旅馆在各方面
[1623.66-1625.54] 房价住房率等等
[1625.54-1628.04] 其实在相对于去年
[1628.04-1629.64] 同期都是
[1629.64-1631.72] 有更好的
[1631.72-1631.78] 品牌的
[1631.78-1632.80] 表现
[1632.80-1633.68] 那所以
[1633.68-1635.88] 那接下来当然我们
[1635.88-1638.22] 一两个月是非常短的时间
[1638.22-1640.88] 我们接下来会继续观察
[1640.88-1642.52] 整个市场的环境
[1642.52-1643.88] 还有就是
[1643.88-1645.88] 我们自己经营的
[1645.88-1648.98] 经营的各方面的这个努力
[1648.98-1650.84] 那以上是
[1650.84-1652.84] 旧金山的品牌的rebranding
[1661.78-1669.98] 那我们就来看看
[1669.98-1671.80] 现在我们的这个
[1671.80-1673.56] 新大环宫
[1673.56-1674.58] 现在我们的这个
[1674.58-1675.86] 新大环宫
[1675.86-1676.88] 的这个
[1676.88-1678.42] 新大环宫
[1678.42-1681.76] 在台南城西的焚化炉
[1681.76-1684.56] 是什么时候会开始营运
[1684.56-1687.90] 那照目前的规划是在明年的上半年
[1691.78-1694.08] 那现在我们的这个
[1694.08-1695.88] 新大环宫的这个
[1695.88-1697.92] 这个新大环宫的
[1697.92-1699.72] 这个新大环宫的
[1699.72-1701.26] 这个新大环宫的
[1701.26-1702.54] 新大环宫的
[1702.54-1703.30] 新大环宫的
[1703.30-1704.32] 新大环宫的
[1704.32-1704.84] 未来的
[1704.84-1706.62] 业务开发的方向
[1706.62-1707.14] 那
[1707.14-1709.18] 新大环宫在
[1709.18-1710.72] 会分成两大块
[1710.72-1713.54] 在这个民生
[1713.54-1715.84] 民生的污水的部分
[1715.84-1718.92] 那新大环宫目前的
[1718.92-1720.70] 业务包括是
[1720.70-1721.74] 民生污水的
[1721.74-1724.82] 来做的这个再生水的处理
[1724.82-1728.14] 那我们现在也有这个是
[1728.14-1730.18] 包括我们之前也有
[1730.18-1731.72] 工业废水
[1731.72-1733.78] 的废水的处理
[1733.78-1735.30] 那还有这个
[1735.30-1737.36] 相关的这个再生水的处理
[1737.36-1738.90] 也都是我们未来
[1738.90-1739.92] 会去
[1739.92-1741.20] 耕耘的方向
[1741.20-1744.78] 那事实上我们在刚刚提到的这些
[1744.78-1745.54] 我们也有
[1745.54-1747.86] 都已经具备了相关的能力
[1747.86-1751.18] 还有相关的案件
[1751.18-1751.70] 那
[1751.70-1755.28] 新大环宫这是水的部分另外在这个
[1755.28-1757.58] 废弃物处理的部分
[1757.58-1759.38] 那我们现在
[1759.38-1761.68] 也是刚刚有投资人询问的
[1761.68-1766.54] 我们之前拿到我们在这个领域的第一个新的案子
[1766.54-1768.34] 那我们这个案子
[1768.34-1769.36] 目前的
[1769.36-1771.16] 兴建非常的顺利
[1771.16-1772.44] 我们会在
[1772.44-1774.74] 明年的上半年
[1774.74-1775.76] 会开始
[1775.76-1778.06] 进入一个营运的阶段
[1781.70-1790.92] 现在有投资人询问说
[1790.92-1793.98] 大陆建设
[1793.98-1796.80] 是不是有受到整体
[1796.80-1799.36] 房地产管控的影响
[1799.36-1802.18] 或者是会不会因为这个影响
[1802.18-1808.06] 来去做任何的一些未来营运方向的改变
[1808.06-1809.86] 那
[1809.86-1811.66] 我们之前在
[1811.66-1814.98] 因为政府陆续在这个领域
[1814.98-1815.76] 有
[1815.76-1818.06] 不同的一些措施
[1818.06-1819.60] 那我们大概
[1819.60-1822.42] 我们的想法大概跟过去一样
[1822.42-1828.30] 就是当政府对这个房地产有更多的管控的时候
[1828.30-1832.40] 那可能会对我们来说可能是在
[1832.40-1833.42] 我们
[1833.42-1834.70] 一个
[1834.70-1835.98] 在品牌
[1835.98-1837.78] 上比较好或是
[1837.78-1840.34] 相对财务状况
[1840.34-1841.62] 比较稳健的
[1841.66-1843.70] 一个建商
[1843.70-1846.52] 可能有机会在这样的一个
[1846.52-1847.80] 试矿中
[1847.80-1850.10] 不管是在
[1850.10-1851.38] 整合新案
[1851.38-1852.66] 开发新案
[1852.66-1854.72] 购买土地上面
[1854.72-1856.00] 会
[1856.00-1858.30] 比较没有像过去
[1858.30-1859.84] 会遭遇到
[1859.84-1861.12] 比较多
[1861.12-1862.40] 的竞争
[1862.40-1863.42] 那
[1863.42-1866.74] 事实上是有机会帮我们的客户
[1866.74-1869.30] 取得更好的一个土地
[1869.30-1871.10] 或是更好的建案
[1871.10-1873.14] 来规划相关的产品
[1873.14-1875.46] 所以在竞争上面
[1875.46-1878.52] 应该是对品牌的建商
[1878.52-1881.60] 许多的品牌的建商应该是更有利
[1881.60-1886.46] 那另外我想也跟建商本身的定位相关
