[0.00-9.36] 各位投資先進大家好
[178.34-180.90] 目前是排在第八位
[180.90-185.50] 持股比例有達到0.9%
[185.50-191.14] 現在合計前十大股東持股比例有達到43.24%
[191.14-197.28] 那最近在前幾天5月20
[197.28-201.38] 野村的趨勢動能高息00944
[201.38-205.22] 有把中碳也納入成分股
[206.80-212.94] 公司的產品及應用這是煤化學工業的上中下游的產品關聯圖
[212.94-216.28] 中碳的產業就是在
[216.28-218.32] 中間的這個區域
[218.32-222.16] 那基本上我們就是把上游的煤焦油
[222.16-223.96] 氫油跟焦炭
[223.96-226.00] 然後我們就煉製成
[226.00-227.54] 軟液氫
[227.54-229.32] 雜分油跟精奶
[229.32-233.42] 那氫油系列就是本跟甲本那焦炭的部分就是矽焦炭
[233.42-235.48] 另外也把
[235.48-236.76] 軟液氫的部分
[236.76-240.86] 有做進一步的加工就是我們精炭材料的一個應用
[244.44-248.54] 在所謂精炭材料的這一塊我們是把軟液氫
[248.54-251.10] 是當作我們精炭材料的一個原料
[251.86-257.50] 那目前的主要產品包括了精緻力氫接向碳維球我們叫生球
[257.76-258.78] 或者還有
[258.78-263.38] 接向石墨碳維球就是熟球就是鋰電池的附體材料
[264.40-266.72] 另外我們從接向碳維球
[266.76-272.14] 才會衍生出先進碳材料跟等方性石墨塊材兩個新的產品
[274.18-276.74] 在整個精炭材料的產業鏈裡面
[279.82-284.42] 我們大概可以把整個產業鏈的價值大概稍微簡單介紹一下
[286.48-289.54] 從前面原料開始軟液氫的價格
[289.54-292.88] 一公斤大概在0.5 0.6塊美金
[293.12-296.46] 那如果生產到接向碳維球大概我們就可以賣出一公斤的產品了
[296.76-298.80] 大概大概要賣到兩塊美金以上
[299.58-305.72] 那如果做到接向石墨碳維球就可以做到大概
[306.74-309.30] 10塊左右10塊美金左右
[309.82-312.12] 那至於先進碳材料這一塊
[312.38-313.92] 那更可以達到
[314.16-316.48] 甚至於到30 40美元以上
[317.50-321.60] 所以整個精炭材料的高質化的交易非常大
[322.36-325.94] 那至於等方性石墨的這一塊因為
[326.76-327.78] 它有很高的價值
[328.30-329.06] 只是說
[329.32-333.16] 它的變化比較多可能會針對它的一個
[333.42-336.48] 機加工的難易度它的存化
[337.26-339.56] 有沒有存化或者表面的品質
[339.82-345.96] 或者甚至於有多少的耗材會切掉多少耗材等等所以整個價格是相對比較複雜
[346.22-348.00] 在這邊比較不容易做比較
[350.06-355.94] 那我們現在的碳材料核心產品大概都是從我們的接向碳維球去延伸出來
[356.76-359.06] 目前中碳在接向碳
[359.32-360.60] 的這個領域裡面
[361.12-365.20] 我們我們敢講是全球的一個
[365.46-366.48] 領先者
[367.26-373.14] 那這種介像系的碳材料是有其他競爭材料不容易達到的一些特性
[373.40-376.22] 那這個是讓我們碳材料在市場上
[376.72-381.34] 有它的獨特性然後可以找到它相對應的一個利基上的一個應用
[383.90-386.46] 好介紹公司的一個經營績效
[386.76-388.56] 在原料投入裡面
[389.32-392.64] 2024年我們煤酵油投入量23萬噸
[392.90-394.70] 較前一年增加2.2%
[395.20-398.54] 出新油的部分投入量8.4萬噸
[398.80-400.84] 較前一年減少7.7%
[401.36-403.14] 那以今年1到4月
[403.66-404.94] 煤酵油投入量
[405.20-406.98] 7.1萬噸
[407.76-410.82] 跟去年同期比較大概少了9%
[411.60-415.68] 新油投入量2.5萬噸也較去年同期大概減少
[415.94-416.72] 14%
[417.02-419.84] 那最主要是上油鋼廠的產出減少
[420.08-422.14] 導致於整個煤酵油
[422.64-424.18] 青油的產量減少
[424.96-429.30] 另外我們青油在海外的拓展比較不容易
[429.56-430.58] 最主要是
[430.84-433.40] 大陸石化業的一個大擴產
[433.66-436.72] 那跟我們一樣在競爭海外的一個料源
[436.98-438.78] 這邊是比較辛苦一些
[439.28-441.84] 那我們今年還是會從
[442.36-446.20] 印尼澳洲印度等這些其他的地區來進口青油
[446.76-448.04] 我們會再繼續努力
[450.60-454.44] 近三年的一個產品營收占比分析
[454.96-458.80] 那在2024年煤酵油產品53%
[459.04-460.84] 青油產品29%
[461.36-462.64] 碳材料10%
[463.40-465.20] 那煤酵油是占大宗
[465.44-470.56] 其中雜分油軟粒金跟粉真的是三大產品
[472.10-475.44] 今年的1到4月我們煤酵油的產品
[475.68-476.20] 占比
[476.76-478.80] 提高到59%
[479.32-482.14] 青油產品下滑到24%
[482.40-484.96] 碳材料是9%
[485.72-489.82] 那其中雜分油大概占到31%
[490.08-491.10] 這個最多
[491.86-493.92] 本的部分21%
[494.16-495.96] 然後另外軟粒金是18%
[498.26-502.62] 那這邊今年整個煤酵油的
[502.88-505.68] 占比上升青油占比下降
[505.68-506.72] 最主要還是
[507.02-507.78] 前面提到的
[508.30-511.62] 煤酵油跟青油原料供應
[512.14-513.42] 的差異所造成的
[515.46-520.58] 那至於碳材料方面我們本來是預期應該有一定的幅度成長
[520.84-521.36] 不過
[521.60-523.92] 目前整個全球
[524.16-527.24] 電動測離電池的一個成長是趨緩的
[527.50-531.34] 那大陸負極材料是有產能延伸外洩的狀況
[531.60-534.66] 競爭激烈所以這個部分成長不如預期
[535.18-536.72] 但後續的
[536.98-539.80] 發展的機會我們在後面會再說明
[542.86-546.20] 那整個產品的一個銷售狀況
[546.70-548.50] 煤化學的產品裡面
[551.06-552.08] 煤酵油產品
[552.34-556.44] 軟粒金目前是煉鋁的電子材料
[556.68-560.52] 那目前我們全部都是外銷到澳洲的一個場約客戶
[561.04-563.86] 那目前需求還算非常穩定
[564.12-570.26] 那在雜販油的部分主要是供應給做碳黑是汽車輪胎的
[570.52-574.10] 原料那目前內外銷大概接近一半
[574.86-576.14] 那外銷稍微多一點
[576.40-577.94] 外銷主要是到日本
[578.96-585.10] 金鈉的部分是供應做鈉丸跟顏料的染劑那以外銷為主外銷到東南亞是製成
[585.36-587.42] 鈉丸外銷到印度的部分
[587.92-589.98] 是做顏料染劑的使用
[590.48-593.82] 那目前我們也有一些項目東南亞
[594.12-597.44] 還有更多的國家有打進去然後
[597.70-600.52] 我們最遠也開始有到非洲的市場
[602.82-607.42] 在氫鈾的產品裡面本是整個石化業基本上有的原料
[607.68-611.26] 那用途很廣那國內的本目前還是不夠
[611.52-612.80] 靠進口
[613.32-615.36] 所以我們的本是全部都內銷
[616.14-621.50] 那甲本的部分主要是做容積使用那目前外銷是以新加坡為主
[622.02-623.30] 那矽膠碳的部分
[623.56-626.62] 我們100%供應給國內的客戶作為偵探劑
[629.70-635.84] 碳材料的一個銷售方面接向碳維球接向石墨碳維球就是附集材料
[637.12-641.74] 那是目前整個銷售的最大中大概占到
[641.98-642.76] 7成左右
[643.52-648.14] 2024年我們整個內外銷大概38比62
[648.64-653.00] 那今年來講內銷的部分會有大幅
[653.30-654.32] 的成長
[654.58-659.18] 我們內銷今年一到四月我們內銷大概增加到了49%
[659.44-660.98] 外銷51%
[661.50-666.36] 那外銷的部分是以中國大陸32%還有日本19%為主
[668.92-674.04] 剛提到的今年的整體銷售的狀況因為受到
[674.30-678.90] 中國大陸離電池產能過剩的影響整體表現是比較不好的
[679.42-683.26] 但是在下半年的部分我們的半固態
[683.56-684.58] 電池客戶
[684.84-688.68] 他的新產線大概即將會完工投產
[689.18-691.74] 現在試車的進度差不多了
[692.26-694.06] 大概下半年就會進入投產
[694.82-700.20] 那客戶這套新產線的規模大概是1.25G也就是說
[700.70-705.82] 如果全部投產大概需要的附集材料大概在
[706.08-708.38] 1250噸左右
[710.94-713.00] 那未來的部分
[713.56-716.38] 除了半固態電池之外我們有一個
[716.62-720.22] 3C高階手機的一個快充的需求
[720.46-724.82] 那另外日本客戶的產線的調整也差不多完成
[725.08-728.66] 所以預期下半年我們會迎來比較大的一個成長
[729.94-732.24] 在接向碳維球這一塊
[732.50-736.34] 基本上這算是我們的一個中間材料
[736.60-739.66] 所以還是以現有的老客戶供應為主
[740.44-742.48] 那我們另外也有
[742.74-743.26] 規劃出
[743.56-748.42] 供應給這種高級石墨快彩用的臨界碳粉目前有一些時機
[748.68-750.98] 那這個接向碳維球的部分
[751.74-754.06] 鏈外銷比大概45比55
[754.30-755.84] 外銷是以中國大陸為主
[756.86-763.02] 那靜置力輕主要是作為石墨偵探劑比如說鏈鋼電極棒靜置加工這樣的用途
[763.78-765.82] 那目前就是100%外銷
[766.34-767.88] 那不過
[769.66-773.26] 今年的部分因為整個鋼鐵不景氣的一個影響
[773.56-774.06] 電鋼
[774.58-778.42] 鏈鋼需要的電極需求是下滑的蠻嚴重
[778.94-782.00] 而且價格的競爭非常激烈
[782.52-787.12] 所以我們靜置力輕今年的銷售量是減少的幅度相當的大
[789.18-793.52] 那再來是我們開發的潛力商品先進碳材料
[793.78-796.08] 那這個部分主要是超級電容
[796.60-800.44] 鉛算電池跟離子電容器等等這些為主
[800.70-801.98] 銷售範圍是以大陸為主
[802.48-803.26] 以東亞為主
[803.56-807.66] 日本韓國中國大陸
[808.16-811.74] 這邊我們後面會有比較詳細的說明
[812.00-816.10] 那等方形石墨的部分也是主要用在碳化氣的半導體
[816.36-820.20] 金屬熔煉熱壓玻璃模具等等這些石墨構建
[820.46-822.24] 那我們是以內銷為主
[825.58-831.20] 那這兩項因為目前整個市場後續是非常看好
[831.46-833.26] 所以我們已經啟動了相關的
[833.56-834.58] 一些擴建計畫
[834.84-836.12] 後面會再說明
[837.66-842.00] 那整個中碳的產品涵蓋面是比較廣我們剛剛提到
[842.26-848.14] 雜分油 本跟軟粒氫這是我們的三大產品分別代表汽車業石化業
[848.40-849.94] 還有煉鋁業
[850.46-853.78] 那未來我們會希望我們的碳材料這塊能夠
[854.30-855.82] 持續茁壯能夠
[856.34-857.10] 而不只是
[857.62-863.00] 第四支腳應該是跟整個棉化學是並足的兩大支柱
[863.30-864.32] 這樣的一個態勢
[866.88-872.00] 好我們近四年整個合併營收的一個狀況
[872.78-876.62] 2024年我們全年合併營收76.47億
[877.12-880.96] 那叫2023年大概減少了8.1%
[881.74-886.86] 那稅前營餘14.48億也叫2023年減少16.5%
[887.62-893.00] 最主要的原因是在於軟粒氫的價格大概下跌了有16%
[893.30-895.86] 那另外我們的清油盡量減少
[896.12-902.00] 還有碳材料的營收有下跌等等這些的一個因素
[902.78-908.92] 那在成本方面包括電費天然氣人事維修等等成本都有一個
[909.18-913.02] 上漲的狀況這個部分也是導致整體獲利的一個下滑
[914.54-918.14] 2024年公司整體的毛利率23.8%
[918.64-923.26] 那在分項的毛利率煤酵油產品28.5%
[923.56-926.12] 清油產品17.4%
[926.62-928.16] 碳材料21%
[928.68-929.96] 焦炭8.4%
[932.52-934.82] 那我們看整個2024年
[936.36-937.64] 現在的狀況
[938.92-943.52] 在全球的石化業都因為中國大陸擴廠
[944.30-944.80] 擴大
[945.06-946.08] 產能外溢
[946.60-949.92] 所以都陷入在一個泥沼掙扎這樣的一個狀況
[950.70-953.00] 那中碳也是會有受到增加
[953.56-954.06] 影響
[954.84-960.98] 不過相比其他的一些石化業者來講的話那中碳目前繳出來這樣的成績我們
[961.24-963.02] 認為是相當的可貴
[965.08-968.92] 今年第一季整個合併營收16.9
[969.42-972.76] 億元較去年同期大概減少了2.2%
[973.78-975.32] 稅前盈餘2.66億
[975.58-977.10] 較去年同期減少
[977.36-978.38] 8.9%
[978.90-980.94] 那最主要
[981.20-983.26] 是因為軟粒金價格下降
[983.56-984.06] 下跌
[984.58-985.34] 造成
[985.60-988.42] 等於是軟粒金價格又進一步的下跌
[989.18-991.74] 那包括軟粒金大概跌了有19%
[992.00-992.78] 19%
[993.02-994.30] 本價跌了10%
[994.82-999.94] 那清油進料也是持續減少還有我們碳材料營收
[1000.46-1003.26] 這下跌了有到23%
[1004.30-1008.64] 那因另外的一些營業費用有增加
[1008.90-1011.20] 然後業外收益減少等等
[1011.46-1013.26] 綜合的影響所以造成
[1013.56-1014.58] 整體獲利的一個下滑
[1016.88-1020.98] 我們今年第一季整體的毛利率22.16%
[1021.24-1022.52] 那分享的毛利率
[1022.78-1024.82] 煤焦油產品26.9%
[1025.34-1027.12] 清油產品18.2%
[1027.64-1029.42] 碳材料7.3%
[1029.68-1030.96] 焦炭13.1%
[1032.24-1033.78] 最近的營業狀況
[1034.30-1039.42] 今年第一季大致就是延續去年第四季的一個狀況
[1039.92-1041.46] 整個煤化學相關
[1041.72-1043.26] 產品的價格都比較偏低
[1043.56-1046.12] 碳材料表現也還沒有見到起色
[1047.40-1049.44] 不過最近
[1049.70-1051.50] 目前有看到一些曙光
[1051.74-1053.28] 前陣子因為
[1053.80-1054.82] 中美
[1055.34-1057.64] 關稅貿易戰的一個關係
[1057.90-1058.92] 所以
[1059.68-1066.08] 亞洲的本賣不進北美那價格大幅下殺到幾乎大概650美元左右
[1066.60-1071.20] 那整個關稅戰舒緩之後就立即反彈到了750美元
[1071.96-1074.52] 不過最近的景氣狀況還看起來
[1075.04-1081.44] 還是在掙扎中所以本價又稍微跌了一點到700出
[1082.46-1084.52] 那另外在
[1084.76-1086.56] 氧力清的價格這方面
[1086.82-1088.86] 我們有看到一個打底的趨勢
[1089.12-1091.16] 那至於油價的部分
[1091.42-1095.52] 我們認為變數龍多這邊比較不容易去做一個評估
[1099.62-1101.16] 好這是公司的幾個
[1101.46-1105.04] 財務指標好這個部分就請參閱那基本上
[1105.30-1111.44] 公司的負債比率28.3%財務狀況算是相當的健全
[1113.24-1115.28] 那這是近五年
[1115.54-1117.58] 公司每股盈餘及股利
[1117.84-1119.12] 配發的一個
[1119.38-1119.88] 圖表
[1120.40-1121.68] 那這個請參閱
[1122.20-1123.72] 那2024年
[1123.98-1126.28] 公司每股盈餘5.2元
[1126.54-1129.62] 規劃配發股利4.5元
[1129.88-1130.90] 包括了
[1131.20-1134.02] 股東紅利4元還有反應攻擊
[1134.28-1135.30] 每股0.5元
[1136.06-1138.36] 整個配發率達到了87%
[1139.14-1145.28] 那我們之前是考量公司有比較大的一個資本支出
[1145.54-1147.84] 保留了一些資金降低了配發率
[1148.36-1154.50] 那在去年股東會有股東反應配息率太低跟原先存股的一個目的有比較大的
[1154.76-1155.78] 差距
[1156.28-1158.84] 所以我們整個衡量
[1159.62-1160.90] 公司的整個
[1161.20-1164.28] 新的一個應用面都還算相當這個穩健
[1164.52-1170.16] 所以董事會有通過就是今年我們是配發4.5元的現金股利
[1170.68-1175.28] 那這個部分當然要經過下個月股東會的一個承認
[1175.54-1176.04] 跟同意
[1183.98-1185.26] 公司
[1185.78-1186.80] 未來就是
[1187.06-1190.90] 會持續往碳材料方面去轉型發展
[1191.20-1197.34] 那碳材料這個東西它是比較偏向於精準製造是客製化很高的產業
[1197.60-1200.92] 所以對於研發跟創新上面的需求
[1201.18-1202.98] 也是非常的大
[1203.24-1205.28] 所以公司這幾年大概
[1205.54-1208.10] 在研究發展上的投入
[1208.36-1211.42] 是不餘力研究經費也是一直在
[1211.68-1212.44] 在往上走
[1213.22-1220.38] 那未來我們大概就是會以營收的3%以上作為我們投入研發的一個
[1220.64-1221.16] 一個目的
[1221.46-1225.04] 那另外我們也在努力爭取
[1225.30-1226.06] 政府的一些
[1226.32-1226.84] 產創
[1227.34-1229.90] 產業創新補助還有
[1230.16-1232.98] 目前都有計劃在執行
[1235.02-1235.54] 的階段
[1236.04-1240.92] 那這些補助對我們未來再往高級碳材的發展都有很大的幫助
[1241.68-1247.82] 那中碳有精強的研發團隊我們有母公司中鋼技術部門的一個資源
[1248.34-1250.90] 所以我們能夠依據客戶的終端的需求
[1251.20-1255.04] 來提供最適當的產品這是我們競爭上的一個優勢
[1257.08-1261.96] 第三部分提到了公司的永續經營就是ESG的這一塊
[1262.46-1268.60] 那中碳在公司治理的這一塊一直都有不錯的成績我們有在董事會下我們
[1268.86-1270.92] 成立了公司治理及永續永會
[1271.42-1275.26] 那除了ESG之外我們也增加了風險管理的項目
[1276.04-1277.32] 去年
[1278.08-1280.90] 英網會那邊公司治理評鑑我們拿到了
[1281.20-1283.24] 101.29分
[1283.50-1287.60] 已經連續5年都是列在6%到20%
[1287.86-1290.16] 第二級距的這個前段班的一個位置
[1290.92-1295.28] 那公司也曾經入選過公司治理100指數成分股
[1295.80-1300.40] 那還有特選台灣綠能及電動車成分股等等這些
[1302.96-1307.56] 那在碳中和這邊我們也設定了短中長期的目標
[1308.34-1309.36] 那也
[1309.62-1311.16] 規劃了相關的一些碳中和的目標
[1311.46-1312.74] 那也就是我們在這個
[1313.00-1314.02] 碳中和的路徑圖
[1315.04-1318.62] 這邊跟以往的報告有點差異就是
[1318.88-1323.24] 先前的話我們是以2018年為減碳的基準年
[1323.74-1329.38] 那不過考量公司整個碳材料正在一個擴建成長的一個階段
[1329.88-1331.42] 所以配合母公司
[1332.20-1333.72] 要做這種合併
[1335.78-1337.32] 碳升爆的部分
[1337.82-1339.88] 我們目前就調整改成以
[1340.12-1340.90] 2022年
[1341.20-1341.96] 減碳基準年
[1342.48-1346.32] 這樣子可以更務實的去執行我們各項的一個減碳目標
[1347.08-1349.14] 所以短期的成果
[1349.64-1354.00] 從2022年累計到現在我們執行了65項的減碳專案
[1354.26-1357.58] 那減碳有達到了7000噸以上
[1358.86-1362.96] 那未來也是以2050年達到碳中和
[1363.72-1365.26] 至於
[1366.04-1368.08] 中期的規劃
[1368.34-1370.64] 那現在是計劃在2030年
[1370.64-1371.16] 那現在是計劃在2030年
[1371.42-1374.24] 達成減碳20%的一個目標
[1374.48-1375.76] 那2050年
[1376.02-1376.80] 邁向碳中和
[1379.86-1386.00] 在近三年我們執行溫室氣體盤查的部分我們小鋼廠就是深綠色這一塊
[1386.26-1387.80] 我們可以很明顯看到
[1388.06-1393.44] 這個排碳的部分都有持續在下降這個可以看出公司
[1393.68-1395.74] 在減碳方面的一個努力
[1396.50-1400.08] 那在平南的部分就是比較淺綠色的這一塊
[1400.08-1405.72] 因為還在擴建中產能持續增加所以排碳有升高的一個情形
[1408.28-1410.06] 那不管如此
[1410.32-1413.90] 不管如何公司在減碳方面的一個
[1414.92-1418.76] 一個執行力是很紮實我們很用心的在推動
[1420.82-1425.42] 那這裡是這幾年我們公司執行ESG獲得各方肯定
[1425.68-1428.24] 一些獲獎相關的一個
[1428.50-1429.26] 時機
[1429.26-1430.04] 這個部分就請教大家
[1430.28-1435.20] 那第四部分有關公司的一個未來發展
[1436.74-1441.34] 未來的發展最主要還是在碳材料就是
[1441.86-1442.62] 附集材料
[1442.88-1443.90] 先進碳材料
[1444.16-1447.74] 還有等方性石墨快採這三個大方向
[1448.76-1450.82] 在附集材料這一塊
[1453.64-1459.00] 我們之前剛提過附集材料最近的一個發展狀況是比較
[1459.26-1459.78] 有
[1460.08-1461.36] 比較大的一個波動
[1462.38-1467.50] 我們以去年來講去年我們第二季大概有賣到了大概500噸
[1467.76-1474.92] 本來預期會逐漸在上升結果因為客戶中間客戶有砍三的一個狀況
[1475.70-1479.02] 那第四季大概掉到剩下200噸左右
[1479.54-1484.14] 那我們今年的第一季大概回復到了360噸左右
[1484.92-1488.50] 不過目前整個離電子市場
[1489.00-1490.04] 融資一個
[1490.34-1491.36] 公共維求的一個狀況
[1491.62-1493.92] 所以價格相對是一個比較低迷
[1494.44-1497.00] 那特別是中國大陸方面更嚴重
[1497.24-1497.76] 整個
[1498.02-1500.32] 產能外溢的狀況還是很嚴重
[1502.36-1507.74] 那未來的市場我們有提到了就是第一個就是我們半固態電池的客戶
[1508.00-1510.56] 那預計下半年會開始投產
[1511.84-1514.14] 那第二個部分
[1514.40-1518.76] 剛提到的我們有所謂的高階3C快充的需求
[1519.52-1520.04] 本來
[1520.34-1523.66] 我們都認為我們的複習材料會是在
[1523.92-1525.72] 動力電池方面的
[1526.22-1527.76] 應用是比較突出
[1528.28-1533.14] 之前我們已經有很久沒有去跨入3C產品相關的應用
[1533.90-1537.48] 但最近整個3C產品的發展
[1538.00-1541.32] 包括了高階手機目前都會有
[1541.58-1543.12] 所謂的快充的需求
[1543.64-1544.66] 那其實
[1545.16-1547.22] 快充其實對於
[1547.48-1549.78] 電池來講是有很大的一個傷害
[1550.34-1552.90] 所以它會常常用快充的方式
[1553.16-1555.72] 很容易會影響到電池的壽命
[1556.48-1561.34] 但我們現在新開發的這所謂的UF系列的這種複習材料
[1561.86-1565.44] 就是能夠兼顧到快充跟長壽命的需求
[1565.70-1567.74] 那現在有幾家
[1568.00-1569.80] 高階手機的
[1571.32-1574.92] 整個測試驗證都差不多完成
[1575.42-1578.50] 所以預計這個部分在下半年的部分
[1578.76-1579.78] 就會明顯的成功
[1580.08-1580.60] 成長
[1582.38-1588.52] 那第三個部分就是最能夠發揮我們這項複習材料高倍率放電的一個應用
[1589.04-1591.34] 就是像電動賽車重型機械
[1591.60-1594.42] 垂直起降飛行器等等這邊的需求
[1594.92-1598.00] 只不過這種高階的部分那個需求量比較
[1598.26-1599.02] 不是那麼高
[1599.54-1602.60] 是穩定在成長但是占比相對是比較低一點
[1603.64-1604.92] 那另外
[1605.42-1606.96] 最近我們的客戶
[1607.48-1610.04] 應用我們的複習材料做的電池
[1610.34-1611.88] 電芯也打入了
[1612.38-1613.16] 所謂
[1613.40-1614.94] BBU的一個
[1615.46-1618.52] 供應鏈裡面就是AI伺服器
[1618.78-1619.80] 備援電力系統
[1620.84-1626.98] 那這個部分我們也認為說目前已經有穩定在出貨
[1627.24-1629.02] 我們認為這塊也是
[1629.28-1631.58] 期待能夠需求會隨時成長
[1636.96-1640.04] 再來是我們先進碳材料這一塊
[1640.34-1641.10] 這個部分
[1641.62-1643.66] 應該算是我們最近
[1644.68-1645.96] 開發
[1646.22-1649.80] 拓展的一個要點這個部分我們
[1650.06-1651.60] 我們非常的看好
[1652.62-1656.72] 那整個先進碳材料產品經過我們多年的一個發展
[1657.74-1661.84] 推廣那目前整個市場反應是已經相當的成熟
[1662.86-1669.00] 那目前中碳是只有90噸的一個先導線那目前看起來是雲遠不足
[1669.26-1669.78] 所以
[1670.08-1671.88] 已經啟動了新的擴建計畫
[1674.44-1678.52] 新進碳材料的應用最主要就是超級電容的這一塊
[1678.78-1681.08] 特別是我們的
[1681.34-1685.96] 我們都開發了HV的系列就是3.0V高電壓
[1686.20-1687.74] 用的這種超級電容
[1688.00-1688.76] 那
[1689.02-1690.56] 在這邊的
[1690.82-1692.10] 客戶應用的
[1692.36-1693.88] 的情形
[1694.14-1695.42] 相當不錯
[1695.68-1697.48] 所以下半年都會再
[1697.72-1700.04] 提高他的一個供應量
[1700.34-1703.40] 那整個超級電容
[1704.18-1705.46] 他的
[1705.96-1710.58] 特性跟鋰電池是有比較大的一個差異他是一個比較
[1713.14-1714.68] 容量低但是
[1714.92-1718.76] 功率相當高是兩個極端
[1720.30-1723.88] 那其他我們看下一頁好了
[1726.44-1728.50] 我們這邊想要
[1728.76-1730.04] 介紹一下就是
[1730.34-1731.10] 目前
[1731.62-1732.64] 在
[1732.90-1739.56] 相關的這種所謂的AI伺服器BPU備援電力需求的一個
[1740.32-1742.12] 他們使用的一個狀況
[1742.88-1749.28] 我們可以看到其實目前最大宗還是所謂傳統的鋰離子電池LIB的這一塊
[1750.04-1755.68] 那新開發的項目就是EDLC就是我們傳統的超級電容
[1756.44-1760.04] 那這個部分超級電容跟鋰離子電池他是在
[1760.34-1761.10] 兩個
[1761.62-1762.64] 極端的部分
[1762.90-1763.66] 一個
[1764.18-1768.52] EDLC就是超級電容他容量是非常低但是他的
[1769.04-1770.06] 功率
[1770.32-1770.84] 他的
[1771.08-1774.68] 出力的部分是比鋰電池要好很多
[1775.70-1777.24] 那鋰電池
[1777.48-1778.26] 性能比較
[1778.52-1782.10] 中間一點所以目前鋰電池應用是相當的大
[1782.86-1789.26] 那我們現在還有一個項目就是HSC這個是所謂的hybrid
[1789.26-1792.58] Hybrid Super Capacitor就是所謂的
[1793.10-1795.40] 混合式的超級電容
[1795.92-1798.98] 那其中的鋰離子電容器就是其中一個主力
[1799.50-1804.36] 那這個產品出來他就是大概介於鋰離子電池跟
[1804.62-1807.70] 傳統超級電容中間這樣的一個狀況
[1808.20-1810.50] 那他的部分
[1811.28-1815.38] 他可以比超級電容的電容量高很多
[1816.40-1819.22] 然後他的出力的部分
[1819.52-1820.54] 他的功率
[1820.80-1823.36] 也會比鋰電池好很多
[1824.38-1827.96] 他整個循環說明的部分也會跟
[1828.22-1830.52] 超級電容差不多我們都是百萬
[1830.78-1833.60] 百萬級百萬次好像的一個級數
[1834.10-1839.48] 那鋰離子電容他的缺點就在於說他的循環說明一般可能只有
[1840.00-1844.86] 5000點多到1萬跟百萬次那個是完全不同等級的一個
[1845.12-1845.88] 一個項目
[1846.90-1848.70] 所以他這樣的一個特性裡面
[1849.52-1850.80] 就剛好
[1851.30-1854.90] 可以適合在目前AI伺服器裡面
[1855.40-1857.20] 他這種AI伺服器對於
[1857.46-1858.48] 整個電力
[1858.74-1862.06] 波動的一個需求會有所謂的
[1862.58-1865.90] 間歇性電擁這樣的一個部的影響
[1866.16-1866.66] 所以
[1867.18-1871.78] 在LIC就是HSC的這一塊
[1872.04-1873.32] 鋰離子電容器
[1873.84-1876.66] 他能夠兼顧高電容
[1877.16-1878.44] 高容量
[1878.70-1879.22] 高功率
[1879.52-1881.06] 還有高循環說明等等需求
