[0.00-2.00] Yagio 第一季度的结果
[2.00-4.00] 大家好,大家早上好
[270.00-271.00] 我认为,
[271.00-275.00] 我们仍然看到AI内容的成本在增长中显示出好消息
[275.00-280.00] 我们仍然看到AI内容的成本在增长中显示出好消息
[280.00-281.00] 因此,
[281.00-284.00] 训练和训练工程中的成本在增长中显示出好消息
[284.00-285.00] 业务仍然在上升中,
[285.00-286.00] 业务仍然在上升中,
[286.00-292.00] 尤其是美国和伊米亚
[292.00-296.00] 而自动转移中的项目是一种混合的
[296.00-302.00] 我们看到中国市场中有很好的成本
[302.00-307.00] 美国和伊米亚市场的成本有所下降
[307.00-308.00] 所以,
[308.00-314.00] 我们看到自动转移中的项目显示出好消息
[314.00-323.00] 并且,
[323.00-330.00] 日本市场有很大的强势
[330.00-331.00] 其次,
[331.00-335.00] 日本市场的市场色调辪下来,
[335.00-338.00] 就是地道节走几率项目
[338.00-339.00] 那有深深的弱点,
[339.00-340.00] 그렇疑理图图显示,
[340.00-341.00] 占了一个丹心的位置
[341.00-342.00] Across China,
[342.00-348.00] 美国市场在过去几个季度中是额外的硬化,
[348.00-351.00] 持续在27%以上。
[351.00-355.00] 中国的其他国家,
[355.00-363.00] 我认为市场被AI和EV的需求强化。
[363.00-367.00] 如果您看看这个频道的分布,
[367.00-374.00] 您可以看到,世界分布商人似乎在进行进行拖动。
[374.00-379.00] 如果您看到国内的第一季度的出现,
[379.00-382.00] 它在那里获得了动力。
[382.00-384.00] 这种情况,
[384.00-390.00] 似乎在那里控制着货车情况。
[390.00-394.00] 下一页。
[394.00-396.00] 我们来看看
[396.00-400.00] 对于这个群体的货车质量。
[400.00-402.00] 免费货车流量
[402.00-405.00] 是很稳定的,
[405.00-408.00] 很稳定的。
[408.00-410.00] 在上个季度,
[410.00-413.00] 我们看到有些投资者
[413.00-415.00] 成功成功地成功地成功地成功地成功地成功地成功。
[415.00-417.00] 还有一些
[417.00-419.00] 有利益的收入。
[419.00-420.00] 您看到了,
[420.00-422.00] 在第四季度的高货车,
[422.00-423.00] 除非您看到了,
[423.00-424.00] 每个季度,
[424.00-425.00] 我们认为我们在发展的
[425.00-426.00] 大部分,
[426.00-428.00] 我们能够有一个非常稳定的
[428.00-430.00] 和充实的货车流量。
[430.00-432.00] 这是一个对群体的
[432.00-434.00] 很稳定的
[434.00-437.00] 和充实的货车流量。
[437.00-438.00] 这帮助了
[438.00-440.00] 亚洲更加的货车流量
[440.00-441.00] 增加。
[441.00-443.00] 收入越来越强化。
[443.00-444.00] 如果您看看,
[444.00-445.00] 在这12个月内,
[445.00-448.00] 我们的货车流量
[448.00-450.00] 已经下跌了
[450.00-452.00] 约20%。
[452.00-454.00] 在这一季中,
[454.00-456.00] 我们在第四季中的
[456.00-457.00] 17%。
[457.00-459.00] 如果这次继续,
[459.00-461.00] 我们将很快看到
[461.00-463.00] 这种货车流量
[463.00-465.00] 变成了
[465.00-467.00] 一个正面的货车流量。
[467.00-469.00] 接下来,
[469.00-471.00] 我们将看到
[471.00-473.00] 我们的货车流量
[475.00-477.00] 变成了
[477.00-478.00] 货车流量的
[478.00-479.00] 最低级货车流量。
[479.00-480.00] 那么,
[480.00-481.00] 我们将看到
[481.00-482.00] 这一次的货车流量
[482.00-483.00] 将是
[483.00-484.00] 在
[484.00-485.00] 十分高的
[485.00-486.00] 货车流量的
[486.00-487.00] 时期,
[487.00-488.00] 和
[488.00-489.00] 市场的
[489.00-490.00] 货车流量
[490.00-491.00] 的
[491.00-492.00] 等级货车流量
[492.00-493.00] 的
[493.00-494.00] 级别。
[494.00-495.00] 我们将看到
[495.00-496.00] 的是
[496.00-497.00] 在
[497.00-498.00] 今天的
[498.00-499.00] 10周年,
[499.00-500.00] 市场的
[500.00-501.00] 货车流量
[501.00-502.00] 已经
[502.00-503.00] 上升
[503.00-504.00] 。
[504.00-504.98] 我们看到的
[504.98-506.62] and the board.
[506.62-514.98] So on March 6, we submitted our response to their first list of questions.
[514.98-521.44] And then we have another round of interactions on March 26,
[521.44-532.24] where we submitted the answers to those questions from Shibaura.
[532.24-538.50] We even had a chance to meet up in person with Shibaura management team
[538.50-544.52] in the beginning of April, which we thought was great meeting
[544.52-548.46] that allowed us to meet up to the management team
[548.46-553.82] and express our sincere intention to collaborate with the company.
[555.52-561.36] But I think the latest news has that
[561.36-562.04] the Shibaura and data Studies have a very interesting collaboration.
[562.04-562.06] го club as the loyal provider toutoloan bekannt。
[562.06-562.16] hat a farming community of a¿yadoングb arch.h entering to interest in JOHN some tools in como всёательно想到能够在其中找到产生生殆一种技术外人لantsambit and has gutal exposure to fire시,so trying to describe the impact for the undefined这些事实让我们都非常感到参与而 vill reactive other related to the individual.
[562.16-562.18] The present Elrode kafon大概有一段话说 Ukrainian companies aircrafts flight after early history
[562.18-567.18] turn in to support another potential buyer for the company
[567.18-576.18] and we're sorry that we didn't really have adequate engagement with Shiba Ura enough
[576.18-586.18] to present a better proposal to Shiba Ura
[586.18-592.18] so right now I think we will continue to contrive to engage
[592.18-599.18] and try to get more color on this proposal transaction
[599.18-608.18] we do think that there is a significant synergy that could be generated through the collaboration with YAGEO
[608.18-613.18] as we have a very very strong global business presence
[613.18-616.18] and we do think that our portfolio
[616.18-619.18] can be a great match as well
[619.18-623.18] so we will continue to pursue this transaction
[623.18-627.18] and in fact in today's board meeting we have resolved
[627.18-631.18] that we will raise our tender offer price to
[631.18-637.18] from 4300 to 5400 yen per share
[637.18-645.18] with the May 7th commencement of tender offer date remained
[645.18-646.18] in the current state
[646.18-653.18] so that's how we would approach this transaction
[653.18-660.18] next
[660.18-664.18] Rail, I'll leave it to David for the guidance for the next quarter
[664.18-666.18] Thank you, Eddie
[666.18-668.18] and before I guide you the
[668.18-671.18] our quarter two outlook
[671.18-673.18] I'd like to give you a couple of highlights
[673.18-675.18] of our quarter one performance
[675.18-679.18] so again if you see our key financial indicators
[679.18-683.18] such as top line, bottom line, cash flow, financial leverage
[683.18-687.18] all are with very steady growth and improvement
[687.18-690.18] and they also they met our Q1 guidance
[690.18-695.18] I think we have communicated with our investor for a long time
[695.18-697.18] in the past couple of years
[697.18-699.18] YAGEO tried very very hard
[699.18-703.18] try to transform ourselves from the standard product focused company
[703.18-707.18] to premium product focused company
[707.18-710.18] we also try to look for well balanced
[710.18-712.18] of the business among the other regions
[712.18-714.18] and other product portfolio
[714.18-716.18] so we believe that
[716.18-718.18] the recent quarter's performance
[718.18-719.18] and the improvement
[719.18-722.18] are the strong evidence of this transformation
[722.18-726.18] now the Q2 guidance
[726.18-729.18] so if we see the net sales
[729.18-733.18] our outlook is the low single digit
[733.18-735.18] growth quarter on quarter
[735.18-738.18] and we expect that the growth margin percentage
[738.18-741.18] and the operating margin percentage
[741.18-743.18] will have a slightly increased
[743.18-744.18] quarter on quarter
[744.18-746.18] and business side
[746.18-747.18] we still see the
[747.18-750.18] the book to view ratio is above one
[750.18-752.18] so solid booking in the backlog
[752.18-755.18] to support this Q2 net sales
[755.18-757.18] and especially from the AI related
[757.18-759.18] by computing high power server
[759.18-762.18] and China EV momentum are remaining very very strong
[762.18-763.18] so
[763.18-765.18] in the next year
[765.18-766.18] we hope
[766.18-767.18] I think everyone knows that
[767.18-768.18] the
[768.18-769.18] recent tariff issue
[769.18-772.18] and certainly this is very dynamic
[772.18-773.18] it can be changed
[773.18-775.18] and every day or every week
[775.18-778.18] for the tariff increase
[778.18-779.18] this is not the first time
[779.18-781.18] we have experience to deal with
[781.18-784.18] this in the past
[784.18-785.18] so
[785.18-787.18] inside the company
[787.18-789.18] we do have this mechanism
[789.18-790.18] to deal with this
[790.18-791.18] so we
[791.18-792.18] for the time being
[792.18-793.18] we believe that
[793.18-805.18] 因此, 这就是我将为您提供的Q2指导。谢谢,哈沃尔。
[805.18-813.18] 谢谢,谢谢Eddie和David对您的非常理解的评论。
[813.18-819.18] 现在我们就要进入Q&A评论了。
[819.18-826.18] 请在您的电脑上发问,我们将在短时间内进行。
[826.18-829.18] 我们等待您的评论。
[829.18-840.18] 我先提一下,首先,您的Q1的最高限度。
[840.18-842.18] 我觉得它比较强。
[842.18-845.18] 比您最初指导的更强。
[845.18-850.18] 我相信您们期待的QQ的幅度比较强。
[850.18-852.18] 但是您们的Q1的幅度达到4%。
[852.18-854.18] 您的评论是什么颜色?
[854.18-860.18] 这是否有某些抗议者提供的指导?
[860.18-869.18] 还是有些在Q1的结束前的不期待的免费性的推动?
[869.18-872.18] 您的评论是什么?
[872.18-878.18] 是的,我让我尝试加一些颜色。
[878.18-881.18] 我们问了自己的同样的问题,
[881.18-884.18] 是否有关价值的问题。
[884.18-893.18] 但坦白说,我们可能有某些客户或频道中的一些抗议。
[893.18-896.18] 但如果有的话,那是最低的。
[896.18-897.18] 最大的因素是,
[897.18-902.18] 我们的最高线的比较强的结果,
[902.18-911.18] 是在Q1中已经做得很好的部分。
[911.18-917.18] 例如,大陆为主的一个区域。
[917.18-919.18] 然后,在区域上,
[919.18-921.18] 我们有AI-链接的应用,
[921.18-924.18] 电脑、设备、传输器。
[924.18-926.18] 也有全球的传输。
[926.18-929.18] 这些都被Eddie提到。
[929.18-931.18] 我们在2024年,
[931.18-934.18] 我们经历了大多数的分析。
[934.18-937.18] 在2025年开始,
[937.18-941.18] 我们看到了我们的频道的更健康。
[941.18-943.18] 我们已经有点前进,
[943.18-950.18] 并决定了更强的分析。
[950.18-955.18] 这更加解释了我们的预期的结果。
[955.18-956.18] waking up to what iskraven
[958.18-959.18] 这个社区不只因疾病起来了很多会员震 samples,
[959.18-980.18] kami sed devastating news that
[980.18-982.38] 기视 교肢�도000
[982.38-984.98] 平在照相-
[985.18-991.18] 就是你知道,那些颜色是因为你们在美国进口的吗?
[991.18-996.18] 所以,对于您们进口的成本,在美国的全球传播商,
[996.18-1000.18] 那些成本会有一些负荷,是否正确的?
[1000.18-1004.18] 这是对的方法,看看这些负荷的直接影响。
[1005.18-1009.18] 我问Kradio,他会解决这个问题吗?
[1009.18-1019.18] 是的,就像David所说的,负荷并不是我们和我们的业界的新东西。
[1019.18-1023.18] 目前,影响是可控的。
[1023.18-1034.18] 很难说出数字,但坦白说,消息一直在变化,数量也在变化,
[1034.18-1036.18] 进口日期也在变化。
[1036.18-1038.18] 某些国家,
[1038.18-1039.18] 比如美国,
[1039.18-1041.18] 他们在列表上的数字,
[1041.18-1043.18] 后来在列表上的数字被放下了,
[1043.18-1046.18] 或者在一个拖延期中放下了。
[1046.18-1050.18] 所以,我们在计划各种模式中进行计划,
[1050.18-1055.18] 在所有这些情况下,我们有几个指导。
[1055.18-1059.18] 首先,我们非常能够执行负荷,
[1059.18-1065.18] 因为我们的制造项目有多大。
[1065.18-1068.18] 这并不意味着我们能立即改变生产,
[1068.18-1072.18] 而是从A国来B国的生产。
[1072.18-1081.18] 不过,我们在生产的数量超过20个国家。
[1081.18-1084.18] 加上我们有货车厂和销售公司,
[1084.18-1087.18] 所以我们能够更好地管理货车,
[1087.18-1090.18] 比我们的众多同事更好。
[1090.18-1097.18] 再加上,我们和美国的客户和频道讨论相当好。
[1097.18-1101.18] 我们的生产和众多同事都在同一状况下。
[1101.18-1106.18] 我们有很多谈论如何去调整情况。
[1106.18-1108.18] 但在整个行业中,
[1108.18-1114.18] 我们认为这些生产是我们的控制。
[1114.18-1119.18] 这可能会改变一些客户的脚印决定,
[1119.18-1125.18] 但我认为这开始在供应链的高峰上,
[1125.18-1128.18] 我们的生产会更加下降。
[1128.18-1133.18] 而且我们也认为我们的生产会太快结束。
[1133.18-1134.18] 总结来说,
[1134.18-1136.18] 我们作为一家公司,
[1136.18-1138.18] 我们认为我们的影响是可行的,
[1138.18-1147.18] 但我们认为我们将在运行前有很大的影响。
[1147.18-1149.18] 谢谢。
[1149.18-1153.18] 你提到你和我合作的生产基础是30个国家,
[1153.18-1154.18] 或是你和我合作的生产基础是30个国家,
[1154.18-1157.18] 我们在全球有超过30个国家的生产基础。
[1157.18-1162.18] 您能给我们一些高级分布吗?
[1162.18-1164.18] 在大领域中,
[1164.18-1171.18] 我们可以提供什么大量的分布?
[1171.18-1175.18] 我可以回答您的问题。
[1175.18-1179.18] 我们在中国外面有超过30家生产基础,
[1179.18-1182.18] 我们在19、20年代的行业中,
[1182.18-1184.18] 我们在19、20年代的行业中,
[1184.18-1186.18] 不论哪些城市有哪些工作,
[1186.18-1188.18] 我们都依靠计算与表述生产基础,
[1188.18-1192.18] 仍然有很大数目。
[1192.18-1202.18] 几乎每个技术都有某些国家的生产缺乏。
[1202.18-1210.18] 我们没有透露价值与重量的价值。
[1210.18-1213.98] 我们不经常公布这些数据
[1213.98-1215.90] 但是我们有机会
[1215.90-1219.30] 用任何技术来依靠
[1219.30-1223.18] 通常两如果不是更多的国家
[1223.18-1226.50] 这一直是一个利益
[1226.50-1227.78] 不仅仅是为了费用
[1227.78-1229.66] 其实这也为了
[1229.66-1233.74] 在其他领域上的风险扩大
[1233.74-1237.06] 也为了与顾客接近
[1237.06-1240.46] 短期和短期的选择
[1240.46-1243.98] 并且减少费用
[1243.98-1245.22] 丹特鲁姆是一个很好的例子
[1245.22-1248.02] 我可以特别评论一下
[1248.02-1250.66] 我们在中国有行动
[1250.66-1252.18] 我们在泰国有行动
[1252.18-1254.58] 我们在墨西哥有行动
[1254.58-1256.42] 丹特鲁姆是一个
[1256.42-1258.50] 丹特鲁姆的行动
[1258.50-1260.74] 这对我们的顾客提供了很多软件
[1260.74-1263.10] 在中国和美国
[1263.10-1265.18] 以及美国
[1265.18-1267.02] 丹特鲁姆的货物
[1267.02-1269.02] 我们也有很高的货品
[1269.02-1271.62] 这些货品在现在的高价值上
[1271.62-1273.02] 是非常高价值的
[1276.02-1276.98] 明白
[1276.98-1280.42] 然后就在丹特鲁姆上的
[1280.42-1282.38] 评论上
[1282.38-1285.10] 我认为最近的消息
[1285.10-1287.34] 有说有些价格增长
[1287.34-1290.14] 丹特鲁姆的电池
[1290.14-1293.06] 您可以提供一些评论吗
[1293.06-1293.82] 是的
[1293.82-1295.18] 是的 当然
[1295.18-1296.86] 所以
[1297.02-1298.98] 原来有 duck
[1298.98-1301.78] trivial
[1301.78-1304.14] 对于这是有把握指数的
[1304.14-1305.26] 我认为
[1305.50-1316.74] 我们自己的口感
[1316.74-1319.58] 始终出于什么
[1319.58-1320.02] 是不是
[1320.02-1321.14] 整个路线
[1321.14-1323.34] 也对我们是最否认的
[1323.34-1324.70] 这两种实习途的
[1324.70-1325.18] 整个界面
[1325.18-1325.58] 都是一切的
[1325.58-1326.42] 他们的目的
[1326.42-1327.02] 都在我们朋友面前
[1327.02-1330.02] 我们要确保我们的平衡是正确的
[1330.02-1333.02] 在这种情况下
[1333.02-1335.02] 我们发现
[1335.02-1338.02] 为了使用Tantalum的特定部分
[1338.02-1342.02] 所以不在整个股份上
[1342.02-1344.02] 我们发现
[1344.02-1346.02] 我们已经到了一个状态
[1346.02-1349.02] 我们不再能够维持
[1349.02-1353.02] 我们所持有的利润水平
[1353.02-1356.02] 以下的费用
[1356.02-1358.02] 工作费用
[1358.02-1359.02] 坦白说
[1359.02-1362.02] 公司的承诺
[1362.02-1366.02] 在R&D和CAPEX上
[1366.02-1369.02] 为Tantalum的增长增长
[1369.02-1372.02] 我们分析了这些
[1372.02-1375.02] 我们结果是
[1375.02-1378.02] 我们需要调整价值
[1378.02-1382.02] 我们非常开放地向我们的客户
[1382.02-1383.02] 和我们的顾客评论
[1383.02-1385.02] 我们给他们的指示
[1385.02-1387.02] 和时间来调整
[1387.02-1389.02] 他们的背景
[1389.02-1391.02] 他们有一个窗户
[1391.02-1393.02] 让他们做计划
[1393.02-1395.02] 确保他们能够
[1395.02-1397.02] 处理这些问题
[1397.02-1399.02] 到目前为止
[1399.02-1401.02] 这很正确
[1401.02-1403.02] 所以这不是一个
[1403.02-1405.02] 一个租赚
[1405.02-1407.02] 并不是在整个股份上
[1407.02-1409.02] 所有的客户都在使用
[1409.02-1411.02] 我们只在需要的地方上
[1411.02-1412.02] 使用
[1413.02-1415.02] 我们的费用
[1415.02-1416.02] 明白
[1416.02-1417.02] 谢谢
[1417.02-1419.02] 再来介绍一下
[1419.02-1421.02] 在Tantalum公司的
[1421.02-1424.02] 专业的专业组合中
[1424.02-1427.02] 有没有一个
[1427.02-1429.02] 专业的语言
[1429.02-1432.02] 对于AI的语言
[1432.02-1434.02] 有没有一个
[1434.02-1436.02] 专业的语言
[1436.02-1438.02] 不是
[1438.02-1442.02] 主要在纸书和电脑上
[1442.02-1444.02] 或电脑上
[1444.02-1445.02] 有没有一个
[1445.02-1447.02] 专业的语言
[1447.02-1448.02] 但是
[1448.02-1449.02] 它并没有
[1449.02-1451.02] 专业的语言
[1451.02-1452.02] 但是我会说
[1452.02-1453.02] 大部分这些语言
[1453.02-1455.02] 在电脑上
[1455.02-1457.02] 都在使用
[1457.02-1459.02] 并在广泛的
[1459.02-1461.02] 设备上
[1461.02-1462.02] 有的
[1462.02-1463.02] 谢谢
[1463.02-1464.02] 再来
[1464.02-1465.02] 一些
[1465.02-1466.02] 经常
[1466.02-1467.02] 问的问题
[1467.02-1468.02] 请问
[1468.02-1469.02] 您
[1469.02-1470.02] 有没有
[1470.02-1471.02] 一个
[1471.02-1472.02] 有关
[1472.02-1473.02] 您的
[1473.02-1474.02] 货物
[1474.02-1475.02] 和
[1475.02-1476.02] 优惠商
[1476.02-1477.02] 的
[1477.02-1478.02] 使用率
[1478.02-1479.02] 在Q1
[1479.02-1480.02] 和
[1480.02-1481.02] Q2的
[1481.02-1482.02] 目标
[1482.02-1483.02] 谢谢
[1483.02-1484.02] Q2的使用率
[1484.02-1485.02] 会稍微
[1485.02-1486.02] 增加
[1486.02-1487.02] 所以
[1487.02-1489.02] Q1的使用率
[1489.02-1490.02] 的
[1490.02-1491.02] 规则是
[1491.02-1492.02] 约60%
[1492.02-1493.02] 现在
[1493.02-1494.02] Q2的使用率
[1494.02-1495.02] 会稍微
[1495.02-1496.02] 增加
[1496.02-1497.02] 至65%
[1497.02-1498.02] 所以
[1498.02-1499.02] 从60%
[1499.02-1500.02] 至65%
[1500.02-1501.02] 这是正常的
[1501.02-1502.02] Q1的货物
[1502.02-1505.02] 约70%
[1505.02-1506.02] 所以
[1506.02-1507.02] Q2的
[1507.02-1508.02] 货物
[1508.02-1510.02] 会增加至75%
[1510.02-1511.02] 目前
[1511.02-1512.02] 我们看到
[1512.02-1513.02] 货物的
[1513.02-1514.02] 价格仍然是
[1514.02-1515.02] 高
[1515.02-1516.02] 而且
[1516.02-1517.02] 在
[1517.02-1518.02] Q2
[1518.02-1519.02] 我们
[1519.02-1520.02] 期望
[1520.02-1521.02] 销售
[1521.02-1522.02] 增长
[1522.02-1523.02] 所以
[1523.02-1524.02] 这种高的使用率
[1524.02-1525.02] 就是为了
[1525.02-1526.02] 遵守这种需求
[1526.02-1527.02] 好的
[1527.02-1528.02] 谢谢
[1528.02-1529.02] 您
[1529.02-1530.02] 对
[1530.02-1531.02] 谢谢
[1531.02-1532.02] 您的
[1532.02-1533.02] Q2的
[1533.02-1534.02] 收入指数
[1534.02-1535.02] 低于
[1535.02-1536.02] 一级
[1536.02-1537.02] 的
[1537.02-1538.02] 每个月的
[1538.02-1539.02] 增长
[1539.02-1540.02] 我认为
[1540.02-1541.02] 历史上
[1541.02-1542.02] 有很大的
[1542.02-1543.02] 级别
[1543.02-1544.02] Q2的
[1544.02-1545.02] 前线
[1545.02-1546.02] 您可以说
[1546.02-1547.02] 您看到的
[1547.02-1548.02] 这一年
[1548.02-1549.02] 低于一级的
[1549.02-1550.02] Q2的
[1550.02-1551.02] 增长
[1551.02-1552.02] 如何
[1552.02-1553.02] 遵守历史
[1553.02-1554.02] 季度
[1554.02-1555.02] 是
[1555.02-1556.02] 高还是低
[1556.02-1557.02] 好
[1557.02-1558.02] 谢谢
[1558.02-1559.02] 谢谢
[1559.02-1560.02] 谢谢
[1560.02-1566.02] 谢谢
[1566.02-1567.02] 谢谢
[1567.02-1568.02] 我
[1568.02-1570.02] 我想
[1570.02-1571.02] 先
[1571.02-1571.84] 讲一下
[1571.84-1572.02] 对
[1572.02-1573.08] 价格
[1573.08-1574.02] 可能
[1574.02-1575.02] 只在
[1575.02-1576.02] 每次
[1576.02-1587.02] 笔
[1587.02-1588.02] content
[1588.02-1595.02] 我们继续看到在Q2中AI和AI主导的应用进行得很好的
[1595.02-1601.02] 我们继续看到电脑的需求健康
[1601.02-1605.02] 以重新增长活动的考虑
[1605.02-1615.02] 以及中国的EV级别和全球中国市场继续给我们信心
[1615.02-1619.02] 我们仍然面临欧洲的前行风险
[1619.02-1623.02] 在西部地球中的工业和自动车
[1623.02-1626.02] 仍然在前行风险下
[1626.02-1627.02] 相比去年
[1627.02-1629.02] 当我们一起包装所有这些
[1629.02-1634.02] 我们相信Q2会逐渐增长
[1634.02-1640.02] 而Q1我们不期望它会更加低
[1640.02-1643.02] 以低级数字增长为指导
[1643.02-1644.02] 当然
[1644.02-1645.02] 我们也希望
[1645.02-1647.02] 各家公司也会继续增长
[1647.02-1649.02] 因为 invited
[1649.02-1654.02] 也将到 altre
[1654.02-1656.02] 湖南和台湾册
[1656.02-1666.02] 此种提到歌
[1666.02-1668.02] 咱们经常待望
[1668.02-1674.02] 海外祝福
[1674.02-1674.84] 美国ursu
[1674.84-1674.98] 片
[1674.98-1675.02] 未必攻击
[1675.02-1676.14] 或确定的命令
[1676.14-1678.10] 目前我们没有看到
[1678.10-1681.62] 所以我们有计划要有增长
[1681.62-1684.54] 但至少我们已经有了
[1684.54-1686.94] 所以我们仍然在看待
[1690.22-1691.02] 明白 谢谢
[1691.02-1694.74] 是否合理说这些指导
[1694.74-1699.78] 是基于永恒加密货币的基础
[1699.78-1701.06] 这就是第一个问题
[1701.06-1702.86] 第二个问题是
[1702.86-1707.62] 您对第二个半段有什么预期
[1707.62-1709.34] 您的视力有否改变
[1709.34-1711.66] 因为费用
[1711.66-1714.22] 还有没有什么看法
[1714.22-1716.94] 您的第二个半段
[1716.94-1722.38] 我看费用的现象
[1722.38-1724.22] 包括全球经济
[1724.22-1727.10] 因为费用的问题
[1727.10-1729.02] 这些问题非常有动力
[1729.02-1732.30] 所以我们对第二个半段
[1732.30-1732.82] 要提供
[1732.82-1734.02] 我们的细节指导
[1734.02-1735.90] 我觉得这是很难的
[1735.90-1737.58] 所以我们可以给的最好的指导
[1737.58-1739.74] 是现在的Q2
[1739.74-1740.58] 邓克劳德
[1740.58-1741.78] 您有更多的评论吗
[1741.78-1742.90] 不
[1742.90-1745.14] 同样的评论
[1745.14-1745.86] 贝文
[1750.66-1751.26] 好的
[1751.26-1752.54] 谢谢你
[1752.54-1754.14] 还有一个问题
[1754.14-1755.34] 关于你的
[1755.34-1757.74] 进化程序
[1757.74-1758.22] 对不起
[1758.22-1759.22] 进化程序
[1759.22-1761.58] 您能不能说说
[1761.58-1762.26] 对于
[1792.82-1794.86] Żeelyanda
[1794.86-1795.30] 他是对的
[1795.30-1795.66] 对
[1795.66-1796.08] 没有
[1796.08-1801.90] 我们是由于
[1801.90-1802.98] 发展出的
[1802.98-1803.18] 世界上最新的
[1803.18-1803.98] 系统
[1803.98-1805.22] 他们不用
[1805.22-1806.72] 任何标准
[1806.72-1806.94] 正式发展
[1806.94-1807.62] 我们的� mountain
[1807.62-1809.02] 仍然牢牢朝着
[1809.02-1812.02] 艺术envolved
[1812.02-1813.74] race
[1813.74-1815.66] 我们AI
[1815.66-1816.82] 对此
[1816.82-1818.02] 我们真正歷нит
[1818.02-1818.56] 区分
[1818.56-1819.04] ii 因为
[1819.04-1819.16] 而到了
[1819.16-1821.32] u
[1821.32-1822.14] r
[1822.14-1822.62] i
[1822.62-1829.62] 与Nexensus的项目相同
[1829.62-1833.62] 这意味着,在项目上,
[1833.62-1837.62] 它们在某些情况下会增长,
[1837.62-1839.62] 或者在某些情况下会平均,
[1839.62-1843.62] 因为它们被遇到的部分。
[1843.62-1845.62] 但这也正如预期的情况下,
[1845.62-1847.62] 与OPEX有关,
[1847.62-1852.62] 所以我们在两个领域中有很大的改进。
[1852.62-1855.62] 所以我们很高兴。
[1855.62-1860.62] 我们也做了很多努力,
[1860.62-1866.62] 以亚洲IT系统进行联系,
