[0.00-4.40] 我們接下來這一場是邀請到軍心國際
[205.88-208.38] 那季成長1.41個百分點
[208.38-210.26] 年成長4.89個百分點
[210.26-214.46] 那當季的一個EPS是2.4元
[214.46-218.48] 那相較於第三季2.89元成長26.9%
[218.48-221.28] 那相較於前一個年度的同期1.16元
[221.28-223.78] 是成長了106.9%
[223.78-229.26] 那整個2024年我們的EPS就是9.21元
[229.26-232.48] 那再來按產品別來看的話呢
[232.48-237.66] 我們第四季最大的一個營收比重是在齒輪箱的部分
[237.66-240.24] 尤其是在11、12月
[240.24-242.76] 就是那個因為
[242.76-245.94] 美國大選完之後就是
[245.94-247.76] 新任總統川普上台之後吧
[247.76-250.14] 因為他就有那個關稅的一個議題
[250.14-253.38] 那因為我們主要的美系客人的部分呢
[253.38-255.04] 他們就有臨時加單
[255.04-258.80] 那這個各位可以看到我們在11、12月到今年1月的部分
[258.80-261.58] 營收都有一個很大幅的一個增加
[261.58-262.42] 主要就是因為
[262.48-266.38] 客人這一個部分的一個提前拉貨的一個要求
[266.38-270.34] 那這個部分就其中又大概有半數以上是屬於這個
[270.34-272.34] 圓鈴工具類的一個齒輪箱
[272.34-276.14] 所以可以看得到第四季很明顯的這個齒輪箱的一個占比
[276.14-278.14] 就有一個比較大的一個提升
[278.14-281.64] 從占比達到38.48%
[281.64-283.32] 那也因為這樣的關係呢
[283.32-285.32] 除了質詞也有稍微增加以外呢
[285.32-287.94] 其他的產品包括傘匙啦
[287.94-289.94] 粉墨眼睛五金劍等等
[289.94-292.48] 都反而占比是有點下提
[292.48-293.48] 下跌的
[293.48-295.98] 那另外在齒輪眼膜斜波跟其他的部分
[295.98-297.48] 那這部分呢裡面有包含
[297.48-299.98] 一些包含工業機器人用的一些齒輪
[299.98-303.48] 雖然第四季工業機器人齒輪成長也相當不錯
[303.48-307.48] 不過成長還是沒有像齒輪上那個因為提前拉貨而大幅增加
[307.48-310.48] 所以它還是有小幅的占比的一個減少
[310.48-315.48] 那再來如果以應用比來看的話呢
[315.48-320.48] 我們第四季最大的一個應用比就是在電動工具62.73
[320.48-322.48] 那原理工具呢是進一步提升到
[322.48-324.48] 26.91%
[324.48-326.48] 那原因就是我剛剛說的因為提前拉貨
[326.48-330.48] 主要就是在圓鈴工具類的齒輪上這個部分
[330.48-334.48] 所以第四季度圓鈴工具就拉到了26.91%
[334.48-336.48] 那相較智能傳動
[336.48-338.48] 雖然有稍微下降一點
[338.48-340.48] 但是以絕對金額來講它其實是在成長的
[340.48-342.48] 只是說成長幅度沒有那麼
[342.48-344.48] 不像圓鈴工具那麼高
[344.48-348.48] 或是反而產品應用別的占比反而有小幅的一個下跌
[348.48-350.48] 那另外就是
[350.48-352.48] 另外就是
[352.48-356.48] 那另外在資產負債表及重要的一個財務指標的一個部分呢
[356.48-360.48] 那我們在去年底的話現金的部分
[360.48-363.48] 大概約當有71.51新台幣的部分
[363.48-368.48] 那另外呢我們在年底還有定期存款的部分大概有3億多
[368.48-371.48] 所以存款加就是現金加存款的話
[371.48-375.48] 大概還有10.71台幣的一個水準
[375.48-379.48] 所以整個的現金部位算是相當的不錯啦
[379.48-381.48] 那另外在存貨的部分呢
[381.48-384.48] 營收賬款的部分是8.98億
[384.48-387.48] 大概主要就是因為第四季營收大幅成長
[387.48-390.48] 所以那個客人的一些營收賬款還沒到期
[390.48-392.48] 所以營收賬款有大幅的一個增加
[392.48-394.48] 這個原因也算是非常正常
[394.48-398.48] 那存貨的部分我們有持續在精進存貨的管理
[398.48-402.48] 再加上我們存貨的去化有產生一些回升利益
[402.48-404.48] 所以我們第四季雖然營收創新高
[404.48-410.48] 可是我們的存貨進額反而是比上一個季度或是二三年底還要來的減少一點點
[411.48-413.48] 所以我們的存貨轉變率是比較少的
[413.48-417.48] 那這個也讓我們的存貨周轉率表現得更好
[417.48-419.48] 那另外在整個資產的部分
[419.48-423.48] 我們就來到了38億8726萬8千元
[423.48-428.48] 那也都比上一個季度跟上一個年度有明顯的一個增加
[428.48-430.48] 那在流動負債的部分呢
[430.48-433.48] 則是維持大概在8.9億的部分
[433.48-435.48] 那各位如果去看的話
[435.48-439.48] 其實我們到去年底真的有息的那個借款其實已經很低了
[439.48-441.48] 大概只剩下跟
[441.48-444.48] 上海商銀還有一個20幾萬美金的一個借款
[444.48-447.48] 所以就是我們銀行借款也相當的低啦
[447.48-451.48] 所以整個公司的一個整個財務結構來說是相當的健全
[451.48-454.48] 也沒有什麼太多的一些負債
[454.48-458.48] 那所以整個我們的去年底的股東權益
[458.48-462.48] 就進一步來到了29億台幣的一個水準
[462.48-465.48] 那整個的一個股東權益淨值佔比
[465.48-469.48] 在資產的比重來大概約當時75%左右
[469.48-472.48] 那平均收現天數的話是94天
[472.48-474.48] 那銷貨天數111天
[474.48-476.48] 那流動比率是3.14倍
[476.48-480.48] 那大概可以明顯看出來整個跟上一個季度差不多
[480.48-487.48] 那不過也明顯已經從22年23年那種營運的谷底有明顯的一個回升
[487.48-491.48] 那以上是這個上一個季度的一個營運成果的一個報告
[491.48-495.48] 那接下來是不是我們就直接進入這個問答的一個時間
[499.48-501.48] 謝謝
[529.48-542.48] 那我這邊先說明然後再請總經理這邊再補充
[542.48-547.48] 應該是說我們去年原本對於今年的展望
[547.48-550.48] 本來去年在我們內部在編制預算的時候
[550.48-555.48] 本來針對我們最終最主要的產品包括圓鈴工具電動工具類這一塊
[555.48-559.48] 我們本來的看法大概是10到15%
[559.48-561.48] 然後我們就有一個成長啦
[561.48-564.48] 我們的看法是年度大概這樣的一個成長目標
[564.48-569.48] 可是那個時候呢其實還沒有這個就是這個關稅議題
[569.48-572.48] 而緊急拉貨的這個其實還沒有發生
[572.48-577.48] 那可是在這個整個因為11月12月整個有緊急拉貨之後
[577.48-580.48] 就等於是有多了一些營收出來嘛
[580.48-584.48] 那但是我也擔心就是說那這個去年已經提前拉貨的部分
[584.48-588.48] 是不是有可能就是在今年就是如果整個客人的
[588.48-589.48] 最終需求是多少
[589.48-590.48] 需求沒有再增加的話
[590.48-592.48] 那有可能就是因為你提前拉了
[592.48-595.48] 那你今年可能就會被受到影響
[595.48-600.48] 那所以這個目前看起來第二季以後的還沒有很明朗
[600.48-604.48] 坦白講因為客人現在整個國際情勢也是比較變化比較大
[604.48-610.48] 像看我們去看那個川普今天說要漲客觀稅
[610.48-613.48] 隔天就馬上又說要取消或豁免或怎麼樣
[613.48-618.48] 其實看起來就是大家也是在觀望到底
[618.48-620.48] 最終到底會怎麼樣
[620.48-623.48] 那所以其實第二季之後的一個訂單
[623.48-629.48] 其實會不會大幅的減少或怎麼樣其實沒有非常的明確啦
[629.48-631.48] 那只是說目前看起來還好
[631.48-634.48] 那所以以整年度來看的話
[634.48-639.48] 可能假設下半年沒有再大幅的一個增加訂單的話
[639.48-643.48] 可能這個我們在電動工具跟園林工具這部分的
[643.48-647.48] 可能就沒有辦法像我們原本預估到10到15%這樣的一個
[647.48-650.48] 可能會稍微下修這個部分
[650.48-654.48] 那另外在新的產品包括工業機器人啊
[654.48-656.48] 顯波減速器的部分
[656.48-659.48] 目前看起來應該展望還不錯
[659.48-663.48] 就是以今年我們去年第四季已經接到
[663.48-667.48] 包括今年上半年可能有排定要預計出貨的這一塊
[667.48-669.48] 以這樣子的來推估
[669.48-671.48] 只要下半年沒有太差
[671.48-675.48] 全年度應該到兩成以上的一個營收成長
[675.48-677.48] 應該是可達到的一個成長
[677.48-679.48] 可能性應該是蠻高的
[679.48-684.48] 大概這是我們對於今年的一些看法
[686.48-688.48] 那我再補充一下
[688.48-695.48] 我們在23年做這個24年的這個預測的時候
[695.48-698.48] 因為主要是取決於最大的客戶
[698.48-700.48] 那個提客戶啊
[700.48-705.48] 那他本來就很看好24年
[705.48-706.48] 所以說呢
[707.48-711.48] 他那時候他說會有這個百分之三十
[711.48-714.48] 25到30的成長
[714.48-717.48] 那經過了24年的驗證呢
[717.48-722.48] 實際上他也有百分之二十的成長
[722.48-725.48] 那在這個去年年底
[725.48-729.48] 這個我們的大客戶的預測
[729.48-732.48] 那時候還沒有提前拉貨
[732.48-736.48] 他也說有百分之15到18的成長
[736.48-740.48] 那提前拉貨的影響影響了多少呢
[740.48-743.48] 我們來去精算它
[743.48-748.48] 大概是這個2500萬的人民幣啊
[748.48-752.48] 影響了全年這個成長率
[752.48-756.48] 應該是在3到4
[756.48-759.48] 那以這樣子一個推論
[759.48-764.48] 應該是這個就這個這些數據來看
[764.48-767.48] 再加上前一陣子這個稅
[767.48-770.48] 關稅的這個起伏不定啊
[770.48-776.48] 那那個客戶都已經也準備提早拉貨
[776.48-781.48] 但是說實話貨沒有全部出出去
[781.48-783.48] 因為他們也在觀望
[783.48-788.48] 那這個取決於這個最後
[788.48-790.48] 加拿大課不課稅
[790.48-792.48] 墨西哥課不課稅
[792.48-793.48] 好
[793.48-796.48] 那這個課稅是已成定局嗎
[796.48-799.48] 不過如果中國課稅
[799.48-801.48] 墨西哥不課稅
[801.48-803.48] 那又會是怎麼樣
[803.48-807.48] 對我們的客戶其實並沒有太大影響
[807.48-809.48] 那如果中國課稅
[809.48-811.48] 墨西哥課稅
[811.48-813.48] 那越南不課稅
[813.48-815.48] 那對我們的客戶
[815.48-817.48] 它又是另外一個規劃
[817.48-818.48] 但是不管怎麼樣
[818.48-820.48] 對我們公司來講
[820.48-822.48] 都是有利的
[822.48-824.48] 都是正面的
[824.48-825.48] 所以呢
[825.48-827.48] 補充說明就是
[827.48-829.48] 對後面的影響
[829.48-830.48] 提前拉貨
[830.48-832.48] 對後面的影響
[832.48-835.48] 大概應該估計有3到5%
[835.48-839.48] 但是今年整年修正後
[839.48-843.48] 也是就是我們的大客戶
[843.48-847.48] 也是有12到15%的成長
[847.48-849.48] 以上報告
[852.48-880.48] 那如果以產能分佈的話
[880.48-882.48] 我們目前有兩個公司
[882.48-885.48] 主要就是珠海廠跟越南廠
[885.48-887.48] 那以去年來說的話
[887.48-891.48] 珠海大概佔我們整個的比重的話
[891.48-893.48] 大概還佔80%左右
[893.48-896.48] 那越南的部分是佔20%左右
[896.48-898.48] 尤其是因為
[898.48-900.48] 本來越南廠佔比會比較高一點點
[900.48-902.48] 但是因為11 12月
[902.48-904.48] 那個提前拉貨的大部分
[904.48-906.48] 都是從珠海那邊生產出去的
[906.48-908.48] 所以這一塊就是
[908.48-910.48] 後來11 12月再上去之後
[910.48-912.48] 反而珠海的那個生產
[912.48-914.48] 珠海又稍微提高了一點點
[914.48-918.48] 大概佔了全年度大概佔了80%左右
[918.48-920.48] 那以今年的部分看起來
[920.48-923.48] 因為目前客戶的一些新的項目
[923.48-926.48] 大部分都是到越南去做
[926.48-928.48] 做開發打樣
[928.48-930.48] 然後到量產
[930.48-932.48] 那所以這一塊
[932.48-936.48] 越南可以看出來就是比重會逐漸一直在提升
[936.48-940.48] 那可能到今年的部分的話
[940.48-942.48] 到年底的話有可能
[942.48-945.48] 會提升到大概接近20%左右
[945.48-948.48] 但全年度不會到20%
[948.48-953.48] 因為這個提升的程度也是會逐漸慢慢增加上去的
[953.48-956.48] 那也因應這個
[956.48-959.48] 我們那個客人對我們
[959.48-962.48] 越南廠這邊的一個要求
[962.48-966.48] 那我們其實我們在1月份的董事會就有通過
[966.48-967.48] 也有發重訊
[967.48-969.48] 就是我們會對越南子公司
[969.48-971.48] 就是增資500萬美金
[971.48-975.48] 那主要就作為它二期廠房的一個新簽
[975.48-980.48] 那因為當初我們越南廠總共買的土地是44600多平方米
[980.48-983.48] 那目前蓋了一期
[983.48-985.48] 就是我們一開始的時候
[985.48-987.48] 20年的時候開始動工蓋了一期
[987.48-989.48] 在21年底完成
[989.48-991.48] 22年一起投入量產
[991.48-993.48] 那經過這個三年多的時間
[993.48-996.48] 那產能也逐步接近會滿載
[996.48-999.48] 然後所以這一塊客人也積極包挖了
[1001.48-1005.48] 然後我們也有發日本的客人跟歐洲的客人
[1005.48-1007.48] 其實也都陸陸續續到我們
[1007.48-1009.48] 越南廠已經完成生產
[1009.48-1011.48] 那也希望就是
[1011.48-1015.48] 我們能夠積極在這邊做擴廠
[1015.48-1018.48] 還滿足客戶未來訂單的一個成長的一個需求
[1018.48-1021.48] 所以我們在1月份的董事會就已經通過
[1021.48-1024.48] 對越南廠這邊增資500萬美金
[1024.48-1030.48] 那其他一部分就是用作為這個建這個廠房的這部分的一些金額
[1031.48-1035.48] 那預計的話應該是第二季會完成發包
[1035.48-1039.48] 那目前已經在做一些廠房的一些設計
[1039.48-1041.48] 包括跟當地的一些建築師
[1041.48-1044.48] 去做一些廠房的一些設計
[1044.48-1047.48] 那目標是今年第二季完成發包
[1047.48-1050.48] 然後在年底前來完成這個二季廠房的一個興建
[1050.48-1053.48] 那明年度投入量產
[1053.48-1055.48] 以上
[1059.48-1061.48] 我補充說明一下
[1061.48-1064.48] 我們的客戶的主力客戶
[1064.48-1068.48] 他原來對越南的這個分部
[1068.48-1071.48] 由中國轉移到那個越南
[1071.48-1073.48] 那他的一個計畫
[1073.48-1076.48] 那再加上剛才財務長所報告的
[1076.48-1081.48] 很多歐洲跟日本的大品牌客戶
[1081.48-1085.48] 也陸續在這個24年的第四季
[1085.48-1089.48] 跟25年的第一季開始
[1089.48-1091.48] 完成神廠的動作
[1091.48-1095.48] 所以說那個越南的產能
[1095.48-1097.48] 跟越南的產值啊
[1097.48-1101.48] 這個提升是按照這個原來的計畫
[1101.48-1103.48] 那按照我們的這個
[1103.48-1106.48] 原來最大客戶的規劃
[1106.48-1110.48] 他是那個23年啊
[1110.48-1113.48] 是越南10%
[1113.48-1116.48] 中國呢90%
[1116.48-1119.48] 那這個有實現了
[1119.48-1121.48] 然後到了24年
[1121.48-1124.48] 是越南20%
[1124.48-1126.48] 那個中國呢
[1126.48-1129.48] 就是加墨西哥
[1129.48-1132.48] 是80%
[1132.48-1135.48] 那這個也實現了
[1135.48-1138.48] 那現在接著是到25年
[1138.48-1140.48] 然後25年他的規劃呢
[1140.48-1143.48] 是越南35%
[1143.48-1148.48] 那個中國35%
[1148.48-1150.48] 墨西哥30%
[1150.48-1152.48] 那這裡為什麼要提墨西哥呢
[1152.48-1156.48] 就是因應了我剛才所說的
[1156.48-1158.48] 如果這邊有加稅
[1158.48-1159.48] 那邊沒加稅
[1159.48-1162.48] 那那邊就會多轉一些
[1162.48-1165.48] 如果那個通通有加稅
[1165.48-1167.48] 那就轉到越南
[1167.48-1171.48] 那如果那個兩邊稅都還可以接受
[1171.48-1174.48] 那很有可能中國的比重
[1174.48-1176.48] 還是會打入墨西哥
[1176.48-1178.48] 但是不管怎麼樣
[1178.48-1179.48] 這個都是按照我們計畫的
[1179.48-1181.48] 是按照我們計定的
[1181.48-1183.48] 所以配合的這個計畫
[1183.48-1187.48] 那個啟動越南二廠的
[1187.48-1191.48] 這個兴建跟投產
[1191.48-1195.48] 這個也都是如期的在進行
[1195.48-1207.48] 但是這個編號有北京儲存мы
[1207.48-1209.48] 對
[1209.48-1211.48] треть個賺港於新北京
[1211.48-1216.48] 所以先拿這個
[1216.48-1220.84] 我現在把這個
[1220.84-1223.48] 心甘我是unciation
[1223.48-1224.48] 在醫院的腺� separer
[1224.48-1230.24] 這邊展示的這個屬於客人用的那個機器人手臂用的一個轉向齒輪組
[1230.24-1236.48] 那這一塊呢我們的客戶的話他大概有分低載低負載幾十公斤級的
[1236.48-1238.80] 然後在中負載到高負載
[1238.80-1243.76] 那高負載的話大概可以從250公斤到1100公斤左右
[1243.76-1250.88] 那這邊展示的是屬於高負載的那個機器人手臂用的那個轉向齒輪
[1250.88-1257.36] 那大概以這個客人的話他大概一隻機器手臂大概會用三組
[1257.36-1262.72] 三組六顆這樣子的一個齒輪組
[1262.72-1268.32] 那我們出給他的包含低負載中負載跟高負載都有
[1268.32-1273.28] 那另外這一顆的話是屬於機器人手臂用的消氣齒輪
[1273.28-1277.60] 主要是出給一個客人他的那個焊接機器人用的消氣齒輪
[1277.60-1280.08] 那另外這部分的話
[1280.08-1280.80] 是我們
[1280.80-1283.84] 自己的斜波減速器包括
[1283.84-1286.08] 協作機器人用的一個斜波減速器
[1286.08-1289.36] 跟這個69手臂用的一個斜波減速器
[1289.36-1293.04] 那斜波減速器裡面呢其實最主要的這幾個零件
[1293.04-1295.84] 包括柔輪鋼輪交叉滾子軸承
[1295.84-1297.52] 還有這個波發燈器
[1297.52-1300.24] 那這些產品都零件都是我們自己做的
[1300.24-1302.64] 那大概這三個零件是最貴的
[1302.64-1306.56] 這三個零件加起來就大概占超過五成的成本
[1306.56-1309.76] 那以整個斜波減速器呢
[1309.76-1310.72] 整個那個零件呢
[1310.72-1313.04] 我們以金額來算的話
[1313.04-1316.08] 我們自己的自製率大概超過65%
[1316.08-1321.68] 那另外的35%才是外購或者是外包生產這樣子
[1321.68-1324.56] 所以其實我們自製的比重還蠻高的
[1324.56-1327.20] 那大概就是簡單介紹一下
[1327.20-1328.88] 就是讓大家知道
[1328.88-1332.88] 我們金星真的是有在做機器人齒輪跟斜波減速器
[1332.88-1335.60] 而且是實際有出貨有量產的
[1335.60-1337.20] 以上
[1340.72-1342.72] 那我再說明一下
[1342.72-1347.84] 剛才說的這個高負載跟中低負載
[1347.84-1354.48] 這一個是所謂的六軸搬運機器人
[1354.48-1360.72] 那主要的客戶已經在前幾次也有跟各位報告
[1360.72-1366.00] 我們在這個機器人族群四大家族
[1366.00-1368.56] 我們已經做進去了兩家
[1368.56-1370.64] 那這些產品主要就是在那個
[1370.72-1372.48] 就是所謂的K客戶
[1372.48-1376.32] 那它有三種
[1376.32-1379.36] 一個叫做Civic Tech
[1379.36-1380.96] 那個是大負載
[1380.96-1382.56] 一個是Full Tech
[1382.56-1384.96] 那個是中大負載
[1384.96-1386.96] 一個是Queen Tech
[1386.96-1388.96] 那是中小負載
[1388.96-1394.32] 那我們目前營收比重
[1394.32-1398.72] 佔50%以上的是Queen Tech
[1398.72-1399.84] 就是這個
[1399.84-1400.64] 中小負載
[1400.64-1412.16] 那它在2025年的這個未來六個月的這個開發跟營收的這個
[1412.16-1424.00] 是唯一比去年8月在手的這個訂單跟開發的項目唯一一個還要成長的
[1424.00-1430.08] 所以我們對未來在這個機器人的這個產品
[1430.08-1430.56] 啊
[1430.56-1440.00] 由23年的5%佔比到24年已經實現的剛才報表的6.7
[1440.00-1447.84] 我們呢是很樂觀的可以那個必達目標應該在8%
[1447.84-1454.24] 那我們還設了一個期望目標是到這個9到10%
[1454.24-1456.48] 為什麼我們省省樂觀
[1456.48-1460.48] 因為我們手上已經有才從
[1460.48-1470.72] 第四季開始送樣進入人型機器人的一個4家以上的客戶
[1470.72-1480.32] 其中人型機器人的產品有一個我們的投入跟時機點
[1480.32-1484.56] 這個可能待會財務長可以說明一下
[1484.56-1486.40] 因為整個專案啊
[1486.40-1489.60] 他這邊在附許的
[1489.60-1490.32] 就是說
[1490.32-1494.40] 以前的所有的這個hd啊
[1494.40-1497.84] 機械手臂關節的這一些
[1497.84-1500.96] 我們進入的時間雖然已經很久
[1500.96-1504.56] 但是我們已經沒有先機
[1504.56-1508.24] 那這一次的人型機器人是明日之星
[1508.24-1514.08] 也是AI產業同國發展接觸就是最緊密的
[1514.08-1516.08] 那我們呢
[1516.08-1518.16] 看過去所有的所謂的供應商呢
[1518.16-1518.32] 我們呢看過去所有的所謂的供應商呢
[1518.32-1519.76] 我們呢看過去所有的所謂的供應商呢
[1519.76-1521.04] 我們呢看過去所有的所謂的供應商呢
[1521.04-1524.88] 沒有一家是已經有成熟產品
[1524.88-1531.28] 所以我們在這個時候切進去是一個最好的時機
[1531.28-1533.84] 而且我們是有絕對的優勢
[1533.84-1538.96] 而且我們開發我們自主開發
[1538.96-1544.72] 由這個hd領域應用到人型機器人的關節
[1544.72-1548.88] 我們有成有一個新的專案
[1548.88-1549.60] 是自己的專案來的
[1549.60-1550.88] 是自己的專案來的
[1550.88-1553.44] 這個要容許我賣個關子
[1553.44-1557.28] 因為這個是我們的秘密武器
[1557.28-1558.56] 明日之星啊
[1558.56-1562.40] 那我剛才報告的有三家
[1562.40-1566.24] 宋漾一家這個
[1566.24-1570.08] 第二季以前會量產的
[1570.08-1572.64] 人型機器人關節
[1572.64-1579.44] 跟這個等同人型機器人關節的這個叫做機械狗
[1579.44-1579.60] 跟這個等同人型機器人關節的這個叫做機械狗
[1579.60-1582.16] 的關節
[1582.16-1587.28] 這個是已經就是有進度的
[1587.28-1592.40] 所以說對於這一塊是蠻熱狂的
[1592.40-1593.68] 以上報告
[1593.68-1605.20] 我們現在看到大部分就是2012年為了這個關節做主
[1605.20-1609.44] 那它在中東的這個庫存是
[1609.44-1612.00] 確實都已經消耗掉了
[1612.00-1614.56] 它只是為了經營這個關節
[1614.56-1615.84] 然後它拉高它的供應
[1615.84-1619.68] 因為如果中東的庫存
[1619.68-1622.24] 能夠很順利的去往
[1622.24-1626.08] 就會是一個對後續
[1626.08-1628.64] 畢業生的一生一世之後
[1628.64-1631.20] 它通過正等的提供一種
[1631.20-1632.48] 它恢復這個脫穎的話
[1632.48-1635.04] 就會比較多
[1635.04-1638.56] 但我們知道說就是它也沒有這麼的
[1638.56-1639.28] 會先
[1639.28-1641.84] 就是提供這個地方
[1641.84-1645.68] 對關於這一點
[1645.68-1649.52] 第一個客人是不會提供給我們這方面的訊息的
[1649.52-1652.08] 不過我們可以合理的推估
[1652.08-1655.92] 因為那個拉貨從11月開始
[1655.92-1659.76] 到現在其實也差不多才四個多四五個月
[1659.76-1662.32] 那以四五個月來說的話
[1662.32-1663.60] 以我們過往的經驗
[1663.60-1668.72] 我們的零件到客戶做成成品到客人中端需求的話
[1668.72-1669.24] 其實是有的有的
[1669.24-1670.52] 其實要八九個月
[1670.52-1674.36] 所以不太可能這個時間已經到
[1674.36-1676.92] 到我客戶的客戶去了
[1676.92-1678.20] 我認為應該還沒有
[1678.20-1680.24] 合理的預估還沒有
[1680.24-1682.56] 所以這一塊我們才會說
[1682.56-1685.88] 那可能後續的那個還要再觀察看看
[1685.88-1687.16] 對
[1687.16-1689.20] 因為我的意思就是說
[1689.20-1692.80] 因為它這個20%已經扣下去的生效
[1692.80-1696.12] 那因為也有一段時間
[1696.12-1698.16] 比如說從它宣布要生效後
[1698.16-1699.20] 可能有幾年半的時間之後
[1699.24-1702.32] 那不是好說客人對一些
[1702.32-1703.84] 因為現在第一季也快結束了
[1703.84-1706.16] 那對於這個一二季之後的
[1706.16-1707.94] 生產台產
[1707.94-1710.50] 就是說你們看這個輸出的方向是
[1710.50-1714.34] 原則上來講是QOQ應該是要進增才能
[1714.34-1715.88] 就是說過往的可以成成
[1715.88-1717.16] 還是因為今天這個
[1717.16-1718.18] 不利過硬的影響
[1718.18-1719.72] 所以你會覺得說
[1719.72-1722.54] 就是QOQ可能會很便宜
[1722.54-1725.86] 或是可能會稍微進步
[1725.86-1726.88] 你是第一季還是
[1726.88-1727.66] 第二季
[1727.66-1728.16] 第二季嗎
[1728.16-1728.68] 對對
[1728.68-1729.20] Massas
[1729.24-1730.26] 對比第一季
[1730.26-1731.80] 對比第一季喔
[1731.80-1737.18] 應該目前如果合理看法的話應該QOQ會減
[1737.18-1737.94] 對
[1737.94-1741.02] 因為第二季一般來講本來就
[1741.02-1742.56] 比較弱一點
[1742.56-1744.08] 以正常情況下
[1744.08-1746.90] 那去年我們會看第二季還不錯是
[1746.90-1749.72] 去年因為又碰上一個鴻海事件
[1749.72-1752.02] 造成一些客人
[1752.02-1754.08] 他因為擔心那個
[1754.08-1755.60] 應該要多繞
[1755.60-1759.20] 所以他們可能就有這樣子多倍的這種零食可能一天一天的
[1759.24-1761.80] 一個月到兩個月的這種安全庫存
[1761.80-1763.84] 所以才造成第二季有點類似
[1763.84-1766.92] 去年第二季有點類似淡季不淡的這種情況
[1766.92-1767.68] 要不然
[1767.68-1771.02] 以過往正常情況下第二季往往是我
[1771.02-1772.80] 就電動工具跟圓鈴工具的話
[1772.80-1775.88] 第二季大概都是我們四個季度
[1775.88-1776.90] 算是最差的
[1776.90-1780.24] 就是會最弱的一個季度
[1780.24-1783.56] 那以今年來說的話因為變數還比較大
[1783.56-1785.86] 所以我們內部也在觀察啦
[1785.86-1789.20] 只是說以客人的全年度的展望來講的話
[1789.24-1791.04] 其實跟去年
[1791.04-1793.34] 是有小幅成長的啦
[1793.34-1795.38] 所以我們認為
[1795.38-1797.94] 有一個關稅議題的一個
[1797.94-1798.72] 干擾
[1798.72-1800.76] 但是我們覺得
[1800.76-1802.56] 也應該不至於
[1802.56-1804.86] 落差太大不會說什麼
