[0.00-2.64] 各位投資先進媒體朋友
[185.88-189.60] 第七頁在各子公司獲利方面
[190.08-193.72] 銀行產險投信上半年的稅後經歷
[193.72-196.64] 都續創歷年的同期新高
[197.04-200.92] 證券是創歷史的次高
[201.64-205.24] 其中銀行稅後經歷達到234億
[205.24-208.68] year on year是better 16%
[209.16-212.52] 產險的經歷是年成長45%
[212.52-217.28] 投信年成長14%
[218.36-219.84] 那人壽的獲利
[220.20-224.04] 剛剛我們有看到在去年的投資收益是
[224.04-228.16] 高基期跟台幣大幅升值的影響是有較減少
[228.68-233.96] 不過在經常性的收益包括利息跟股利都有提升
[234.40-236.92] 保險本業營運是維持穩健
[237.72-241.16] 上半年金控的ROE是10.9%
[241.64-246.60] 銀行產險投信證券的ROE也都有優異的表現
[247.88-250.96] 那第八頁這邊在淨值的部分
[250.96-255.16] 受台幣升值金融資產評價下滑的影響
[255.44-259.52] 金控淨值是7814億
[259.96-263.60] 那普通股美股的淨值是45.9元
[265.40-268.32] 下一頁我們看在海外營運方面
[269.00-274.12] 銀行7月有獲准設立東京分行跟福岡的出張所
[274.48-280.20] 那另外上半年大陸陸家嘴國售的保費收入是年成長15%
[281.32-283.84] 那接下來我們看國泰世華銀行
[285.16-286.92] 在存放款方面
[287.36-290.92] 上半年的這個放款動能強健
[291.64-296.28] 第二季底的放款餘額是2.7兆年成長11%
[296.68-300.00] 那其中房貸的年成長11%
[300.32-303.16] 個人貸款年成長21%
[303.36-305.44] 那都有雙位數的成長
[306.36-311.08] 存款截至半年底的餘額是4兆年成長15%
[311.56-316.48] 那低成本的這個活存比是超過61%
[318.24-319.88] 那在淨利差方面
[319.88-323.92] 上半年累計淨利差是1.56%
[324.16-326.96] 存放利差是1.86%
[327.20-331.08] 那都比去年同期是上升6個BP
[331.72-335.80] 那主要受惠存款結構調整跟外幣資金成本
[335.80-337.56] 因為降息而走低
[338.08-342.96] 那我們看下方這個第二季QOQ的這個單季分析
[343.44-349.24] 在淨利差跟存放利差也都有較上一季進一步的提升
[349.24-353.56] 那下一頁我們看在資產品質方面
[353.56-356.96] 是持續維持良好的品質
[356.96-361.04] 截至上半年的這個預放比是0.14%
[361.04-364.36] 被呆覆蓋率是1200%
[365.56-368.84] 那上半年的茅提存是32億
[368.84-372.36] 呆帳回收recovery的金額是9億
[372.36-375.52] 那netting之後的淨提存是23億
[375.52-378.36] 換算是12億
[378.36-382.00] 換算credit cost是17個BP
[383.44-387.36] 那下一頁我們看中小企業跟外幣放款方面
[387.36-390.36] SME放款持續穩健成長
[390.36-393.92] 上半年底的餘額是3,509億
[393.92-395.76] 年成長6%
[395.76-399.48] 占全行放款餘額13%
[399.84-402.04] 那外幣放款也持續成長
[402.04-405.64] 上半年底的餘額是2,822億
[405.64-407.72] 那如果排除匯率的影響
[407.72-412.40] 今年以來year to date的成長是10%
[413.92-416.16] 那下一頁在海外獲利方面
[416.16-418.52] 上半年海外獲利是52億
[418.52-421.56] 那比去年同期顯著的成長
[421.56-425.92] 那主要受惠於存放款跟投資收益的回升
[427.24-429.24] 在手續費淨收益方面
[429.24-433.48] 上半年的淨收收達178億
[433.48-435.72] 年成長28%
[435.72-440.12] 那主要財富管理首收年成長超過三成
[440.12-445.00] 那還有就是信用卡國內外的消費金額增加
[445.00-449.20] 信用卡的淨收收年成長是16%
[450.44-456.08] 那我們在進一步就財管首收分享的內容來看
[456.08-460.84] 上半年財管手續費淨收益是112億
[460.84-463.72] 年成長達34%
[463.72-467.92] 那其中共同基金的年成長是35%
[467.92-471.12] 保險商品年成長53%
[471.12-476.60] 那財管的客戶數跟AEWM也都持續穩健的增長
[476.60-479.84] 那為未來的財管業務進一步成長
[479.84-483.44] 有提供一個良好的基礎跟動能
[483.44-485.96] 那銀行今年全年整體的淨收收
[485.96-491.16] 也渴望維持這個double digit雙位數的成長
[491.16-494.36] 那接下來我們看國泰人壽的部分
[496.96-498.52] 在保費收入方面
[498.52-503.60] 2025年上半年的總保費收入達2552億
[503.60-506.00] 年成長18%
[506.00-510.52] 那主要受惠投資型保單跟美元傳統型商品的
[510.52-513.24] 銷量顯著成長
[513.24-517.32] 那我們看高企業證貢獻的這個保障型商品的
[517.36-520.60] 總保費收入年成長有6%
[522.44-526.16] 那在初年度保費收入跟等價保費收入方面
[526.16-530.88] 上半年FYP是達到953億
[530.88-532.92] 年增82%
[532.92-537.80] 那主要因為投資型商品跟傳統美元儲蓄型商品的
[537.80-540.44] 銷量有大幅的成長
[540.44-544.92] 那同時也帶動FYP達309億
[544.92-547.32] 年成長是13%
[549.08-552.76] 那我們再看在健康跟意外險一樣
[552.76-554.08] 一而十下降
[554.08-558.96] 那主要是受去年相關法令變更停售效益的影響
[558.96-560.04] 稀奇比較高
[562.12-564.64] 下一頁在新契約價值方面
[564.64-567.76] 上半年的VNB是180億
[567.76-570.00] 年成長12%
[570.00-574.64] 那主要也是因為在美元傳統型跟投資型商品的
[574.64-576.60] 銷量有大幅的成長
[578.60-581.04] 那另外我們看22頁這邊
[581.04-586.48] 第二季底的這個負債成本是3.84%
[586.48-589.92] 那比上一季是增加5個BP
[589.92-593.40] 那除了受利變型商品宣告利率調升
[593.40-596.04] 跟台幣升值的影響
[596.04-598.28] 那主要是在6月份
[598.28-603.92] 我們有做特定商品責任準備金利率跟這個生命表的調整
[605.64-608.64] 那在這個整一兩坪的
[608.64-610.88] 這個我們看這個右下方這邊
[610.88-614.04] 資產報酬率是2.95%
[617.04-619.24] 那下一頁在資產配置方面
[619.24-624.32] 國售2025年上半年的總投資金額是7.8兆
[624.32-627.72] 海外投資佔比是68%
[628.72-631.64] 那第二季我們拉高現金部位
[632.64-636.64] 到這個5.2%來因應市場的波動
[636.64-640.28] 那我們看各項資產的投資收益
[640.28-642.20] 在最右邊這邊
[642.20-648.16] 其中國內股票的年化投資報酬率是9.2%
[648.16-651.44] 國外股票是8.1%
[651.44-656.16] 那包括放ETF的國內債是5.1%
[656.16-658.64] 國外債是4%
[659.64-665.64] 下一頁我們看上半年整體的投資收益率是3.47%
[665.64-667.64] 那比去年同期下降
[667.64-672.64] 主要反映避險成本增加跟資本利得的減少
[672.64-679.64] 那不過我們剛剛也有報告到在經常性收益是比去年同期提升
[680.64-685.64] 那下一頁我們看在上半年的這個避險前
[685.64-689.64] 經常性的收益率是達3.41%
[689.64-692.64] 比去年同期提升11個BP
[692.64-696.64] 那主要持續在利率高位來不見債券
[696.64-698.64] 利息收入持續成長
[698.64-703.64] 那同時上半年的股利收入也比去年同期增加
[703.64-706.64] 那另外就避險方面
[706.64-710.64] 上半年的年化避險成本是1.45%
[710.64-714.64] 那第二季台幣強升了11%
[714.64-718.64] 那第三季台幣就提前來拉高這個避險比率
[718.64-722.64] 那同時適用外匯價格變動準備金新制
[722.64-726.64] 跟主管機關的準備金暫行措施
[726.64-731.64] 那釋出的金額是全數提存到這個外價準備金
[731.64-735.64] 來強化因應外匯波動的比喻能力
[735.64-740.64] 那上半年的避險成本仍然控制在目標的範圍內
[740.64-746.64] 那展望後續CS的成本在費的降息的情境之下
[746.64-748.64] 有機會走低
[748.64-753.64] 那有利於我們接下來這個避險成本的操作跟管理
[755.64-757.64] 那接下來Dividend的部分
[757.64-760.64] 上半年認列現金股利85億
[760.64-765.64] 那截至7月底是認列了148億
[765.64-769.64] 那比去年同期是增加30億
[769.64-776.64] 那如果再加上8月我們前三週的20億的Dividend
[776.64-782.64] 那已經跟去年全年的168億的股息水準相當
[782.64-788.64] 那另外在固收投資區域方面持續的掌握投資機會
[788.64-793.64] 來多元的分散投資區域降低風險
[793.64-797.64] 那目前北美歐洲亞太市場的佔比
[797.64-802.64] 分別是52%、18%跟18%
[802.64-810.64] 那下一頁我們看國壽今年上半年的淨值是6,281
[810.64-813.64] 那比去年底減少
[813.64-817.64] 那主要因為台幣大幅升值跟台股波動
[817.64-822.64] 導致金融資產未實現的平價下滑影響淨值
[822.64-826.64] 那不過上半年的淨值比仍然高於8%
[826.64-830.64] 那下一頁我們看國壽的銷售通路
[830.64-834.64] 那國壽的銷售通路是7.6%
[834.64-838.64] 那銀行通路佔比是7.6%
[838.64-842.64] 那下一頁在銷售通路方面
[842.64-848.64] 國壽業務員的銷售通路佔比上半年是76.6%
[848.64-852.64] 那銀行通路佔比是20.5%
[852.64-858.64] 那國壽業務員的銷售通路佔比是16.6%跟95.5%
[858.64-861.64] 維持在高檔的水準
[861.64-864.64] 那費用率上半年是16.7%
[864.64-869.64] 主要是美元傳統型商品的銷售大幅的成長
[869.64-874.64] 而我們新西約相關費用的成長有控制幅度較緩
[874.64-880.64] 整體的費用率比去年同期是下降0.9%
[880.64-883.64] 今年上半年的保費收入達211億
[883.64-886.64] 那比去年同期成長11%
[886.64-891.64] 市占率13.5%市場居第二大
[891.64-894.64] 那在銷售通路方面
[894.64-899.64] 商業險包括火險工程險的業績都表現相當良好
[899.64-905.64] 自由通路的占比提升到52%超過五成
[905.64-908.64] 那上半年有接近五成的保費收入
[908.64-911.64] 是由集團通路來銷售
[911.64-914.64] 那在綜合率方面
[914.64-918.64] 上半年滯留綜合率是87.8%
[918.64-922.64] 那比去年同期下降了5.6%
[922.64-927.64] 那主要因為調整載寶架構提高滯留率
[927.64-929.64] 擴大承保的量能
[929.64-932.64] 那推升滯留滿期保費的成長
[932.64-935.64] 再加上大型黑暗比去年同期減少
[935.64-939.64] 那費用率是improve 1.3%
[939.64-943.64] 損失率維持穩健下降4.3%
[943.64-946.64] 那以上是今天的報告
[946.64-948.64] 接下來開放提問
[948.64-952.64] 我們請李總經理跟各子宮之的發言人上台
[957.64-962.64] 各位線上與現場的投資圈卿跟媒體朋友
[962.64-967.64] 歡迎大家來參加國際監控2020年第二期的環球會
[967.64-970.64] 就剛剛財務長所報告的內容
[970.64-973.64] 不曉得各位先進有沒有提出來提問的
[973.64-976.64] 我們現場先QA
[976.64-978.64] 再來再接受線上的QA
[978.64-981.64] 現場不是哪一位先進或媒體朋友要先提出來的問題
[981.64-984.64] 中間走到這裡來 謝謝
[984.64-987.64] 您好 這裡摩根大通證券
[987.64-989.64] 幾個問題想請教一下
[989.64-992.64] 銀行的部分可不可以跟我們說一下
[992.64-995.64] 就是上半年的swap revenue大概是多少
[995.64-1001.64] 然後現在市場預期美國接下來會降可能
[1001.64-1003.64] 兩碼到三碼的部分的話
[1003.64-1007.64] 我們是不是全年的need guidance一樣是維持
[1007.64-1009.64] 就是全年持平
[1009.64-1011.64] 那我不想說全年持平
[1011.64-1014.64] 我不曉得說銀行這邊有沒有預期
[1014.64-1018.64] 台灣的央行也有可能會降息
[1018.64-1023.64] 我不曉得說這個降息對硬的影響大概會是怎麼樣
[1023.64-1029.64] 然後第二個問題是人壽這邊的話
[1029.64-1035.64] 現在如果我們的外加金已經用新制的狀況之下
[1035.64-1037.64] 可不可以跟我們說明一下
[1037.64-1045.64] 台幣的這個變動大概對sharehold equity這邊的sensitivity
[1045.64-1049.64] 大概是怎麼樣子的一個情況
[1049.64-1054.64] 然後就是第二季到目前為止
[1054.64-1058.64] 我不曉得說我們的這個URCG這邊
[1058.64-1062.64] 有沒有跟Urcg比起來有沒有這個回升
[1062.64-1064.64] 現在的水位
[1064.64-1069.64] 然後金控這邊的double leverage ratio
[1069.64-1074.64] 6月已經到了125%的上限
[1074.64-1080.64] 那我不曉得說就是我們在double leverage ratio這一塊的話
[1080.64-1086.64] 是不是除了靠台幣貶值或者是股市上升之外
[1086.64-1089.64] 有沒有其他可以改進的方法
[1089.64-1092.64] 然後最後一個問題是
[1092.64-1096.64] 然後最後一個問題的話就是
[1096.64-1101.64] 之前有提過Avraiz 17接軌的部分
[1101.64-1106.64] 可能Performa sharehold equity的影響大概是掉low to mid single digit
[1106.64-1108.64] 我不曉得說在現在這個時間點
[1108.64-1111.64] 我們對這樣子的一個guidance有沒有改變 謝謝
[1111.64-1124.64] 我們現在針對在Swap的收益
[1124.64-1128.64] 大概是負5個basis point
[1128.64-1132.64] 整體來說我們覺得對NIM的影響是有限的
[1132.64-1137.64] 剛剛有提到對於如果下半年的這個美元降息
[1137.64-1140.64] 或者是這個央行在台幣這邊降息的影響的話
[1140.64-1142.64] 我們也做了一個評估
[1142.64-1146.64] 基本上我們對於整個NIM的預估
[1146.64-1153.64] 目前還是會跟去年的大概是持平大概是在1.55%
[1153.64-1157.64] 但如果說我們自己在做這個敏感度的分析來看的話
[1157.64-1160.64] 美元降息對我們的NIM的影響比較有限
[1160.64-1164.64] 大概是剩0.1%
[1164.64-1172.64] 台幣這邊的話可能會有負2.5%到3.5%
[1172.64-1178.64] 不過我們基本上預期今年的NIM大概會跟去年大概持平
[1186.64-1190.64] 第一個有關匯率的變動
[1190.64-1195.64] 對,就是那個淨值的影響之前我們大概
[1195.64-1200.64] 如果是只有看淨值的部分
[1200.64-1203.64] 大概匯率升值1%
[1203.64-1205.64] 那淨值比其實影響不大
[1205.64-1207.64] 大概只有0.1%的下降
[1207.64-1211.64] 所以匯率的影響其實對我們目前整個淨值比
[1211.64-1214.64] 其實我們大概都維持在8.5%以上
[1214.64-1217.64] 所以那個影響其實非常大的上升
[1217.64-1221.64] 所以我們整個淨值影響都是非常可控的
[1221.64-1225.64] 那因為我們現在外交準備金到昨天為止
[1225.64-1232.64] 我們的外交準備金其實已經超過了6月底564億的水準
[1232.64-1237.64] 所以基本上損益的部分也都不會隨著台幣
[1237.64-1241.64] 不管升貶大體上那個都是滿確定
[1241.64-1246.64] 大概就只剩下我們做的那些衍生性商品的成本跟強勢提存
[1246.64-1249.64] 那第二個未實現的部分
[1249.64-1255.64] 我們到目前為止到7月底的數字
[1255.64-1260.64] 就是整個股票的部分
[1260.64-1266.64] 大概國內外股票加起來未實現的數字到7月底的數字
[1266.64-1268.64] 大概都超過450億
[1268.64-1273.64] 是比6月底還要上升大概將近100多億的水準
[1273.64-1281.64] 那債券的未實現的部分大體上跟6月底的數字相當
[1281.64-1285.64] 這個大概是目前整個未實現的狀況
[1290.64-1297.64] 你剛剛關心那個double rate ratio 6月底是124.8%
[1297.64-1302.64] 其實還是小數點以外還是在below在125%
[1302.64-1307.64] 除了剛剛提到的就是說因為上半年整個台幣強升
[1307.64-1309.64] 資本市場比較波動
[1309.64-1313.64] 另外就是說同業也是同樣的狀況
[1313.64-1320.64] 我們每年在股東會5 6月的時候配發股息通過
[1320.64-1328.64] 本來就是會有比較全年double rate ratio會來到一個相對的低點
[1328.64-1333.64] 如果是我們在double rate ratio的部分
[1333.64-1342.64] 我們到7月的狀況已經下降到123%的水準
[1342.64-1346.64] 當然就是除了就是說未來其實也是看正面
[1346.64-1353.64] 除了剛Jane你提到的就是說台幣回貶整個匯率回穩
[1353.64-1358.64] 資本市場相對也是比較恢復穩定
[1358.64-1363.64] 同時未來其實剛剛我們在報告裡面提到整個市場
[1363.64-1365.64] 看降息的趨勢
[1365.64-1369.64] 這個等於降息利率走低
[1369.64-1374.64] 其實也有利於我們金融資產股債的評價
[1374.64-1378.64] 所以這個都會對我們的double rate ratio有所幫助
[1378.64-1383.64] 當然在這個我們目前已經到最後階段
[1383.64-1386.64] 這個iper 17的接軌
[1386.64-1392.64] 這個我們在整個這個接軌的一定是會很重視
[1392.64-1395.64] 在接軌後這個我們double rate ratio的一個水準
[1395.64-1399.64] 這個都有在我們規劃跟monitor的範圍內
[1402.64-1403.64] 好 謝謝
[1403.64-1407.64] 謝謝 非常難為先進左邊這裡來 謝謝
[1412.64-1414.64] 國際衛生局局長你好 我這邊是凱琪
[1414.64-1420.64] 首先剛才那個副總我講到外加經營現在有回升
[1420.64-1423.64] 那可不可以再給我們一下敏感性
[1423.64-1427.64] 大概現在如果以現在的波位來看
[1427.64-1431.64] 台幣升值0.1塊對外加經營影響是多少
[1431.64-1436.64] 所以這一次的因為你們6月其實外加經
[1436.64-1440.64] 就是因為7月外加經向很多
[1440.64-1447.64] 可是剛才講又回升又回到大概500多億
[1447.64-1454.64] 那是7月應該說8月以來大概是做哪些動作
[1454.64-1458.64] 讓我們外加經由從7月大概300多回升到
[1458.64-1460.64] 又回到500多水準
[1460.64-1466.64] 然後第二個是看到你們這個負愛成本這一季是增加比較多
[1466.64-1470.64] 那接下來如果接軌F17之後
[1470.64-1475.64] 那個負愛成本的降幅還是如同你們之前說的
[1475.64-1478.64] 會低於2.7 2.8%以下水準
[1478.64-1482.64] 那另外我想問那個CSN的部分
[1482.64-1486.64] 現在還是看接軌之後還是可以增長10到15%
[1486.64-1488.64] 這種水準嗎
[1488.64-1493.64] 另外在放款部分
[1493.64-1496.64] 在銀行部分想問一下就是
[1496.64-1500.64] 現在的因為上半年經濟存只有15PP
[1500.64-1505.64] 那會比之前說的全年的30點會來的好嗎
[1505.64-1511.64] 那公司如果看待這個關稅對你們出口的放款的資產品質的影響
[1511.64-1513.64] 以上
[1517.64-1522.64] 那個外加金我們現在
[1522.64-1524.64] 我先回來一下就是
[1524.64-1529.64] 我們到目前為止外加金的金額其實到昨天
[1529.64-1533.64] 那其實是比6月底564億都還來得高
[1533.64-1537.64] 那主要原因那7月當然少蠻多的
[1537.64-1541.64] 那主要7月少是因為台幣的匯率
[1541.64-1544.64] 在7月其實幾乎是不動
[1544.64-1547.64] 大概只有小貶0.01%
[1547.64-1549.64] 幾乎就是平
[1549.64-1552.64] 但是其他雜幣包含韓環
[1552.64-1555.64] 新幣歐元日元
[1555.64-1560.64] 英鎊等等大概都貶了大概2%到3.多%
[1560.64-1564.64] 那所以我們替代幣險那一塊相對來講
[1564.64-1568.64] 當然就會受到一些損失
[1568.64-1571.64] 那還有就是因為台幣其實
[1571.64-1575.64] 從7月以來就呈現貶值的一個態勢
[1575.64-1577.64] 所以NDF的評價也會損失
[1577.64-1582.64] 那但是8月的話其實雜幣相對來講
[1582.64-1584.64] 變動就沒有那麼大
[1584.64-1588.64] 但是台幣其實這一陣子其實一直貶
[1588.64-1590.64] 那所以整個台幣貶值
[1590.64-1593.64] 那加上我們剛剛有看到其實我們避險比例
[1593.64-1596.64] 現在的避險比例是比我們3月底
[1596.64-1598.64] 那時候69%還要來得低
[1598.64-1605.64] 目前我們的傳統避險的比例大概是在60% 61%這樣的一個水準
[1605.64-1608.64] 所以現在的這個台幣貶值
[1608.64-1613.64] 那主要原因我們會這麼做是因為NDF的成本太貴了
[1613.64-1618.64] 有一些太貴的NDF到期我們就不會展期
[1618.64-1623.64] 那所以目前的這個狀況是因為避險比例也降低
[1623.64-1626.64] 所以台幣貶值對外交準備金的貢獻
[1626.64-1629.64] 就那個FSCAN就會變得比較大
[1629.64-1633.64] 那所以對外交準備金的貢獻就會比較大
[1633.64-1638.64] 那我給大家一個目前照我們之前我算的啦
[1638.64-1645.64] 就是避險就是雜幣對台幣現在的有效性還是差不多四成
[1645.64-1648.64] 所以你可以照我上次講的那個方法去算
[1648.64-1651.64] 那現在大體上大概一個percent
[1651.64-1656.64] 我們那個大概那個netting掉的部位大概是6000多億
[1656.64-1661.64] 所以一個percent的影響大概就是差不多大概是60億左右
[1661.64-1663.64] 所以這個大概很容易算
[1663.64-1668.64] 所以其實我們現在可以承擔的台幣升值
[1668.64-1670.64] 還是跟我之前講的一樣
[1670.64-1678.64] 我們可以抵禦的台幣升值大概都還是藉在27.5到28塊左右的一個水準
[1678.64-1684.64] 第一個第二個負債的成本你現在看到的那個4號負債成本上升
[1684.64-1687.64] 跟明年開始接軌一點關係都沒有
[1687.64-1689.64] 因為那個已經是重算了
[1689.64-1695.64] 所以實際上我們明年的負債水準當然還是跟我們之前跟大家講的一樣
[1695.64-1699.64] 就明年一開始接軌之後我們負債的成本
[1699.64-1704.64] 以資產的base來計算的話大概差不多是2.3%幾percent
[1704.64-1707.64] 是相當低的一個水準這個是沒有改變
[1707.64-1715.64] 第二個CSM目前因為我們所有包含我們外交準備金轉了508億
[1715.64-1721.64] 這其實都在我們當初就已經規劃好的plan裡面了
[1721.64-1728.64] 所以到目前為止我們所有開帳的策略還有CSM的這個金額其實都沒有做任何的調整
[1728.64-1735.64] 那也就是說明年我們預期接軌之後CSM每年的成長還是維持10%到15%的成長
[1735.64-1737.64] 以上
[1740.64-1744.64] 今年的這個上半年的那個金提存信用成本是17個base
[1744.64-1751.64] 那我們預期在全年來說的話因為上半年這部分主要有一些比較大的待帳回收
[1751.64-1760.64] 所以我們預期今年的這個信用成本大概會低於我們之前的這個概念30個base以下
[1761.64-1765.64] 那剛剛還有另外一個問題是關於這個關稅的影響
[1765.64-1778.64] 我們有在從4月以來我們就針對可能受到關稅影響的大概1400多個企業客戶去做了這個主案的審查
[1778.64-1786.64] 那我們在這裡面也挑選出36家我們認為是比較相對有可能是受到影響的這些客戶
[1786.64-1791.64] 但是他們的這個整體的放款金額也大概不到50億
[1791.64-1795.64] 所以大概佔我們整體的那個企業放款總額的大概0.7%
[1795.64-1801.64] 所以針對這些客戶的話我們還是會持續提供這些協助啊包含這些避險的這些諮詢等等
[1801.64-1811.64] 然後也會根據這項銀行公會的這些決議就是我們在為客戶會提供一些必要的一些紓困措施
[1816.64-1819.64] 好請問哪一位先進還有請你不提問的
[1821.64-1822.64] 來這邊後面來
[1826.64-1827.64] 你好這邊同一的Dina
[1827.64-1832.64] 三個問題第一個問題想問一下銀行這邊的放款
[1832.64-1837.64] 因為今年以來如果YTD的話大概成長2到3%
[1837.64-1843.64] 那我記得年初的法說是有說希望今年是可以有高個位數的成長
[1843.64-1848.64] 那不知道我們今年這樣放款的Silence會不會做一些調整
[1848.64-1851.64] 那另外第二個問題也是銀行的
[1851.64-1854.64] 那因為上半年的財管動能很強
[1854.64-1861.64] 那不知道目前到8月份為止不知道下半年的財管的動能是不是可以維持跟上半年一樣
[1861.64-1864.64] 那第三個問題是想問一下售險
[1864.64-1870.64] 因為我觀察到那個投資部位在海外債的部分占比
[1870.64-1875.64] 下降的幅度跟其他股票還有台債其實多蠻多的
[1875.64-1883.64] 那不知道是因為匯率的換算的問題還是說操作的部位的調整有一些想法
[1883.64-1887.64] 那順便問一下就是說為了接軌這個IFRS17
[1887.64-1894.64] 那我們不管是股票債券或是國內國外的一些配置的策略會不會做一些調整
[1894.64-1895.64] 以上
[1897.64-1903.64] 在放款的部分我們其實上半年的這整體的那個放款年增大概是11%
[1903.64-1913.64] 那這主要是來自於像外幣放款然後房屋以及個人放款的部分其實都有算是有雙位數的成長
[1913.64-1919.64] 那我們還是會維持我們全年大概是high single digit這樣一個成長的目標
[1919.64-1923.64] 那另外剛還有
[1923.64-1928.64] 對財管這部分的話我們上半年是34%成長
[1928.64-1934.64] 這部分的話我們目前看全年的話還是有機會就是達到雙位數的成長
[1934.64-1939.64] 不過這個當然就是看整個市場的一個狀況
[1943.64-1953.64] 海外債的部分那三率全部都是匯率的影響跟那個沒有什麼
[1953.64-1962.64] 就是部位上或者是什麼其實我們沒有做太大改變但純粹就是你看那些數字的變化主要就是匯率的影響
[1962.64-1966.64] 那第二個我們整個資產配置接軌前跟接軌後因為我們現在
[1966.64-1974.64] 在接軌前其實就已經是當作要接軌的方式來執行我們資產負債管理
[1974.64-1983.64] 那也就是說實際上我們還是著重在負債上跟對資產的資產對負債端的一些匹配
[1983.64-1990.64] 所以還是以海外的固定收益資產為我們整個配置的主要的來源
[1990.64-1996.64] 那股票的部分大體上還是會維持目前的這樣子的一個戰略
[1996.64-2000.64] 那當然會隨著市場的部分做機動調整
[2000.64-2005.64] 所以整體的資產配置上沒有大的變化
[2009.64-2011.64] 好請問哪一位先進來中間
[2011.64-2021.64] 好謝謝你好我是Investco 中我有兩個問題保險
[2021.64-2033.64] 第一個是剛剛沼田副主任有提到在iOS 70之後FX的影響就是幣錢的影響主要會來自於這些傳統幣錢的
[2033.64-2041.64] 那可不可以給我們一個idea就是如果隨著美國的利率往下降
[2041.64-2049.64] 你們的幣錢可以多快的回報在低價值
[2049.64-2051.64] 這個調整的速度大概多快
[2051.64-2058.64] 那我第二個問題是假設短率下了很多但是長率不下來
[2058.64-2070.64] 可不可以給我們一個idea就是在長率跟著下來或者不下沒有跟短率下來的情況下對國售的整個財務的影響面大概是怎麼樣
[2070.64-2071.64] 謝謝
[2075.64-2081.64] 我們SWAP也是做很短啦台灣SWAP做其實相對是比較短
[2081.64-2087.64] 所以以我們目前大體上SWAP也是差不多是差不多三個月到六個月
[2087.64-2097.64] 所以原則上三個月到就如果下半年或九月真的如市場預期有降息那實際上repricing是蠻快的啦
[2097.64-2105.64] 但是我們現在市場已經有一些反應整個利率下來的趨勢
[2105.64-2113.64] 所以當利率下來在一定的程度那個SWAP的成本我們如果覺得一個比較好
[2113.64-2122.64] 我們會反而會反向拉長天期就是會把它鎖定在一個相對我們覺得比較comfortable然後那個期間長一點
[2122.64-2130.64] 就如同我們之前在NDF比較便宜的時候我們也會反向鎖一些比較長天期的NDF
[2130.64-2146.64] 這個是大概是這個狀況所以整個repricing上面只要短率下來那我們整個未來在損益表上的這些看到的避險成本確實是會蠻快就會反應出來
[2146.64-2160.64] 那第二個就是如果說如市場預期那目前確實比較BF curve是比較陡就是短率有在反應這個預期長率基本上比較沒有那麼重
[2160.64-2168.64] 它還是在一個波段的區間那如果這個開始降息的時候這個狀況對我們當然就會比較
[2168.64-2179.64] 因為我們避險成本端那個是短率的部分所以它看降多少我們大概三個月之後那個與我們現在CS的戰略大概五成左右
[2179.64-2191.64] 所以那個三個月之後其實就會馬上反應那一塊的repricing那長日的部分如果沒有什麼波動其實對我們整體的穩定收益其實就沒有影響
