[0.00-9.28] 各位规定午安
[492.40-493.40] 自动化导入的部分呢
[493.40-494.40] 非常的积极
[494.40-495.40] 所以在这一块呢
[495.40-497.40] 我们藉由这个全线的
[497.40-498.40] 这个自动化生产的部分呢
[498.40-501.40] 可以降低我们的能力高达了30%
[501.40-503.40] 好那接着我们看到了其他
[503.40-505.40] 在水资源的部分来讲的话
[505.40-507.40] 大家可以看到就是说
[507.40-509.40] 因为我们是制造业
[509.40-510.40] 那基本上现在年轻人呢
[510.40-512.40] 比较朝向一些服务业
[512.40-513.40] 所以在投入制动
[513.40-515.40] 在制造业的部分来讲的话呢
[515.40-517.40] 他们兴趣比较欠缺
[517.40-518.40] 那所以我们呢
[518.40-521.40] 觉得说应该要开始投入自己培训
[521.40-523.40] 所以其实我们这几年开始在这个
[523.40-525.40] 青年培力的部分呢
[525.40-526.40] 我们也有做一些
[526.40-527.40] 我们的这个
[527.40-529.40] 青年培力计划里面呢
[529.40-530.40] 投入非常多
[530.40-532.40] 所以目前受益的学生呢
[532.40-534.40] 高达1000人次以上
[534.40-536.40] 好那另外来讲的话呢
[536.40-539.40] 我们投入在这个教育训练的部分的经验
[539.40-541.40] 经费高达了364万
[541.40-543.40] 那其次呢
[543.40-544.40] 我们另外就是说
[544.40-548.40] 像我们在尊重人权的部分来讲的话呢
[548.40-550.40] 我们海内外的营业据点
[550.40-553.40] 我们都有取得这个RBA的营级认证
[553.40-555.40] 再来就是呢
[555.40-557.40] 我们在这个
[557.40-558.40] 社福的部分来讲的话
[558.40-560.40] 尤其我们投入在这个
[560.40-561.40] 树林高中的这个
[561.40-563.40] FRC的机器人代表队里面
[563.40-569.40] 我们也投入一些经验值在support他们
[569.40-571.40] 那当然在这个其他部分
[571.40-573.40] 大家可以看到说
[573.40-574.40] 我们有获得这个
[574.40-577.40] 国民健康署的健康职场认证
[577.40-579.40] 健康促进标章
[579.40-584.40] 那另外平均离职率下降了30%
[584.40-586.40] 那在管理的部分来讲的话呢
[586.40-588.40] 大家可以看到就是说在
[588.40-594.40] 上市公司市值占大盘比重的排名是180名
[594.40-596.40] 相较去年有成长
[596.40-600.40] 那再来就是细项的部分
[600.40-602.40] 那大家可以看到在自理评鉴的部分
[602.40-605.40] 在上市公司的level里面呢
[605.40-607.40] 是在21到35%
[607.40-609.40] 那另外呢
[609.40-612.40] 就是我们的苏州的新日新
[612.40-614.40] 获得当地政府的这个审级的比例呢
[614.40-619.40] 当地政府的这个审级的智能制造工厂的疏容
[619.40-620.40] 那另外呢
[620.40-625.40] 再来我们去年获得了TCSA的永续报告奖的领奖
[625.40-626.40] 那同步呢
[626.40-630.40] 我们在因为我们的整个因应政府的需求
[630.40-632.40] 还有我们营收的成长
[632.40-634.40] 所以我们编制了这个英文版的财报
[634.40-636.40] 还有永续报告等
[636.40-638.40] 提供给相关性的投资人
[638.40-640.40] 包括外资的部分
[640.40-643.40] 然后大家能够更了解我们公司的一个发展
[644.40-647.40] 那在今年我们的永续策略呢
[647.40-650.40] 是集中在一样投入在这个气候变迁
[650.40-652.40] 还有循环经济
[652.40-655.40] 另外就是永续供应链还有社会影响力
[655.40-656.40] 那尤其呢
[656.40-660.40] 就是在废水排放的零失误的部分呢
[660.40-665.40] 我们就是高达就是维持在一个零的0%的一个目标
[665.40-666.40] 那另外呢
[666.40-669.40] 就是在能源效力的这个提升呢
[669.40-671.40] 目标10%
[671.40-674.40] 那再来就是这个减碳的部分呢
[674.40-676.40] 目标也是10%
[676.40-677.40] 那另外呢
[677.40-681.40] 我们希望就是在零组件全用低碳材料呢
[681.40-683.40] 我们目标是10%
[683.40-684.40] 那最后呢
[684.40-688.40] 就是我们要打造一个多元共融的这个职场
[688.40-691.40] 然后我们需要获得80%的员工认同
[691.40-693.40] 所以我们希望能够呢
[693.40-698.40] 提供一个更优质的场所给我们的员工
[698.40-700.40] 那以上呢
[700.40-702.40] 是今天的报告
[702.40-704.40] 感谢公司
[704.40-705.40] 的解说
[705.40-707.40] 那现在是Q&A的时间
[707.40-708.40] 由于时间的关系
[708.40-710.40] 我们正常将开放一个问题
[710.40-713.40] 欢迎各位投资线进行提问
[718.40-719.40] 欢迎你们好
[719.40-721.40] 请问2025年的营运展望
[722.40-723.40] 好
[723.40-724.40] 那回答一下
[724.40-726.40] 就是在2025年来讲的话呢
[726.40-728.40] 因为整个大环境的因素
[728.40-729.40] 所以呢
[729.40-732.40] 我们今年的营收的预过来讲的话
[732.40-734.40] 我们是以持平来看
[734.40-736.40] 我们的投资是在2025年来看待它
[736.40-737.40] 那我们希望呢
[737.40-740.40] 能够延续的去年节的发展
[740.40-743.40] 然后让我们今年的稳定的成长
[745.40-747.40] 感谢投资线进的提问
[747.40-749.40] 那今天的Q&A时间到此结束
[749.40-752.40] 再次感谢公司以及各位投资线进
[752.40-753.40] 谢谢
