[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-59.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[60.00-89.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[90.00-119.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[120.00-149.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[150.00-152.74] 2025年第一季合并综合损益表
[389.78-392.78] 其实那因为过往
[392.78-394.78] 在台湾有些公有云
[394.78-396.78] 并没有在台湾有Data Center
[396.78-398.78] 所以在法规上面
[398.78-399.78] 就有一些可能
[399.78-401.78] 政府单一公会或金融业
[401.78-403.78] 或者是制造业
[403.78-406.78] 因为法规或者担心资料
[406.78-408.78] 的安全的issue
[408.78-412.78] 所以就会选择不太敢上云
[412.78-415.78] 所以今天陆续三个公有云
[415.78-417.78] 在台湾成立Data Center之后
[417.78-419.78] 其实就可以让这些相关的产业
[419.78-422.78] 能够符合规矩政策的需要
[422.78-424.78] 因此可以预见
[424.78-427.78] 在整个公有云端的服务
[427.78-430.78] 其实会有继续市场会扩展
[430.78-432.78] 会扩增的一个状况
[432.78-434.78] 那第二个是所谓开源
[434.78-437.78] 就是Open Source的部分
[437.78-439.78] 那我想像今年
[439.78-442.78] 今年这个DeepSig的应用
[442.78-443.78] 其实爆红之后
[443.78-444.78] 大家可以看到
[444.78-445.78] 除了在AI上面
[445.78-448.78] 其实它采用的是一个Open Source的一个
[448.78-450.78] 的一个的架构
[450.78-455.78] 所以其实现在很多企业的一个应用
[455.78-458.78] 其实都已经走向开源的一个状况
[458.78-460.78] 所以在开源的市场
[460.78-461.78] 其实未来很多的
[461.78-462.78] 很多企业软体开发
[462.78-465.78] 都是以开源为当着base
[465.78-468.78] 所以这块公司也觉得很看好它的发展
[468.78-470.78] 所以在开源的部分
[470.78-473.78] 我们会持续会投入一些resource
[473.78-475.78] 来协助企业
[475.78-478.78] 能够就他们的一个软硬体系
[478.78-479.78] 去开发
[479.78-482.78] 用开源的方式来进行
[482.78-484.78] 那第三个是属于AI的部分
[484.78-486.78] 那我想这个AI与时俱进
[486.78-487.78] 速度非常快
[487.78-490.78] 从以前的怎么样的一个GVT
[490.78-492.78] 整个怎么样生成
[492.78-494.78] 到现在的一个AI agent
[494.78-497.78] 那这部分其实AI都已经引导整个
[497.78-501.78] 所有的不管政府或一般民间企业
[501.78-505.78] 在资讯服务的一个预算跟发展的所在
[505.78-507.78] 所以这一部分
[507.78-509.78] 其实我们也持续跟我们代理的
[509.78-512.78] 原厂不只包含三个公务员
[512.78-518.78] 甚至有一些相关的地端的一个AI应用的一个solution
[518.78-522.78] 也持续在跟很多企业厂商来做洽谈
[522.78-525.78] 如何进行这一方面的一个解决方案
[525.78-527.78] 那最后一段是资安
[527.78-531.78] 那我想受到整个大环境跟地缘政治的影响
[531.78-536.78] 其实资安的议题也在最近都非常的一个火红
[536.78-537.78] 那我想受到整个大环境跟地缘政治的影响
[537.78-540.78] 那很多其实企业在资安上面的
[540.78-542.78] 已经是不得不做
[542.78-544.78] 我觉得必须要做的一件事情
[544.78-548.78] 那甚至除了既有的一个网路
[548.78-550.78] 一个架构的资安之外
[550.78-553.78] 其实大家可以看到AI的应用上来之后
[553.78-558.78] 其实就连AI这一部分的资安
[558.78-560.78] 也都受到很广大的重视
[560.78-565.78] 所以相关的AI的一个厂商也陆陆续续退出
[565.78-566.78] 所谓AI security
[566.78-567.78] 所谓AI security
[567.78-569.78] 就是在怎么样透过
[569.78-571.78] 在企业使用AI的时候
[571.78-575.78] 能够也一样有一些资安的一个防范
[575.78-581.78] 确保企业在使用AI的时候
[581.78-584.78] 不会受到资安的一个威胁
[584.78-586.78] 以及不管是资料的防护
[586.78-590.78] 或者是说AI讯息的一个正确使用
[590.78-595.78] 那以上报告就是公司对于今年下半年
[595.78-596.78] 大概会持续
[596.78-600.78] 在这个四大领域进行其业务的发展
[600.78-601.78] 谢谢
[626.78-631.78] 谢谢
[656.78-686.78] 
[686.78-716.78] 
[716.78-746.78] 
[746.78-776.78] 
[776.78-806.78] 
[806.78-836.78] 
[836.78-866.78] 
[866.78-896.78] 
[896.78-926.78] 
[926.78-956.78] 
[956.78-986.78] 
[986.78-1016.78] 
[1016.78-1046.78] 
[1046.78-1076.78] 
[1076.78-1106.78] 
[1106.78-1136.78] 
[1136.78-1166.78] 
[1166.78-1196.78] 
[1196.78-1226.78] 
[1226.78-1256.78] 
[1256.78-1286.78] 
[1286.78-1316.78] 
[1316.78-1346.78] 
[1346.78-1376.78] 
[1376.78-1406.78] 
[1406.78-1436.78] 
[1436.78-1466.78] 
[1466.78-1496.78] 
[1496.78-1497.78] Xacker
[1497.78-1504.78] 我想大家都很关心麦打特海外公司
[1504.78-1507.78] 那正如我们去年法术会有提到
[1507.78-1511.78] 我们去年开始积极优化跟调整海外子公司的一些管理
[1511.78-1514.78] 所以我们第一季在刚才财务长有报告之中
[1514.78-1517.78] 我们第一季摘要有提到海外转投资
[1517.78-1518.78] CORUS跟BRT
[1518.78-1520.78] 我们的合计为950万
[1520.78-1524.78] 所以应该是说第一阶段这个优化跟调整的一些安排
[1524.78-1526.78] 我们精心团队很努力做得很好
[1526.78-1527.98] 达成了一个目标
[1527.98-1531.80] 但是因为今年以来
[1531.80-1533.38] 尤其是三月底四月份
[1533.38-1536.62] 美国关税贸易战的一些因素
[1536.62-1538.46] 所以目前我们还是非常
[1538.46-1540.44] 战战兢兢谨慎看待
[1540.44-1543.98] 美国公司未来的一个发展
[1543.98-1547.78] 我刚好提到这个关税跟这个汇率
[1547.78-1551.16] 以及美国本身当地
[1551.16-1553.22] 它的这个经济的一个情况
[1553.22-1555.54] 都会影响任何要去美国
[1555.54-1558.20] 发展的一个公司的
[1558.20-1559.62] 一个营运的一个展望
[1559.62-1562.80] 我们的确在三月四月份
[1562.80-1565.56] 因为这个前端通路
[1565.56-1568.42] 前端主要通路的要求
[1568.42-1570.58] 我们有出货给这些通路
[1570.58-1572.48] 所以我们在三月四月的营收
[1572.48-1575.68] 因为海外公司的注意有所帮助
[1575.68-1577.68] 这就是美国Brandstone的一个情况
[1577.68-1579.56] 那Coreless的部分
[1579.56-1581.12] 我们也团队
[1581.12-1584.52] 去年我们外派了营运长在当地
[1584.52-1588.14] 也积极在做相应的优化跟改善
[1588.14-1592.16] 那第一季南非有一些限电的一些情况
[1592.16-1594.58] 那因为南非限电的一些情况
[1594.58-1596.48] 我们在能源产品
[1596.48-1598.88] 这个库存的这个促清
[1598.88-1600.84] 对我们有一些帮助
[1600.84-1602.74] 所以目前在第一季
[1602.74-1604.86] 我们是有很努力
[1604.86-1607.06] 缴出了一个获利的一个情况
[1607.06-1608.84] 那第二季从四月以来
[1608.84-1610.72] 我们还在积极的
[1610.72-1614.18] 对这两家海外的公司要求
[1614.52-1616.36] 要克服各项困难
[1616.36-1617.90] 希望大概今年
[1617.90-1619.90] 不管是第三季之后
[1619.90-1620.76] 相关的营运
[1620.76-1622.36] 我们希望是一个正向的展望
[1622.36-1623.36] 以上
[1644.52-1653.36] 谢谢大家
[1674.52-1677.44] MING PAO CANADA // MING PAO TORONTO
[1704.52-1734.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1734.52-1764.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1764.52-1794.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1794.52-1824.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1824.52-1854.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1854.52-1884.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1884.52-1914.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1914.52-1944.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1944.52-1974.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1974.52-2004.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2004.52-2034.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2034.52-2064.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2064.52-2094.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2094.52-2124.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2124.52-2154.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2154.52-2184.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2184.52-2214.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2214.52-2244.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2244.52-2274.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2274.52-2304.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2304.52-2334.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2334.52-2364.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2364.52-2394.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2394.52-2424.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2424.52-2454.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2454.52-2484.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2484.52-2514.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2514.52-2544.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2544.52-2574.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2574.52-2604.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2604.52-2634.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2634.52-2664.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2664.52-2694.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2694.52-2724.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2724.52-2754.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2754.52-2784.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2784.52-2814.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2814.52-2844.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2844.52-2874.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2874.52-2904.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2904.52-2934.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2934.52-2964.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2964.52-2994.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2994.52-3024.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[3024.52-3054.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[3054.52-3084.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[3084.52-3114.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[3114.52-3144.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[3144.52-3174.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[3174.52-3204.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[3204.52-3234.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[3234.52-3264.50] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
