[0.00-2.00] 各位投資先進午安
[125.00-128.00] 再去達成那種長期的紅寶的產品的 Agrose bureaucrat
[128.00-131.04] 是會緊貼idelрыв的Versnom
[131.04-132.04] 這些其實 truths
[132.04-133.00] 發展 verdad
[133.00-135.00] 買不到小電、裝現在來
[135.00-136.00] 當然沒有事
[136.00-137.00] 只是一個一件難事
[137.00-140.00] 我們訪問企業整個Porsche公司收到之後
[140.00-145.00] 它留言也是 dezegres性的
[145.00-150.00] 這部分稍後我會在細節書上面給大家做一些說明
[150.00-156.00] 另外其實這個部分我們把一些我們整個公司在營運的方向的一些目標
[156.00-158.00] 把它拆分成三個讓大家清楚
[158.00-161.00] 就是我們有提升的部分給我們有穩定的部分
[161.00-163.00] 給我們未來要分散的部分
[163.00-166.00] 提升的話當然就是指我們在產品的銷售比上面
[166.00-171.00] 我們從單純的硬體的設備服務到我們現在漸漸會
[171.00-175.00] 走往雲端跟價值服務方面去做一些提升
[175.00-178.00] 穩健的話我想這是一直以來我們在努力的
[178.00-181.00] 從最早的缺料供應鏈的支持
[181.00-185.00] 給我們現在真正在全球布局設立諸多支公司
[185.00-189.00] 那上面有一個比較大的關鍵是整個ERP的管理系統
[189.00-191.00] 這部分是我們必須要走得遠的話
[191.00-193.00] 這我們必須要做一些基本的投資
[193.00-198.00] 再來分散我想大家關心的這件事情我們也一直在做
[198.00-200.00] 不單單是我們從我們
[200.00-201.00] 從那個
[201.00-206.00] 第三世界國家起家到我們到現在歐美有市場地位
[206.00-209.00] 到接下來我們還是會進行去更深跟我們在歐美的地位
[209.00-211.00] 跟我們新興市場的布局
[211.00-217.00] 那這一點的話這一個就是整個去年2024年的整個營收的一個數字
[217.00-219.00] 我想第一個就是剛剛已經講了
[219.00-220.00] 那個很
[220.00-224.00] 有點抱歉就是說我們的營收相較於23年有小幅率的3%
[224.00-229.00] 那它當然兩個主因一開始從上半年的是庫存區化效應的炎帝
[229.00-230.00] 到了下半年比較
[230.00-238.00] 比較不預期的在整個支付產業界的一些收單機構做了比較大的組織充能
[238.00-243.00] 所以這個部分相較有稍微影響到我們的產品認證跟出口
[243.00-248.00] 那我們來看看這個部分接下來在整個營收裡面在費用上面
[248.00-252.00] 事實上相較於去年我們是增加了大約大概兩億
[252.00-254.00] 三億左右
[254.00-259.00] 那這來源費用其實從三個層面看右面的部分我們從推廣費用
[259.00-264.00] 我們請如曾農董事長那前幾次發出的一個說明
[264.00-268.00] 為了擴展我們的市場事實上我們有積極在部件一些子公司
[268.00-276.00] 那這些子公司上面我們也用了很大的心力去請到了一些在業界是比較有經驗有地位的一些人
[276.00-279.00] 所以這邊這些的人是費用會增加
[279.00-283.00] 然後再來一個管理費用就剛跟大家提到的子公司的增設
[283.00-286.00] 其實它最大的目的是要走進每一個local
[286.00-287.00] 所以在這部分要管理好這個遠端的東西的話
[287.00-292.00] 我們還是要一些系統裡面的支持
[292.00-297.00] 所以這邊的費用關於ERP的費用還有一些這些人事的增加的管理
[297.00-300.00] 那接下來比較大的費用增加是來自於研發
[300.00-304.00] 那這個最大的差異是因為安卓的起
[304.00-307.00] 安卓的演進比我們想像中快了非常多
[307.00-312.00] 所以我們在過去兩年從一開始先佔我們安卓產品的基本系列之後
[312.00-317.00] 我們在去年我們投了非常多的心力在做整個全產品線的更新
[317.00-320.00] 從Linux的Lexi轉到安卓
[320.00-325.00] 那這部分我們在去年應該開發了可能有十來個產品
[325.00-328.00] 那個非常多那個認證的費用是非常高
[328.00-332.00] 但是我想這些效益會漸漸的在未來幾年會看得出來
[332.00-335.00] 所以最大的差別是在這個費用的增加
[335.00-340.00] 所以在去年的結算的話相較於前一年
[340.00-342.00] 當然我們的最後的結算也一樣
[342.00-344.00] 我們是在月時6.35
[344.00-346.00] 那如果針對更比較細節的部分的話
[346.00-352.00] 大家有其他的想法我們待會在Q&A的時候可以再跟大家做一個更細節的說明
[354.00-356.00] 接下來就是產品組合
[356.00-360.00] 我想這個從一開始我們鴻寶從頭到尾到現在
[360.00-364.00] 成立30年到今天最大的主軸還是在研發電支付
[364.00-370.00] 那支付接的東西事實上它是比較非常著重在經驗技術的累積
[370.00-372.00] 那我們也是在這個基礎上
[372.00-374.00] 從單純的硬體製造
[374.00-376.00] 那硬體製造的前提是在於
[376.00-380.00] 硬體設計製造的前提是在於PCI金融認證還有EMB的金融認證
[380.00-383.00] 然後漸漸的我們轉換到現在
[383.00-387.00] 從Lexus Terminal到現行的最大的趨勢是Android Terminal
[387.00-390.00] 連未來可能存在的SoftPost
[390.00-393.00] 那這個segment當然我們的solution目前都是ready
[393.00-397.00] 那我們現在還是在強大這一塊的一個服務
[397.00-400.00] 再來的話在軟體開發我想這是一個延續的部分
[400.00-404.00] 因為通報的產品在不管是從Linux到Android
[404.00-407.00] 我們都有一個比較無痛轉移的一個平台技術
[407.00-410.00] 所以這部分是我們標準的Standard API跟SDK
[410.00-414.00] 這是一直以來我們客戶不太會離開我們
[414.00-416.00] 只要用了之後它就會繼續持續使用
[416.00-420.00] 接下來我們在這兩三年比較focus的就在雲端管理
[420.00-422.00] Case Hub的產品上面
[422.00-426.00] 那當然未來結合一些AI或是一些服務
[426.00-429.00] 我們能有多少加值這部分我們也還在關心關注
[430.00-432.00] 那剛剛講的雲端這部分最大的差別是
[432.00-437.00] 它不是單純的硬體的銷售占一定比例的收入
[437.00-441.00] 而是我們要去做一個比較高利潤的服務性質的收入
[441.00-448.00] 那市場的趨勢跟產業動態我想這點跟大家說明過非常多了
[448.00-453.00] 就是說傳統Lexi Linux已經快速被Android替代
[453.00-458.00] 那這個趨勢我們想在未來一兩年有可能會幾乎全部取代掉
[458.00-460.00] 所以我們在整個新產業的部分
[460.00-462.00] 產品的準備商必須要做得更確實
[462.00-465.00] 那第二點的話這部分我們還在觀望
[465.00-467.00] 但是收入群是ready的
[467.00-471.00] 就是2 3G的退場4 5G的接續到底4G收入會走到5G
[471.00-473.00] 這個我們會再觀察
[473.00-475.00] 那這個是跟著全球趨勢走
[475.00-481.00] 那第三點是這個是對每個我想對全台灣每個公司都是一樣的課題
[481.00-483.00] Homework也不例外
[483.00-486.00] AGE跟AI的我們的定位是什麼
[486.00-488.00] 那在於整個大型AI Server還是對於前端的AGE AI的定位是什麼
[488.00-494.00] 那以我們的立場來講所有東西還是一樣
[494.00-497.00] 我們會站在我們的本業支付上面
[497.00-499.00] 看怎麼跟前端的東西有所結合
[499.00-503.00] 這部分對我們來講還是一個很大的picture
[503.00-505.00] 但我們還在follow在找
[505.00-507.00] 待會有個東西可以讓大家看一下
[507.00-509.00] 那個是實務上發生的
[509.00-511.00] 可是它是不是真的能夠產生效益
[511.00-513.00] 這也有待觀察
[513.00-517.00] 再來最後一點的話也包含是在去年的費用比較多原因
[517.00-519.00] 有兩點
[519.00-521.00] ESG我想這是個必然的
[521.00-523.00] 那是一個全球的趨勢
[523.00-526.00] 但另外一個比較重要的是資安的要求
[526.00-530.00] 包含我們公司也被所有的大客戶去要求要提升我們資安
[530.00-535.00] 所以我們在資安的設備跟系統的升級上面也做了一些的努力
[535.00-538.00] 那這個東西不會直接獲利
[538.00-542.00] 但是它會增加我們去跟客人去Nego
[542.00-545.00] 去得到案子的一些競爭力
[545.00-547.00] 這有些相關的必然投資
[547.00-549.00] 我們還是會去做
[549.00-551.00] 那這個就是剛剛跟大家提到的
[551.00-552.00] 所謂HRI跟computing
[552.00-554.00] 這個跟我們payment的到底差異在哪裡
[554.00-556.00] 當然這是一個很簡易的範例
[556.00-560.00] 就是說事實上如果當邊緣的運算能力夠強的時候
[560.00-563.00] 它可以可能在你的鏡頭或一些前端處理器
[563.00-566.00] 它可以去支援很多的ID或是指紋的辨識
[566.00-569.00] 那這個東西當回歸到支付端
[569.00-573.00] 還是會相關有一些local每一個國家區域的法遵面
[573.00-575.00] 到底processor到底這個國家能不能允許這種payment
[575.00-577.00] 所以對我們來講
[577.00-579.00] 技術上的ready我們會去做
[579.00-582.00] 但是銷售上的時機成熟或法規的成熟
[582.00-584.00] 這部分我們還是持續的觀察
[587.00-588.00] 那接下來跟大家報告一下
[588.00-590.00] 我們未來的成長策略與展望
[590.00-593.00] 我想這個策略還是一樣
[593.00-597.00] 研發的投入這是我們是研發基礎的公司
[597.00-600.00] 所以不管到什麼時候我們還是持續投研發
[600.00-602.00] 有時候相對的情況是
[602.00-607.00] 在比較不好的日子我們更需要去持續去投入
[607.00-609.00] 反而會有在好起來的時候
[609.00-610.00] 翻轉的時候會有比較大的機會
[610.00-612.00] 這是我們的部分
[612.00-613.00] 第二個雲端平台
[613.00-615.00] 這是單對單
[615.00-617.00] 會單列這個項目的原因是
[617.00-620.00] 大家可能一直認為我們是一個純硬體做設備
[620.00-621.00] 是沒有錯
[621.00-623.00] 可是我們也在這上面去尋求一些變化與發展
[623.00-625.00] 所以我一直先前跟大家強調
[625.00-629.00] 我們會一直努力強化我們在雲端Cash App的一些服務
[629.00-631.00] TMS這一端的東西
[631.00-633.00] 所以相關的東西我們會持續去開發
[633.00-635.00] 然後最重要是提供更完善的對客人端的服務
[635.00-637.00] 最重要是提供更完善的對客人端的服務
[637.00-639.00] 去增加那個黏著度
[639.00-641.00] 以市場區域面來講的話
[641.00-643.00] 現行市場的話就跟大家說明了
[643.00-645.00] 有一些我們已經很成熟的市場
[645.00-647.00] 我們還是去強化它生根
[647.00-651.00] 但是我們現在主要目標是幫助歐美的大客戶
[651.00-652.00] 看未來趨勢
[652.00-656.00] 尤其是對應說未來中美跟國際局勢的變異性
[656.00-659.00] 這個部分我們可能要花更多的心力去關注
[659.00-661.00] 這個是一個目標
[661.00-663.00] 大概策略合作的話
[663.00-666.00] 事實上是延伸於有很多的新的收單機構
[666.00-667.00] 一些收單機構
[667.00-669.00] 我們可以去重整一些狀況
[669.00-671.00] 事實上這中間也可能會產生出一些
[671.00-674.00] 我們可以提供更多的一些服務的機會
[674.00-676.00] 在這部分是我們在尋求
[676.00-678.00] 在我們整個銷售鏈上面
[678.00-680.00] 不單單是只針對一個
[680.00-682.00] 我現有的客人只提供硬體銷售
[682.00-685.00] 我可能來提供他更多他需要的一些軟體服務
[685.00-688.00] 這個是我們在思考的部分
[688.00-690.00] 那一本是說可能未來的一些東西
[690.00-692.00] 我們可能改用rental
[692.00-694.00] 或是不是單純銷售
[694.00-696.00] 用客人feet的方式來做
[696.00-698.00] 這都是我們在思考的部分
[698.00-700.00] 那機會跟挑戰的話
[700.00-703.00] 我想機會原來是一樣
[703.00-705.00] 成長動能就是在於我們本身公司
[705.00-708.00] 一直在做的原來的POST產業
[708.00-710.00] 然後包含無人支柱的部分
[710.00-712.00] 那剛剛有跟大家提到的
[712.00-716.00] 其實支部產業非常吃重的點是技術經驗的累積
[716.00-718.00] 那這個也是我們的優勢
[718.00-720.00] 所以我們怎麼善用這個優勢
[720.00-724.00] 當然是機型的改換或是一些換機槽的出現
[724.00-725.00] 在這邊對我們的最重要的目標是
[725.00-730.00] 我們會具備很強的認證跟開發實力
[730.00-733.00] 所以我們會縮短我們銜接的速度
[733.00-735.00] 提供我們客戶比較快的solution
[735.00-737.00] 這是我們現在繼續去做的
[737.00-741.00] 當然第二點就是大家想很
[741.00-742.00] 諸位心靈都知道
[742.00-744.00] 中美貿易跟世界局勢
[744.00-747.00] 比較稍微不穩定的狀態下面
[747.00-748.00] 我們怎麼去做封建管控
[748.00-749.00] 包含就是說
[749.00-751.00] 產品在哪裡生產在哪裡出貨
[751.00-755.00] 這個事實上都會間接的影響到我們生產
[755.00-756.00] 整個貨幣的能力
[756.00-758.00] 產品的銷售的獲利
[758.00-760.00] 第三點就是一樣
[760.00-763.00] 其實這兩點是某種程度上是一樣的
[763.00-765.00] 關鍵點是在於硬體的銷售
[765.00-767.00] 我怎麼去降低它的成本
[767.00-769.00] 跟我實際的管理成本
[769.00-770.00] 然後對應不同的出貨
[770.00-773.00] 我們用不同的生產作為去面對它
[773.00-775.00] 再來是獲利提升就是
[775.00-777.00] 除了單純銷售這個硬體之外
[777.00-779.00] 我們怎麼去在硬體周邊的價值
[779.00-781.00] 服務上去做更大的變化
[781.00-782.00] 給更大的機會
[782.00-784.00] 這就是我們我想
[785.00-787.00] 事情不用看得太遙遠
[787.00-789.00] 看到石牛的AI怎麼辦
[789.00-790.00] 但以現況來講
[790.00-792.00] 這兩三年我們光做這個
[792.00-795.00] 就還是可以很明顯的看到我們的機會在哪裡
[795.00-801.00] 這個我想公司還是會先專注在我們本業的穩定成長
[801.00-804.00] 以上就是今天的簡單的報告
[804.00-806.00] 謝謝各位
