[0.00-20.30] 各位同志先進大家午安
[246.04-248.34] 那剛開始這個廠的量不大
[248.34-252.00] 但是將來這個廠的量會慢慢在增加當中
[252.00-253.20] 所以慢慢增加
[253.20-255.64] 那另外我們有一個子公司利頓
[255.64-257.80] 利頓就是我們的上游做鋁箔
[257.80-260.64] 所以它的生產據點是在台灣
[260.64-262.50] 還有四川還有廣東
[262.50-264.54] 那最主要的是做腐蝕箔
[264.54-265.84] 還有做化成箔
[265.84-266.54] 那就是我們
[266.54-268.54] 那由於利頓用的是阿壩州
[268.54-270.60] 阿壩州是水力發電
[270.60-272.48] 所以在ESG的方面
[272.48-275.64] 基本上取得比較好的一個戰略地位
[275.64-276.70] 所以在ESG的方面
[276.70-278.28] 基本上取得比較好的一個戰略地位
[278.28-280.54] 因為中國大陸的鋁箔廠
[280.54-281.80] 很多都是在蒙古跟新疆
[281.80-282.78] 他們是用煤發電
[282.78-284.70] 那煤發電的話對於碳排
[284.70-286.28] 基本上都遇到一些障礙
[286.28-288.34] 那我們在阿壩州是用水力發電
[288.34-289.44] 那這一塊來講
[289.44-291.10] 是一個非常好的利基
[291.10-296.44] 那另外這是我們員工的人水力發電
[296.44-304.44] 人工人數目前來講全部合計是2268人
[304.44-310.44] 那當然我們QA跟R&D的比重基本上也陸續都在拉高當中
[310.44-313.44] 那另外我們也注重技術的研發
[313.44-316.44] 所以利融內部自己有研發的團隊
[316.44-320.44] 另外還有自己的顧問在這個地方幫我們做協助
[320.44-323.44] 另外我們跟公園院也有配合
[323.44-325.44] 那特別是材料開發很重要
[325.44-330.44] 所以我們跟材料商在這個地方針對博種的部分也都陸續在開發當中
[330.44-334.44] 那另外當然跟客戶的關係也要保持非常密切
[334.44-337.44] 我們單一客戶都不會超過我們營收10%
[337.44-340.44] 所以我們客戶的線可以說是非常的廣
[340.44-343.44] 那就是因為客戶的線這麼的廣
[343.44-345.44] 所以在景氣的循環過程中
[345.44-349.44] 我們就不會受到景氣的波動而影響過大
[349.44-353.44] 那另外這就是我們拿到的品質系統的認證
[353.44-355.44] 從這個ISO
[355.44-359.44] ISO 9001、ISO 14001等等
[359.44-361.44] 這些我們都有拿到
[361.44-364.44] 那這個對我們將來切入車廠
[364.44-368.44] 還有各種電子產品基本上都是具有效益的
[368.44-371.44] 那另外我們也強調永續發展
[371.44-373.44] 因為現在企業經營基本上有永續發展
[373.44-375.44] 所以ESG的部分
[375.44-380.44] 還有永續發展的核心目標基本上都有
[380.44-383.44] 然後我們同時也規劃跟落實永續發展的一個策略
[383.44-385.44] 那公司治理在這裡
[385.44-387.44] 在這一塊我們也是做得非常的好
[387.44-390.44] 那另外這個就是剛才談到的永續發展
[390.44-392.44] 我們做的一些工作
[392.44-394.44] 包括ESG的部分
[394.44-397.44] 三部分我們都有在規劃當中
[397.44-399.44] 那另外就是汽車電子
[399.44-401.44] 這邊跟各位特別強調
[401.44-406.44] 汽車電子是我們利融這幾年發展的一個主要的重點
[406.44-411.44] 那汽車電子整個產業面向其實是越來越廣的
[411.44-415.44] 那雖然汽車的整個市況會不一定
[415.44-417.44] 像前幾年汽車市況不好
[417.44-422.44] 但是汽車電子這一塊是我們追求的一個市場
[422.44-427.44] 那畢竟不管是電動車或者是傳統的內燃機的車子
[427.44-432.44] 那它本身汽車電子的備品是越來越多的
[432.44-433.44] 那也就是說
[433.44-437.44] 那無論是這個從以前只有倒車雷達
[437.44-438.44] 所以現在倒車雷達
[438.44-439.44] 胎壓顯示器
[439.44-441.44] 然後液晶儀錶板等等
[441.44-443.44] 全部都是需要汽車電子
[443.44-445.44] 將來自駕的部分也需要汽車電子
[445.44-447.44] 那不僅高階車用的多
[447.44-450.44] 那低階車款也越用越多
[450.44-453.44] 所以這一塊是利融的強項
[453.44-456.44] 那我們也得到很多客人的支持
[456.44-458.44] 那我們有自己的特別的專線
[458.44-462.44] 那這專線來生產汽車電子
[462.44-465.44] 生產汽車電子當然要求的品質規格
[465.44-468.44] 還有整個的研發
[468.44-474.44] 基本上都是要比一般的電子產品來得更強一點
[474.44-476.44] 所以這個地方呢
[476.44-481.44] 我們也通過了汽車電子信賴性的檢測測試
[481.44-484.44] 那另外就是汽車電子強調的
[484.44-486.44] 還有一個重點就是要耐震動
[486.44-488.44] 因為車子在移動過程中
[488.44-490.44] 耐震動是很重要的一件事情
[490.44-492.44] 那我們這個地方都有客服
[492.44-494.44] 那另外我們來看一下
[494.44-495.44] 這是我們得到的獎項
[495.44-497.44] 這個是客戶頒給我們的獎項
[497.44-498.44] 其實相當的多
[498.44-500.44] 包括優良供應商獎
[500.44-501.44] 最佳的品質獎
[501.44-503.44] 還有交貨保障獎等等等
[503.44-506.44] 那另外新材料的開發有這個重點
[506.44-510.44] 那包括這個新材料的供應商
[510.44-511.44] 我們要找到
[511.44-512.44] 特別是大陸地區的供應商
[512.44-514.44] 我們也積極在配合當中
[514.44-516.44] 那材料特性的完整測試
[516.44-519.44] 還有設計上還有選擇適當的材料
[519.44-521.44] 不是拿最好的材料
[521.44-524.44] 是拿適合的材料放在適合的產品上面
[524.44-528.44] 那這樣子才是優質的一個設計
[528.44-531.44] 所以整個的嚴格信賴性的驗證
[531.44-533.44] 這個基本上都有做到
[533.44-537.44] 那這個是我們的產品的產品線
[537.44-540.44] 那從最基本的導針型的
[540.44-542.44] 然後一直到貼片型的
[542.44-544.44] 然後一直到鎖螺絲的
[544.44-547.44] 然後還有高分子故意混合
[547.44-548.44] 跟高分子固態
[548.44-550.44] 那特別是高分子故意混合
[550.44-551.44] 跟高分子固態
[551.44-554.44] 是我們利榮產品的強項
[554.44-557.44] 那這個種類其實非常多
[557.44-560.44] 因為被動元件履持電容的種類
[560.44-562.44] 其實相當的廣泛
[562.44-565.44] 那我們是給客戶一次購組的一個方式
[565.44-569.44] 所以不是專注在哪一個特定的產品
[569.44-571.44] 所以我們是一次購組
[571.44-572.44] 所以從導針 貼片
[572.44-574.44] 然後鎖螺絲
[574.44-576.44] 一直到故意混合跟固態
[576.44-578.44] 我們基本上都有
[578.44-580.44] 那只是在成長的動能上
[580.44-582.44] 那當然是故意混合跟固態
[582.44-584.44] 是我們追求的一個目標
[584.44-586.44] 因為它畢竟毛利會比較高
[586.44-588.44] 那所以我們利榮在
[588.44-590.44] 現在已經有能力去篩選客戶
[590.44-592.44] 以前是被客戶
[592.44-594.44] 現在不是
[594.44-596.44] 現在利榮有資格
[596.44-598.44] 也有能力去選擇我們想要的客戶
[598.44-600.44] 所以我們的產品組合裡面
[600.44-603.44] 可以說是越來越優化
[603.44-606.44] 那另外這個就是我們的產能規劃
[606.44-609.44] 那目前來看我們的廠區
[609.44-611.44] 來看有蘇州廠跟惠州廠
[611.44-613.44] 那因為泰國廠還沒起來
[613.44-615.44] 那目前來講
[615.44-618.44] 全部來講是6.081顆
[618.44-620.44] 那當然是
[620.44-622.44] Radio跟SMD它們的產能規劃是6.081顆
[622.44-624.44] 它的量會比較大一點
[624.44-626.44] SMD是3億
[626.44-627.44] 那Radio是2億
[627.44-629.44] 那另外還有Scoop
[629.44-633.44] 那另外我們一直強調就是Hybrid跟Polymer
[633.44-636.44] 這一邊我們也是在
[636.44-638.44] 未來的趨勢會越來越多
[638.44-641.44] 一個是0.2億一個是0.8億
[641.44-642.44] 大概是這樣子
[642.44-644.44] 那另外汽車電子就是我們的重點
[644.44-646.44] 所以剛才一直強調汽車電子是
[646.44-648.44] 2025 2026
[648.44-650.44] 利榮發展的一個強項
[650.44-652.44] 那將來大家都應該都可以看得到
[652.44-656.44] 汽車電子在利榮的整個的營收的比重
[656.44-658.44] 那基本上會越來越高
[658.44-660.44] 那這個毛利也會比較高
[660.44-663.44] 所以能夠拉升我們整體的一個毛利
[663.44-664.44] 那另外還有電動車
[664.44-667.44] 電動車的部分就是Unboard Charger的部分
[667.44-668.44] Unboard Charger的部分
[668.44-671.44] 我們也用的應用範圍也是相當的寬
[671.44-674.44] 那還有電動充電樁
[674.44-677.44] 充電樁的部分也需要鋁電容
[677.44-681.44] 另外利榮電源的部分大概就是風機
[681.44-683.44] 風力發電跟太陽能這一塊
[683.44-687.44] 風力發電跟太陽能這一塊也需要PV Inverter
[687.44-689.44] 然後這個Charger
[689.44-691.44] 那裡面就需要鋁電容
[691.44-693.44] 那我們這一塊也有在教
[693.44-697.44] 那另外工業設計的部分包括機器手臂
[697.44-699.44] 機器手臂用到的電容
[699.44-701.44] 那它是特殊規格的
[701.44-704.44] 因為它要有速度的問題
[704.44-708.44] 那所以工業設計這一塊也是我們的重點
[708.44-710.44] 那電訊網通的部分也是
[710.44-712.44] 包括5G的機器台的建置
[712.44-715.44] 還有機房這個局端的部分
[715.44-718.44] 也是我們都有這樣
[718.44-721.44] 那另外消費型的電子跟家電
[721.44-723.44] 這一塊因為毛利比較低
[723.44-726.44] 那所以我們基本上就是讓客戶一次購足
[726.44-728.44] 所以不是我們的重點
[728.44-731.44] 但是我們還是要生產
[731.44-732.44] 還是必須要生產
[732.44-735.44] 那資訊營運的部分大家比較在意的就是
[735.44-737.44] 伺服器的部分
[737.44-740.44] 伺服器的部分這一塊利榮也已經
[740.44-742.44] 是在歷史的裡面
[742.44-747.44] 所以這一塊隨著伺服器跟AI伺服器的需求增加
[747.44-752.44] 我們的客人的下的單基本上也越來越多
[752.44-755.44] 那另外醫療安防的部分
[755.44-757.44] 就是特別是疫情這一段時間
[757.44-760.44] 那我們很有效率的切入醫療的設備
[760.44-764.44] 那醫療的設備裡面也用到許多電容器
[764.44-766.44] 而且這電容器都是比較特殊規格的
[766.44-768.44] 那它雖然量少
[768.44-770.44] 但是它的毛利基本上非常的高
[770.44-774.44] 那所以最後我們可以看一個我們未來方向
[774.44-776.44] 2009年的時候
[776.44-779.44] 我們基本上就已經交了AI的一個產品
[779.44-780.44] 那產品線來講
[780.44-784.44] 有包括SMD啦Ecap啦固態跟Hybrid
[784.44-788.44] 那應用領域裡面就是AI裡面的顯示卡
[788.44-789.44] 高速運算
[789.44-792.44] 那另外還有測用的部分我們也有
[792.44-796.44] 那這個就是我們在AI的部分我們也是有跨足
[796.44-799.44] 畢竟AI的這個硬體設備裡面
[799.44-801.44] 還是需要電容
[801.44-803.44] 那我們這一塊也積極的在導入當中
[803.44-807.44] 那最後這是我們公司的優勢
[807.44-811.44] 第一個我們是48年的電解電容器的公司
[811.44-814.44] 而且是上市公司財務可以說是非常穩健
[814.44-818.44] 那產能的部分目前是6.08億顆
[818.44-820.44] 那最主要是在大陸地區
[820.44-822.44] 那包括Vchip啦Ecap啦
[822.44-825.44] 然後高分子固態電容啦
[825.44-827.44] 或是高分子固液混合
[827.44-831.44] 那主要的生產製造基地是在中國大陸
[831.44-832.44] 雖然是在中國大陸
[832.44-835.44] 但是剛才談到因為美中貿易戰的關係
[835.44-837.44] 所以我們在泰國春蘆里設產
[837.44-842.44] 那就是會在今年年底應該有機會少量的投產
[842.44-845.44] 那另外經濟規模也有達到
[845.44-848.44] 鋁電容大家都會做
[848.44-852.44] 但是當量做大的時候品質怎麼樣來去做控管
[852.44-854.44] 這是非常重要的一件事情
[854.44-857.44] 那另外技術方面我們特別是我們的高分子
[857.44-859.44] 的固液混合的Vchip
[859.44-862.44] 還有長壽密的這個Vchip
[862.44-865.44] 那還有阻燃性的電容器
[865.44-869.44] 鋁電容以前最怕的事情就是會有溺漏啦
[869.44-871.44] 或是著火的問題
[871.44-874.44] 我們這邊有阻燃性的電容器的一個專利
[874.44-878.44] 品質方面也符合市場上的主要的規範
[878.44-883.44] 然後最後我們服務交貨的非常具有彈性
[883.44-885.44] 我們不像日系廠商
[885.44-887.44] 日系廠商下單以後
[887.44-889.44] 我們大概一個月七個月才交貨
[889.44-892.44] 那我們即時拿到單之後大概一個月可以交貨
[892.44-894.44] 那如果是一般品的話
[894.44-897.44] 那我們都有庫存也可以做到即時交貨
[897.44-899.44] 那所以在服務上
[899.44-901.44] 在服務上得到客人的認同
[901.44-904.44] 所以我們具有全球供貨的能力
[904.44-908.44] 好那這個就是我們今天很簡單的跟各位講一下
[908.44-911.44] 我們公司的這個簡報
[911.44-914.44] 讓各位投資先進能夠做參考
[914.44-915.44] 謝謝特助
[915.44-917.44] 那接下來是QA的時間
[917.44-919.44] 那如果各位先進有提問的話
[919.44-921.44] 那麻煩舉手發問
[921.44-922.44] 謝謝
[931.44-932.44] 如果沒有提問的話
[932.44-935.44] 那我們今天的訪問會就到這裡
[935.44-938.44] 那非常謝謝各位投資先進的參加
[938.44-940.44] 那慶祝大家投資順利
[940.44-941.44] 公司業績長紅
[941.44-942.44] 謝謝
