[0.96-7.66] 各位投资人午安,欢迎参加信义房屋113年第四季线上中文法人说明会。
[389.64-392.64] 还有这个雷幻的调整数这个地方
[392.64-395.64] 会影响到那个
[395.64-396.64] 特别营工季的一个提炼
[396.64-398.64] 那因为它增加不少
[398.64-401.64] 所以它回振的金额也
[401.64-405.64] 也大概有将近有快7亿多的那个金额
[405.64-408.64] 所以我们今年的一个
[408.64-410.64] 配发的那个
[410.64-411.64] 那个美股的现金鼓励
[411.64-415.64] 我们在2月26号的时候有经董事会通过
[415.64-419.64] 大概预计配发1.8块钱
[419.64-423.64] 美股的那个现金鼓励是1.8元
[423.64-426.64] 大概比前一个年度的1.6元
[426.64-431.64] 增加的0.2元这样子
[431.64-434.64] 那接下来的话请各位投资朋友看到
[434.64-436.64] 下一页第6页的部分
[436.64-438.64] 那第6页的部分的话主要是
[438.64-440.64] 营收的一个比重
[440.64-444.64] 那这边的话大概就请各位投资朋友参阅
[444.64-445.64] 那主要还是在
[445.64-448.64] 来自于新房屋的那个增加
[448.64-451.64] 那比较明显的一个变化的话
[451.64-454.64] 就是日本新衣还是维持在相对来讲它表现不错
[454.64-455.64] 所以这个
[455.64-458.64] 那个它的比重稍微再
[458.64-461.64] 是比较显著一点
[461.64-468.64] 那另外在第7页跟第8页的那个营收的趋势的状况
[468.64-470.64] 就是第7页是合并的营收
[470.64-472.64] 第8页的话是不包含
[472.64-475.64] 开发事业的合并营收的一个情形
[475.64-480.64] 那也请各位投资朋友参与一下就可以
[480.64-482.64] 那到第9页的部分
[482.64-484.64] 请各位投资朋友看到
[484.64-488.64] 在合并的资产负债表的部分
[488.64-494.64] 那现金跟列当现金的这个地方大概减少了8亿多的金额
[494.64-499.64] 那主要都还是在于我们在之前的跟大家报告就是
[499.64-502.64] 我们做了一些投资
[502.64-504.64] 包含购买美元债券的投资
[504.64-506.64] 美元债券现在大概
[506.64-510.64] 那个利率大概都有到5点多%
[510.64-514.64] 就做这样一个投资规划
[514.64-519.64] 那另外就是在于其他金融资产的流动这部分
[519.64-521.64] 会有一些变化
[521.64-526.64] 那主要的40几亿的其他金融资产的流动
[526.64-528.64] 大部分都是
[528.64-531.64] 只要定存单或者是说
[531.64-532.64] 那个
[532.64-533.64] 三年以上的
[533.64-534.64] 三个月以上的
[534.64-537.64] 那个定存单的那个资料
[537.64-541.64] 那详细的数字的话可以请大家参阅
[541.64-543.64] 那个财报上面的一个资料
[543.64-545.64] 大概40几亿主要都是来自于这里
[545.64-547.64] 那另外一个比较小的
[547.64-549.64] 两三亿的金额的话是
[549.64-553.64] 那个预售屋的那个专货的款项
[553.64-556.64] 那存货的部分的话
[556.64-557.64] 有一些的变化
[557.64-558.64] 但是变化不大
[558.64-561.64] 那主要就是还是反映了
[561.64-563.64] 我们在
[564.64-566.64] 在那个
[566.64-568.64] 家品的一些的工程的一个投入
[568.64-570.64] 家学的工程投入这些
[570.64-574.64] 那当然有一些的部分的话是
[574.64-575.64] 销售的地方
[575.64-577.64] 但是金额并不大
[577.64-579.64] 那另外在
[579.64-582.64] 接下来下面的那个部分的话是
[582.64-585.64] 一些投资性的不动产的
[585.64-586.64] 跟那个使用权
[586.64-588.64] 跟使用权资产还有不动产的
[588.64-590.64] 的这个部分的一个变化
[590.64-592.64] 那主要的话大概
[592.64-593.64] 跟投资者的报告就是我们之前的
[593.64-597.64] 就是我们之前在去年的时候有购买
[597.64-600.64] 北关农场的这个土地
[600.64-602.64] 大概这个交易大概是
[602.64-606.64] 五亿两千万左右的台币的金额
[606.64-610.64] 所以这个地方做会有在增加
[610.64-614.64] 那第十页的部分的话是短期借款
[614.64-616.64] 负债的部分
[616.64-620.64] 那短期借跟一年内的到期的长期借款
[620.64-622.64] 跟长期借款这个部分喔
[622.64-624.64] 一样也是跟投资者的报告
[624.64-626.64] 你可以同时间看
[626.64-628.64] 那大概它的一个增长的金额
[628.64-630.64] 大概是两亿多的净增长数
[630.64-632.64] 所以在借款上面的话
[632.64-634.64] 我们整个来看的话
[634.64-637.64] 大概增长了两亿多
[637.64-640.64] 那另外就是在其他应付款
[640.64-643.64] 主要就是反映的应付薪资
[643.64-644.64] 应付费用
[644.64-649.64] 民用奖金等等这些的费用的一个变动
[649.64-652.64] 那在2023年的
[652.64-655.64] 时候的水准相对来讲是比较高的
[655.64-659.64] 那主要就是那时候的应付的奖金比较多
[659.64-661.64] 那支付掉完之后
[661.64-663.64] 金额又再掉下来
[663.64-665.64] 那另外在
[665.64-668.64] 后续的话在
[668.64-670.64] 第十一页的地方
[670.64-672.64] 请大家看到在
[672.64-677.64] 在股东权益的这个变化上面
[677.64-680.64] 那跟刚刚所提到就是说
[680.64-682.64] 除了法定工期的这个
[682.64-683.64] 跟特别工期
[683.64-686.64] 就是因为在去年的股东会
[686.64-689.64] 我们通过的做了一些提列之外
[689.64-691.64] 那未分配益的话增加了两亿
[691.64-695.64] 那主要在就是配的
[695.64-697.64] 去年的现金鼓励完之后
[697.64-700.64] 那今年再获利
[700.64-702.64] 就是2024年再获利
[702.64-704.64] 两者之间的差异数
[704.64-706.64] 大概是两亿左右的金额
[706.64-709.64] 那刚刚有提到就是我们在
[709.64-711.64] 其他权利的这个地方就是
[712.64-716.64] 累计换算调整数这个兑换差额这里
[716.64-719.64] 从2023年底的13亿
[719.64-723.64] 减少变成是6亿1500万
[723.64-726.64] 增加了将近7亿的数字
[726.64-727.64] 所以这个地方的话
[727.64-730.64] 会可以渴望做一些回转
[730.64-732.64] 再去增加那个
[732.64-737.64] 那个可分配盈余的这个金额
[737.64-738.64] 那整个来讲的话
[738.64-740.64] 大概权益的部分
[740.64-741.64] 去年底
[741.64-744.64] 2024年底的权利总额的金额的话
[744.64-751.64] 是13亿9670万元
[751.64-754.64] 对不起139亿6700万元
[754.64-756.64] 那整个总资产的金额是
[756.64-760.64] 324亿2500万元
[760.64-763.64] 那接下来在计划业的部分的话
[763.64-765.64] 是整个现金流
[765.64-768.64] 投并的现金流量表的一个情形
[768.64-771.64] 那在起初的时候是
[771.64-774.64] 50亿8100万元
[774.64-777.64] 那在营业活动的这个部分
[777.64-778.64] 可以看到就是
[778.64-781.64] 不论在2023跟2024的话
[781.64-784.64] 都是一个净现金流入
[784.64-786.64] 一个分别2023年的
[786.64-789.64] 32亿33亿左右
[789.64-791.64] 到2024年的21亿
[791.64-793.64] 那这个
[793.64-795.64] 变化主要的是
[795.64-796.64] 2023年的话
[796.64-798.64] 因为有交流交的关系
[798.64-799.64] 所以他那个
[799.64-801.64] 净现金流入的金额
[801.64-803.64] 在因为加额的关系
[803.64-804.64] 所以会比较明显
[804.64-806.64] 那在2024的话
[806.64-808.64] 其实也是表现的算很不错
[808.64-810.64] 就是净现金流入有到
[810.64-812.64] 21亿左右的金额
[812.64-815.64] 那投资活动的话主要就是
[815.64-818.64] 当讲的一些
[818.64-821.64] 那个购买美国美元债券
[821.64-824.64] 或者是投资
[824.64-827.64] 那个北关农场等等的这些的
[827.64-829.64] 的金额才对
[829.64-831.64] 那当然有一些投资一些
[831.64-835.64] 权益法的一些被投资公司的一些
[835.64-836.64] 投资款
[836.64-840.64] 那投资活动的主要来自于就是
[840.64-844.64] 除了跟伊朗增加了
[844.64-847.64] 刚刚所说的借款2亿多的金额之外
[847.64-850.64] 那另外就是支付了
[850.64-851.64] 租金的本金
[851.64-855.64] 还有支付了去年度的
[855.64-857.64] 配发的现金鼓励
[857.64-859.64] 所以整个投资活动
[859.64-861.64] 投资活动的净现金流出是
[861.64-864.64] 16亿15亿7千万左右
[864.64-866.64] 那期末的金额的话是请三月
[866.64-870.64] 那在第13页的部分的话是存货的明细表
[870.64-874.64] 可以看到就是在开发中的不动产当中
[874.64-877.64] 目前来讲的话就是加品跟加学
[877.64-880.64] 一个在板桥一个在新庄
[880.64-886.64] 那大概他们增加的数字的话主要都是在于那个
[886.64-889.64] 就是工程款的这个部分持续在示范
[889.64-890.64] 在工当中
[890.64-894.64] 那另外在高雄的南子区的土地的话是
[894.64-896.64] 一几乎没有动
[896.64-898.64] 然后在
[898.64-904.64] 在水家庭的部分的话大概有减少了2亿8千万元左右的金额
[904.64-906.64] 大概主要除了销售之外
[906.64-908.64] 那我们也提了
[908.64-910.64] 存货的铁价准时
[910.64-914.64] 在这个地方提了大概1亿6千6百万左右
[914.64-918.64] 那整个存货的总计的话是
[919.64-921.64] 1亿8亿7千7百万元
[921.64-924.64] 然后在14页的部分的话是
[924.64-930.64] 把我们目前的销售的开发案的案子的状况
[930.64-932.64] 罗列在这个表当中
[932.64-935.64] 那可以看到就是累积起来大概
[935.64-938.64] 山水家庭现在的营收的成数
[938.64-941.64] 销售率大概是70%
[941.64-945.64] 那交屋的套数的话是
[945.64-948.64] 608套当中以交屋的话是424套
[949.64-954.64] 所以营收的润液金额是累积起来
[954.64-957.64] 是64亿8千3百万元
[957.64-960.64] 那2024年的话是交屋了6套
[960.64-964.64] 然后润液的营收是1.08亿元
[964.64-967.64] 那另外在15页的部分的话是
[967.64-969.64] 新一房屋的个体的存益表
[969.64-971.64] 就单纯就新一房屋本身来看
[971.64-973.64] 那我简要可以看到就是说
[973.64-976.64] 营业收入的部分的话
[976.64-979.64] 新一房屋增加了8%
[979.64-984.64] 从2023年的105亿5千1百万元
[984.64-986.64] 增加到113亿6百万元
[986.64-990.64] 增加了8亿3千5百万元的金额
[990.64-992.64] 那可以看到毛利率的部分
[992.64-996.64] 其实是有获得比较明显的改善
[996.64-999.64] 大概有增加了3个百分点
[999.64-1001.64] 从26%变成29%
[1001.64-1003.64] 那营业利益的话是
[1003.64-1007.64] 营业利益的话是19亿2千5百万元
[1007.64-1008.64] 也比2023年的话增加了2千5百万元
[1009.64-1015.64] 营业经纪率的话是提高了1%
[1015.64-1017.64] 达到了17%
[1017.64-1021.64] 然后营业外收支增加了之后
[1021.64-1023.64] 再扣掉所得税费用
[1023.64-1026.64] 所以刚刚也提到整个经纪来讲的话是
[1026.64-1028.64] 17亿8千4百万元
[1028.64-1030.64] 经纪率是16%
[1030.64-1032.64] 刚刚也提到EPS的话是2.42元
[1032.64-1034.64] 这个就不再追溯
[1034.64-1038.64] 那在综合成立的部分
[1038.64-1040.64] 因为跟刚刚的那个数字差不多
[1040.64-1043.64] 我就不再多说
[1043.64-1046.64] 那在第17页来看的话
[1046.64-1048.64] 其实整个来看
[1048.64-1052.64] 基本上没有什么太大的不一样的地方
[1052.64-1055.64] 那这边的话就因为时间关系
[1055.64-1057.64] 我就不再多说
[1057.64-1059.64] 请各位投资朋友再参与
[1059.64-1063.64] 包含在第18页跟第19页
[1063.64-1067.64] 大概方向的状况都很接近
[1068.64-1071.64] 那19页可以看到就是说
[1071.64-1075.64] 营业活动的进贤金流入的话
[1075.64-1080.64] 因为2024年的话就还是20亿左右
[1080.64-1083.64] 然后2023年的话就是19亿
[1083.64-1085.64] 不像刚刚看到的30几亿
[1085.64-1088.64] 主要就是家和的那个
[1088.64-1092.64] 家屋的款项的部分不含在个体的
[1092.64-1094.64] 新金流量里头
[1094.64-1097.64] 所以这个大概稍微说明一下
[1097.64-1099.64] 那20页的部分的话是
[1099.64-1102.64] 关于旅游事业的状况
[1102.64-1106.64] 目前来讲的话都还是持续在做一些
[1106.64-1111.64] 那个动工之后的一些像是打桩的工程
[1111.64-1114.64] 我们在去年的时候已经完成了
[1114.64-1117.64] 然后陆陆续续的有一些的楼层
[1117.64-1120.64] 已经开始冒出地面
[1120.64-1126.64] 所以就是有一部分的部分里面
[1127.64-1130.64] 已经开始从一楼开始有明显的
[1130.64-1131.64] 可以看得到屏蔽上面
[1131.64-1133.64] 可以看得到一些建筑物
[1133.64-1136.64] 那个建筑的结构体
[1136.64-1140.64] 那所以在室内另外一方面的话
[1140.64-1141.64] 在室内设计上面的话
[1141.64-1143.64] 我们持续在去优化
[1143.64-1146.64] 就是要让未来的一个
[1146.64-1149.64] 氛围感跟那个整个一个感受
[1149.64-1152.64] 给客户一个比较好的体验
[1152.64-1156.64] 那后续的在上一季的时候提到的一些
[1156.64-1159.64] 电梯工程交换工程等等的这些的话
[1159.64-1162.64] 我们陆续都有跟都已经确定
[1162.64-1163.64] 那个承包厂商
[1163.64-1165.64] 那金钱的话也在发中进
[1165.64-1169.64] 针对就是总包的那个部分
[1169.64-1171.64] 合约大概有签订
[1171.64-1176.64] 那环滩岛的这部分的开发的进度
[1176.64-1179.64] 其实都还是一样
[1179.64-1181.64] 相对来讲是比较缓慢的
[1181.64-1184.64] 因为做那个富裕本来就比较
[1184.64-1186.64] 花多一点时间
[1186.64-1188.64] 那当时也跟投资朋友报告
[1188.64-1190.64] 就是我们有跟沙巴大学
[1190.64-1194.64] 跟当地保育团体做一些合作
[1194.64-1198.64] 然后后续的话还是对于
[1198.64-1199.64] 那个当地的一些
[1199.64-1202.64] 岛上的一些基本的建设
[1202.64-1206.64] 会做一些那个后续的那个进行
[1206.64-1209.64] 那目前来讲的话就是对于
[1209.64-1211.64] 先前讲到的土壤改良
[1211.64-1213.64] 然后改造
[1213.64-1215.64] 以及就是我们的
[1215.64-1217.64] 盗链的这个计划
[1217.64-1220.64] 大概这部分都还是持续在进行当中
[1220.64-1223.64] 那16月的部分的话是在于
[1223.64-1227.64] 其实到最新为止2025年的2月
[1227.64-1230.64] 电数的话是465家店
[1230.64-1235.64] 然后相对2024年的2月份来讲的话
[1235.64-1237.64] 减少了两家店
[1237.64-1240.64] 那分布比例大概都差不多
[1240.64-1242.64] 那付诸的这部分的话是相
[1242.64-1244.64] 也让投资朋友看到就是相对于
[1244.64-1247.64] 第三季的法售会的时候
[1247.64-1250.64] 那时候揭露就是2024年的
[1250.64-1252.64] 12个电数是460
[1252.64-1257.64] 464家分店
[1257.64-1260.64] 那接下来的话是
[1260.64-1263.64] 2025年的上半年台湾房市的展望
[1263.64-1266.64] 那我们请曾经的经理来为大家说明
[1266.64-1272.64] 谢谢
[1272.64-1273.64] 好那
[1273.64-1274.64] 曾
[1274.64-1279.64] 对2025年上半年的房市的一些展望来看的话
[1279.64-1282.64] 目前大环境来讲的话房贷资金
[1282.64-1286.64] 虽然说还是在央行的空完之下
[1286.64-1289.64] 那整体投资降温但自用当道
[1289.64-1294.64] 不过观察最近的一个房贷的整体的条件
[1294.64-1296.64] 已经有一些些改善
[1296.64-1298.64] 虽然说还是比较偏向紧缩的
[1298.64-1302.64] 但是现在民众在申请房贷的时候
[1302.64-1303.64] 那可以比较明确的知道
[1303.64-1307.64] 大概银行进建之后
[1307.64-1311.64] 大概多久时间内房贷的可以顺利申请下来
[1311.64-1314.64] 这个部分是有比较明确的改善
[1314.64-1317.64] 那上半年房市329档期
[1317.64-1320.64] 其实就是我们在看上半年房市
[1320.64-1322.64] 一个很重要的风向球
[1322.64-1327.64] 那会观察整体的个案的销售状况是否
[1327.64-1329.64] 会呈现一个比较顺销的状况
[1329.64-1331.64] 不一定是热销
[1331.64-1332.64] 只要是顺销的话
[1332.64-1334.64] 其实对于房市来讲都是一个比较
[1334.64-1337.64] 觉得是一个健康的状况
[1337.64-1340.64] 那整体上半年的房市
[1340.64-1342.64] 还是会呈现一个价盘
[1342.64-1346.64] 那量能会比去年同期呈现一个量缩
[1346.64-1348.64] 这样子的一个格局
[1348.64-1350.64] 环境应该是没有改变的
[1350.64-1355.64] 那不过因为其实央行政策上路到现在
[1355.64-1357.64] 其实也接近两个季度的一个时间
[1357.64-1360.64] 我们预期这样子的一个影响力或许
[1360.64-1364.64] 它的对于心理的一些影响
[1364.64-1367.64] 应该会慢慢的稍微有一些淡化掉
[1367.64-1370.64] 那整体来看的话其实商用市场
[1370.64-1373.64] 包括工业啊然后办公啊
[1373.64-1376.64] 这样一个市场其实人见度还是目前比较高的
[1376.64-1381.64] 那住宅的一个市场都还是呈现一个比较盘整的一些实况
[1381.64-1383.64] 那以上供您参考
[1383.64-1386.64] 现在我们开始进入问答时间
[1386.64-1387.64] 各位投资人
[1387.64-1388.64] 现在您可以利用投影片下方控白线讯息
[1388.64-1389.64] 现在您可以利用投影片下方控白线讯息
[1389.64-1391.64] 输入您的问题
[1391.64-1393.64] 我们将为您解答
[1393.64-1399.64] 投资朋友问到说
[1399.64-1404.64] 亲戚家屏的什么时候交入账号
[1404.64-1407.64] 那我们现在预计就是
[1407.64-1411.64] 在4月中的时候
[1411.64-1413.64] 我们会申请执照
[1413.64-1417.64] 那如果没有意外的话
[1417.64-1419.64] 大概预计可能会在4月中的时候
[1419.64-1422.64] 可能是6月左右的时候
[1422.64-1424.64] 可能拿到执照
[1424.64-1429.64] 那预计大概经过就是这些初验复验的这个过程当中
[1429.64-1432.64] 那么大概会排一些那个这些程序
[1432.64-1434.64] 所以就整个安排
[1434.64-1435.64] 持续上面安排的话
[1435.64-1439.64] 我们大概预计在下半年的时候
[1439.64-1441.64] 会开始做一个交流动作
[1441.64-1445.64] 可能是落到9月份左右的一个地方
[1445.64-1449.64] 那也还是得要看搭配那个整个跟客户的一个
[1449.64-1451.64] 贷款的一个情形的状况
[1451.64-1455.64] 所以大概是整体来讲的话
[1455.64-1459.64] 大概是下半年的时候会交入
[1459.64-1461.64] 那有投资朋友问到说
[1461.64-1467.64] 新庄家屏的预计什么时候可以完工交入
[1467.64-1476.64] 那我们预计大概117年的时候会交入
[1476.64-1478.64] 大概是116年底左右
[1478.64-1481.64] 年底左右的时候会完工嘛
[1481.64-1484.64] 然后交入的话可能会落在117年
[1484.64-1486.64] 这样子的一个情形
[1486.64-1490.64] 然后目前的工程进度状况
[1490.64-1495.64] 大概都还是跟原来我们预期的状况差不多
[1495.64-1497.64] 所以在家屏的这个
[1497.64-1500.64] 在家屏的这个进度上面的话
[1500.64-1505.64] 大概又如我们预期的工程的一个进度在走
[1505.64-1507.64] 然后
[1507.64-1508.64] 有投资朋友问到
[1508.64-1514.64] 说2023、2024的那个平均毛利率是27%跟30%
[1514.64-1521.64] 那2025年的预计的那个收入跟毛利率展望
[1521.64-1525.64] 那像刚刚所讲的就是说
[1525.64-1532.64] 我们大概都知道说在去年9月份左右的时候的低起波信用管制
[1532.64-1537.64] 对房仲的一个交易量的一个影响
[1537.64-1539.64] 其实是蛮大的
[1539.64-1542.64] 所以在这个部分大家也看到就是在
[1542.64-1548.64] 第2月的时候的整个一个公告的营收状况并不理想
[1548.64-1552.64] 那我们大概期望就是说在3月份的时候会有明显的一个起色
[1552.64-1556.64] 那就对于说整体来讲的话的
[1556.64-1559.64] 那个毛利的话我们跟营收的部分
[1559.64-1562.64] 我们不在这边做那个预测了
[1562.64-1565.64] 那基本上一样还是维持原来的那个说法
[1565.64-1566.64] 就是我们还是会尽量的
[1567.64-1571.64] 尽力的去提升优通人的动能
[1571.64-1573.64] 把每一个案子都服务好
[1573.64-1576.64] 这是最主要的要做的事情
[1576.64-1581.64] 另外有投资朋友问到说
[1581.64-1585.64] 山水家庭2025年的时候还会提一列跌价损失吗
[1585.64-1588.64] 就我们目前来看的话
[1588.64-1595.64] 其实整个大陆的房市还是不是很明朗
[1595.64-1597.64] 因为二手房看起来
[1597.64-1599.64] 是比较活跃
[1599.64-1603.64] 那个回温的速度跟热度也比较好
[1603.64-1607.64] 那一手房的部分可能会稍微弱一点
[1607.64-1612.64] 但是尤其是在二三线城市的时候
[1612.64-1617.64] 那可能还是要看每一个城市的一个推出的那个状况是
[1617.64-1618.64] 施策是怎么样
[1618.64-1621.64] 就是他们的政策的情形
[1621.64-1625.64] 那以五级这边来看的时候
[1625.64-1626.64] 我们大概预期
[1626.64-1627.64] 以现实的情况来看的话
[1627.64-1630.64] 现在来讲的话大概
[1630.64-1633.64] 我们都是用
[1633.64-1636.64] 镜面现价值的概念下去评价的
[1636.64-1638.64] 所以基本上
[1638.64-1640.64] 提列上面是这样
[1640.64-1642.64] 那未来的话
[1642.64-1647.64] 可能要看房市的状况跟市场的一个房市的一个走向
[1647.64-1651.64] 就房价的一个情形来去看看是不是还需要再提
[1651.64-1654.64] 这个部分我们会持续再去做
[1654.64-1655.64] 那也
[1655.64-1657.64] 那也会去做一些那个
[1657.64-1658.64] 进一步的评估
[1658.64-1661.64] 不过就是看我们目前来讲的话
[1661.64-1663.64] 我们预期就是
[1663.64-1667.64] 还是以内部还是以这个案子
[1667.64-1670.64] 在今年度能够再去做一个销售
[1670.64-1671.64] 就是玩笑
[1671.64-1673.64] 就把这180几套的
[1673.64-1676.64] 剩下套做玩笑的动作
[1676.64-1678.64] 那目前来讲的话
[1678.64-1680.64] 看起来的确
[1680.64-1684.64] 如果说在二五战争有比较
[1684.64-1686.64] 有可能在短期之内就能够
[1686.64-1691.64] 有所有所那个停止的话
[1691.64-1693.64] 那对于那个大陆的一个消
[1693.64-1695.64] 整体的消费的情形
[1695.64-1697.64] 他就会比较比较来的好
[1697.64-1698.64] 那
[1698.64-1702.64] 这样的话就会影响到整个一个房市的一个动能
[1702.64-1703.64] 所以
[1703.64-1709.64] 我们大概内部自己预估就是第二季可能会是主体的一个情形
[1709.64-1714.64] 那到了第三季的时候的量能应该会再起来
[1714.64-1716.64] 那搭破搭配了这个
[1716.64-1722.64] 那个持续在做的一些架子的一个凸显的动作
[1722.64-1725.64] 那像跟我们周遭的那个案子比起来
[1725.64-1727.64] 我们还是有像有信心
[1727.64-1728.64] 就是有一些的
[1728.64-1730.64] 我们有些独到的地方
[1730.64-1733.64] 包含说那个附近的景观
[1733.64-1734.64] 那等等之类的
[1734.64-1739.64] 在价值上面其实应该都不会担心被被低估
[1739.64-1744.64] 那现在的话的确是因为杀架杀的
[1744.64-1745.64] 在有一些
[1745.64-1751.64] 那个整个一个先天的产品上面比较不好的
[1751.64-1753.64] 那杀架会比较凶
[1753.64-1756.64] 那我们并不跟进这样的一个动作
[1756.64-1760.64] 以免伤害了股东权益
[1760.64-1761.64] 所以这个部分
[1761.64-1766.64] 我相信在这个地方应该接下来会比较有好转
[1766.64-1774.64] 那有投资朋友问到房贷的利率的走势状况
[1774.64-1780.64] 那目前看起来首购的一个房贷利率大概
[1780.64-1783.64] 一般条件要接近到2.5左右
[1783.64-1789.64] 那市面上当然也有听到有一些房贷的利率
[1789.64-1791.64] 可能个人条件不是那么好的
[1791.64-1793.64] 可能会接近3%这样子的状况
[1793.64-1798.64] 那整个开办的相关的成本费用
[1798.64-1802.64] 都是比较明显的略微增加的一个表现
[1802.64-1804.64] 那至于短期的
[1804.64-1806.64] 一个房贷利率的话
[1806.64-1810.64] 我们还是会看说未来有没有一个升息的一个条件
[1810.64-1812.64] 那目前看起来
[1812.64-1815.64] 似乎大家对于升息的预期不是很强
[1815.64-1819.64] 所以有可能利率的状况会维持在这边
[1819.64-1821.64] 会维持一阵子
[1821.64-1824.64] 看说整体的一个房贷的
