[0.00-7.50] 漢翔航空工業股份有限公司線上法人說明會即將會在兩分鐘之後開始
[809.98-816.98] 那这两架机队分别在台东跟钢山这边已经成立的机队开始进行了一些维保的一个业务
[816.98-821.98] 那在这个情形下除了高较机的维保业务以外
[821.98-827.98] 因为公司过去来讲整个在商委的部分的时机也表现得很好
[827.98-834.98] 所以我们除了我们是有这种的IDF的这个商委持续在获得业务以外
[834.98-837.98] 我们在11修大的一个伪商还有军用的
[837.98-839.98] 也就是入军的直升机的一个商务
[839.98-842.98] 在这个商务的部分我们争取很多的业务
[842.98-847.98] 那所以在去年来讲我们整个军用业务的一个接单的一个金额是超过300亿
[847.98-853.98] 会在未来几年内我们会去领约完成下一页
[853.98-857.98] 那在整个国防市场的一个部分来讲
[857.98-864.98] 我们现在刚刚看到那个赖总统的这个政策里面无人机这个部分是一个重点
[864.98-869.98] 所以呢经济部也在去年9月开始成立的就是台湾卓越无人机的海外商务部
[869.98-871.98] 这个商机联盟
[871.98-874.98] 那这个联盟成立的重点基本上就是在扶持国内厂商
[874.98-878.98] 能够往这个无人机的这个产业去做发展
[878.98-884.98] 那同时呢也在透过整个厂商的一个过程的一个评鉴
[884.98-889.98] 去找出适当的厂商去建立他们所应有的一个能量
[889.98-893.98] 那在这个部分基本上目前还是持续在推动中
[893.98-901.98] 那同时也在这个过程中呢也藉由到国外去参展或是拜访的机会呢
[901.98-906.98] 去寻求亲美正方的一些的一个合作
[906.98-910.98] 所以呢也希望他未来能够增加我们对台的采购
[910.98-918.98] 那从原物料到零组件还有机身结构到整机也就是无人机整机的这个部分的产品呢
[918.98-922.98] 那基本上我们希望能够做一个扩大的这个部分
[922.98-925.98] 能够有这样的一个商机产生
[925.98-927.98] 下一页
[927.98-933.98] 那从上面来看到我们在这里我们再把它归纳一下
[933.98-939.98] 就是说我们现在的重点基本上汉阳公司除了在军机系统的一个产制以外
[939.98-942.98] 因为这个部分是我们现在的一个重点
[942.98-947.98] 所以我们现在以积极跟国外的厂商希望能取得原厂的一个授权
[947.98-951.98] 技种然后去发展我们所需要的这个系统建立一个部分
[951.98-952.98] 同时呢
[952.98-955.98] 也藉由这些厂商的一个计算过程中
[955.98-958.98] 我们能够取得那个维修的技术
[958.98-961.98] 然后推动我们自主维修的一个能力
[961.98-963.98] 那在无人机反制系统的部分
[963.98-965.98] 我们呢已经呢
[965.98-969.98] 跟国内的自飞也就是在军用商会的部分
[969.98-974.98] 我们已经帮他在做制造无人机的一个产制的一个业务
[974.98-977.98] 那同时呢我们在反制系统的一个部分
[977.98-981.98] 我们现在已经也在去年开始投入
[981.98-984.98] 那目前我们预划今年就有产品产生
[984.98-987.98] 那未来我们这个整个反制系统
[987.98-991.98] 我们会配合国家的一个基础建设的一个所需
[991.98-994.98] 我们会在国内推动这个产品
[994.98-998.98] 然后会把这个变为一个商品化的一个产品在国内推动
[998.98-1001.98] 同时呢再扩大到海外去
[1001.98-1007.98] 那同时呢我们也跟三军里面的海军陆军也积极在寻求这个合作
[1007.98-1010.98] 就是希望能够推动国防自主的这个部分
[1010.98-1016.98] 那为了在海军的部分我们能够更扩大一个合作
[1016.98-1019.98] 就是争取更多业务的来源
[1019.98-1022.98] 我们也跟船舶中心签署了一个MOU
[1022.98-1025.98] 希望呢以各自的领域去做发展
[1025.98-1030.98] 然后扩大我们的一个研发制造还有测试维修的一个业务
[1030.98-1033.98] 就是争取到海军的这个部分
[1033.98-1035.98] 那希望能够强强联手
[1035.98-1038.98] 能够去真正打造出我们国防自主的一个能力
[1038.98-1039.98] 好下一页
[1040.98-1043.98] 那在整个民用市场的部分
[1043.98-1052.98] 我们可以从IATA它所发布的今年1月份的一个全球运输客运的一个市场来分析的报告来看到
[1052.98-1055.98] 就是说整个运输还是很旺盛
[1055.98-1061.98] 那在跟去年对比来讲它是基本上是成长10%以上
[1061.98-1063.98] 尤其是在国际线的一个部分
[1063.98-1065.98] 好请下一页
[1065.98-1069.98] 那根据波音跟空中巴士它整个预测
[1069.98-1072.98] 在整个未来新机的需求在未来20年里面
[1072.98-1077.98] 整个新机需求是在超过4万两千架到4万4千架之间
[1077.98-1078.98] 那整个来讲
[1078.98-1082.98] 整个需求里面是以单走道的飞机为主
[1082.98-1084.98] 然后在商用飞机的部分
[1084.98-1089.98] Haniel预测未来10年应该有8500架的一个飞机的需求
[1089.98-1093.98] 那在整个未来10年发动机的需求来讲
[1093.98-1097.98] 是大概是16万具的一个引擎的一个需求
[1097.98-1098.98] 下一页
[1099.98-1101.98] 那在这个布局来讲
[1101.98-1106.98] 整个民用航太基本上还是在一个市场强劲的一个复苏的一个过程
[1106.98-1110.98] 所以基本上在民用飞机还有民用发动机的部分
[1110.98-1114.98] 基本上主要你们争取到的一个业务机会是增加的
[1114.98-1120.98] 所以整个营收基本上我们公司认为基本上是可以就是同步去做成长的
[1120.98-1126.98] 而且我们因为我们过去的在整个品质交集上获得国际客户的一个肯定
[1126.98-1128.98] 所以我们也在进行
[1129.98-1132.98] 报章报载前天也登度了
[1132.98-1137.98] 就是我们也在第一季Q1签订了85亿的一个民机的一个业务
[1137.98-1143.98] 那所以这些都是我们公司获得国外厂商一个认可的一个部分
[1143.98-1144.98] 下一页
[1144.98-1148.98] 那在整个民用业务来讲
[1148.98-1150.98] 因为整个我们
[1150.98-1154.98] 我们来讲希望的是说
[1154.98-1157.98] 因为现在我们还是希望能够往高质化的一个一个我们的策略来讲
[1157.98-1158.98] 我们来讲希望的是说因为现在我们还是希望能够往高质化的一个一个我们的策略来讲
[1158.98-1162.98] 是往高质化的产品去去拓展
[1162.98-1166.98] 所以我们希望能够扩大整个这个部分的业务的争取
[1166.98-1169.98] 同时扩大他的成绩比例的一个部分
[1169.98-1171.98] 下一页
[1171.98-1173.98] 那在科技部的部分
[1173.98-1176.98] 这个整个我们参照经济部的一个全国电力的分配来讲
[1176.98-1178.98] 他省了未来十年
[1178.98-1180.98] 基本上是得一个需求
[1180.98-1186.98] 那希望就是能够朝向所谓低碳低空污的一个能源系工业系统去做发展
[1186.98-1187.98] 那希望就是能够朝向所谓低碳低空污的一个能源系工业系统去做发展
[1187.98-1189.98] 所以整个来讲
[1189.98-1194.98] 汉祥公司基本上也已经预划了就是去拓展这些的能源商机
[1194.98-1197.98] 包括燃气涡轮发电基础的建制
[1197.98-1202.98] 然后离岸风电入域的变电站的一个统发工程
[1202.98-1205.98] 同时也包括在储冷还有微电网的一个部分
[1205.98-1207.98] 那谈到微电网下一页
[1207.98-1209.98] 谈到微电网的一个部分
[1209.98-1215.98] 基本上我们公司在3月18号才有一个2MW的风光储的一个释放案场的一个启用
[1215.98-1216.98] 我们公司在3月18号才有一个2MW的风光储的一个释放案场的一个启用
[1216.98-1217.98] 我们公司在3月18号才有一个2MW的风光储的一个释放案场的一个启用
[1217.98-1222.98] 那我们希望利用这个航空级的一个电控的一个技术系统
[1222.98-1227.98] 来整合再生能源还有先进储能与智慧调度的一个技术
[1227.98-1233.98] 那我们基本上这个电力档也是我们从储能的一个发展中
[1233.98-1238.98] 我们去打造出来我们自己的一个特色的一个产品
[1238.98-1241.98] 那我们希望它是一个独立运作的电力系统
[1241.98-1243.98] 那能够无缝接轨
[1243.98-1246.98] 所以将风能太阳能能够
[1246.98-1250.98] 能够将它储存起来转化成电力的一个保存
[1250.98-1256.98] 那当整个用电或剪分或是整个停电的时候能够供电
[1256.98-1259.98] 作为即时备转或是消温点辅助的使用
[1259.98-1261.98] 那这个整个未来的用
[1261.98-1265.98] 使用的区域可以用在社区工业园区
[1265.98-1269.98] 还有灾后恢复等用户
[1269.98-1274.98] 所以整个来讲是一个完整的一个能源的解决的一套很好的产品
[1274.98-1275.98] 所以今年呢
[1275.98-1280.98] 我们公司也已经开始准备就是建制一套
[1280.98-1283.98] 在我们自己全公司的用电需求的电力岗
[1283.98-1288.98] 那我们未来整个来讲我们是瞄准全台用电大户
[1288.98-1294.98] 那希望能够这些用电大户能够配合政府的要求去做节电的情形下
[1294.98-1300.98] 去提高使用绿电的使用比例来做配合减碳措施的一个执行
[1300.98-1303.98] 那同时我们进一步拓展到海外的市场
[1303.98-1305.98] 那我们前一阵子也到马来西亚了
[1305.98-1307.98] 去推广这个产品
[1307.98-1310.98] 那除了能源领域外
[1310.98-1315.98] 我们基本上也在太空飞航还有模拟的这个部分
[1315.98-1317.98] 也都是我们的一个业务的一个重点
[1317.98-1322.98] 我们希望就是能够以多元的方向去做一个成长的一个动能
[1322.98-1325.98] 延伸我们以前的航空技术的一个能量
[1325.98-1334.98] 所以在整个的我们的三个国防民用航空科技服务的这个领域的一个发展方面呢
[1335.98-1337.98] 在这个领域的一个布局之下呢
[1337.98-1340.98] 我们研发的技术我们还是要配合去投入
[1340.98-1346.98] 所以我们也分了五个面向在投入我们的研发的一个布局的一个技术的部分
[1346.98-1348.98] 包括军用飞机的开发
[1348.98-1355.98] 也就是所谓的跟现在海内政策里面所谓实在的要朝系统建开发这个部分
[1355.98-1357.98] 那也同样的我们也有新产品开发
[1357.98-1361.98] 就是像刚刚所提的无人机的反制系统等等
[1361.98-1363.98] 那在维修技术部分也是怎么样去提升取得国家的财务费用的这个部分
[1363.98-1368.98] 也就是说我们现在我们也有提升取得国外的授权去提升我们维修的一个能量
[1368.98-1373.98] 在制造的部分我们要去符合未来的绿能政策之下呢
[1373.98-1379.98] 怎么去寻求所谓的技术提升在民用的热锁的一个物材
[1379.98-1382.98] 还有锻造等等的一个技术上的一个部分
[1382.98-1388.98] 那同时在管理技术上我们也充分去希望能够导入所谓的生产式AI
[1388.98-1392.98] 还有我们把我们的智慧化IIDC这个更优化
[1392.98-1393.98] 好
[1393.98-1396.98] 那在财务表现的部分
[1396.98-1399.98] 我们从刚刚我们金融总也已经大概讲了
[1399.98-1404.98] 那这个部分我们整个来讲2024年跟2023年对比来讲
[1404.98-1408.98] 我们的税前净利基本上是衰退了2.2%
[1408.98-1413.98] 这个部分整个是2023年衰退
[1413.98-1419.98] 那整个EPS来讲是只有2.3是比去年2.36少
[1419.98-1422.98] 那这个都是主要是受到高教期的一个延迟罚款的一个影响
[1422.98-1428.98] 所以公司虽然只有2.3的一个EPS
[1428.98-1430.98] 但是为了回馈股东呢
[1430.98-1435.98] 在整个我们的配花率就是鼓励的一个部分
[1435.98-1437.98] 还是维持60%的一个配花率
[1437.98-1442.98] 那所以我们整个配花的现金鼓励是1.38元
[1442.98-1447.98] 那希望就是让公司能够稳健的一个往下去做经营
[1447.98-1448.98] 下一列
[1448.98-1451.98] 那在整个国家的一个产业的一个领域上
[1451.98-1454.98] 还有产业的一个军工的产业发展政策之下呢
[1454.98-1456.98] 还有民机的一个复苏之下
[1456.98-1458.98] 还有国家能源政策之下呢
[1458.98-1462.98] 我们还是往这三个方面来布局我们未来的业务和发展
[1462.98-1464.98] 以上是我的报告谢谢
[1471.98-1475.98] 好非常感谢秦处长详细的说明哦
[1475.98-1480.98] 那也感谢汉翔汉翔航空工业团队的精彩分享
[1480.98-1483.98] 那接下去接下来我们就进行QA
[1483.98-1487.98] 那这阶段将由金副总及公司经营团队
[1487.98-1491.98] 先针对提前汇整的提问单做回复
[1491.98-1493.98] 再进行线上提问
[1493.98-1495.98] 有请金副总
[1495.98-1497.98] 好各位线上的法人大家好
[1497.98-1500.98] 那个也感谢第一金在汇前之后就
[1500.98-1505.98] 汇前就已经汇整了一些个法人的一些问题跟意见哦
[1505.98-1507.98] 那因为有些问题是比较类似的
[1507.98-1510.98] 所以我们这边已经提前做了一些整理
[1510.98-1514.98] 那刚刚前面我们已经检报过了我们整个营运状况
[1514.98-1518.98] 所以后面如果回答的没有回答到一些问题的话
[1518.98-1522.98] 那后续我们可以请法人在接续提问的时候把问题提出来
[1522.98-1524.98] 我们现场跟座位做一个说明
[1524.98-1530.98] 好首先我大概就是先针对我们前面的问题做一个说明哦
[1530.98-1536.98] 第一个问题就是问到2024年全年的营收还有毛利表现
[1536.98-1539.98] 2025年这个营收是逐季成长吗?
[1540.98-1543.98] 各类的业务有哪些重要的专案?
[1543.98-1547.98] 所以我刚刚我想刚刚秦处长在简报的第二大部分
[1547.98-1550.98] 市场的展望跟业务布局已经有做一些说明
[1550.98-1553.98] 所以我就不在这边再做强调
[1553.98-1556.98] 好了我们再来看第二题就是
[1556.98-1562.98] 2025年高交机交运的几架机那缺料的问题解决了吗?
[1562.98-1566.98] 还有今年2025年会如期完成交机吗?
[1566.98-1569.98] 各级交机的规划是如何?
[1570.98-1575.98] 那因为我们今年全年预计的达成率就是7架跟18架
[1575.98-1577.98] 7架是去年没有交完的
[1577.98-1582.98] 那因为供应链断链缺交的7架
[1582.98-1585.98] 那今年是合约规定是18架
[1585.98-1590.98] 那我们到4月2号已经完成了去年所有缺交的项目
[1590.98-1591.98] 所以已经达证
[1591.98-1594.98] 那我想今天大家应该早上也看到媒体报告了
[1594.98-1598.98] 那今年18架我们是全力的努力
[1598.98-1599.98] 应该我们朝着这个如期的向前走的方向去做这个交易
[1600.98-1602.98] 我们的目标是去年8月的2025年
[1602.98-1603.98] 那缺料的问题呢
[1603.98-1606.98] 目前还是维持在主要就是
[1606.98-1609.98] 哈尼威尔公司的发动机还有中科院的油囊
[1609.98-1616.98] 那这几项我们公司会持续针对这些供应商的接洽
[1616.98-1619.98] 密切跟他们沟通加速交入
[1619.98-1621.98] 那在品质优先的这个前提之下呢
[1621.98-1623.98] 我们全力的努力
[1623.98-1626.98] 那至于各级的交运情况呢
[1626.98-1628.98] 我们因为有合约的限制
[1628.98-1630.98] 所以我们就不在这边做揭露
[1630.98-1632.98] 好
[1632.98-1638.98] 第三题是H1W的维保业务任列进度
[1638.98-1644.98] 那国防部H1W这眼镜蛇攻击性直升机的这个相违案呢
[1644.98-1647.98] 我们在去年9月12号已经决标
[1647.98-1649.98] 那公司得标的
[1649.98-1654.98] 那隔年我们到现在就是一直到120年的12月底
[1654.98-1655.98] 总共8年要履约
[1655.98-1658.98] 那我们合约金额大概是32亿左右
[1658.98-1660.98] 那这个是因为是开放式的
[1660.98-1661.98] 一个维修合约
[1661.98-1663.98] 所以我们会依据实际的履约情况
[1663.98-1666.98] 跟客户需求做分联的一个任列
[1670.98-1673.98] 再下一个问题是F16维修中心的进化
[1675.98-1679.98] F16维修中心我们的这个开放式合约一直到今年年底
[1679.98-1683.98] 那后续呢公司会持续争取这个新的业务
[1683.98-1689.98] 那我们会秉持着协助军争取这个三高的品项的一个需求的维修
[1689.98-1694.98] 三高就是高单价高市效率跟长交期的项目
[1694.98-1697.98] 那大家应该看到媒体报道
[1697.98-1699.98] 上个月3月19号的时候
[1699.98-1706.98] 我们F16V-VAC-70的这个战机在美国已经开始
[1706.98-1709.98] 已经一如其这个已经出场了
[1709.98-1712.98] 那预计在115年的时候可以完成交运
[1712.98-1717.98] 所以我们维修中心会持续争取这个新机的一些维修作业
[1717.98-1718.98] 那未来我们会秉持着原来F16维修中心的这个新机的一些维修作业
[1718.98-1720.98] 那未来我们会秉持着原来F16维修中心的一个新机的一些维修作业
[1720.98-1721.98] 那未来我们会秉持着原来F16维修中心的一个新机的一些维修作业
[1721.98-1727.98] 那为三军去服务这个主战装备的维修
[1727.98-1730.98] 那主战大概包括S怀动啊西药三动
[1730.98-1732.98] 来提供这些维保的服务
[1732.98-1735.98] 那我们会争取原厂的一个计转
[1735.98-1739.98] 针对这个品项计转认证跟授权
[1739.98-1743.98] 那如果原厂他不愿意这个计转授权的话
[1743.98-1746.98] 那我们就会协助国内的厂商针对这些项目做那个能量的筹建
[1746.98-1748.98] 那我们就会协助国内的厂商针对这些项目做那个能量的筹建
[1748.98-1751.98] 那满足国军的一个需求
[1751.98-1755.98] 接下来一个问题是
[1755.98-1759.98] 国防预算上调对旱响的一个影响
[1759.98-1767.98] 像赖总统之前讲我们国防预算可能预期您提高到大概GDP的3个百分点
[1767.98-1774.98] 这意味着政府将加大这个对国防装备还有这些技术研发的一个投入
[1774.98-1775.98] 那也有报导指出说
[1775.98-1776.98] 那也有报导指出说
[1776.98-1783.98] 这些部分的资金将来会优先放在一个国军这个装备的资源装备上面
[1783.98-1788.98] 那这样也会汇集到我们赖总统的五大信赖的产业
[1788.98-1790.98] 这中间就是无人机啊
[1790.98-1793.98] 先进雷达还有备弹系统这些
[1793.98-1798.98] 那作为这个军工领域我们是主要的参与者
[1798.98-1802.98] 那公司在无人机的上面我们有无人机的研发能量
[1802.98-1804.98] 我们有机身的制造的能量
[1804.98-1805.98] 还有系统整合这方面
[1805.98-1807.98] 我们都相当具优势
[1807.98-1811.98] 那这也跟政府的一个策略方向是相契合的
[1811.98-1816.98] 那只要政府未来有释出军用军规的这些无人机的商机需求的话
[1816.98-1818.98] 特别是在反制系统上面
[1818.98-1820.98] 我们一定会全力的投入
[1820.98-1823.98] 全力的去争取相关的一些订单
[1823.98-1826.98] 那再来就是国防预算的这个增加
[1826.98-1831.98] 那相当这个军方也会要求有这个提高妥善率的要求
[1831.98-1834.98] 所以我们预估政府未来会持续的有一些在
[1834.98-1839.98] 编略预算在器材的一些维修更新
[1839.98-1842.98] 还有采购新的一些作战的武器系统
[1842.98-1846.98] 那我们汉祥公司会持续争取这些相关的一些业务
[1846.98-1848.98] 包括各类的航空器啊
[1848.98-1851.98] 或者是燃气或是发动机
[1851.98-1856.98] 还有一些相关的系统件的一个维修跟维护作业
[1856.98-1862.98] 再来要解说我们无人机的这个新的一个计划
[1862.98-1866.98] 要解说我们无人机相关业务
[1866.98-1870.98] 对无人机在这一两年的一个发展策略
[1870.98-1879.98] 还有在无人机部分公司是以整机还是零部件作为发展方向
[1879.98-1883.98] 首先大家知道我们公司胡董事长是
[1883.98-1886.98] 国内这个卓越无人机联盟的这个主席
[1886.98-1890.98] 那这个联盟主要的目的就是协助国内的一些无人机的一个产业
[1890.98-1893.98] 然后协助他们跨入这个国际市场
[1893.98-1900.98] 那目前主要的工作就是以这个驱逢的核心技术去做一个开发
[1900.98-1903.98] 然后像现在主要重点是在我们所谓的三精二软
[1903.98-1909.98] 这三精就是在飞行控制晶片的跟它的模组
[1909.98-1912.98] 还有通讯晶片还有模组
[1912.98-1915.98] 还有再来就是卫星定位的晶片跟这个模组
[1915.98-1917.98] 这三方面
[1917.98-1920.98] 那二软的话就是指飞行控制跟地面控制
[1920.98-1922.98] 的软体
[1922.98-1924.98] 这方面我们会结合国内外的一个产品
[1924.98-1930.98] 那打造一个完全的属于台湾产制的一个无人机供应链
[1930.98-1934.98] 那我们会深化跟美国的一个台美合作关系
[1934.98-1938.98] 那尽量的这个尽数的切入国际市场
[1938.98-1945.98] 那汉强公司在无人机其实我们在这方面已经有非常成熟的一个制造的技术跟设备
[1945.98-1950.98] 那我们也有具有这个测试的能量跟这个后期的整体的量能
[1950.98-1956.98] 我们可以满足所有国内无人机业者他们如果要进入到量产的一个需求协助
[1956.98-1967.98] 那目前我们已经有成立了智飞他们在录用监侦的这个无人机上面的一个合作的一个合约
[1967.98-1970.98] 那我们将全力协助国内厂家
[1970.98-1974.98] 达成这个政府无人机的国家队的一个政策
[1974.98-1979.98] 那再来考量到无人机的反制系统
[1980.98-1982.98] 那无人机的一个初期的一个开发阶段
[1982.98-1986.98] 说我们公司全力的投入这个反制系统的一个研发
[1986.98-1992.98] 那主要是在领主已经开始一些相关领主件的一个开发关键领主件
[1992.98-1998.98] 那无人机反制系统主要的零件包括了主动雷达被动雷达
[1998.98-2001.98] 还有EOIR就是光学感测一个目过
[2001.98-2004.98] 还有电子反制通讯就是干扰
[2004.98-2008.98] 再来是硬仨跟指挥管制中心
[2008.98-2010.98] 那我们汉强公司运用我们当时的这个
[2010.98-2017.98] 当初在战机这个雷达开发这个发展这个雷达的技术跟经验上面
[2017.98-2023.98] 我们会整合国内厂家的一般他们的雷达的产品跟光学的一些产品
[2023.98-2026.98] 那我们掌握这些核心技术
[2026.98-2029.98] 然后开发国内自有的一个反制系统
[2029.98-2033.98] 打造我们一个强韧的一个这个产业链
[2033.98-2038.98] 那预计大概六月的时候我们就会有首架的一个成品展现
[2038.98-2045.98] 那今年呢我们希望开始争取这个国家的一些关键基础设施的一个正股的一个标案
[2045.98-2052.98] 那在未来的五年呢我们预期能够借着这个市场的扩展还有技术的提升
[2052.98-2055.98] 能够增加公司一些营收
[2055.98-2058.98] 这是无人机的作答
[2058.98-2065.98] 再来一个题目就是零组件产制跟维修业务的成长展望
[2065.98-2067.98] 那我想零组件的产制跟维修业务
[2067.98-2070.98] 我们就是依照我们现有的这些产品组合
[2070.98-2072.98] 还有客户要求的这些经验
[2072.98-2076.98] 我们相信下半年会比会优于上半年
[2076.98-2080.98] 那我们全年还是会有成长的一个趋势
[2082.98-2086.98] 再来一题波音接到美国政府战斗机的订单
[2086.98-2090.98] 对公司是否有正面的影响
[2090.98-2096.98] 那我们也是看媒体报道就是波音接到这个第六代的战机
[2096.98-2097.98] 那是
[2097.98-2098.98] 一个正面消息
[2098.98-2101.98] 但是我们依照这个以以往的经验
[2101.98-2105.98] 这个第五代战机当初他们从开发到正式量产
[2105.98-2109.98] 那个总共大概花了五到七年以上的时间
[2109.98-2115.98] 那这样子对尤其这个就是这个战机是均品管制的
[2115.98-2118.98] 所以很难现阶段还很难评估说
[2118.98-2122.98] 他对台湾跟我们太强公司有怎样的一个正面的影响
[2122.98-2125.98] 那只要有机会我们一定会全力的争取
[2125.98-2126.98] 绝对不会缺席
[2127.98-2129.98] 那这些都是我们的一个计划
[2129.98-2131.98] 那我们现在就来看看
[2131.98-2135.98] 在下来的问题是波音跟airbus交机的展望
[2135.98-2138.98] 民用航空市场的近况
[2138.98-2141.98] 还有波音复工的一个进步
[2141.98-2144.98] 依据报载也是就是
[2144.98-2148.98] 737max跟其他双走道的一些客机的产品
[2148.98-2151.98] 他们一直不断的接获新的订单
[2151.98-2154.98] 那目前交机情况是相当的顺畅
[2154.98-2156.98] 那依据这个去年交了五次
[2156.98-2159.98] 去年二月的时候交了五十四架量
[2159.98-2161.98] 那今年同期交了八十九架量
[2161.98-2165.98] 所以看得到说波音当初罢工的这个问题
