[0.00-4.00] 各位好 謝謝麻煩你們今天跑一趟了
[4.00-8.00] 然後今天的簡報內容
[125.00-128.00] 然後整個機器人大概就塑膠成型的
[128.00-131.00] 那個塑膠色素成型的外觀
[131.00-133.00] 主要硬件的部分
[133.00-136.00] 然後跟一些金屬零件的部分是在中國採購的之外
[136.00-139.00] 其實它裡面所有的視覺的模組
[139.00-145.00] 主機然後還有分析的其實一些相關的東西
[145.00-146.00] components
[146.00-148.00] 那整部其實都是外購進去的
[148.00-149.00] 我們只是在那邊組裝
[149.00-152.00] 那組裝完了之後送回新加坡去做
[152.00-154.00] 燒機測試訓練跟資安檢測
[154.00-156.00] 所以其實基本上這個
[156.00-158.00] 這個我等一下可能也會講到
[158.00-160.00] 我們大概在今年
[160.00-162.00] 大概在七月七八月份開始
[162.00-164.00] 可能在台灣幾個重要場域
[164.00-166.00] 而且它背後是官方
[166.00-168.00] 應該說政府機關相關的單位
[168.00-171.00] 進的來源因為它就真的不是中國製的
[171.00-175.00] 那這個我稍晚之後會再做一下介紹
[176.00-180.00] 那在最近程的就是去年年底的時候
[180.00-183.00] 我們在新加坡收購了大刀工業
[183.00-185.00] 就BIGO這個上市公司
[185.00-190.00] 那截至到四月份的時候
[190.00-193.00] 我們取得它股權已經到96.22了
[193.00-196.00] 那它現在還是一個list code的狀態
[196.00-201.00] 依據新加坡這邊相關法規的進程
[201.00-204.00] 我們應該是在六月二十三日之後
[204.00-206.00] 會去啟動它的瑕疵左右
[206.00-208.00] 就是在這個月份的程序
[208.00-212.00] 就讓它完全從新加坡這邊就出牌
[212.00-215.00] 那這樣子我們之後再做整個
[215.00-219.00] 組織結構的調整會比較有效率一點
[219.00-221.00] 好這個就BIGO之後
[221.00-227.00] 現在大概在主要我們的營運區還是在亞洲
[227.00-229.00] 那在北美這邊現在其實是
[229.00-231.00] 卡貝恩機器人設計
[231.00-233.00] 在北美現在已經有一個office
[233.00-234.00] 服務當地的客人
[234.00-235.00] 那主要大概
[235.00-237.00] 就是我們原來的
[237.00-241.00] 我們原來舊有的工廠
[241.00-248.00] 那其他主要就是在中國跟在東南亞地區
[248.00-254.00] 這是現在我們整個集團營運的工廠的狀況
[257.00-259.00] 這個是原來我們舊的
[259.00-260.00] 也不是說舊
[260.00-264.00] 就是原來那個PATEC本體體系的
[265.00-267.00] 工廠的狀況
[267.00-270.00] 那買了BIGO之後就是多了這些
[270.00-272.00] 多了這些生產的基地
[272.00-274.00] 其實最重要是在那個
[274.00-276.00] 最重要是在泰國
[276.00-277.00] 泰國這個基地
[277.00-279.00] 泰國這個基地應該是它
[279.00-284.00] 它BIGO現在整個主體營運最大的
[284.00-286.00] 那它在這裡有三個廠區
[286.00-291.00] 那主要交貨的客戶是西捷的泰國
[291.00-294.00] 那泰國這邊西捷整個組裝完成之後
[294.00-297.00] 它交付的地區
[297.00-299.00] 銷售的地區別就是不是只有美國而已
[299.00-302.00] 它大概全球的貨大概都是從這裡出的
[302.00-306.00] 那它在無錫也有一個廠
[306.00-309.00] 其實它主要供應的也是西捷的
[309.00-311.00] 但是這個中國廠它供應西捷
[311.00-314.00] 其實是在西捷的中國市場的部分
[314.00-315.00] 就是它沒有外銷
[315.00-318.00] 所以我們大概在四月份那時候
[318.00-321.00] 那個川普的川普關稅這個問題的時候
[321.00-324.00] 其實很多投資人甚至是會計師
[324.00-328.00] 還有那個還有主管機關其實也很關注說
[328.00-331.00] 我們這樣子因為買了BIGO之後
[331.00-333.00] 終端銷售其實看起來是個美商
[333.00-336.00] 那究竟關稅這件事情對我們有沒有影響很大
[336.00-340.00] 那其實主要交泰國
[340.00-343.00] 泰國的終端真正交也不是全部都交美國
[343.00-345.00] 它只有其中一部分而已
[345.00-347.00] 那西捷自己是美國公司
[347.00-351.00] 那目前是對我們來說在關稅的部分
[351.00-353.00] 沒有沒有對我們有任何影響
[354.00-356.00] 那它的無錫廠這裡又比較簡單
[356.00-358.00] 無錫廠這裡又是供中國市場
[358.00-360.00] 無錫廠這裡有一點小小的影響
[360.00-365.00] 是因為那個西捷有指定用料是BROKOM的東西
[365.00-368.00] 就前幾個月進口的時候稍微貴一點
[368.00-373.00] 所以他們在上一個月上上一個月的拉貨有一點點
[373.00-377.00] 下order有一點比較稍微緩慢一點
[377.00-380.00] 不過這個月現在看起來已經沒有什麼太大影響了
[380.00-384.00] 那它其實剩餘的像在
[384.00-392.00] 重慶深圳然後跟我們現在看到的
[392.00-394.00] 重慶深圳其實主要是intercall
[394.00-396.00] 就是供應給集團內部使用的
[396.00-403.00] 那越南的部分現在做的是通訊的押注的金屬件
[403.00-406.00] 這個現在因為越南廠設的時間比較短
[406.00-410.00] 它現在正在拿韓國那邊一些通訊設備商的認證
[410.00-414.00] 應該今年營業額應該是已經會成交了
[414.00-417.04] 重慶深圳其實可以賺出來的
[417.04-421.04] 但是它真正賺到錢就要到明年了
[421.04-425.04] 這個是我們現在併購了之後兩個主體
[425.04-429.04] 現在主要的生產狀況
[429.04-433.04] 那以我們現在併購了之後
[433.04-435.00] 對於我們的產品來講
[435.00-438.00] 核心產品其實仍然在
[438.00-440.00] 主要我們還是在沖壓設備
[440.00-443.00] 那HDD的這一塊其實主要就是
[443.00-446.52] HDD這邊主要是CNC的加工
[446.52-448.74] 因為我們做的是沖壓
[448.74-451.24] 另外在越南廠這邊我們剛剛有講
[451.24-452.72] 它其實就是產品工程設計
[452.72-454.26] 它其實是主要通訊類的
[454.26-455.16] 是用壓柱的
[455.16-457.50] 這個我們等一下會分加工的工藝
[457.50-459.10] 跟大家介紹一下
[462.68-467.78] 這個其實是金屬沖壓零件的部分
[467.78-471.82] 這個是我們最原始在做汽車零件的部分的加工
[471.82-477.50] 以後有機會就歡迎大家到無錫廠去看看
[477.50-480.18] 其實它在這裡做汽車工業加工
[480.18-484.58] 大概在沖壓部門有一半以上的沖壓機台
[484.58-486.98] 是我們自己PETEC的機台
[486.98-492.14] 我們用自己的設備壓自己要賣的零件
[492.14-498.94] 這個其實可能一直是我們在金星這一塊
[498.94-501.38] 過去幾年還沒併購BIGL之前
[501.38-506.14] 可以看到它其實對整個集團的營運的現金流量
[506.14-510.14] 它是一個非常有貢獻的公司
[510.14-513.78] 主要原因當然是設備其實是我們自己的
[513.78-518.22] 然後它在生產管理上面的確是有它的效能
[518.22-521.22] 這個是主要是在沖壓零件的部分
[521.22-526.62] 剛剛還是沒有改到
[526.62-529.10] 應該是那個精密的
[529.10-531.10] 精充的工藝其實
[531.38-533.38] 其實這一塊主要是
[533.38-535.38] 為什麼叫精充
[535.38-539.70] 其實我們的設備能夠做到壓厚件的時候
[539.70-541.70] 你看因為它
[545.70-552.70] 你看它的厚度它可以壓到0.3公分到1.2公分的厚度
[552.70-558.14] 然後這個其實能夠壓這樣子厚度的設備並沒有很多
[558.14-561.14] 其實以市場來看你現在重頓數能夠壓到這樣
[561.38-563.38] 就是愛達接下來可能就是我們
[563.38-566.38] 你一般看到可能協議升起金風
[566.38-568.38] 它或許壓的就不是那麼厚件的東西
[568.38-570.38] 那壓了厚件就算了
[570.38-574.38] 壓了厚件我們的可以做到Five Lanking
[574.38-575.38] 它的意思是什麼
[575.38-578.38] 它可以做到你壓出來的成品
[578.38-580.38] 它其實已經沒有任何毛邊
[580.38-581.38] 它接下來是光滑面的
[581.38-583.38] 接下來是完全光滑面
[583.38-585.38] 你不需要再經過去毛刺
[585.38-588.38] 然後洗邊然後再去打磨才有辦法出貨
[588.38-589.38] 其實我們很多現在那個汽車零件的公司
[589.38-590.38] 其實我們很多現在那個汽車零件的公司
[590.38-591.38] 其實我們很多現在那個汽車零件的公司
[591.38-593.38] 在金星這一邊
[593.38-595.38] 我壓下來之後把油洗掉
[595.38-596.38] 趁這種就可以出貨了
[596.38-598.38] 其實我省掉很多那個QC
[598.38-603.38] 或者是說你要再去處理二次處理的成本
[603.38-605.38] 所以這個其實為什麼
[605.38-608.38] 其實金星這邊一直做到相對它的
[608.38-611.38] 它的獲利的競爭力其實是相當好的
[611.38-613.38] 其實金星這邊一直做到相對它的
[613.38-614.38] 它的獲利的競爭力其實是相當好的
[614.38-616.38] 那少部分有在做冷蹲
[616.38-617.38] 就是做緊部件
[617.38-619.38] 然後還要去洗那個裡面的牙的部分
[619.38-620.38] 這個是少部分做的
[620.38-621.38] 這個是少部分做的
[621.38-623.38] 那我們現在最賺錢的其實是這個
[623.38-624.38] 其實是這個產品
[624.38-626.38] 這看起來好像
[626.38-627.38] 好像那個
[627.38-629.38] 有點比較複雜一點
[629.38-633.38] 因為它是用鋼管去
[633.38-635.38] 主要是因為鋼管組合
[635.38-639.38] 你有要做比較多的製程
[639.38-640.38] 比較複雜
[640.38-642.38] 甚至有不同工藝的進行的時候
[642.38-644.38] 其實這張單通常都會是比較賺錢的
[644.38-650.38] 那一剛開始我們是做那個汽車排氣桿吊鉤
[650.38-651.38] 這個就是我們之前一直可能
[651.38-654.38] 可能我們有在跟早一點的時候
[654.38-657.38] 以前在法術會裡面有說過說
[657.38-660.38] 我們有去接了比亞迪的掛鉤
[660.38-662.38] 就排氣桿掛鉤的訂單
[662.38-663.38] 那其實就是這個東西
[663.38-665.38] 因為排氣桿吊鉤這個東西不好做
[665.38-667.38] 它其實大概
[669.38-670.38] 你可以看到它
[670.38-671.38] 它通常有時候會有一個底座
[671.38-672.38] 這個各式各樣
[672.38-673.38] 這個其中也無分
[673.38-674.38] 它會有一個底座
[674.38-676.38] 底座的東西你得先去沖壓出來
[676.38-678.38] 就是金屬整片的鋼材
[678.38-679.38] 你去裁切它
[679.38-681.38] 你去裁切壓下來之後
[681.38-685.38] 然後再去把鋼管焊接上去
[685.38-688.38] 我們現在那個鋼管也是自己的設備拉出來的
[688.38-691.38] 那自己拉完這個鋼管裁切了之後
[691.38-694.38] 其實最難的是在焊接的部分
[694.38-696.38] 焊接的部分其實它因為高熱
[696.38-698.38] 瞬間點燃
[698.38-700.38] 它很容易會變形
[700.38-703.38] 那在疫情之前
[703.38-705.38] 我們其實是在
[705.38-706.38] 大概在周邊吧
[706.38-708.38] 上海這個上海無錫江蘇
[708.38-711.38] 這個周邊其實是有一些競爭者存在
[711.38-713.38] 那應該是說
[713.38-719.38] 那段時間點他們在交付給客戶的產品保值保量
[719.38-721.38] 疫情期間他們很難做到
[721.38-726.38] 但是那一段時間我們的同事是根本住在工廠
[726.38-728.38] 對就是連總經理都住在工廠
[728.38-732.38] 就那時候唯一做的就是說
[732.38-735.38] 我保值保量客戶需求我一定準時出貨
[735.38-737.38] 那這個時間下來之後
[737.38-740.38] 其實也練出來這個
[740.38-743.38] 應該是說它焊接工藝的水平
[743.38-745.38] 那它現在應該是說
[745.38-750.38] 在產程上面我們不斷的去調整跟改進之後
[750.38-753.38] 其實現在這一塊我們焊接的
[753.38-756.38] 應該是說成品的良率是很高的
[756.38-758.38] 所以在這一塊
[758.38-761.38] 而且這一塊現在是還算我們滿主力的商品
[761.38-766.38] 這個現在無形那邊應該可能會再擴增一條產線去做這件事情
[767.38-775.38] 然後再來這個壓住的部分
[775.38-777.38] 其實這個本來不是我們做的東西
[777.38-781.38] 壓住的部分就是現在BIGO在越南做的事情
[781.38-785.38] 你可以看到它做的是一個通訊
[785.38-787.38] 它這個是通訊產品用5G啊
[787.38-790.38] 跟一些通訊產品的基地台使用的
[790.38-797.38] 那它這一個是需要去熱壓住跟再做二次加工的
[797.38-799.38] 那這個東西是
[799.38-806.38] 這個東西現在主要BIGO這邊的未來的客戶會在韓國
[806.38-810.38] 這個也是早期他們原先在韓國有設一個銷售據點
[810.38-812.38] 那產品認證大概都要做完了
[812.38-815.38] 我們它大概今年可能也會有個
[815.38-818.38] 這個部分大概會有個500萬美金的revenue吧
[818.38-821.38] 對但是它今年應該還沒有辦法賺錢
[821.38-825.38] 它實際上真正量產大量應該會在明年以後
[825.38-827.38] 那這個這個
[827.38-830.38] 這個就是他們做的那個壓住的工藝
[830.38-832.38] 其實這邊壓住這邊
[832.38-838.38] 它在越南這裡做的也有一部分目前是沖壓的東西
[838.38-839.38] 有一些客戶
[839.38-843.38] 那我們現在金金廠跟越南這邊
[843.38-847.38] 其實已經開始在針對某一些客戶的需求有做一些整合
[847.38-852.38] 那由那個金金這邊來協助越南這邊去提升它的工藝
[852.38-855.38] 那怎麼樣在這個產品的模具設計上面
[855.38-857.38] 我們之後生產可以比較有效嗎
[857.38-859.38] 這個其實合併了之後
[859.38-866.38] 我們在其實很多的產品面跟客戶面其實已經互相在做整合了
[866.38-867.38] 其實我們速度算蠻快的
[867.38-870.38] 去年12月底才買完
[870.38-873.38] 12月份的時候整合會議就已經開始陸續在開
[873.38-876.38] 那現在已經有一些客戶已經開始相互在合作了
[878.38-885.38] 那這個部分就是我們講HDDIG真正在做的東西
[885.38-888.38] 你看它其實做的是這個甲取幣的削切
[888.38-891.38] 它是用CNC的加工方式去做的
[891.38-897.38] 那因為他們這一塊這個CNC加工其實他們做的精密程度是非常高的
[897.38-901.38] 因為你交給這種HDDIG廠
[901.38-906.38] 它尤其又是全球前一二大的品牌
[906.38-909.38] 你交給他的東西是容不得一點錯誤的
[909.38-912.38] 所以它在生產的控管上面
[912.38-914.38] 泰國廠其實因為我們當初在買它的時候
[914.38-917.38] 泰國廠是我們第一個真正最多
[917.38-920.38] 我們好幾個同事連我們自己都去看過
[920.38-923.38] 我們是真正實際去查過廠
[923.38-927.38] 才交給會計師去做數字的確認
[927.38-930.38] 所以它其實生產上面的管理跟流程
[930.38-934.38] 是我們自己真正在營運的人親自下去看的
[934.38-937.38] 那就不是說我們併購它單純只是數字上面
[937.38-940.38] 我看到數字上面怎麼表現而已
[940.38-943.38] 實質上是真的有過去看過它的工廠
[943.38-944.38] 那它在
[944.38-947.38] 我們當初在看它泰國廠的時候
[947.38-949.38] 最後其實真的是看完泰國廠之後
[949.38-952.38] 回來就跟老闆說這家公司可以買
[952.38-954.38] 因為我們在泰國廠看到的是
[954.38-957.38] 它的所有生產管理的流程
[957.38-958.38] 甚至連籌購管理
[958.38-961.38] 連同生產上面的良率管理
[961.38-963.38] 其實都做到相當的深刻
[963.38-966.38] 那我們現場在看
[966.38-970.38] 當然你最後送給CGA的那個組裝好的甲曲幣
[970.38-973.38] 絕對不會一定是那種不良率零檢出
[973.38-976.38] 這個是幾乎一定是得做到的
[976.38-981.38] 但是我們連同在現場去觀察去看它生產流程
[981.38-986.38] 我們甚至讓不同的人在不同的時間
[986.38-991.38] 在不同的最後的檢測站點去看它的
[991.38-995.38] 看它是不是有在最後品檢要到下一關之前
[995.38-997.38] 有退回去上一層加工的
[997.38-998.38] 其實幾乎沒有
[998.38-999.38] 我們花了蠻長的時間
[999.38-1002.38] 大概一整個下午
[1002.38-1005.38] 大概兩個同事就
[1005.38-1008.38] 好吧當成Spy好了
[1008.38-1011.38] 就是我同事去跟他們聊
[1011.38-1012.38] 問問題的時候
[1012.38-1015.38] 我可能站在其中一條產線的中端看
[1015.38-1017.38] 然後換我去聊的時候
[1017.38-1020.38] 是換他跑到另外一個產品的中端去看
[1020.38-1024.38] 其實我們兩個輪流互相站在
[1024.38-1028.38] 他大概有好幾關的加工製程
[1028.38-1030.38] 我們在每一段加工製程去看了之後
[1030.38-1032.38] 其實都會發現說
[1032.38-1036.38] 其實它連在生產的時候的管理方面的
[1036.38-1040.38] 產品的量率其實已經是做得非常好的
[1040.38-1045.38] 這個大概就是他們在CNC的加工的部分
[1050.38-1052.38] 這個比較特別一點
[1052.38-1057.38] 因為在HDD這個甲曲壁上面
[1057.38-1060.38] 它在組裝的時候它有一個線圈的東西
[1060.38-1062.38] 有一個線圈必須要組裝
[1062.38-1064.38] 這個線圈現在也是他們自己繞
[1064.38-1067.38] 這個線圈其實我們之前
[1067.38-1069.38] 最早最早一月份的時候
[1069.38-1073.38] 其實我們就有跟雙方高層就有開過一次會議
[1073.38-1075.38] 其實這一塊其實在電
[1075.38-1080.38] 汽車電子未來的應用其實還不小
[1080.38-1084.38] 這個我們現在也把我們的客戶的名單
[1084.38-1086.38] 跟客戶的需求share給他們
[1086.38-1090.38] 可能會著眼在如果說到客戶有這些需求的時候
[1090.38-1092.38] 其實是可以
[1092.38-1094.38] 去互相support去做
[1094.38-1097.38] 去再把客戶的需求再服務得更好一點
[1103.38-1105.38] 沖壓設備的部分
[1105.38-1106.38] 這個其實
[1107.38-1111.38] 我們家的設備其實在這一兩年裡面
[1111.38-1113.38] 有很明顯的除了說
[1113.38-1116.38] 去年是因為客戶下單的時間比較晚
[1116.38-1118.38] 而且頓數有一些比較高
[1118.38-1120.38] 所以我們交貨有比較慢
[1120.38-1122.38] 而且去年大概有三台車
[1122.38-1125.38] 這台設備是否我們內部自己關機器的需求
[1125.38-1129.38] 所以它後來有一些客戶在代理商不是很著急的時候
[1129.38-1131.38] 我們貨沒有出得那麼快
[1131.38-1137.38] 但是到今年一月份已經出了兩台1000噸的設備
[1137.38-1143.38] 然後那個四月五月大概小頓數的也陸陸續續在出
[1143.38-1148.38] 應該到下半年之後還會有600 800的繼續在出貨
[1148.38-1149.38] 那
[1149.38-1151.38] 我們最近發現也有一個
[1151.38-1153.38] 我們最近發現一件事情
[1153.38-1157.38] 最近台廠的客人突然變多了
[1157.38-1159.38] 就台灣的客戶變多了
[1159.38-1160.38] 而且大概
[1161.38-1166.38] 現在看起來最近在談的三台的大型的訂單
[1166.38-1170.38] 最終的交貨地應該會在台灣
[1170.38-1171.38] 我們之前
[1171.38-1177.38] 之前其實我們的設備有二手代理商從海外收了之後有進來過
[1177.38-1181.38] 那最近正在意的一家客戶
[1181.38-1188.38] 我們之前幾年前就買了我們一台買了我們一台那個600噸的設備
[1188.38-1198.38] 然後使用過之後應該應該是那個應該是需他們需求要去做壓後件的那個其實散熱的東西
[1198.38-1203.38] 壓後件其實我們的我們相對的lead time跟價格
[1203.38-1209.38] 他同等級大概能夠比的是愛達愛達現在交貨大概據說要到一年半了
[1209.38-1210.38] 那我們
[1210.38-1217.38] 重頓數的現在談的話大概交貨期間應該八到九個月可以做完
[1217.38-1218.38] 那
[1218.38-1223.38] 所以就就最近其實帶PO單大概條件價格已經一完了
[1223.38-1224.38] 那
[1224.38-1231.38] 可能PO單簽完之後一些規格完全確定了之後應該就會簽正式的正式的合約
[1231.38-1232.38] 那
[1232.38-1240.38] 最近這一台應該是三月份要明年三月份要在台灣這個客戶的場主張
[1240.38-1246.38] 那這一張單談完之後其實同時間
[1246.38-1252.38] 南部中部中部有一個客戶中部有個客戶也是原來也是
[1252.38-1260.38] 他是做金屬加工但是他其實不是做那個散熱這一塊但是看起來他們可能或許跟細品之間有些合作吧
[1260.38-1268.38] 那前一趟前一趟董事長到台灣來的時候我們也是去談到他明年可能會有需要1000跟1200噸的設備
[1268.38-1269.38] 那我們也有一個客戶在台灣來的時候我們也是去談到他明年可能會有需要1000跟1200噸的設備
[1269.38-1270.38] 那我們也有一個客戶在台灣來的時候我們也是去談到他明年可能會有需要1000跟1200噸的設備
[1270.38-1272.38] 然後
[1272.38-1279.38] 董事長六月份來台灣應該還有一個台灣的大廠其實可能也是要去談設備的部分
[1279.38-1290.38] 那現在看起來接下來AI雲端運算應用的這個這個可能分析的需求真的是還蠻大的
[1290.38-1297.38] 這從你客人客人下單然後你要想我們交貨至少都要超過半年甚至到快要一年
[1297.38-1299.38] 那他們現在還是買下去
[1299.38-1300.38] 所以就是
[1300.38-1305.38] 這個這個之後的之後或許真的在真的在AI運算
[1305.38-1309.38] 這塊的應用應該看起來是蠻大的
[1309.38-1311.38] 我們自己也有笑過啦
[1311.38-1316.38] 我們自己我也跟那個大陸廠的總經理笑說你自己都做設備了
[1316.38-1318.38] 你拿設備去賣別人家了
[1318.38-1319.38] 你有沒有想過自己要做
[1319.38-1321.38] 然後其實這個這個比較難一點啦
[1321.38-1328.38] 因為他他大概在那個生產上面的需求在廠房的需求上面還是比較大一點
[1328.38-1329.38] 因為我們做汽車跟做雜貨的需求是比較大一點的
[1329.38-1334.38] 所以我們做汽車跟做這些後件其實工廠相對比較奧丘
[1334.38-1336.38] 就是比較重工一點比較重油
[1336.38-1344.38] 所以可能跟那個跟跟現在你說要應用在這一些AI運算的東西其實是差異比較大一點
[1344.38-1346.38] 那Maybe我們會去投資
[1346.38-1352.38] 對我們有可能或許會去投投這一類的這一類的行業
[1352.38-1354.38] 那現在還在評估中
[1354.38-1356.38] 這個這個可能要花一點時間再去做
[1356.38-1358.38] 好所以所以其實我們也有想說的
[1358.38-1362.38] 好所以所以其實我們剛剛看到我們這些沖壓的東西
[1362.38-1366.38] 其實你中端客戶寧德這個是之前就已經在合作
[1366.38-1369.38] 他是做那個電池的那個防爆的那個上蓋的部分
[1369.38-1372.38] 然後其實是這一塊
[1372.38-1379.38] 其實現在是這一塊最這一塊可能可能在那個比如說NVIDIA AMD啊
[1379.38-1384.38] 我們最近的客人好像好像感覺是AMD的比較多
[1384.38-1386.38] 就中端好像是AMD的比較多
[1386.38-1387.38] 覺得啦
[1387.38-1390.38] 我們自己覺得AMD不曉得
[1390.38-1396.38] 那個現在連續幾個人看起來是是是AMD的比較比較明確一點
[1396.38-1401.38] 然後這個這個我們現在看到大概大概要做的都是類似這樣子的東西
[1401.38-1404.38] 然後因為這個這個成型了之後擠壓成型了之後
[1404.38-1409.38] 他還得再鍍鑷鍍金才可以真正交貨
[1409.38-1414.38] 那為什麼說這個東西其實他他他不是用材切的
[1414.38-1415.38] 他是用擠壓的
[1415.38-1417.38] 他是材料材料
[1417.38-1420.38] 他用材料到模具之後你要瞬間有夠重力
[1420.38-1425.38] 然後這個重力可能我在我們的設備上面還可以再壓壓下去的瞬間
[1425.38-1427.38] 你可能還再稍微做一下停留
[1427.38-1432.38] 那他瞬間要把所有的料擠到這個邊角
[1432.38-1434.38] 這個邊角
[1434.38-1437.38] 然後他可能在這個還有垂直90度的需求
[1437.38-1442.38] 對所以這個這個是這個是其實不是太好做的部分
[1442.38-1445.38] 這個這個這個現在就是那個
[1445.38-1449.38] 這個這個這個現在就是那個印尼廠要做的東西
[1449.38-1453.38] 印尼廠7月份應該應該會正式開始交貨了
[1453.38-1456.38] 就是那個playstation的那個搖桿上面的東西
[1463.38-1469.38] 其實機器人的部分因為這個這個這個東西可能是大家在去年上面看到我們的財務報表到Q3
[1469.38-1473.38] 甚至Q4的營業費用都比較不正常的地方
[1473.38-1481.38] 因為他的他投入的研發相關的成本其實主要是在那個主要是我們在做small building
[1481.38-1483.38] 這一塊的軟體的整合
[1483.38-1487.38] 那去年呢剛剛好我們其實去年我們也有跟法蘭review到說
[1487.38-1493.38] 因為去年這一台室外機器它原先硬件設計有點問題
[1493.38-1500.38] 他就是在在某些狀況之下他走一走shutdown之後沒有辦法遠端再去重啟它
[1500.38-1503.38] 這個這個我們必須得承認我覺得這個沒有什麼好隱瞞的
[1503.38-1508.38] 那花了一段時間去把這一台1.0upgrade變成2.0
[1508.38-1511.38] 那現在應該基本上產品的問題已經解決了
[1511.38-1518.38] 那到年底跟今年Q1也開始也開始恢復那個出貨美國
[1518.38-1523.38] 這一這一邊的那個訂單客戶沒有跑只是我之前沒有機制可以交
[1523.38-1529.38] 對他問題在這裡然後去年雖然沒有還在修改修改這些硬件的時候
[1529.38-1533.38] 工程師也沒閒著但花了很多錢其實就主要是
[1533.38-1540.38] 在做什麼他把所有cctv所有廠牌的很大多數廠牌的電梯
[1540.38-1547.38] 然後跟那個跟其實客戶可能為什麼這個會死掉它
[1547.38-1558.38] 然後那個客戶客戶他們的保全系統買了很多不同功能的軟體
[1558.38-1561.38] 然後協助他們再把那個協助他們把這個
[1563.38-1569.38] 那這些那個軟體軟體整併到我們的後台體系之後
[1569.38-1575.38] 他可以做一個完整的報表分析就是說你今天比如說我發生火警
[1575.38-1586.38] 發生那個有人入侵那我當下其實有一點在有一點在做那個保全的所有的平台協助他們做整合
[1586.38-1592.38] 那整合完了之後所有的分析報表你在這個場域裡面假設發生火警
[1593.38-1599.38] 那你當責的這個保全公司當責的這件事件的管理人員是誰
[1599.38-1606.38] 那以前可能我每發生一件事情我都還得去追不同的軟體公司或是追每一個平台不同的負責人
[1606.38-1611.38] 才去追說下一個那個這個這個場域管理當責的人是誰
[1611.38-1619.38] 那你是不是有及時在那個其實在事件發生的時候你就做一些那個反饋或是去處理
[1619.38-1623.38] 那這件事情其實我們慢慢已經整合到後台上來
[1623.38-1629.38] 這也是我們前幾天在機場討論到的一件事情
[1629.38-1636.38] 機場那天是在講說他們在平台上面如何不可以說比如說我發現那個
[1636.38-1644.38] 發現發現有異常狀況那異常狀況他們他們在管理公司指派人員去處理之後
[1644.38-1653.38] 是不是他在系統上面就有可以去做一個我們在我們在APP上面去設計說讓他可以及時做回報
[1653.38-1658.38] 回報之後這個其實是他們那個管理公司的KPI就是對機場的KPI
[1658.38-1668.38] 那這個這個事情其實基本上那天討論過之後可行我們現在已經在確認說依照上次之前在新加坡做這個保全的整合系統的時候
[1668.38-1674.38] 能不能夠去針對這個客人去修改他需要的需要的的用途
[1674.38-1676.38] 這大概是這樣
[1676.38-1682.38] 好那我們簡單回顧一下好了
[1682.38-1687.38] 我們去年年底公開收購大道工業BIGO
[1687.38-1694.38] 我們截至2024年12月23日這個是我們做公開收購的截止日
[1694.38-1698.38] 那截止日的時候取得到93.05的股權
[1698.38-1707.38] 那但是因為他在11月中11月中不到12月份的時候其實他已經我們控股已經超過90%
[1707.38-1709.38] 他其實已經暫停交易了
[1709.38-1711.38] 那暫停交易之後
[1711.38-1712.38] 新加坡這邊有規定
[1712.38-1715.38] 你可以再給原來持有沒有當初沒有來賣的股東
[1715.38-1717.38] 他有三個月的時間可以來執行賣出
[1717.38-1721.38] 所以最後的截止時間點是到4月11
[1721.38-1725.38] 所以我們到4月11的時候已經買到96.22了
