[0.00-5.04] 各位投资先进大家午安
[198.66-201.20] 依赖、青睐还有信任
[201.20-204.28] 那看到第一季的表现之后
[204.28-207.28] 我认为就是过去足以我们在华松的
[207.28-210.28] 所谓所讲的全部都DELIVER到了
[210.28-213.68] 所以说我们还是努力的在做
[213.68-217.16] 其实AI的一个世代的改变
[217.16-219.06] 那是真的是在改变
[219.06-222.32] 过去的CPU的一个Server的基础
[222.32-228.20] 沿用到新的人工智能的推论的年代
[228.20-229.70] 川普都在其中
[229.70-233.88] 而且所Involve的所有的一个Diversified
[233.88-237.28] 在各种不同的应用里面呢?
[237.28-239.28] 我们琢磨的很深
[239.28-243.68] 然后你看到的整体的Performance就是
[243.68-246.56] 我相信所有的股东都有验证到
[246.56-250.36] 我们所讲的你们都是追随着我们的成长
[250.36-253.16] 那我们分享成长的企业给大家
[253.16-255.76] 那以后就开始接下来就
[255.76-257.76] 开始给各位来发问了
[260.84-262.20] 谢谢王之富的分享
[262.20-264.68] 接下来进行Q&A意见交流时间
[264.68-265.70] 欢迎各位投资先进
[265.70-267.28] 可以自行打开麦克风进行
[267.28-268.24] 请提问
[268.24-270.54] 也可以到聊天室以文字的方式
[270.54-273.48] 留下您预提提问的问题
[273.48-273.98] 谢谢
[327.28-329.48] 子富现在有投资先进询问说
[329.48-333.68] 请问公司对于此次台币升值是否有因应策略?
[339.56-343.66] 对于95%应收账款来自于美金部位的川普
[346.50-351.84] 过去这上市到上个月即将已经见门20年
[352.34-356.28] 然后有些人对于川普的一个自然避险
[356.28-356.64] 啊
[356.64-358.64] 有很大的一个
[358.64-360.14] 预率
[360.14-364.54] 我认为我们制作到是最完美的一个一个进阶
[364.54-368.68] 包括这两年的美元的升息以及
[368.68-369.88] 啊
[369.88-370.88] 已经那一圈
[370.88-373.88] 其实我们过去这几个月一直保持在
[373.88-378.40] 台币有兑换到可以到包括花旺股预到年底都可以
[378.40-383.40] 台币剩下差不多4亿的目前191来在里面台币
[383.40-383.60] 呃
[383.60-386.64] 美元部位差不多11部位到3月31日
[386.64-388.14] 以后为止
[388.14-394.64] 那呃其他还是让他升4点呃4.5%的一个美元利率啊
[394.64-398.28] 这个没有人有办法去预知汇率会是怎么样
[398.28-401.68] 但是我还是强调的创造核心价值
[401.68-405.10] 远比在汇率的差那几%啊
[405.10-410.20] 来的把营收做大把呃绩效做好比那些还来的大
[410.20-411.60] 我认为啊
[411.60-413.30] 汇率这是不可避免的
[413.30-414.44] 每一家都是一样啊
[414.44-415.24] 整体
[416.64-421.94] 在短短的几天之内呃汇率升值的将近10%
[421.94-426.84] 汇率是一个直接影响营收跟毛利的
[426.84-430.20] 的一个一个一个一个一个一个一个啊
[430.20-433.10] 比别所以说呃
[433.10-438.08] 我们还是正常心看待过去这20年来我们从2733
[438.08-441.88] 跑来跑去已经跑过几次的这个场面对我们来讲
[441.88-443.44] 呃是很正常的
[443.44-446.20] 但是至少我们没我们现金也存到
[446.64-447.44] 百亿的哦
[447.44-450.04] 那现金流的速度也非常的快
[450.04-453.14] 那个是那个是
[453.14-456.24] 我这么把自己本身该做的做好
[456.24-458.88] 那个就是在历史来讲就是一个点而已啊
[458.88-459.88] 一个顿点而已啊
[459.88-461.54] 那个没有什么
[461.54-463.30] 不用硬硬拿
[463.30-465.28] 把自己的的技术能力提升
[465.28-466.60] 那个才是硬硬啊
[466.60-467.20] 对
[471.20-471.90] 那没有吗
[471.90-472.34] 请出去
[472.34-476.54] 我们下一个问题是呃请问第二季及下半年的营收
[476.54-476.64] 长
[476.64-481.34] 我在上一次的我说
[481.34-484.14] 呃就第二季的一个
[484.14-487.24] 其实第一季真的是那个高基期嘛
[487.24-489.08] 高呃高位阶
[489.08-491.30] 那我我们当时认为的
[491.30-493.70] 位阶就是第二季就是
[493.70-497.54] 呃如果第一季位阶高的话第二季就是哦
[497.54-499.14] 持平
[499.14-500.64] 那
[500.64-503.74] 再继续努力看能不能恢复成长
[503.74-506.00] 那在
[506.64-508.14] 5月的开始
[508.14-511.04] 看到了台币大大
[511.04-512.04] 呃
[512.04-513.44] 会台币的升值
[513.44-515.14] 那一下子就10%
[515.14-517.34] 我们还是看法不变了
[517.34-520.14] 我们在曼瑟利里泡里面还是跟各位投资讲
[520.14-521.14] 我们还是有
[521.14-522.60] 呃按照祭典
[522.60-525.98] 地祭奠的方向在前进
[525.98-527.18] 那
[527.18-529.28] 比较比较体来讲目前都没有改变了
[529.28-533.84] 唯一改变的就是关税跟跟
[533.84-535.84] 这一个生死这个问题啊
[535.84-536.44] 那
[536.64-538.00] 需求还是在了
[538.00-540.84] 呃流量
[540.84-543.64] 算力推论都还是在了
[543.64-545.74] 而且应用面越来越广
[545.74-547.54] 我认为短期
[547.54-550.24] 或有或许有乱
[550.24-552.14] 但是还是乱中有序的
[552.14-557.94] 我还是正面的去看这个产业的一个产业未来的一个趋势的发展
[557.94-561.64] 那下半年来讲的话还是要看
[561.64-563.74] 第二季的一个
[563.74-566.14] 一个一个一个一个一个performance的基础
[566.14-570.64] 的基础还有位阶还有整体的后面的
[570.64-572.74] 七八月这边的关税是怎么样
[572.74-577.44] 对欢迎那个会议不用再考虑了就是未来可能是呃
[577.44-581.54] 关关税了那会议一个生死一趴
[581.54-586.64] 美元台币呃美元呃一趴就是影响毛利率就是
[586.64-588.14] 差不多在0.6趴
[588.14-591.14] 这是直接影响的营收也是直接影响
[596.14-603.94] 那下一个提问是请问第一季的产品组合中
[603.94-607.94] 制服器与厨具占整体的营收比重多少
[607.94-614.14] 呃没有主机计算的但是
[614.14-616.94] 厨具yoy
[616.94-620.74] 应该是低位素成长啊我认为是低位素成长
[626.14-630.34] 呃那下一个提问是呃请问一下eq25是服器
[630.34-633.34] 导轨跟厨具的营收比重
[634.44-636.84] 没有去算刚过几个月而已啊
[639.64-642.84] 啊那下一个问题是呃请问台币生子
[642.84-647.34] 呃1%多的话毛利率的影响的幅度为何
[648.54-653.94] 美金呃一趴影响毛利率就是呃
[654.74-656.14] 我刚刚讲了0.6趴吗
[656.14-664.14] 好
[664.14-667.94] 那下一个问题是可以分享一下美国厂
[667.94-669.94] 这边的进度跟产能占比
[669.94-674.34] 呃美国厂
[674.34-677.94] 去年8月买了
[677.94-682.54] 其实我们美国厂在2024年就开始找
[682.54-685.94] 2023年就开始找那找了之后合约的问题
[685.94-689.54] 那一直一直签一直签签到去年8月才签嘛
[689.54-692.94] 那呃整体的f1证照拿到了
[692.94-696.54] 那现在整个配电呃我们很快的啦
[696.54-698.94] 至少设备已经在ready了在台湾这边ready
[698.94-700.94] 整场输到那边去
[700.94-705.74] 所以说应该明年呃中左右就可以看到
[705.74-707.54] 我们在那边的一个
[707.54-711.54] 一个一个营运的一个开始的营运
[715.94-722.94] 好的那下一个提问是请问休斯顿产会出货给鸿海跟Apoll吗
[722.94-728.94] 呃我我觉得我们去年设了之后
[728.94-731.94] 我们很我们在那边布局之后
[731.94-736.94] 很多的所有的厂都是在我们附近开始呃在在在设了
[736.94-739.94] 那我认为这这时有加分啊没有结果
[739.94-745.94] 但是很多哪些项目要在那边量产还是要跟客户在这呃去去去仔细的讨论一下
[745.94-749.94] 对未来我相信很多台商会在那边呃布局的
[749.94-752.94] 台厂台厂
[752.94-760.94] 好的那下一个提问是请问呃EQ25的驾动力
[760.94-766.94] Q1 2020的驾动力
[766.94-771.94] 驾动力还够吧我认为现在现在做到14亿
[771.94-774.94] 14亿我认为
[774.94-775.94] 160%
[775.94-779.94] 现在100%我还会有应该还是有
[779.94-783.94] 还会有60660670%的一个产能吧
[783.94-786.94] 加上休斯顿厂如果
[786.94-789.94] 越来越精进了啦其实设备什么都很精进
[789.94-792.94] 我认为这个这个产能这个我
[792.94-796.94] 我们还有很大的空间这个目前不是最主要的问题
[796.94-800.94] 但是驾动还有够还有足够的空间了
[805.94-811.94] 好的那下一个问题是呃请问我们EQ25
[811.94-816.94] 超出预期有NRE的收入贡献的关系吗
[816.94-822.94] 没有我们从来没有在跟客户说真的NRE会有
[822.94-829.94] 好的那目前聊天室没有收到新的提问
[829.94-833.94] 那欢迎各位投资先请可以自己打开麦克风进行提问
[833.94-834.94] 或是到聊天室文字的方式来回回答问
[834.94-837.94] 聊天室文字的方式留下您的问题谢谢
[849.94-852.94] 哎副总听得到吗啊听得到是
[852.94-854.94] 哎哎我跟您请教一下
[854.94-858.94] 刚刚是说啊美金美啊台币每升值一个%
[858.94-861.94] 会影响毛利率0.6%
[861.94-863.94] 是这样吗我我确认一下
[864.94-873.94] 呃差不多差不多所以我们在呃估算贵公司的这个第二季的毛利率
[873.94-876.94] 大概就是以6月季底的这个汇率
[876.94-880.94] 然后看是跟第一季季底差多少%
[880.94-881.94] 然后去计算
[881.94-884.94] 然后是这样子可以直接这样子算吗
[884.94-887.94] 还是有其他因素我们要去考虑
[887.94-892.94] 当然Pratamix来讲的话那个Range
[892.94-894.94] 我认为
[894.94-898.94] 用这个基准去差去算不会差很多
[898.94-903.94] 因为Pratamix不会差很多
[903.94-908.94] 对有的时候第二季跟第一季的整体的
[908.94-910.94] 的一个产品组合我认为还差不多
[910.94-913.94] 不知道啦反正算出来就知道了
[913.94-916.94] 自然做了自然去做努力的去做了
[916.94-922.94] 但是你这个逻辑是对的啦
[924.94-933.94] em
[933.94-936.04] 嗯
[936.10-937.54] 我们现在上遥投B陷进的 unconscious
[937.54-937.94] 嗯
[937.94-938.94] 请问啊刚刚有提到关税会有影响
[938.94-940.94] 但我们现在看到
[940.94-943.94] 领主见从台湾到美国的关税是多少
[943.94-947.94] 我们目前是用
[947.94-948.94] 我们目前是用八四七三
[948.94-951.94] 第三我们现在进去是零月了
[951.94-953.94] 还是免税还是几年
[954.94-965.52] 下一个提问是
[965.52-970.52] 请问下半年的营收还是会比上半年好吗
[970.52-974.98] 看第二季的基期还有会比
[974.98-976.22] 这边在在影响
[976.22-979.54] 毕竟你真的已经来到了一个高位阶
[979.54-982.96] 那顶是在哪里
[982.96-984.52] 还是一样
[984.52-986.20] 我要跟各位讲的是
[986.20-989.70] 大家在乎的是当然是现在第二季未来
[989.70-994.60] 如果又把这个画面挪到一年前
[994.60-995.90] 一年半前
[995.90-999.24] 还有整体去看到现在
[999.24-1001.00] 你去看就是不一样
[1001.00-1002.88] 当初在看就是很
[1002.88-1004.32] 大家很怕怕
[1004.32-1006.30] 现在看大家也很怕怕
[1006.30-1009.76] 可是我刚刚有讲趋势就是在前面
[1009.76-1010.58] 就是跟着走
[1010.58-1013.12] 在对的趋势上做对的事情
[1013.12-1014.16] 做对的产品
[1014.16-1016.72] 那个是无限的空间
[1016.72-1019.28] 我们2016 2026 27
[1019.28-1021.26] 我们现在很多东西都已经ready
[1021.26-1024.48] 而且是我觉得是
[1024.48-1027.08] 又是在一个对的一个
[1027.08-1030.08] 更的一个趋势上
[1030.08-1035.44] 所以说这种是时间就像GP200 300
[1035.44-1038.12] GP很多人在讨论这种顺利不顺利
[1038.12-1040.82] 乱中有序还是一样在成长
[1040.82-1041.92] 还是一样
[1041.92-1043.92] 每天在讨论那些怎么样的
[1043.92-1044.80] 遇到什么消息
[1044.80-1047.24] 然后整个什么大新造
[1047.24-1051.08] 我认为还是稳健的步伐慢慢的
[1051.08-1052.88] 我们该做的去做
[1052.88-1055.96] 然后该成长的就是成长
[1055.96-1057.48] 该调整的就是调整
[1057.48-1058.00] 对啊
[1058.00-1061.84] 所以说我就是说我们在做趋势产品
[1061.84-1064.40] 有核心技术又有趋势
[1064.40-1067.98] 那未来的发展就是自然
[1067.98-1069.26] 自然最美
[1069.26-1070.28] 对啊
[1070.28-1073.76] CLOS的Kevin昨天来问我说为什么DG Pro
[1073.76-1076.32] 我一直强调了自然的最美
[1076.32-1078.12] 怎么样没有去强求
[1078.12-1080.16] PRODAMIX就是PRODAMIX
[1080.16-1081.70] 我刚讲也没有任何NIA
[1081.70-1083.24] 奇奇怪怪的一些会用
[1083.24-1085.28] 或说是说入
[1085.28-1088.60] 会用也是控制的很漂亮
[1088.60-1093.22] 会用率已经到7%多了
[1093.22-1097.56] 所以变数很多
[1097.56-1099.36] 但是还是乱中有序
[1099.36-1101.16] 我们还是很稳健的
[1103.76-1117.32] 下一个问题是请问怎么看AI的需求
[1117.32-1121.94] 在客户端这边AMERICA的架构跟AWS架构
[1121.94-1125.26] 成长性如何
[1125.26-1128.08] 我一年半前GPU出来的时候
[1128.08-1129.88] 我跟各位强调
[1129.88-1132.44] AI会暂时开花
[1132.44-1133.46] 你看
[1133.46-1136.28] 今天整体都已经application
[1136.28-1138.06] Google的Google的
[1138.06-1142.16] Amazon的AWS的AWS
[1142.16-1143.18] NV的NV的
[1143.18-1146.26] 每一家都是已经开始在AI的基础上
[1146.26-1148.06] 然后去慢慢的
[1148.06-1152.14] 去延伸自己要的一个KPI
[1152.14-1157.02] 那至少川普在跟每一家的合作的
[1157.02-1161.10] 广度跟深度来讲的话
[1161.10-1162.64] 客户还是蛮信赖我们的
[1162.64-1163.42] 客户还是蛮信赖我们的
[1163.42-1171.62] 所以整个CSP的一个成长
[1171.62-1174.68] AI Media的一个带动的一个趋势
[1174.68-1182.62] 我认为那个趋势是已经挡不住了
[1182.62-1184.66] 所以
[1184.66-1186.46] 川普开花的多
[1186.46-1187.74] 开花的广
[1187.74-1190.04] 然后提供很多不同的
[1190.04-1190.82] solution
[1190.82-1192.10] 这是我们的股东未来的目标
[1193.42-1202.90] 给股东未来的最大的一个保障
[1202.90-1205.70] 下一个提问是
[1205.70-1210.58] EQ25盲利率有多少是因产品组合优化造成的
[1210.58-1216.20] 那有多少是汇率的贡献
[1216.20-1218.76] 汇率的贡献
[1218.76-1222.86] 你去比较2025
[1222.86-1223.38] 3月33号的股东未来的最大的一个保障
[1223.38-1225.42] 3月33号跟12月
[1225.42-1229.52] 跟去年的2024的12月31号的汇率的比较
[1229.52-1230.54] 比较表
[1230.54-1232.34] 应该几毛钱
[1232.34-1233.10] 应该有
[1233.10-1236.18] 那个不多啦我认为还是产品组合
[1236.18-1244.12] 还是核心价值在产品组合
[1244.12-1251.54] 那接下来的问题是EQ25贬值1.2%可以直接换算约1%的尿率影响吗
[1251.54-1252.30] 那剩下还有什么因素影响吗
[1252.30-1253.34] 那剩下还有什么因素影响吗
[1253.38-1262.86] 我刚刚讲汇率影响是不大了啦就是产品组合
[1262.86-1264.64] 产品组合就是组合啊
[1264.64-1266.94] 几千个五千多个品项
[1266.94-1272.06] 一个月啊那个那个太多的那个很难去计算
[1272.06-1273.10] 就是优化
[1273.10-1274.88] 一直在优化你的产品
[1274.88-1277.44] 就是你的竞争力一直在提升
[1283.38-1289.02] 就是你的竞争力一直在提升
[1289.02-1296.94] 请问CSP客户在S1的专案上面的开发情况和积极度如何
[1296.94-1298.74] 每一家都很积极啊
[1298.74-1301.82] 每一家速度都跑很快啊
[1301.82-1303.34] 川普可以在
[1303.34-1305.90] 即时的一个时间
[1305.90-1310.52] 提供给他们不同的一个
[1310.52-1311.80] solution
[1311.80-1313.08] 然后呢
[1313.08-1317.18] 开发的这些产品就是
[1317.18-1320.24] 在不同的
[1320.24-1323.06] Data Center里面
[1323.06-1325.36] 有不同的应用
[1325.36-1328.44] 我们开发的这些产品过去这两年
[1328.44-1331.76] 是我们的核心的专利
[1331.76-1333.56] 我们也认为
[1333.56-1335.86] 我们也认为这是保障我们股东
[1335.86-1337.66] 最大的一个优势
[1337.66-1339.44] 但我们也发现
[1339.44-1342.00] 这些类同业的人
[1342.00-1343.04] 拿川普的业务
[1343.04-1344.84] 研发专利在吹捧自己
[1344.84-1345.34] 最近
[1345.34-1347.14] 那我们也在注意这一点
[1358.14-1363.52] 接下来请问GB300目前产品研发进度如何
[1363.52-1365.06] 那何时会有贡献
[1367.10-1369.40] 不用去管GB200 300啦
[1369.40-1370.44] 那
[1370.44-1371.96] 就穿鲁的
[1371.96-1373.00] 这个产品的
[1373.00-1374.80] 系列目前的一个position
[1374.80-1377.10] 我觉得不用去管他
[1377.10-1379.66] 迟早
[1379.66-1380.94] 还是在用啊
[1380.94-1381.70] 还是在用
[1381.70-1383.50] 但是有一点是讲不了的
[1383.50-1384.26] Renninger Cup
[1384.26-1385.80] 他会上来
[1385.80-1387.60] 他已经会带动上来
[1387.60-1391.18] 所以
[1391.18-1394.76] 或许去年就讲GB200会有变化
[1394.76-1396.04] 或不顺啊
[1396.04-1397.32] 对啊就是
[1397.32-1398.34] 就是
[1398.34-1401.42] 我讲过了嘛那么先进的技术在短短的一年之内
[1401.42-1402.96] 一两年就把它
[1403.00-1404.54] 把它整合起来
[1404.54-1406.08] 他一定会有很多bar
[1406.08-1406.84] 但是
[1406.84-1408.38] 还是乱中有序还是
[1408.38-1409.66] Renninger Cup还是一直在
[1410.94-1414.26] 在位在其中者
[1414.26-1415.80] 还是一样稳重
[1415.80-1417.08] 稳健成长
[1417.08-1418.10] 还是在稳健成长
[1422.96-1427.58] 那下一个提问是请问美国厂的原料采购策略
[1427.58-1430.14] 会采用美国在地的供应商吗
[1430.14-1430.90] 那对
[1430.90-1432.54] 进货成本的影响
[1433.00-1437.10] 未来还是不在美国会有生产线吗
[1437.10-1438.12] 那比较
[1438.12-1445.80] 台湾跟亚洲跟美国的材料看是哪一个有利就满那一个
[1445.80-1449.38] 没有做预设的立场
[1449.38-1457.84] 好的那下一个问题是请问GB200下游组装
[1457.84-1461.68] 最近有看到下游出货变数的状况吗
[1461.68-1462.96] 那火鬼啊或是
[1463.00-1468.12] 线上的火火
[1468.12-1469.40] 一直在拉货啊
[1469.40-1471.44] 我们认为没有所谓的
[1471.44-1475.54] 一个瓶颈
[1475.54-1479.64] 说法纷争
[1479.64-1489.36] 成长的就是在成长
[1489.36-1492.44] 下一个问题是请问GB300
[1493.00-1494.54] VHC
[1494.54-1498.38] 与GB200设计上有何变化
[1498.38-1501.44] 那单轿是否有机会更高
[1501.44-1506.56] 其实GB300计划没有改变
[1506.56-1508.88] 只是时程的一个问题
[1508.88-1510.40] 它的架构也没有改变
[1510.40-1515.78] 对啊我不知道怎么那么多什么要200的架构干嘛
[1515.78-1518.08] 也不知道什么原因
[1518.08-1520.14] 但是还是会退出啦
[1520.14-1521.16] 还是会退出
[1521.16-1522.96] 先把GB200问完之后再说吧
[1523.00-1531.96] 问你解决好吧
[1531.96-1536.06] 下一个问题是未来看起来台币会进入
[1536.06-1538.10] 长期升值的趋势
[1538.10-1545.78] 那请问公司账上美金会做避险或换回台币吗
[1545.78-1548.08] 比如说啦现在已经到30块了
[1548.08-1550.40] 美元利率4.5%
[1550.40-1552.96] 你要赌吗你要到28块多吗对啊就不赌了
[1553.00-1559.14] 就这样啊
[1559.14-1560.68] 损失会损失多少啊
[1560.68-1562.22] 那个很快又赚回来了
[1562.22-1564.00] 那个是短期的因素
[1564.00-1576.04] 我们还是做我们自己
[1576.04-1580.14] 下一个问题是请问EQ25产品组合优化
[1580.14-1582.18] 跟4Q
[1582.18-1582.96] 24B
[1583.00-1587.10] 主要是哪方面那这个趋势能继续
[1587.10-1592.72] 维持吗
[1592.72-1595.04] 4Q Q1
[1595.04-1598.62] 高位阶
[1598.62-1600.92] 过去这两年
[1600.92-1601.94] 大家在查
[1601.94-1603.74] 所有的分析师
[1603.74-1607.84] 所有的媒体杂志在低优数
[1607.84-1608.60] MLO
[1608.60-1610.64] 72什么什么
[1610.64-1611.92] 载重轻什么
[1611.92-1612.96] Gross Margin
[1613.00-1617.10] 会调差然后造成市场都很大的波动
[1617.10-1618.64] 其实
[1618.64-1621.70] 数据已经说明一切了那个都不用再解释了
[1621.70-1622.72] 然后
[1622.72-1625.54] Platonics里面没有任何奇奇怪怪的
[1625.54-1627.34] 这个我也跟各位强调
[1631.44-1635.52] 然后GB200是第11月12月开始出国
[1640.40-1642.96] 这个已经证明过去这两年
[1643.00-1662.40] 在 nei literally
[1662.40-1664.76] 快要就出icas Jenny
[1664.76-1667.58] 这个 decisive
[1667.58-1669.62] 大概大概 cum laude
[1669.62-1672.26] rais'RE
[1673.00-1676.00] 這是我在這對我們股東講的
[1682.00-1683.50] 貓力高是一種壓力啊
[1683.50-1684.10] 當然嘛
[1684.10-1686.70] 但是你的技術大位在哪邊
[1686.70-1688.60] 你賺取合理的利潤
[1690.10-1691.70] 客戶
[1692.00-1696.90] 這一兩年來所有這些新的規格
[1697.40-1699.70] 川普扮演的角色是很重要的
[1699.70-1701.90] 在機構這一方面真的是
[1701.90-1703.30] 有目共睹
[1703.30-1705.10] 我相信每一家CSP
[1705.10-1706.30] 每一家ODM
[1706.30-1709.70] 我相信他們的RD就是這種感覺
[1709.70-1710.90] 當然採購不喜歡
[1710.90-1712.70] 但是工業成
[1712.70-1714.30] 科技成長在哪邊
[1714.30-1715.30] 技術成長在哪邊
[1715.30-1716.70] 你得到合理的合作
[1716.70-1718.30] 那是天經地義的
[1719.30-1721.70] 你要去搶他也沒有辦法去搶
[1721.70-1723.90] 因為搶你就是換專利
[1724.50-1725.90] 你一定會得到
[1725.90-1729.10] 不乖就是會得到
[1730.30-1731.50] 就會得到
[1731.50-1731.90] 有
[1731.90-1734.50] 接下來的這些收證上華業
[1734.50-1735.10] 就是這樣
[1741.10-1742.50] 那下一個問題是
[1742.50-1744.50] 請問傳統SERVER
[1744.50-1747.00] Q1的需求及未來的掌握
[1747.00-1747.50] 你看
[1748.50-1749.90] 還是有還是正常的
[1750.10-1751.30] 我強調過了
[1751.30-1752.30] AI上級
[1752.50-1753.90] 傳統的SERVER還是會在
[1754.30-1755.30] 還是會帶動上來
[1755.70-1756.50] 他不會不見
[1756.90-1757.90] 書寫會帶動來
[1757.90-1758.80] 什麼都會帶動
[1761.90-1763.90] 那下一個問題是請問
[1763.90-1765.90] 2Q的毛利率可以持穩於1Q水準嗎
[1765.90-1766.90] 那加工率越高會推升毛利率嗎
[1766.90-1767.90] 我剛才已經有講了
[1767.90-1768.90] 貨幣就是直接減少數碼
[1768.90-1769.90] 營收跟毛利嘛
[1769.90-1770.90] 那就在看來家的氣
[1770.90-1771.90] 生氣場可以有好的跑法
[1771.90-1772.90] 這就是一個很重要的問題
[1772.90-1773.90] 因為我們現在有很多的
[1773.90-1774.90] 很多的貨幣都在貨幣上
[1774.90-1775.90] 所以我們要去看
[1775.90-1776.90] 我們要去看
[1776.90-1777.90] 我們要去看
[1777.90-1778.90] 我們要去看
[1778.90-1779.90] 我們要去看
[1779.90-1780.90] 我們要去看
[1780.90-1781.90] 我們要去看
[1781.90-1782.90] 我們要去看
[1782.90-1783.90] 我們要去看
[1783.90-1784.90] 我們要去看
[1784.90-1785.90] 我們要去看
[1785.90-1786.90] 我們要去看
[1786.90-1787.90] 我們要去看
[1787.90-1788.90] 我們要去看
[1788.90-1789.90] 我們要去看
[1789.90-1790.90] 我們要去看
[1791.90-1793.90] 這是已經大家要去面對的事實
[1793.90-1795.90] 要去面對的事實
[1795.90-1796.90] 這個
[1796.90-1798.90] 但是在面對的事實裡面
[1798.90-1800.90] 就是有好跟不好
[1800.90-1803.90] 我相信川普還是屬於好的
[1803.90-1806.90] 因為你畢竟你的核心價值
[1806.90-1807.90] 已經做到這種
[1807.90-1809.90] 這種風雲
[1809.90-1811.90] 你少個10%有關係嗎
[1811.90-1812.90] 就我對我們的股東來講
[1812.90-1813.90] 我認為
[1813.90-1814.90] 對啊
[1814.90-1815.90] 就其他的人很慘
[1815.90-1817.90] 毛餓死的毛死的
[1817.90-1819.90] 那個很慘
[1819.90-1821.90] 至少我們的腳步
[1821.90-1823.90] 腳色已經把公司做到說
[1823.90-1824.90] 風吹雨打
[1824.90-1825.90] 大風大浪
[1825.90-1827.90] 我們還是一樣
[1827.90-1830.90] 風平浪靜的幫我們的股東
[1830.90-1833.90] 餵不掉
[1833.90-1836.90] 這就是我們的功能
[1843.90-1844.90] 那下一個問題是
[1844.90-1846.90] 上次公司有提到
[1846.90-1850.90] 未來電源櫃也會有導軌的設計商機
[1850.90-1851.90] 那請問電源櫃會不會有導軌的設計商機
[1851.90-1853.90] 電源櫃導軌
[1853.90-1857.90] 難度與目前的運算座的難度相益處在哪些部分
[1857.90-1863.90] 那個是GP300的吧
[1863.90-1868.90] 有很多還有如何如何在設定當中
[1868.90-1869.90] 你看一直變到現在
[1869.90-1871.90] 全體GP200Rail
[1871.90-1872.90] GP300Rail
[1872.90-1875.90] PowerShell Rail
[1875.90-1876.90] 一直在變
[1876.90-1877.90] 現在還在變
[1877.90-1878.90] 對啊
[1878.90-1879.90] 永遠變不完
[1879.90-1880.90] 所以
[1880.90-1884.90] 所以很多bug都是要慢慢去解決的
[1884.90-1890.90] 但是真的是越變越困難
[1890.90-1894.90] 技術挑戰越大
[1894.90-1895.90] 副總好
[1895.90-1897.90] 請問有聽到嗎
[1897.90-1898.90] 很清楚
[1898.90-1900.90] 副總我是中信營的財閥
[1900.90-1901.90] 那我想問一下
[1901.90-1904.90] 您剛有說到GP200其實一直在出貨
[1904.90-1907.90] 那您也有講到說
[1907.90-1908.90] 這個變
[1908.90-1909.90] GP200跟GP300的規格
[1909.90-1910.90] 一直在變
[1910.90-1912.90] 那也有些問題在解決
