[0.00-6.66] 大家好,欢迎来到JP Morgan台湾CEO CFO Conference
[6.66-10.82] 那今天我们很荣幸邀请到富邦金控来参加我们的会议
[901.92-907.92] 我们还是会继续用这个比较多元的一个商品组合的方式
[907.92-910.92] 来回应这个保护的一个需求
[910.92-914.92] 不管是它是在保障或财务规划
[914.92-918.92] 那商品类别的话就是包含分红利便保障
[918.92-921.92] 都是我们的一个销售重点
[921.92-925.92] 那希望我们可以来到这个FYP跟BNB
[925.92-929.92] 都可以有一个双位数的一个成长
[929.92-934.92] 了解那关于人寿这部分可以再请问一下
[934.92-937.92] 2025年的避险成本展望为何吗
[937.92-946.92] 好的那我想避险成本确实是人寿经营上一个重要的一个管理的一个面向
[946.92-951.92] 那我们看到从这个FED在2024年9月开始
[951.92-953.92] 启动这个整个降息循环
[953.92-955.92] 那降息的速度还有幅度啊
[955.92-959.92] 其实市场的一个预测也都一直有所变化
[959.92-964.92] 那不过大方向上来说的话降息这个方向应该是不会改变
[964.92-967.92] 那所以在这个泰美利插收窄
[967.92-969.92] 的这个前提之下呢
[969.92-973.92] 我们在看这个Prenancy swap的换回支出
[973.92-975.92] 应该是可以进一步的改善
[975.92-980.92] 那另外就是我们看到这个整个从川普上任之后
[980.92-984.92] 整个美元的这个相对强势的一个表现
[984.92-987.92] 那这个对于我们的这个NDF的成本
[987.92-990.92] 还有这个FX的这个Gains
[990.92-993.92] 汇兑利得应该也都是有所注意
[993.92-997.92] 那所以整个来说的话我们目标是希望
[997.92-1002.92] 全年的避险成本可以维持大概在100到150个BP
[1002.92-1004.92] 这样的区间之内
[1004.92-1012.92] 那关于金控的话想请问就是在鼓励发放政策的这个目标
[1012.92-1014.92] 跟水准会是怎么样
[1014.92-1018.92] 然后还有今年发放之后会剩多少的可供分配
[1018.92-1025.92] 那我们在24年的这个全年的获利来说的话
[1025.92-1027.92] 是来到一个立场的问题
[1027.92-1030.92] 就是说这个股价的这个货力是新高
[1030.92-1034.92] 那当然这个获利有1511.6亿的水准
[1034.92-1037.92] EPS也来到10.8元
[1037.92-1039.92] 我们当然会持续
[1039.92-1042.92] 那个未来还是稳健的来经营
[1042.92-1047.92] 来让这个获利能够尽量的这个提升
[1047.92-1052.92] 然后也来适时的来回馈股东
[1052.92-1056.92] 那我们整体来说的话在这个鼓励配发
[1056.92-1061.92] 在考虑这个获利成长的这个因素之外
[1061.92-1065.92] 我们也同时会考虑这个子公司的上缴
[1065.92-1069.92] 还有各个子公司还有金控的这个资本需求
[1069.92-1073.92] 那同时也会看这个同业的一个水准
[1073.92-1076.92] 那这个可供分配盈余这个部分当然还是为正
[1076.92-1081.92] 那我们在这个现金股利配发为主
[1081.92-1084.92] 那搭配部分的一个股票股利
[1084.92-1085.92] 那这个部分之后呢
[1085.92-1089.92] 我们也会把这个部分希望能够是一个强其稳定
[1089.92-1093.92] 均衡的一个股利配发当做我们的一个目标
[1093.92-1096.92] 了解
[1096.92-1100.92] 那我们看一下线上还有没有人有其他问题
[1100.92-1103.92] 那如果没有的话
[1103.92-1105.92] 我们今天的会议就到这边结束
[1105.92-1107.92] 然后非常谢谢公司的参与
[1107.92-1109.92] 谢谢
