[0.00-10.12] 各位投资先进好
[338.98-339.98] 我们的设计
[341.98-344.98] 首先是销售组合的部分
[344.98-346.98] 大同的销售组合
[346.98-348.98] 大概会分成两个区块
[348.98-350.98] 我们因为分成两个区块
[350.98-351.98] 就是
[351.98-352.98] 事业
[352.98-353.98] 丰盛
[353.98-354.98] 太阳门
[354.98-355.98] 发电
[355.98-356.98] 货币
[356.98-358.98] 那在广资事业体这边呢
[358.98-359.98] 已收占比
[359.98-360.98] 4.59%
[360.98-361.98] 占比
[361.98-364.98] 第一季大概占了9%
[364.98-366.98] 那在太阳门的部分
[366.98-367.98] 占比也不太大
[367.98-370.98] 当然是因为第一季的气候
[370.98-371.98] 比较差
[371.98-372.98] 是在
[372.98-373.98] 上年
[373.98-374.98] 比前
[374.98-375.98] 占
[375.98-376.98] 那在毛利率的部分呢
[376.98-377.98] 我们的
[377.98-379.98] 广资事业体的毛利
[379.98-381.98] 有比起去年
[381.98-383.98] 整年度略微的下滑
[383.98-384.98] 那主要的因素在于
[384.98-390.48] 大家也都知道太陽能力成本是個電費有調漲
[390.48-392.48] 能力成本很佳
[392.48-395.48] 再來我們看到天然氣供應
[395.48-397.48] 天然氣單價有提升
[397.48-400.48] 所以我們的毛利率也受到一些影響
[400.48-403.48] 但是還是有百分之百
[403.48-407.98] 那整體第一季的合併營收是兩億九千萬
[407.98-409.48] 兩百九十萬元
[409.48-412.48] 那是銷售主額
[412.48-417.48] 接著向大家報告一下財務績效的部分
[417.48-422.48] 2025年第一季的營收比起去年是有增長
[422.48-425.48] 是12.5%的增長
[425.48-429.48] 但是在毛利率的部分下降
[429.48-431.48] 主因還是比較大型
[431.48-433.48] 一個主要的成本
[433.48-439.48] 那整體在稅後淨利1960元
[439.48-442.48] CS是0.23元
[442.48-454.48] 接下來向大家報告一下財務指標
[454.48-456.48] 首先是現金部位的部分
[456.48-459.48] 這幾年我們都有接近四億
[459.48-462.48] 那在第一季結束呢
[462.48-465.48] 我們來到四億元前半
[465.48-467.48] 沒有了現金部位
[467.48-471.48] 那其實我們也都在做自己的工作
[471.48-472.48] 在營收方面呢
[472.48-474.48] 我們在收賬的部分
[474.48-478.48] 收轉率來到30天左右
[478.48-481.48] 主要是因為我們外銷的佔領很大
[481.48-483.48] 第一季將近六成
[483.48-488.48] 去年的大約七成佔領
[488.48-491.48] 那外銷的對象通常收款
[491.48-494.48] 30天左右
[494.48-496.48] 所以收款結束是在下降
[496.48-498.48] 還有一個月左右
[498.48-500.48] 在存貨收轉的部分
[500.48-504.48] 這幾年我們也做了很多轉
[504.48-507.48] 所以收轉率有下修到大幅
[507.48-510.48] 那在一部賬房的部分呢
[510.48-514.48] 由於我們進貨呢
[514.48-516.48] 買殺是最主要的
[516.48-519.48] 賺比較高的部分
[519.48-523.48] 那買殺的對象通常是要先做貨
[523.48-525.48] 所以我們這個貨品
[525.48-527.48] 結束就會比較重要
[527.48-529.48] 來到20天
[529.48-533.48] 那以上是幾個財務報告
[533.48-537.48] 接下來看我們的資本支出的部分
[537.48-540.48] 大同新莊的資本支出分三個區塊
[540.48-542.48] 分別是設備
[542.48-546.48] 修繕還有分散
[546.48-549.48] 那大家看這個主要的佔領
[549.48-552.48] 這幾年我們還是一直持續在做
[552.48-555.48] 資本化設備的分散
[555.48-558.48] 所以生產設備的分散
[558.48-560.48] 大廠的分散
[560.48-565.48] 那以上是大陸的資本支出分散
[565.48-567.48] 接下來是Q&A
[567.48-570.48] 那請各位先進去問
[570.48-572.48] 謝謝
[572.48-575.48] 感謝公司經營團隊精彩的分享
[575.48-577.48] 想提問的法人可以藉由聊天室直接提問
[577.48-578.48] 謝謝
[588.48-592.48] 謝謝
[618.48-620.48] 大家應該都很在意
[620.48-625.48] 那其實剛開始那個川普關稅
[627.48-628.48] 剛好也有人問
[628.48-629.48] 我剛剛有個問題
[629.48-630.48] 對
[630.48-632.48] 那因為就是我們講的
[632.48-635.48] 我們這個關稅一開始出來
[635.48-636.48] 其實我們講的蠻驚嚇的
[636.48-638.48] 不過後來我們仔細的去
[638.48-640.48] 盤點一下我們的狀況之後
[640.48-643.48] 其實就是我們也看了也還蠻
[643.48-644.48] 算是比較放心的
[644.48-646.48] 我這樣大概說明一下
[646.48-648.48] 就是我們公司大概
[648.48-650.48] 直接對品牌的銷售
[650.48-653.48] 整個營業的結構大概是65%左右
[653.48-656.48] 那另外大概35%是屬於代工的部分
[656.48-659.48] 那這65%的這個對品牌銷售來講
[659.48-662.48] 我們公司一直以來都是以歐洲市場為主軸
[662.48-665.48] 那美國市場最主要就是克什主鳥
[665.48-668.48] 可是什主鳥它這幾年來的成長
[668.48-670.48] 尤其這一兩年的主要的成長動能
[670.48-672.48] 包括它接下來一兩年的成長動能
[672.48-674.48] 都是在亞洲區域
[674.48-677.48] 而且它的成長動能非常的強勁
[677.48-678.48] 所以呢
[678.48-680.48] 我們看到它給我們的預測
[680.48-682.48] 包括今年下半年的訂單的預測
[682.48-685.48] 基本上沒有受到這個關稅
[685.48-687.48] 川普關稅任何的
[687.48-689.48] 看不到的什麼影響
[689.48-691.48] 那另外我們代工的部分
[691.48-693.48] 的確主要合作的都是一些比較
[693.48-697.48] 一般的球類運動服裝的為主軸
[697.48-699.48] 那這個這邊在美國市場占比就重了
[699.48-701.48] 可是我們又運氣又很好
[701.48-704.48] 就是我們主要的客戶裡面
[704.48-707.48] 它主要的生產基地都在埃及跟伊索比亞
[707.48-712.48] 所以我們其他大概盤點完
[712.48-714.48] 不是在這兩個國家的成業場裡面
[714.48-716.48] 大概占了15%
[716.48-718.48] 所以其實這整體來講
[718.48-721.48] 這35%裡面的15%這樣成起來
[721.48-722.48] 其實整體來講
[722.48-723.48] 對我們來講這個關稅
[723.48-725.48] 對我們的訂單的影響量
[725.48-728.48] 其實是真的是也不太多
[728.48-731.48] 所以這就是以上跟大家回覆說
[731.48-733.48] 對於關稅對我們公司來講
[733.48-736.48] 其實川普關稅這個對我們公司的
[736.48-739.48] 訂單影響也是蠻小的
[739.48-741.48] 沒有什麼很大的影響
[741.48-743.48] 那反而我們比較
[743.48-746.48] 反而會比較擔心的其實對就是
[746.48-748.48] 有有有有這個
[748.48-750.48] 反而問到這關於這個
[750.48-752.48] 美金計價與伊索的問題
[752.48-754.48] 的確最近這個匯率的動動對我們來講
[754.48-756.48] 其實就會有很顯著的影響
[756.48-758.48] 第一個當然因為我們都收美金
[758.48-761.48] 所以你這個匯率一下子跑掉了
[761.48-764.48] 上升了這麼多個比特幣
[764.48-766.48] 8個比特幣到10個比特幣之間
[766.48-767.48] 那其實對我們來講
[767.48-769.48] 毛利率上其實就會開始有
[769.48-770.48] 變成影響
[770.48-772.48] 那除了我們成本的上升以外
[772.48-774.48] 這個匯率都會影響到我們的毛利
[774.48-776.48] 那當然我們的因應對策
[776.48-778.48] 最主要就是在於說
[778.48-783.48] 我們會一方面有的我們已經在跟品牌
[783.48-785.48] 調整一些售價
[785.48-787.48] 當然本來就是成本的上升
[787.48-789.48] 本來需要調整
[789.48-790.48] 二來因為匯率的關係
[790.48-794.48] 所以我們已經跟品牌在討論這個
[794.48-796.48] 下半年價格的調整
[796.48-800.48] 二來就是其實當然這個也不可能
[800.48-803.48] 完全的都反映在我們的售價上面
[803.48-806.48] 所以我們內部的一些成本的節約
[806.48-810.48] 人力的節約也是我們一直在努力的方向
[810.48-813.48] 希望能夠讓匯率的變動
[813.48-817.48] 能夠造成對毛利的影響降到最低
[817.48-823.48] 這個以上是我們對匯率變動的回答
[823.48-824.48] 謝謝
[826.48-829.48] 謝謝
[829.48-831.48] 謝謝
[831.48-833.48] 謝謝
[833.48-836.48] 請問還有法人先進要提問的嗎
[836.48-838.48] 如果沒有其他提問的話
[838.48-839.48] 我們法處到此結束
[839.48-840.48] 謝謝大家
[840.48-841.48] 謝謝公視團隊
[841.48-842.48] 感謝
[842.48-843.48] 謝謝
