[0.00-6.82] 好那欢迎各位投资先进来参加今天望准科技的法说会
[262.10-265.10] 那慢慢会开始提高在美国的一个份额
[268.10-270.10] 那以产品来讲
[270.10-273.10] 今年的第一季做8.1里面
[273.10-277.10] 大概有48%是一般的白片
[277.10-280.10] 那50%是美瞳片
[280.10-282.10] 那另外2%是功能型的镜片
[282.10-286.10] 像是闪光之类的光学的一些镜片
[290.10-293.10] 那看一下就是说不同的一个调研单位
[293.10-295.10] 数字会有点不一样
[295.10-296.10] 那相对值应该有差
[296.10-297.10] 要绝对值有时候
[297.10-299.10] 不同调研会有点差异
[299.10-302.10] 那如果以2024年的全球影线市场
[302.10-304.10] 大概是一百零几亿左右
[304.10-307.10] 那年成长其实有7.4%
[307.10-308.10] 那有的报道是说6.6
[308.10-311.10] 大概就是7%左右的一个成长
[311.10-313.10] 那北美目前还是一个最大市场
[313.10-315.10] 那年成长大概5.6%
[315.10-317.10] 那欧洲大概3到4%
[317.10-321.10] 日本市场去年有6到7%的一个成长
[321.10-322.10] 那大陆的话
[322.10-324.10] 因为线下的资讯比较少
[324.10-326.10] 因为我们都做线上的一个客户
[326.10-327.10] 所以大陆去年有6到7%的一个成长
[327.10-330.10] 而去年的线上三大平台有成长13%
[330.10-331.10] 所以大家可以看到
[331.10-332.10] 就各大市场
[332.10-334.10] 美国 欧洲 日本跟大陆
[334.10-335.10] 整体影线人性市场
[335.10-339.10] 都还是一个非常稳健的一个成长的一个市场
[339.10-343.10] 那如果来看2025年Q1的话
[343.10-348.10] 那中国线上的成长能来成长了9%
[348.10-350.10] 当然我们可以先看这个图
[350.10-354.10] 这个图是2024跟2023年做一个对比
[354.10-357.10] 那上一次法所可能Sophia也有跟大家报告过
[357.10-360.10] 那去年大概就成长13%
[360.10-363.10] 那其中比较大的部分是在抖音成长108
[363.10-367.10] 那天猫跟京东是衰退
[367.10-370.10] 那今年第一季的数据出来大概就
[370.10-374.10] 从2025的Q1跟去年的Q1比的话
[374.10-376.10] 大概成长9%
[376.10-380.10] 那一样就是成长比较快的一样是在抖音这一块成长64%
[380.10-382.10] 那京东衰退是比较明显
[382.10-383.10] 衰退了11%
[383.10-385.10] 那天猫大概衰退了4%
[385.10-386.10] 那整体就是说
[386.10-388.10] 第一季还是一个成长
[388.10-390.10] 也就是中国已经进这个市场
[390.10-392.10] 仍然持续的一个成长
[392.10-394.10] 那我还是维持对今年线上的看法
[394.10-397.10] 中国的市场应该还是成长10%左右
[397.10-401.10] 就是应该还是会是一个双位数的成长
[401.10-404.10] 但主要的成长平台是在抖音
[404.10-407.10] 所以这会影响到消费的一个属性
[407.10-411.10] 因为目前抖音的卖法是属于员工直播带货或是打播
[411.10-413.10] 也就是找达人带货
[413.10-415.10] 所以直播或是打播的话
[415.10-419.10] 对彩片就是美瞳片会有比较好的一个销售手法
[419.10-421.10] 可能花纹布一样
[421.10-423.10] 这些型销售会比较多
[423.10-428.10] 所以目前看到的是中国彩片市场的需求还是非常的强劲
[428.10-431.10] 就是客户大概以我们的客户而言
[431.10-433.10] 大概在1 2月去化完库存之后
[433.10-439.10] 大概3 4月开始有一个蛮强劲的一个对彩片的拉货的一个动能
[439.10-443.10] 那尤其4月4 5月为了618开始有一些积单
[443.10-445.10] 那所以彩片的需求是很高的
[445.10-447.10] 但是这个需求强劲
[447.10-450.10] 但是透片目前看起来就是比较疲软
[450.10-453.10] 那估计大概在2025年上半年
[453.10-456.10] 市场上都还在去化这白片的一个库存
[456.10-461.10] 那白片的复苏我预估可能是在今年下半年才会开始
[461.10-464.10] 但是因为彩片的需求还蛮强的
[464.10-468.10] 所以整体应该是我一直年度在中国市场有10%成长的一个
[468.10-471.10] 我说市场有大概10%成长的一个看法
[471.10-474.10] 那再来另外这个图大概
[475.10-477.10] 之前也有报告过
[477.10-480.10] 就是说以整个隐形眼镜市场的话
[480.10-483.10] 那四大厂家海昌的占比是在下降
[483.10-486.10] 那主要是新锐品牌的一个慢慢的在崛起
[486.10-488.10] 那所以大家在这边
[488.10-490.10] 大家新锐品牌已经占到47%
[490.10-492.10] 大概占了快一半
[492.10-494.10] 那当然就随着平台不一样
[494.10-497.10] 新锐品牌起来的品牌不一样
[497.10-501.10] 从之前的可能是Mudik 拉拉 然后拉拜斯
[501.10-504.10] 那到抖音的时候可能玩的比较好的
[504.10-506.10] 可能是像Sweet Color 玛丽 多丽
[506.10-508.10] 那也就一个平台的转换
[508.10-511.10] 比较习惯那个新平台的玩法的人
[511.10-512.10] 他们崛起就会比较快
[512.10-514.10] 那整体而言这些都
[514.10-517.10] 我们把它会整治中国的一个新锐品牌
[517.10-519.10] 那日本的
[519.10-522.10] 日本品牌在中国的占比也是同步持续在下降
[522.10-525.10] 跟四大厂一样是在下降
[529.10-532.10] 那以望准在2025年我们的成长动能
[532.10-533.10] 那在大陆市场
[533.10-535.10] 第一个是我们短链供应
[535.10-536.10] 也就是我们在地供应
[536.10-538.10] 那因为市场的
[538.10-540.10] 市场的变化目前非常快
[540.10-543.10] 客户历经过去年整个的
[543.10-544.10] 比较竞争的一个状况
[544.10-546.10] 大家也不敢囤库存
[546.10-550.10] 所以整个返运速度会变得非常的一个重要
[550.10-551.10] 就在地供应
[551.10-553.10] 在地打烊立刻少量量产
[553.10-554.10] 铺到市场上
[554.10-557.10] 那如果爆款就很快的拉货
[557.10-558.10] 那如果不是爆款
[558.10-560.10] 那可能就是清完库存
[560.10-563.10] 再下一批次的一个
[563.10-564.10] 花纹
[564.10-567.10] 所以整个的节奏感变得非常的一个快
[567.10-570.10] 所以短链供应非常的重要
[570.10-571.10] 所以这也是就是说
[571.10-574.10] 我们子公司市准的一个竞争优势
[574.10-575.10] 因为在地供应
[575.10-577.10] 这也是就刚才提到
[577.10-578.10] 大概4月之后
[578.10-580.10] 整个裁片的需求就就涌入
[580.10-583.10] 所以目前的瓶颈会在在我们打样
[583.10-586.10] 会卡在我们打样上的一个速度
[586.10-588.10] 那另外在大陆这个市场上
[588.10-592.10] 我们的今年会推出吸水胶的一个美瞳PL
[592.10-594.10] 以及半年抛的美瞳
[594.10-596.10] 那吸水箱美瞳在3月取正
[596.10-598.10] 那目前在帮客户打样
[598.10-600.10] 那预计下半年会开始
[600.10-602.10] 在这个市场上去出货
[602.10-604.10] 所以大陆市场主要是在地供应
[604.10-606.10] 那美瞳片我们速度快
[606.10-608.10] 所以在这里目前还不错
[608.10-610.10] 那另外就新产品推出
[610.10-613.10] 这部分带动我们在大陆市场的一个成长
[613.10-617.10] 日本市场我们主要以差异化的产品去扩大市占
[617.10-618.10] 所以在第一季的时候
[618.10-621.10] 我们小那个Lanch有不少不少的
[621.10-624.10] 不少品项包含了二代蓝光
[624.10-626.10] 以及闪光彩的一个产品
[626.10-630.10] 那所以带动日本市场的一个成长
[630.10-631.10] 那台湾市场的部分
[631.10-634.10] 刚刚也有同仁问到
[634.10-636.10] 就是说我们台湾市场怎么样
[636.10-639.10] 那我们是希望去整合整个价值链
[639.10-642.10] 那扩大我们在台湾市场的一个出海口
[642.10-645.10] 过往我们比较着重在日本跟大陆
[645.10-647.10] 那目前我们回来在2024年
[647.10-648.10] 2025年开始
[648.10-651.10] 我们希望开始耕耘台湾市场
[651.10-653.10] 所以这部分做了一些投资
[653.10-655.10] 那帮客户代孕一些品牌
[655.10-656.10] 所以这一块的占比
[656.10-658.10] 大家有看到就是我们第一季
[658.10-660.10] 其实台湾市场从4%提升到5%
[660.10-662.10] 有十几%的一个成长
[662.10-666.10] 那我们希望未来台湾市场的一个占比
[666.10-669.10] 能在我们的营收里面也有一个
[669.10-671.10] 有一定的一个占比
[671.10-672.10] 那美国市场刚开始
[672.10-674.10] 我目前矽调胶的产品已经
[674.10-678.10] 矽调胶日泡产品已经开始推广到市场上
[678.10-680.10] 那未来会希望在美国市场
[680.10-682.10] 把整个产品线先ready
[682.10-684.10] 就包含日泡月泡闪光
[684.10-686.10] 各样的一个产品线
[686.10-688.10] 我们希望把整个产品家族先把它ready
[688.10-690.10] 然后再慢慢的去拓展
[690.10-694.10] 我们在美国时光体系的一个产品线
[694.10-696.10] 所以这大概就是今年度
[696.10-699.10] 我们在各个市场上努力的一个目标
[699.10-702.10] 那当然我们现在也会开始关注
[702.10-704.10] 欧洲跟东南亚
[704.10-707.10] 那目前还在跟客户接触中
[707.10-710.10] 我想大概还需要一两年的一个
[710.10-711.10] 耕耘
[711.10-713.10] 东南亚是开始有一些比较小型的客户
[713.10-714.10] 那欧洲我想开始接触
[714.10-716.10] 可能需要一两年的一个耕耘
[716.10-717.10] 那我就先没列上来
[717.10-719.10] 那目前我们先主要
[719.10-725.10] 包括在这四大市场上面
[725.10-727.10] 那在产能的一个部分的话
[727.10-728.10] 今年大概会扩
[728.10-731.10] 今年会扩产到超过5700万
[731.10-734.10] 那会在中国厂扩了两条彩片线
[734.10-736.10] 在中国厂扩320万的产能
[736.10-737.10] 那目前一下出去
[737.10-740.10] 那预估会贡献到今年的一个产能
[740.10-741.10] 一个双11
[741.10-743.10] 那下面另外再扩敞的
[743.10-745.10] 就要要贡献到明年去
[745.10-746.10] 所以今年是确定
[746.10-750.10] 之前是说618之后再跟大家update
[750.10-752.10] 那目前看起来需求算是还不错
[752.10-754.10] 所以已经是确定建置
[754.10-757.10] 那双11之前才能贡献
[761.10-763.10] 以上是我简单的一些update
[763.10-765.10] 那就看看等下大家有什么问题
[765.10-766.10] 我们欢迎大家一起讨论
[766.10-767.10] 好谢谢大家
[767.10-768.10] 好
[768.10-770.10] 那现在是
[770.10-771.10] qa时间
[771.10-772.10] 如果有投资人有问题
[772.10-773.10] 可以举手发言
[773.10-775.10] 我会先祝传第一麦克风
[798.10-799.10] 总经理好
[799.10-800.10] 好
[800.10-801.10] 好
[801.10-802.10] 好
[802.10-803.10] 那我们来看看
[803.10-804.10] 能不能说明
[804.10-805.10] 可以帮我们大概拆分一下
[805.10-806.10] 如果以今年刚刚讲中国可以成长
[806.10-807.10] 大概双位数吗
[807.10-808.10] 那日本跟其他的市场
[808.10-809.10] 我们大概那个展望是怎么样
[809.10-810.10] 我指的说
[810.10-811.10] 中国双位数是指市场
[811.10-812.10] 那因为我们的话
[812.10-813.10] 因为今年第一季中国是衰退
[813.10-814.10] 所以整年度可能没办法到双位数
[814.10-815.10] 可能是一个个位数的一个成长
[815.10-816.10] 那日本市场还不错
[816.10-817.10] 所以一定是双位数成长
[817.10-818.10] 那整体公司营收
[818.10-819.10] 整体加起来
[819.10-820.10] 应该还是双位数
[820.10-821.10] 那这边我们也有一个一个很好的
[821.10-822.10] 当我们来看一下
[822.10-823.10] 那这边有一个一个
[823.10-824.10] 有一个这个
[824.10-825.10] 很多的传播的
[825.10-830.08] 那整体公司营收整体加起来应该还是双位数的一个成长
[830.08-846.34] 想问一下我们第一季的一个毛利率表现还蛮不错的
[846.34-847.70] 那这边的主要原因
[847.70-850.94] 然后第二三四季这边怎么看
[850.94-852.34] 那另外的话
[852.34-854.54] 针对关税的一个议题
[854.54-856.32] 还有汇率的一个波动
[856.32-858.70] 目前我们这边的一个因应措施
[858.70-860.52] 跟有没有一些获利
[860.52-863.82] 或是毛利率的一个敏感性的一个分析
[863.82-866.50] 那第一季的话
[866.50-868.18] 毛利是还不错
[868.18-870.66] 因为我们有针对客人做了一些降价
[870.66-873.52] 但整个因为整个的营收上来
[873.52-875.48] 也就加动率有八成多
[875.48-878.46] 那尤其台湾厂的加动率是比较高的
[878.46-879.54] 因为出日本
[879.54-881.42] 所以让整个经济规模
[881.42-882.32] 让毛利率的增加
[882.32-883.40] 让毛利拉上来
[883.40-884.80] 那当然新品的部分
[884.80-885.86] 因为是闪光彩
[885.86-886.76] 二代蓝光
[886.76-890.04] 那比一般产品可能多一个一到三趴的一个毛利
[890.04-891.44] 所以整体是因为这样
[891.44-896.48] 就是去compensate掉我们降价的一些效应
[896.48-898.92] 那再往后看的话
[898.92-900.32] 营收的话
[900.32-903.78] 第二季是确定是会比第一季好
[903.78-906.42] 就是说大家可能不用盯着每个月起起伏伏
[906.42-908.70] 因为有时候会在货品会去集结
[908.70-909.18] 对
[909.18-910.44] 但是目前来看
[910.44-912.08] 第二季会比第一季好
[912.08-914.56] 那应该会逐步逐步往上
[914.56-922.44] 但是影响到整个的毛利未来的factor比较大的会是在汇率
[922.44-924.56] 就是说台币从33到30
[925.12-926.48] 那这影响是蛮大
[926.48-928.86] 如果在一定的条固定的条件下
[928.86-932.04] 那当然我们应该是可以维持或是往上
[932.04-934.64] 但是因为现在毛利的影响
[934.64-935.96] 这个汇率的影响
[935.96-938.50] 对我们的毛利会有些影响
[938.50-942.06] 那因为我们目前大概有一半的报价是美金
[942.08-944.44] 那另外就是日本市场我们是美金报价
[944.44-946.64] 那中国市场是人民币报价
[946.64-950.04] 那一般这两个货币会去做自然避险compensate
[950.04-952.80] 那因为最近台币太强势的关系
[952.80-954.18] 那尤其对美金这一块
[954.18-956.54] 那涨幅稍微大一点
[956.54-959.14] 所以这一块会侵蚀到我们的获利
[959.14-961.90] 那这一块不影响到我们的竞争力
[961.90-963.66] 因为我想大概整个台湾同约
[963.66-964.98] 大概都面临一样的问题
[964.98-968.02] 也就是说在整个份额上的一个争取
[968.02-969.56] 不影响我们的竞争力
[969.56-971.70] 但可能会影响到我们获利的一个
[972.08-972.86] 绝对值
[972.86-974.98] 所以这是在汇率的部分
[974.98-976.66] 那在关税的一个部分
[976.66-978.10] 目前关税影响不大
[978.10-980.68] 因为我们美国的占比可能大概一趴
[980.68-982.00] 所以整个占比非常低
[982.00-983.80] 所以目前影响还不大
[983.80-985.44] 那至于具体的影响
[985.44-987.82] 可能还是等政府跟美国这边谈判
[987.82-989.18] 我们看数字是多少
[989.18-991.88] 我们再来做因应的一个对策
[1002.08-1011.20] 想请问一下中国市场EQ
[1011.20-1013.00] 它是YY是-20吗
[1013.00-1014.54] 可是刚刚有讲到说
[1014.54-1016.42] 今年的整个中国市场
[1016.42-1018.20] 应该会有个位数的成长
[1018.20-1020.02] 请问是依据什么样考量
[1020.02-1021.84] 是有看到什么东西
[1021.84-1023.26] 或者接到什么客户订单吗
[1023.26-1023.44] 谢谢
[1023.44-1027.82] 我们自己本身
[1027.82-1030.92] 就是说我刚才讲的10%是指整个市场
[1030.92-1031.74] 就是线上市场
[1031.74-1034.06] 大家预估去年线上市场大概成长时期
[1034.06-1035.38] 今年大概是10%
[1035.38-1037.14] 那我们第一季是衰退
[1037.14-1038.20] 但整年度我们认为
[1038.20-1040.98] 我们还是会维持个位数的一个成长
[1040.98-1042.96] 那主要是看到4月之后
[1042.96-1045.82] 整个美同的需求其实还蛮强劲的
[1045.82-1046.70] 也就刚才讲的
[1046.70-1048.84] 目前的驾动率
[1048.84-1050.26] 就是第二季的驾动率
[1050.26-1051.84] 其实都超过9成
[1051.84-1053.74] 不管是台湾工厂或大陆工厂
[1053.74-1056.52] 所以就是蛮多彩片的订单回来
[1056.52-1058.30] 所以我们认为今年度
[1058.30-1061.40] 中国市场还是会维持一个成长的一个动能
[1061.40-1061.72] 也就是说
[1061.72-1064.66] 我觉得市场其实需求还是强劲
[1064.66-1067.34] 就我刚才讲在美同部分是还不错
[1067.34-1071.16] 那主要是目前客户在驱化的是
[1071.16-1072.78] 透片的一个库存
[1072.78-1074.08] 那因为我们在去年的话
[1074.08-1076.24] 透片是销售比较多
[1076.24-1079.06] 那所以就是说第一季会有点衰退
[1079.06-1082.48] 但第二季因为现在的美同的订单还算不错
[1082.48-1084.28] 所以整年度应该还是维持成长
[1091.72-1098.20] і aan
[1103.74-1104.62] Μαρùng
[1104.62-1105.78] lighthouse
[1109.74-1112.02] 面相
[1113.08-1114.08] 人
[1114.08-1115.14] Jim
[1118.08-1119.16] اس
[1119.16-1119.88] Hulk
[1119.88-1120.66] 威 putting
[1120.66-1121.62] ussy
[1121.72-1123.18] 当初我们预期的慢一点
[1123.18-1124.62] 主要是就刚才提到
[1124.62-1126.22] 在中国市场的白片
[1126.22-1128.30] 今年上半年还是比较疲软
[1128.30-1130.44] 主要需求是在彩片
[1130.44-1131.22] 在美瞳片
[1131.22-1132.50] 不管谁教谁教
[1132.50-1135.18] 对那因为美瞳片的部分
[1135.18-1137.00] 我们需要一点打样的时间
[1137.00-1139.56] 所以整个拓展速度会稍微慢一点
[1139.56-1140.64] 所以估计今年
[1140.64-1141.94] 占比还是会比去年高
[1141.94-1143.90] 但是估计是在3到5%之间
[1151.72-1172.86] 下半年
[1172.86-1174.98] 目前正在打样
[1174.98-1177.18] 定版之后大概预估出货
[1177.18-1178.50] 应该会晚于618
[1178.50-1180.54] 应该赶不上618这个档期
[1180.54-1181.70] 所以在下半年会出货
[1181.70-1182.98] 可能大概7月
[1182.98-1184.70] 台湾其实已经出货了
[1184.70-1186.66] 对那中国市场预估
[1186.66-1188.38] 可能会大概在7月吧
[1188.38-1192.76] 日本第一季成长蛮多的
[1192.76-1196.24] 那这个你刚说是成长是来自新品
[1196.24-1199.72] 那日本我们是有接到新的大客户吗
[1199.72-1202.68] 日本目前第一季的成长
[1202.68-1206.66] 主要来自于现有客户的新品向扑货
[1206.66-1208.24] 那新客户我们日本
[1208.24-1210.50] 其实不管日本或是中国市场
[1210.50-1211.38] 我们今年都有
[1211.38-1212.50] 新客户加入
[1212.50-1215.98] 那日本的新客户预估是在第二季
[1215.98-1217.70] 日本新客户的品项是第二
[1217.70-1219.18] 预估是第二季进去
[1219.18-1224.44] 那第一季主要是现有客户的一些新品上扑货
[1224.44-1228.22] 那个第一季费用比较高的原因
[1228.22-1231.02] 因为我们有主要是转投资公司
[1231.02-1231.58] 就刚才讲
[1231.58-1232.54] 包含台湾
[1232.54-1233.06] 包含美国
[1233.06-1234.82] 我们做了一些投资
[1234.82-1236.22] 那所以这边的话
[1236.22-1240.62] 我们会合并这些投资公司的一个管销费用
[1240.62-1241.22] 所以整个公司的投资费用是很高的
[1241.22-1243.22] 这个管销费用就稍微会较高一点
[1243.22-1244.22] 谢谢
[1271.22-1271.62] 请问一下
[1271.62-1272.74] 就是刚好提到说
[1272.74-1274.22] 今年在台湾市场这边
[1274.22-1278.04] 我们会再多一些就是力道在这边
[1278.04-1281.60] 那提到是不是说帮客户做一些价值链的整合
[1281.60-1283.94] 那这边的话可以跟我们分享一下
[1283.94-1286.82] 怎么样去做价值链的整合
[1286.82-1289.78] 那因为台湾市场相对是比较成熟的
[1289.78-1292.48] 那我们在这边的一个竞争利基在哪边
[1292.48-1295.20] 我们过往的话
[1295.20-1297.74] 因为比较多是在耕耘代工
[1297.74-1299.22] 也就主要在大陆跟日本市场上的货币
[1299.22-1301.20] 大陆跟日本市场上的货币
[1301.22-1303.64] 那台湾之间我们琢磨比较少
[1303.64-1307.02] 那因为去年大陆的整个市况不好
[1307.02-1309.08] 这有我们的影响非常大
[1309.08-1310.44] 所以我们从去年开始
[1310.44-1313.66] 我们就希望就是开始去分散我们的市场
[1313.66-1314.66] 那分散市场
[1314.66-1316.04] 第一个台湾是我们的home market
[1316.04-1318.42] 所以我们希望在这里加大我们的份额
[1318.42-1320.32] 第二个就是往美国去走
[1320.32-1323.06] 所以这个我们就开始去做布局跟投资
[1323.06-1324.42] 那在台湾这部分
[1324.42-1326.08] 我们就有短投资公司
[1326.08-1329.30] 那会将我们就是卖得比较好的
[1329.30-1330.42] 就是可能是日本
[1330.42-1330.92] 可能是
[1330.92-1335.96] 大陆卖得比较好的一些花纹
[1335.96-1338.04] 那在台湾做销售
[1338.04-1340.78] 那由我们投资公司去帮客户做代运营
[1340.78-1341.70] 那可能在
[1341.70-1343.84] 可能是在美妆店
[1343.84-1345.72] 可能在眼镜店去做代运营
[1345.72-1348.48] 那因为这些东西本来就都是我们的生产的
[1348.48-1349.72] 所以对工厂来讲
[1349.72-1353.50] 我是同样的品项增大的一个更大的一个出海口
[1353.50-1357.44] 那也前面也没有这些打样的一些成本
[1357.44-1360.00] 所以用这个方式把一些好的东西
[1360.00-1360.90] 那在台湾市场上的货币
[1360.92-1362.92] 我们也会在台湾市场上去销售
[1362.92-1366.30] 来去增加我们整个的一个市场占比
[1366.30-1368.30] 那这之前提到就是说
[1368.30-1369.44] 我们从去年就提到说
[1369.44-1371.26] 我们要开始去整合供应链
[1371.26-1373.10] 这个是其中的一个项目
[1373.10-1374.94] 我们本身是做代工出身
[1374.94-1377.48] 我们对品牌操作并不熟悉
[1377.48-1379.22] 但我们必须要跨足那一块
[1379.22-1380.52] 但做当然不是我们做
[1380.52-1383.36] 所以我们会开始做一些投资的一个动作
[1383.36-1386.32] 那由这些团队去来执行这样的一个动作
[1386.32-1389.96] 那来拉低我们在台湾市场上的一个占比
[1389.96-1390.76] 那目前开始出售的一个项目是
[1390.76-1390.80] 那我们本身是做代工出身的一个项目是
[1390.80-1393.08] 初步已经开始看到成效
[1393.08-1395.06] 就是说慢慢开始往上
[1395.06-1396.92] 就是说待会看到低级的话
[1396.92-1399.40] 我们台湾的营收就开始有上来
[1399.40-1405.30] 请问一下
[1405.30-1407.78] 如果以目前台币对美元
[1407.78-1409.36] 大概30的水准来看
[1409.36-1411.70] 我们全年的毛利率
[1411.70-1413.52] 有办法维持低级的水准吗
[1413.52-1417.52] 如果以目前
[1417.52-1419.98] 如果从33跌到30
[1419.98-1420.64] 那以这样的毛利率
[1420.64-1422.92] 要维持低级的水准
[1422.92-1424.68] 可能是有点困难
[1424.68-1427.76] 就是说这影响是有点大
[1427.76-1430.76] 所以目前可能看起来不容易
[1430.76-1439.48] 但如果刚才讲的就是说
[1439.48-1441.20] 因为这个问题是大家都遇到
[1441.20-1443.64] 所以整个的绝对只会受影响
[1443.64-1446.64] 但不影响我们在同业之间的一个竞争力
[1446.64-1447.64] 好
[1447.64-1448.64] 谢谢
[1448.64-1449.64] 谢谢
[1449.64-1450.64] 谢谢
[1450.64-1451.64] 谢谢
[1451.64-1453.64] 谢谢
[1453.64-1454.64] 谢谢
[1454.64-1455.64] 谢谢
[1455.64-1456.64] 谢谢
[1457.12-1480.62] 谢谢
[1480.64-1492.38] 请教一下
[1492.38-1493.22] 台湾市场
[1493.22-1495.54] 所以是等于是我现在的代工客户
[1495.54-1497.30] 不管是日本还是中国的
[1497.30-1498.72] 我帮他的这个品牌
[1498.72-1501.44] 引介到台湾来做销售就对了
[1501.44-1501.94] 对
[1501.94-1503.60] 就我妈做一些品牌操作
[1503.60-1504.86] 然后在台湾做销售
[1504.86-1507.52] 所以这一块就是说
[1507.52-1509.92] 他有机会让你才能利用率提升
[1509.92-1510.88] 营收变大
[1510.88-1514.80] 可是他的利润率应该是会差异蛮多的
[1514.80-1518.26] 因为那种是我并表
[1518.26-1520.86] 所以对我来讲毛利不会比较差
[1520.86-1522.08] 因为我会有工厂的利润
[1522.08-1523.96] 再加上代销售的利润
[1523.96-1524.10] 对
[1524.10-1525.16] 所以不见
[1525.16-1526.30] 就毛利来讲
[1526.30-1527.82] 不会比较差
[1527.82-1537.84] 然后像现在我们的成本端的话
[1537.84-1539.84] 有任何是外币计价的
[1539.92-1541.18] 成本采购吗
[1541.18-1543.58] 有部分
[1543.58-1545.38] 但是大部分还是台币为主
[1545.38-1547.48] 但是部分有些原料
[1547.48-1548.28] 用物料
[1548.28-1549.18] 像是说
[1549.18-1551.78] 比较化学的一些药品
