[0.00-5.64] 歡迎各位投資先進參加愛迪生光電股份有限公司法人說明會
[768.84-771.84] 那其實都是從原件走到模組
[771.84-774.84] 再走到這個終端的這個成品
[774.84-776.84] 那以照明來講其實我們現在
[776.84-781.84] 因為也是這整個這個ESG的這個方向來看
[781.84-785.84] 其實我們大概目前在推這個整個終端成品的這個部分
[785.84-788.84] 也算是比過去幾年來講
[788.84-791.84] 這個力度會比較大
[791.84-794.84] 那車用的部分除了模組之外
[794.84-796.84] 成品的部分以目前來講
[796.84-801.84] 我們出給這個北美這邊的這個霧燈
[801.84-803.84] 目前也是穩定的在出貨
[803.84-805.84] 目前是穩定在出貨
[805.84-808.84] 那當然各位投資先進可能會想了解說
[808.84-812.84] 那這樣子經過了我們過去這個像這兩個月
[812.84-816.84] 包括這個中美這邊的關稅問題也好
[816.84-819.84] 或者是說這個匯率這些問題也好
[819.84-822.84] 那對我們這邊的影響大概會是什麼樣的情況
[822.84-825.84] 其實以這個
[826.84-828.84] 這個關稅的問題來講好了
[828.84-831.84] 因為畢竟關稅這個問題其實它是變化非常大
[831.84-833.84] 那以我們目前我們出給
[833.84-835.84] 如果以這個車用來講
[835.84-837.84] 我們出給北美的這個部分成品
[837.84-839.84] 它算是一個霧燈的成品
[839.84-845.84] 那它算是整台車裡面的一小部分的零配件而已
[845.84-850.84] 那其實它並不是一個所謂的整台車子的最主要的零配件
[850.84-853.84] 所以其實當時候它這個政策剛出來的時候
[853.84-856.84] 其實它曾經就有提到就是說
[856.84-862.84] 其實當今天它只是車子裡面的一些非主要的一個零部件的
[862.84-865.84] 這樣的一個產品其實過到美國去那邊的時候
[865.84-871.84] 它的對它這個關稅的影響其實是並不會直接受到這麼嚴重的影響
[871.84-873.84] 它並沒有因為這樣子
[873.84-878.84] 那其實以我們業務同仁在跟這個中關客戶這邊接觸的
[878.84-880.84] 以及他們也有談過的結果來講
[880.84-883.84] 目前這一塊對我們其實目前是影響很大的
[883.84-885.84] 目前影響很大的
[885.84-889.84] 那其實近期當然這部分我們還是持續的觀察它的整個
[889.84-892.84] 整個實質的關稅的一個變化的情況
[892.84-896.84] 那以目前因為輸到美國去這邊的一個產品
[896.84-901.84] 基本上就是他們都會有一些比較屬於特定的這些
[901.84-904.84] 出口的這個產品的代碼
[904.84-911.84] 才會跟隨著他們所謂說去加重關稅等等這邊的一個議題
[911.84-915.84] 那以目前我們自己在判斷其實會涉及到這些代碼的產品
[915.84-917.84] 並不多
[917.84-919.84] 那其實除了車用之外
[919.84-922.84] 那當然照明我們目前也有出到北美
[922.84-925.84] 不過相對來講相對車用來講
[925.84-929.84] 照明出到北美的一個情況沒有車用這麼的多
[929.84-932.84] 因為以我們照明的客戶來講
[932.84-935.84] 比較多其實是集中在歐洲的市場
[935.84-939.84] 以及在一些像是這個中東的市場這個上面
[939.84-942.84] 那所以其實以照明這邊來講
[942.84-944.84] 我想這個部分的影響對我們來講
[944.84-946.84] 應該是比較有限的
[946.84-952.84] 當然在整個在這個這段時間
[952.84-954.84] 因為匯率其實也升的蠻多
[954.84-956.84] 從過去三月底
[956.84-961.84] 當時候大概都還有在33左右這樣的一個匯率
[961.84-966.84] 那一直到四月底它就已經急升到大概31左右
[966.84-969.84] 那甚至於到五月初那時候曾經都有跑到30
[969.84-971.84] 甚至於29點多
[971.84-973.84] 那當然現在是看起來是比較穩一點
[973.84-975.84] 大概在30上下左右
[975.84-978.84] 那這個部分來講其實對公司來講
[978.84-980.84] 我們的因應之道
[980.84-984.84] 就是我們其實在四月底就是還沒有到
[984.84-986.84] 匯率還沒有大幅升值的時候
[986.84-988.84] 那其實我們分別在台北這邊
[988.84-991.84] 就是不管在愛迪生母公司或者是愛特光電子公司
[991.84-995.84] 我們都有去建立了一些美元負債的部位
[995.84-999.84] 那當然就是有跟銀行有去借了一些美元的一個借款
[999.84-1002.84] 那這個借款當然就是它是一個比較屬於短期
[1002.84-1004.84] 三個月內的借款
[1004.84-1008.84] 那是可以依照公司的情況去做一個提前償還的動作
[1008.84-1010.84] 那當然其實建立這樣的部位
[1010.84-1014.84] 那基本上也是為了要因應就是後續如果台幣升值的時候
[1014.84-1017.84] 至少我們後續收到的貨款
[1017.84-1020.84] 用來償還這個美元的這個借款來講
[1020.84-1024.84] 其實對公司的實質的這個匯損的部分
[1024.84-1026.84] 是可以降低一些
[1026.84-1029.84] 那其實以目前我們自己在看
[1029.84-1031.84] 基本上就是說不可能完全沒有匯損
[1031.84-1032.84] 但是
[1032.84-1037.84] 基本上只要我們做到它的這個美元的部位
[1037.84-1041.84] 比較貼近於可以平衡的一個情形的時候
[1041.84-1045.84] 它至少在匯損這一塊對我們的影響
[1045.84-1048.84] 它是可以實質的下降
[1048.84-1050.84] 那至於關稅的這個部分
[1050.84-1052.84] 我想這個部分以目前來講
[1052.84-1055.84] 我們大部分出到美國的產品
[1055.84-1058.84] 目前幾乎不會從中國大陸直接出到美國
[1058.84-1061.84] 都是會從台灣這邊生產製造
[1061.84-1062.84] 再出到美國
[1062.84-1065.84] 所以這部分我想對後面的一個影響
[1065.84-1069.84] 當然我想應該還是在可控範圍內
[1069.84-1070.84] 在可控範圍內
[1070.84-1075.84] 那以目前公司雖然說在這個中國大陸這邊的一個工廠還是蠻多
[1075.84-1080.84] 那以目前出到歐美歐洲歐洲的市場
[1080.84-1082.84] 目前影響其實是不大的
[1082.84-1084.84] 那以目前如果是出到美國
[1084.84-1085.84] 就如我剛剛所提
[1085.84-1087.84] 從台灣這邊來做一個生產製造
[1087.84-1090.84] 那其他的話再以大就是說這個大陸的製造的話
[1090.84-1092.84] 就是說這個大陸的工廠來講
[1092.84-1095.84] 因為有一些是屬於大陸內銷的市場
[1095.84-1099.84] 那當然這個部分在大陸這邊的一個做一個生產組裝
[1099.84-1101.84] 這個部分就基本上問題就不大
[1101.84-1103.84] 這個問題就不大
[1107.84-1111.84] 那我想就是說後面公司這邊的一個發展
[1111.84-1113.84] 我們還是一樣會除了
[1113.84-1115.84] 如果以車用的這個部分來講
[1115.84-1120.84] 我們其實除了就是說成品必須穩定的一個出貨之外
[1120.84-1123.84] 那其實對於這個客戶
[1123.84-1126.84] 客戶的一個新客戶的開拓
[1126.84-1129.84] 包括是新地區
[1129.84-1132.84] 這邊其實我們目前也都有在著手在進行
[1132.84-1135.84] 那當然照明的部分以目前來講
[1135.84-1139.84] 這個除了既有的一個歐洲的客戶之外
[1139.84-1142.84] 那其實現在台灣的這邊客戶
[1142.84-1145.84] 其實我們也都有做了蠻多的一個佈局
[1145.84-1147.84] 那歐洲的客戶這邊其實
[1147.84-1149.84] 之前公司這邊當然在
[1149.84-1152.84] 也有評估這個設立這個歐洲子公司
[1152.84-1155.84] 那其實當時候我們的一個最大的考量點
[1155.84-1156.84] 就是在於說
[1156.84-1161.84] 後續我們可以逐步的實現到
[1161.84-1164.84] 就是我們可以有部分的這個組裝
[1164.84-1166.84] 是在歐洲這邊來做一個組裝
[1166.84-1170.84] 那當然這個這樣子的一個思維
[1170.84-1173.84] 就是為了要直接可以去
[1173.84-1176.84] 接到當地的客戶的訂單
[1176.84-1178.84] 而且事實上這個產品它是屬於
[1179.84-1183.84] 當地的一個直接生產這樣的一個概念
[1183.84-1185.84] 等於是在地化生產的概念
[1185.84-1187.84] 那所以我們有這樣的一個思維
[1187.84-1191.84] 那以目前來講這個設立歐洲子公司的進度
[1191.84-1194.84] 有比原來稍微晚一些
[1194.84-1196.84] 但是這個部分我們還是會去進行
[1196.84-1199.84] 那晚一些是因為近期的這個外部的環境
[1199.84-1200.84] 變化比較大
[1200.84-1203.84] 那我們當然在做一些比較屬於資金的
[1203.84-1205.84] 一個投資評估的上面
[1205.84-1209.84] 我們還是必須要比較屬於這個
[1209.84-1212.84] 這個謹慎一點這樣的一個思維
[1212.84-1214.84] 大概是這樣子
[1214.84-1216.84] 那之前我們在
[1216.84-1218.84] 我記得我們在上一次的法說會這邊
[1218.84-1219.84] 我們也有提到
[1219.84-1223.84] 我們其實在這個中壢這邊
[1223.84-1225.84] 我們有購買一個新的廠辦
[1225.84-1227.84] 那購買新的廠辦呢
[1227.84-1229.84] 基本上當初會購買這個廠辦
[1229.84-1232.84] 我們最主要的考量點是在於說
[1232.84-1234.84] 第一個就是中美貿易的問題
[1234.84-1237.84] 我們希望把一些在中國大陸原本
[1237.84-1239.84] 設廠組裝的東西
[1239.84-1242.84] 不管是模組或是成品的部分
[1242.84-1246.84] 以往一部分回到台灣這邊來做一個生產
[1246.84-1247.84] 這樣的一個考量
[1247.84-1250.84] 那當然這個部分在以目前來講
[1250.84-1255.84] 因為這個中壢廠目前它還沒有正式的一個完工交屋
[1255.84-1258.84] 那這個交屋時間如果以這個
[1258.84-1262.84] 這個建商那邊所反饋的一個信息來講
[1262.84-1264.84] 看起來應該會稍微推遲一點點
[1264.84-1267.84] 因為他們原本是預期在Q2底
[1267.84-1269.84] 大概六月底
[1269.84-1270.84] 這邊可以交屋
[1270.84-1272.84] 但目前看起來有可能會推遲到Q3
[1272.84-1274.84] 第三個季度左右
[1274.84-1275.84] 所以其實對公司來講
[1275.84-1278.84] 目前我們整個這個建案來講
[1278.84-1283.84] 目前其實大概只支付了15%的一個價款
[1283.84-1286.84] 是按照它的工程進度這邊去做一個支付
[1286.84-1288.84] 目前只支付了15%
[1288.84-1291.84] 所以整體來講必須要等到整個第三個季度
[1291.84-1294.84] 這個完工交屋驗收之後
[1294.84-1297.84] 我想後續的這個廠房的一個規劃佈局
[1297.84-1299.84] 才會再往後推進
[1299.84-1304.84] 那這個部分也順便讓各位投資先進這邊了解一下
[1307.84-1309.84] 那我想
[1309.84-1313.84] 再來我想我還是開放一下這個時間
[1313.84-1318.84] 讓大家想要詢問的一些問題
[1318.84-1321.84] 而且有一些時間可以交流這樣子
[1321.84-1326.84] 那看看各位在場投資先進有沒有什麼其他的一個部分
[1326.84-1327.84] 想要了解的部分
[1327.84-1328.84] 或是我剛剛沒有提到的部分
[1329.84-1331.84] 我再補充一下
[1331.84-1335.84] 就是我記得我上一次在上次法說會的時候
[1335.84-1341.84] 曾經有提到說我們其實在那個傳感原件
[1341.84-1343.84] 就是一些比較屬於不可見光那一塊
[1343.84-1345.84] 我們其實也有做了一些佈局
[1345.84-1347.84] 當然其實這個部分
[1347.84-1351.84] 它如果來自於剛才就是我們的一個簡報來講
[1351.84-1359.84] 就是在於這個合併產品營收最下面傳感原件的5%的這個比重
[1359.84-1364.84] 那這個部分其實我們現在有做的佈局
[1364.84-1369.84] 就是包括說我們其實也針對一些比較屬於像是大功率紅外線的產品
[1369.84-1372.84] 那包括像是這個DTOF的產品
[1372.84-1374.84] 或是ITR或是這個VCELL
[1374.84-1376.84] VCELL這樣的一個產品
[1376.84-1379.84] 那其實這些的產品的一個應用端
[1379.84-1382.84] 它可能會在所謂包括是說在類似上
[1382.84-1385.84] 像是這個醫療的監控
[1385.84-1387.84] 或者是在這個3D的鏡頭這樣的一個概念來講
[1387.84-1388.84] 那其實這些的產品的一個應用端它可能會在所謂包括是說在類似上
[1388.84-1390.84] 這樣的一個概念上面會去應用到
[1390.84-1395.84] 那這個部分其實公司目前有在推展
[1395.84-1401.84] 那只是說它以這個推進的一個時間點
[1401.84-1403.84] 以及就是我們這個團隊來講
[1403.84-1405.84] 我想它需要有點時間
[1405.84-1408.84] 不過這個也是公司目前的一個佈局
[1408.84-1411.84] 那因為以現階段來講
[1411.84-1414.84] 公司除了在這個照明跟車用的產品
[1414.84-1416.84] 計有的這些產品發展上面
[1416.84-1418.84] 那我們也一直在尋求一些
[1418.84-1421.84] 比較不同領域的部分
[1421.84-1423.84] 再做一個發展跟切入
[1423.84-1428.84] 當然這些領域對公司計有的這些人員來講
[1428.84-1431.84] 也許都是一個新的嘗試
[1431.84-1434.84] 所以我們也都會嘗試的從外面去找
[1434.84-1438.84] 尋不同的團隊的這個同仁進來
[1438.84-1441.84] 來做一個這樣的一個不同產品的一個推進
[1441.84-1445.84] 那這個我想是這邊做了一點補充
[1448.84-1451.84] 那我想就是開放一點時間
[1451.84-1454.84] 讓各位這個投資先進這邊
[1454.84-1459.84] 大概看你們有想要再多了解哪一部分的問題
[1459.84-1463.84] 那我這邊可以為大家做一個說明
[1472.84-1477.84] 我想請教一下有兩個問題
[1477.84-1481.84] 一個就是過去公司一年來都有執行庫藏庫的政策
[1481.84-1487.84] 那這一次我看到的就是庫藏庫哪個支號是要給更高
[1487.84-1492.84] 那請問一下我們當然董事會是第一次做這樣的區域
[1492.84-1494.84] 那這一次這些庫藏庫
[1494.84-1498.84] 請問一下你們比較核心的看法是怎麼樣
[1498.84-1504.84] 因為好像也看到今年二Q的狀況
[1504.84-1506.84] 還有剛剛你也有提到
[1506.84-1508.84] 就是烏鵝展身的一些運氣
[1508.84-1510.84] 還有工作障礙的一些運氣
[1510.84-1514.84] 還有隨著我們這個產品線的復建
[1514.84-1516.84] 還有場區的規劃
[1516.84-1522.84] 好像也有在二Q裡面有重新再做一些規劃
[1522.84-1527.84] 那這種產品線就是它的一個體育的話
[1527.84-1529.84] 這種的發展的一個規劃
[1529.84-1533.84] 這樣的一個想法跟規劃大概
[1533.84-1535.84] 大概想法但你們看法大概是什麼
[1535.84-1536.84] 好
[1536.84-1538.84] 那我回答這位投資生的問題
[1538.84-1539.84] 兩個部分
[1539.84-1541.84] 我們先提一下庫藏庫這個部分
[1541.84-1546.84] 庫藏庫其實當然因為我們買回庫藏庫有很多因素
[1546.84-1548.84] 有一個因素是我們在庫藏庫買回
[1548.84-1551.84] 就是維護這個工資信譽股東權益買回來
[1551.84-1552.84] 就直接要註銷掉
[1552.84-1555.84] 那有一種就是買回來我們要轉讓給員工
[1555.84-1558.84] 那當然對於我們這一次有
[1558.84-1561.84] 5月8號董事會我們有通過執行庫藏庫
[1561.84-1565.84] 那這一次通過執行庫藏庫它的目的是要買回轉讓員工
[1565.84-1566.84] 那
[1566.84-1568.84] 轉讓員工的原因是因為
[1568.84-1573.84] 第一個就是說以目前來講我們到第一季3月31號截止
[1573.84-1576.84] 我們的每股淨值是在21點多
[1576.84-1581.84] 那當然以現在的市場價格幾乎是貼近這樣的一個價格
[1581.84-1582.84] 這是第一個
[1582.84-1587.84] 那再來就是說因為庫藏庫目前主管機關已經修訂的法令
[1587.84-1591.84] 就是它轉讓員工的期限可以到5年
[1591.84-1593.84] 過去早期它只有3年
[1593.84-1595.84] 現在可以到5年
[1595.84-1599.84] 5年的意思就是說假設當今天我買回來
[1599.84-1603.84] 我在5年內我可以選擇公司認為適合的時間
[1603.84-1605.84] 我再去做轉讓這樣的一個動作
[1605.84-1608.84] 當然假設到最後5年時間到了
[1608.84-1610.84] 如果公司沒有轉讓的話
[1610.84-1613.84] 當然公司就必須把這個庫藏庫註銷掉
[1613.84-1616.84] 那註銷掉的確也就等同於我就是整個法
[1616.84-1618.84] 法簡直這樣的一個概念
[1618.84-1622.84] 那但是因為我們想要轉讓員工的第一個想法是因為
[1622.84-1625.84] 第一個因為它的時間長達5年
[1625.84-1628.84] 我並不是說現在買了現在馬上就要轉讓員工
[1628.84-1633.84] 那對於公司來講因為5年時間坦白講其實是還算不短
[1633.84-1636.84] 那以公司目前這樣的一個佈局跟規劃跟發展
[1636.84-1638.84] 我們會認為說其實在5年
[1638.84-1641.84] 而且到5年的時間之後
