[0.96-3.64] 这页是免责声明,请大家参阅
[655.06-658.06] 國內的消費信心是有稍微的影響
[658.06-660.06] 那這些其實我們都會考慮進去
[660.06-663.06] 然後下半年會進入我們川島的旺季
[663.06-665.06] 那我們會全力的衝刺
[665.06-666.06] 這個是我們
[667.06-671.06] 今天的法說會的主要內容
[671.06-676.06] 那如果有各位有提任何的問題建議的話
[676.06-680.06] 請在官網上提出
[680.06-683.06] 我們會在官網統一並回覆
[683.06-686.06] 感謝各位今天參與本次法說會
[686.06-688.06] 謝謝
