[0.92-3.58] 各位投资以及媒体先进大家好
[406.78-409.20] 创下了历史新高
[409.20-411.40] 其中云端网路
[411.40-413.54] 电脑终端和元件
[413.54-414.96] 及其他三个产品
[414.96-415.54] 都达到了6.86兆元
[415.56-417.38] 达到了强劲的成长
[417.38-420.00] 在获利性方面
[420.00-422.46] 我们不仅在营业利益
[422.46-423.88] 及税后净利
[423.88-425.88] 创下了历史新高外
[425.88-429.04] EPS11.01元
[429.04-431.90] 也缴出了17年以来
[431.90-433.54] 新高的一个成绩单
[433.54-435.96] 这些都是我们集团同仁
[435.96-438.48] 2024年全年将士用命
[438.48-440.48] 努力打拼的一些成果
[440.48-444.88] 从产品组合的角度来看
[444.88-444.96] 在产品组合的角度来看
[445.56-448.44] 在AI伺服器的强劲成长带动下
[448.44-451.94] 云端网路产品的占比显著提升
[451.94-453.78] 2023年的时候
[453.78-455.64] 只占了22%
[455.64-458.72] 2024年达到了三成的水准
[458.72-460.58] 我们预期今年
[460.58-462.86] 云端网路产品的占比
[462.86-465.82] 将会接近消费智能产品
[465.82-466.94] 很快的
[466.94-469.16] 这个产品将会是
[469.16-471.90] 集团营收占比最大的类别
[471.90-473.66] 接下来
[473.66-475.34] 我来跟大家说明一下
[475.34-475.54] 2024年
[475.56-478.10] 2025年全年的展望
[478.10-481.16] 去年11月法术会的时候
[481.16-481.88] 我们提到
[481.88-485.34] 2025年是一个可以乐观期待的一年
[485.34-487.08] 虽然过去几个月
[487.08-489.00] 美国关税政策
[489.00-490.84] 地缘政治风险
[490.84-493.06] 以及全球货币政策
[493.06-494.54] 都有不小的变化
[494.54-496.66] 我们仍预期今年
[496.66-500.32] 全年会有强劲成长的表现
[500.32-504.12] 首先在消费智能产品
[504.12-505.54] 以目前的能见度来说
[505.56-507.86] 今年的需求相对平稳
[507.86-509.66] 所以我们预期今年的表现
[509.66-511.70] 应该是大致持平
[511.70-513.50] 在云端网路产品
[513.50-515.28] 我们持续感受到
[515.28-518.10] 客户对于AI伺服器的强劲需求
[518.10-520.66] 产品的单价也大幅的提高
[520.66-524.00] 让AI伺服器可以维持强劲的成长
[524.00-525.52] 除了AI以外
[525.52-527.84] 因为客户对于资料处理
[527.84-530.14] 储存等需求的增加
[530.14-532.18] 亦有提高产品的质量
[532.18-533.72] 亦有提高产品的质量
[533.72-535.00] 亦有提高产品的质量
[535.00-539.86] 一般伺服器预计也将有显著成长
[539.86-540.12] 一般伺服器预计也将有显著成长
[540.12-542.42] 网通产品的部分
[542.42-544.48] 随着需求的复苏
[544.48-547.54] 预计将会回到成长的轨道
[547.54-550.62] 以整个云端网路产品来看
[550.62-553.94] 今年将有强劲成长的一个表现
[553.94-558.04] 在电脑终端产品
[558.04-561.62] 2024年因为多个产品线更新
[561.62-563.68] 使得基期较高
[563.68-564.96] 预期这个产品列表会有更多的产品线更新
[565.00-565.76] 使得基期产品线更新
[565.76-566.80] 使得基期产品线更新
[566.80-570.12] 在今年会有略微衰退的情况
[570.12-573.44] 最后在原件以及其他
[573.44-578.32] 我们持续扩大在ICT产品上零组件的供应
[578.32-581.38] 加上电动车业务的持续成长
[581.38-587.78] 预期这个产品类别今年将有强劲的成长
[587.78-591.88] 接着我要来说明一下我们第一季的展望
[591.88-594.96] 整体来看虽然第一季是传统淡季
[594.96-594.98] 整体来看虽然第一季是传统淡季
[595.00-598.84] 但我们预期第一季的季节性表现
[598.84-602.42] 将会优于过去五年的平均水准
[602.42-607.54] 相较于去年同期将会是强劲成长
[607.54-610.62] 以四大产品来看
[610.62-615.48] 消费智能产品第一季因为有新产品的推出
[615.48-619.84] 相较于去年同期将会有显著的成长
[619.84-624.96] 在云端网路产品随着高单价的GB200
[624.96-625.98] 在云端网路产品随着高单价的GB200
[625.98-627.78] 在云端网路产品随着高单价的GB200
[627.78-633.16] 预期将带动这个产品叫上季显著成长
[633.16-635.46] 相较于去年同期则达到了强劲的成长
[635.46-638.78] 相较于去年同期则达到了强劲的成长
[638.78-643.40] 电脑终端产品在第一季同样因为新产品的效益
[643.40-646.20] 相较于去年同期将会有强劲的成长
[646.20-648.26] 相较于去年同期将会有强劲的成长
[648.26-651.32] 在原件以及其他部分
[651.32-654.92] 因为关键零组件和车用产品的产品的增长
[654.92-655.68] 因为关键零组件和车用产品的增长
[655.68-661.02] 第一季也将比去年同期强劲成长
[661.02-661.44] 第一季也将比去年同期强劲成长
[661.44-666.96] 下一个部分我将说明今年鸿海的一些重要发展的主轴
[666.96-667.00] 下一个部分我将说明今年鸿海的一些重要发展的主轴
[667.00-673.90] 鸿海现在的定位是科技制造平台服务供应商
[673.90-680.80] 所以智慧制造、智慧EV、智慧城市这三大智慧平台
[680.80-684.90] 就是我们发展各项技术以及业务的一部分
[684.90-684.92] 就是我们发展各项技术以及业务的一部分
[684.92-686.20] 是一个重要的基础
[686.20-697.44] 这些平台奠基于我们以往所建立的关键零组件、模组、系统、软体等关键能力上
[697.44-700.72] 未来我们会导入更多的深层式AI
[700.72-703.94] 让这些关键能力变得更强大
[703.94-711.96] 我们会结合全球一线的合作伙伴来共同开发
[711.96-714.70] 将深层式AI解决方案
[714.70-720.64] 或是自行开发的大元模型来导入我们三大智慧平台
[720.64-723.66] 除了增进整体营运的效率
[723.66-725.88] 也提升竞争的优势
[725.88-726.92] 举个例来说
[726.92-729.74] 我们正在以AI生产AI
[729.74-734.90] 在日本也已经建制了全自动化的手机组装线
[734.90-739.58] 这是我们在朝向AI化的一个非常好的一个案例
[739.58-744.68] 接下来我会就各项产品一一的来说
[744.70-749.56] 首先在ICT的部分
[749.56-753.38] 这是我们产品组合中很重要的一个基础
[753.38-757.70] 每年都会为公司带来稳定的现金流
[757.70-762.64] 今年消费电子产品与终端产品的需求
[762.64-765.68] 我们预计是大致平稳
[765.68-769.14] 但是在目前的区域政治
[769.14-772.12] 关税等变数较多的情况下
[772.12-774.68] 生产制造端将面临的大幅增长
[774.70-777.00] 也会引发更多的挑战
[777.00-780.98] 需求端也可能会受到一定的影响
[780.98-783.14] 要应对这些变化
[783.14-786.22] 我们会与客户密切的联系
[786.22-791.46] 并运用我们的全球布局来做及时的调整
[791.46-792.34] 长期来看
[792.34-796.72] 我们预期当边缘AI发展的应用逐渐普及
[796.72-801.98] 将会有越来越多个人装置升级的需求
[801.98-803.62] 接下来我要来说明一下
[803.62-804.66] AI伺服器市场的
[804.70-806.18] 一个状况
[806.18-810.78] 2024年大型CSP以及一线的品牌厂
[810.78-815.78] 对于AI伺服器的需求都明显增加
[815.78-821.26] 带动了AI伺服器营收成长超过了150%
[821.26-824.46] 加上一般伺服器需求的回升
[824.46-831.46] 整体伺服器的营收年成长达到了78%
[831.46-834.66] 如同上次法车会所提到的
[834.70-838.26] 2025年就是AI元年
[838.26-843.10] 全球AI的算力基础建设的需求将会持续的增加
[843.10-850.54] 主要CSP厂商今年的资本支出也都将维持强劲的成长
[850.54-851.86] 以第一季来看
[851.86-855.14] 预期AI伺服器营收不论是季对季
[855.14-859.10] 年对年都有百分之百以上的成长
[859.10-864.10] 随着GB200以及下世代的产品进入量产
[864.10-864.58] 我们相信
[864.58-868.90] AI伺服器营收将会一季比一季好
[868.90-871.26] 全年来看
[871.26-874.70] AI伺服器营收将达到兆元的规模
[874.70-879.18] 占整体伺服器比重达50%以上
[879.18-885.98] 我们一直是主要客户重要的新产品共同开发的伙伴
[885.98-889.54] 让我们可以确保我们会参与到下一代
[889.54-892.74] 以及下下一代的产品开发
[892.74-893.98] AI伺服器营收将会一季比一季好
[893.98-896.26] AI伺服器营收将会照彆維持大猛的成长
[896.26-896.98] 他有自己的辅助
[896.98-898.82] jóvenes也会与自己包 weed
[898.82-898.94] 或者是添入什么 grundy
[898.94-900.14] 这科技提供优質attenu
[900.14-922.90] 或者说 situational
[922.90-923.66] 滋味quality
[923.66-923.70] 滋味quality
[923.70-923.84] 挑战
[923.84-923.94] É fazer olmadal
[923.94-931.74] 在这两方面,鸿海都很有优势,让我们在供需两端都扮演了重要的角色。
[933.20-943.72] AI伺服器和ICT产品不同,产品本身的稳定度非常重要,因为AI伺服器训练要花上很长的一段时间。
[943.72-954.80] 在这段时间里,如果有AI伺服器故障,很可能相对的训练必须要重新来过,对训练的时间影响会很大。
[955.70-961.68] 鸿海在这些产品的品质稳定度一直都是处于在业界领先的地位。
[963.04-971.02] 所以,市成市占率是一个保守的目标,我们有信心能够争取到更高的市占率。
[971.64-973.50] 下周我们在GTC。
[973.72-978.76] 将展出最新的AI解决方案,欢迎大家到现场来参观。
[979.94-987.02] 在EV这个事业上,我们持续丰富我们Model C的产品线。
[987.92-994.30] 同时,我们也响应电动巴士国产化的目标,会成为电巴国家队的一员。
[995.34-1003.30] 车载电子终端,包含ADAS,IBI等,我们也已经获得全球客户广泛的采用。
[1003.30-1003.70] 我们也将展出最新的AI解决方案,欢迎大家到现场来参观。
[1003.72-1006.56] 出货量也已经超过了百万套。
[1008.04-1015.72] 大家很关心我们与日本车厂合作案的进度,这部分预计在这一两个月内就会完成签约。
[1016.48-1023.50] 进入下半年,我们预计Model C的北美版以及Model B都将进入量产。
[1024.16-1032.16] 电巴工厂也会在第三季完成认证后,会扩大我们在电动巴士上的出货量。
[1032.16-1040.60] 在电池的部分,我们的合发电池厂按照进度在第一季进入了量产。
[1041.10-1047.18] 我们也会配合国内的客户国产化的目标来供应电巴的电池包。
[1047.78-1061.20] 在软体的布局,我们会持续与中东车厂合作设计和开发电池电器架构,研发智能座舱相关的产品。
[1061.20-1073.20] 另外,我们将会持续研发EV软体生态平台,并搭配AI Agent来打造软体定义汽车的一个新的生态系。
[1073.20-1077.20] 接下来是智慧制造的部分。
[1077.20-1085.20] 我们与BCG合作的创世纪平台专案已经在Manufacturing AI平台上有些成果,
[1085.20-1090.20] 包括了以建AI为基础的智能调餐以及智能排产都已经实行。
[1091.20-1098.20] 并且,我们将将将在上线服务平均都有30%到50%的效能提升。
[1098.20-1109.20] 另外,在智能机器人的应用上,我们将持续开发符合式机器人以及人型机器人在先进自动化技术上的应用,
[1109.20-1115.20] 并同时将我们的生产工厂标准化、虚拟化。
[1115.20-1120.20] 这将更有利于我们加快来导入更多机器人用于活动。
[1121.20-1124.20] 我们将将在我们生产场域的应用中。
[1124.20-1136.20] 最后,我们将会利用Omniverse建制伺服器生产与电巴组装的数位暖身工厂。
[1136.20-1145.20] 我们也将在GTC为各位展示GB200产现虚实整合后的一个运作实况。
[1145.20-1148.20] 接下来是智慧程式的部分。
[1148.20-1150.20] 有关于近期的发展,
[1150.20-1161.20] 我们已经和墨西哥的San Francisco州签订了MOU,展开智慧程式与安全治理等多领域的合作。
[1161.20-1178.20] 在CityGPT的部分,我们也持续扩展策略合作伙伴,包括地方政府的智慧程式方案,以及交通公司在MaaS上的应用服务。
[1178.20-1196.20] 未来,我们也会持续推动海内外市场的一个合作机会,包含了墨西哥和日本等国家,并深入探索不同城市的市民、企业和政府的需求。
[1196.20-1207.20] 另外,铜海也将透过大大小的方式打造顶层的平台,来带领国内软体厂商开发应用服务。
[1207.20-1210.20] 接下来是半导体部分。
[1210.20-1218.20] 半导体在AI Server上的布局陆续开发结果。
[1218.20-1228.20] 电源、功率IC凭借功率效能的成本优势,陆陆续续地已经导入了AI Server的新案。
[1228.20-1234.20] 同步也开始提供客户5纳米先进制程的设计服务。
[1234.20-1245.20] SIC、IGBT的模组也已经获得商用车、电动巴士以及光组应用的4量产订单。
[1245.20-1251.20] 整体而言,半导体业务正稳步推进,符合我们既定的规划。
[1251.20-1263.20] 在低轨通讯卫星的部分,我们看好这块领域在未来5到10年的成长,正在持续的扩展。
[1263.20-1270.20] 我们也希望,在未来5到10年的成长,能够在全球的各国各地的客户,也积极地参与各国主权通讯星系的发展。
[1270.20-1278.20] 持续透过BOL策略以及全球供应链的优势来强化我们6G的布局。
[1278.20-1287.20] 接下来,我们会把在ICT EV领域上所积累的优势带进新太空供应链。
[1287.20-1292.20] 我们的目标是在2030年成为6G主权通讯的优势。
[1293.20-1301.16] 50年后,我们仍在Car neiv 并配合 ambitious已经筹研
[1301.20-1308.20] 欧莱德. 创死一 лучше的 обрат式价格,我们将在5到10年的立场培养就是工程和优势配合,
[1308.20-1317.20] 来展展自己的业绩和实质。
[1317.20-1323.20] 在第1个见底的基时filled构定中,我们将来与以高 ráp和高线分析中的somethingימ systems弃吗,
[1323.20-1326.24] 微星使用者终端的最新的进展
[1326.24-1329.82] 接下来是FIH也首度参加
[1329.82-1332.08] 美国CES消费性电子展
[1332.08-1334.04] 并且展示出一系列
[1334.04-1335.80] 车用电子的解决方案
[1335.80-1337.84] 除此之外
[1337.84-1339.88] 我们也积极地跟合作伙伴
[1339.88-1342.36] 共同来推动创新的技术发展
[1342.36-1344.86] 例如我们在智慧制造方面
[1344.86-1346.92] 我们跟NVIDIA打造
[1346.92-1348.52] 下世代的AI Factory
[1348.52-1350.86] 应用Universe的平台
[1350.86-1352.90] 以Digital Twins来技术
[1352.90-1354.96] 重新定义制造业的未来
[1354.96-1357.54] AI演进的方面
[1357.54-1360.78] 继我们在ULED创下业界
[1360.78-1362.84] 亮度的新记录之后
[1362.84-1364.72] 我们也携手Polotech
[1364.72-1367.60] 进一步将研发成果把它量产化
[1367.60-1371.52] 另外为了能够推动永续的科技
[1371.52-1374.20] 我们与ZetaByte策略合作
[1374.20-1377.76] 来推动高能源效益的AI解决方案
[1377.76-1381.10] 接下来我们也来展示一下
[1381.10-1382.88] 铜海研究院的一个成果
[1382.88-1384.84] 就在这个礼拜
[1384.84-1387.40] 铜海研究院推出了第一版
[1387.40-1391.60] 有推理能力的AI繁体中文大语言模型
[1391.60-1392.76] FastBrain
[1392.76-1396.98] 这个模型训练使用NVIDIA H100的GPU
[1396.98-1399.12] 而且它的训练时间
[1399.12-1401.26] 只花了大概四个礼拜就完成
[1401.26-1403.92] 成本较低也更有效率
[1403.92-1407.60] 未来更计划导入AI大语言模型
[1407.60-1410.50] 强化三大平台的数据分析效率
[1412.88-1415.28] 跟这个阳明交代来合作
[1415.28-1417.28] 突破了空间预算
[1417.28-1420.08] 获得未来科技奖的一个肯定
[1420.08-1422.08] 我们自己的一个研发成果
[1422.08-1425.64] 也分别获得了顶级量子计算研讨会
[1425.64-1430.04] 以及国际知名期刊的发表或刊登
[1430.04-1431.56] 在获奖方面
[1431.56-1433.16] 我们在数位健康领域
[1433.16-1436.44] 得到了国家发明创作奖的一个肯定
[1436.44-1440.20] 在看竞争力100强的评选当中
[1440.20-1442.68] 我们也获得了其他电子业领域的第一名
[1442.68-1448.32] 我们也连续8年获得科瑞维安百大创新机构奖
[1448.32-1452.16] 这也鼓励我们不断的投入研发寻求创新
[1452.16-1457.28] 另外我们在这个月初所举办的第二届
[1457.28-1460.60] TELPGA的高尔夫球赛已经顺利完成
[1460.60-1464.44] 也因为推动这样一个国际等级的赛事
[1464.44-1467.12] 让我们获得了体育推手奖的一个殊荣
[1467.12-1470.08] 在IR Magazine的奖项当中
[1470.08-1472.12] 我们也获得了三项
[1472.12-1475.44] 跟投资人相关的一个大奖
[1475.44-1480.32] 我们在全球推动永续的努力也获得了不少的这个肯定
[1480.32-1486.20] 大陆的郑州园区在日前顺利完成了AWS可持续水管理
[1486.20-1488.76] 最高等级的白金级认证
[1488.76-1493.62] 创下了鸿海集团首座白金级认证园区的一个记录
[1493.62-1496.18] 同时也是全中国大陆
[1496.18-1500.80] 第一家以团体形式取得该认证的企业
[1500.80-1502.08] 最后来跟大家分享
[1502.12-1504.94] 我们全球各厂区的鸿海员工
[1504.94-1507.76] 也在当地投入永续相关的一个工作
[1507.76-1510.32] 那照顾同仁也回馈社会
[1510.32-1511.84] 那在集团内部呢
[1511.84-1514.66] 我们目前也启动了第二届
[1514.66-1516.96] 鸿海富士康的一个永续奖
[1516.96-1520.80] 那今年全球的参赛报名超过1000件
[1520.80-1524.64] 比去年多了三倍达到四倍之多
[1524.64-1530.02] 那也显示全体员工都非常积极的在推动永续的一个工作
[1530.02-1532.08] 那以上就是我们近期一些活动的
[1532.12-1534.94] 一个整理 谢谢
[1534.94-1535.96] 谢谢James
[1535.96-1538.26] 那接下来我们就进入法说会的
[1538.26-1540.56] 第二个阶段问答时间
[1540.56-1542.88] 我们先针对大家会前的提问
[1542.88-1544.40] 会诊跟各位报告
[1544.40-1547.22] 之后就开放自由提问
[1547.22-1549.78] 那第一题想要请董事长说明一下
[1549.78-1554.40] 我们在前面的简报看到今年AI伺服器的收入占比
[1554.40-1556.96] 会增加到至少50%
[1556.96-1561.04] 那请董事长跟大家多分享一些对于今年AI伺服器
[1561.04-1562.08] 供需状况的问题
[1562.12-1565.44] 那我们就先来看看这个关卡 谢谢
[1565.44-1571.60] 好 我看目前的AI伺服器的市况是非常的蓬勃
[1571.60-1575.44] 主要是来自于CSP以及一线品牌商
[1575.44-1579.52] 对于GB机柜的强烈的需求
[1579.52-1585.42] 尤其是应用在云端运算以及高效能数据中心的领域
[1585.42-1592.08] 同时的HGX平台仍然是AI训练与推理市场的一个重要选择之一
[1592.12-1598.52] 这个部分的需求仍然还是很强 还是在
[1598.52-1602.62] 那我们在AI伺服器领域上
[1602.62-1606.96] 我们掌握了研发数位制造的平台
[1606.96-1613.12] 垂直整合 客户关系以及全球布局的这个优势
[1613.12-1618.24] 从大型的CSP到一线的品牌客户呢
[1618.24-1622.08] 涵盖了AI伺服器市场现在最主要的买家
[1622.12-1628.78] 现阶段订单能见度比之前预期来得更好
[1628.78-1633.90] 无论是在目前正在量产爬坡的既有产品
[1633.90-1636.96] 或是新产品 新专案
[1636.96-1641.06] 我们正在投入大量研发资源以及产能
[1641.06-1643.36] 来满足我们客户的需求
[1643.36-1647.20] 随着GB200量产逐步成熟
[1647.20-1651.04] 以及依照目前客户订单的情况
[1651.04-1652.08] 今年AI
[1652.08-1655.16] 伺服器营收将会逐纪往上
[1655.16-1656.18] 我相信
[1656.18-1659.24] 全AI的伺服器营收呢
[1659.24-1662.58] 它的这个会占到我们整体
[1662.58-1666.68] 伺服器肯定会超过五成的
[1666.68-1667.96] 谢谢董事长
[1667.96-1670.76] 那第二题有关这个全球布局
[1670.76-1674.10] 因应整个川普关税政策的变化
[1674.10-1678.70] 请问公司在全球布局的策略上做了哪些调整
[1678.70-1681.78] 未来会有哪些相对应的布局规划
[1681.78-1685.88] 那这一题也麻烦董事长 谢谢
[1685.88-1687.92] 美国呢其实是鸿海
[1687.92-1690.48] 第一个在海外投资的国家
[1690.48-1693.82] 我们从1985年就进入了美国
[1693.82-1698.16] 1988年我们才开始布局中国大陆
[1698.16-1700.22] 1998年我们
[1700.22-1703.28] 其实进入了欧洲进入了英国
[1703.28-1706.86] 另外我们也从2004年
[1706.86-1709.42] 开始进入墨西哥
[1709.42-1711.22] 2006年
[1711.22-1711.74] 开始进入墨西哥
[1711.74-1713.78] 2007年我们开始进入印度
[1713.78-1717.88] 2007年我们开始进入越南
[1717.88-1724.54] 那目前我们在24个国家拥有233个场区
[1724.54-1729.92] 在全球布局上我们累积了相当多的经验
[1729.92-1733.76] 那过去几年呢因为地缘政治以及疫情的关系
[1733.76-1741.18] 供应链的多元布局以及韧性是我们一直在努力打造的
[1741.18-1745.54] 所以我们的资本支出是在2022年到2024年
[1745.54-1748.60] 我们的资本支出合计超过了
[1748.60-1751.42] 3400亿台币
[1751.42-1752.70] 跟以往
[1752.70-1759.10] 再往前三年就是2019年到2021年来相比呢
[1759.10-1762.18] 整整增加了将近五成
[1762.18-1762.94] 从这里
[1762.94-1767.54] 就可以看出来过去几年我们的确在很多区域呢
[1767.54-1768.58] 都做了
[1768.58-1771.14] 产能扩充的准备
[1771.18-1778.60] 那现在虽然有些关税的因素啊需求可能会受到一些影响
[1778.60-1784.50] 但是因为这几年累积的区域的布局相信我们的供应链韧性
[1784.50-1791.40] 也变得比八年前美国总统川普第一个任期的时候要来得更好
[1791.40-1793.96] 呼应
[1793.96-1794.74] 这个
[1794.74-1799.08] 这个川普总统所推动的美国制造呢
[1799.08-1800.36] 我们
[1800.36-1801.14] 复制过往的
[1801.14-1803.96] 我们在全球布局的经验
[1803.96-1805.24] 也积极的
[1805.24-1806.52] 在响应
[1806.52-1810.10] 在美国部件生产据点
[1810.10-1814.20] 我们与客户密切的联系依照他们的需求啊
[1814.20-1815.98] 弹性配合的
[1815.98-1819.32] 调整来调整我们的产能这个部分
[1819.32-1820.60] 我们会等到
[1820.60-1822.64] 计划比较成熟的时候
[1822.64-1825.72] 再跟大家报告
[1825.72-1827.26] 谢谢董事长
[1827.26-1831.10] 接下来是最后一个问题线上若想要提问的朋友
[1831.14-1834.22] 现在可以点选举手符号等候
[1834.22-1836.52] 我们在下一题问答结束之后
[1836.52-1840.62] 将会开放给线上的法人与媒体自由提问
[1840.62-1845.74] 那第3题想要请台湾长说明一下有关毛利率的部分
[1845.74-1849.06] 那因为今年AI伺服器的贡献度增加
[1849.06-1851.88] 想请问对于毛利率的影响
[1851.88-1858.02] 那AI伺服器的规模效益是不是可以让营业利润率有提升的空间
[1858.02-1861.10] 长期来看公司的毛利率或者是营业利润率的影响是什么样的?
[1861.14-1862.68] 营业利润率的目标为何?
[1862.68-1865.24] 谢谢
[1865.24-1866.26] 好
