[0.00-5.92] 好,各位投资先进、分析师朋友、媒体伙伴以及线上的同仁们大家好
[809.72-814.58] 各个终端客人他们在设计MGS产品的时候
[814.58-817.40] 一个非常好的参考
[817.40-819.70] 那麻烦reverse
[819.70-821.24] OK
[821.24-827.12] 那除了讯号传输的部分那加密奇也同步参与了
[827.12-829.68] 电源的传输
[829.68-831.48] 那首先右下角这个产品的
[831.48-835.58] 是由外界交流电连到机柜的
[835.58-838.90] 大电流的一个传输方案
[838.90-841.20] 那我们目前
[841.20-845.82] 在GB300这个生态系里面我们目前获得
[845.82-850.42] 测试认证的是属于60A的一个电流量
[850.42-854.26] 那当然60A绝对
[854.26-857.34] 不会是它的终点
[857.34-861.44] 我们会继续往更大的电流去做一个开发
[861.48-866.60] 那左边呢这个是属于伺服器内部
[866.60-872.24] 由伺服器内部去供电给GPU卡的一个Busbar的系统
[872.24-876.58] 那基本上这是一个高度客制化的
[876.58-878.12] 产品
[878.12-885.04] 那加密奇在GB300开始我们在前期就跟客户紧密的
[885.04-889.12] 合作参与客户的整个系统的设计跟
[889.12-891.44] 讨论我们在这部分目前
[891.48-897.62] 是取得一个相当好的一个领先的位置
[897.62-900.18] 麻烦往下两页
[900.18-901.20] OK
[901.20-907.36] 那这个是加密奇针对PCIe Gen6我们目前已经完成的产品
[907.36-909.14] 那当然首先
[909.14-913.24] 左上角MCIO的部分连接器跟
[913.24-916.32] 线束我们已经同步完成Gen6
[916.32-921.18] 那左下角GenZ的部分因为这个在
[921.18-926.04] OCP鞋垫里面它也是一个非常重要的
[926.04-930.90] 品项我们也同步完成了Gen6的连接器以及线绑
[930.90-931.68] 那
[931.68-935.26] 针对所有的扩充卡需要的
[935.26-939.86] PCIe标准界面的Riser这样子的延长线
[939.86-943.96] 我们也是已经同步完成了Gen6的部分
[943.96-947.80] 那还有在整个
[947.80-951.14] GB的卡类会去大量使用的一个
[951.14-952.94] CAM2的连接器
[952.94-955.50] 这都已经通过客户端的
[955.50-960.36] 验证即将进行量产的供货
[960.36-962.92] 麻烦下一页
[962.92-966.24] 那再来我们除了
[966.24-972.64] 前述之外当然在Multi-Check Gen6的部分也是连接器跟线束
[972.64-974.70] 同步已经完成
[974.70-978.54] 那另外呢就是在
[978.54-980.84] 客户端DPU的部分
[981.14-983.44] 还有一些特殊的连接器
[983.44-987.54] 那我们也是同步已经完成MCIO对
[987.54-992.40] 这个特殊DPU的连接的这样子一个线缆的开发
[992.40-994.20] 那另外在
[994.20-996.24] 背板的应用的部分
[996.24-1000.34] 我们一样以相同的业界合作的模式
[1000.34-1006.22] 我们完成MCIO对背板这样子的一个连接方案
[1006.22-1010.32] 那右上角呢这个是
[1010.32-1011.10] 部分的
[1011.10-1016.98] 大客人他在设计整个Storage的系统的时候
[1016.98-1019.30] 采用的一个新的模式
[1019.30-1023.38] 那我们也是在客户系统设计之初
[1023.38-1028.00] 就他们在刚开始设计系统的时候我们就参与整个
[1028.00-1032.34] 系统的应用开发以及整个元件的准备
[1032.34-1036.18] 这些都即将在今年开花结果
[1036.18-1039.26] 那之前有参加的
[1039.26-1040.28] 各位先进
[1040.28-1041.06] 那当时的这个系统的开发结果是什么样的
[1041.10-1046.74] 那我们在这次就正式把
[1046.74-1052.36] 产品的实品图放上来跟大家一起来分享
[1052.36-1055.18] 下一页
[1055.18-1061.32] 那针对在DNT产品我们高速产品的部分
[1061.32-1063.62] 我们目前
[1063.62-1069.78] 针对整个市场的主流再到PCIE Gen6这个部分
[1069.78-1071.06] 我们已经完成了
[1071.06-1073.88] 全系统的一个升级
[1073.88-1079.50] 那当然在Gen6的这样子的一个传输的部分
[1079.50-1083.34] 那开始会有一些主动式的需求
[1083.34-1086.94] 那我们仍然在与
[1086.94-1092.30] 各个主要的IC厂商进行合作还有整个系统的设计
[1092.30-1095.64] 那当然这部分除了IC厂商之外
[1095.64-1098.96] 我们最重要的还是与我们的客人
[1098.96-1101.02] 紧密的来合作挑选的设计的部分
[1101.06-1105.66] 也适合客人使用的这样的晶片
[1105.66-1108.74] 那在整个市场的需求方面
[1108.74-1111.30] 那如同GTC上面
[1111.30-1112.84] 各位看到的
[1112.84-1116.42] 这整个AI的需求是非常的疯狂
[1116.42-1119.24] 那我们也确实感受到
[1119.24-1121.80] 这样子的一个需求量
[1121.80-1126.92] 那我们针对这样子的需求提升我们
[1126.92-1131.02] 除了本身的产能之外那我们的供应链也整个都
[1131.06-1132.08] 动起来了
[1132.08-1135.92] 针对一些长交期的一些物料我们开始进行
[1135.92-1139.00] 积极的备料
[1139.00-1143.60] 那在加密期高速的传输的部分
[1143.60-1147.96] 我们目前虽然已经完成了GEN6的开发
[1147.96-1151.28] 但是这个角度并不会停下来
[1151.28-1156.40] 我们密切关注PCIE协会的GEN6
[1156.40-1160.24] 以后的发展整个GEN7的规格
[1160.24-1161.02] 那预计的话
[1161.02-1164.86] 应该是今年底或明年初会定案
[1164.86-1169.46] 那这个部分我们会紧随协会的脚步
[1169.46-1172.28] 那当它整个规格定案之后
[1172.28-1174.34] 我们预估会在
[1174.34-1178.42] 2026年的Q4完成整个设计
[1178.42-1184.58] 保持每两年往前进步一个世代的这样一个脚步
[1184.58-1187.38] 那如同刚刚
[1187.38-1188.92] 我们
[1188.92-1190.46] 发言人所提的
[1190.46-1190.98] 我们
[1190.98-1192.78] 针对整个供应链
[1192.78-1195.08] 以及我们整个制造的
[1195.08-1197.90] 韧性都已经有提现的布局
[1197.90-1200.70] 那最下方就提供我们
[1200.70-1204.30] 整个后续产品开发的一个路径图
[1204.30-1206.60] 给各位来做一个参考
[1216.32-1217.10] 嗨各位好
[1217.10-1218.38] 有听到我声音吗
[1218.88-1220.16] 有
[1220.98-1222.00] 你好
[1222.00-1223.80] 因为我人在那个国外
[1223.80-1225.34] 所以那个透过
[1225.34-1226.86] 这个
[1226.86-1229.68] 线上连接方式进来跟各位分享
[1229.68-1230.70] 这个部分
[1230.70-1233.02] 那目前的话在
[1233.02-1234.30] 光领域部分的话
[1234.30-1236.72] 我们从去年下
[1250.98-1256.62] 升高向 Her Counsel
[1256.78-1257.52] 高等者
[1274.76-1275.22] 呃
[1275.72-1276.32] 不知道
[1276.32-1277.26] 但是
[1277.26-1277.86] 她说
[1277.86-1278.88] autumn
[1279.66-1280.42] 没有
[1280.42-1280.94] 未来
[1280.98-1282.98] 請問聽得到我聲音嗎
[1282.98-1284.98] 哈囉
[1288.98-1290.98] 我有聽說聽得很清楚
[1290.98-1292.98] 喔好
[1292.98-1294.98] 那在電信集的部分的話
[1294.98-1296.98] 我們從去年的下半年
[1296.98-1298.98] 到今年的第一季
[1298.98-1300.98] 我們花很長的時間去SPAC IN
[1300.98-1302.98] SPAC WIN這個電信集的客戶
[1302.98-1304.98] 那這個客人是歐洲
[1304.98-1306.98] Tier 1的客人
[1306.98-1308.98] 他是做這個整個歐洲
[1308.98-1310.98] 跟B5G的一個
[1310.98-1312.98] 各國的基礎建設的一個
[1312.98-1314.98] 運營商
[1314.98-1316.98] 所以這個我們去年下半年開始
[1316.98-1318.98] 開始做這個客戶
[1318.98-1320.98] 已經開始有規模性的出貨
[1320.98-1322.98] 那第二個事情是做
[1322.98-1324.98] 這個所謂的
[1324.98-1326.98] GPOM基礎性建設的一個
[1326.98-1328.98] 光收發的模組
[1328.98-1330.98] 打進中歐跟北歐
[1330.98-1332.98] 的市場這樣子
[1332.98-1334.98] 所以去年下半年比較多的東西
[1334.98-1336.98] 還有第一季
[1336.98-1338.98] 比較多是在歐洲這邊的電信
[1338.98-1340.98] 的部分開始做很多的著墨
[1340.98-1342.98] 我們請到下一頁
[1344.98-1346.98] 那在
[1346.98-1348.98] 這個高速傳輸跟數據中心
[1348.98-1350.98] 上面的時候我們來今年
[1350.98-1352.98] 做這個所謂的
[1352.98-1354.98] 1.6T的DR8
[1354.98-1356.98] 這東西比較不一樣的地方是
[1356.98-1358.98] 前面上一頁電信集講到的東西
[1358.98-1360.98] 比較多是所謂的
[1360.98-1362.98] 工業級的產品
[1362.98-1364.98] 那在數據中心
[1364.98-1366.98] 跟AI的時候不管你看到
[1366.98-1368.98] 現在目前
[1368.98-1370.98] NVIDIA最新發表了很多的產品
[1370.98-1372.98] 它是往1.6T走
[1372.98-1374.98] 那這個東西第一個事情是
[1374.98-1376.98] 你需要用所謂大規模的
[1376.98-1378.98] 一個矽光子的
[1378.98-1380.98] 晶片的技術去做整合
[1380.98-1382.98] 那第二個事情是我們也採用
[1382.98-1384.98] 3奈米的
[1384.98-1386.98] DSP的晶片
[1386.98-1388.98] 一起來做研發
[1388.98-1390.98] 所以很適用於AI大規模大數據的
[1390.98-1392.98] 一個傳輸
[1392.98-1394.98] 那這是我簡單的報告 謝謝
[1398.98-1400.98] 謝謝阿米
[1400.98-1402.98] 這次的報告是這麼精彩
[1402.98-1404.98] 我來幫他補充一下銷售段的部分
[1404.98-1406.98] 好大家好
[1406.98-1408.98] 我是NCCI的阿米
[1408.98-1410.98] 那剛剛前面呢我們的
[1410.98-1412.98] 對我們的發言人還有YK
[1412.98-1414.98] 還有Mike都講了
[1414.98-1416.98] 很多AI
[1416.98-1418.98] server的這個部分
[1418.98-1420.98] 那我們董事長也剛從GDC回來
[1420.98-1422.98] 那5月也有我們很
[1422.98-1424.98] 重點的喔這個
[1424.98-1426.98] computax的電腦展
[1426.98-1428.98] 所以我覺得這個部分我們還是以AI的路線來
[1428.98-1430.98] 主軸來跟大家繼續的加碼
[1430.98-1432.98] 做這個
[1432.98-1434.98] 介紹跟內容的升級喔
[1434.98-1436.98] 首先我想要先補充一下下
[1436.98-1438.98] 因為呢剛剛我們YK有提到
[1438.98-1440.98] 我們既有加幣期的產品線
[1440.98-1442.98] 兩年喔不管是從
[1442.98-1444.98] Gen3 Gen4走到現在Gen6
[1444.98-1446.98] 這個我們基礎的Data Center
[1446.98-1448.98] 裡面本來我們都一直有
[1448.98-1450.98] 在這個BRAIL裡面的產品
[1450.98-1452.98] 我們都很著重在
[1452.98-1454.98] 繼續的持續推廣的同時
[1454.98-1456.98] 那剛剛前面我們瑋玲有介紹到
[1456.98-1458.98] 那個ORV3
[1458.98-1460.98] 這個在高速的產品是我們
[1460.98-1462.98] 以往沒有的
[1462.98-1464.98] 所以我覺得大家可以
[1464.98-1466.98] 大電流的產品跟BusBudClip
[1466.98-1468.98] 以及我等一下會稍微再多
[1468.98-1470.98] 追加補充說明的水冷
[1470.98-1472.98] 這幾個產品在我們的
[1472.98-1474.98] OCP架構都已經
[1474.98-1476.98] 得到了認可的同時
[1476.98-1478.98] 那也蠻大一部分的產品
[1478.98-1480.98] 線的供應鏈的這個所謂的
[1480.98-1482.98] 定位喔也讓我們的
[1482.98-1484.98] 很多跟我們很多年的客戶也
[1484.98-1486.98] 我相信他們也都很訝異說
[1486.98-1488.98] 我們的產品線又多了這樣子的
[1488.98-1490.98] 我們有不同的層面的升級
[1490.98-1492.98] 所以我們很加速也醞釀了很久
[1492.98-1494.98] 所以從我們既有的PCIE
[1494.98-1496.98] 既有的MCIO
[1496.98-1498.98] 當然還包含這幾年我們的光
[1498.98-1500.98] 這個孫博士這樣子一路下來的AOC
[1500.98-1502.98] 光模組之外
[1502.98-1504.98] 後面大電流的產品BusBud的產品
[1504.98-1506.98] 包含水冷都是非常技術性的
[1506.98-1508.98] 高單價的這個部分
[1508.98-1510.98] 我們都已經正式卡位了
[1510.98-1512.98] 我覺得這是身為業務
[1512.98-1514.98] 很興奮的事情喔
[1514.98-1516.98] 等於後面的商機的廣泛度
[1516.98-1518.98] 還有就是定位來講
[1518.98-1520.98] 我們可以在國際
[1520.98-1522.98] MVNO啦Bizlink啦
[1522.98-1524.98] 這些好夥伴好客人跟好競爭對手
[1524.98-1526.98] 也可以一起就是在一個平台上
[1526.98-1528.98] 然後我個人是非常開心
[1528.98-1530.98] 因為畢竟就是在這間公司也很久了
[1530.98-1532.98] 然後一路看著這樣子產品的升級
[1532.98-1534.98] 然後更加國際化的結合
[1534.98-1536.98] 然後又把董事長又帶領我們
[1536.98-1538.98] 到另外一個境界
[1538.98-1540.98] 所以在銷售上
[1540.98-1542.98] 我很興奮也很
[1542.98-1544.98] 很熱愛其中的在一起銷售
[1544.98-1546.98] 那因為我們也有負責產品
[1546.98-1548.98] 所以我們也有負責產品
[1548.98-1550.98] 所以SCI的部分
[1550.98-1552.98] 我今天只要講一些些
[1552.98-1554.98] 跟大家反饋一下成功案例的部分就好
[1554.98-1556.98] 那首先我們來講一下
[1556.98-1558.98] 就是工業的部分呢
[1558.98-1560.98] 雖然沒有辦法像AI這麼的爆炸
[1560.98-1562.98] 或者是努力的
[1562.98-1564.98] 有這麼大的明顯的這樣子的
[1564.98-1566.98] 亮眼的成績
[1566.98-1568.98] 但是一步一腳印
[1568.98-1570.98] 紮紮實實的也攻下了
[1570.98-1572.98] 幾個很不錯的品牌的大客人
[1572.98-1574.98] 那特別是我們有做到一個
[1574.98-1576.98] 終端的O系的工業的客人的M系列
[1576.98-1578.98] 也終於最近陸續出貨
[1578.98-1580.98] 花了我們大概兩年半
[1580.98-1582.98] 這個產業真的是要花時間去耕耘的
[1582.98-1584.98] 所以我們還是會
[1584.98-1586.98] 紮紮實實的
[1586.98-1588.98] 很好的去想辦法把它去擴大
[1588.98-1590.98] 好然後第二頁謝謝
[1590.98-1592.98] 這個部分呢
[1592.98-1594.98] 也想要跟大家就是很開心的分享一下
[1594.98-1596.98] 就是說除了工業自動化的部分之外
[1596.98-1598.98] 除了工業自動化的部分之外
[1598.98-1600.98] 我們ES跟ESS
[1600.98-1602.98] EV跟ESS
[1602.98-1604.98] EV的電動車這個部分
[1604.98-1606.98] 我覺得在整體的中國市場來講
[1606.98-1608.98] 當然真的太近了
[1608.98-1610.98] 所以我們也要去做一個
[1610.98-1612.98] 很好的轉型
[1612.98-1614.98] 我們在納豆的這個
[1614.98-1616.98] 這個地方
[1616.98-1618.98] 我們也要去做一個
[1618.98-1620.98] 很好的轉型
[1620.98-1622.98] 所以在很多年前呢
[1622.98-1624.98] 董事長也一直有提醒我們
[1624.98-1626.98] 在農耕機在儲能櫃去做一個
[1626.98-1628.98] 不一樣的轉型
[1628.98-1630.98] 那也很開心就是說我們在儲能櫃
[1630.98-1632.98] 這個右邊這個照片
[1632.98-1634.98] 有那個招財貓等等
[1634.98-1636.98] 就是日本一個很好的一個儲能櫃的
[1636.98-1638.98] Cable跟線數在做整個搭配的
[1638.98-1640.98] Cable跟線數在做整個搭配的
[1640.98-1642.98] 銷售跟擴展
[1642.98-1644.98] 所以這個是我們很
[1644.98-1646.98] 算是根源大概一年多的第一個成功案例
[1646.98-1648.98] 那後面呢我們不僅是
[1648.98-1650.98] Connect Cable
[1650.98-1652.98] 連右方的電能的儲能櫃
[1652.98-1654.98] 也會成為日本的這樣子一個整體的
[1654.98-1656.98] 也會成為日本的這樣子一個整體的
[1656.98-1658.98] 中和銷售來做一個跟日本國內基礎建設
[1658.98-1660.98] 中和銷售來做一個跟日本國內基礎建設
[1660.98-1662.98] 更深層的商業模式的拓展
[1662.98-1664.98] 所以這個部分我也覺得會比電動車
[1664.98-1666.98] 然後還有這個電動車的這個轉型的方式
