[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-32.56] 那各位投资先进大家午安
[269.66-271.36] eben在短期内
[271.36-292.86] 好
[292.86-293.64] 然后到
[293.64-299.20] 有建了一批人力是否这个生产线的一个移转
[299.20-303.12] 所以这一部分也是造成那个费用增加的一个原因
[303.12-308.82] 那随着这个产品移转完了以后
[308.82-312.42] 那这些人事费用就会比较小一点点
[312.42-316.40] 不过对于这种2026的一个新案
[316.40-319.04] 跟2027的一个新产品
[319.04-322.16] 那这部分的那个研发的一个投入
[322.16-324.86] 其实会越来越多
[324.86-326.86] 那因为现在是投入
[326.86-329.78] 那营收还没有呈现
[329.78-332.30] 所以大家会看到那个费用率比较高
[332.30-335.78] 可是随着下半年还有明年
[335.78-337.62] 那个营收上来了以后
[337.62-339.36] 这个费用率就会降低
[339.36-343.50] 那第一季的那个营业利益是1.04亿
[343.50-348.32] 那对比去年是减少了42.22%
[348.32-351.48] 那营业利率是1.18%
[351.48-352.14] 那完全是1.18%
[352.14-352.16] 那完全是1.18%
[352.16-352.46] 那完全是1.18%
[352.46-352.50] 那完全是1.18%
[352.50-352.52] 那完全是1.18%
[352.52-352.58] 那完全是1.18%
[352.58-353.36] 那完全是1.18%
[353.36-353.80] 那完全是1.18%
[353.80-353.90] 那完全是1.18%
[353.90-354.10] 那完全是1.18%
[354.10-354.18] 那完全是1.18%
[354.18-356.82] 那营业利益对比去年减少
[356.82-358.48] 最主要还是来自于
[358.48-361.34] 研发费用的一个投入是比较多的
[361.34-365.44] 那第一季的一个业外的部分
[365.44-368.56] 收益是3.86亿
[368.56-374.48] 那对比去年同期是增加了9.97%
[374.48-377.60] 那增加的一个原因
[377.60-381.38] 是来自于转投资公司的一个利益的增加
[381.38-382.14] 那对比去年同期是增加了9.97%
[382.14-384.04] 那对比去年同期的话
[384.04-386.72] 我们的这些就是
[386.72-389.72] 就是合资场
[389.72-392.32] 包含了我们的苏州美特
[392.32-396.64] 然后还有我们转投资的这个
[396.64-401.02] 就是没有并表的这个惠州厂
[401.02-403.48] 那这些转投资的一个
[403.48-408.90] 收益是比去年同期增加了6,673万
[408.90-411.00] 那这是为什么那个
[411.00-412.12] 那个
[412.12-415.40] 业外收益会增加最主要的一个原因
[415.40-417.86] 那所以呢
[417.86-423.02] 那个归属母公司净利是那个3.53亿
[423.02-427.24] 那第一季的EPS是1.42元
[427.24-431.52] 那是比去年同期减少的0.28元
[431.52-433.54] 那接下来我们看一下
[433.54-437.58] 那个我们主要的一个产品别的一个比重
[437.58-440.90] 那分为耳机扬声器跟其他类
[440.90-441.98] 那这
[442.12-443.68] 耳机里面就包含了
[443.68-448.68] 造式耳机电竞耳机跟那个TWS真无线耳机
[448.68-453.80] 那而扬声器里面包含了这种HiFi的这种音响
[453.80-458.32] 还有动圈式的那个收收发挖气扬声器
[458.32-461.26] 那还有车车用的一个扬声器
[461.26-467.14] 那其他类的话就包含了麦麦克风系列的一些产品
[467.14-468.40] 然后还有电池
[468.40-470.62] 还有医疗的一些产品
[470.62-472.00] 那呃
[472.12-474.12] 在产品类别里面呢
[474.12-475.12] 呃
[475.12-477.96] 对比去年同期
[477.96-484.02] 那耳机是那个呃是是减少的6%
[484.02-488.62] 那最主要是来自于gaming耳机的一个下滑
[488.62-493.24] 那speaker对比去年同期是增加了16%
[493.24-497.36] 那最主要是来自耳机类的NV类的
[497.36-500.28] 还有这种手机用的扬声器
[500.28-502.12] 还有HiFi的这种
[502.12-505.12] 呃音响的一个成长
[505.12-510.12] 那其他类的部分是增加了呃52%
[510.12-515.24] 那这主要是来自于那个麦克风类的成品
[515.24-518.36] 还有这种医疗产品的一个成长
[518.36-519.44] 那所以呢
[519.44-522.92] 呃第一季的那个呃产品的营收比重
[522.92-525.88] 呃耳机是61%
[525.88-529.24] 那呃speaker是30%
[529.24-531.00] 那其他类是9%
[531.00-532.12] 那呃呃是呢
[532.12-533.68] speaker的部分呢
[533.68-539.64] 就从去年的67%减少到66呃61%
[539.64-541.76] 那减少6个百分点
[541.76-547.44] 那最主要是因为呃成长是来自于speaker的业务了
[547.44-548.84] 那所以呢
[548.84-552.36] 那个speaker的这个占比是提升的
[552.36-555.28] 那另外其他类的也是成长的
[555.28-556.08] 所以呢
[556.08-560.16] 造成这个耳机的这个类别是减少的
[560.16-562.12] 那speaker的占比呢
[562.12-566.88] 是从27%增加到30个百分点
[566.88-568.88] 那增加三个百分点
[568.88-573.40] 那呃最主要是speaker增长比较多嘛
[573.40-576.44] 那另外耳机是呃下滑的
[576.44-578.64] 所以这个speaker是增加的
[578.64-583.68] 那其他类的占比也是从呃6个百分点增加到9个百分点
[583.68-586.80] 那最主要的原因也是这个类别
[586.80-590.28] 那对比去年是同期成长的52个百分点
[590.28-594.52] 那可是那个耳机类是下滑6个百分点
[594.52-595.04] 所以呢
[595.04-596.52] 占比提升
[596.52-602.76] 好那接下来我们来看一下这个耳机类的一个呃
[602.76-605.84] 那个子类别的一个状况
[605.84-608.20] 好那对比去年同期
[608.20-610.00] 好那呃
[610.00-612.64] audio的这个耳机呢
[612.64-616.76] 是呃减少的那个6个百分点
[616.76-619.04] 好那呃这里面有这种娱乐用户呢
[619.04-620.04] 呃这里面有这种娱乐用户呢
[620.04-622.20] 就是商用跟商商务用的
[622.20-626.52] 好那商务用的耳机呃是比去年弱一点点
[626.52-633.04] 所以audio耳机减少最主要是这种商用的耳机是比较疲弱
[633.04-641.52] 那可是这种呃肖兆的高阶的这种娱乐性的一个投机还是成长还是蛮稳定的
[641.52-644.28] 那gaming的部分呢
[644.28-649.16] 是呃对比去年同期是减少了29个百分点
[649.16-649.40] 好
[649.40-650.04] 那
[650.04-656.00] ,那最主要的原因是因为呃川普今年呃要上任了
[656.00-657.88] 好那上任之前呢
[657.88-664.84] 那个电竞的客户在去年第四季就有做一些提前拉货的一个动作
[664.84-673.04] 啊所以今年的第一季对比去年的呃第一季才会有比较呃大的一个减少
[673.04-678.20] 那另外tws的部分对比去年是成长33个percent
[678.20-683.60] 那最主要是因为我们有跟去年同期相比
[683.60-685.00] 有一个新的客户
[685.00-690.90] 那另外一个是旧的客户多了一个新的机种
[690.90-697.68] 所以造成我们TWS这个业务对比去年是成长的
[697.68-704.68] 那所以这种机各产品线的销售占比
[704.68-709.50] Audio的部分还是维持在58%
[709.50-713.30] 那Gaming的部分因为刚刚有讲到
[713.30-716.90] 是对比去年是减少29%
[716.90-723.96] 所以Gaming的占比是从27%下降到20%
[723.96-729.44] 那TWS的部分因为成长了33%
[729.44-734.54] 所以它的占比就会从去年的15%增加到
[734.54-734.66] 20%
[734.68-736.84] 到今年的22%
[736.84-742.92] 那接下来我们来看一下Speaker的一个状况
[742.92-747.66] 那对比去年同期Speaker是成长的16%
[747.66-752.72] 那我们把它分为就是手机用的Speaker
[752.72-756.14] 然后还有电脑用的Speaker
[756.14-759.62] 那电脑用的Speaker就包含了桌上型的电脑
[759.62-762.00] 跟笔记型的一个电脑
[762.00-764.00] 然后还有其他类
[764.00-764.54] 那这个Speaker的情况下
[764.54-764.66] 我们来看一下Speaker的情况
[764.68-769.08] 其他类最主要是这种耳机用的扬声器
[769.08-773.40] 还有这种Hi-Fi的这种高传声的一个音响
[773.40-780.06] 那手机的部分对比去年同期是增长的12%
[780.06-788.22] 那因为这个手机用的扬声器就是交这种手机的组装舱
[788.22-793.76] 那客户其实有为了到这种关税的议题
[793.76-793.82] 所以这个手机的扬声器是有关税的议题
[793.82-793.84] 那客户其实有为了到这种关税的议题
[793.84-793.92] 那客户其实有为了到这种关税的议题
[793.92-794.00] 那客户其实有为了到这种关税的议题
[794.00-798.90] 所以低级的部分是有拉比较多的一个货
[798.90-807.40] 所以这种手机的那个扬声器才会成长12%
[807.40-815.34] 那Computer类的部分是对比去年增长的33%
[815.34-821.94] 那最主要是来自于这种笔记型电脑的Speaker出货的一个增加
[821.94-823.86] 那其他类的部分是有拉比较多的一个货
[823.86-828.44] 那这些类的部分是增加了12%
[828.44-832.66] 就刚刚有讲到就是来自于这种耳机用的
[832.66-838.52] 还有这种高传真的一个音响的一个增长
[838.52-841.30] 那所以呢在低级
[841.30-846.28] 我们的那个手机用扬声器的一个占比呢
[846.28-848.52] 是来到了50%
[848.52-852.46] 那电那个Computer的部分是20%
[852.46-853.84] 那其他类的部分呢
[853.86-857.12] 是来到了30%
[857.12-861.66] 那接下来我们看一下这个资产负债表
[861.66-865.64] 那资产负债表
[865.64-873.68] 我们的应收占款天数是比上一个季减少了4天
[873.68-878.44] 那最主要的原因是那个交偿
[878.44-883.30] 这个占领的一个占款是比上一个季度的一个减少
[883.30-883.82] 那
[883.86-887.86] 因为第四季的那个营收都会比较多嘛
[887.86-894.86] 那他第四季的营收在第一季陆陆续续就会把钱收回来
[894.86-897.34] 所以呢营收占款的一个天数呢
[897.34-899.02] 是减少了4天
[899.02-904.02] 那存货周转天数是比上一季度增加了24天
[904.02-906.86] 那因为第二季的那个
[906.86-912.14] 第二季的营收又会比第一季来的好嘛
[912.14-913.80] 那因为第二季
[913.86-914.78] 营收比较好
[914.78-916.48] 那就会要备料
[916.48-918.22] 那备料的话
[918.22-920.34] 那个存货就会比较多
[920.34-927.64] 啊所以在第一季的那个存货周转天数就又会比上上一个季度增加24天
[927.64-933.50] 那应付暂缓的一个天数是比上一个季度增加29天
[933.50-935.20] 好那因为要备货
[935.20-943.84] 那所以呢我们那个呃给那个供应商的一个天天天天数又就是比较长的一天
[943.86-945.86] 那所以呢
[945.86-947.44] 这种就是
[947.44-954.44] 就是常付款天气的一个供应商的一个占比提升
[954.44-954.86] 所以呢
[954.86-959.16] 应付账款的一个天数就比上一个季度增加
[959.16-960.64] 那所以呢
[960.64-967.12] 整个CCC就是现金走转天数是比上一个季度减少9天
[967.12-968.30] 好
[968.30-973.28] 那在主要的流动资产方面呢
[973.28-978.88] 就是现金人员当现金是来到109.17亿
[978.88-983.12] 那应收账款的部分是81.75亿
[983.12-988.16] 那存货的部分是57.32亿
[988.16-995.14] 那流动负债的部分是那个
[995.14-1000.98] 比上一个季度增加到15.55亿
[1000.98-1003.28] 那这主要的原因是因为
[1003.28-1006.18] 我们的那个董事会有决议
[1006.18-1009.70] 要那个发放2024年的鼓励嘛
[1009.70-1010.58] 那所以呢
[1010.58-1016.58] 这个流动负债里面因为有应付鼓励的一个增加
[1016.58-1017.06] 所以呢
[1017.06-1021.84] 流动负债是比较那个比上一个季度来的多
[1021.84-1025.18] 那接下来我们看现金流量的部分
[1025.18-1027.70] 那本季度呢
[1027.70-1031.54] 那个营业活动的一个现金流入是28
[1031.54-1032.94] 26
[1033.28-1035.52] 26.8
[1035.52-1039.72] 营业活动的现金流入是28.81亿
[1039.72-1048.84] 那资本支出的部分是22亿8800
[1048.84-1050.74] 那个
[1050.74-1055.68] 资本支出是1.98亿
[1055.68-1061.24] 那1.98亿最主要的原因是因为
[1061.24-1062.64] 我们现在不是
[1062.64-1063.14] 在
[1063.14-1066.58] 把产能往那个越南跟那个呃
[1066.58-1068.20] 泰国那边以吗
[1068.20-1074.00] 那泰国有一个那个呃二厂的一起工程
[1074.00-1074.24] 哦
[1074.24-1076.74] 那正在那个新建
[1076.74-1082.20] 那这个呃二厂一起的那个呃这个厂房
[1082.20-1085.58] 大家现在大概已经盖的差不多
[1085.58-1089.48] 然后正在进行那个呃装装修
[1089.48-1093.14] 然后后续机机设备会开始进铸
[1093.14-1099.38] 那我们预计大概在第四季的时候可以加入生产
[1099.38-1100.90] 啊所以呢呃
[1100.90-1105.30] 这现在就会有一些呃呃厂房后
[1105.30-1108.70] 然后还有设备的一些资本支出
[1108.70-1111.58] 那另外一个就是呃越南
[1111.58-1116.24] 那他厂房其实都都都是早就盖好的
[1116.24-1117.08] 那可是呢
[1117.08-1120.98] 因为呃有一些那个机种陆续移过去
[1120.98-1123.14] 那所以呢会有一些设备的
[1123.14-1124.38] 一个投入
[1124.38-1130.44] 那所以呢才会有呃1 1.98亿的这样的一个资本支出
[1130.44-1134.90] 那所以呢本期的一个自由现金流量是呃
[1134.90-1137.64] 流入是26.83亿
[1138.54-1141.18] 哦那呃
[1141.18-1144.38] 接下来就是呃跟大家报告一下
[1144.38-1147.14] 好就是我们呃
[1147.14-1152.10] 4月24号就是董事会公告第一季的一个财报了吗
[1152.10-1152.58] 好
[1152.58-1158.82] 那所以我们下一次比较重大的一个呃时间时间点是5月26号
[1158.82-1159.02] 好
[1159.02-1163.14] 那我们会召开我们的那个呃股东商会
[1163.14-1166.22] 那在7月24号的时候
[1166.22-1170.04] 那我们会公告我们第二季的一个财财报
[1170.04-1172.68] 那呃顺便也跟大家报告一下
[1172.68-1176.78] 就是呃公司现在在esg的一些作为
[1176.78-1177.02] 好
[1177.02-1182.48] 那我们在呃去就是呃去年底到现在
[1182.58-1187.58] 我们大概的话我们大概也是呃拿到了msci esg rating
[1187.58-1190.22] 的那个a这样的一个平等
[1190.22-1196.82] 好那我们也是那个呃获选这个呃上市公司
[1196.82-1201.22] 好那大那个呃公司治理评鉴的5%
[1201.22-1205.14] 好那呃我们也获选了那个道琼
[1205.14-1209.22] 呃标标准普尔的全球永续年鉴
[1209.22-1210.58] 好那我们在呃今年也通过了呃呃公司的评鉴的5%
[1210.58-1211.38] 好那我们也是那个呃获选这个呃公司的评鉴的5%
[1211.38-1212.42] 好那我们也是那个呃公司的评鉴的5%
[1212.42-1214.06] 这个sbti
[1214.06-1219.58] 哦科学基础检测倡议的目标的一个呃审审核
[1219.58-1225.76] 那这个是呃一些公司的一些esg的一个作作为
[1225.76-1230.86] 好那以上是呃第一季的一个概况
[1230.86-1237.38] 那接下来大概跟各位呃讲一下呃第二季的一个展望
[1237.38-1240.82] 还有最近一些关税的一个问题
[1240.82-1241.76] 那公司
[1241.76-1242.42] 公司的
[1242.42-1244.22] 有些呃策略
[1244.22-1251.42] 好那呃第二季的那个呃营收yoy是成长的
[1251.42-1255.32] 好那呃在类别部分呢
[1255.32-1258.58] 呃基是叫去年同期增长
[1258.58-1265.78] 好那因为呃这个对等关税呃4月9号开始暂缓90天嘛
[1265.78-1270.32] 好所以整个客户的需求是大幅的一个增加
[1270.32-1272.38] 好那大家都希望在
[1272.38-1277.42] 这这这90天内然后能够极大化产能
[1277.42-1279.38] 产能极大化出出货
[1279.38-1284.58] 好那所以呢那个呃这个呃就是
[1284.58-1286.78] 大家都非常的忙碌
[1286.78-1288.78] 好那呃各个类别
[1288.78-1290.88] 好不管audio gaming
[1290.88-1295.38] 或者是tws的耳机都比去年同期增加
[1295.38-1299.78] 那扬声器的部分就会比去年同期衰退
[1299.78-1302.24] 好那最主要的一个原因是呢
[1302.38-1304.08] 就是刚刚有讲的
[1304.08-1306.78] 就是手机的扬声器呢
[1306.78-1311.38] 客户在那个第一季他就有一些提前的一个拉拉货
[1311.38-1316.38] 所以在呃呃speaker这个这个类别里面
[1316.38-1320.32] 除了这种电脑用的扬声器是成长以外
[1320.32-1324.28] 那其他的扬声器都比去年同期来的衰退
[1324.28-1327.82] 好那麦克风也会比去年同期增长
[1327.82-1330.88] 好那因为呃对比去年同期
[1330.88-1332.22] 我们有那个
[1332.38-1334.18] 那产品线的一个加入
[1334.18-1340.08] 就是那种直播的麦克风跟领夹式的一个麦克风的成品的一个加入
[1340.08-1342.88] 那电池的部分呢
[1342.88-1345.78] 呃因为他有他
[1345.78-1349.98] 之前大概是在越南跟呃中国生产了
[1349.98-1353.48] 那中国因为现在有关税的问问问题
[1353.48-1358.48] 所以呢那个呃一些需求就放放反调
[1358.48-1359.88] 就是没有办法出货
[1359.88-1361.68] 那么高的关税
[1361.68-1368.38] 那越南的那个部分是否这种呃手机推出了以后
[1368.38-1370.48] 然后他的一些配件啊
[1370.48-1373.78] 所以他的旺季都会是在下半年啊
[1373.78-1378.34] 所以呢第二季的部分对比去年会同期是衰退的
[1378.34-1382.02] 那呃其他类的部分呢
[1382.02-1387.28] 呃助听器的一个产品会比那个去年同期增长
[1387.28-1391.58] 那因为呃这种OTC的一个呃助听器的
[1391.68-1392.88] 一个市场发酵
[1392.88-1393.08] 好
[1393.08-1395.88] 那现在ODM的一个需求增加
[1395.88-1402.38] 所以呢呃那个助听器的业务其实成长的成长的还还不错
[1402.38-1402.78] 嗯
[1402.78-1405.38] 所以呃overall来讲
[1405.98-1409.82] 第二季整个公司的那个呃呃
[1409.82-1413.98] 营收都会对比去年同期来的一个增增加
[1413.98-1414.18] 好
[1414.18-1416.58] 那增加的幅度应该也不少了
[1416.58-1416.82] 好
[1416.82-1418.38] 那呃也会比那个第一季度来来的增加许多的
[1418.38-1419.38] 那也会比那个第一季度来来的增加许多的
[1419.38-1421.38] 那也会比那个第一季度来来的增加许多的
[1421.38-1422.28] 那也会比那个第一季度来来的增加许多的
[1422.28-1423.38] 那呃
[1423.38-1424.88] 呃
[1424.88-1426.48] 类别部分呢
[1426.48-1431.68] 除了这种扬声器跟呃电电池
[1431.68-1435.98] 这两个产品线是比那个去年同期衰退以外
[1435.98-1440.18] 那其他的产品线都会比去年同期来的好
[1440.18-1440.38] 好
[1440.38-1442.28] 那呃所以呢
[1442.28-1447.88] 因为呃4月2号这个对等关税出来了以后
[1447.88-1451.08] 那4月9号现在暂缓了90天嘛
[1451.08-1451.38] 好
[1451.38-1455.72] 那所以公司部分有一些就是应应
[1455.72-1463.22] 那呃我们现在看到的就是90这90天里面的那个订单的需求会大增
[1463.22-1463.44] 好
[1463.44-1469.84] 所以我们现在就是确保那个呃第二季的一个增额的订单的一个出货
[1469.88-1474.12] 所以第二季的展望其实满满正向的
[1474.12-1480.38] 那再来的话就是呃客户要求的这个海外的一个产能的货品呢
[1480.38-1481.38] 那再来的话就是呃客户要求的这个海外的一个产能的货品呢
[1481.38-1485.36] 一个确保所以我们在泰国二厂的部分
[1485.36-1487.96] 我们需要在第四季的时候
[1487.96-1491.28] 那去及时的着陆引运
[1491.28-1495.70] 那去提升我们海外产能的一个比重
[1495.70-1506.14] 那再来的话就是我们在有一个新的一个收购案
[1506.14-1510.44] 那收购日本的一家公司MWH Holding
[1510.44-1514.48] 那这个是否日本的一个大客户
[1514.48-1520.10] 还有我们的一些就是就是In-house
[1520.10-1526.64] 就是垂直整合的这样的一个供货的一个提升
[1526.64-1533.38] 所以我们在第二季到下半年
[1533.38-1536.56] 我们会投入比较多的一个资源
[1536.56-1539.84] 去做这个新的一个案子
[1539.84-1540.28] 好
[1540.28-1540.42] 那在这个新的一个案子
[1540.42-1545.18] 那以上大概就是跟各位报告一个第二季的一个状况
[1545.18-1549.88] 还有我们现在在做为今年做的一些准备
[1549.88-1554.28] 那当然大家会问我说那下半年怎么样
[1554.28-1558.22] 那下半年其实现在没有人看得懂
[1558.22-1565.04] 那客户的需求都没有做什么样的太大的一个调整
[1565.04-1568.68] 那现在就是等美国政府那边
[1568.68-1570.26] 那对于各个国家的需求
[1570.26-1573.20] 各国的一些关税的一个谈判
[1573.20-1575.72] 然后看结果是怎么样
[1575.72-1579.70] 那我们客户那边会有一些因应
[1579.70-1583.66] 那我们也会随时掌握这种
[1583.66-1587.22] 这种就是关税的状况
[1587.22-1590.00] 还有市场的一个反馈
[1590.00-1593.24] 那去做一些快速的一个变化
[1593.24-1598.44] 那以上是今天的一个报告
[1598.44-1600.10] 那接下来的时间
[1600.10-1603.94] 就留给大家看大家有什么样的问题要问的
[1603.94-1608.22] 好 非常谢谢黄总裁的分享
[1608.22-1610.86] 那接下来我们就进行Q&A间交流时间
[1610.86-1612.60] 欢迎身上的多次先进入
[1612.60-1614.68] 如果有问题都可以开启麦克风做提问
[1614.68-1616.84] 或是也可以将问题打在聊天室
[1616.84-1617.66] 谢谢
[1617.66-1622.92] 多次先进想要使用外部机设备的规格
[1622.92-1625.92] 会随着新机会出入其提升吗
[1625.92-1628.54] 去这个问题每年
[1628.54-1630.08] 每年都会有一个提升
[1630.10-1635.34] 投资人都会问就是新的手机用的扬声器
[1635.34-1640.34] 它的那个规格有没有做什么样的一个提升
[1640.34-1643.94] 那基本上我应该这样讲
[1643.94-1648.82] 就是说每年的那个手机用的扬声器
[1648.82-1654.70] 它都有在improve它的一些
[1654.70-1658.34] 那个这种能力
[1658.34-1660.10] 所谓的能力可能是
[1660.10-1664.70] 如果你那个体积变小的话
[1664.70-1669.58] 那可是你的那个声音要一样大声
[1669.58-1673.86] 然后呢再来的话你要能够不失真
[1673.86-1677.38] 那或者是你的这种耐高温
[1677.38-1683.34] 或者是耐低温的那个时间可以更好
[1683.34-1687.42] 所以呢都会做这些的那个improve
[1687.42-1689.98] 不过大家应该比较关心的是说
[1690.10-1694.70] 那它的价格是不是会有大幅度的那个提升
[1694.70-1695.74] 其实不会
[1695.74-1701.50] 就是说它只是一些就是制程的一些改善
[1701.50-1705.38] 那或者是这种功能的improve
[1705.38-1710.90] 可是它确实就是一个新的一个机种
[1710.90-1711.70] 那以上
[1711.70-1718.42] 另外投资先进想要询问第二季单季费用怎么评估
[1718.42-1720.98] 因为RD需要维持高档
[1720.98-1723.02] 部分一次性费用会下降
[1723.02-1731.22] 我觉得就是每季的那个费用其实会差不多啦
[1731.22-1738.70] 我们现在的RD的费用的投入都是佛心案子
[1738.70-1742.74] 所以大家不要担心说看到我的RD费用很多
[1742.74-1745.50] 我RD费用多表示我有很多案子
[1745.50-1747.90] 因为我们这些RD费用
[1748.42-1753.70] 它少是花在这种很前瞻的那种研发
[1753.70-1758.14] 我们的RD费用都是否就是接案
[1758.14-1766.02] 然后还有做这个量产值钱市场的这种MPI
[1766.02-1771.98] 那所以呢我们现在的那个那个费用呢
[1771.98-1774.54] 我觉得每一季应该差异性不大
[1774.54-1776.94] 除非我的营收比较多的话
[1776.94-1778.10] 那我的那个
[1778.42-1779.98] 获利比较好
[1779.98-1781.94] 我的费用就会再增加一些
[1781.94-1784.30] 或者是我的营收比较高
[1784.30-1788.98] 我的那个销货的一个费用就会再增加一些
[1788.98-1790.70] 那RD费用是这样子
[1790.70-1794.94] 因为川普的这个对等关税
[1794.94-1796.06] 出来了以后
[1796.06-1806.10] 那其实我们就有开始在做这种就是减少非立即性的这种
[1806.10-1808.26] 那个
[1808.42-1809.90] 呃支出的管控了
[1809.90-1810.14] 好
[1810.14-1814.98] 所以包含的这个呃成本的一个降低费用的一个节约
[1814.98-1816.14] 这个我们都在做
[1816.14-1816.86] 所以呢
[1816.86-1820.54] 也就是非必要的这个人力的一个招募
[1820.54-1823.14] 我们已经暂暂停的
[1823.14-1823.42] 好
[1823.42-1827.42] 那这个暂停并不代表就是呃
[1827.42-1828.90] 可没有新的案子
[1828.90-1834.58] 因为我们预期如果说这个呃市场是比较不明的
[1834.58-1838.02] 那我们觉得客户有一些呃
[1838.02-1841.54] 新的开案有可能就会先暂停
[1841.54-1843.82] 或者他已经开案的
[1843.82-1849.18] 那他可能会去做一个延后的这样的一个呃
[1849.18-1853.34] 让取的一个状状况
[1853.34-1857.50] 那另外投资先进想要询问目前中国产能有多大
[1857.50-1862.06] 那公司出货美国的营收比重大概是多少
[1862.06-1867.98] 呃我们中国的产能现在大概占了我们
[1868.02-1871.46] 大概接近70个percent
[1871.46-1877.50] 那呃这个部分到了那个呃年底的部分呢
[1877.50-1885.98] 应该中国的产能会下降到接近应该是六成以下
[1885.98-1894.66] 那因为呃我们的那个呃就是泰国跟越南的一些新的案案子
[1894.66-1894.90] 好
[1894.90-1897.98] 那或者是从中国移转过来的
[1898.02-1899.18] 那这个案子呢
[1899.18-1901.10] 一直一直在增增加
[1901.10-1903.94] 那下半年又是忘忘忘记啊
[1903.94-1907.02] 所以那个现在大概是3比7
[1907.02-1908.18] 哦就是海外山
[1908.18-1909.34] 然后中国期
[1909.34-1913.42] 那到了那个下半年来看的话
[1913.42-1917.98] 那应该呃海外场应该会增加到4成以上
[1917.98-1922.94] 那中国应该会下降到66成以下
[1922.94-1928.02] 那我们现在出货到美美国的一个比重
[1928.02-1931.62] 大概是在三成左右
[1931.62-1933.18] 那呃我补充一下
[1933.18-1935.54] 我就说大家可能会觉得哎
[1935.54-1938.34] 那你出美国三成
[1938.34-1940.86] 那是不是你的那个营收
[1940.86-1942.78] 这三成现在都暂停
[1942.78-1943.86] 其实不是这样子啊
[1943.86-1946.86] 因为我们有泰国的工厂
[1946.86-1948.82] 有越南的工工厂
[1948.82-1952.70] 那其实关税这个问题也不是现在才开始
[1952.70-1957.54] 所以呃很多客人在之前就已经把这种
[1957.54-1957.82] 要
[1958.02-1962.26] 交美国的这样的一个呃机种呢
[1962.26-1968.78] 其实都已经移到那个呃中国跟呃移到越南跟泰国了
[1968.78-1971.94] 所以我们现在的中国的产能
