[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-35.20] 感谢大家百忙之中来参加本公司2025年上半年的一个法说会
[227.92-230.74] 我们基本上有配合上减产减销的一个程度
[230.74-231.46] 好
[231.46-231.96] 所以呢
[231.96-237.36] 在营业损失上面有比去年收敛了大概2500万
[237.36-238.32] 那我们在去年Q3有做一个计算的过程之后呢
[238.32-238.36] 我们在去年Q3有做一个计算的过程之后呢
[238.36-238.56] 我们在去年Q3有做一个计算的过程之后呢
[238.56-238.76] 我们在去年Q3有做一个计算的过程之后呢
[238.76-240.04] 在去年Q3有做一个
[240.04-240.80] 抱歉
[240.80-242.12] 资产的活化
[242.12-244.04] 我们处分了闲置的厂房
[244.04-247.36] 所以在业外方面的收入有增加一点酸益
[247.36-251.88] 那所以目前的话税前的净损是4600万左右
[251.88-254.28] 那跟去年2023年相比的话
[254.28-258.08] 大概收敛了超呃大约80%
[258.08-260.56] 那但是由于那个子母公司间
[260.56-261.72] 这个
[261.72-266.80] 呃损益归属的一个呃财务的规则的缘故
[266.80-267.36] 好
[267.36-268.58] 所以我们2024年的EPR
[268.58-268.64] 所以我们2024年的EPR
[268.64-271.84] 还是属于是负的1.94
[271.84-276.76] 那比起2023年的负2.91是有一个比较明显的一个
[276.76-278.16] 一个进步啦
[278.16-282.96] 那我们再看到2025年Q1的营收的话
[282.96-285.28] 大约是在2.3亿
[285.28-287.12] 那毛利是8%
[287.12-289.96] 那这个毛利相较于2024年跟2023年的话
[289.96-292.92] 大概都有4%的一个增长
[292.92-298.46] 那呃主要的原因是因为销售税的调整产生效益
[298.46-302.02] 那我们在今年Q1针对呃没有效益的订单
[302.02-302.22] 好
[302.22-303.90] 做了一些大幅度的一个限制
[303.90-304.54] 好
[304.54-305.70] 我们设定了一些
[305.70-308.02] 我们设定一个边际效益的目标
[308.02-308.34] 好
[308.34-310.30] 针对低于边际效益的订单呢
[310.30-311.70] 我们做出了限制
[311.70-314.14] 甚至于停止结单的这样的一个决策
[314.14-315.14] 好
[315.14-318.58] 那这个策略的成果会在今年开始会逐渐发酵
[318.58-319.70] 好
[319.70-323.78] 那Q1目前的EPS是负的0.48
[323.78-326.22] 相较去年同期是0.6
[326.22-327.46] 已稍有收敛
[327.46-327.58] 好
[327.58-327.60] 那我们在今年Q1的成果会在今年开始会逐渐发酵
[327.60-327.82] 好
[327.82-330.30] 那我们接下来的状况
[330.30-332.52] 我们认为是还是会比较渐入加紧
[332.52-332.82] 好
[332.82-334.30] OK
[334.30-336.14] 这个是综合损益的部分
[336.14-339.86] 那在BS的状况呢
[339.86-341.10] 跟呃
[341.10-342.90] 基本上是变化不大
[342.90-346.84] 那2024年的负债比有稍微下调了大概2%
[346.84-349.22] 其余的部分呃差异不大
[349.22-352.58] 那如果看到多期的话
[352.58-355.08] 我们可以看到2024年的一个整个综合表现
[355.08-356.84] 还是比2023年好上许多了
[356.84-356.96] 好
[356.96-360.20] 那目前呃在2025年的开局
[360.20-361.84] 我们看起来是算开的不错
[361.84-362.20] 好
[362.20-366.44] 我们对后续的一个发展还是算是呃深具信心
[366.44-368.28] OK
[368.28-371.76] 那我们接下来说明一下那个产品销售组合的部分
[371.76-372.00] 好
[372.00-376.64] 那从先从产品别来看的话
[376.64-379.64] 我们可以看到我们2024年的太阳能二集体的占比
[379.64-379.84] 好
[379.84-382.04] 从2023年的三成七
[382.04-382.28] 好
[382.28-383.68] 也降到大概两成五
[383.68-384.80] 那2025年的Q1更降到两成五
[384.80-384.84] 那2025年的Q1更降到两成五
[384.84-384.86] 那2025年的Q1更降到两成五
[384.86-384.96] 那2025年的Q1更降到两成五
[384.96-385.04] 那2025年的Q1更降到两成五
[385.04-385.08] 那2025年的Q1更降到两成五
[385.08-387.90] 那2025年的Q1更降到两成五
[387.90-392.36] 这个就是我刚刚先前有提到我们说的一个减产减销的一个结果
[392.36-393.40] 好
[393.40-399.36] 那调整的话目前占比是在二零呃由2023年的四十二%增加到
[399.36-401.40] 2024年的四七点五%
[401.40-401.64] 好
[401.64-404.76] 再到今年的话Q1已经有突破一半了
[404.76-405.00] 好
[405.00-405.64] 突破五成了
[405.64-408.84] 我们是在我落在五四点六
[408.84-409.20] 啊
[409.20-411.60] 那调整的应用应该应用领域相对比较广
[411.60-411.84] 好
[411.84-414.04] 受产业限制的影响比较小
[414.04-415.04] 好
[415.08-421.52] 他其实在我们这个光伏产业也就是太阳能产业在崛起之前一直是呃我们HOR的一个主力产品
[421.52-425.64] 那所以我们看起来这个目前这样的分配是相对比较健康的
[425.64-426.96] 嗯
[426.96-429.64] 那这两年我一直有提到啊那个保护元件
[429.64-430.12] 好
[430.12-434.48] 在2024年的销售呃占比接近三趴
[434.48-435.28] 好
[435.28-437.44] 那到今年的Q已经突破三了
[437.44-437.60] 好
[437.60-439.68] 已经来来来到三点三左右
[439.68-442.16] 目前这个系列的产品的利润好
[442.16-444.36] 表现是比较卓主的啊
[444.36-444.96] 算是我们光伏产业的一个主力产品了啊
[444.96-445.08] 嗯
[445.08-446.08] 光伏产业的一个主力产品了啊
[446.08-447.28] 那所以我们看起来这个光伏产业的一个主力产品是一般是近期的一个明星产品
[447.28-450.88] 后续推展的力度呢会相对在持续的增大一些
[450.88-456.96] 那呃小序号跟一般二级体产品群的呃状况比较平稳
[456.96-459.88] 那利润表现还OK
[459.88-462.28] 他是属于一种细水长流型的产品
[462.28-462.48] 好
[462.48-463.40] 应用面比较广
[463.40-465.96] 一样是受产业限制的风险比较低
[465.96-466.40] 好
[466.40-468.84] 那整体占比在接近两成左右
[468.84-471.28] 这我在我们看起来也是一个比较健康的比重
[471.28-471.64] 好
[471.64-477.24] 后续会再着重一些高自动化的贴片型的产品的二级体来做推展
[477.24-477.52] 好
[477.52-479.08] OK
[479.08-480.48] 这是产品面的部分
[480.48-486.64] 那我们再看一下销售地区别的话呃看起来呃中国还是最大
[486.64-489.32] 那但是占比有在逐渐的降低
[489.32-494.20] 那在2023年呃已经有到8成5是属于在中国大中国区
[494.20-494.40] 好
[494.40-495.88] 那到2024年的话
[495.88-498.52] 在70.6左右
[498.52-501.52] 那到了2025年的QE有降
[501.52-503.32] 降呃降低于7成
[503.32-503.56] 好
[503.56-505.88] 那东亚的比重有逐渐增加
[505.88-506.52] 特别是越南
[506.52-506.64] 好
[506.64-509.28] 目前大概接近在10到11%左右
[509.28-512.88] 那台湾跟印度的占比也有些会增加
[512.88-513.16] 好
[513.16-516.20] 目前落在11%跟3.5%
[516.20-516.44] 好
[516.44-518.32] 那目前看起来的话
[518.32-524.60] 台湾跟印度会是呃弘扬现在接下来会比较集中攻略的一个地区
[524.60-524.84] 好
[524.84-531.40] 那这样的分配就是有分散一些过度集中中国的一个呃一个一个方向
[531.40-531.48] 啊
[531.48-531.56] 啦
[531.56-531.72] 好
[531.72-535.52] 是我们认为这个分配是属于比较往健康的方向在进展
[537.36-537.88] OK
[538.36-540.16] 那再看一下产业的部分
[540.16-540.56] 好
[540.56-541.20] 嗯
[542.76-544.32] 呃绿能部分就是太阳能
[544.32-544.52] 好
[544.52-546.00] 那个就我们就不再多提
[546.00-550.24] 那太阳能的呃那个电源供应类的话稳定在24%左右
[550.40-554.52] 那这个是呃我们公司的一个主要的一个本命产品
[554.52-556.80] 然后车上会希望增加占比
[556.80-556.96] 好
[556.96-559.48] 会是我们接下来推展的一个主要战场之一
[560.56-561.08] 那
[561.48-563.40] 就是我们的一种货币领域
[563.40-564.32] 我们的一种货币领域
[564.32-566.36] 是在2025年的QE有比较呃表现有到两成
[566.36-566.60] 好
[566.60-567.36] 那这属于比较
[567.36-569.92] 就是说比较需要关注的产业
[569.92-570.52] 啦
[570.52-576.16] 一般来说呃家电类的这种呃产品的利润表现是稍差的
[576.16-580.52] 所以我们在这个部分的策略上是会稍微控制一下的产销量
[580.52-580.68] 好
[580.68-588.08] 那我们会是锁定一些所谓呃利润比较稳定增长的的的战场来做锁定
[588.08-588.20] 啦
[588.20-588.40] 好
[588.40-591.36] 一些比较落后的或者是比较
[591.36-591.96] 呃
[591.96-596.28] 低价竞争型的家电类的我们可能就会选择放弃
[596.28-601.36] 那在工业应用类的部分占比现在是来到27%左右
[601.36-601.60] 好
[601.60-603.52] 这部分是属于高毛利型的产业
[603.52-606.52] 这也是呃那个会集中锁定去做扩大产销的部分
[606.52-607.28] 好
[607.28-608.40] 那最后看到车用
[608.40-610.04] 嗯
[610.04-612.60] 在过去多期大概都在3%左右
[612.60-612.76] 好
[612.76-614.40] 那这个也是高利润型的
[614.40-616.36] 高高利润型的一个产业啦
[616.36-616.92] 好
[616.92-617.84] 那呃
[617.84-621.28] 接下来是会做主力的目标市场做做一个全力的投入
[621.28-621.32] 好
[621.32-621.36] 嗯
[621.36-621.96] ,
[621.96-623.72] OK
[623.72-629.36] 那在云运的部分我们大概说明一下最近短中期的一个云运的策略
[629.36-631.24] 呃
[631.24-632.16] 一开始好
[632.16-635.40] 针对整个集团的产销组合我们会持续做优化
[635.40-635.64] 好
[635.64-637.48] 那以利润为导向
[637.48-637.84] 好
[637.84-640.12] 我再去追求就是呃
[640.12-641.12] 无效的业绩
[641.12-647.64] 那针对会持续消耗公司资源而不能带来正向利润的这种订单呢
[647.64-648.96] 我们会选择果断的放弃
[648.96-649.76] 好
[649.76-650.04] OK
[650.04-651.32] 那在这一部分呢
[651.32-653.92] 在大陆内卷情况没有好转的
[653.92-655.32] 目前是没有明显的好转
[655.32-656.00] 好
[656.00-660.08] 所以我们大概会是以脱离这种呃
[660.08-661.72] 高内卷型的产业
[661.72-663.48] 然后去投入比较呃
[663.48-665.48] 高附加价值型的产业
[665.48-665.64] 好
[665.64-667.44] 作为一个策略型的推进
[667.44-668.04] 这样
[668.96-669.88] 那呃
[669.88-671.08] 台湾跟欧美产品啊
[671.08-672.12] 针对AI产业链
[672.12-672.44] 好
[672.44-673.24] 这个公呃
[673.24-674.72] 伺服器电源
[674.72-675.36] 网通
[675.36-675.60] 好
[675.60-676.60] 基地台
[676.60-677.00] 呃
[677.00-678.76] 这种产业的布局呢
[678.76-680.00] 基本上似乎已经完成了
[680.00-680.24] 好
[680.24-681.20] 那如果后续呢
[681.20-682.96] 后续可以顺利发酵的话
[682.96-684.56] 基本上对业绩会有益助
[684.56-685.08] 好
[685.08-687.64] 那在利润表现上会相对比较乐观
[687.64-688.92] 好
[688.92-689.68] 那呃
[689.68-691.48] 目前这种Docking类的客户
[691.48-691.64] 好
[691.64-693.68] 针对保护员工的行业度也是提高很多
[693.68-694.44] 好
[694.44-697.24] 那预计今年下半年开始应该会比较多
[697.24-698.36] 低应低问的机会
[698.36-699.64] 好
[699.64-700.24] 对不起
[700.24-702.20] 哎
[702.20-702.68] 哎呦
[702.68-704.04] 我又跳掉了
[704.04-705.56] 嗯
[705.56-705.96] 哎
[705.96-710.60] 在哪里呢
[711.20-712.40] forcing
[712.40-712.52] ok
[712.52-713.24] 缓 exceeds
[713.24-714.88] 我们摆脱的步骤
[714.88-715.76] 还回过来
[715.76-717.02] 一约五个月
[717.02-718.06] 大概十几年
[718.06-719.56] 我看
[719.56-719.78] 这个
[719.78-720.46] 这个
[720.46-721.14] 因为的
[721.14-722.44] 往往就有两个
[722.44-724.22] 我们工资这一圈
[724.22-727.28] 这一和
[727.28-728.04] 这个
[728.04-728.72] abel
[728.72-729.00] ok
[729.00-729.68] 这个
[729.68-730.94] 闝门
[730.94-731.36] VIP
[731.36-732.10] 在 mushroom
[732.10-732.56] 发点
[732.56-733.28] 就能 Li
[733.28-734.44] 变啊
[734.44-734.68] 这 automotive
[734.68-734.72] sorry
[734.72-735.62] 我开始说
[735.62-735.88] 王
[735.88-736.56] 给这个
[738.44-738.78] 就是
[738.78-739.40] Let the
[739.40-739.80] C
[739.80-740.60] 学谁
[740.60-740.92] 爱
[740.92-745.48] 那我們這邊還是會審慎關注
[745.48-747.52] 在政策比較平穩之後
[747.52-749.44] 可能才能確定出後續的方向
[749.44-751.28] 目前的影響是還好
[751.28-755.44] 不算非常的明顯
[755.44-757.16] 現在是五月份
[757.16-758.92] 接下來幾個月的觀察
[758.92-761.52] 我們大致上對今年的一個發展
[761.52-765.56] 可能是比較保守
[765.56-769.68] 但是大概接近5%左右的一個
[769.68-771.44] 5%到10%這樣的一個增長
[771.44-774.64] 應該是還能看得到
[774.64-776.44] 配合這樣的市場趨勢的話
[776.44-778.72] 宏亮這邊大致上的體質調整
[778.72-780.36] 算是已經完成了
[780.36-783.20] 目前是保持一個謹慎樂觀的態度
[783.20-789.80] 這個大概是跟各位報告的一個項目
[789.80-791.92] OK 接下來我再說明一下
[791.92-793.92] 我們百貨公司接下來的產品的一個
[793.92-797.00] RD的方向
[797.00-799.32] 首先我們大概會看三年
[799.32-799.64] 到2022年
[799.64-803.00] 到2027年之前
[803.00-805.24] 我們公司大概會預計產出
[805.24-807.88] 多款的貼片式車用保護元件
[807.88-810.88] 我們目前在螢幕上標示綠色的部分
[810.88-814.04] 那封裝上會從SMV SOT 123
[814.04-815.40] 一直到523
[815.40-818.84] 以及DFN2510到1006
[818.84-822.80] 這種封裝型態的TPS跟ESD
[822.80-825.12] 也就是順帶一致的二極體
[825.12-827.28] 以及晶片保護元件
[827.28-829.28] 那這些目前本來在車用的控制板上
[829.28-830.88] 就運用上很多
[830.88-832.64] 主要是其他保護的作用
[832.64-837.12] 那今年會預計產出STAYBACK的ESD
[837.12-841.04] 那這個可以在比較低的前置電壓保護下
[841.04-843.04] 去保護高速傳輸的訊號
[843.04-848.24] 封裝上會是以DFN2510跟1006及0603為主
[848.24-851.92] 那電壓會控制在一般常用的1.5V到5V之間
[851.92-855.20] 這個是比較特殊型的一個產品
[855.20-857.44] 那今年同時也會產出晶圓局封裝製程機
[857.44-858.44] 那今年同時也會產出晶圓局封裝製程機
[858.44-859.14] 那今年同時也會產出晶圓局封裝製程機
[859.14-859.64] 那今年同時也會產出晶圓局封裝製程機
[859.64-861.44] 的一個高功率的TBS
[861.44-865.80] 封裝上會以DFN2614以及DFN3719為主
[865.80-870.10] 那這個相較於傳統的這種CFP型的製程
[870.10-874.18] 在覺衛能力上有比較明顯的提升
[874.18-876.58] 另外因為它封裝的比較Advanced
[876.58-879.90] 所以它在接觸面積上可以比較大
[879.90-882.78] 所以它可以放入比較大尺寸的晶圓
[882.78-886.64] 所以可以在同樣的體積之下
[886.64-889.14] 可以產出更大的一個功率
[889.14-893.14] 這對於有超微型需求的客戶
[893.14-895.14] 是可以提供到解決方案的
[895.14-900.14] 那再者就是
[900.14-902.54] 今年我預計產出這個
[902.54-903.14] 對不起
[903.14-906.14] 近期會產出5吋的抗雷級型的GPP晶圓
[906.14-911.84] 這個基本上可以在耐受接觸模式5KV的能量下
[911.84-917.04] 對於本來在限量中沒有設計TBS的一些PCAR
[917.04-919.10] 可以起到一個基礎的
[919.10-921.10] 線路保護
[921.10-922.80] 這個也是比較特殊型的產品
[922.80-925.60] 至於MOSFET的部分
[925.60-929.20] 目前經典已經有量產SOT26封裝
[929.20-932.60] 跟雙向20V到30V的產品
[932.60-936.80] 以及SOP8封裝雙向30V到60V的產品
[936.80-939.10] 這個針對一般的主機板
[939.10-940.60] 網通設備
[940.60-944.00] 還有在電動工具作為功率開關使用
[944.00-946.90] 另外如果針對儲能電池
[946.90-949.10] 也是可以提供到一個保護的作用
[949.10-954.10] 另外在橋枕的部分
[954.10-955.60] 就是橋式整流器
[955.60-957.60] 我們的主要產品的部分
[957.60-959.60] 我們可能會在
[959.60-963.60] 目前的規劃是在封裝基本不變的情況下去加入消特機
[963.60-965.60] 跟快回復這兩個功能
[965.60-969.60] 配合客戶在線路的需求去做跟進的開發
[969.60-973.10] 另外在2200伏以上的高壓型的整流橋
[973.10-974.60] 也已經陸續進入量產
[974.60-978.60] 針對這種有高功率需求的設備的話
[979.10-982.60] 我們可以提供到解決方案
[982.60-985.60] 那另外第三代半導體的部分
[985.60-988.60] 則是集中會發展碳化矽的部分
[988.60-993.10] 那個所謂的這個叫生化架
[993.10-995.10] 我們可能會放在後面一點
[995.10-999.10] 那目前會陸續產出就是碳化矽結構的消特機二極體
[999.10-1002.10] 以及碳化矽結構的MOSFET
[1002.10-1006.60] 那這個在針對嚴苛環境使用的高功率線路
[1006.60-1009.10] 可以提供一個解決方案
[1009.10-1012.10] 那可以看出我們總的來說
[1012.10-1014.10] 我們的產品發展大概會集中在
[1014.10-1017.10] 高利潤跟高附加價值的產品
[1017.10-1019.10] 這個主要也是為公司長遠的發展
[1019.10-1023.10] 提供一個產品上面的一個支持
[1023.10-1025.10] 那這個大概就是產品
[1025.10-1029.10] 接下來三年的一個產品發展的一個路徑
[1029.10-1032.10] 那麼以上是陳玉峰這邊
[1032.10-1035.10] 針對弘洋公司的一個年度的一個報告
[1035.10-1037.10] 謝謝大家
[1039.10-1041.10] 謝謝副總
[1041.10-1044.10] 現在開放到線上的投資法人做提問
[1044.10-1047.10] 歡迎把握時間取消您的靜音模式
[1047.10-1048.10] 謝謝
[1069.10-1089.10] 請問大家有問題嗎
[1089.10-1098.10] 關節這邊有沒有問題
[1098.10-1099.10] 請問大家有問題嗎
[1099.10-1106.10] weitere問題
[1106.10-1116.10] destinations
[1116.10-1118.10] 可以按讚 recursos
[1118.10-1127.10] xa
[1127.10-1128.10] acey
[1129.10-1136.90] 副总这边有投资法人在留言板上留言
[1136.90-1140.56] 他说请问各应用今年排序如何
[1140.56-1144.36] 这个问题有点宽
[1144.36-1149.80] 你是说等于是说公司在2025年这个产品排序是吧
[1149.80-1150.84] 对
[1150.84-1159.86] 如果说基于我们之前接下来会比较直接进行的一个策略来看的话
[1159.86-1162.00] 我们在碳安能的占比一定是会把它下降
[1162.00-1165.06] 基本上会锁定在约莫两成左右
[1165.06-1166.40] 目前看起来是这样
[1166.40-1173.96] 所以乔整将会是主要的一个最大的一个产品的一个发展主轴
[1173.96-1178.02] 那接下来应该是如果我们把碳安能先排除的话
[1178.02-1180.40] 接下来应该就是保护元件跟一般二级体
[1180.40-1180.80] 对
[1180.84-1183.26] 大概是这样的发展
[1183.26-1184.98] 如果从产品别来看
[1184.98-1187.46] 那如果从产业上来看的话
[1187.46-1189.68] 目前如果排除以现有的碳安能
[1189.68-1191.84] 我们不做多做太多琢磨的话
[1191.84-1193.54] 第一个会是公控
[1193.54-1198.76] 那目前的RD主项RD跟市场主要的推向会推在AI
[1198.76-1200.88] 然后网通跟电竞
[1200.88-1205.36] 这个是我们近期才刚好已经确定完的一个产业
[1205.36-1206.96] 那个推展方向
[1206.96-1210.60] 那因为我前段时间刚好也有去参加
[1210.60-1210.82] 那个产业的一个产业的一个产业
[1210.82-1210.84] 那个产业的一个产业的一个产业的一个产业
[1210.84-1211.44] 那个电脑展
[1211.44-1217.40] 我们确实看到一些后续的产业的发展的机会
[1217.40-1221.76] 那所以公司现在目前的一个产销对策
[1221.76-1222.84] 大概是这个样子
[1223.38-1228.78] 好谢谢副总
[1228.78-1229.52] 谢谢
[1229.52-1240.82] 副总您这边还有没有什么资讯
[1240.82-1243.38] 可以再跟我们分享的吗
[1243.38-1247.64] 怎么说呢
[1247.64-1249.16] 市场很乱
[1249.16-1251.12] 市场很乱
[1251.12-1252.60] 那
[1252.60-1255.12] 就是
[1255.12-1257.12] Nong China的部分呢
[1257.12-1257.82] 现在很乱
[1257.82-1259.26] 大家都没顶
[1259.26-1260.18] 那但是
[1260.18-1262.00] 基本上
[1262.00-1264.28] 还是以谨慎乐观的居多
[1264.28-1266.40] 然后我们跟几个同业或者是
[1266.40-1268.72] 那个从市场面来看也是这样
[1268.72-1270.80] 那中国内卷这一边呢
[1270.80-1274.38] 我们觉得短时间没有什么好的解决方案
[1274.38-1277.46] 特别是现在目前有点是两大阵营在围堵的
[1277.46-1280.28] 就是有点在fighting的状态
[1280.28-1283.08] 那我们的策略就是
[1283.08-1285.14] 在中国避开内卷
[1285.14-1288.98] 那在Nong China部分就是谨慎乐观
[1288.98-1289.74] 然后
[1289.74-1291.54] 我们目前
[1291.54-1294.10] 刚好是因为产销组和地区的关系
[1294.10-1295.38] 我们本来被
[1295.38-1298.96] 被所谓的关税影响就相对小一点
[1298.96-1300.76] 但是我们当然不排除后续如果
[1300.76-1303.32] 他把一些地区扩大之后
[1303.32-1306.64] 可能会多少受到一些影响
[1306.64-1309.98] 那我们觉得市场不是一片荣景啦
[1309.98-1313.82] 但是也不至于是地域的状态啦
[1313.82-1315.60] 那怎么说呢
[1315.60-1317.92] 我是觉得可以持续关注吧
[1317.92-1319.44] 我们自己的
[1319.44-1320.98] 那个怎么讲
[1320.98-1321.76] 营收
[1321.76-1328.92] 获利能力等等都应该是可以被持续关注的
[1328.92-1330.46] 好谢谢冯总
[1330.76-1332.80] OK好谢谢冯总
[1332.80-1345.60] 请问各位投资法人还有其他问题吗
[1345.60-1347.92] 好如果没有其他问题的话
[1347.92-1351.24] 那今天弘扬发展科技股份有限公司
[1351.24-1353.80] 线上法人说明会将到此告一段落
[1353.80-1355.08] 谢谢陈副总
[1355.08-1356.36] 也谢谢各位
[1356.36-1357.90] 投资先进的参与
[1357.90-1360.20] 今天到此告一段落谢谢
[1360.76-1363.32] 谢谢大家大家辛苦了谢谢
[1363.32-1364.60] 谢谢
