[0.00-8.94] 各位先進
[303.16-305.16] 從資活動流出8.17億
[305.16-307.16] 從資活動流出8.17億
[307.16-309.16] 主要是賠發鼓勵
[309.16-311.16] 主要是賠發鼓勵
[311.16-313.16] 跟現金淨值的部分
[313.16-315.16] 前一段時間
[315.16-317.16] 2004年
[317.16-319.16] 2024年
[319.16-321.16] 是232億的營收
[321.16-323.16] 比起2023年
[323.16-325.16] 165.8億
[325.16-327.16] 是有成長
[327.16-329.16] 40%
[333.16-335.16] 那2024年主要的
[335.16-337.16] 出貨量
[337.16-339.16] 電視跟顯示器的部分
[339.16-341.16] 是合計是
[341.16-343.16] 462萬多
[343.16-345.16] 滑鼠跟Wacom的部分
[345.16-347.16] 合計是
[347.16-349.16] 4080萬個
[351.16-353.16] 這個是
[353.16-355.16] 出貨量的部分
[357.16-359.16] 那以金額來看
[359.16-361.16] 總出貨金額是232億
[361.16-363.16] 那以電視跟顯示器的部分
[363.16-365.16] 是167億多
[367.16-369.16] 那其他就是滑鼠
[369.16-371.16] 跟Wacom
[371.16-373.16] 跟視訊會議系統大概是
[373.16-375.16] 65億左右
[375.16-377.16] 那以比例來看
[377.16-379.16] 電視占36%
[379.16-381.16] 顯示器36%
[381.16-383.16] 那電腦周邊的
[383.16-385.16] 19%
[385.16-387.16] 其他9%
[389.16-391.16] 那公司
[391.16-393.16] 整個產品的
[393.16-395.16] MarshaDome
[395.16-397.16] 是從小尺寸到大尺寸
[397.16-399.16] 那monitor部分
[399.16-401.16] 可以做到49寸
[401.16-403.16] 那電視的部分
[403.16-405.16] 可以做到80幾寸
[405.16-407.16] 都沒有問題
[407.16-409.16] 那主要的總分
[409.16-411.16] 這個
[411.16-413.16] consumer就是
[413.16-415.16] Mouse跟Wacom
[415.16-417.16] 然後Home entertainment的部分
[417.16-419.16] 電視還有音響的部分
[419.16-421.16] 然後Gaming是
[421.16-423.16] 主要是電競
[423.16-425.16] 電競螢幕的部分
[427.16-429.16] 那這個是
[429.16-431.16] 公司發達的LensCAD
[433.16-435.16] 那我想
[435.16-437.16] 先報告到這邊
[437.16-439.16] 謝謝樂訊科技團隊的
[439.16-441.16] 精彩分享
[441.16-443.16] 繼續進行Q&A時間
[443.16-445.16] 請周頭的先進可以舉手發問
[449.16-451.16] 那請發問
[451.16-453.16] 我先就財務面前做個請教
[453.16-455.16] 就是我們
[455.16-457.16] 2024跟2023年的
[457.16-459.16] 營收的東西比較我們其實是有
[459.16-461.16] 大幅度的成長
[461.16-463.16] 那想要了解就是成長的原因
[463.16-465.16] 這是我第一個問題
[465.16-467.16] 然後第二個問題是他這樣子的
[467.16-469.16] 成長是我們的毛利卻沒有
[469.16-471.16] 有對應的
[471.16-473.16] 增長稍微下滑了一點點
[473.16-475.16] 可能原因在於何處
[475.16-477.16] 2024
[477.16-479.16] 比起2023年
[479.16-481.16] 成長主要是
[481.16-483.16] 電視跟顯示器的部分
[483.16-485.16] 有從
[485.16-487.16] 380萬增加到
[487.16-489.16] 460萬
[489.16-491.16] 產能
[491.16-493.16] 產量都有增加
[493.16-495.16] 那另外就是
[495.16-497.16] 滑鼠跟Wacom的部分
[497.16-499.16] 原本2023年
[499.16-501.16] 是2500萬個
[501.16-503.16] 那到了2024年
[503.16-505.16] 就增加
[505.16-507.16] 來到4000萬個
[507.16-509.16] 所以這部分有增加
[509.16-511.16] 1500萬個
[515.16-517.16] 毛利率還是
[517.16-519.16] 維持是正的
[519.16-521.16] 但是你剛剛講說有
[521.16-523.16] 毛利率
[523.16-525.16] 淨利率這邊有一些下滑
[525.16-527.16] 那主要來講就是
[527.16-529.16] 電視顯示器的部分
[529.16-531.16] 我們還是主要
[531.16-533.16] 努力
[533.16-535.16] 但是這個部分的
[535.16-537.16] 這個市場競爭
[537.16-539.16] 比較大
[539.16-541.16] 那所以在毛利上面電視
[541.16-543.16] 會是比較低的部分
[543.16-545.16] 那
[545.16-547.16] 我們在
[547.16-549.16] 就是未來
[549.16-551.16] 我們會增加高毛利的部分
[551.16-553.16] 包括這個
[553.16-555.16] Gaming Monitor的部分
[555.16-557.16] 那這些是我們
[557.16-559.16] 比較有機會
[559.16-561.16] 獲利高一點
[561.16-563.16] 那另外就是滑鼠有
[563.16-565.16] 這種無線藍芽的滑鼠
[565.16-567.16] 這種
[567.16-569.16] 在毛利上會好一點
[569.16-571.16] 那我們會從這邊
[571.16-573.16] 還有一些新的產品
[573.16-575.16] 從這邊去努力
[575.16-577.16] 那
[577.16-579.16] 採訪長跟您提到
[579.16-581.16] 就我們2020年的營收
[581.16-583.16] 它的銷售區域的占點
[583.16-585.16] 您能幫我們分析一下嗎
[585.16-587.16] 就是北美大概是多少年
[587.16-589.16] 區域別來看
[589.16-591.16] 區域別來看
[591.16-593.16] 美國大概是占
[593.16-595.16] 百分之三十
[595.16-597.16] 非美國的部分
[597.16-599.16] 占滿
[599.16-601.16] 70%
[601.16-603.16] 包括歐洲還有
[603.16-605.16] 中國還有東南亞
[605.16-607.16] 等等
[607.16-609.16] 那中國的
[609.16-611.16] 佔領大概是多少
[611.16-613.16] 中國的佔領
[613.16-615.16] 目前來講
[615.16-617.16] 我們電視
[617.16-619.16] 有一個客人
[619.16-621.16] 但是比重也有在
[621.16-623.16] 今年
[623.16-625.16] 會稍微下滑一點
[625.16-627.16] 那另外Gaming Monitor
[627.16-629.16] 也有一些做這個
[629.16-631.16] 區域的移轉
[631.16-633.16] 可能
[633.16-635.16] 最終出貨的
[635.16-637.16] 不一定是在中國
[637.16-639.16] 所以我們會再進行
[639.16-641.16] 分散
[641.16-643.16] 那目前
[643.16-645.16] 我們公司的一個工廠
[645.16-647.16] 都在亞洲區那為什麼
[647.16-649.16] 未來美美是想
[649.16-651.16] 這30%的客群
[651.16-653.16] 我們怎麼去應付
[653.16-655.16] 下面陳關雀的狀況
[657.16-659.16] 大家都了解現在是
[659.16-661.16] 這個以10%來計算
[661.16-663.16] 然後延長90天
[663.16-665.16] 那
[665.16-667.16] 我目前會
[667.16-669.16] 盡量在這個時間內
[669.16-673.16] 去去化我們的庫存
[673.16-675.16] 然後跟客戶做
[675.16-677.16] 比較這個密集的
[677.16-679.16] 討論
[679.16-681.16] 但是也不曉得
[681.16-683.16] 90天之後
[683.16-685.16] 這個情況會怎麼樣
[685.16-687.16] 那
[687.16-689.16] 我想
[689.16-691.16] 未來還是會著眼於
[691.16-693.16] 分散
[693.16-695.16] 不管是這個
[695.16-697.16] 就是客戶群
[697.16-699.16] 的分散
[699.16-701.16] 因為現在美國客關
[701.16-703.16] 所以這應該是跑不了的
[703.16-705.16] 所以我們必須在
[705.16-707.16] 這個客戶上面
[707.16-709.16] 進行來過審判
[709.16-711.16] 那美國的比照
[711.16-713.16] 也不可能這樣成立
[713.16-715.16] 那就是要看未來這個
[715.16-717.16] 關雀的稅率談判的結論
[717.16-719.16] 就是這樣
[727.16-729.16] 各位同志先進
[729.16-731.16] 今天非常感謝瑞炫科技團隊
[731.16-733.16] 的詳細解說
[733.16-735.16] 瑞炫科技股份有形公司
[735.16-737.16] 法人說明會到此圓滿結束
[737.16-739.16] 希望各位同志先進的參與
[739.16-741.16] 謝謝
