[0.00-8.34] 各位凱基的客户大家好
[205.82-207.02] 暗场跟储能
[207.02-208.02] 那已经有
[208.02-210.54] 部分的暗场是使用自发自用
[210.54-212.26] 接入我们自己的一些
[212.26-214.34] 这个生产的设备或者是
[214.34-215.10] 这一个
[215.10-217.70] 这个云端的伺服器的一个使用
[217.70-220.54] 那后面这个也是就是云端伺服器的部分
[220.54-221.82] 在大数据资料中心
[221.82-224.14] 我们也建立了这样的一个数据中心
[224.14-227.58] 那也是在对外做一个处处管理的一个营运
[227.58-230.94] 那同时当然就是做我们这一个贵金属的一些回收
[230.94-231.58] 或精炼
[231.58-233.22] 其实分析实验室的服务
[233.22-234.94] 它本来是服务我们厂内的部分
[234.94-235.42] 未来都是有机会去对外去接单服务的部分
[235.42-235.82] 未来都是有机会去对外去接单服务的部分
[235.82-239.02] 未来都是有机会去对外去接单服务的部分
[239.02-243.06] 那在相关的一些环保的一些这个作业的部分
[243.06-245.30] 我们也提供了专业的环保服务
[247.78-252.14] 那接下来看到我们就是这个是台湾的一个不动产的一个
[252.14-253.66] 做作跟利用的情形
[253.66-255.86] 那么刚才讲是在观音
[255.86-257.38] 在桃园的观音地区
[257.38-258.70] 我们有三个厂区
[258.70-261.06] 那观音一厂观音二厂都在观音工业区
[261.06-265.54] 就是左上角跟左下角这边的观音一厂跟观音二厂
[265.54-265.78] 分别的
[265.78-270.14] 这个坪数2117坪跟1209坪
[270.14-272.02] 那在我们黄科厂这边
[272.02-274.74] 也有就是企业总部这边
[274.74-278.74] 那家永这边是黄科厂是6950坪的一个土地
[278.74-282.62] 那另外一个我们百分之百的仓库的子公司有大概4000坪
[282.62-284.94] 所以在黄科这边大概将近1000
[284.94-287.26] 11000坪的一个土地
[287.26-291.18] 那其实这些土地都是我们不管
[291.18-292.66] 这个都是我们自有持有的
[292.66-295.02] 那事实上你可以看到这持有的成本
[295.02-295.50] 相当
[295.50-296.94] 相当的相当的低
[296.94-301.90] 大概这边一个4亿加上这个底下的投资性不动产3800
[301.90-303.86] 所以大概是不到5亿的一个成本
[303.86-306.18] 但是现在这些土地的一个价值
[306.18-307.22] 如果以市值来讲
[307.22-309.34] 大概是介于二三十亿
[309.34-312.22] 所以他的一个增值的一个空间是蛮大的
[313.78-315.22] 那再来是我们的一些转投资
[315.22-319.18] 我们大概从2021年开始比较积极有一些转投资
[319.18-321.14] 的一些触角的一些延伸
[321.14-324.30] 那早期是针对我们中国大陆的转投资
[324.30-324.34] 透过这一个海外公务部的转投资的一些促进的一些延伸那早期是针对我们中国大陆的转投资
[324.34-326.34] 透过这一个海外公务部公司
[326.34-329.10] 去投资这个苏州佳龙的部分
[329.10-331.62] 那另外台湾有两个也是跟环保
[331.62-333.90] 这个一些废弃物处理有关的
[333.90-336.90] 昌浦跟龙浦都是百分之百的一个
[336.90-338.86] 持有的部分
[338.86-343.46] 那其实刚才讲的从2021年之后的一些转投资的触角
[343.46-346.74] 包括就是其实跟我们的本业还是比较有相关
[346.74-348.30] 包括水资源的部分
[348.30-349.26] 瑞德水资源
[349.26-351.38] 这是6.19%的一个持股
[351.38-353.18] 另外刚刚提到在大数据
[353.18-354.18] 大数据公司之外
[354.18-354.30] 发生了一些转投资的触角
[354.30-355.50] 8.08%
[355.50-358.90] 那同时我们投资的所谓的储能的这个部分
[358.90-363.26] 跟保金合资的一间公司叫保厨的部分
[363.26-366.62] 我们持有25%的一个股权
[366.62-370.50] 那另外在前两年我们也这个转投资的
[370.50-372.22] 这个台湾金财
[372.22-377.22] 那台湾金财目前我们持有它的股权大概是20%
[377.22-379.46] 那台湾金财也在今年的3月份
[379.46-382.90] 它已经这个正式的新位转上柜了
[382.90-384.06] 那这边可以看到这个
[384.06-385.82] 台湾金财的一些减借
[385.82-388.82] 那这边大概是3.11亿
[388.82-393.18] 那主要是在做半导体的一些设备耗材的一些提供
[393.18-396.10] 尤其是所谓的陶瓷零件的部分
[396.10-399.30] 我想这个部分大概主要竞争对手
[399.30-401.46] 大概就是日本的金瓷的部分
[401.46-403.38] 还有一些相关它的一些产品
[403.38-405.02] 包括氧化铝
[405.02-406.06] 这个氮化铝
[406.06-406.70] 石英
[406.70-411.34] 还有Silicon的部分的一些一些耗材零件
[411.34-413.66] 这是3月25号划牌
[413.66-416.30] 那这是大概是它最近起的一个股价
[416.30-420.18] 目前它的股价大概是在将近60块左右
[420.18-422.78] 那因为刚刚提到我们是它最
[422.78-425.22] 应该算是单一最大的股东
[425.22-426.86] 持有20%的部分
[426.86-429.26] 那我们的持有成本其实这边也可以看到
[429.26-431.86] 大概是不到1.8亿
[431.86-436.18] 目前如果以现在的一个市价去换算的话
[436.18-437.78] 我们的转投资的部分
[437.78-441.54] 目前的这个市值大概在3.7亿3.8亿左右
[441.54-443.50] 它也是一个账上是一个获利的一个股票
[443.66-446.06] 所以就要看它的情况
[446.06-448.90] 那另外在转投资储能的部分
[448.90-450.90] 这个部分是AFC挑评倍转
[450.90-453.50] 就刚才讲跟这个宝厨
[453.50-455.30] 跟宝金合资的这宝厨公司
[455.30-456.46] 还有两个案场
[456.46-459.82] 一个是在我们这个黄科厂这边
[459.82-463.54] 就是仓库的土地上有一个2MW加4MW
[463.54-466.58] 6MW的一个AFC的一个储能案场
[466.58-468.94] 跟我们在观音厂这边有一个4.9
[468.94-471.26] 所以合计大概是10.9的部分
[471.26-473.58] 和它都在这一个2024的一个
[473.66-476.98] 最晚在2024年它就已经投入运转了
[476.98-481.86] 接下来大概跟大家报告一下
[481.86-483.22] 佳龙的一个经营理念
[483.22-484.74] 我想这边可以看到
[484.74-488.46] 如果您可以打开我们的公司网页
[488.46-490.94] 其实我也看到一样的东西
[490.94-494.46] 那么的核心价值就是认同再生跟创新
[494.46-497.38] 当然就认同这一个地球只有一个
[497.38-501.26] 那一些资源就是有限
[501.26-503.62] 那如何去再生再利用
[503.66-505.46] 能够把它做一个创新
[505.46-507.50] 这也是我们的一个核心价值
[507.50-510.58] 那这个也在我们的官网上有这样的一句话
[510.58-512.90] 就过去我们在矿山采矿
[512.90-515.42] 现在我们在城市中去做采矿
[515.42-518.78] 未来我们把这些矿在社会中做一些循环
[518.78-521.86] 也因为这样的一个经营理念
[521.86-526.18] 其实在过去跟现在的一个环保的一个趋势
[526.18-529.78] 我们大概还是能够这个维持
[529.78-533.50] 跟这个现在目前的一些环保趋势是一致的
[533.66-537.50] 那过去可能比较重视叫做CSR企业社会责任
[537.50-541.34] 客户也许就是把这些废弃物交给我们去处理
[541.34-543.38] 或者他要找一些处理厂商的时候
[543.38-547.22] 他可能重视的也是假清假楚这样的一个执照许可
[547.22-550.30] 那交给这些业者去处理之后
[550.30-552.10] 他可能关心的说
[552.10-556.38] 你是不是有这个执照可以合规清运合规合法处理
[556.38-559.78] 那可以合法的焚烧排放或掩埋的
[559.78-561.82] 他大概是注重这件事
[561.82-563.66] 但是慢慢的时段
[563.66-564.94] 现在的一个转变
[564.94-566.98] 那更多的一个客户现在
[566.98-571.34] 尤其是一些比较大的像电子业或半导体业的客户
[571.34-573.38] 他的要求越来越高了
[573.38-575.70] 慢慢转向了所谓的ESG
[575.70-578.50] 不仅是你要可以有执照
[578.50-582.86] 同时你还能不能把这些废弃物处理完了之后
[582.86-584.40] 可以回收再利用
[584.40-586.44] 所以变成三张的牌照
[586.44-588.74] 那所以他更重视的是进则
[588.74-591.06] 你废弃物的进则或妥善的处理
[591.06-593.36] 那处理过程他还需要
[593.66-594.68] 你能不能
[594.68-596.98] 刚才讲是不是透过绿电的方式
[596.98-599.30] 或者是处理方式你不是用焚烧的
[599.30-600.58] 是用一些其他的方式
[600.58-601.60] 化学法是
[601.60-603.64] Eco-friendly的部分
[603.64-606.98] 造成不要高碳排的处理方法
[606.98-609.02] 那还有所谓的废弃物处理后
[609.02-610.56] 能不能循环再利用
[610.56-612.86] 我想现在的客户越来越厉害
[612.86-614.40] 越来要求也越多
[614.40-615.16] 但是呢
[615.16-615.68] 我们
[615.68-617.98] 本来就是我们的一个核心的部分
[617.98-621.06] 所以这个部分目前来讲都可以符合环保的
[621.06-622.08] 趁疫的趋势了
[623.66-626.98] 那就是在刚刚所提的这样的一个核心的之下
[626.98-628.52] 事实上我们在开发
[628.52-631.60] 就是说在我们在回收电子废弃物的过程中
[631.60-633.14] 会产生一些物质
[633.14-634.42] 那这些物质呢
[634.42-636.46] 我们可以把它再回收再利用
[636.46-638.76] 那这个就是一个非常代表性的
[638.76-641.06] 加农CLGM的一个
[641.06-642.60] Green Materials
[642.60-644.66] 环保青菜
[644.66-646.70] 那这个也就是现在
[646.70-649.00] 也许大家在使用这些3C用品
[649.00-650.80] 包括手机啊笔电啊
[650.80-651.56] 或者是
[651.56-653.36] 这个印表机等等的
[653.36-654.90] 这些的电子废弃物呢
[654.90-657.20] 当它已经是个end of life
[657.20-658.22] 使用
[658.22-659.00] 这个生命
[659.00-660.28] 结束之后
[660.28-662.32] 那我们是如何去把它做一个处理的
[662.32-664.12] 当没有办法去妥善处理
[664.12-666.16] 其实就会造成下方的
[666.16-667.70] 一个所谓的电子垃圾山
[667.70-668.72] 的一个
[668.72-669.74] 一个情况
[669.74-672.30] 那现在呢就是统计其实每一年
[672.30-673.08] 我们
[673.08-675.12] 全球一年会产生
[675.12-677.94] 5000万吨以上的电子废弃物
[677.94-680.24] 到了2030年
[680.24-681.26] 一年
[681.26-683.32] 会产生超过8200万吨的电子废弃物
[683.36-685.40] 我想这个非常大的一个数量
[685.40-686.68] 如果没有办法妥善处理
[686.68-688.48] 它将会是人类
[688.48-690.28] 严重的一个浩劫
[690.28-694.36] 所以加农秉持的之前所说的核心的一个
[694.36-695.90] 核心价值
[695.90-699.48] 我们在做所谓电子废弃物的一个回收处理
[699.48-702.30] 当然就是在这些3C的用品
[702.30-704.86] end of life我们进行所谓的拆解
[704.86-705.88] 跟回收再利用
[705.88-707.16] 它会产生五种
[707.16-708.96] 五大类的物质
[708.96-711.52] 包括所谓的金属类的Base Metal
[711.52-713.32] 基本金属跟Precious Metal
[713.36-715.16] 贵金属的部分
[715.16-719.00] 可能像金银 铂巴的部分
[719.00-724.12] 当然它也会产出一些非金属类的
[724.12-725.64] 包括塑胶
[725.64-726.92] 五大类的塑胶
[726.92-727.96] 七大类的塑胶
[727.96-731.80] 还有玻璃像还有主机板
[731.80-734.60] 玻璃纤维的部分
[734.60-737.16] 当然就是说这些非金属类的部分
[737.16-742.28] 过去很多的这种环保处理的方式
[742.28-743.32] 不是
[743.36-747.96] 把它处理到无毒无害就去做所谓的焚烧或掩埋
[747.96-750.78] 但是比较很少去做所谓再利用
[750.78-751.56] 当然现在
[751.56-753.34] 环保意识抬头很多的
[753.34-755.64] 这一个废弃物都可以做回收处理
[755.64-758.46] 那加龙也是在这样的一个状况下
[758.46-760.00] 不管是金属类的
[760.00-762.30] 基本金属或者是贵金属的部分
[762.30-763.58] 都可以做所谓的
[763.58-766.92] 回收然后再利用的部分
[766.92-768.96] 包括这个塑胶的部分
[768.96-772.80] 目前我们也跟南部的一个塑胶的一个回收厂
[773.36-776.44] 在做一些策略合作的部分
[776.44-778.74] 所以也可以去解决我们
[778.74-781.80] 加龙在处理电子废弃物中所产生的
[781.80-784.88] 废弃的这些塑胶的回收再利用
[784.88-787.96] 另外当然玻璃不用讲现在也有在做利用
[787.96-789.48] 那就是这个
[789.48-790.76] 玻纤粉的部分
[790.76-793.08] 比较是过去大家比较头痛
[793.08-794.60] 它的处理方式可能就是
[794.60-796.14] 不是焚烧就是掩埋
[796.14-798.70] 但是这样来讲不是我们想要
[798.70-802.04] 我们希望的是可以去做所谓的资源有限
[802.04-803.32] 虚化无限于是
[803.36-805.66] 从C to C
[805.66-806.94] Cradle to cradle
[806.94-809.50] 就是从摇篮到摇篮的一个方式
[809.50-811.56] 因为如此我们将这个
[811.56-813.86] 比较难处理叫做
[813.86-817.18] 玻璃纤维就是主机板这些玻璃纤维粉的部分
[817.18-821.28] 我们进行了所谓的一些研发创新
[821.28-822.30] 那也
[822.30-825.88] 也因为这样子我们将所谓的电子废弃物
[825.88-827.42] 的一个回收处理
[827.42-829.48] 它的最后一路也把它完成了
[829.48-831.78] 那这边就是大概说明一下过去在
[831.78-833.06] 从20年前
[833.06-836.64] 我们就是在刚刚讲的核心的一个价值
[836.64-838.44] 核心的一个坚持下
[838.44-840.48] 去发展这样的一个
[840.48-842.54] 这个绿色材料
[842.54-845.34] 那一直到了大概2023年跟
[845.34-847.14] 北卡达的一个产权合作
[847.14-849.44] 那也研发出来全球
[849.44-851.74] 首创的这一个
[851.74-854.56] Geopoly就是这个无机聚合物
[854.56-858.14] 它是用所谓的PCB Powder来做的部分
[858.14-859.94] 那我们也在去年的这个
[859.94-861.22] 这个10月
[861.22-863.02] 应该是10月11月第四季的
[863.06-863.82] 这个部分
[863.82-868.44] 建置完我们的这个量产的一个产线
[868.44-871.50] 那这个是我们这个去年
[871.50-875.34] 这个第四季完成的这个量产产线的一个照片
[875.34-880.98] 那它现在目前可以处理的就是每批次是500公斤等级的
[880.98-883.02] CLGM的一个量产线
[883.02-885.84] 所以大概零产能大概是大于大概
[885.84-888.14] 200万吨的一个CLGM
[888.14-890.20] 接下来会有一段的影片
[890.20-890.96] 请
[890.96-892.50] 各位法轮朋友来
[892.50-893.26] 稍微看一下
[893.26-895.06] 再介绍这个稀有区域的部分
[952.50-961.66] 稀释化残酸
[961.66-977.06] 你看 1112
[977.06-978.46] 这一endeu
[978.46-978.64] 小 window
[978.64-979.90] CK
[979.90-981.12] 事情 Corps
[981.12-981.16] ango
[981.16-981.48] 费 NEM謝謝
[981.48-982.48] ц più
[982.50-1012.48] 中文字幕提供
[1012.50-1042.48] 文字幕提供
[1042.48-1072.46] 文字幕提供
[1072.48-1102.46] 文字幕提供
[1102.48-1132.46] 文字幕提供
[1132.48-1162.46] 文字幕提供
[1162.48-1192.46] 文字幕提供
[1192.48-1222.46] 文字幕提供
[1222.48-1252.46] 文字幕提供
[1252.48-1259.86] 文字幕提供
[1282.48-1286.72] 其實大概就是貴金屬的比重
[1286.72-1288.92] 再持續下降到82%
[1288.92-1290.08] 那有大概是8
[1290.08-1291.32] 大概也是82
[1291.32-1292.48] 就這樣的一個區間
[1292.48-1294.84] 這個大概是符合我們目前來講
[1294.84-1296.58] 今年所設定的一個目標
[1296.58-1300.24] 大概是要介於大概15%到20%的
[1300.24-1302.14] 一個比重是來對於飛貴
[1302.14-1305.08] 那因為飛貴的營收增加之後
[1305.08-1307.08] 事實上它的毛利會增加
[1307.08-1308.98] 那這邊也可以看到就是說
[1308.98-1311.74] 這邊的三個飛貴的這個項目
[1311.74-1313.14] 我大概再說明一下
[1313.14-1314.90] 包括其他銷售的部分
[1314.90-1317.00] 這個最主要是我們剛剛提到
[1317.00-1318.64] 在電子廢棄物
[1318.64-1323.08] 一些廢棄物的處理的一些過程之後
[1323.08-1324.58] 它可能會產生一些
[1324.58-1327.78] 非屬於貴金屬以外的一些物質
[1327.78-1329.34] 比如說有剛才講Base Metal
[1329.34-1330.50] 基本金屬的部分
[1330.50-1333.00] 或者是塑膠或者是一些其他的
[1333.00-1335.58] 我們可以去作為一些後續的銷售
[1335.58-1337.94] 或處理再利用的部分
[1337.94-1339.40] 所以最主要這一塊的部分
[1339.40-1340.70] 在這一兩年
[1340.70-1341.70] 是有比較大幅的
[1341.70-1341.74] 一部分的貴金屬的部分是有比較大幅的一部分
[1341.74-1346.74] 來自於所謂的電子廢棄物的資訊品的處理
[1346.74-1348.08] 那勞務收入的部分
[1348.08-1351.00] 最主要就是我們在提供客戶的一些相關的服務
[1351.00-1353.54] 包括我們的零件清洗的服務
[1353.54-1355.34] 或者是清洗完之後
[1355.34-1357.38] 得到的一些貴金屬的回收
[1357.38-1359.78] 精煉提存的相關服務費
[1359.78-1362.84] 還有我們在幫客戶加工經驗
[1362.84-1365.84] 或者代工經驗的一些相關服務費
[1365.84-1367.94] 都是在勞務收入的部分
[1367.94-1370.98] 那另外一塊就是我們建置太陽能的一些暗廠
[1370.98-1371.70] 還有對外的一些
[1371.70-1373.24] 對外的這個準收的部分
[1373.24-1377.84] 目前也是我們在飛貴這邊的一個主力
[1377.84-1378.74] 那如同剛才講的
[1378.74-1380.34] 就是說我們營收的一個變化
[1380.34-1381.40] 在飛貴的營收變化
[1381.40-1383.64] 的確它就是已經讓我們看到了
[1383.64-1385.60] 在毛利上的一個貢獻的部分
[1385.60-1387.80] 也做了一個比較大的調整
[1387.80-1389.76] 當然去年第四季的部分
[1389.76-1392.76] 它有一個一次性的一些費用的一些打消
[1392.76-1394.50] 跟損失的認列
[1394.50-1396.40] 所以它的一個負毛利的情況
[1396.40-1399.40] 或者大概就是說以最近幾個季度
[1399.40-1401.66] 大概從2020
[1401.66-1403.00] 2023年的下半年
[1403.00-1407.60] 2024年一直到2025年的第一季這邊
[1407.60-1411.12] 我們的一些毛利大概持續的做一些轉正
[1411.12-1413.70] 那甚至在今年的第一季
[1413.70-1416.62] 其實看到這樣的一個飛貴的比重的上升
[1416.62-1418.86] 也帶來我們這個營業毛利
[1418.86-1420.90] 大概是兩千 將近兩千九百萬
[1420.90-1422.10] 它的毛利率
[1422.10-1424.30] 我們現在的毛利率正是在
[1424.30-1427.10] 這也是過去幾年比較少的
[1427.10-1430.60] 見到所謂的兩位數的一個正毛利的部分
[1430.60-1431.50] 來到10.5的部分
[1431.66-1434.80] 在今年第一季
[1434.80-1437.50] 所以相對它也反映到我們的一個
[1437.50-1439.02] 損益表的部分
[1439.02-1441.62] 那在一個今年的第一季
[1441.62-1442.92] 正毛利的狀況下
[1442.92-1445.46] 事實上最後的一個營運結果
[1445.46-1448.50] 大概是小虧了大概是一千兩百多萬
[1448.50-1449.72] EPS大概負0.1
[1449.72-1452.00] 相較於去年的第一季
[1452.00-1454.30] 大概還是虧3100萬
[1454.30-1457.52] 那這個EPS負0.3
[1457.52-1460.66] 這邊的話已經有比較明顯的一些改善的部分
[1461.66-1467.06] 好 那這個是就是毛利跟
[1467.06-1469.12] 稅前經濟還有EBITDA的一個情形
[1469.12-1473.10] 大概這邊可以看到就不管是毛利轉正的一個情況
[1473.10-1476.80] 跟我們EBITDA其實也大概就是持續轉正
[1476.80-1479.06] 那今年的第一季也大概就是
[1479.06-1485.56] 已經這個又回來是正數的一個EBITDA的部分
[1485.56-1487.60] 那再說明一下我們的資產
[1487.60-1488.96] 跟負債的一些變化
[1488.96-1491.02] 首先是資產的一些變化的部分
[1491.02-1491.50] 當然就是說
[1491.50-1493.50] 在流動資產的部分
[1493.50-1497.46] 好像看到這個流動資產的數字好像一直在減少
[1497.46-1503.94] 事實上這跟我們過去一兩三年在做所謂的庫存積極的去化是有關的
[1503.94-1506.26] 所以你可以看到在存貨的部分
[1506.26-1509.30] 從大概應該說
[1509.30-1511.34] 大概111年
[1511.34-1512.74] 那時候大概還有6億多
[1512.74-1515.06] 那到了112年這邊大概剩下11億
[1515.06-1519.24] 直到現在今年的第一季剩下大概1.5億
[1519.24-1521.50] 我想這邊的話是很大的一個
[1521.50-1523.80] 這個庫存的一個減少
[1523.80-1526.74] 或者是它的周轉速度加快
[1526.74-1529.10] 我想這個是也因為如此
[1529.10-1532.60] 它可以在去化過程中也帶來我們的一些
[1532.60-1536.14] 不管是在毛利上的貢獻或者是現金流的一些貢獻
[1536.14-1538.26] 所以庫存的一個持續去去化
[1538.26-1540.44] 來加速我們的一個周轉速度
[1540.44-1543.50] 那另外在非流動的部分就是我們剛剛提到的
[1543.50-1545.06] 從大概2021年開始
[1545.06-1547.86] 我們在積極做一些轉投資觸角的部分
[1547.86-1551.34] 包括剛剛提到大概就是台灣金財這邊
[1551.50-1553.30] 就是大量的一個投資的部分
[1553.30-1557.90] 所以這邊在這個不管是儲能大數據
[1557.90-1560.20] 水資源還有半導體產業的一個投資
[1560.20-1562.76] 那未來還都會有一些投資的觸角跟機會
[1562.76-1566.34] 那再來是負債的部分
[1566.34-1569.50] 我想負債的部分在今年的第一季
[1569.50-1571.70] 我們也做了一個比較大的一個調整
[1571.70-1574.80] 那事實上這邊就會看到它的一個調整的成效
[1574.80-1578.64] 就是在所謂的流動負債跟非流動負債的一個調整
[1578.64-1581.46] 那去年年底大概還有8.1億的一個流動負債的成效
[1581.50-1585.34] 那流動負債裡面大概銀行借款是比較高的
[1585.34-1590.98] 那在這個今年的三月底我們完成跟銀行這邊做了一個refinancing的
[1590.98-1593.02] 一個借款重組
[1593.02-1595.84] 那它是一個七年期的14億的金額
[1595.84-1597.62] 所以在這樣的一個調整下
[1597.62-1603.26] 我們把流動負債大概降到大概剩下大概1億08百萬
[1603.26-1605.30] 那非流動就是長期的部分
[1605.30-1608.38] 就是從7億大概增加到將近14億
[1608.38-1610.94] 這邊看到一個比較大的一個變化
[1611.50-1615.08] 那這個調整完了事實上也改善我們的一個財務結構
[1615.08-1619.94] 我們的流動比例大概從去年年底56提高到第一季大概412
[1619.94-1621.74] 我想就是比較好的一個數字了
[1621.74-1625.32] 那輸動比例也從去年的一個年底34比較低
[1625.32-1627.62] 那回到大概273
[1627.62-1629.42] 那同樣就是說我們的
[1629.42-1633.00] 是不是有以短之長就長期資金佔用比的一個
[1633.00-1638.38] 減勢的部分也從119大概有超過一點點降到87%
[1638.38-1641.46] 現在就是比較沒有所謂的以短之長的一個情況
[1641.50-1645.60] 那當然就在現金流的部分
[1645.60-1650.72] 這幾年這兩三年我們持續在做一些庫存的一些去化
[1650.72-1656.86] 那加上就是說這個我們的一些費用裡面還是蠻大一部分有所謂的這個
[1656.86-1660.18] 這個折舊尤其我們這個防科廠
[1660.18-1663.78] 這個建物的一些折舊
[1663.78-1667.36] 光折舊費用一年大概就將近5000萬到6000萬
[1667.36-1671.20] 那所以這個所帶來的一個現金流的影響在我們
[1671.50-1675.86] 持續做一些營運的調整還有所謂的庫存去化
[1675.86-1679.94] 那也可以看到在過去這三四年的時間
[1679.94-1681.74] 在營運活動的一個
[1681.74-1684.56] 進現金流都是正的
[1684.56-1687.62] 在2021年大概是正8000萬
[1687.62-1690.18] 22年大概正將近4000萬
[1690.18-1693.52] 那這個2023年大概也是正4000萬
[1693.52-1695.82] 那去年比較高大概正的
[1695.82-1699.92] 將近快1.5億那也因為如此就是說為什麼
[1699.92-1701.46] 佳龍好像過去
[1701.50-1706.10] 可能都是在虧損但是現金流上卻是不會有
[1706.10-1712.76] 太大的問題最主要也是可以從這張表來看出它的一些端倪
[1712.76-1715.84] 那接下來來說明一下這個
[1715.84-1719.94] 就是佳龍未來的一個發展方向我想這邊的話
[1719.94-1722.74] 我們希望說佳龍的一個願景是
[1722.74-1725.30] 打造新佳龍我們叫新佳龍
[1725.30-1729.66] 成為最具代表性的ESG公司然後因為本身我們在做這個環保
[1729.66-1731.46] 回收的一些產業的事情
[1731.50-1736.62] 我們希望透過所謂的現在的過程叫做從質變
[1736.62-1737.64] 就是質變
[1737.64-1742.50] 那它會引導到量變就是大家在看我們的財務報表財務數字的時候
[1742.50-1745.32] 因為你沒有先本質的改變事實上
[1745.32-1748.90] 這個財務報表這邊是不會帶來比較大的一個改變
[1748.90-1754.02] 那這也就是說回過頭來解釋我們在2022年大概是
[1754.02-1756.84] 兩年半之前
[1756.84-1760.42] 第四季我們啟動一個深耕專案那當然一開始它是
[1760.42-1761.46] 正進行
[1761.50-1764.06] 所謂的流程梳理跟庫存去化
[1764.06-1768.16] 那也帶來的一些短期的一個成效就是我們回收去化了
[1768.16-1773.54] 在我們廢棄物的庫存裡面清出了大概超過300公斤的白金
[1773.54-1778.66] 那貢獻給我們的變先的現金流就超過3億那這些3億的營收裡面
[1778.66-1781.72] 它又貢獻了超過3000萬的一個毛利的部分
[1781.72-1785.82] 當然這是可能叫做一次性的一個去化的部分
[1785.82-1790.18] 那我們更持續在做就是我們的包括我們的人才培養團隊建立跟文化的部分
[1791.50-1796.62] 形塑的部分我們希望我們有所謂的當者文化包括誠心正直
[1796.62-1798.92] 創新熱情跟利他共好
[1798.92-1803.78] 那同時我們在做所謂的技術自己的一個技術的一個建立或提升
[1803.78-1805.06] 我們在發展什麼
[1805.06-1807.88] 就是材料的應用技術因為剛剛提到我們
[1807.88-1814.02] 會從所謂的我們回收的廢棄物裡面會得到一些材料不管是金屬類或非金屬類的
[1814.02-1819.40] 我們希望都可以把它再利用變成一個所謂的新的一個材料
[1819.40-1821.46] 所以現在在發展的包括CLGM
[1821.50-1822.78] 綠色晶眼
[1822.78-1823.54] 那一些
[1823.54-1827.14] 這個高純度的一些綠色金把金絲蠟
