[0.00-4.04] 歡迎參加中國信託金融控股股份有限公司
[245.24-248.88] 整體金控累積前4個月的稅後
[248.88-251.28] 的獲利有225億元
[251.72-254.00] EPS是來到1.16元
[254.20-255.44] ROE有將近15%
[256.00-257.20] 整體表現還不錯
[258.80-262.88] 當然4月5月就是受到整個關稅的影響
[263.72-266.40] 整體的這個市場波動是比較大
[267.12-269.64] 以我們來看的話
[270.92-272.72] 目前臺灣的
[273.60-275.92] 經濟成長率我們預估跟
[276.44-279.24] 多數的智庫是蠻類似的會下修
[279.52-282.28] 小幅的下修到大概3個%以下
[282.72-283.48] 那另外
[284.00-285.68] 以中國信託來講我們
[286.08-289.92] 雖然整體的國際政經的情勢還是有很高度不
[289.92-290.92] 確定性
[291.32-293.28] 不過我們整體在策略發展
[294.40-296.88] 方向我們一樣是秉持著銀行
[297.44-299.44] 為主的這樣子的一個金控
[299.48-302.52] 所以我們銀行不管是資產或者是
[302.88-305.28] 獲利我們都是以銀行7成
[305.28-306.36] 然後非銀行
[306.68-308.96] 大概將近3成這樣子的一個方向在
[309.56-311.20] 進行我們的一個策略發展
[311.32-311.60] 所以
[312.08-315.08] 目前看起來整體的銀行在
[315.48-317.80] 現在這個股債會的一個
[318.32-320.68] 變動比較大的狀況之下銀行
[321.08-323.84] 看起來相對的營運是比較穩定
[324.32-326.72] 獲利也是相對穩定的
[327.04-330.76] 那未來我們也會持續用這樣子7-3比來布局
[331.52-335.80] 來達成這個風險分散還有我們多元獲利來源的
[335.80-336.60] 一個方向
[338.20-339.52] 那等一下我們的
[341.20-345.48] 報告會針對第一季的實際的表現多做說明
[345.64-347.12] 那另外ESG的部分
[347.44-351.36] 我們也是持續連續6年有入省國際級的
[352.52-353.96] 永續評比機構的
[354.44-357.64] Standard and Poor Global Sustainability Yearbook
[358.08-359.52] 那最近也獲得
[359.80-360.56] CDP
[361.20-364.44] 評選為最高領導等級的Leadership的A級
[365.04-369.12] 不管我們是在氣候治理風險管理財務攤牌
[369.36-372.04] 還有價值鏈的一盒等等我們都表現的
[372.56-373.20] 還不錯
[373.52-377.00] 所以我們持續也會把這個綠色金融的影響力跟
[377.00-378.16] 普惠金融
[378.92-381.44] 放在我們的日常的業務的營運
[381.72-383.80] 那我們來用實際的
[384.76-387.92] 成果來落實聯合國永續發展的目標
[388.32-391.36] 那以上是簡單就我們第一季還有到
[391.88-393.52] 4月份的一個營運的表現
[393.52-395.28] 跟大家做一些報告跟說明
[395.28-397.52] 那接下來請我們IR的同事
[397.88-402.12] 來針對第一季比較細箱的一些財務的報告來做
[402.64-403.48] 說明謝謝
[406.44-408.00] 謝謝總經理的致詞
[408.72-410.92] 首先說明營運表現摘要
[411.36-415.80] 中信金2025年第一季稅後淨利199億元
[416.04-417.80] 季成長49%
[418.16-419.76] 年減少5%
[420.20-422.20] EPS是1.02元
[422.60-425.16] ROE達到17.3%
[425.60-429.36] 另外董事會已通過發放普通股現金鼓勵每股
[429.36-433.44] 2.3元鼓勵配發率達63.2%
[434.08-435.92] 中信營業務表現亮眼
[436.48-440.60] 2025年第一季稅後淨利來到134億元
[440.88-442.40] 季成長2%
[442.72-444.48] 年成長11%
[444.88-446.68] 創下同期歷史新高
[447.20-449.80] 另外銀行資本水準保持穩健
[450.00-451.24] 資產品質穩定
[451.92-454.36] 臺灣人壽因為投資收入增加
[454.72-457.80] 2025年第一季稅後獲利56億
[458.28-460.72] 人壽的資本水準也保持穩健
[461.16-463.88] RBC比率為326%
[464.60-468.32] 另外臺壽規劃發行300億累積次順位債
[468.60-471.44] 以充實營運資金強化財務結構
[472.28-473.68] 並提升資本水準
[474.28-478.12] 金控其他子公司包括創投彩券及投信
[478.44-481.12] 獲利較上一季都有不錯的表現
[482.28-485.36] 接下來在中信金控的財務比率方面
[485.88-487.64] EPS1.02元
[488.00-490.32] ROE17.3%
[490.84-494.00] ROA是0.9%表現亮眼
[494.52-499.24] 另外金控銀行及人壽資本都保持穩健水準
[499.72-502.84] 金控資本市主率為126%
[503.32-506.28] 人壽RBC為326%
[506.84-510.64] 銀行合併資本市主率達14.3%
[511.08-514.60] 普通股權益比率為11.7%
[515.40-518.48] 接下來說明主要子公司獲利情形
[519.04-521.56] 中信銀行第一季英放款成長
[521.56-523.56] 以及淨利息收益率擴大
[523.84-525.92] 帶動淨利息收入增加
[529.32-531.20] 以及手續費收入成長
[531.60-533.88] 銀行稅後淨利134億
[534.24-535.68] 季成長2%
[536.04-537.76] 年成長11%
[538.04-540.12] 創下歷年同期新高
[540.56-541.68] 在人壽方面
[542.04-544.28] 第一季稅後淨利為56億
[544.68-546.52] 年減少27%
[546.92-550.08] 主要是因為去年同期資本利得較高
[550.72-553.72] 金控第一季稅後淨利199億
[554.24-556.00] 季成長49%
[556.48-558.28] 年減少5%
[559.24-562.08] 接下來說明中信銀行的營運表現
[562.72-567.16] 中信銀行2025年第一季稅後淨利134億元
[567.48-568.88] 領先銀行同業
[569.32-571.32] ROE也增加8個季點
[571.76-573.76] 來到13.3%
[573.92-574.84] 表現亮眼
[575.76-578.24] 第11頁說明營業收入變化
[578.88-581.72] 營業收入季成長10.3%
[582.08-584.28] 年成長12.3%
[584.72-587.60] 其中淨利息收入季成長5%
[588.00-590.16] 年成長18.9%
[591.00-593.96] 手續非季成長23.1%
[594.48-596.72] 年成長11.7%
[597.32-600.88] 交易損益及其他季成長1.6%
[601.28-605.36] 主要是衍生性商品及固定收益獲利較上級增加
[605.68-608.68] 和去年同期相比減少6.8%
[609.00-611.24] 主要是SWAP相關收入減少
[611.60-615.00] 以及資本市場表現和去年同期相比較弱
[615.36-616.76] 股權類收益減少
[617.76-619.40] 接著說明放款業務
[620.60-623.72] 中信營整體放款成長動能維持穩健
[624.24-626.12] 季成長5.9%
[626.52-628.72] 年成長14.3%
[629.28-630.96] 台幣企業放款方面
[631.32-633.68] 季成長10.5%
[635.56-637.24] 主要因為政府放款
[637.48-640.36] 製造業及服務業放款較上級成長
[640.72-642.72] 年成長16.2%
[643.12-644.84] 主要來自政府放款
[645.00-646.28] 商業及服務業
[646.60-649.28] 不動產業以及製造業的放款成長
[649.80-651.48] 房貸業務動能穩定
[651.88-653.60] 季成長2.5%
[653.96-655.80] 年成長10.2%
[656.36-659.48] 無單和其他放款季成長1.8%
[660.00-661.44] 年成長12%
[662.04-663.48] 在外幣放款方面
[663.76-665.48] 季成長6.5%
[665.92-667.84] 年成長16.9%
[668.56-670.76] 接下來說明外幣放款組成
[671.68-674.04] 外幣放款依分指行組成來看
[674.24-677.24] 日本東京之星佔24.7%
[677.60-679.72] 泰國LH佔17%
[680.20-682.88] 其他海外指行佔14.9%
[683.60-685.64] 分行佔32.5%
[686.40-689.28] 海外指行年成長13.2%
[689.92-691.20] 主要成長來自於
[691.20-693.48] 泰國LH及日本東京之星
[693.68-695.28] 放款都有雙位數成長
[695.84-698.48] 海外分行年成長18.8%
[698.88-700.28] 主要因為新加坡
[700.36-702.56] 東京以及印度分行表現亮眼
[702.80-704.60] 放款都達雙位數成長
[705.12-708.64] OBU與DBU放款年成長36%
[709.52-711.32] 下一頁說明存款組成
[711.84-713.64] 中信銀存款穩健成長
[713.96-717.04] 整體存款截至3月底是5.4兆
[717.36-719.04] 季成長1.7%
[719.40-721.24] 年成長7.3%
[722.52-725.88] 右上圖台幣活存比為58.1%
[726.40-727.84] 右下圖外幣定存比
[727.84-729.68] 重為62.7%
[730.04-731.60] 較上一季小幅減少
[732.12-733.80] 接著在存放比方面
[734.16-736.16] 英台外幣放款成長較快
[736.44-738.08] 第一季底整體存放比
[738.08-740.20] 提升到74.1%
[740.64-743.20] 台幣存放比84.2%
[743.68-746.08] 外幣存放比60.6%
[747.20-749.92] 下一頁立差及淨利息收益率的部分
[750.36-753.20] 受惠於降息使外幣資金成本下降
[753.56-755.08] 第一季淨利息收益率
[755.08-756.96] 上升到1.49%
[757.44-759.32] 如果包括SWAP相關收入
[759.80-762.32] 2025年第一季淨利息收益率為
[762.32-763.64] 1.64%
[764.56-766.96] 手續費收入方面業務動能良好
[767.40-770.36] 整體手續費季成長23.1%
[770.72-772.76] 年成長11.7%
[773.36-776.12] 財富管理方面由於市場波動較大
[776.12-777.40] 影響產品銷售
[777.80-780.80] 財富管理手續費季減少7.8%
[781.32-784.28] 但銷售動能與去年同期相比仍有成長
[784.80-788.00] 帶動基金保險與結構型商品銷售
[788.32-791.36] 整體財管手續費年成長9.2%
[792.12-793.56] 信用卡手續費方面
[793.92-796.96] 英第四季為傳統消費旺季季期較高
[797.44-800.28] 信用卡手續費季減少3.3%
[800.64-802.52] 但受益與消費持續成長
[802.72-806.16] 特別是交通餐飲休閒文化等相關消費
[806.52-809.20] 帶動手續費年成長6.3%
[810.08-813.44] 法金手續費收入季成長82%
[813.88-815.92] 主要是連帶私人銀行
[816.56-818.56] 與放款手續費收入成長
[821.20-823.32] 年成長24.4%
[823.76-827.08] 主要增長來自於私人銀行與放款手續費
[827.72-830.44] 接下來我們看到受美元降息影響
[831.04-834.36] 2025年第一季財富管理手續費組成中
[834.68-836.52] 在捐贊比較去年減少
[836.84-838.60] 保險占比則有所增加
[839.32-841.32] 在銀行成本效率比的部分
[841.84-844.48] 2025年第一季成本效率比為
[844.48-845.92] 52.1%
[846.28-848.48] 較上一季和去年同期改善
[848.84-852.60] 主要是營業收入的成長高於營業費用增長
[853.12-854.72] 營業費用控制得宜
[855.72-858.12] 接下來銀行的資產品質文件
[858.52-861.36] 第一季整體餘放比0.49%
[861.96-864.96] 餘取放管覆蓋率為323%
[865.56-867.04] 在呆帳提存方面
[867.48-870.32] 第一季呆帳淨提存為33個基點
[870.76-872.88] 較上一季增加14個基點
[873.52-875.56] 較去年同期增加7個基點
[876.04-879.20] 主要是放款成長導致GP提存增加
[880.16-881.88] 接下來說明人壽業務
[882.48-886.40] 臺灣人壽2025年第一季稅後淨利為56億元
[886.96-889.72] 由於去年同期股債處分收益較高
[890.00-891.48] 受到高基企影響
[891.76-893.56] 年減少27%
[893.96-896.12] ROE為14.2%
[896.80-897.72] 在上途中
[898.12-900.24] 因投資型保單銷售增加
[900.48-902.16] 帶動總保費年成長
[902.20-904.32] 14% 15.4%
[904.96-908.00] 初年度保費年成長21.9%
[908.44-909.88] 從產品組成來看
[910.12-911.76] 可以看到投資型保單
[911.76-914.64] 佔比大幅增加到28.4%
[915.44-918.52] 在下圖初年度保費以腳別組成來看
[918.88-921.12] 分期腳佔43.9%
[921.56-924.32] 短腳型商品佔27.7%
[924.80-925.84] 以幣別來看
[926.20-928.72] 外幣保單佔46.4%
[929.12-931.32] 台幣佔25.2%
[931.96-933.96] 初年度保費通路組成中
[934.44-938.00] 中興銀行通路佔比增加到46.5%
[938.44-941.12] 主要是因為投資型保單銷售成長
[942.64-944.08] 在投資組合方面
[944.48-947.04] 截至3月底投資資產約2兆
[947.44-950.84] 因應2026年接軌IFRS 17級ICS
[951.16-953.32] 還受持續優化投資組合
[953.84-955.60] 人壽投資收益方面
[956.08-959.00] 2025年第一季避險後投資報酬率
[959.00-960.44] 4.27%
[960.84-964.00] 避險前經常性報酬率3.55%
[964.40-966.36] 和去年同期相比上升
[966.92-968.56] 另外責任準備
[969.56-971.12] 經成本雖然上升
[971.16-973.76] 但是損益兩頻率較去年同期降低
[973.76-974.52] 六個基點
[974.84-976.40] 與投資報酬率相比
[976.52-978.80] 台壽仍然維持正立差的表現
[979.36-981.88] 接下來說明臺灣人壽避險策略
[982.24-983.20] 在左圖中
[983.36-985.88] 以整體人壽外幣投資部位來看
[986.28-988.72] 外幣保單佔比為41%
[989.04-991.32] 以避險比證為27%
[991.68-993.84] 外避險比證為21%
[994.08-995.72] 其餘是OCI股權
[996.24-997.16] 在右圖中
[997.36-1000.20] 第一季底外匯價格變動準備金
[1000.20-1002.52] 與額為新台幣140億元
[1002.96-1006.16] 2025年第一季避險成本
[1006.16-1007.20] 43個基點
[1007.64-1009.20] 較去年同期上升
[1009.36-1011.96] 主要是去年台幣貶值幅度較大
[1012.20-1013.76] 匯率貶值率的較高
[1014.56-1017.96] 接下來說明臺灣人壽2024年隱含價值
[1018.40-1020.84] 臺灣人壽2024年隱含價值為
[1020.84-1022.24] 3036億
[1022.60-1026.08] 換算成金控每股隱含價值為15.5元
[1026.52-1028.00] 在精算假設部分
[1028.44-1031.60] 投報率假設2025年到2044年
[1031.92-1035.12] 台幣保單從3.69%
[1035.12-1037.72] 上升到4.45%之後持平
[1038.12-1040.36] 外幣保單從4.3%
[1040.48-1043.28] 上升到5.3%之後持平
[1043.56-1047.48] 精算假設有獨立第三方顧問PWC進行檢視
[1048.44-1051.48] 第三十頁敏感度分析提供各位參考
[1053.80-1056.00] 接下來是兩年度EV債要
[1056.40-1059.64] 2024年EV成長17.4%
[1060.00-1063.72] 主要是調整後淨值大幅提升382億
[1064.08-1066.68] 而有效契約價值增加33億
[1067.28-1069.36] 下一頁說明調整後淨值
[1069.84-1072.32] 2024年調整後淨值增加
[1072.60-1075.00] 主要來自於獲利215億
[1075.24-1078.32] 以及不動產未實現損益增加78億
[1078.76-1081.68] 另外其他變動項目增加46億
[1082.00-1085.20] 主要是外匯價格變動準備金餘額增加
[1085.96-1088.40] 接下來說明有效契約價值變動
[1089.00-1092.60] 2024年有效契約價值為1585億
[1092.88-1094.68] 年成長2.1%
[1094.92-1097.64] 主要是因為脫退率假設的改變影響
[1097.76-1099.28] 減少222億
[1099.72-1102.64] 投報率假設的改變增加161億
[1103.16-1106.92] 另外新契約價值未扣資本成本為73億
[1107.72-1109.44] 在新契約價值方面
[1109.64-1113.68] 2024年新契約價值扣除資本成本為58億
[1114.08-1115.72] 年減少19%
[1116.20-1119.04] 主要因為投報率及精算假設變更
[1119.28-1120.88] 以及模型差異的影響
[1121.00-1122.72] 加上商品內構的改變
[1124.56-1126.32] 在ESG表現方面
[1127.32-1130.52] 中信金持續積極推動永續發展
[1130.88-1133.12] 相關成果屢獲國際肯定
[1133.52-1136.40] 主要永續發展成果及入選指數
[1136.56-1138.40] 請參考第36頁
[1140.20-1142.52] 以上簡報說明 謝謝大家
[1146.56-1148.88] 以上是我們這次的說明
[1149.72-1153.72] 看看線上的媒體分析師跟
[1153.72-1157.88] 跟這些投資人有沒有什麼問題再歡迎提問 謝謝
[1183.72-1185.44] 提問的同步口譯
[1185.80-1188.12] 為維護會議口譯的品質
[1188.48-1192.12] 請在提問時確保您身處安靜的環境
[1192.44-1193.88] 並且放慢語速
[1194.12-1197.24] 與確保您的聲音能夠清晰地傳達
[1197.52-1198.60] 謝謝您的合作
[1199.72-1201.72] 現在請需要提問的朋友
[1201.76-1205.68] 在電話機上按新字件跟數字1 謝謝
[1208.72-1212.20] 首先提問的是傑佩默根 傑米皇 請發問
[1214.56-1218.92] 你好 我這邊主要有幾個問題想要請教
[1220.00-1221.84] 第一個是可不可以給我們一下
[1221.88-1225.60] 第一季的收入收入大概是多少
[1225.92-1230.68] 然後我上一季有提到就是今年全年的
[1230.76-1233.48] Adjusting Neem的一個改變
[1233.76-1238.20] 那個時候當然對整個利率有一定的一個假設
[1238.52-1242.44] 現在可能整個Macro Outlook有一些改變
[1242.44-1245.00] 我不曉得說在我們對利率的一個預期
[1245.04-1247.24] 跟我們對Neem的一個改變上面
[1247.28-1249.36] 有沒有任何的一個變化
[1249.96-1254.24] 然後第二個問題是Opex這邊的話
[1254.72-1257.68] 第一季成長也是有到雙位數
[1257.72-1259.00] 可不可以給我們Breakdown一下
[1259.04-1260.76] 就是如果這個一行業
[1261.36-1264.00] 這邊的主要的變動的一個Driver
[1264.04-1268.20] 還有我們全年的一個預估大概是多少
[1268.24-1270.68] 或是Cost Income Ratio這邊我們沒有預估
[1270.92-1273.52] 因為我不確定我上一季有沒有MISS掉
[1273.56-1275.96] 就我沒有看到這部分的一個guidance
[1276.72-1280.84] 然後第三個部分的話是關於人壽
[1281.68-1285.52] 在台幣在現在這個匯價這邊的話
[1285.84-1290.28] 這個時間點我想問一下我們FX Reserve用完了嗎
[1291.56-1292.96] 如果用完的話
[1293.00-1296.36] 我們現在整個Hagen的一個Strategy
[1296.60-1300.76] 大概會以什麼樣子的一個方向去思考
[1301.20-1305.04] 然後我記得今年如果就算申請薪資
[1305.08-1308.08] 應該對FX Reserve好像也沒有太大的幫助
[1308.12-1312.32] 但還是想問一下就是會考慮要申請薪資嗎
[1312.96-1316.92] 然後另外對EV有兩個問題
[1316.96-1318.96] 第一個還是可不可以給我們一下
[1319.00-1322.68] 就是對EV還有VMB這個Single Rate
[1322.72-1325.60] Investment Return Assumption的一個假設
[1325.64-1328.16] 2024年大概是各是多少
[1328.60-1334.52] 然後第34頁這邊的那個負的9個億這邊
[1334.56-1335.96] 可不可以給我們拆分一下
[1336.00-1339.08] 就是如果是投報率的影響
[1339.12-1344.92] 跟其他就是精算假設的一個影響個別是多少
[1344.96-1345.44] 謝謝
[1349.96-1352.16] 好 第一題的部分
[1352.20-1356.28] 主要是有關於第一劑的這個SWAP Revenue的部分
[1356.88-1359.28] 那這個整個的一個狀況
[1359.32-1362.92] 我們第一劑的SWAP Revenue大概在29億左右
[1362.96-1364.16] 相對於這個
[1366.00-1368.00] 20 23億左右
[1368.44-1372.16] 相較於這個去年度同期的數字大概衰退了三成
[1372.16-1372.64] 左右
[1373.32-1376.12] 那這個第二題是講說這個
[1376.80-1380.00] Adjusted NIM的guidance有沒有做一些改變
[1380.48-1384.08] 那因為我們在做預算的時候本來就是有預期
[1384.12-1385.44] 今年度的這個
[1386.56-1390.52] 這個Fed會有做 外幣會有降息的一個
[1390.52-1394.68] 動作 那我們目前最新的預測跟我們
[1394.68-1398.00] 做預算的一個版本沒有差距太多
[1398.40-1401.76] 那所以我們覺得這個關於這個NIM的一個guidance
[1401.76-1405.32] 我們並沒有要做一個修正 大概還是說在
[1405.32-1407.44] 1.63到1.66左右
[1407.96-1409.52] 那另外在這個
[1410.64-1413.56] Cost Income Ratio的guidance的部分
[1414.32-1418.28] 那我們今年的預期還是會落在這個
[1418.32-1421.40] 銀行的部分還是會落在52到54%
[1421.40-1422.64] 之間
[1423.72-1428.00] 那再來呢 就是有關於這個OPEX的部分
[1428.92-1432.64] 您有提到這個今年度相對的成長是
[1432.64-1433.60] 比較大的
[1434.20-1435.60] 那這裡頭呢
[1436.00-1438.08] 基本上大概有
[1438.76-1440.52] 四成左右的一個
[1441.32-1445.44] 費用是來自於我們的這個跟收入相關
[1445.44-1449.36] 的一個費用的增加 那什麼叫做收入
[1449.36-1453.08] 相關的一個費用呢 主要就是包含
[1453.08-1454.80] 這個我們銷售這個
[1455.52-1458.56] 財富管理的一個銷售基金 那
[1458.56-1461.60] 另外信用卡相關的一個手續費
[1462.04-1464.76] 然後還有這個
[1465.60-1469.44] 收付處的回饋金 徵信費用存保
[1469.44-1472.28] 保費等等的一個增加
[1472.64-1476.56] 那另外在我們的一個人員的一個部分
[1476.76-1480.28] 那用人費用大概增加了
[1482.24-1485.72] 大概有一半是因為調薪的原因
[1486.16-1489.16] 那另外一半大概都是人數的一個增加
[1489.48-1491.00] 我們Total的用人費用
[1491.64-1495.20] Versus去年第一季大概增加了7%
[1496.60-1497.44] 以上說明
[1499.88-1503.16] 有關於受險的一個問題的一個部分
[1503.44-1506.92] 那第一個就是我們在5月4號 5月5號
[1507.28-1510.20] 的臺幣大幅升值的一個狀況底下
[1510.48-1514.40] 那我們看我們5月5號的一個外匯
[1514.40-1515.72] 價格變動準備金
[1516.48-1517.76] 還有45億
[1518.76-1522.08] 那再來就是問說會不會採用親自
[1522.32-1524.80] 就如同先前所講的
[1524.80-1527.28] 因為他裡面所提到的幾個準備金
[1527.28-1529.68] 現在對臺售來講金額都很少
[1529.96-1532.24] 所以目前不會申請親自
[1532.52-1535.72] 那一樣就會是在年底的時候
[1535.76-1539.20] 試用IFAS17的一個情形底下
[1539.20-1542.04] 會有比較多的一個負債會釋出來
[1542.36-1545.16] 所以在那個時候會一併來考量
[1545.32-1547.76] 就是有多少會把它準成
[1548.44-1552.12] 這個新制的一個外匯價格變動準備金
[1553.40-1557.04] 那另外就是有關於EV
[1557.16-1560.24] 這個等價的一個報酬率的部分
[1560.28-1561.44] 那臺幣
[1562.32-1564.20] 是4.18%
[1564.76-1567.16] 那外幣的話是4.88%
[1569.20-1572.48] 那以及就是有問到這個
[1572.88-1577.32] 這個就是新契約價值裡面的一個變動的成分
[1577.48-1580.44] 那這個的影響數
[1582.92-1588.04] 主要還是是投報率所造成的一個影響以上
[1590.48-1591.80] 可以追問一下嗎
[1591.80-1596.76] 就是那個VNP這邊有沒有Single Rate Equivalent
[1596.80-1599.52] 然後那個剛剛說
[1600.24-1602.40] 負的9個億大部分是因為投報率
[1602.40-1604.76] 所以VNP這邊投報率是調降的嗎
[1605.04-1605.60] 謝謝
[1608.36-1610.44] 沒有我更正一下
[1610.48-1614.48] 就是說如果是新契約的
[1616.32-1618.88] 的這個等價的話
[1618.92-1620.68] 臺幣是
[1623.00-1624.20] 4.11%
[1625.00-1628.68] 然後外幣的話是4.96%
[1629.32-1631.24] 那有關於那個差異的部分
[1631.24-1635.04] 我看一下我手上有沒有那個數字
[1635.28-1636.56] 等一下做說明
[1637.76-1638.48] 謝謝
[1639.32-1642.00] 那個新契約的一個影響9億的部分
[1642.04-1644.80] 一樣是反應脫退率的一個影響
[1644.84-1645.76] 是比較多的
[1645.76-1647.24] 那一部分大概是有
[1648.40-1651.64] 就是1.0的一個影響數
[1652.76-1653.40] 以上
[1655.00-1657.24] 接下來請問的是CB Michael張
[1657.24-1657.92] 請發問
[1659.08-1661.48] 感謝關羿誠給我提問的機會
[1661.48-1663.84] 我這邊主要有三個問題
[1663.84-1665.48] 第一個我想請教一下
[1665.88-1669.40] 銀行這邊的手續稅和這個交易收入
[1669.40-1672.12] 在四五月份的Momentum怎麼樣
[1672.12-1674.92] 就是現在整個市場也比較波動
[1674.92-1676.72] 不知道這個市場波動
[1676.72-1680.04] 對我們這一塊非Non Interest Income
[1680.04-1683.56] 有多大的一個有什麼樣的一個影響
[1684.28-1686.72] 然後第二個我想請教一下
[1686.96-1689.76] 就是人壽這邊的
[1689.76-1692.36] Investment Portfolio的這個Breakdown
[1692.36-1695.88] 因為看到一季度我們的Equity的
[1698.56-1701.28] 這個Policy Loan的佔比是
[1701.28-1703.32] 過去一年是增加比較多
[1703.32-1705.16] 然後同時我們的這個
[1706.24-1707.84] Overseas Investment Income
[1707.84-1710.00] Fixed Income是這個
[1710.88-1711.72] 降低了不少
[1711.72-1713.68] 所以我想問一下我們這邊
[1714.04-1716.80] 未來的一個這個投資的這邊
[1716.80-1719.24] 會不會有一個更多的一個調整
[1719.24-1721.08] 因為我記得就是今年
[1721.08-1723.44] 我們需要降低一些海外的
[1723.88-1725.08] 這個資產
[1725.08-1727.84] 然後再回到台灣本地
[1727.84-1730.12] 我不知道說這邊還會不會有一些
[1730.12-1732.00] 更多的一些調整
[1732.00-1735.24] 然後我再想追問一下這個
[1735.80-1737.40] Hatching Cost這邊
[1737.40-1738.68] 因為看到一季度的話
[1738.68-1740.20] 我們的這個Hatching Structure
[1740.20-1742.40] 是沒有太多的變化的
[1742.40-1744.64] 所以不知道到四五月份這邊
[1744.64-1746.64] 現在外匯比較過動的一個
[1746.64-1750.12] 情況下我們有沒有增加我們的這個
[1750.12-1751.84] Hatch的比例 謝謝
[1754.96-1755.56] 好的
[1756.12-1758.72] 首先回答一下銀行有關於這個
[1758.72-1760.84] 手續費收入的一個
[1760.84-1763.04] 四五月的一個影響狀況
[1763.40-1766.92] 那在四月份的一個狀況
[1766.92-1768.72] 就是一剛開始的時候
[1768.72-1771.24] 這個川普的這個關稅宣布
[1771.28-1773.36] 的確對於這個
[1773.84-1776.88] 財富管理的手續費收入造成一些影響
[1776.88-1778.20] 因為投資人的這個
[1779.00-1781.68] 相對的情緒是比較緊張一些
[1782.28-1785.32] 那到五月份我們看到這個
