[0.00-2.60] 對法人及媒體朋友大家午安
[446.60-449.60] 所以我們盡量在今年都是發現金鼓勵
[450.60-452.60] 在資本的部分
[452.60-459.60] 我們今年第一季的金控的BIS ratio達135.18%
[459.60-469.60] 雙重槓桿比例也從去年的116.11進一步優化到115.66%
[469.60-475.60] 銀行的部分因為也是六大國內的D-SERVE銀行
[475.60-480.60] 所以我們更肩負了資本監管的標準
[480.60-486.60] 第一季的時候我們的total cost是16.54%
[486.60-490.60] 第一類資本自主率是14.29%
[490.60-495.60] 普通股資本自主率是14.16%
[495.60-499.60] 所以我們也都已經達到D-SERVE相關的要求了
[499.60-503.60] 至於票券、產險及證券
[503.60-513.60] 他們的資本自主率分別為13.28%、608.52%、346.64%
[513.60-516.60] 也都大幅超越了法定的標準
[519.60-521.60] 在業務概況的部分
[521.60-526.60] 今年銀行第一季的整體放款率已經突破了2.35兆元
[526.60-528.60] 創近5季的新高
[528.60-531.60] YOY成長率達6.7%
[531.60-535.60] Quality on quarter成長率也達1.5%
[535.60-541.60] 期間客戶持續是目前放款業務的核心支柱
[541.60-546.60] 其中以大型企業放款的表現是最為亮眼
[546.60-550.60] 大企業放款YOY成長率達9.5%
[550.60-554.60] Quality on quarter成長率達1.7%
[554.60-557.60] 至於銷金的部分因為受到政策轉變影響
[557.60-561.60] 所以房單業務雖然年增率達8.4%
[561.60-565.60] Quality on quarter的表現就是比較持平一點
[566.60-570.60] 如果針對不同放款的產業趨勢來看的話
[570.60-578.60] 目前國內的資金需求還是以半導體業、綠能以及5G設備
[578.60-582.60] 這些的相關的製造業的放款需求是比較明顯的
[583.60-586.60] 目前今年第一季整體的製造業
[586.60-589.60] Quality on quarter成長率是6.4%
[589.60-595.60] 服務業是9.5%的Quality on quarter成長率是比較突出的
[597.60-600.60] 如果是以不同地區別來看的話
[600.60-606.60] 目前國內分行、海外分行、OBU
[606.60-612.60] 其實放款需求都還算蠻...今年第一季還是相當的穩定
[612.60-617.60] 尤其是國內分行的放款需求是比較明顯的
[617.60-620.60] 年增率達8%
[620.60-623.60] Quality on quarter成長率達3%
[623.60-629.60] 海外分行今年第一季Quality on quarter成長率是1.2%
[629.60-634.60] OBU的放款今年第一季Quality on quarter成長率是2.2%
[634.60-639.60] 目前我們看到海外業務客戶端所展現出來的資金需求
[639.60-644.60] 有包括像綠能光電在菲律賓、澳洲、日本的一些投資
[644.60-650.60] 台商在赴美投資的需求還有越南持續擴廠的需求都很明顯
[650.60-654.60] 未來隨著台商客戶持續推進全球佈局
[654.60-659.60] 擴建廠區還有購置設備以及營運資金上的需求
[659.60-664.60] 都預期會帶動整體海外放款的新的成長動能
[664.60-668.60] 那如果以幣比來看的話
[668.60-673.60] 今年第一季的台幣放款的成長率是比較明顯的
[673.60-676.60] YOY成長率來到了8.5%
[676.60-679.60] Quality on quarter成長率來到2.1%
[679.60-683.60] 那台幣放款的需求的亮眼主要是因為有幾個因素
[683.60-688.60] 第一個就是因為國內科技業的產業景氣明顯是回溫
[688.60-692.60] 房地產因為去年在九月之前
[692.60-698.60] 央行的信用管之前其實是比較屬於高度成長的動能
[698.60-702.60] 另外就是去年我們同期的基期是比較低
[702.60-704.60] 所以有這樣的一些優勢
[704.60-710.60] 所以看得到今年第一季國內放款需求是比較明顯的
[710.60-714.60] YV放款的部分其中是以美元放款比較突出
[714.60-718.60] 今年美元放款YOY成長率達301%
[718.60-722.60] Quality on quarter成長率達20.4%
[722.60-726.60] 那這個季度有爆發性的增長主要是因為幾個原因
[726.60-731.60] 第一個就是因為美元利率有些預期性的下停的趨勢
[731.60-738.60] 所以有些客戶決定在今年第一季去捉到他的美元的一些放款credit
[738.60-741.60] 那當然利率環境也比較優化
[741.60-745.60] 有吃雞放款這個客戶的直接借款需求
[745.60-751.60] 尤其是國內企業他們在外幣需求方面是有明顯的攀升
[751.60-758.60] 那在存款的部分今年第一季存款已達3.08兆元
[758.60-761.60] YOY成長率來到了5%
[761.60-764.60] 那Quality on quarter成長率達1.5%
[765.60-773.60] 那目前銀行子公司還是持續的去推出比較具市場競爭力的一些存款專案
[773.60-779.60] 我們看到說今年第一季在台幣活存的部分有比上個季度增加
[779.60-784.60] 所以讓我們第一季的這個活存比較上個季度增加1.17個百分點
[784.60-786.60] 來到了46.2%
[786.60-788.60] 那如果看到存放比的部分
[788.60-793.60] 今年第一季銀行存放比達74.53%
[793.60-797.60] 較上個季度明顯增加3.21個百分點
[797.60-801.60] 那也優於產業的平均水準72.12%
[801.60-805.60] 那美元存放比目前維持在39.24%
[808.60-809.60] 那存放利差的部分
[809.60-813.60] 今年第一季銀行存放利差來到1.35%
[813.60-815.60] 與上個季度差異不是很大
[815.60-819.60] 那主要是因為全球利率環境的變動的挑戰下
[819.60-823.60] 我們收益有一些不錯的表現
[823.60-827.60] 那當然也反映在這個整個國際市場的變動
[827.60-830.60] 我們適度的調降了一些高收益
[830.60-833.60] 但是高風險的一些放款的比重
[833.60-835.60] 希望能夠優化放款結構
[835.60-838.60] 來確保整體利差維持一個競爭力
[838.60-840.60] 那現在我們看到的這個市場
[840.60-843.60] 來確保整體利差維持一個競爭力
[845.60-846.60] 那在NEM的部分
[846.60-850.60] 今年第一季的NEM表現相當不錯
[850.60-852.60] 達0.96%
[852.60-855.60] 較上個季度增加了6個BP
[855.60-857.60] 主要是因為外域放款
[857.60-859.60] NEM較上個季度大幅的成長
[859.60-861.60] 增加了17個BP
[861.60-863.60] 也反映了外幣放款
[863.60-868.60] 特別是美元放款的需求以及price的增加
[871.60-875.60] 那營養子公司第一季的財務管業務表現相當不錯
[875.60-878.60] 總收益來到了13.26億元
[878.60-881.60] 也創這六個季度來得新高
[881.60-884.60] 延增率達7.37%
[884.60-888.60] 那quater on quarter增加27.99%
[888.60-892.60] 那目前我們看到各個產品線其實都有不錯的成長
[892.60-894.60] 其中銀行保險的首收
[894.60-898.60] 這個季度增加了97.7%
[898.60-901.60] 是比較亮眼的產品線
[901.60-906.60] 同時也反映銀行在年初因為保險需求比較高峰期的時候
[906.60-908.60] 積極拓展相關的業務
[908.60-910.60] 優化產品結構
[910.60-913.60] 還有深化客戶關係所帶來的成效
[915.60-916.60] 那在首收的趨勢的部分
[916.60-919.60] 我們先看左下角的區塊
[919.60-924.60] 銀行第一季的淨首收達22.21億元
[924.60-927.60] 創近四個季度的新高
[927.60-932.60] 那如果排除去年高鐵連帶的10.4億元的一次性的首收的影響
[932.60-934.60] 其實年增是不錯的
[934.60-936.60] 那從上面的資料看得出來說
[936.60-941.60] 財富管業務今年第一季達10.75億元
[941.60-943.60] 年增率高達5%
[943.60-946.60] 是整個首收的核心引擎
[946.60-950.60] 那目前財管的首收佔比已經達48%
[953.60-955.60] 那資產品的部分
[955.60-958.60] 目前NPL Ratio是0.27%
[958.60-962.60] 覆蓋率在第一季達609.82%
[963.60-968.60] 那NPL的波動主要是因為我們去年在獲利創新高的時候
[968.60-971.60] 我們積極的去檢視首上的Portfolio
[971.60-974.60] 看到部分可能有風險的客戶群
[974.60-975.60] 有增加一些提存
[975.60-979.60] 那今年只是陸續這些案子都反映在NPL帳上
[979.60-983.60] 但今年的代帳費用其實是沒有增加的
[983.60-989.60] 我們看到目前第一季的代帳費用是大幅的下降到了3.6億元
[989.60-993.60] 較上個季度的43.6億元是大幅的減少
[995.60-999.60] 不管是新生預放其實也是反映這樣的趨勢
[999.60-1003.60] 那目前不管是大企業正好企業或是房貸的預放
[1003.60-1005.60] 目前都是在穩定的水準
[1007.60-1010.60] 那後續是一些部落的債要跟財報資訊
[1010.60-1013.60] 以及一些補充資料
[1013.60-1015.60] 那以上是我的簡看的報告
[1022.60-1024.60] 好 謝謝林志文先生
[1024.60-1026.60] 本次的簡報到這裡告一段落
[1026.60-1028.60] 接下來將進入問答階段
[1028.60-1032.60] 請要提問的投資朋友可以在畫面右下角的欄位
[1032.60-1034.60] 詢問你的問題
[1034.60-1036.60] 我們將於整理之後同意來回覆
[1036.60-1037.60] 謝謝
[1040.60-1044.60] 好 謝謝各位媒體朋友跟法人的等待
[1044.60-1050.60] 那我們還是先把一些比較大方向跟策略性的問題
[1050.60-1052.60] 先整理一下
[1052.60-1056.60] 那大家其實有些問很多VACO方面的問題
[1056.60-1060.60] 主要是因為川普新政有些法案問到說
[1060.60-1062.60] 我們對於這個權力的問題
[1062.60-1064.60] 我們對於這個權力的問題
[1064.60-1066.60] 我們對於這個權力的問題
[1066.60-1069.60] 川普新政有些法案問到說
[1069.60-1073.60] 我們對於這個全球經濟可能會造成影響
[1073.60-1077.60] 那我們在照風在整個風險控管或是資本規劃
[1077.60-1079.60] 或是營運策略上面
[1079.60-1082.60] 將如何應用這個川普新政的一些政策
[1088.60-1092.60] 好的 我想我對這個問題簡單回顧一下
[1092.60-1096.60] 面對近期川普政府大幅提高關稅
[1096.60-1100.60] 全球的經濟成長一起會下修
[1100.60-1102.60] 在國內經濟方面
[1102.60-1106.60] 社會良好的就業市場支撐民間的消費
[1106.60-1110.60] 還有AI科技發展保持穩健
[1110.60-1114.60] 持續推動民間的投資動能
[1114.60-1117.60] 外需方面則比較分歧
[1117.60-1120.60] 上半年關稅談判期
[1120.60-1123.60] 帶動了進出口成長
[1123.60-1127.60] 但下半年經濟成長動能將會緩緩
[1127.60-1131.60] 根據主席總署昨天的最新經濟預測
[1131.60-1134.60] 上半年台灣的經濟成長率
[1134.60-1138.60] 有望達到5.35%的高成長
[1138.60-1141.60] 為下半年成長率只有一%
[1141.60-1146.60] 另外雖然美中已經達成初步的貿易協定
[1146.60-1150.60] 再加上昨天外電報導
[1150.60-1154.60] 美國貿易法院裁定川普對全球
[1154.60-1159.60] 所實施的各種關稅判定是違法的
[1159.60-1166.60] 因此短期內可望緩解關稅政策的緊張情勢
[1166.60-1171.60] 不過川普政策還是充滿非常高度的不界定
[1171.60-1173.60] 跟不可預測性
[1173.60-1176.60] 所以為了因應挑戰
[1176.60-1178.60] 在風險控制方面
[1178.60-1181.60] 兆豐集團被嚴控信用風險
[1181.60-1183.60] 避免過度集中
[1183.60-1187.60] 並強化有價證件的市場風險管理
[1187.60-1191.60] 本月初新台幣對美元劑列的升值
[1191.60-1195.60] 但因為本集團無受險事業
[1195.60-1199.60] 而且銀行公司所持有的資產都已台幣計價
[1199.60-1202.60] 加上美元部位都已經避險
[1202.60-1208.60] 匯率的波動對我們兆豐整個集團獲利影響相當有限
[1208.60-1210.60] 在營運策略上
[1210.60-1214.60] 兆豐集團將採審慎穩健的方針
[1214.60-1217.60] 主動關懷受衝擊比較大的
[1217.60-1222.60] 農漁業、BHC、消費電子業、航運跟中小企業
[1222.60-1225.60] 提供中小企業周轉金的協助
[1225.60-1229.60] 還有另外大型企業供應鏈移轉的融資
[1229.60-1233.60] 另外在資本規劃跟拓展商機方面
[1233.60-1238.60] 兆豐集團仍然會以風險控環為所要任務
[1238.60-1241.60] 在確保資本穩健下
[1241.60-1246.60] 審慎拓展A5並積極保護新商機
[1246.60-1251.60] 兆豐金控地計資本自主利高達135.18%
[1251.60-1255.60] 資本充足而且銀行受信資產品質穩健
[1255.60-1259.60] 在壓力測試各種不同的情況下
[1259.60-1262.60] 縱使是最嚴峻的情境
[1262.60-1268.60] 集團的資本自主利仍然符合金管會的標準
[1268.60-1271.60] 另外在商機拓展上
[1271.60-1276.60] 兆豐集團會積極爭取關稅政策所衍生的商機
[1276.60-1280.60] 包括爐、台積電、物美投資、供應鏈移動
[1280.60-1286.60] AI伺服器、美國製造機制及AI產業投資等機會
[1286.60-1292.60] 同時我們也會加強財務管理跟多元保險商品的推廣
[1292.60-1297.60] 好,那下一個是很多法人問到我們對於
[1297.60-1303.60] 這個想進一步了解說對於今年的鼓勵政策的一些看法
[1303.60-1306.60] 那像比如說像金周刊也有提到說
[1306.60-1309.60] 我們在現金鼓勵創新高之後
[1309.60-1312.60] 未來是不是有可能再往上加
[1312.60-1316.60] 這蠻多法人問到關於鼓勵政策的部分
[1318.60-1322.60] 好的,關於這個問題我一樣簡單回答一下
[1322.60-1328.60] 本公司113年度的鼓勵政策是經過我們董事會
[1328.60-1332.60] 綜合審慎整個集團的財務比例績效表現
[1332.60-1335.60] 鼓勵配花的持續性跟穩定性
[1335.60-1338.60] 還有集團營運現金流量的狀況
[1338.60-1345.60] 未分配營餘、稅賦、效應及個子公司資本需求等多重面向
[1345.60-1348.60] 進行了審慎評估之後所制定的
[1348.60-1352.60] 已經在今年的4月份董事會中
[1352.60-1357.60] 我們協議通過113年鼓勵配花的金額
[1358.60-1362.60] 您配花每股現金鼓勵新台幣1.6元
[1362.60-1366.60] 這個現金鼓勵可以說是創下
[1366.60-1370.60] 本公司近五年現金鼓勵發放的費考紀錄
[1370.60-1375.60] 充分展現本公司穩現經營的成果
[1375.60-1378.60] 以及對股東潛意的高度重視
[1378.60-1382.60] 本鼓勵配花的案子
[1382.60-1386.60] 我們會提6月份的股東會來審議
[1386.60-1391.60] 我們對經營環境保持著審慎的態度
[1391.60-1395.60] 未來將會持續經進我們整個集團的業務
[1395.60-1399.60] 關注市場的趨勢調整我們的營運策略
[1399.60-1405.60] 提升財務表現同時強化公司治理還有資訊的透明度
[1405.60-1410.60] 在法尊、公控及業務發展之間來起的平衡
[1410.60-1413.60] 以達成股東潛意最大爆發目標
[1413.60-1416.60] 為股東創造長期穩定報酬
[1416.60-1419.60] 落實企業永續經營
[1419.60-1423.60] 希望所有股東持續支持我們造空集團
[1423.60-1429.60] 下一個是很多法人跟媒體朋友都訪問到
[1429.60-1433.60] 我們集團對於一些總體經濟的數字的一些看法
[1433.60-1437.60] 比如說像信傳媒也問到對於台幣的預估的看法
[1437.60-1442.60] 還有一些法人問到有關美國Fed利率的走向
[1442.60-1445.60] 以及國內外通膨的一些趨勢
[1447.60-1453.60] 好 謝謝 其實這個題目如果要回真的是可以講三天三夜
[1453.60-1456.60] 不過因為時間的關係有簡單歸納如下
[1456.60-1458.60] 第一個在匯率方面
[1458.60-1463.60] 新台幣對美元的匯率今年是呈現先貶後升的走勢
[1463.60-1466.60] 連出因為關稅的不確定性貶值
[1466.60-1472.60] 但隨著美元指數失守100關卡後指貶回升
[1472.60-1476.60] 4月底至5月初快速升至30.1
[1476.60-1481.60] 這個原因我們就看了一下爆發央行的一個報告
[1481.60-1484.60] 最主要是因為出口商的拋匯
[1484.60-1489.60] 貿易協商以及還有法人匯入等因素所推升
[1489.60-1493.60] 近期我們政府對這個問題相當的關注
[1493.60-1497.60] 所以針對炒匯的一個行為加強經檢之後
[1497.60-1500.60] 我們可以觀察近期匯價有七穩
[1500.60-1506.60] 短期新台幣兌美元的匯率還是一個期間的一個波動
[1506.60-1510.60] 中長期走勢將會是關稅談判進度
[1510.60-1514.60] 還有整個國際經濟形勢而定
[1514.60-1517.60] 至於央行的利率政策
[1517.60-1522.60] 台灣2025年第一季通膨大概是2.18%
[1522.60-1526.60] 通膨降溫不滑還是很緩慢
[1526.60-1530.60] 主要是受輸口還有侮辱價格直系上漲的影響
[1530.60-1534.60] 我們展望2025年的前年
[1534.60-1541.60] 雖然最低工資調升還有碳匯開增在即等上漲因素
[1541.60-1546.60] 但因為全球景氣緩緩等成因
[1546.60-1552.60] 一估前年通膨的比例大概維持在2%上下
[1552.60-1556.60] 我們台灣央行2022年升息
[1556.60-1559.60] 近期則著重黃字的調控
[1559.60-1566.60] 去年推出七波潛質性信用管制並二度調高充分準備力
[1566.60-1572.60] 考量國內通膨溫和和美國關稅的衝擊
[1572.60-1580.60] 2025年可能要到年底利率才可能微幅下調
[1580.60-1583.60] 關於美國聯準會的政策
[1583.60-1588.60] 我想Fed在5月7日的FOMC會議
[1588.60-1595.60] 維持聯邦基準利率在4.5%已經連續三次不變
[1595.60-1599.60] Fed主席Bowl承認
[1599.60-1602.60] 關稅影響是超過一期
[1602.60-1606.60] 但強調無需倉促來調整貨幣政策
[1606.60-1610.60] 它也不會採取抑黃性降息措施
[1610.60-1617.60] 目前川普政府在貿易移民還有財政等政策上變化莫測
[1617.60-1623.60] 市場上非常難預測其對經濟的影響有多大
[1623.60-1626.60] 聯準會因此傾向維持寬鬆的立場
[1626.60-1631.60] 同時審慎觀察關稅層帶來的通膨壓力
[1631.60-1633.60] 採取觀望態度
[1633.60-1636.60] 以待局勢比較明朗之下
[1636.60-1639.60] 再來採取下一步行動
[1639.60-1643.60] 再來是很多法人跟媒體朋友都有問到說
[1643.60-1649.60] 在川普新政下將會如何影響銀行放款業務
[1649.60-1653.60] 我們今年的整體策略上有沒有發展重點
[1654.60-1659.60] 這個問題我想請我們張宏林行陳建宗副總來回答
[1659.60-1661.60] 來 建宗副總
[1662.60-1664.60] 各位媒體朋友好
[1664.60-1667.60] 針對這個問題我們的看法是這樣
[1667.60-1672.60] 就是說在川普執政下的對等關稅的政策
[1672.60-1676.60] 目前是使得整個市場充滿了不確定性
[1676.60-1681.60] 企業普遍就採取一個保守跟觀望的態度
[1681.60-1687.60] 本行今年度我們設定的放款目標成長率是4.6%
[1687.60-1691.60] 其中國內契金是4.62%
[1691.60-1694.60] 但是我們特別注重中小企業
[1694.60-1699.60] 所以我們中小企業的成長率是把它設定比較高標的在4.83%
[1699.60-1703.60] 消基方面是成長4.76%
[1703.60-1708.60] OBU跟海外分行是4.37%
[1708.60-1711.60] 雖然我們目標是這樣設定
[1711.60-1716.60] 但是因為面對關稅談判跟貿易競爭的不確定性
[1716.60-1720.60] 經濟成長率可能會下修
[1720.60-1726.60] 所以原來預估的放款成長率可能會受到影響的趨緩
[1726.60-1730.60] 在企業金融方面本行調查
[1730.60-1734.60] 客戶已經開始進行營運調整
[1734.60-1737.60] 大多數都是跟美國的廠商
[1737.60-1740.60] 協商關稅負擔比例
[1740.60-1746.60] 部分就面臨下游要求暫停出貨或降價壓力
[1746.60-1749.60] 從議會面看
[1749.60-1754.60] 川普的新任將促使全球的供應鏈再次移轉
[1754.60-1757.60] 增加企業的負美投資
[1757.60-1760.60] 因此會提升對融資的需求
[1760.60-1764.60] 我們本行4家美國存行
[1764.60-1768.60] 已經建立了良好的跨國合作機制
[1768.60-1772.60] 非常有利於把握指示的商機
[1772.60-1775.60] 第二個面向是有關銷經方面
[1775.60-1780.60] 因為關稅政策因此股市的波動加劇
[1780.60-1784.60] 這會增加投資人對於短期資金的需求
[1784.60-1785.60] 但是另外一方面
[1785.60-1791.60] 消費者也可能因為經濟的前景不明而縮減開支
[1792.60-1795.60] 在去年安心成家購物貸款方面
[1795.60-1798.60] 業務的洽詢也非常十分穩定
[1798.60-1804.60] 所以它顯示民間的購物剛性需求並未減少
[1804.60-1806.60] 在信貸方面
[1806.60-1811.60] 3月的信貸競爭數比前兩個月1月跟2月
[1811.60-1817.60] 分別增長了11.82%跟34.6%
[1818.60-1821.60] 為了因應經濟的不確定性
[1821.60-1825.60] 本行今年的重點著重在風險的管控
[1825.60-1827.60] 跟投資組合的優化
[1827.60-1830.60] 採取一個比較審慎的受訊策略
[1830.60-1834.60] 我們會加強評估受到關稅影響的產業
[1834.60-1838.60] 投資處也會調整股票投資的策略
[1838.60-1843.60] 我們的策略是將新增的投資部分
[1843.60-1847.60] 優先會把它分類到FVOCI
[1847.60-1851.60] 原有的投資部位
[1851.60-1855.60] 原有的就是FVPL的部位
[1855.60-1857.60] 我們會把它減降
[1857.60-1862.60] 另外我們會強化生態人緩緩的能力評估
[1862.60-1866.60] 同時我們也會發展海外的業務
[1866.60-1871.60] 特別是憑藉我們先前有協助半導體供應鏈
[1871.60-1874.60] 企業赴美設廠的經驗
[1874.60-1880.60] 可以很徹底的掌握台商擴大美國投資的商機
[1880.60-1882.60] 在財富管理方面
[1882.60-1885.60] 我們會加強我們的資產配置多元化
[1885.60-1888.60] 著重長期的穩健績效
[1888.60-1893.60] 並且主動關懷受到關稅政治影響的客戶
[1893.60-1895.60] 在風險可碰的前提下
[1895.60-1898.60] 提供必要的融資與支持
[1899.60-1902.60] 再來就是有把人提到說
[1902.60-1908.60] 因為今年銀行第一季稅後淨利是呈現衰退的趨勢
[1908.60-1912.60] 想知道未來如何增強整體的獲利動能
[1914.60-1918.60] 這個問題我還是請建中副總來回答
[1920.60-1926.60] 我們銀行第一季的稅後淨利是差不多72.02億
[1926.60-1932.60] 目前仍在超越我們全年的預算目標的執行進度
[1932.60-1938.60] 所以我們獲利成長的動能持續符合年初的預期規劃
[1938.60-1945.60] 面對台灣金融市場的等定頻繁還有競爭加劇的環境
[1945.60-1948.60] 我們已經設立了全方位的策略
[1948.60-1951.60] 來維持競爭力和恢復我們的獲利動能
[1952.60-1955.60] 今年的第一季獲利跟去年同期比較
[1955.60-1964.60] 下滑主要是因為在去年年初有一筆高鐵利息的股長金的一次性收入
[1964.60-1967.60] 今年就沒有這個一次性的收入
[1967.60-1971.60] 另外就是因為今年全球的金融市場波動
[1971.60-1974.60] 所以財務操作的困難度增加
[1974.60-1978.60] 在這個方面的獲利減少了17.31億
