[0.00-6.24] 今天我們原副春季的投資論壇將開始
[645.72-649.56] 那今年就希望透過公控通訊跟消費性
[649.56-656.98] 這個三個產品的類別的帶動讓整體的合併收費回到用的這個規模
[656.98-657.50] OK
[657.50-659.04] 那
[659.04-664.66] 所以那剛剛也提到就是說針對營收的這一塊
[664.66-670.56] 那所以馬龍利率規模當然是希望維持像以往的這樣的一個水準
[670.56-673.88] 那可能另外特別提到就是說費用率
[673.88-677.98] 如果說我們以往的費用率約莫大概就是在
[677.98-680.80] 5到6%之間
[680.80-686.94] 那不過去年的話其實在費用率上面有成高那大概可以規定大概是主要是三個元元
[686.94-688.48] 三個原因的因素
[688.48-694.62] 那第一個當然就是說其實因為配合客戶的這個需求在研發的程度上沒有持續的增加
[694.62-698.98] 那我想這個對於一個挪威跟客戶在產品合作上會有助益
[698.98-701.28] 這是必須要有一個投資
[701.28-703.32] 那第二個的話就是說
[703.32-706.40] 我們在因為整個供應鏈的調整
[706.40-711.78] 那我們在大陸地區的這個產能其實我們做了一些整併
[711.78-713.30] 因為
[713.30-715.86] 可能在大陸的訂單
[715.86-716.90] 預計的這個產能是有所增加的
[716.94-717.96] 所以我們自己可能
[717.96-719.50] 因為像以往來得這麼好
[719.50-722.82] 所以我們就有買一些閒置的產能去做一些調整整併
[722.82-725.64] 所以產生了一些這種一次性的這些費用
[725.64-727.70] 那就是發生在去年度
[727.70-730.26] 那第三個的話就是說
[730.26-731.28] 我們就是
[731.28-733.06] 就是我們第四點
[733.06-736.40] 其實本廠上來以後他積極在尋找就是說
[736.40-738.96] 因為ICT產業就我們物體來看
[738.96-741.52] 如果我們要在大幅度的營收成長
[741.52-742.80] 或是成長的話
[742.80-744.34] 相對來講就要有難度
[744.34-746.90] 那希望積極透過併購的這個模式
[746.90-748.94] 可以找到我們的第二個成長期
[748.94-750.74] 那所以其實在去年度
[750.74-753.56] 我們就投入比較多的這個
[753.56-756.12] 費用在做經濟調查
[756.12-757.14] 或是在跟
[757.14-759.96] 併購客戶的這個部分
[759.96-761.74] 發展化了比較多的這個費用
[761.74-763.54] 所以導致二次年度
[763.54-765.34] 我們的費用比較高
[765.34-766.86] 那今年度的話
[766.86-767.90] 就是
[767.90-771.98] 也就是我覺得研發的這一塊費用當然是持續投入
[771.98-774.80] 那可是像剛才講的第二點
[774.80-776.60] 大陸的這個因為已經調整完畢
[776.90-778.94] 費用就不會再產生了
[778.94-780.48] 那第三個就是說
[780.48-781.50] 在
[781.50-782.78] 收購費用的部分
[782.78-784.32] 原來今年還是積極
[784.32-787.90] 因為現在大概都還有兩個三個案子在談
[787.90-788.94] 那
[788.94-790.22] 可是看起來就是說
[790.22-793.80] 初期費用大概在去年大概都已經
[793.80-794.56] 熱烈污穢了
[794.56-796.62] 今年大概相對來講比較少
[796.62-799.18] 所以我們希望在今年的這個費用率
[799.18-801.48] 能夠回復到一用的水平
[801.48-802.50] 控制到
[802.50-804.54] 大概是到
[804.54-806.08] 6%以下
[806.08-806.86] 然後以這樣
[806.90-811.00] 因為我們希望整體的OPE和民業率能夠
[811.00-811.76] 維持在
[811.76-812.54] 大概
[812.54-815.34] 6%以下這個水準
[815.34-818.16] 我想這個應該是我們今年的這個目標
[818.16-820.22] 我們會努力往前去做
[820.22-822.26] 那業外的部分我想主要
[822.26-824.06] 就這幾個產業來講
[824.06-825.58] 主要還是匯率的影響
[825.58-827.12] 那匯率的影響
[827.12-828.92] 這一段就
[828.92-830.20] 就比較難估了
[830.20-831.22] 所以
[831.22-833.78] 大概針對Operation Fund的目標
[833.78-835.32] 大概就是這樣子
[835.32-836.86] 那最後
[836.90-839.20] 再也跟大家報告一下就是說
[839.20-841.76] 其實我們今年1月份
[841.76-843.82] 其實今年的
[843.82-846.12] 農曆春節假期是在1月份
[846.12-847.90] 去年是在2月份
[847.90-849.70] 那今年的話
[849.70-852.26] 我們的營收其實相對
[852.26-855.08] 以相對去年來講大概有12成的成長程度
[855.08-856.86] 不講主要當然就是說
[856.86-859.42] 消費性客戶才開始拉貨
[859.42-860.46] 這個也是影響
[860.46-863.26] 第二個重要因素應該是說
[863.26-865.58] 針對美國的這個關稅政策的問題
[865.58-866.86] 其實客戶這邊的確是有很大的影響的問題
[866.90-868.44] 因為其實在農曆以前有
[868.44-871.26] 集單提前拉貨的這個動作
[871.26-873.04] 所以導致就是說
[873.04-875.86] 雖然今年農曆春節假期是在1月
[875.86-878.42] 但是我們1月份的營收成長還是比去年高
[878.42-879.96] 大概2.15成長
[879.96-882.52] 這個大概是1月份的概況
[882.52-885.84] 那2月份是目前還正在結
[885.84-889.42] 但是因為去年的那個
[889.42-891.48] 農曆春節是在2月份
[891.48-894.30] 所以這樣其實就一起來講就比今年
[894.30-896.08] 絕對比今年低
[896.08-896.86] 那目前
[896.90-898.44] 看起來初步期
[898.44-900.22] 因為我還沒得到最後數字
[900.22-902.78] 但是目前看起來一定是比去年成長
[902.78-905.60] 那應該是有機會會比
[905.60-908.42] 1月份的成長率還來得好
[908.42-910.72] 這個大概是目前看的情況
[910.72-912.26] 今天跟大家做個報告
[912.26-914.56] 那可能這句數字就等我們可能是
[914.56-918.92] 這周我想說公告以後再請大家來
[918.92-919.94] 看這個數字
[919.94-925.58] 那這個大概是我們25年的一個概況
[925.58-926.86] 那接下來第三個
[926.90-929.46] 第三句可能就請大家看一下
[929.46-931.00] 因為這個大概都是歷史數字
[931.00-934.06] 我想大家的電腦裡面應該都有這些的數字
[934.06-934.58] OK
[945.58-946.86] 那最後的話
[946.86-948.92] 就再跟大家報告一下
[948.92-949.68] 就是說
[949.68-950.96] 因為其實
[950.96-953.02] 公司最近在
[953.02-955.06] 我們在營運型態在
[955.06-956.86] 在公司的場子大概都有做了比較多的事
[956.90-957.92] 比較大的改變
[957.92-960.22] 因為在新店跟工業區
[960.22-962.02] 那個是比較老舊的廠房
[962.02-963.56] 當然就是說
[963.56-965.10] 當然為了整個
[965.10-965.86] 新的廠房
[965.86-968.94] 為了投資這一個在研發上面更多
[968.94-970.22] 尋找更好的人才
[970.22-973.28] 所以其實在去年大概11月底
[973.28-976.62] 我們從那個新店搬到了台北
[976.62-978.40] 新北市
[978.40-979.68] 新北市中和
[979.68-981.98] 台北科技公園的新廠辦
[981.98-984.30] 這廠辦就是在那個
[984.30-986.86] 好市多中和好市多建八路這一個公司的
[986.90-988.94] 這個對我們來講算是
[988.94-990.48] 比較大的一個事件
[990.48-992.78] 因為是一個全新的辦公室
[992.78-994.32] 希望能夠在這邊
[994.32-996.88] 對未來會有更好的一個出發
[996.88-999.44] 跟他們一起做報告
[999.44-1002.52] 那第二個就是說因為這幾年
[1002.52-1004.56] 其實在ESG的這個
[1004.56-1007.38] 形態上面其實都是非常重視的一個項目
[1007.38-1009.18] 所以其實我們也在去年
[1009.18-1012.24] 針對特別針對公司的網站裡面
[1012.24-1014.30] 這個去經營的這個板塊
[1014.30-1016.86] 我們做了整個版面架構的一個內容
[1016.90-1017.92] 然後再調整
[1017.92-1020.74] 那也歡迎大家有空都可以到這個網址
[1020.74-1022.54] 上面去參考
[1022.54-1026.88] 那特別報告就是說我們在2023年度的有趣報告書裡面
[1026.88-1028.16] 我們是有經過
[1028.16-1029.18] 特別就請
[1029.18-1030.72] 我確認的會計師P.L.M.C
[1030.72-1034.06] 資深聯合會計師事務所
[1034.06-1036.10] 有幫我們去報告這種確信
[1036.10-1038.66] 有第三方的這個讀進給我的認證
[1038.66-1040.46] 那這個裡面
[1040.46-1042.24] 比較大核電點
[1042.24-1045.06] 還有比較重大量量跟大家送的報告就是說
[1045.06-1046.86] 其實我們在年度
[1046.90-1048.18] 碳能的
[1048.18-1051.26] 強度的下降方面有達到3.66%
[1051.26-1054.06] 所以那可能忘了一聲
[1054.06-1058.42] 沒有跟大家講說相對為止3.66%是比較大的一個亮點
[1058.42-1064.06] 因為原先其實我們每年設定大概是減碳1.5%
[1064.06-1067.64] 那其實去年其實在整個廠區大家都很努力
[1067.64-1070.96] 特別是我們在碳能的裝置上面建設比較多
[1070.96-1076.34] 所以其實達到了翻倍的也就是說我們以來設定目標達到兩倍以上的減碳率
[1076.90-1079.72] 所以這個就是我們自己比較驕傲的一個地方
[1079.72-1084.32] 那另一個就是說我們在年度的這個稅的節水率
[1084.32-1086.62] 達到了15.86%
[1086.62-1089.70] 其實對我們來講也不一樣而已
[1089.70-1092.78] 那其實說穿了跟大家講就是說
[1092.78-1096.10] 其實我們發現就是說其實真的也很簡單
[1096.10-1099.18] 其實我們就只是把我們廠區認證派人
[1099.18-1100.70] 去把所有的管線
[1100.70-1102.76] 全部尋覆一遍
[1102.76-1105.06] 他透水的點通通補起來
[1105.06-1106.86] 節水率就可以達到15.86%
[1106.90-1111.50] 這個給我們的一個經驗就是說其實在細節的地方
[1111.50-1116.12] 我們其實針對這一塊都會有蠻大的一個回饋
[1116.12-1117.90] 對公司來講其實也沒有很花
[1117.90-1119.96] 因為我們就是派自己的員工去做自己的員工
[1119.96-1123.54] 所以就說特別是針對這兩個亮點
[1123.54-1125.58] 給大家做一個報告
[1125.58-1128.14] 那另外第三個就是說
[1128.14-1130.20] 我們在煙台紅華社的整構室
[1130.20-1135.32] 因為它這個是專門做PCB的這個產品
[1135.32-1136.86] 那它在去年度其實也很容易
[1136.86-1140.96] 就是說當我們跟著整個大集團去做申請
[1140.96-1145.30] 它拿到的就是零眼不經級的這個最高等級的這個認證
[1145.30-1147.86] 那這個對我們來講也算是一個蠻大的福
[1147.86-1149.92] 就是說even我們是PCB
[1149.92-1153.24] 算是相對來講比較高污染性的一個產業
[1153.24-1157.08] 但是其實我們在努力其實還是可以得到外面的一個認可
[1157.08-1158.62] 那最後當然就是
[1158.62-1161.94] 因為其實總統黨和總經理最近對於
[1161.94-1166.56] 就是說我們整個台灣的這個公司的評鑑商業面也相當的重視
[1166.86-1169.68] 但是我們在去年底我們也特別委託就是
[1169.68-1171.46] 台灣投資人關係協會
[1171.46-1174.02] 針對董事會的這個績效
[1174.02-1175.82] 做了一個外部評估報告
[1175.82-1177.36] 那也都順利完成了
[1177.36-1179.66] 那這些其實相關的資訊
[1179.66-1183.50] 我們大概都已經放在公司的網站上面
[1183.50-1186.82] 那當今年的董事會領導人去做了許多節目
[1186.82-1190.92] 那歡迎大家有時間的朋友都可以到董事會網站
[1190.92-1194.50] 我們是到董事會的資訊來參考
[1194.50-1195.54] OK
[1195.54-1196.82] 那以上大概就是
[1196.86-1198.66] 今天簡報的內容
[1198.66-1201.46] 那接下來就請看看各位有資訊的內容
[1201.46-1203.00] 如果有什麼問題都歡迎提出
[1203.00-1204.02] OK謝謝大家
