[0.00-7.64] 各位投資先進
[267.80-273.84] 主要现在在台湾在销售系统相关的这些supplier
[273.84-275.64] 大概就是HP
[275.64-277.16] 或是思科
[277.16-278.44] Dell
[278.44-280.50] IBM这几个厂商
[280.50-282.04] 对应的大概
[282.04-285.10] 只要是跟这些原厂supplier
[285.10-286.26] 有合作关系
[286.26-289.46] 通常我们的销售成绩都是第一名
[289.46-290.22] 所以
[290.22-291.00] 有许多
[291.04-292.84] 从原厂来的厂项
[292.84-294.12] 这是系统产品
[294.12-296.16] 再来这个是比较偏
[296.16-297.18] 资料管理
[297.18-299.48] 所谓资料管理就是做比如说备份
[299.48-301.80] 资料的备份资料的储存
[301.80-304.10] 还有资料的异地备源等等
[304.10-306.66] 那就来自许多家包含
[306.66-311.78] 这个做资料管理的厂商software为主像Vim
[311.78-314.08] 这样子的公司其他这样比较偏
[314.08-318.94] Away跟software都有了像Fuji像NetApp等等
[318.94-319.96] 请各位参考
[321.04-323.34] 再来是偏Networking
[323.34-327.44] 我讲这个Networking是主要是指Data networking
[327.44-331.80] Data networking就是我们一般Campus或者是企业
[331.80-334.60] 里面用的这些资料网络
[334.60-335.38] 不是电信网络
[335.38-337.94] 电信网络另外一件事情
[337.94-343.56] 那这几个厂商大概就是主要现在在资料网络上面的key player
[343.56-345.36] 像HP的Luba
[345.36-348.68] 思科当然是已经行之有年都是
[348.68-351.00] 在站在龙头的地位了
[351.04-354.88] 还有包含像HP16
[354.88-356.92] 他自己其他的交换设备等等
[360.76-362.82] 私讯安全就很多了
[363.32-365.38] 私讯安全大概也是在这
[365.64-366.40] 已经很久了
[366.40-368.70] 从过往到未来我相信
[368.96-371.78] 他都会是一个屹立不摇的一个产业
[372.28-375.62] 人家讲道高一尺谋高一丈现在又有这个
[375.88-377.66] 人工智慧的这个加持
[378.18-381.00] 不管是好的是坏的都会变得更好或更坏
[381.04-382.84] 这是必然会发生的
[383.08-384.36] 所以工房之间
[384.62-385.40] 就会
[385.64-388.46] 持续让这个资讯安全产业蓬勃发展
[388.72-392.82] 那这是我们代理的许多跟资讯安全相关的产品
[393.08-394.60] 那这些原厂给我们的一些
[394.86-395.38] 一些巧项
[395.64-397.42] 里面包含了Cisco
[397.94-398.70] Palato
[398.96-399.72] Growthstripe
[399.98-401.00] Citrix等等
[401.78-405.88] 下一页呢就是也是资讯安全相关的东西
[406.12-407.40] F5 Checkpoint Cisco
[407.66-408.44] OpenTex
[408.68-409.46] 4DNet
[409.96-410.74] Cyborg
[411.04-413.86] 这里面包含了各式各样的资讯安全包含
[414.12-416.42] 防火墙包含网页防火墙
[416.68-418.46] 也包含了那些特权
[418.72-420.00] 帐密控管
[420.26-421.80] 也包含了一些
[422.04-423.08] 我们做SD-WAN
[423.32-423.84] 是那种
[425.12-427.94] 网路相关可以做透通安全
[428.20-428.70] 控制
[428.96-429.98] 等等许多
[434.60-440.22] 再来这是其他其他就是可能是跟我们做一些类似像
[440.22-442.52] Hyperconverged一体机
[442.78-444.82] 就是它包含的储存
[445.08-447.64] 包含了computer就是我们计算
[447.90-449.18] 包含了网路
[449.70-450.20] 等等
[450.46-452.50] 一起整合一些相关产品
[452.76-454.30] Nutelix HPE Dell
[454.82-455.32] 都有
[461.98-462.50] 那
[463.52-465.30] 特别拿这件事来讲
[465.82-466.58] 我也不知道为什么
[468.90-470.18] 这家公司
[470.48-474.58] 它现在股价我记得没记错现在是USD
[475.08-476.88] USD440-450
[477.38-479.18] 前一阵子他们搞了一个蓝屏
[479.44-480.46] 这家公司还是非常强
[480.72-483.28] 那时候他们就是出了一个小包
[483.78-485.32] 造成许多这个
[485.84-487.38] 微软的这个机器当机
[487.88-491.46] 那其实他们的设备还是他们的系统还是在持续在运行
[491.72-493.00] 但是微软就当掉了
[493.78-497.36] 所以那个时候他股价跌到200多现在又回到更高
[497.62-500.18] 这家公司现在在这个端点服务这个领域
[500.48-502.78] 是非常非常强不是第一名就是第二名
[503.54-506.10] 那他们在全球有这么多个
[506.36-508.16] 合作厂商国外这些
[508.66-511.48] 国际的厂商那唯一被列在
[511.74-513.78] 这里面就是我们对应科可以看看右下角
[515.06-516.10] 我们是
[516.60-519.42] 他在台湾销售最大的一个合作伙伴
[524.28-524.80] 好
[525.06-525.56] 那
[526.08-527.10] 除了我们有
[527.36-529.40] 完整的解决方案不管是治安
[529.66-530.18] 在这一阵
[530.48-531.76] 这个是要去呼应治安
[532.02-533.80] 我们技术面的东西
[534.06-534.82] 已经
[535.34-536.36] 非常完善
[537.38-539.18] 再来就是我们要做
[539.94-540.98] 管理面的东西
[541.48-546.10] 管理面的东西呢我们就去当然就是要通过ISO27001
[546.86-551.22] 那CNS27001是台湾版的一个公部门有些部门会要求
[551.46-553.00] 其实basically他跟
[553.26-555.56] 27001的ISO27001是差不多
[555.82-557.36] SMS规范是差不了多少
[557.62-558.90] 这两个我们都有通过
[559.14-560.18] 那我们在去年
[560.48-561.76] 也通过了27001
[562.02-563.04] 个资保护
[563.54-565.34] 因为我们有可能会
[565.60-568.16] 接触到客户的个资比如说我们做的
[568.42-570.20] 某些服务语音的服务
[570.46-573.02] 可能是帮客人的中端
[573.28-576.10] 电脑做监控做他的安全监控那有可能会
[576.34-579.16] 设备到这个东西说必须要通过这样子认证
[579.68-581.22] 所以我们除了技术面的东西
[581.46-583.26] 管理面的东西我们也都到位
[584.54-588.64] 这是我们的服务据点台湾大概整个Support Network
[588.90-589.92] 一路从台北到
[590.22-590.98] 越南的高雄
[593.04-594.06] 大概有8个据点
[594.32-594.82] 那
[595.08-595.60] 海外
[595.86-598.42] 主要China就是苏州上的宁波
[598.66-600.72] 我们越南当初是因为
[600.98-601.74] 越
[602.00-602.76] 越刚
[603.28-604.82] 越南钢铁厂建构
[605.06-608.90] 建制所以我们也那时候派不少的工程师去那边协助建制
[609.16-610.18] 各式各样的工程师
[610.70-611.72] 后来就是
[611.98-613.52] 也必须要在那边做尾运
[614.54-616.34] 顺便我们也在那边做一些
[616.58-617.86] 其他可以可以
[618.12-618.90] 可以做生意
[618.90-623.00] 那美国有一个Depot Center主要大概就提供Depot Service
[623.50-625.04] 这是邓洋科的Service Network
[626.06-626.84] 请大家参考
[627.10-629.40] 行销组织大概可以分成
[630.42-631.44] 6个
[631.70-632.22] 事业群
[633.50-634.78] 这都是行销单位
[635.02-635.54] 那
[636.30-638.86] 主要可以说是以
[639.64-640.66] 区域来
[640.92-641.42] 分
[641.68-645.26] 第一事业群大概主要就是在新竹及中台湾
[645.52-647.82] 第二事业群大概就是在新竹
[648.08-648.60] 也是中台湾跟南台湾
[648.90-653.00] 但是他们focus的一些解决方案是不一样的
[654.02-657.60] 比如说第一事业群过往他们比较focus在IBM的解决方案
[658.12-659.40] 第二事业群现在
[659.66-661.18] 之前focus比较在Sun Micro
[661.44-662.46] 但现在已经不是这个样子了
[663.24-664.52] 其实很多东西都已经mixed
[665.02-666.56] 都是以客户为主
[667.08-667.58] 再来
[668.10-669.12] 第六第五事业群
[669.38-672.70] 第六事业群大概就是在台北为主
[672.96-674.50] 金融保险电信
[675.78-676.54] 医疗
[676.80-677.58] 还有公部门
[677.82-678.86] 第八事业群就是民营
[679.16-679.66] 电信
[679.92-680.44] 影视媒体
[680.70-681.20] 能源绝电等
[681.46-683.00] 第九事业群中华电信
[683.26-684.28] 他主要是看中华电信
[684.54-685.30] 中华电信非常大
[685.56-687.60] 第五事业群大概是以资安为主
[687.86-689.14] 他原本是
[689.40-692.46] 一个professional service team是我带的
[692.98-694.26] 那后来因为
[695.54-697.34] 因应这个资安需求的
[697.84-699.64] 持续扩增所以干脆
[699.90-701.42] 就把它变成一个
[701.94-703.22] 一个property center
[703.48-704.76] 就是以资安为主
[705.26-707.06] 然后服务全台湾所有的产品
[707.82-710.38] 大概我们行销组织这样分类
[711.66-712.18] 好
[712.44-714.48] 接下来比较偏我们做些什么事
[716.28-720.12] 这张图大概就是在讲敦阳科扮演的角色
[720.62-723.96] 我们协助我们的客人在中间这一堆云里面
[724.22-726.00] 去产生架构
[726.26-729.58] 各式各样的服务里面包含的所有里面提到都是我们
[730.86-733.94] 过往现今未来有可能替我们客户
[734.20-737.02] 或者是协助我们客户或是跟我们客户一起进行
[737.32-738.86] 各式各样的ICT的服务
[740.14-741.92] 所谓的big data现在大概都在讲
[742.44-743.98] 现在讲的东西大概
[744.22-745.26] 也已经变成
[745.50-746.78] 朝AI那边靠去
[747.04-749.60] 所有东西大概跟AI都已经越靠越了
[750.38-751.14] 那里面
[751.40-753.96] 包含了各式各样的远距医疗
[754.46-755.74] 工厂自动化
[756.00-756.52] 等等
[756.78-758.06] 那再来就是说
[758.30-760.62] 所有这些服务要靠什么东西去交付
[761.12-761.90] 交付到哪里
[763.94-765.22] 透过最下面
[765.48-766.76] 互联网我们有去
[767.82-769.88] 去做
[770.14-772.18] 或是提供我们的电信公司
[772.44-773.72] 还有这些Cable页面
[774.22-775.50] 相关的解决方案
[775.76-777.56] 让他们能够用电信网络
[777.82-779.86] 或是Cable的这个Broadband宽屏
[780.38-782.16] 让他能够提供资料网络
[782.42-784.46] 这资料网络不管是资料或者语音
[784.72-785.50] 都可以做
[785.74-786.26] 那
[786.52-789.34] 就经由他们去做交付交付到哪里呢
[789.58-792.40] 就右边这一些包含企业个人电脑
[792.92-793.94] 家庭
[794.46-796.24] 或者是Mobile device
[797.06-798.08] 然后OT
[798.34-798.86] 等等
[799.10-800.90] 那其实这一堆
[801.16-802.18] 的
[802.44-804.22] 不同的这些组成
[804.74-808.06] 最终还是要靠商业行为来促成这些事情发生
[808.58-809.86] 所以敦阳科呢
[811.14-812.16] 也有跟
[812.42-816.78] 所谓这些采购赞助商开发者内容供应商一起合作
[817.02-823.42] 来把中间这些服务做得更完善因为你必须要有这个driver就是这个驱动
[823.94-824.96] 可以促使
[825.22-825.98] 一些
[826.24-827.02] 各式各样的
[827.28-829.06] 服务可以蓬勃发展
[829.58-830.34] 要有人买
[831.88-832.90] 才会有人要卖
[833.42-834.96] 要卖什么东西就要去想
[835.46-837.26] 要想就需要靠
[837.52-838.80] 各式各样的
[839.06-840.34] 领域的人去
[840.58-842.12] 发挥去做Primetuming
[842.38-844.18] 然后提供出各式各样的内容
[844.42-845.46] 才有可能把
[845.70-846.22] 这
[846.48-846.98] 这么多的
[847.24-849.54] 这么多的语音一个一个把建构出来
[850.06-851.86] 这张图大概的意思是这个意思
[852.62-855.94] 再来呢再把它简化这就比较更更
[856.20-856.98] 直白一些
[857.28-859.06] 对象科大概从
[859.32-861.38] 中间这个中介软体
[861.88-862.90] 从上往下
[863.16-864.44] 往下就是
[864.70-865.22] 资讯
[865.46-867.26] 基础建设里面包含了
[867.52-869.06] 刚刚提到资料管理
[869.56-870.34] 资讯安全
[870.84-872.90] 系统平台跟资源管理
[873.92-875.70] 所有的资料管理架构在系统
[876.74-881.34] 系统平台他的资源管理定是要去管理他到底他现在
[881.60-883.64] 这个系统他到底他的
[883.90-886.20] 忙碌程度或者是他已经太忙
[886.46-887.48] 或者是他一点都不忙
[888.00-891.32] 是不是可以让其他的应用才使用这个大概就跟资源管理相关
[892.34-893.88] 我们都知道现在
[895.16-896.70] NVIDIA的GPU卖得很好
[897.20-898.74] 那他是WONDERF
[899.00-899.76] 其中一项
[900.28-901.04] 算力提供
[901.30-903.86] 现在的算力并非所有都是在GPU上面
[904.12-905.40] 也有在CPU上面
[905.92-908.72] 那我们企业除了用在CPU GPU
[908.98-910.26] 也有用到虚拟机上面
[910.52-912.56] 那自己虚拟机通常都降到CPU上面
[914.10-916.16] 在最底层就是我们刚提到的网路
[916.46-917.74] 那网路当然要做管理
[918.00-919.78] 网上就是各式各样的应用
[920.56-924.40] By vertical有制造业的应用包含了ERP、CRM、SCM
[924.64-925.68] MES等等
[926.44-926.96] 那
[927.46-930.02] 特别一题我再多提一下就专属领域
[930.28-932.58] 像一些环境监控我们台湾的
[933.10-935.66] 这个高速公路的边坡曾经崩过
[936.16-938.98] 水库的边坡也曾经下陷
[939.24-941.80] 然后我们的寒洞像这个轨道
[942.32-943.60] 铁轨这个
[943.84-945.90] 高铁或是台铁这些山洞
[946.20-947.48] 是不是有可能会
[948.00-949.78] 它都需要一些监测
[950.04-952.34] 那这个监测如果是靠电子式的话呢
[953.12-954.64] 它会有产生干扰
[954.90-956.18] 会有向位移动
[956.44-957.98] 所以会造成它失震
[958.48-963.10] 那是不是有更好的东西呢?像我们有一些FPC的解决方案全部是用光纤
[963.60-965.40] 那这种光纤的东西它也不需要电
[965.92-967.70] 它也没有向位位移的问题
[968.22-969.50] 它只需要一条光纤
[969.76-974.62] 所以它所有的不管是挤压或者是拉扯或者是硬力各式各样硬力
[974.88-975.90] 它都可以去监控
[976.20-979.02] 所以这个部分也是我们有投入的一些
[979.52-981.84] 再来金融服务业的
[982.60-984.14] AML反洗钱
[985.16-986.44] 高频交易等等
[987.72-991.56] 那左边是我们敦阳科不管是从software development
[991.82-993.36] infrastructure development
[993.60-994.88] 还有project management
[995.66-996.68] 对我们的客人
[997.20-1000.78] 从右边这一堆东西里面去执行的专业模式
[1003.08-1006.16] 好我特别要讲几个东西的第一个是人工智慧
[1006.46-1008.24] 人工智慧
[1008.76-1011.58] 我们看到的是
[1012.34-1014.90] 现在开始
[1015.16-1016.70] 这个需求度大增
[1017.20-1019.76] 真的要感激一下DeepSync
[1020.02-1020.54] 它的开源
[1021.04-1023.10] 它的开源造成
[1023.36-1024.64] 其他的player
[1025.14-1027.70] 过往套称是那些领先的player
[1027.96-1029.24] 也非得开源不可
[1030.00-1034.36] 也因为开源也因为一些人工智慧的投入者
[1034.88-1036.16] 比如说他把
[1036.46-1037.22] 大的模型
[1037.48-1039.28] 把它增六成小的模型
[1040.04-1044.40] 然后运用在比较专属的领域我不需要这么大的模型
[1044.64-1047.98] 变成他导入的成本跟门槛就相对降低非常非常多
[1048.24-1049.00] 所以
[1049.52-1051.30] 使用者就是我们讲的客户
[1051.82-1054.64] 就有机会去导入而不是像过往
[1055.40-1060.52] 随便要弄一个模型都是就算你开源像一些Lama3开源
[1060.78-1063.08] 那一个模型都是几百个billion
[1063.34-1065.64] 那个不是一般电脑可以去支撑的
[1066.46-1069.02] 都是上千万的电脑才有可能去做
[1069.28-1069.78] 好
[1070.04-1070.56] 那
[1070.80-1071.32] 所以
[1071.58-1073.12] 我们做些什么事情
[1073.36-1075.16] 我们除了提供我们的客人
[1075.42-1076.70] AI的基础建设
[1077.20-1080.28] 里面包含了他这个container docker的建构
[1080.54-1082.32] 还有包含他的data governance
[1082.58-1083.36] 怎么去管理
[1083.86-1084.88] 这个资料
[1085.14-1086.42] 怎么去管理他的container
[1086.94-1087.96] 让他可以
[1088.22-1089.76] 高移植性高延展性
[1090.26-1091.04] 可以从
[1091.28-1093.08] 不同的地方比如说你可以放在家里
[1093.84-1094.88] 家里的开发环境
[1095.12-1095.64] 执行环境
[1095.64-1096.16] 或者是把它
[1096.46-1097.74] 迁移到云上面
[1098.24-1099.02] 云有很多云
[1099.28-1100.56] 你可以迁移到Amazon
[1100.80-1102.08] 迁移到Google
[1102.34-1103.36] 或者迁移到
[1103.62-1104.40] 其他地方
[1104.64-1107.20] 那我们只要是用Docker这样子的架构
[1107.46-1108.24] 是都可以迁移
[1110.02-1111.04] 再来就是资料整合
[1111.30-1112.08] 刚刚已经提过
[1112.32-1114.88] 我要确定你的资料品质饮食安全和规
[1115.14-1116.68] 所以这个部分是很重要的
[1117.70-1118.72] 这都是基础工
[1118.98-1121.80] 有做完这些东西我们再谈后面的AI
[1122.32-1124.88] 算力就不谈了算力也是敦扬
[1125.12-1125.90] 呃
[1126.20-1130.04] 经营这么久的一项很专
[1130.30-1131.06] 很专
[1131.32-1132.60] 很专属
[1132.86-1134.40] 也已经做了很久的一个生意
[1134.64-1135.16] 就比较偏
[1135.42-1137.46] 基础建设就是跟算力有关的
[1137.72-1139.00] 跟储存跟网络
[1139.26-1140.80] 跟效能跟安全有关
[1141.04-1143.10] 那另外呢再提到的是说
[1143.36-1145.40] 我们还有另外两个触角
[1146.16-1147.44] 这张图我们要update
[1147.70-1149.24] 像NVIDIA的AI Foundry
[1149.50-1150.78] 其实basically跟
[1151.04-1152.32] Ivian的WatsonX
[1152.56-1153.84] 都是我们在努力
[1154.10-1154.62] 主推的
[1154.88-1155.90] 一个一个
[1156.20-1156.72] 一个
[1157.74-1159.78] Brainwork就是一个架构型的东西
[1160.30-1163.88] 那对客户来讲他能够非常快速的Time to market
[1164.14-1166.44] 因为不管是NVIDIA的AI Foundry
[1166.70-1167.98] 就是他的AI工厂
[1168.24-1169.52] 或者是Ivian的WatsonX
[1169.76-1171.30] 他里面已经有很多
[1171.82-1173.36] 已经被训练好
[1173.86-1177.44] 可能是八九层七八层可用的模型
[1178.72-1180.26] Inference 包含Inference
[1180.52-1182.06] 一些推理都已经做好
[1182.56-1184.10] 你可以是他的客户
[1184.36-1186.16] 比如说你买了NVIDIA的DGX
[1186.46-1187.22] 很贵的电腦
[1187.48-1191.06] 你可以免费去使用他这一些已经现成的东西
[1191.32-1192.08] 如果
[1192.34-1195.16] 你想要做的事情跟他现有的这些Inference
[1195.42-1196.18] 或者是模型
[1196.44-1197.20] 是雷同
[1197.46-1197.98] 你可以直接
[1198.24-1199.52] 把它拿下来用
[1199.76-1201.04] 可以快速的导入
[1201.56-1203.86] 那如果没有就可以自己重新来做
[1204.38-1206.16] 所以这AI Foundry跟WatsonX
[1206.42-1208.22] 当AI是做类似的事情
[1208.72-1210.78] 那我们除了用NVIDIA
[1211.04-1212.06] 或是用Watson
[1212.32-1213.08] Ivian的solution
[1213.34-1214.62] 我们自己也有
[1215.12-1215.90] 使用开源
[1216.46-1216.96] 的架构
[1217.22-1219.78] 就是他们做东西我们用开源一块一块
[1220.56-1221.32] 把它拼起来
[1221.84-1225.92] 这样子我们可以提供客户一个最低成本的一个Trial
[1226.18-1226.96] 当他们
[1227.46-1229.26] 觉得这样子可以实际上
[1229.52-1231.56] 帮他们做他们想要做的事情
[1231.82-1233.10] 接下来可能就是
[1233.36-1234.88] 做大量的导入步骤
[1235.14-1236.16] 那就会使用
[1236.42-1238.98] 类似像NVIDIA AI Foundry或是Ivian WatsonX
[1240.00-1240.52] 这样子
[1241.04-1243.34] 那除了我们销售AI我们公司
[1243.60-1245.38] 也已经用了非常多的
[1245.64-1246.16] 在海外的工具
[1246.46-1248.00] 很多领域已经使用AI
[1248.24-1250.04] 我们有
[1250.80-1253.12] 不管是像在我们的采购
[1253.62-1255.42] 不管是像我们的MDR Team
[1256.18-1259.76] 我们都会使用AI来自动化它的一些
[1260.02-1260.54] Loading
[1260.80-1262.08] 可以降低人工
[1262.58-1266.68] 那可以让所有的执行的任务可以更加的有效率
[1267.20-1267.96] 再来
[1268.72-1269.24] 右下角
[1269.50-1270.26] 产学合作
[1270.52-1274.10] 很多其实有蛮多客人他们是有他们自己的想法
[1274.62-1275.64] 那当他们有自己的想法
[1275.64-1279.74] 他们比较担心我们也是一个商业的公司
[1280.00-1283.32] 他或许会比较忌讳我们知道他们到底想干嘛
[1284.08-1285.62] 所以呢这时候我们也媒合
[1286.14-1287.16] 就是提供他
[1287.68-1289.20] 左边的AI Infrastructure
[1289.46-1290.48] 然后媒合他们
[1290.74-1292.28] 我们的配合的一些
[1292.54-1295.10] 学研界的一些专门
[1295.36-1298.94] 有非常实务经验的这些AI的专家来跟他们做媒合
[1299.20-1301.76] 所以大概是我们在AI这一块做的事情
[1303.54-1305.60] 案子其实也成交蛮多的
[1305.90-1308.46] 好再来第2个我要
[1308.96-1310.76] 再focus的是资讯安全
[1312.56-1315.36] 我们的特色就是我们有一堆白猫駭客
[1315.62-1318.70] 我们是用駭客的思维去预防
[1319.46-1320.48] 防堵駭客
[1321.26-1324.84] 我们卖了很多跟资讯安全相关的设备跟软体
[1325.86-1328.16] 这些软体跟这些硬体跟软体
[1328.68-1331.76] 在这些supplier给我们或是给客户
[1332.00-1335.08] 他都有一定的一些设定程序
[1335.90-1339.22] 这一定的设计设定程序你知我知
[1339.48-1340.76] 黑帽駭客也知
[1341.02-1342.04] 所以通常
[1342.30-1343.06] 挡不太住
[1343.32-1347.42] 那我们这些白帽駭客就是不是用这种方式去设定这些东西
[1347.68-1352.28] 所以我们的调教呢完全是用hacker against hacker的方式去做调教
[1352.80-1355.86] 那所以说我们所设定出来的这些规则
[1356.12-1357.92] 跟其他人都不太一样
[1358.16-1360.22] 那安全度会相对比人家更高
[1360.72-1362.52] 好那大概有
[1362.78-1365.08] 左三右三这几样事情
[1365.64-1367.44] 右上角那个就是刚刚我提到
[1367.94-1369.22] 客制化的规则调教
[1370.00-1371.78] 用的方法跟别人不太一样
[1373.32-1374.86] 跟左边上方是一样
[1375.12-1377.16] 我们除了做这些
[1378.18-1379.20] 思安设备
[1379.46-1381.76] 包含了硬体软体的规划设定之外
[1383.04-1386.12] 我们会协助我们的客人在他的应用上线之前
[1386.38-1387.92] 我们可以帮他做落点扫描
[1388.42-1390.48] 我们也可以帮他做渗透测试
[1390.72-1393.54] 还有包含他的程式码的这个安全集合
[1393.80-1395.08] 我们都有提供这样子的服务
[1395.64-1400.76] 这些都是要根据一些所有的该有的资产证照才能提供这样的服务
[1401.02-1403.58] 再来就是我们已经做了两三年的MDR
[1404.34-1407.42] MDR叫manage detection and response
[1407.68-1413.04] 现在的资讯安全大概都决战在最后一里路就是我们的端点
[1413.30-1415.36] 就是个位的笔电
[1415.60-1416.88] 可能是Mac
[1417.14-1417.92] 可能是
[1418.16-1420.48] Windows可能是Linux等等
[1422.00-1423.04] 大概都是这个样子
[1423.28-1425.08] 我们现在看到了很多的攻击
[1425.64-1426.66] 我们已经在这边发行
[1426.92-1428.20] 你如果没有装
[1429.22-1433.06] 没有做EDR就是我讲这个端点保护
[1434.34-1439.72] 甚至于你用的是不靠谱的端点保护系统
[1439.98-1441.76] 最近有很多公司
[1442.02-1444.84] 大家看报纸都知道我就不在这边一一说明
[1445.10-1446.12] 都被勒索
[1446.38-1448.94] 他们都有做端点保护
[1449.20-1450.72] 可是他们用的端点保护
[1450.98-1454.06] 都不是敦洋科销售的那两个主要产品
[1454.56-1455.34] 一个是CrossFrag
[1455.64-1457.68] 一个是Pilato的XDR Pro
[1458.20-1459.48] 这两个是很强的
[1460.00-1462.04] 但是有很多就是号称是端点
[1462.30-1464.08] 实际上是真的挡不住
[1464.60-1465.62] 有用但是挡不住
[1466.40-1467.16] 这个也很重要
[1468.44-1468.96] 再来
[1469.20-1471.52] 我们的资产团队会收集
[1472.80-1478.16] 自己会在暗网里面看一些最新的情资也会跟我们的情资提供商
[1478.42-1480.72] 做交流我们也会有他们的情资
[1480.98-1485.60] 来看看什么样的设备什么样的系统软件系统需要做
[1485.90-1486.66] 新的调教
[1486.92-1489.22] 这都是根据最up to date的一些供给
[1489.48-1493.06] 或可能有人在暗网兜售一个最新的病毒
[1493.32-1495.12] 所以我们要去检测这是不是最新的
[1495.62-1497.68] 其实暗网里面产生的这些
[1498.18-1500.48] 比如说某公司某某公司
[1501.00-1502.80] 不小心
[1503.04-1506.12] 露出来的这个障秘其实那有可能是过期的
[1506.88-1510.22] 就是说他就在里面一直兜售一直兜售早就已经解决了
[1511.76-1512.78] 好再来就是
[1513.04-1514.32] 治安风险管理
[1514.82-1515.60] 治安风险管理
[1515.90-1517.18] 其实针对这样的东西
[1517.94-1520.76] 我们可以针对不同的产业可以帮你排名
[1521.78-1526.14] 就是说在你这个产业比如说金融服务业的证券交易或者是这个
[1526.90-1529.20] 或者是银行金控到底在
[1529.46-1531.00] 台湾这个领域里面
[1531.52-1533.56] 你的治安做了什么样
[1533.82-1535.86] 他们就是会在暗网收集一些情资
[1536.12-1537.40] 甚至于他会在
