[0.48-2.48] 各位會員 各位會員 大家午安
[2.48-5.00] 今天非常榮幸能夠協助國安先生
[324.76-326.76] 那三井的部分是
[326.76-329.76] 我們公司的工地是佔24%左右
[329.76-332.76] 那剩下半夜事業的部分是將近10%
[332.76-334.76] 那建管的部分將近5%
[334.76-338.76] 那樓管的部分將近7%等等喔
[338.76-340.76] 那另外有關我們這邊看到
[340.76-342.76] UICO支出跟負數最主要是
[342.76-344.76] 我們有預期支出的部分
[344.76-347.76] 還有我們國建大樓拆除重建
[347.76-349.76] 我們是比較保守的方式
[349.76-351.76] 認定會計原則喔
[351.76-353.76] 我們是把沒有提列完的房屋產值
[353.76-355.76] 做為我們張響的水市喔
[356.76-358.76] 那再來是下一頁
[358.76-361.76] 有關於我們合併的資產不在表部分
[361.76-364.76] 整個總資產是834.1億
[364.76-367.76] 其中存貨的部分是495.1億
[367.76-369.76] 佔比是55%喔
[369.76-372.76] 所以我們還是相當的在專注於本業喔
[372.76-376.76] 那我們完工的工地是大概27億左右
[376.76-380.76] 那這個27億左右其實就是我們2024年
[380.76-383.76] 交完工的工地和的吸金還有MOSCAS
[383.76-385.76] 那這個部分因為我們有一些
[385.76-388.76] 還沒有在年底交屋喔
[388.76-391.76] 那這個大部分都會在我們今年第一季
[391.76-393.76] 就交入進來
[396.76-398.76] 在我們投資進股動產部分
[398.76-401.76] 目前漲價是120.9億喔
[401.76-404.76] 那其中不含我們半電次用的部分
[404.76-406.76] 大約有9.9億喔
[406.76-408.76] 那加進這個部分之後
[408.76-411.76] 整個漲面值大概是130億左右
[411.76-414.76] 那目前市值大概是260億喔
[414.76-417.76] 所以潛在的增值利益大概有125億喔
[417.76-419.76] 那再下一頁
[419.76-423.76] 整個合併總負債的部分是589億喔
[423.76-426.76] 其中總權益的部分是305.1億
[426.76-429.76] 那每股淨值是24.37元喔
[429.76-431.76] 其中會處於5公之列
[431.76-434.76] 我們舉一例的部分是282.6億喔
[434.76-435.76] 那這個部分包含了
[435.76-438.76] 我們會分配的保留益率有92億喔
[438.76-440.76] 那再下一頁
[440.76-442.76] 接著我們看一下我們的
[442.76-443.76] 經營額喔
[444.76-445.76] 經營策略方面喔
[445.76-446.76] 經營策略總歸就是
[446.76-449.76] 結合我們市場前後的一個調查結果
[449.76-453.76] 來規劃符合我們居住跟需求的產品喔
[453.76-456.76] 並且我們可以快速去化跟中轉
[456.76-458.76] 下一頁
[460.76-462.76] 那這一張就是
[462.76-465.76] 最主要就是我們目前剛剛所講到的
[465.76-468.76] 就是我們今年預計大概
[468.76-470.76] 去年對岸消費不錯嘛
[470.76-472.76] 那我們今年預計大概也會推
[472.76-474.76] 目前是準備好的我們
[474.76-475.76] 有5個案子喔
[475.76-477.76] 包含桃園 文山 還有新莊
[477.76-480.76] 還有台中 高雄等等喔
[480.76-484.76] 那另外也就是整個推案量
[484.76-489.76] 應該會達到260億左右喔
[489.76-492.76] 那今年預計完工的工地有4個建啊
[492.76-495.76] 包含國泰悠揚的park
[495.76-497.76] Uni Park 還有國泰美河喔
[497.76-501.76] 那整個悠揚整個我們預計喔
[501.76-502.76] 就是悠揚應該會在第二季的期間喔
[502.76-503.76] 就是悠揚應該會在第二季的期間喔
[503.76-505.76] 就是悠揚應該會在第二季的期間喔
[505.76-506.76] 會進來喔
[506.76-509.76] 目前陸陸續續就已經在通知業務了喔
[509.76-513.76] 那我們預計整個2024到2029年
[513.76-515.76] 整個完工的工地喔
[515.76-518.76] 整個推案的銷售其實都還蠻好的喔
[518.76-522.76] 只是我們未來的營收能見度都是不錯
[522.76-526.76] 那另外我們在北中南高都有推案的儲備喔
[526.76-530.76] 那目前儲備量預計大概500億左右
[530.76-532.76] 接著我們看下一頁
[533.76-535.76] 那從這個part line裡面
[535.76-536.76] 我們大概可以看到
[536.76-540.76] 我們2025年總銷4個案預計大概有156億
[540.76-543.76] 2026年總銷5個案169億
[543.76-546.76] 2027年6個案298億
[546.76-550.76] 2028年有3個案118億
[550.76-555.76] 然後2029年有2個案325億
[555.76-559.76] 那整個營收排程已經到2029年喔
[559.76-563.76] 那這邊要特別補充整個完工年度目前看到的
[563.76-565.76] 是我們公司的目標喔
[565.76-568.76] 那未來實際完工的年度還是會因為
[568.76-570.76] 因為工程是手作的嘛
[570.76-572.76] 所以有KPO的等等的影響
[572.76-574.76] 所以工程的進度啊
[574.76-577.76] 等等因素還有客戶交入的數等
[577.76-579.76] 都可能會影響到我們入將的美度
[579.76-584.76] 不過應該會影響就是差個一點點時間嘛
[584.76-591.76] 那整個轉投資的部分
[591.76-594.76] 我這邊就不再特別去贅述了
[594.76-598.76] 就是給大家自己參考就可以了
[598.76-603.76] 那接著我們看一下最後就是工產景氣方面
[603.76-608.76] 那首先可以看到整個影響工產市場變動的因素方面
[608.76-609.76] 包含經濟因素
[609.76-612.76] 那左圖可以看到是行政業主計出預估
[612.76-616.76] 我們2025年的台灣GDP是4.2%
[616.76-620.76] 那右圖是可以看到就是台灣是科技島嘛
[620.76-622.76] 所以整個經濟部外銷統計
[622.76-628.76] 我們2024年12月人類電子產品外銷金有達到199.2億喔
[628.76-631.76] 年增率有達到33.5%喔
[631.76-634.76] 那整個收賄於全球AI發展的帶動之下
[634.76-638.76] 國內半導體跟通訊產業預計今年將還是
[638.76-641.76] 作為我們台灣出口表現的一個基石喔
[641.76-645.76] 那資本支出方面受到高利率環境時的
[645.76-649.76] 與間的資本支出有區於就是僅剩
[649.76-650.76] 那但是更加重要的就是
[650.76-653.76] 我們大主要經濟體在經濟高利率的環境壓抑底下
[653.76-656.76] 已經促使通貨流略的一個下降喔
[656.76-659.76] 不過就是大家可以留意
[659.76-661.76] 目前川普每天都有消息喔
[661.76-665.76] 那現在大家台股跌成這樣也就是預期
[665.76-668.76] 大概4月2號整個川普對於關稅政策
[668.76-672.76] 大概走向目前不確定性相當的高喔
[672.76-676.76] 所以股市的表現大家都是整個回檔的喔
[676.76-679.76] 那所以這也可能帶動我們印象
[679.76-681.76] 我們國內的經濟表現喔
[681.76-686.76] 所以整體而言預估國內的景氣將呈現內外節溫喔
[686.76-689.76] 那下一頁也關於政府政策的部分
[689.76-692.76] 那由這個圖我們可以看到我們的資料是
[692.76-696.76] 2023年的第四季到2024年的第四季喔
[696.76-699.76] 整個指數的基期是2021年
[699.76-703.76] 那根據我們國泰的銷售率指數來看喔
[703.76-708.76] 全台7都除了新北市之外其他6都從去年第二季開始
[708.76-712.76] 都已經達到銷售率指數從高峰往下滑喔
[712.76-716.76] 那整個上半年的表現相當亮眼喔
[716.76-721.76] 最主要是受惠於新金安優惠貸款跟境外的資金匯回的辦法
[721.76-724.76] 這個也達到3000億的有助有助喔
[724.76-729.76] 但是第四季開始久而久而央行寄出第七波的信用管制
[729.76-733.76] 對我們房市的部分喔整個會回歸於7喔
[733.76-736.76] 所以整體而言房市政策是以持續引導整個市場朝向首購
[738.76-742.76] 以持續跟剛性需求的方向來平稳發展喔
[742.76-746.76] 那下一頁有關於我們預售市場的各方面
[746.76-752.76] 那最後我們可以從這個我們國泰的這個房地產指數來看喔
[752.76-755.76] 這20年的統計的一整個可以看到
[755.76-760.76] 長期來說整體房市其實是向右上漲的喔
[760.76-764.76] 那所以當然過程中會有一些年度會有回落的情況喔
[764.76-766.76] 但是整個最大幅度的衝上去是以後的
[768.76-770.76] 全球物價與物料飆漲喔
[770.76-773.76] 因為全球其實印了蠻多錢出來的喔
[773.76-776.76] 就是這是帶動這一顆行業的漲勢
[776.76-780.76] 那成交量指數從成交量指數可以看到
[780.76-784.76] 2021是第二季之後房市價量漲
[784.76-788.76] 但是從去年第二季之後成交量指數是呈現下滑
[788.76-792.76] 但是價格方面目前可以看到是維持還在高檔喔
[792.76-796.76] 所以使得我們第四季是呈現價穩量縮喔
[796.76-798.76] 所以整體來講
[798.76-802.76] 就是縱觀整個2024年的買賣轉動數
[802.76-805.76] 目前還是有近11年來的新高喔
[805.76-810.76] 那展望整個國內的景氣受惠於全球AI產業的持續發展
[810.76-815.76] 雖然可能大家覺得AI是不是有就是暴漲的狀況
[815.76-820.76] 不過其實跟反抗的暴漲其實目前的P比還是差很多喔
[820.76-824.76] 那但是因為我們國內房地產畢竟還是比較local的喔
[824.76-827.76] 那在央行性管制短期以內
[828.76-830.76] 我們也沒有任何情況底下
[830.76-834.76] 所以今年整理房市預計還是會呈現一個量縮較穩定的狀況
[834.76-836.76] 以上報告
[836.76-845.76] 再次謝謝各位今天下午來參加我們公司的訪收會
[845.76-850.76] 經過早上九百多點的震撼教育
[850.76-854.76] 下午聽聽一點好消息我想也是不錯的
[854.76-856.76] 那距離上一次我們公司的訪收會去的五次決定
[856.76-857.76] 距離上一次我們公司的訪收會去的五次決定
[857.76-862.76] 是去年十一月五零半的一次訪收會
[862.76-866.76] 那那個時候在補充說明裡面我提到幾個狀況
[866.76-868.76] 大概有三個重點
[868.76-873.76] 那第一個就是央行第七波的信用管制就是919
[873.76-879.76] 那時候我們預期那一波的管制相當的強力
[879.76-885.76] 那一定是可以將整個房市引導到基本面正常發展
[885.76-886.76] 那我從現在開始看來呢
[886.76-888.76] 那我從現在開始看來呢
[888.76-891.76] 是事實上已經做到了
[891.76-897.76] 所以後續就沒有所謂的第八波的房產自住台
[897.76-899.76] 那提到的第二個重點就是
[899.76-904.76] 雖然整個房地產物種房屋各位觀察
[904.76-909.76] 但是基本上就是自住就是所謂的鋼筋需求
[909.76-911.76] 它還是會持續增加
[911.76-914.76] 那上一次我有提到就是
[914.76-917.76] 台灣的家戶人口數
[917.76-919.76] 事實上是一路往下滑
[919.76-922.76] 這個表示就是需求它會一直出來
[922.76-924.76] 從如果最近三年
[924.76-926.76] 從一百一十二年
[926.76-929.76] 我手上的資料是二點五四
[929.76-931.76] 每戶有二點五四
[931.76-935.76] 那一百一十三年的去年就降到二點四七
[935.76-940.76] 那其實目前最新的又降到二點四四
[940.76-943.76] 所以從這些數據就可以知道其實家戶人口一直往下滑
[944.76-949.76] 大部分時候其實它住宅的需求它就會一直出來
[949.76-953.76] 這是上次提到的第二個重點
[953.76-955.76] 那第三個重點大概就是
[955.76-958.76] 最無法應付的就是春季二點零
[958.76-964.76] 那個時候我們也預期它將引發所謂的同行疑慮
[964.76-966.76] 我想這個大家都很清楚
[966.76-968.76] 這個是現在進行的事
[968.76-971.76] 那當然很多事情都是一體兩面
[971.76-974.76] 通統是張發的另外一面
[974.76-980.76] 事實上就也是會引發一些資產保證的需求
[980.76-983.76] 我想這個可以保密在市場的
[983.76-985.76] 其實它是兩面刃
[985.76-988.76] 事實上也不是完全都是壞
[988.76-992.76] 它事實上也有另外一面的呈現
[992.76-999.76] 那對於去年我提出的這幾個展望今年的重點
[999.76-1001.76] 那最後我們提出一個結論
[1001.76-1003.76] 大概就是重新樂觀
[1004.76-1006.76] 那就是我們想要讓各位來緊急的
[1006.76-1009.76] 那我們就實際來驗證看看
[1009.76-1012.76] 以我公司實際的推案
[1012.76-1014.76] 我們去年
[1014.76-1017.76] 因為第七波管制是九月十九
[1017.76-1021.76] 那我們在它的後面幾天就是九二一
[1021.76-1022.76] 台中推的
[1022.76-1025.76] 在西齊推的一個森林推案
[1025.76-1028.76] 那各位可以想像一下就是
[1028.76-1030.76] 九一九剛推出
[1030.76-1033.76] 那在幾天之後我們就離開
[1033.76-1034.76] 大概想說
[1034.76-1037.76] 我們一定會面臨相當大的挑戰
[1037.76-1040.76] 那我們實際上看我們公司的表現
[1040.76-1042.76] 就是這個案子
[1042.76-1045.76] 森林會這個案子以目前來講
[1045.76-1047.76] 是九二一推出
[1047.76-1051.76] 那目前銷售率大概84%
[1051.76-1053.76] 這是實際的數字
[1053.76-1056.76] 所以各位大概可以理解就是說
[1056.76-1061.76] 事實上不是各位想像當中
[1061.76-1063.76] 那麼悲觀
[1063.76-1067.76] 那另外我們在今年年度也推出的一個案子
[1067.76-1068.76] 在桃園
[1068.76-1070.76] 就是國泰國人桃園
[1070.76-1072.76] 那值得來一月初推出
[1072.76-1075.76] 距離現在差不多兩個月時間
[1075.76-1080.76] 那它是屬於中大品數大概62 67
[1080.76-1083.76] 那所以總價也都超過4000塊
[1083.76-1087.76] 所以各位光是聽這個基本條件
[1087.76-1088.76] 大概想說我們這個案子
[1088.76-1091.76] 大概也不會太娘真
[1091.76-1092.76] 事實上
[1092.76-1094.76] 我們現在這樣兩個月的時間
[1094.76-1095.76] 目前銷售率
[1095.76-1097.76] 我剛剛資料所顯示
[1097.76-1100.76] 也差不多40%左右
[1100.76-1104.76] 所以從這個我們實際上推案的一個狀況
[1104.76-1106.76] 事實上
[1106.76-1108.76] 那個不是各位所看到
[1108.76-1111.76] 或是說從報章裡面看到的
[1111.76-1115.76] 好像有充滿悲觀的一個狀態
[1115.76-1117.76] 事實上除了我們公司
[1117.76-1119.76] 其實也是有其他的一些案子
[1119.76-1121.76] 有一些個案表現
[1122.76-1127.76] 那我們今年公司後續大概在Q2 Q3
[1127.76-1129.76] 還會再推出一個案子
[1129.76-1131.76] 那合計我們今年
[1131.76-1134.76] 從頭到尾才有大概260億
[1134.76-1138.76] 那總結一下我剛剛出座的品種
[1138.76-1139.76] 大概可以基本上
[1139.76-1141.76] 從去年看到現在
[1141.76-1144.76] 對於我們公司分業的發展
[1144.76-1146.76] 你可以看其實
[1146.76-1148.76] 大概總結兩句話
[1148.76-1150.76] 第一個就是公司
[1150.76-1151.76] 公司事實上有找到
[1151.76-1154.76] 市場的趨勢跟脈動
[1154.76-1156.76] 所以在去年公業
[1156.76-1158.76] 發個案子
[1158.76-1161.76] 基本上都是在上半年推出的
[1161.76-1163.76] 下半年推出的那個生意會
[1163.76-1165.76] 剛剛可能各位報告
[1165.76-1168.76] 事實上成績也相當的好
[1168.76-1169.76] 這是第一個
[1169.76-1171.76] 第二個就是
[1171.76-1175.76] 當然現在有整個
[1175.76-1177.76] 不論從地經濟
[1177.76-1180.76] 或是房地產這個產業來講
[1180.76-1183.76] 事實上各位覺得還是有一點點
[1183.76-1185.76] 在務裡面
[1185.76-1186.76] 但是基本上
[1186.76-1189.76] 即使是真的是在務裡面
[1189.76-1192.76] 那我們公司還是可以聽接著品牌的聲譽
[1192.76-1195.76] 我想從剛剛胡太陽今年推的案
[1195.76-1198.76] 跟去年Q2E推的案
[1198.76-1201.76] 表現大概可以看出這一面
[1201.76-1204.76] 那再加上觀察剛剛我們提供的資料
[1204.76-1206.76] 我們公司這些以培口力
[1206.76-1208.76] 就是除了在進級
[1208.76-1209.76] 還推出的案子之外
[1209.76-1211.76] 其實其他的銷售率
[1211.76-1214.76] 事實上都幾乎是半分之半
[1214.76-1217.76] 那這個也是泰國做的
[1217.76-1219.76] 其實在後續的幾年
[1219.76-1221.76] 事實上有關公決算
[1221.76-1225.76] 事實上的信息都相當熱歡
[1225.76-1226.76] 所以我想
[1226.76-1228.76] 雖然今天早上的
[1228.76-1231.76] 那麼驚人的那種震撼教育
[1231.76-1232.76] 不過基本上
[1232.76-1234.76] 各位還是可以給公司
[1234.76-1236.76] 十足的信心
[1236.76-1238.76] 以上總結
[1239.76-1241.76] 謝謝兩位主管
[1241.76-1243.76] 現在是QA時間
[1269.76-1275.76] 請問
[1275.76-1276.76] 你好
[1276.76-1277.76] 我想請教一下
[1277.76-1278.76] 第一個是說
[1278.76-1281.76] 剛剛有提到優養的話是Q2.5
[1281.76-1283.76] 另外三個就是
[1283.76-1285.76] the pub的UMI
[1285.76-1286.76] 還有國泰美盒
[1286.76-1288.76] 這三個大概是在什麼季度
[1288.76-1289.76] 然後第二個是說
[1289.76-1290.76] 我發現到
[1290.76-1292.76] 因為其實上次法座是還有提到一個優勁
[1292.76-1296.76] 所以那個是確定delay到2026年這樣子
[1296.76-1298.76] 那個是說26Q你會進來嗎
[1299.76-1301.76] 然後還有第三個的問題是想問說
[1301.76-1302.76] 公司的
[1302.76-1303.76] 因為其實公司的案子
[1303.76-1304.76] 你像是都很論銷
[1304.76-1306.76] 就是你推出直接賣完
[1306.76-1308.76] 可是相對來說可能毛利率
[1308.76-1309.76] 可能會比較
[1309.76-1310.76] 因為剛剛有看到就是說
[1310.76-1312.76] 去年比較難去反映那個公料雙張
[1312.76-1314.76] 然後比如說今年的案子進來
[1314.76-1317.76] 或者說今年的案子還是會呈現這個狀況
[1317.76-1319.76] 還是其實我們在銷售的時候就已經有
[1319.76-1321.76] 今年明年的案子
[1321.76-1323.76] 如果這幾個入道案子有去調
[1323.76-1324.76] 反映到公料雙張
[1324.76-1327.76] 所以毛利率是有機會跟毛利率到過去的數字
[1327.76-1329.76] 就可以再回升上去這樣子
[1329.76-1330.76] 對
[1330.76-1332.76] 因為你現在是案子的時間
[1332.76-1334.76] 那是一個問題
[1334.76-1337.76] 我先回答在最後那個問題上
[1337.76-1339.76] 因為基本上公料雙張
[1339.76-1341.76] 大概是從2014年
[1341.76-1342.76] 好
[1342.76-1344.76] 那那個時候
[1344.76-1347.76] 坦白講就是業界有挫折不及
[1347.76-1349.76] 有一些我們已經賣了
[1349.76-1351.76] 已經銷售了
[1351.76-1353.76] 那八包才突然
[1353.76-1355.76] 發生公料雙張
[1355.76-1357.76] 所以那個基本上它的影響
[1357.76-1359.76] 案子大概就是去年
[1359.76-1361.76] 就很相當
[1361.76-1363.76] 因為我們已發現這個問題
[1363.76-1365.76] 各位回想一下前幾次
[1365.76-1367.76] 就是在那幾年
[1367.76-1369.76] 的發售費我們曾經的講
[1369.76-1371.76] 就是已經把這個訊息
[1371.76-1375.76] 可以跟各位做說明
[1375.76-1377.76] 後續事實上我們很多東西
[1377.76-1380.76] 就是前發包在銷售
[1380.76-1383.76] 所以那個影響因素
[1383.76-1385.76] 在後面這幾年
[1385.76-1387.76] 那個就降低了
[1389.76-1395.76] 那有關於今年交屋的進度
[1395.76-1397.76] 那個國泰優陽的部分
[1397.76-1399.76] 我們剛才講到就是
[1399.76-1401.76] 我們今年第二季之前
[1401.76-1403.76] 已經都會完成交屋
[1403.76-1405.76] 那國泰的PAC的部分是五月開始
[1405.76-1408.76] 那美合的部分是九月開始
[1408.76-1410.76] 用力PAC的部分是十月
[1410.76-1413.76] 大概這個是我們規劃進度
[1413.76-1417.76] 那還有一個優勁的部分
[1417.76-1419.76] 優勁的部分就是到明年
[1419.76-1421.76] 因為最主要就是
[1421.76-1423.76] 原先我們的供應是沒有問題的
[1423.76-1425.76] 因為到最後的時候
[1425.76-1427.76] 才說有一道排水溝的部分
[1427.76-1429.76] 市政府要求我們要做
[1429.76-1431.76] 要把它恢復
[1431.76-1433.76] 所以那個部分就影響到
[1433.76-1435.76] 我們本海原先今年要完工的部分
[1435.76-1437.76] 那就是變成一小年了
[1437.76-1439.76] 對 對 對
[1439.76-1441.76] 但是就是會變成要不到明年
[1441.76-1443.76] 因為我們畢竟還是要政府主管
[1443.76-1444.76] 機關合作
[1444.76-1446.76] 而且我們那個優勁其實它又是
[1446.76-1448.76] 跟走存一變換
[1448.76-1450.76] 所以我們要去做一個整個
[1450.76-1451.76] 整個整個實戰下方的
[1451.76-1453.76] 需要要求的部分
[1453.76-1454.76] 謝謝
[1466.76-1467.76] 好 您好
[1467.76-1468.76] 請問兩個問題
[1468.76-1469.76] 第一個的話
[1469.76-1470.76] 因為股市跟紡市結局
[1470.76-1471.76] 有關的先打高
[1471.76-1472.76] 那如果之後
[1472.76-1474.76] 股市可能還是會比較疲弱的話
[1474.76-1477.76] 我覺得對紡市會有什麼影響嗎
[1477.76-1478.76] 第二個的話就是我們一個
[1478.76-1479.76] Payroll Ratio不知道
[1479.76-1481.76] 是大概怎麼樣的水準
[1481.76-1482.76] 謝謝
[1482.76-1483.76] 好
[1483.76-1489.76] 其實股市跟房市
[1489.76-1493.76] 你說它完全會有正相關
[1493.76-1495.76] 其實它也不一定
[1495.76-1497.76] 因為真正的
[1497.76-1501.76] 甚至你說房市跟中低經濟
[1501.76-1503.76] 到底有沒有改變它的正相關
[1503.76-1505.76] 當然它有關聯性
[1505.76-1506.76] 但是是不是有正相關
[1506.76-1507.76] 當然它有關聯性但是是不是有正相關
[1507.76-1510.76] 其實也不是那麼必然
[1510.76-1511.76] 舉例來講
[1511.76-1513.76] 就是像各位不知道經濟的
[1513.76-1519.76] 其實早先到我們把時間拉到2008年
[1519.76-1521.76] 金融海嘯的時候
[1521.76-1524.76] 那金融海嘯之後其實
[1524.76-1528.76] 全球的經濟事實上都不是那麼好
[1528.76-1530.76] 可是你們有注意那個時候房價
[1530.76-1534.76] 就慢慢慢慢開始漲了一波
[1534.76-1536.76] 那房市呢
[1536.76-1538.76] 其實是跟資金水位
[1538.76-1540.76] 它的關聯性還更高
[1540.76-1543.76] 所以美國其實在2008年之後
[1543.76-1544.76] 大概有QE
[1544.76-1546.76] 那當然後來
[1546.76-1548.76] 你說想縮表
[1548.76-1549.76] 可能跟資金水位
[1549.76-1550.76] 各位也可以
[1550.76-1552.76] 一定有分清楚
[1552.76-1555.76] 所以事實上現在需求資金水位還是高
[1555.76-1557.76] 那除了資金水位
[1557.76-1558.76] 然後後來
[1558.76-1563.76] 當然時間比較近就是拉到OB9
[1563.76-1565.76] 就是2020、2021
[1565.76-1567.76] 那2020、2021這個事實上
[1567.76-1568.76] 比如說COVID-19之後
[1568.76-1574.76] 其實經濟事實上也並不是那麼理想
[1574.76-1577.76] 但是房價又開始漲了一波
[1577.76-1580.76] 那後來2021開始
[1580.76-1582.76] 因為COVID-19的關係
[1582.76-1584.76] 又供料上漲
[1584.76-1587.76] 那房價又更
[1587.76-1591.76] 那個底又更接近
[1591.76-1595.76] 所以其實你說當地的問題
[1595.76-1597.76] 不是沒有關聯性
[1597.76-1600.76] 但是我覺得它沒有那種必然性
[1600.76-1602.76] 這是第一個
[1602.76-1603.76] 那第二個就是說
[1603.76-1606.76] 一樣回到現在我們看現實面
[1606.76-1608.76] 其實趁皮子
[1608.76-1609.76] 尤其是現在我們來看
[1609.76-1610.76] 資金面是一回事
[1610.76-1612.76] 另外一個就是成本面
[1612.76-1614.76] 其實成本現在
[1614.76-1615.76] 土地成本或是營業成本
[1615.76-1617.76] 其實基本上我們看起來
[1617.76-1621.76] 大概都沒有往下降的一個狀況
[1621.76-1623.76] 那當然我知道
[1623.76-1625.76] 我知道現在房價真的是
[1625.76-1630.76] 高得領人有點驚訝
[1630.76-1635.76] 但是事實上它成本就是這個樣子
[1635.76-1636.76] 那這是現實
[1636.76-1637.76] 這沒辦法
[1637.76-1638.76] 這是大家可以接受
[1638.76-1641.76] 事實上你說這個公司
[1641.76-1645.76] 以我們公司來講
[1645.76-1649.76] 這事實上高房價也不是我們期待的
[1649.76-1651.76] 因為其實我們就是正常的加工
