[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-34.08] 杨明海运股份有限公司法人说明会
[238.68-241.74] 所以說零售商最主要是一個海運的一個使用者
[242.26-246.62] 那他們目前預估在今年春季就是上半年
[248.14-249.42] 整個貨量來說的話
[249.68-252.24] 可能會比2024年來的高當然這
[252.50-256.08] 最主要原因可能是他們預測是關稅
[256.34-258.14] 會造成這一個
[258.38-260.18] 出貨朝提前不過
[260.44-265.56] 這部分在市場上來說我們還是在持續觀察中沒有看到太多的
[265.82-267.86] 提前出貨的一個狀況
[268.68-271.50] 下半年來說他們預估可能會比2024差
[271.74-275.34] 不過這個也是一樣他們也會做一個滾動式的修正
[275.84-276.36] 下頁
[278.66-281.22] 在產業供需來說的話
[281.48-283.02] 2025年
[283.52-287.62] 所有的Jury Avani Carson的預測來說的話
[287.88-290.44] 他的供需的一個差距
[290.70-294.78] 其實都是比2024年來的小大概都是
[295.04-297.60] 2-3%最多的一個
[297.86-298.38] 一個
[298.68-299.70] 供需的一個差距
[299.96-300.46] 其實
[300.72-304.06] 因為整個新船在2024年的高峰交付之後
[304.30-306.36] 2025年其實整個供需
[306.62-309.68] 是漸漸供需的差距漸漸縮小
[309.94-311.74] 那2026年來說的話
[311.98-314.54] 這個差距應該會再進一步的縮小
[319.16-323.50] 在油價展望部分各個研究機構其實這就
[323.76-325.04] 比較一致一點
[325.30-327.86] 整個油價在2025年到2026年
[327.86-330.16] 應該都呈現一個比較
[330.42-331.70] 平穩的一個狀態
[336.06-337.84] 第二部分公司運用概況
[338.36-343.48] 那2024年大家也都知道因為鴻海危機造成那個
[343.74-345.26] 好望角繞行的關係
[345.78-348.08] 整個歐美線的運價
[349.62-351.42] 進一步的推升所以在
[351.66-354.74] 運費收入比重來說就陽明
[355.26-357.30] 在歐美線東西行線來說的話
[357.30-357.82] 佔了
[358.12-359.14] 非常大的一個比重
[359.40-360.16] 這個是
[360.42-364.26] 因為運價推升歐美線的營收所以比重增加
[367.84-372.46] 這邊可以看到就貨量來說的話其實在藍色部分的
[372.70-374.24] 亞洲晉陽線
[374.50-376.80] 有一個小幅的一個成長
[377.06-381.16] 那我們的A2就是中東
[381.42-383.72] 鴻海澳洲印度
[383.98-387.30] 南美洲這部分的一些次級市場的航線
[387.86-390.16] 貨量衰退是因為鴻海線
[390.42-393.24] 因為安全的考量所以暫停
[393.50-396.06] 暫停我們鴻海線的
[396.30-399.12] 一個服務所以我們這個貨量有所衰退
[399.64-403.98] 那在歐洲線部分大家可以看到其實一個
[404.24-406.04] 減少的一個狀況是因為
[406.30-409.36] 繞行的關係所以造成我們倉位供給減少
[409.62-411.66] 那美國線這部分因為受繞行的
[412.18-414.22] 受繞行的那個影響
[414.48-416.28] 比較小一點只有幾條
[416.78-417.56] 那個美
[417.86-420.94] 中央行線會受影響所以他整個貨量來說的話
[421.18-422.98] 還是呈現一個正向的成長
[423.24-424.52] 這是2024
[424.78-426.30] 整個營運
[426.56-428.10] 貨量的一個狀況
[431.68-437.32] 我們貨櫃運力排名來說的話目前是我們的那個船隊
[437.58-440.38] Q數的話是72萬Q
[440.64-443.46] 所以Markit share來說的話是2.2%
[443.72-445.26] 排名還是
[445.50-446.54] 戰略為第10
[447.86-453.74] 我們現在傳播資源來說的話
[454.00-454.78] 所有的
[455.02-459.90] 所有的船隊數在2025年是993我們又輸入一艘船
[460.14-460.66] 跟2028年
[460.92-463.98] 2024年比較來說的話多了一艘船
[465.26-466.54] Q數大概多了
[466.80-470.14] 6000Q左右所以沒有太多的變化因為
[470.38-473.98] 2025年我們有新造船的交付
[477.86-480.16] 我們在貨櫃來說的話我們
[480.42-484.52] 一直不斷的進行太舊換新在2024年我們有
[484.78-487.08] 新櫃的一個交付
[487.34-489.38] 30500Q的新櫃交付
[489.64-492.20] 那這部分來說的話我們還是會
[492.46-493.74] 根據我們的
[493.98-496.04] 所有自有櫃的狀況
[496.30-499.88] 做一個持續的太舊換新在2025年部分
[500.64-501.16] 下一頁
[503.20-506.02] 下一部分是公司財務的資訊
[506.54-507.82] 那目前整個
[508.12-514.26] 事業集團營收比重根據2024年整個狀況來說的話
[514.52-517.84] 貨櫃事業還是佔了最大部分94%
[518.10-521.94] 當然這也歸功於去年整個貨櫃
[522.20-524.50] 市場的倡望
[525.02-528.08] 物流事業大概佔了4.1%
[528.34-531.42] 然後散裝光明海運的話佔了1.5%
[531.66-533.98] 所以最主要還是這三個事業體
[534.48-536.54] 提供陽明的總營收
[537.86-544.26] 那2024年我們整個財務的表現
[544.52-546.30] 營收表現當然是很亮眼
[546.82-548.62] 跟2023年比較的話
[548.86-550.40] 2024年
[550.66-551.94] 我們的營收
[552.20-554.50] 到達2227億
[554.76-556.30] 歸屬於我們
[556.80-558.34] 母公司的
[558.60-560.38] 淨利來說是642億
[560.64-562.70] EPS18.38
[564.22-567.82] 就跟2023年來相比的話都是
[568.12-569.14] 大幅度的成長
[573.24-576.56] 這部分給大家一個比較
[577.08-582.20] 重觀的有關陽明海運整體在2024年最主要是2024年
[582.46-583.48] 整個Performance
[583.74-588.34] 那個灰色的一個長條圖的話就是我們營運量
[588.86-593.20] 從2024年1月到12月來說的話
[593.46-594.22] 我們
[594.48-596.28] 全年的營運量大概470萬TIL
[596.54-597.56] 其實分布來說
[598.12-602.22] 都蠻按照整個季節性
[602.46-605.54] 做一些小幅的一些變化
[605.80-607.58] 沒有太大的
[607.84-608.86] 沒有太大的變化
[609.12-610.66] 不過就運費來說的話
[610.92-613.48] 平均運費來說的話在第三季
[613.74-617.58] 其實貢獻整個集團營收是最顯著的
[617.82-621.42] 那平均油價來說的話其實是蠻平穩的
[621.66-625.76] 然後我們的運費其實跟那個上海航交所指數其實
[626.02-627.56] 走勢是蠻相近的
[627.86-629.14] 在第三季是最高
[629.40-630.42] 然後第四季
[630.68-632.22] 逐漸往下走
[632.46-634.52] 然後目前來說當然是在一個
[634.78-636.30] 相對來說
[637.08-638.86] 比較2024年來說是一個低點
[640.40-640.92] 下一頁
[641.42-645.02] 這是我們公司一個財務一些指標
[645.26-651.42] 就2024年來說到第二季第三季我們在毛利率存利率變化
[651.66-652.44] 來說都是
[652.70-654.22] 達到一個高點
[654.48-655.00] 下一頁
[655.00-661.14] 那我們每股淨值來說的話在2020年Q4
[661.40-662.68] 到達97.52
[664.22-668.56] 然後每股盈餘來說剛有報告過是1.18塊在2024
[672.66-676.00] 我們財務比率來說的話我們流動比當然
[676.50-678.56] 目前來說是非常健康的
[678.80-679.84] 598%
[680.08-682.90] 負債比也是維持在30%之內
[685.00-688.58] 目前公司對
[688.84-691.66] 再來第二季因為第一季已經過了
[691.92-694.72] 第二季來說的話當然目前
[694.98-698.82] 大家都知道4月2號美國關稅宣布之後
[699.08-699.60] 整個市場
[699.84-701.64] 市況可能會比較明朗一點
[701.90-702.40] 不過
[702.66-706.24] 我們現在是預期第二季畢竟還是一個
[706.50-707.28] 傳統的一個
[707.52-710.08] 歐美線慢慢要進入一個旺季
[710.34-713.68] 所以我們認為第二季的貨量應該是比第一季
[714.18-714.96] 還要樂觀
[715.26-715.76] 但
[716.02-717.82] 我們不能忽視掉關稅可能
[718.08-720.64] 產生的一些影響這必須要密切觀察
[722.16-723.70] 不過地緣政治的衝突
[723.96-728.82] 鴻海危機在這部分我知道待會各位可能會問這個問題
[729.08-731.90] 目前的話
[732.40-735.22] 鴻海危機持續所以各個船公司的繞行
[735.48-738.56] 好望角繞行的狀況沒有改變情況
[738.80-739.84] 然後加上
[740.08-743.92] 各個港口在新舊聯盟交接之際
[744.18-744.96] 港口
[745.26-748.32] 船口擁山情況其實是蠻嚴重的
[748.58-752.68] 這些不確定的干擾性因素其實在第二季
[752.94-754.22] 還是一直會
[754.72-755.76] 存在的所以
[756.00-758.32] 整個市場發展來說當然是
[758.56-762.40] 第二季會比第一季樂觀當然不確定因素也都存在
[762.66-764.46] 所以這部分來說的話
[764.72-767.78] 可能要密切觀察整個市場
[768.04-771.62] 這些關稅政策地緣政治
[771.88-773.92] 加上整個貨量的消長
[774.18-777.24] 才能去預測整個
[777.50-782.12] 第三季之後的一個狀況第二季目前是比較
[782.36-785.44] 明朗一點的第三第四季還是要持續觀察
[785.70-787.74] 以上就是一個簡短的報告謝謝
[791.58-794.92] 好非常感謝李明輝業務長的分享
[795.16-797.72] 那接下來是問答時間
[797.98-801.32] 我們在事前有收到法人客戶的提問
[801.56-803.36] 以下就由我代表向公司提問
[803.92-805.46] 那如果
[805.72-806.74] 投資
[807.00-811.34] 投資先進有任何問題也可以在聊天室裡面打字提問
[812.12-818.00] 首先第一個問題想請問2025年供需以及運價的展望
[822.10-825.68] 2025年供需其實就剛剛
[825.94-829.78] 簡報裡面有呈現供需來說它整個
[830.04-833.10] 差距是逐漸縮小比2024年相比
[833.10-835.40] 不過這是明目上的就是
[835.66-836.68] 很簡單的說
[836.94-839.50] 新船有市場新船有下多少
[839.76-840.52] 不過
[840.78-842.32] 鴻海造型持續
[842.58-843.34] 因為這個
[844.36-848.72] 這個本來大家認為這個因素今年可能會
[848.98-850.76] 消除不過
[851.02-853.58] 按照目前現在中東騎士的發展
[853.84-858.18] 這個預測短期之內應該還是會維持一個造型所以
[858.44-860.50] 整個運力的消化
[860.74-862.80] 整個運力的消減還是持續
[863.10-866.68] 加上關稅政策的影響對經濟的影響
[866.94-868.74] 所以整個運費來說的話
[868.98-871.54] 目前今年2025
[871.80-877.18] 因為下面可能投資先進還會問長約的問題
[877.44-879.22] 長約目前來說的話
[879.48-882.56] 是比2024年簽約狀況是好
[882.82-884.10] 運費是提高
[884.34-885.38] 不過在
[885.62-888.70] 現貨市場就是短期
[888.96-891.26] 約的方面短期運費的方面
[891.52-893.06] 我們是認為會呈現
[893.36-894.64] 一個波動的狀況
[894.90-896.18] 波動的狀況因為
[896.42-897.46] 市場不確定
[897.70-900.02] 因素長期短期都有存在
[900.26-903.08] 所以這部分是比較難預測的不過
[903.34-906.16] 就是會上上下下波動狀況
[907.44-907.94] 在2025
[908.46-909.22] 以上謝謝
[912.30-914.34] 謝謝接下來第二個問題
[914.60-919.72] 2025年歐洲線合約價的簽約價格區間是多少
[919.98-923.06] 美國線的合約價區間是多少
[923.30-923.62] 謝謝
[925.14-927.70] 這題還是有回答
[928.22-933.08] 已經有大概說過目前合約簽約都在進行當中
[933.34-934.10] 那
[934.36-936.42] 就目前已經有
[936.66-938.72] 順利簽下的合約就是跟
[938.98-941.54] 客戶已經達成的一些協議來說的話
[941.78-945.88] 合約價都比2024年來的高
[946.14-947.68] 那基本上
[947.94-950.50] 區間我就不方便透露
[950.74-953.06] 整體來說的確都是比2024年來的高
[953.36-957.46] 以上謝謝
[960.26-962.32] 謝謝接下來第3個問題
[962.82-964.88] 鴻海如果之後
[965.14-968.72] 疏通的話對於運價的看法為何
[969.22-973.06] 目前船商有共識何時開始不繞行嗎
[975.38-981.52] 目前不繞行就還有陽明聯盟來說的話其實基本上
[981.78-982.80] 真的是以
[983.36-984.64] 安全為最高的考量
[984.90-987.20] 那在目前的狀況之下
[987.70-988.98] 我們是
[989.24-991.80] 不會恢復通過鴻海
[992.06-996.16] 除非有百分之百的把握說這個
[996.42-997.44] 安全
[997.70-998.98] 安全航行
[1000.00-1001.78] 那運費來說的話當然你
[1002.04-1003.06] 如果鴻海
[1003.58-1008.18] 完全恢復通行的話當然會對艙位供給
[1008.96-1013.06] 有一個正向的一個注意就是說艙位供給會
[1013.36-1013.86] 變多
[1014.12-1014.90] 不過
[1015.14-1016.68] 這個
[1017.20-1021.04] 基本上業界之前也討論過很多一開始
[1021.30-1022.58] 如果恢復的話
[1022.82-1025.38] 有一段時間可能就是
[1026.92-1031.28] 各個聯盟的恢復的狀況不見得是一致的
[1031.54-1034.86] 所以這點來說話對運價長期來說
[1035.12-1037.16] 當然是一個負面的影響
[1037.42-1040.74] 不過就短期來說如果真的恢復的話
[1041.00-1042.80] 影響不見得是及時的
[1043.62-1044.12] 以上
[1047.70-1048.48] 好謝謝
[1048.74-1050.26] 接下來第四個問題
[1050.78-1056.92] 川普的關稅政策對全球的貿易量是有正面或是負面的影響嗎
[1057.44-1061.28] 想請問關稅影響的程度怎麼去估計
[1062.82-1064.60] 這個
[1064.86-1066.40] 我們很難估計
[1066.66-1072.80] 川普關稅政策會影響多少因為他基本上到4月2號之後我們可能才全世界
[1073.10-1074.12] 才會大概
[1074.64-1076.42] 比較確定他到底
[1076.68-1077.70] 執行的方向
[1077.96-1078.98] 程度如何
[1079.24-1083.34] 然後未來會不會很短期或長期再做一個修正
[1083.86-1085.90] 這個是很難去估不過
[1086.16-1089.22] 可以確定的是說很多
[1089.48-1092.82] 出貨商會去分散
[1093.32-1095.62] 他出貨的一個地區
[1095.88-1099.22] 這個是我們行商是比較特別注意的
[1099.46-1102.54] 如果是以中國為主的一些政策
[1103.10-1105.14] 製造商可能慢慢把他的
[1105.40-1108.98] 貿易基地分散到東南亞或印度
[1109.24-1113.86] 貨源的分散這個是我們看到的趨勢
[1114.10-1114.88] 就是
[1115.14-1116.16] 貨主在
[1116.42-1117.18] 應對
[1117.44-1120.76] 整個關稅政策的一個狀況
[1121.02-1124.60] 那就貨量的影響這個就比較難預估了
[1124.86-1125.62] 畢竟
[1125.88-1128.18] 整體來說還是要看
[1128.44-1130.50] 這個關稅大戰對
[1130.74-1133.06] 全球經濟的後續造成
[1133.36-1134.12] 的一個影響
[1134.38-1137.46] 程度會多少然後才能去預估
[1137.70-1140.52] 全球的貿易量到底會影響多少
[1140.78-1143.86] 目前我們還沒辦法去做一個預估
[1144.10-1144.62] 謝謝
[1146.42-1146.92] 謝謝
[1147.18-1148.98] 接下來下一個問題
[1149.22-1150.00] 美國
[1150.26-1156.40] 你對中國集貨中國製造的船隻加徵港口停泊費用
[1156.66-1159.98] 請問公司認為實際落實的機率有多大
[1160.24-1160.74] 以及
[1161.00-1162.80] 對全球運力供給的
[1162.80-1163.56] 影響
[1165.36-1167.66] 我這邊再說明一下就是
[1167.92-1169.72] 美國
[1170.22-1174.32] 貿易代表處在3月24號跟3月26號
[1174.84-1176.36] 分別召開了兩場
[1176.62-1177.64] 公聽會
[1178.16-1179.18] 那
[1179.44-1179.96] 目前
[1180.20-1180.72] 這個
[1181.24-1187.64] 公聽會的過程當中大概有接受到五六百份各方的一個意見的一個回饋
[1188.14-1191.98] 那接下去可能在未來的
[1192.24-1192.76] 一個月
[1193.06-1193.56] 左右
[1193.82-1197.66] 那美國貿易代表處會針對各方的一個意見
[1197.92-1200.48] 會做一次審慎的一個評估
[1201.00-1205.86] 那將未來如果真的要執行這樣子的一個海運
[1206.12-1207.14] 傳播
[1207.64-1213.28] 的一個法案振興美國造船業的一個細節可能還需要
[1213.80-1215.58] 做進一步的一個觀察
[1216.10-1217.38] 以目前來說
[1217.64-1221.48] 因為施行的細節還沒有正式的出來
[1221.98-1222.76] 他收取的一個
[1223.06-1226.12] 方向收取的一個開徵的一個時間
[1226.38-1227.92] 還有開徵的一個階段
[1228.18-1230.74] 階段性的徵收的一個範圍
[1231.00-1232.52] 目前都還不清楚
[1232.78-1238.16] 所以影響的一個範圍目前我們還需要進一步的一個觀察謝謝
[1242.00-1243.02] 好謝謝
[1243.28-1247.38] 接下來下一個問題想請問環保船對於成本
[1247.64-1248.92] 以及運價的
[1249.16-1249.94] 影響性
[1253.32-1259.46] 我想運價的部分應該是根據供給跟需求來決定
[1259.96-1264.84] 那環保船的部分當然是跟每一家企業
[1265.08-1267.90] 他在這個ESG上面的一個
[1268.16-1272.76] 一個承諾有相關性的一個有一定的關聯性
[1273.02-1277.88] 兩個之間應該是不存在有直接的一個正相關的一個因素
[1278.14-1279.42] 以上說明謝謝
[1282.80-1288.94] 好謝謝下一個問題想請問海運三大聯盟變化之後的影響
[1291.50-1292.52] 這個
[1293.30-1294.32] 原本
[1294.84-1296.12] T-H-EA Alliance
[1296.36-1298.42] 從1月底開始
[1298.68-1302.00] 改變為Premium Alliance之後
[1302.26-1305.84] 目前整個運作上面基本上是屬於順利的
[1306.36-1312.24] 那T-H-EA的銜接跟舊的航線的銜接跟新的航線的銜接
[1312.50-1312.76] 在航線上的行業上是有所改變的
[1312.76-1314.30] 航線的服務上面
[1314.56-1317.88] 還有這個傳播的調度上面基本上
[1318.14-1319.68] 沒有任何的一個gap
[1319.92-1321.72] 那以上這樣子說明謝謝
[1324.28-1325.30] 好謝謝
[1325.56-1329.92] 那我們目前在聊天室有收到幾個問題
[1330.42-1331.70] 由我代表發問
[1332.98-1337.84] 首先市場分析師認為陽明海運並不熱衷於
[1338.10-1340.66] 兩萬TIL以上的傳播因為
[1340.92-1342.46] 該公司的重點是
[1342.46-1345.02] 跨太平洋航線是真的嗎
[1346.30-1347.32] 這個
[1347.84-1349.88] 不能夠這個樣子講
[1350.14-1353.72] 因為整個傳播的一個需求
[1353.98-1357.06] 傳播的一個size
[1357.30-1361.14] 最後還是會回歸到我們業務的一個規模
[1361.40-1362.42] 還有業公司
[1362.94-1365.76] 在整個航線布局上面的一個
[1366.02-1369.08] 相關因素會納入這個評估
[1369.60-1372.42] 我不確定這個面貼
[1372.72-1376.56] 認為良民不知道兩萬TIL的一個說法是從哪裡來的
[1376.82-1379.88] 但是我們目前並沒有把兩萬TIL
[1380.14-1385.00] 這樣子的一個傳行排除在我們在未來航線規劃的一個
[1385.26-1386.54] 布局上面謝謝
[1389.10-1391.14] 謝謝下一個問題
[1391.92-1394.22] 美國零售商預估6月
[1394.48-1396.52] 貨量YY開始衰退
[1396.78-1400.62] 這樣是不是代表3Q25忘記不忘
[1400.88-1402.42] 主要是關稅造成
[1402.72-1407.06] 以及我們有看到關稅造成貨量下降嗎
[1407.84-1410.90] 目前來說的話這個是一個預測
[1411.16-1415.52] 剛才說第三季第四季之後整個預測來說的話
[1415.78-1418.08] 目前我們都是帶觀察因為
[1418.34-1421.14] 大家對整個關稅影響都有不同的解讀
[1422.18-1423.70] 那如果當然
[1424.98-1428.06] 第三季比過去差當然有時候忘記不忘
[1428.32-1429.08] 可是
[1429.34-1432.42] 每年的預測在整個第二季過後會有一個
[1432.72-1434.00] 再多一個修正
[1434.26-1436.30] 那關稅的影響來說的話
[1436.56-1438.86] 這個大家各方都在觀察
[1439.38-1444.24] 基本上可能要再過幾周之後大家才能看得出
[1444.50-1445.78] 真正的情況
[1446.02-1446.54] 以上
[1451.14-1452.94] 謝謝下一個問題
[1453.20-1457.30] 請問前天公告買船是用甲醇雙染料
[1457.80-1461.14] 請問與之前公告提到用LNG不一樣
[1461.38-1462.42] 是有什麼考量
[1462.72-1465.02] 純燃料有什麼優劣是
[1466.82-1472.96] 前天公告的買進三艘8000T的船舶基本上他是屬於
[1473.22-1474.74] 甲醇預制的
[1475.26-1478.34] 那我們在這個考量的過程當中
[1478.84-1480.64] 除了考慮到他未來
[1480.90-1483.96] 各型船舶航行的區段之外
[1484.22-1485.50] 也會考慮到
[1485.76-1489.08] 這個LNG主機或者甲醇主機
[1489.34-1492.42] 他對於整個船舶容積的一個影響
[1492.72-1494.76] 還有航行的區域
[1495.02-1497.06] 會做一個綜合的評估
[1497.32-1499.62] 那以上這樣子的說明謝謝
[1502.18-1502.96] 謝謝
[1503.46-1504.74] 下一個問題
[1505.00-1511.14] 2025年美國限簽定長約較2024高有多少比例是
[1511.40-1512.18] 反應成本
[1512.42-1515.24] 提高例如碼頭工人成本等等
[1518.06-1522.42] 這個很難去做一個
[1522.72-1528.60] 分析因為的確2025年的整體來說的話
[1528.86-1532.70] 長約運費是比2024年高
[1532.96-1537.30] 我們也不可諱言的2025年的成本
[1537.56-1541.40] 的確是有墊高因為整個碼頭的成本
[1541.66-1543.20] 還有一些
[1543.46-1544.48] 環保的因素
[1544.74-1546.52] 這個都會墊高一些成本
[1546.78-1551.90] 不過有關成本部分細節我就不方便在這邊多講
[1552.16-1552.42] 不過
[1552.72-1553.74] 就
[1554.00-1555.78] 貨主來說的話
[1556.30-1560.90] 在2025年他們在簽約的情況來說也都
[1561.16-1564.74] 蠻了解整個
[1570.90-1572.68] 再加上貨主對
[1572.94-1573.96] 一個穩定的
[1574.22-1577.80] 有所期待因為整個世界是
[1578.06-1579.86] 蠻不確定性蠻多的
[1580.10-1581.64] 他們也希望行商在
[1581.90-1582.42] 服務這個
[1582.72-1584.50] 部分可以加強穩定性
[1584.76-1588.10] 所以在談約運價這部分來說的話
[1588.34-1591.42] 大家比較容易達到一個共識
[1591.68-1592.44] 以上謝謝
[1595.00-1595.52] 謝謝
[1596.02-1602.42] 下一個問題想請問陽明海運旗下船隊中有多少比例是在中國建造
[1605.50-1606.78] 我們目前
[1607.04-1610.10] 自有船的部分是沒有中國建造的謝謝
[1612.72-1613.48] 謝謝
[1613.74-1618.86] 下一個問題想請問公司今年的資本支出規劃
[1638.32-1641.38] 我們目前公司的資本支出的規劃
[1641.82-1642.42] 大概分為
[1642.72-1643.22] 幾項
[1643.48-1646.04] 第一個部分我們在今年預計
[1646.30-1648.34] 之前的董事會也做一個公告
[1648.86-1652.70] 那今年會預計建造這個除了這個
[1653.22-1654.74] 建造跟購買
[1655.26-1659.62] 共有13艘的8000到15000的船舶
[1660.12-1663.70] 那搭配這樣子的一個狀況之下
[1663.96-1669.60] 新建船舶的一個資本支出目前是納入我們公司整體的一個資本
[1669.86-1670.36] 規劃
[1670.62-1672.16] 同時間因為
[1672.46-1677.06] 還有一部分的櫃子是需要做進一步的太舊換新
[1677.32-1682.18] 那我們會搭配未來業務的一個需求做適度的一個調節
[1682.44-1686.28] 那櫃子部件這一個部分也會納入今年的一個資本
[1686.80-1688.08] 支出的一個規劃
[1688.34-1689.62] 總體來說大概
[1690.12-1693.70] 是以這兩項為主當然還有其他的一些
[1693.96-1697.04] 比較細項的一個部分那就會搭配其他
[1697.30-1700.88] 一些其他的一些投資機會會納入進去謝謝
[1702.46-1706.56] 謝謝
[1706.82-1712.96] 下一個問題想請問陽明海運何時能夠完成全部13艘船舶的訂單
[1714.24-1720.38] 我們從董事會結束之後會進行相關的那個內部程序
[1720.64-1725.50] 那如果一旦確定之後我們會立刻的跟對外做一個報告謝謝
[1728.82-1729.60] 謝謝
[1729.86-1732.42] 下一個問題想請問整體而言
[1732.72-1735.02] 由於關稅政策的不確定性
[1735.28-1739.62] 可以說今年營收的預測為中低個位數成長嗎
[1744.74-1745.26] 這個
[1745.52-1747.82] 沒辦法做這樣的預估當然我
[1748.08-1751.14] 剛才有提到在
[1751.66-1753.20] 美國東西像
[1753.70-1754.98] 歐美這兩個
[1755.24-1757.54] 最主要的航線來說
[1757.80-1761.38] 他長約是比去年高
[1761.64-1762.42] 那短約的方式
[1762.72-1765.02] 那現在的部分就現貨市場來說的話
[1765.28-1767.58] 目前呈現一個
[1767.84-1769.38] 波動的一個狀態
[1769.62-1773.22] 那個位數成長我現在不敢做一個預測
[1773.46-1779.10] 不過基本上的確是波動還有不確定性是2025
[1779.36-1783.20] 在整個市場可能會產生的一個現象
[1787.54-1788.06] 謝謝
[1788.58-1792.42] 下一個問題想請問公司長短約的比率
[1792.72-1796.56] 這個好像每次都有問
[1796.82-1797.32] 不過我
[1797.58-1803.72] 上次已經說過因為這基本上是公司的一個一頁的一個
[1803.98-1807.56] 秘密所以我們不方便在這邊透露謝謝
[1810.38-1810.90] 謝謝
[1811.40-1812.42] 下一個問題
[1812.68-1818.06] 簡報中提供了2024年前三季的燃油成本金額
[1818.32-1821.38] 想請問2024全年的金額
[1822.46-1852.24] 現在可以颽ternal
[1852.46-1882.44] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1882.46-1912.44] 明镜与点点栏目
[1912.46-1942.44] 明镜与点点栏目
[1942.46-1972.44] 明镜与点点栏目
[1972.46-2002.44] 明镜与点点栏目
[2002.46-2032.44] 明镜与点点栏目
[2032.46-2062.44] 明镜与点点栏目
[2062.46-2092.44] 明镜与点点栏目
[2092.46-2122.44] 明镜与点点栏目
[2122.46-2152.44] 明镜与点点栏目
[2152.46-2154.48] 明镜与点点栏目
[2154.48-2155.96] 明镜与点点栏目
[2155.96-2160.34] 明镜与点点栏目
[2160.34-2172.44] 明镜与点点栏目
[2172.44-2180.32] 明镜与点点栏目
[2180.32-2180.50] 明镜与点点栏目
[2180.50-2181.04] 明镜与点点栏目
[2181.04-2181.42] 明镜与点点栏目
[2181.42-2181.44] 明镜与点点栏目
