[0.00-2.00] 我們法說會就正式開始
[239.00-242.00] 另外2%是其他類的部分
[242.00-247.00] 那在消費性電子有一部分是運用在手機的產業
[247.00-250.00] 它的VCM鏡頭模組裡面的一個運用
[250.00-253.00] 那目前除了這個輝平以外
[253.00-256.00] 那正式的這種A公司的手機
[256.00-260.00] 我們也從三年前開始進入以後
[260.00-263.00] 目前持續的這個在新機種的工業上的運用
[263.00-267.00] 新機種的部分也都持續的有在供應
[267.00-272.00] 那以臺灣的中部這一家的光水模組廠為主
[272.00-274.00] 是我們主要的客戶
[274.00-281.00] 這是整個產品在不同產業屬性的運用
[281.00-284.00] 那另外如果以產品的類型來看
[284.00-287.00] 大概有分為五大類
[287.00-289.00] 那在Power Module的部分
[289.00-292.00] 主要是運用在像EV的Charge
[293.00-296.00] 慢速高速充電這一塊的運用
[296.00-301.00] 也需要運用到這種所謂的電壓電流的
[301.00-306.00] 這種Inverter交互的一個運用的一個模組上
[306.00-309.00] 那另外在IPM的模組
[309.00-311.00] 它是屬於直流
[311.00-314.00] 像DC對DC直流的運用
[314.00-319.00] 這一塊也需要運用到相關的這種High Power的
[319.00-321.00] 這種NFM的導線架
[321.00-322.00] 那Revating主要是用在電流上的運用上
[323.00-326.00] 主要是運用在這邊有寫到的
[326.00-328.00] 像一些軍工產業的部分
[328.00-329.00] 軍工產業
[329.00-332.00] 那後續隨著各國的國防支出
[332.00-334.00] 尤其像Owen這一塊的支出
[334.00-336.00] 也不斷的會提高
[336.00-340.00] 我們認為說這後續在我們這些IDM的主要客戶的運用裡面
[340.00-344.00] 應該這一塊的需求也會越來越多
[344.00-347.00] Discrete跟這個所謂的Sensor
[347.00-350.00] 分離式的元件跟這種感應
[350.00-352.00] 在新的這種所謂的
[353.00-354.00] 所謂的機器人
[354.00-359.00] 或人型機器人這一塊的運用
[359.00-363.00] 將來也會我們的客戶在這一塊的琢磨也越來越多
[363.00-370.00] 我們認為相關的這種所謂Humanoid這一塊的運用
[370.00-373.00] 目前大概有三家客戶
[373.00-379.00] 這一塊的發展也是會隨著這種整個產業的一個趨勢
[379.00-381.00] 逐漸的來成長
[383.00-388.00] 這個技術我們主要應用還是在比較屬於High-end Time的部分
[388.00-391.00] 的一個這種時刻型的導線架
[391.00-395.00] 像這種QFM這一塊的一個運用
[395.00-398.00] 那它代工的有些是我們的同業
[398.00-400.00] 當一些同業就代工
[400.00-404.00] 那VCA模組就是這個Inchema打的彈片
[404.00-407.00] 這個多鏡頭的手機
[407.00-410.00] 一個鏡頭要用到兩個這個彈片
[410.00-413.00] 那三個鏡頭就要六個彈片
[413.00-419.00] 所以這個運用也是需要我們運用這種所謂H10顆的技術
[425.00-428.00] 在產業的趨勢的部分
[428.00-432.00] 目前整個工綠的導線架
[432.00-438.00] 我們預計我們的這個市占率還是會隨著產業的發展
[438.00-442.00] 在大電流高電壓這樣的一個趨勢之下
[442.00-447.00] 我們的市占率還是會逐年的持續的來提高
[451.00-456.00] 那24年剛剛報告50%是QFM的車用的市占率
[456.00-459.00] 那如果以24年整年的話
[459.00-462.00] 我們整個這個比重
[462.00-464.00] 我車用的在上48%
[464.00-467.00] 那公控的部分是23%
[467.00-470.00] 那consumer的部分是27%
[470.00-472.00] 是這樣的一個比重
[472.00-478.00] 那車用這一塊從18年的31目前有上升到48%
[483.00-485.00] 我們的第二大客戶Invading
[485.00-489.00] 那他這幾年在他的這個簡報裡面
[489.00-494.00] 有announce for這種EV世代的一個發展
[494.00-498.00] 那每一台這個EV車的contact
[498.00-500.00] 他的比重也會逐年的
[500.00-506.00] 從750這個美元上升到1650美元這樣的一個趨勢
[506.00-511.00] 那我們也很榮幸的跟整個Invading一起從2024年開始
[511.00-515.00] 一直就影在整個產業的發展
[515.00-518.00] 那後續在碳化矽或者氮化鑲
[518.00-520.00] 這一塊的發展裡面
[520.00-525.00] 我們也會跟客戶我們的這個業務團隊
[525.00-528.00] 兩個禮拜前也剛從新加坡回來
[528.00-530.00] 跟Invading的RD
[530.00-534.00] 跟Invading的這個開發小組一起在看到
[534.00-537.00] 新世代跟次世代的一個新產品
[540.00-546.00] 在文具的部分我們50%的文具營收是以自由品牌為主
[546.00-549.00] 那自由品牌比較有定價權
[549.00-553.00] 那自由品牌的毛利大概都在3成以上
[553.00-557.00] 那大概有將近2成是ODM客戶委託設計
[557.00-560.00] 那賣的對象都是文具的同業
[560.00-562.00] 以日本的文具同業為主
[566.00-569.00] 電子的第一大客戶是液化半導體
[569.00-574.00] 那這一塊它對今年全年的一個展望
[574.00-577.00] 是相對比較持平的看法
[577.00-579.00] 那第二大是Invading
[579.00-582.00] 那認為第二季以後它是比較正向的
[582.00-583.00] 比較正向
[583.00-585.00] 第二季第三季Invading它對它本身的一個展望是比較正向的
[585.00-586.00] 第二季第三季Invading它對它本身的一個展望是比較正向的
[586.00-587.00] 第二季第三季Invading它對它本身的一個展望是比較正向的
[587.00-596.00] 第二季第三季
[596.00-599.00] 那它告訴我們上禮拜告訴我們說
[599.00-604.00] 它的整個這個VV Ratio已經大於1了
[604.00-609.00] 那Vishare Group它過去都是比較先知先覺
[609.00-614.00] 那ST Micro它是比較屬於這個後知後覺
[614.00-616.00] 那Vishare它喊出VV Ratio是比較先知先覺的
[616.00-618.00] 那Vishare它喊出VV Ratio是比較先知先覺的
[618.00-623.00] 後續應該它對整個第二季以後的展望是相對比較樂觀的
[623.00-625.00] 那第四大是Nexperia
[625.00-631.00] Nexperia是我們算是屬於比較立體的一個客戶
[631.00-638.00] 那這一塊我們對它新產品的運用發展也是持續的在推程促進
[638.00-642.00] 那另外第五大是Ong的部分
[642.00-643.00] Ongsemi的部分
[643.00-644.00] Ongsemi的部分
[644.00-648.00] 今年它既有的產品大概相對比較吃力
[648.00-651.00] 它主要是去年給我們開發了新產品的部分
[651.00-656.00] 今年應該會逐劑放量來持續的增加
[656.00-658.00] 那前五大客戶大概佔
[658.00-662.00] 電子的客戶大概佔我們平收的60%
[662.00-665.00] 那文具的客戶主要還是以同業的銷售
[665.00-668.00] 除了自有品牌以外幾乎都是同業的銷售
[668.00-673.00] 尤其是商之類以上都是日系的品牌客戶
[673.00-678.00] 都是請我們來幫他做這個委託設計跟製造
[682.00-688.00] 今年我們的這個Dividend的配許率大概在67%左右
[688.00-694.00] 那這幾年大概都維持在62%以上的一個比重
[696.00-698.00] 那去年我們的毛利比較低
[698.00-701.00] 那主要還是去年下半年的營作激起
[701.00-702.00] 又比較當中的一個比重
[703.00-705.00] 然後跟一天上半年比較好
[705.00-709.00] 那下半年主要還是做EV的一個需求的影響
[709.00-712.00] 以及客戶庫存的一個調節
[712.00-716.00] 那這塊車用的這一塊margin比較好
[716.00-720.00] 但是它如果有這個所謂的需求減緩的話
[720.00-722.00] 對重啟會比較大一點
[722.00-727.00] 所以去年我們整個margin大概將近16%
[727.00-733.00] 比前兩年的17%以上大概減了一點多的%下來
[733.00-744.00] 在整個負債比重的部分
[744.00-747.00] 我們還是在持續的一個做調整
[747.00-754.00] 那我們希望說我們在今年我們預計會發一個CV
[754.00-756.00] 那透過這塊的調整以後
[756.00-761.00] 我們負債比應該有機會從目前的41%可以降到4成以下
[761.00-762.00] 4成以下
[763.00-766.00] 那但在投資的部分
[766.00-771.00] 我們還是一樣會在持續在台灣做後續的廠航的一個營運
[771.00-778.00] 那純貨的調整大概已經來到近幾年的一個相對的一個低點
[778.00-780.00] 那我們的客戶的調整
[780.00-785.00] 客戶的Howard商的調整大概也來到近9個月的相對低點
[785.00-791.00] 那以上是有關這個公司的一個簡報
[791.00-793.00] 那謝謝大家
[793.00-794.00] 謝謝大家
