[0.00-5.00] 各位早安 各位委員會先進 大家好 大家午安
[5.00-10.00] 很高興今天大家來參加台南股市股份有限公司法人說明會
[673.72-675.72] 我不充下棉花企業的部分
[675.72-677.72] 大概今年第一季的棉花企業
[677.72-682.72] 平均每棒大概是在65到68每分
[682.72-684.72] 在一個很狹窄的區間盤整
[684.72-688.72] 目前看起來65每分是一個比較強的支撐
[688.72-691.72] 那主要也是因為棉花補貼政策的關係
[691.72-694.72] 不過整個需求其實還是蠻保守的
[694.72-697.72] 那最主要還是因為棉花管稅的影響
[697.72-700.72] 因為我們自己本身大概每系客戶
[700.72-702.72] 在我們的比重應該有超過幾成
[702.72-706.72] 剩餘的兩到三成會是比較像local跟O系的客戶
[706.72-710.72] 那我覺得在進一步明朗之前
[710.72-713.72] 現在目前品牌下單的狀況都是相對性保守
[713.72-715.72] 大多是下到第二季
[715.72-716.72] 而且訂單的量
[716.72-718.72] 雖然focus沒有很大的變化
[718.72-720.72] 但是就算他們覺得
[720.72-722.72] 他們這一季的
[722.72-724.72] 他們整年度的focus可以接受
[724.72-727.72] 他們也不願意再把訂單太多釋放出來
[727.72-729.72] 那下游的一貫廠
[729.72-732.72] 或者是部廠這邊接單的狀況表現不一
[732.72-735.72] 就是如果是大型的一貫廠
[735.72-737.72] 就是他有支付然整到成也
[737.72-741.72] 或者是他是跟品牌連結比較強的部廠的話
[741.72-744.72] 他在接單的能力上比較好
[744.72-745.72] 一貫能力也比較好
[745.72-749.72] 不過整體的需求在越南當地並沒有非常的好
[749.72-750.72] 也就是說
[750.72-755.72] 訂單沒有好到可以外溢到整個供應鏈的每一個人的魚路軍山
[755.72-757.72] 所以這第二季的狀況是如此
[757.72-759.72] 那我們在看就是
[759.72-762.72] 雖然第二季是像蘇協說是比較傳統的旺季
[762.72-764.72] 但是還是受到美國這邊的影響
[764.72-765.72] 所以我們看
[765.72-766.72] 因為我覺得
[766.72-770.72] 步調跟下單的節奏上面來講都會比較保守
[770.72-773.72] 那後面的影響會變得等到明朗之後
[773.72-775.72] 力探都變短了
[775.72-776.72] 所以變得更大家的
[776.72-779.72] 他在看上面有比較大的調整性的
[779.72-781.72] 他會比較容易接到後面
[781.72-783.72] 正的部分
[783.72-786.72] 那中小型相對性就比較辛苦
[786.72-788.72] 這邊以上就是我
[791.72-792.72] 那各位親愛的大家好
[792.72-794.72] 我針對化纖本業說個補充報告
[794.72-797.72] 因為化纖本業的部分在過去的話
[797.72-800.72] 年輕度大概客人都用抑制方式來下單
[800.72-804.72] 因為他們的下游客戶都會有量一些抑制的訊息
[804.72-806.72] 基本上從疫情到現在為止
[806.72-808.72] 這個模式已經打破了
[808.72-811.72] 基本上客戶不會再提供訊息給我們
[811.72-813.72] 那麼只能當月接當月出
[813.72-815.72] 訂單模式也都比較大一點
[815.72-816.72] 因為他們以前可能有一個多吞分隔
[816.72-817.72] 然後出廠期
[817.72-821.72] 那現在變成少量多樣化的狀況變得會比較明顯
[821.72-822.72] 那目前來看的話
[822.72-823.72] 我們接單大概
[823.72-825.72] 基本上的加工都在80公左右
[825.72-826.72] 那已經維持了幾個月
[826.72-827.72] 那目前看起來
[827.72-831.72] 未來幾個月大概會是相同的加工維持下去
[838.72-844.72] 那旁邊六大方向是未來的重點嗎
[844.72-845.72] 是
[845.72-850.72] 那有些優遜優遜的順序沒有優先
[850.72-853.72] 重點會放在先
[853.72-858.72] 那像這個新加坡維中心的南向政策
[858.72-860.72] 這個東西
[860.72-864.72] 比較具體的想出來
[864.72-867.72] 是全是一個構想
[867.72-869.72] 我想整個南方來講
[869.72-870.72] 本業部分
[870.72-872.72] 但是本業是一個根本
[872.72-876.72] 那根本本業最近這幾年的確不是太好
[876.72-881.72] 那受到大陸一個價格競爭的一個影響
[881.72-883.72] 我想全球石化業都有影響
[883.72-887.72] 想到了包括包括來說都已經比較的嚴重了
[887.72-889.72] 那是那種初步意料之外的
[889.72-892.72] 那這是一個比較難去扭轉
[892.72-896.72] 其實真的比較難去扭轉的一個事實
[896.72-899.72] 那我們來講到是本業部分還是繼續優化
[899.72-902.72] 既然是說能夠把這段時間撐過去
[902.72-905.72] 那看能不能在適當的機會
[905.72-906.72] 過半載上來
[906.72-908.72] 我們再抓住機會再開始
[908.72-909.72] 我們沒有放棄
[909.72-913.72] 本業部分還是繼續在做一個優化
[913.72-915.72] 那至於其他的
[915.72-917.72] 往那個前面
[917.72-918.72] 總投資部分
[918.72-920.72] 這是以前歷史留下來的
[920.72-921.72] 是我們的根本
[921.72-923.72] 我們南地發公司
[923.72-924.72] 一樣南地發公司
[924.72-925.72] 那年問題也是一樣
[925.72-926.72] 那它還好
[926.72-928.72] 它算是還算穩定
[928.72-930.72] 那從以前的因為疫情嘛
[930.72-933.72] 那現在講的就是疫情過了
[933.72-936.72] 相對它獲利就整個大幅下來了
[936.72-938.72] 它還是維持在一個水平
[938.72-941.72] 它的那轉投資南美特倒是不錯
[941.72-943.72] 南美特是台積電的
[943.72-945.72] 它是一個台積電供應商
[945.72-947.72] 算不出汽油的一個
[947.72-949.72] 就是這層的汽油的
[949.72-951.72] 對
[951.72-954.72] 那聽起來它東西還不錯
[954.72-955.72] 因為有分兩種
[955.72-957.72] 一種是被洗掉的
[957.72-958.72] 一種是會黏在裡面的
[958.72-960.72] 它是屬於會留在裡面的那一種
[960.72-962.72] 所以一般價值會比較高一些
[962.72-964.72] 那當然他們都好在
[964.72-967.72] 這算它轉投資也算還不錯的一個國家公司
[967.72-970.72] 流通一直是我們10年了
[970.72-972.72] 那現在是還在往上走
[972.72-974.72] 今年疫情應該可以做到
[974.72-975.72] 我們希望做到110
[975.72-978.72] 就是說它還持續還算是穩定成長
[978.72-980.72] 可是我們另外一個這10年
[980.72-982.72] 除了本業以外
[982.72-984.72] 還算琢磨蠻深的一個部分
[984.72-986.72] 那加上這土地是我們自己的
[986.72-989.72] 所以我想在上面的發展
[989.72-991.72] 跟對資產一個
[991.72-994.72] 那資產的活化跟資產的一個價值提升
[994.72-995.72] 都有很大的幫助
[995.72-996.72] 這是我想
[996.72-998.72] 以資產價值提升這塊是比較有顯著的
[998.72-1000.72] 但我們沒有去賣它不會去賣它
[1000.72-1002.72] 它後面有一塊1740萬塊
[1002.72-1004.72] 的一個住宅地
[1004.72-1006.72] 可以蓋住宅
[1006.72-1008.72] 但我們還不曉得怎麼去動它
[1008.72-1012.72] 那這幾年應該還是會在商場的完整性
[1012.72-1013.72] 它現在一二期
[1013.72-1016.72] 我們大概這五年會把三級蓋起來
[1016.72-1018.72] 那整個商場就完整
[1018.72-1020.72] 那後面一塊5000期的
[1020.72-1022.72] 我相信會跟著前面的完整
[1022.72-1024.72] 後面價值會再提升
[1024.72-1026.72] 這部分大概這樣子
[1026.72-1029.72] 至於那個南向
[1029.72-1030.72] 一直是
[1030.72-1032.72] 因為我們在越南
[1032.72-1034.72] 我們算是南向走很早
[1034.72-1035.72] 25年了
[1035.72-1036.72] 25吧
[1036.72-1037.72] 25年
[1037.72-1039.72] 其實南向我們走25年了
[1039.72-1040.72] 那
[1040.72-1042.72] 一直都還不錯
[1042.72-1043.72] 一直都還不錯
[1043.72-1045.72] 那我們沒有去中國就直接去越南
[1045.72-1047.72] 那當然這段時間
[1047.72-1049.72] 大家都受到影響
[1049.72-1050.72] 那
[1050.72-1051.72] 新加坡
[1051.72-1053.72] 我們會在新加坡演習時間
[1053.72-1054.72] 但是我想說
[1054.72-1056.72] 如果說有怎樣的一個轉投資機會
[1056.72-1057.72] 在印尼
[1057.72-1059.72] 其實也有就對我再談
[1059.72-1061.72] 那會從新加坡當一個投資點
[1062.72-1065.72] 把從那邊然後再去強化越南以外
[1065.72-1067.72] 還會有其他的印尼也好
[1067.72-1068.72] 其他的機會
[1068.72-1070.72] 我們會從那個越南去發展
[1070.72-1071.72] 但那個部分
[1071.72-1074.72] 隨著整個一旦大航機的改變以後
[1074.72-1076.72] 現在認真講有在談
[1076.72-1078.72] 但是都還沒有很成熟
[1078.72-1081.72] 那至於資產的國化部分是
[1081.72-1084.72] 我想是往後這幾年
[1084.72-1086.72] 應該這三到五年
[1086.72-1088.72] 會比較容易看到有一點成效的
[1088.72-1090.72] 我們仍得那個
[1090.72-1091.72] 我們有一個
[1091.72-1093.72] 就是做工業廠房
[1093.72-1095.72] 就是做台元科技園區的計畫
[1095.72-1096.72] 那
[1096.72-1098.72] 在今年十一月會東讀
[1098.72-1100.72] 那就是做工業廠房
[1100.72-1102.72] 跟台元科技園區
[1102.72-1104.72] 應該很相近的產品
[1104.72-1107.72] 那就是一樣是電子業的工業廠房
[1107.72-1109.72] 做高融式的工業廠房
[1109.72-1111.72] 這產品在台南是沒有的
[1111.72-1112.72] 那我會從
[1112.72-1114.72] 仁德那邊開始
[1114.72-1116.72] 那邊的土地整個
[1116.72-1118.72] 土地因為以前我們的廠
[1118.72-1119.72] 以前的
[1119.72-1121.72] 那邊就是空的
[1121.72-1122.72] 不對
[1122.72-1124.72] 那個部分是棉坦
[1124.72-1125.72] 現在是棉坦
[1125.72-1127.72] 現在是茨茂總縣
[1127.72-1128.72] 那個是
[1128.72-1130.72] 後面有一塊還不知道怎麼
[1130.72-1131.72] 從沒開始
[1131.72-1132.72] 那上面是花卷廠
[1132.72-1134.72] 那現在還在運作
[1134.72-1136.72] 那就說
[1136.72-1137.72] 我們陸陸續續看情況
[1137.72-1139.72] 因為它土地面積蠻大的
[1139.72-1142.72] 那一塊開發可能會很久
[1142.72-1144.72] 因為台元已經做20年了
[1144.72-1146.72] 那大概已經差不多了
[1146.72-1148.72] 花20年時間把它整個
[1148.72-1150.72] 整個開發起來
[1150.72-1152.72] 那我相信我們要做的話
[1152.72-1155.72] 應該會比它可能會更長一些
[1155.72-1157.72] 我們也比它大段
[1157.72-1159.72] 那當然我們會一步一步啦
[1159.72-1161.72] 這個也算是一個
[1161.72-1163.72] 然後
[1163.72-1164.72] 南海來講的話
[1164.72-1165.72] 說未來班長的
[1165.72-1166.72] 除了本業以外
[1166.72-1168.72] 還有國中型以外的另外一個
[1168.72-1170.72] 比較看得到成果的
[1170.72-1172.72] 的一個計畫
[1172.72-1174.72] 那今年11月就會動工
[1174.72-1175.72] 動土
[1175.72-1177.72] 那這樣的話
[1177.72-1178.72] 今年10月更是動土
[1178.72-1179.72] 那目前這樣子
[1179.72-1181.72] 對於今年跟後續的資本支出
[1181.72-1184.72] 會有會有比較一些的動畫
[1184.72-1185.72] 嗯
[1185.72-1186.72] 當然會有些資本支出的
[1186.72-1188.72] 那我想應該
[1188.72-1191.72] 應該不會太大的問題
[1191.72-1193.72] 畢竟我們的整個負債
[1193.72-1194.72] 從去年
[1194.72-1195.72] 因為去年賣的
[1195.72-1197.72] 賣掉那個
[1197.72-1198.72] 統一國際大樓的商場
[1198.72-1200.72] 就是以前信義成品
[1200.72-1201.72] 那個我們持份
[1201.72-1202.72] 19%
[1202.72-1203.72] 接近20%
[1203.72-1204.72] 因為是持份
[1204.72-1206.72] 因為它不是一個一個一個
[1206.72-1207.72] 一個一個
[1207.72-1208.72] 產權的完整卸幅
[1208.72-1210.72] 不是完整是持份的
[1210.72-1211.72] 所以那時候想說
[1211.72-1212.72] 往後因為統一
[1212.72-1214.72] 它有它計畫開發
[1214.72-1215.72] 它花很多SOP
[1215.72-1217.72] 那我想說
[1217.72-1219.72] 讓它能夠能夠運作的更順暢
[1219.72-1221.72] 所以把我們那一塊
[1221.72-1222.72] 整個就賣給統一
[1222.72-1225.72] 所以統一現在基本上持有幾乎100%了
[1225.72-1227.72] 因為它那邊
[1227.72-1229.72] 在做現在開始建設的一部分
[1229.72-1231.72] 其他幾乎跟著都少了自己的
[1231.72-1233.72] 就讓它開發來講更能夠
[1233.72-1235.72] 能夠完整開發了
[1235.72-1236.72] 沒有去不會去
[1236.72-1238.72] 那因為畢竟外面股東的話
[1238.72-1240.72] 大家已經不一定會一樣
[1240.72-1242.72] 會造成一些困擾
[1242.72-1243.72] 擔心這樣子
[1243.72-1244.72] 所以剛好我們也學說
[1244.72-1245.72] 那一塊跟我們對我們來講
[1245.72-1246.72] 的資產完整性來講
[1246.72-1248.72] 是比較沒那麼完整的
[1248.72-1250.72] 所以去年把它除根掉了
[1250.72-1251.72] 所以去年有一個
[1251.72-1252.72] 有一筆錢進來
[1252.72-1254.72] 就把負債還了
[1254.72-1256.72] 那但是先還掉負債
[1256.72-1257.72] 那有借有還
[1257.72-1258.72] 債借不能
[1258.72-1260.72] 那這個部分
[1260.72-1262.72] 我想往後就是我們往
[1262.72-1264.72] 那個科技廠房
[1264.72-1265.72] 這邊
[1265.72-1267.72] 我們要去運作的時候的資本的來源
[1267.72-1269.72] 也就是說整個負債
[1269.72-1271.72] 不會因為我們去做這個實績
[1271.72-1274.72] 會比去年或是兩年前更高
[1274.72-1276.72] 但我們先是降下來了
[1276.72-1278.72] 因為去年的現金的關係
[1278.72-1281.72] 那慢慢的往後還是會大高一些
[1281.72-1283.72] 但是不會達到
[1283.72-1286.72] 像去年去前年那麼高
[1286.72-1287.72] 應該這樣講
[1287.72-1289.72] 是我這邊也補充一下
[1289.72-1291.72] 就是剛剛各位投資朋友看到
[1291.72-1292.72] 其實我們的現流表
[1292.72-1294.72] 我們還是有一定的現金水位
[1294.72-1295.72] 那另外就是說
[1295.72-1297.72] 如果從我們的負債比例去看的話
[1297.72-1299.72] 其實不管我們是個體
[1299.72-1301.72] 還是合併的資產負債表
[1301.72-1304.72] 我們的負債比其實都是維持在30%到40%左右
[1304.72-1306.72] 我想應該還算是一個
[1306.72-1308.72] 保守穩健的財務結構
[1308.72-1310.72] 那另外剛剛
[1310.72-1311.72] 我們發言人有提到
[1311.72-1315.72] 基本上我們有關南港科技園區的開發
[1315.72-1316.72] 大概也是朝向
[1316.72-1319.72] 竹北台原科技園區的開發模式
[1319.72-1320.72] 來做規劃
[1320.72-1321.72] 那基本上它就是
[1321.72-1324.72] 因為我們確實也有以人的學習
[1324.72-1325.72] 所以我們在科技園區來講
[1325.72-1326.72] 包含現有的廠房
[1326.72-1329.72] 應該有14萬坪的工業用地
[1329.72-1331.72] 那基本上我們還是會朝向
[1331.72-1333.72] 台原科技園區的開發模式
[1333.72-1335.72] 做分期分區的開發
[1335.72-1339.72] 那所以低階段的基地面積跟量體
[1339.72-1341.72] 因為是分期分區做
[1341.72-1343.72] 那我想國路的資本支出
[1343.72-1346.72] 應該還是在我們可控的範圍之內
[1354.72-1360.72] 如果以14萬坪來看的話
[1360.72-1362.72] 那個奇數就是看市場的反應
[1362.72-1366.72] 我們還沒有非常明確的分期
[1366.72-1369.72] 那如果單就低階段開發的話
[1369.72-1371.72] 我們預估是
[1371.72-1374.72] 可能會有3000坪的基地面積
[1374.72-1375.72] 先做第一階段
[1375.72-1377.72] 然後量體的產品
[1377.72-1381.72] 大概會有1萬坪左右的樓地板面積
[1381.72-1383.72] 那如果
[1383.72-1385.72] 因為我們剛發言人提到的說
[1385.72-1388.72] 在年底或是喜月的時候
[1388.72-1389.72] 有機會動工
[1389.72-1392.72] 那預計施工的
[1392.72-1394.72] 大概也需要兩年到兩年多
[1394.72-1396.72] 所以我想完工的期限
[1396.72-1398.72] 應該會在2027年的第四季
[1398.72-1400.72] 到2028第一季之間
[1400.72-1402.72] 然後
[1402.72-1405.72] 再來做部分的出租跟部分出售
[1405.72-1407.72] 那現階段我們都有持續
[1407.72-1409.72] 在做仿商跟招商的動作
[1409.72-1412.72] 就是先尋找潛在性的
[1412.72-1413.72] 租戶或是
[1413.72-1415.72] 或者是買家
[1417.72-1418.72] 時間
[1418.72-1419.72] 時間
[1419.72-1420.72] 我們的期數大概
[1420.72-1422.72] 可以說一下嗎
[1422.72-1424.72] 目前建築是規劃的
[1424.72-1427.72] 目前如果是
[1427.72-1429.72] 我們現在啟動的那一塊
[1429.72-1432.72] 包含單管的那一塊的話
[1432.72-1435.72] 可以規劃四期
[1435.72-1436.72] 四期
[1436.72-1438.72] 它一期大概就是
[1438.72-1440.72] 蓋兩棟或三棟
[1440.72-1441.72] 它的四期
[1441.72-1443.72] 我們現在蓋的是第一期的第一棟
[1443.72-1445.72] 第一期會兩棟
[1445.72-1446.72] 第一期的
[1446.72-1447.72] 第一期的
[1447.72-1451.72] 那整個加起來認真算的話
[1451.72-1454.72] 會分兩期到三期
[1454.72-1457.72] 會分期開發
[1457.72-1461.72] 因為現在土地的一部分還是化繩廠
[1461.72-1464.72] 可能要動到二期的部分
[1464.72-1466.72] 我相信快的話
[1466.72-1468.72] 應該在十年內
[1468.72-1470.72] 會動到第二期
[1470.72-1472.72] 所以這十年部分應該是目前還是舊空地部分
[1472.72-1474.72] 去做開發
[1474.72-1476.72] 那發現目前是空的
[1476.72-1477.72] 我們的空地大概就是
[1477.72-1480.72] 臨近支線南航市貿展覽館
[1480.72-1483.72] 跟靠近10路這一整塊的空地
[1483.72-1486.72] 面積大約有十公頃左右
[1486.72-1487.72] 施甲
[1487.72-1488.72] 三萬平
[1492.72-1494.72] 我這兩個人看新聞
[1494.72-1497.72] 101差期太長了
[1497.72-1498.72] 對
[1498.72-1501.72] 101以後搞不好會有機會
[1501.72-1505.72] 南部大概有個來兩半個月
[1505.72-1508.72] 這種東西都不給人
[1508.72-1511.72] 他對我們沒有興趣
[1511.72-1513.72] 他就這樣講
[1513.72-1518.72] 所以他們也是屬於要去
[1518.72-1521.72] 當然其實我想101的腳步
[1521.72-1523.72] 他會採這樣
[1523.72-1525.72] 我會覺得應該也合理的
[1525.72-1527.72] 因為台中給他的大樓還不錯
[1527.72-1530.72] 就是整個全新的一個大樓
[1530.72-1531.72] 然後
