[0.00-13.48] 好那欢迎各位投资先进参加台湾聚合化学品股份有限公司
[597.38-600.20] 廠家它的庫存都非常非常的低
[600.20-602.50] 那第一季雖然是光復的淡季
[602.50-604.56] 但是他們會認為說
[604.56-609.42] 可能在三月份四月份
[609.42-611.46] 光復的這個會有一波
[611.46-612.74] 這個搶裝潮
[612.74-616.58] 所以它在第一季的時候其實一直持續在做補庫的動作
[616.58-619.66] 所以但是因為大家的庫存其實
[619.66-621.20] 相位量還是低的
[621.20-624.02] 所以在第一季的時候它這些補庫的買盤
[624.06-627.38] 還是推升了這個EVA的行情持續的往上走
[627.38-632.50] 那也因為EVA的這個價格上揚
[632.50-636.10] 所以在今年第一季的EVA的毛利率跟
[636.10-638.40] 去年比起來是有比較明顯的好轉
[638.40-640.96] 那在這樣的情況下所以我們的生產線
[640.96-643.78] 除了必要的減修之外基本上是
[643.78-647.10] 盡量生產然後銷售也都沒什麼太大問題
[647.10-652.48] 那除了這個之外那我們也持續的繼續拓展土庫級EVA的市場
[652.48-654.02] 那土庫級EVA是
[654.06-655.60] 我們公司的強項
[655.60-659.70] 那目前亞洲地區可以生產的廠家並不是太多
[659.70-663.28] 而且這個產品的技術難度比較高
[663.28-666.34] 那也是我們將來打算要
[666.34-668.40] 長期發展的方向之一
[668.40-670.70] 因此雖然我們在
[670.70-673.00] 第一季的時候EVA是
[673.00-675.56] 減少生產是增加LDP的生產
[675.56-679.14] 但是土庫級的EVA
[679.14-681.46] 我們不僅沒有減少反而是增加
[681.46-684.02] 所以它第一季的這個銷售量是
[684.06-686.62] 在創同期的新高
[686.62-692.26] 那另外也因為這個轉產LDP的部分我們第一季的這個EVA的銷售量
[692.26-693.54] 跟去年同期
[693.54-697.38] 減少了14%
[697.38-700.70] 那我們來看一下那個第一季的銷售數字
[700.70-705.30] 第一季的銷售量是3萬4千噸跟去年同期其實差不多
[705.30-708.90] 但是銷售組合卻是有比較明顯的不一樣主要是
[708.90-713.24] LDP的這個銷售量明顯的增加
[714.06-720.20] 銷售量是明顯的減少
[720.20-723.78] 其中EVA的部分土庫級的EVA的銷售量是
[723.78-725.58] 1萬零一千
[725.58-729.16] 1萬零一百二十四噸
[729.16-737.36] 跟去年的第一季比起來還是增加了幾百噸
[737.36-743.50] 整個EVA減少的部分其實主要是在光伏級的EVA跟發泡級的EVA
[744.06-749.18] 光伏級的EVA的話是4719噸雖然還是比去年
[749.18-752.00] 同期要高因為去年的第一季的時候
[752.00-755.06] 光伏的情況其實是
[755.06-756.60] 算蠻差的
[756.60-758.66] 但是我們平均一個月大概
[758.66-760.96] 會有大概五六千噸的這個
[760.96-765.56] 這個光伏級對不起一季大概是有五六千噸的光伏級的銷售量
[765.56-768.38] 但是在第一季的時候是只有4700噸
[770.94-774.02] 那產品用來看的話
[774.06-777.64] 第一季的話它的光伏級的部分是21%
[777.64-781.74] 那土庫級這邊很明顯看到已經佔了大概45%了
[781.74-783.28] 發泡級15%
[783.28-787.62] 其他的部分19%
[787.62-793.26] 這近五年的銷售變化在第一季的部分從這邊看
[793.26-801.46] 可以看得出來第一季今年第一季跟去年第一季銷售量其實是差不多的
[801.46-804.02] 那我們來看一下第二季跟後面的這個營運的
[804.02-804.78] 展望
[804.78-809.40] 首先我們還是從原有的這個角度來看一下
[809.40-813.50] 對等關稅這邊美國的對等關稅暫緩執行90天
[813.50-817.34] 那還有美中貿易戰這邊談判
[817.34-821.94] 有比較好的結果那最近的原有的也是有比較趨緩的
[821.94-826.30] 但是因為OPEC這邊五六月份它還是會增產
[826.30-829.36] 所以原有我們的看法認為
[829.36-832.94] 在第二季還是會有供貨需求的壓力
[832.94-833.98] 但是現在
[833.98-836.02] 雖然有這些變數但是
[836.02-838.34] 說真的後面的這個經濟情勢
[838.34-840.12] 很可能會
[840.12-841.66] 因為一些
[841.66-845.76] 人為的影響可能就會馬上做轉變
[845.76-847.04] 所以對於
[847.04-853.94] 未來的這個原有的變數其實還是相對來講變數還是比較多的
[853.94-856.50] 那儀器的部分
[856.50-858.82] 3月底4月初儀器的價格
[858.82-861.62] 從圖片上可以看到儀器的價格有滑落
[861.62-863.16] 但是最近
[863.16-863.94] 近期有下止點
[863.98-869.10] 另外就是中美貿易談判的這個比預期的好
[869.10-872.94] 所以其實最近的儀器的價格也有明顯的
[872.94-873.96] 止跌了
[873.96-875.24] 可是
[875.24-877.80] 以目前的情況來看一下整個市場
[877.80-881.38] 儀器的下游衍生物多半都是
[881.38-882.92] 處於供貨需求的情況
[882.92-884.20] 包含儀器自己
[884.20-885.74] 自身也是這個情況
[885.74-888.04] 所以我們可以預期未來
[888.04-889.84] 短期內亞洲的
[889.84-890.86] 儀器的價格
[890.86-892.90] 它還是很難擺脫跟
[892.90-893.94] 清油
[893.98-895.26] 保持比較低
[895.26-898.08] 利差的這個走勢
[898.08-899.86] 那VM的部分
[899.86-902.42] 大陸因為有一個新的產能投產
[902.42-906.26] 另外第一季有比較多廠商稅休
[906.26-908.58] 那現在目前大概都已經結束了
[908.58-914.46] 預期第二季開始它的整個供應會比較寬鬆
[914.46-917.78] 那我們看一下P1跟E1的市場方面
[917.78-920.34] 其實
[920.34-923.16] 美國的這個對等關稅對我們的影響
[923.16-923.68] 呃
[923.98-925.78] 雅具體的部分
[925.78-927.82] 它對直接輸美的
[927.82-930.12] 占比其實小於1%
[930.12-933.96] 但是它最大的影響反而是因為市場的不確定性
[933.96-935.50] 即使是現在
[935.50-939.08] 中美貿易談判的結果出來之後
[939.08-944.46] 這個不確定性的因素消除了一部分但還是沒辦法完全消除
[944.46-947.78] 所以市場的不確定性導致了下一個觀望
[947.78-948.82] 那
[948.82-950.60] 從4月初開始我們就
[950.60-951.88] 很明顯的感受
[951.88-953.94] 感覺到外銷客戶
[953.98-957.06] 它買氣有明顯的縮手
[957.06-958.58] 訂單有萎縮
[958.84-963.20] 那當然那一天美國跟中國的談判結果出來之後
[963.46-965.24] 有稍微好轉一點點但是
[965.50-969.60] 還是沒有辦法回到那個之前的這個狀態
[970.10-972.16] 那第二個原因是
[972.42-973.44] 第二點是
[973.70-976.26] 大陸的光伏的強裝潮
[976.76-982.14] 大陸他這邊在國內的這個政策他在4月30跟5月
[982.40-983.94] 31個有一個這個
[984.18-988.34] 光伏的政策要求這些尤其是分布式的
[988.58-992.18] 太陽能業者要在這之前完成併網
[992.42-995.76] 否則的話會有一些限制跟費用的產生
[995.76-999.34] 因此在第一季的時候我們也看到很多
[999.60-1003.44] 光伏業者他要盡量生產搶到這之前
[1003.70-1004.46] 裝機
[1004.98-1005.74] 那這個
[1006.00-1006.76] 到這個時間點
[1007.02-1009.84] 光伏的強裝潮即將進入尾聲
[1010.34-1012.14] 另外新產的部分
[1012.40-1013.94] 大陸的紅警他在第1季
[1014.24-1015.78] 有一套20萬噸的
[1016.02-1016.80] 產能投產了
[1017.30-1018.08] 那另外
[1018.34-1022.68] 這個月底到下個月初預計還會有一套20萬噸的人會投產
[1023.20-1026.52] 所以從需求面可能會稍微比較轉弱
[1027.04-1029.86] 那供給面會有增加的情況下
[1030.10-1032.92] 我們看起來大陸的1月的供需壓力會
[1033.18-1034.20] 會壓力會
[1034.46-1035.22] 漸漸的增加
[1036.00-1037.54] 那另外也是因
[1037.78-1038.30] 過去
[1038.56-1040.10] 協業的這個
[1040.60-1041.12] 淡季
[1041.38-1042.90] 基本上是差不多
[1043.16-1043.94] 5月到
[1044.24-1045.26] 甚至6月以後才會來
[1045.52-1048.58] 但今年主要是前面的這個
[1048.84-1051.40] 全球經濟的不穩定性
[1051.66-1053.20] 造成業者
[1053.46-1054.22] 包含我們下游
[1054.48-1055.76] 包含我們下游客戶的
[1056.02-1056.52] 他的客戶
[1056.78-1060.36] 的觀望所以導致了協業的淡季期限到來
[1060.88-1064.98] 那對於目前的這樣的經濟情況我們的
[1065.22-1068.56] 因應方式還是在繼續拓展
[1068.82-1070.60] 利息產品比如說
[1070.86-1072.66] 剛提到的圖夫級LDP
[1072.90-1073.68] 將來
[1073.98-1077.30] 如果說我剛提到的大陸的這個石化廠
[1077.56-1079.86] 他的主力供應商沒有辦法
[1080.12-1081.14] 恢復的話
[1081.40-1083.20] 那對我們來講可能是一個
[1083.46-1083.96] 利基
[1084.48-1085.76] 那另外
[1086.52-1090.62] 在圖夫級的1月因為他這個技術比例比較高
[1090.88-1094.46] 我們在這方面我們有優勢所以我們會
[1094.72-1098.04] 持續的去擴展圖夫級1月的這個市占率
[1098.30-1099.58] 那另外我們
[1099.84-1101.38] 最近繼續在開發了一些
[1101.62-1103.68] 比較特殊級別的
[1103.98-1106.02] 發泡跟電纜的這個應用
[1106.28-1109.62] 這個也是我們持續去拓展的方向
[1112.42-1116.52] 那接下來由我們財務部的張經理談來報告財務資訊
[1124.46-1129.58] 各位投資先進還有美女朋友大家好那接下來由我為各位報告
[1129.84-1132.66] 亞區公司的第一季的合併財務資訊
[1132.90-1133.94] 那這邊看到了什麼
[1134.24-1135.52] 這是合併的水利表
[1136.02-1139.62] 那第一季的合併營收是15.34億
[1139.86-1141.14] 比去年同期的
[1141.40-1144.22] 15.61億大概少了2700萬
[1144.48-1148.82] 那這個變化的主要是今年第一季的銷售的銷售量大概比去年
[1149.08-1150.62] 同期少了3%
[1150.88-1153.70] 那價格部分大概比去年平均價格大概
[1153.94-1155.22] 上漲了2%
[1155.48-1156.26] 所以整個
[1156.50-1158.82] 量比較少價格有多了一些
[1159.32-1160.10] 所以平均
[1160.34-1163.94] 整個銷售的金額比去年同期大概少2700萬
[1164.24-1166.28] 那再來看到毛利率的部分
[1166.80-1170.90] 今年第一季的毛利額是1億200萬毛利率是7%
[1171.14-1172.68] 那比去年同期的
[1172.94-1174.22] 毛利額800萬大概
[1174.48-1176.26] 多了9400萬的毛利額
[1176.52-1181.64] 那這個影響除了剛才提到的整個平均售價大概上漲了2%
[1181.90-1184.72] 平均的原料價格大概跌了2%
[1184.98-1186.50] 所以是整個第一季的
[1187.02-1190.86] 今年第一季的營業毛利額跟毛利率都比去年同期有
[1191.12-1192.14] 一些增長
[1192.40-1193.94] 那再來在營業費用部分
[1194.24-1196.80] 今年第一季的營業費用是6500萬
[1197.06-1199.36] 那比去年第一季大概多了400萬
[1200.12-1201.40] 第一季的
[1201.66-1205.50] 毛利是1.02億那扣掉營業費用6500萬所以
[1205.76-1208.82] 第一季還有營業的金利大概是3600萬
[1209.08-1211.14] 營業金利利率是2%
[1211.38-1215.22] 那不夠扣掉營業外的支出2.6億
[1215.48-1219.84] 那這2.6億主要是來自轉投資股雷的損失2.5億左右
[1220.34-1222.40] 那扣掉這個營業外支出之後稅錢
[1222.66-1223.94] 第一季的稅錢經濟損失
[1224.24-1225.52] 2億2500萬
[1225.78-1228.08] 然後再扣掉所得稅費用
[1228.34-1231.66] 第一季的稅後淨損失2億3700萬
[1231.92-1234.98] 那以59.11的估本來計算的話
[1235.24-1237.80] 第一季的每股虧損是0.4塊錢
[1240.36-1242.92] 那再來看一下財務比例部分
[1243.18-1246.50] 那今年第一季剛有提到營業金利是3600萬
[1246.76-1248.82] 所有營業利益率是百分
[1249.06-1251.88] 3600萬所有營業利益率是2%
[1252.14-1253.94] 那扣掉營業外的支出之後
[1254.24-1256.28] 的淨損率是15%
[1256.54-1261.14] 那第三個負債戰資產的比例因為去年度的整個接款有增加
[1261.40-1264.74] 所以整個比率從2023年底的11
[1264.98-1268.32] 那增加到去年底的16那第一季底也是16
[1268.58-1270.88] 那再來流動比率第一季是
[1271.14-1272.42] 279
[1272.92-1277.02] 速動比例是203那都比前一年度大概有微幅
[1277.28-1279.32] 去年底有微幅的一些下降
[1279.58-1281.88] 那平均收現之數是30
[1282.14-1283.94] 平均消耗日數是41
[1284.24-1286.28] 那這個以往大概沒有比較大的變化
[1288.08-1289.36] 以上是我的報告
[1312.14-1312.90] 接下來
[1313.16-1313.94] 台聚
[1314.24-1315.00] 收費部分
[1317.82-1322.18] 那解報的模式跟亞區是一樣的
[1323.20-1325.24] 首先我們看一下公司的概況
[1326.78-1331.64] 同時概況裡面我們現在直接看下面那個營業額
[1331.90-1332.92] 那營業額
[1333.18-1338.56] 在今年第一季合併是121.47億
[1338.82-1340.60] 那相對於
[1340.86-1343.42] 去年同期增加了一些
[1344.24-1345.00] 在合併的部分
[1345.26-1348.34] 那在本業的部分事實上也是一樣
[1348.58-1350.64] 大概今年就比去年
[1351.14-1353.20] 增加了大概6800萬
[1353.46-1354.74] 那這個
[1354.98-1361.14] 整個集團是這個趨勢大概個體的公司大概也都是這樣一個小額
[1361.38-1363.18] 一個差距
[1363.44-1366.26] 那我們看一下雖然營業額這個差不多
[1366.50-1368.30] 可是這裡面還是有稍微
[1368.56-1370.60] 跟去年不一樣
[1370.86-1372.40] 簡單講就是我們的
[1372.90-1373.94] 今年的
[1374.24-1376.80] 營業額裡面那是有
[1377.06-1379.86] 跟去年銷售量是多了2200噸
[1380.12-1383.70] 多了2200噸但是
[1383.96-1385.24] 售價是減少
[1385.50-1386.78] 今年的售價是減少
[1387.04-1388.82] 但是其中又有
[1389.34-1390.36] 匯率的不一樣
[1390.62-1391.38] 今年的
[1391.64-1395.48] 第一季的匯率我們平均起來大概32.9
[1395.74-1398.82] 當然跟現在是不一樣但第一季的時候
[1399.06-1401.38] 美金對台幣還是算是比較高的
[1401.62-1403.68] 那今年的第一季匯率是
[1404.24-1405.78] 32.9那去年就
[1406.02-1407.56] 只有31.4
[1407.82-1410.38] 那整個這樣一個交錯的影響
[1410.64-1411.92] 那大概
[1412.18-1412.94] 營業額是
[1413.20-1414.98] 是差不多啦多一點點
[1416.26-1418.06] 我們再看一下我們的
[1418.32-1421.90] 我這邊介紹的台聚主要是
[1422.16-1428.30] 兩個廠的部分那主要就EVA高壓法所謂高壓法
[1428.56-1433.42] 另外我們低壓法P的部分另外一個CBC的部分量比較少
[1433.98-1435.52] 不會講到這個
[1435.78-1440.38] 那我們看一下產量的部分產能跟產能是一樣沒有變
[1440.90-1442.18] 那產量的部分
[1442.42-1443.96] 跟去年比較起來
[1444.22-1446.26] 就有明顯的增加
[1446.52-1447.80] 那明顯增加
[1448.06-1454.20] 那就主要是說第一季的時候那剛才在亞巨的部分也提到EVA的
[1454.46-1455.48] 生意還算不錯
[1455.74-1458.30] 光輔的需求價位也比較好
[1458.56-1459.32] 所以在
[1459.58-1463.68] 今年第一季的時候除了必要的維修之外
[1463.98-1464.50] 幾乎
[1465.26-1466.80] 就是開滿了
[1467.30-1471.92] 這個產能雖然是5萬噸如果講EVA來講我們平均大概
[1472.18-1476.26] 都是抓1萬1個月也就是說一季應該3萬3
[1476.78-1481.14] 那如果是今年第一季31919噸的話這個開工率已經
[1481.38-1483.94] 大概到達97%
[1484.20-1486.00] 相對於去年同期的時候
[1486.50-1490.60] 28000那時候只有8成5左右所以今年的
[1490.86-1493.94] 在第一季的時候EVA的表現相對於去年
[1494.24-1495.26] 在量的方面
[1495.52-1496.28] 是
[1496.54-1502.18] 比較好但是價格是等一下我們會介紹價格是比去年相對是比較低了一些
[1503.46-1505.24] 我們來看一下我們另外一個廠
[1505.50-1506.52] 這個低壓法
[1506.78-1509.60] 一樣我們看最下面的部分看產量
[1509.86-1514.72] 那產量呢今年的產量是22637噸
[1514.98-1517.78] 那相對於去年同期我們增加了很多
[1518.04-1523.16] 那去年同期主要是在這個時候第一季中有稅休的關係
[1523.42-1525.46] 減工的幅度太大了
[1525.72-1527.52] 以至於說我們在
[1527.76-1532.12] 去年同期的時候只有11000多噸
[1532.64-1534.16] 那11000多噸如果
[1534.68-1538.26] 以13萬噸的產能來看的話就去年
[1538.52-1541.60] 這個時候第一季是開工率只有3成5
[1541.84-1543.12] 然後到了
[1543.38-1545.68] 今年的時候幾乎就double大概就7成
[1546.20-1547.74] 那7成的話對於
[1548.00-1551.84] 我們今年相對於去年同期的時候對於這個
[1552.08-1553.12] 營收
[1553.42-1559.56] 還有獲利等等就有很大的幫助後面我們還會再繼續看這一塊
[1561.60-1563.66] 好我們看一下這個以西根營友的
[1564.16-1565.96] 那這邊在亞居的部分
[1566.22-1570.32] 剛剛在亞居的時候已經有說明過了
[1570.56-1572.62] 那我們這邊直接看一下
[1572.88-1576.72] 後面這個最右邊這個金臉的部分
[1576.96-1578.00] 可以看了
[1578.24-1581.06] 明顯營友的部分下面這個藍色的
[1581.32-1582.60] 那營友金臉
[1583.42-1584.44] 有一個
[1584.70-1585.72] 大幅度的
[1585.98-1590.08] 比較下跌那主要就是經濟環境不好還有
[1590.32-1593.66] 川普這種關稅這種問題
[1593.92-1595.96] 就造成今年那去年
[1596.22-1602.36] 的話最高都要進行高點的時候到90那去年基本上是為止在70到80之間
[1602.62-1604.66] 那今年的話
[1604.92-1605.94] 從這個
[1606.20-1610.30] 7 80的時候就下來那瞬間的時候到59
[1610.56-1611.32] 那
[1611.58-1613.12] 前期到第一次
[1613.42-1616.24] 第一季末的時候幾乎就剩下
[1616.48-1617.00] 60塊
[1617.26-1617.76] 62塊
[1618.02-1619.56] 那最近就是稍微在往上
[1619.82-1622.12] 到5月之後到65塊左右
[1622.38-1625.44] 那基本上今年的油價就是會比去年
[1625.70-1626.48] 會來的低
[1626.72-1628.52] 來的低就會造成說
[1628.78-1632.62] 這個以西的我們的成本也會降低
[1632.88-1633.90] 如果這邊
[1634.16-1636.72] 來看這個紫色的以西的部分
[1636.96-1640.04] 看得出來如果跟去年同期低級來比的話
[1640.30-1641.06] 我們
[1641.32-1642.60] 今年的以西
[1643.42-1647.52] 在低級耗用的成本相對去年同期是減了44塊美金
[1647.76-1650.32] 每噸44塊美金這個是
[1650.58-1651.86] 對於我們今年
[1652.12-1658.52] 那是比較相對去年是比較有利那預估後面的以西也會為止在
[1658.78-1662.62] 比較跟去年比起來比較低點大概800塊
[1662.88-1665.44] 上下左右這樣對我們是
[1665.68-1669.52] 是蠻有幫助的那這一塊等一下還會在
[1669.78-1671.06] 以西的部分
[1671.32-1673.12] 那對我們後面有什麼樣的影響呢
[1673.42-1674.18] 等一下再
[1674.44-1675.98] 做進一步的說明
[1677.00-1678.02] 我們看一下eva
[1678.28-1680.58] eva這個趨勢
[1680.84-1683.40] 上面兩條是高va跟dva
[1683.66-1685.96] eva的趨勢
[1686.22-1688.26] 那下面是成本
[1688.52-1692.10] 紫色的是以西剛剛沒看過
[1692.36-1694.66] 那下面的是VAM
[1694.92-1698.00] 另外eva裡面的vam
[1698.24-1699.02] 這個成本
[1699.28-1703.12] 那台聚基本上是都做高va所以我們把dva的干擾
[1703.42-1704.18] 掉之後
[1704.44-1705.72] 我們可以看得出來
[1705.98-1711.36] 今年的第一季啊那基本上他第一季價格是往上升這個在亞區的部分我們
[1711.60-1715.44] 也有說明過了那但是這邊是要跟去年來比
[1715.70-1717.76] 如果跟去年來比的話
[1718.00-1719.04] 我們這個
[1719.28-1722.62] 我們先看以我們台聚
[1722.88-1725.18] 賣出去的eva
[1725.44-1728.50] 跟去年賣出去的eva大概一噸
[1728.76-1730.56] 是下跌了97美金
[1730.80-1732.86] 這是在於我們的售價的部分
[1733.42-1736.24] 那下面這兩條剛才在紫色的這個以西
[1736.48-1740.08] 我們剛才說明第一季我們耗用大概減了44塊
[1740.32-1746.22] 每噸44塊美金這是在以西那44塊相對eva的跌幅97塊來講
[1746.48-1748.26] 是不夠
[1748.52-1749.54] 但是這個VAM
[1749.80-1753.38] 耗用我們eva裡面台聚大概佔30%是VAM
[1753.64-1756.20] 這個裡面就跌了121塊
[1756.46-1757.74] 比eva的
[1758.00-1759.78] 跌幅是來的大
[1760.04-1763.12] 那這樣一個結果加上我們的
