[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-35.26] 今天报告的纲要为公司简介 营运概况
[35.26-41.48] 2024年营运概况 前景与展望
[41.48-45.90] 以及永续发展介绍与实践四个项目
[644.52-647.08] 能源管理系统认证
[647.08-652.98] 致力于提升能源效益与永续的发展
[652.98-654.52] 在社会责任方面
[654.52-657.84] 我们举办了
[657.84-659.64] 群起顾健康
[659.64-661.44] 一起来走走的
[661.44-663.74] ESG健走比赛
[663.74-665.78] 我们也加入了国建署
[665.78-670.90] 722安心血压站的计划
[670.90-672.96] 在公司治理方面
[672.96-677.04] 我们荣获了反诈骗评鉴的结束奖
[677.04-680.38] 荣获教育部体育署颁发的
[680.38-682.68] 运动企业认证
[682.68-684.48] 我们荣获卓越正确的
[684.48-686.02] 证券评比
[686.02-688.32] 最佳券商奖及
[688.32-693.96] 最佳高龄友善奖
[693.96-697.80] 在公司治理方面也获得了许多肯定
[697.80-699.32] 获选纳入了
[699.32-703.16] 台湾永续指数成分股
[703.16-708.54] 富时社会责任新兴市场指数成分股
[708.54-712.64] 台湾就业99指数成分股
[712.64-714.18] 我们2023年度
[714.18-716.74] 公司治理评鉴排名
[716.74-719.04] 在参加公司的
[719.04-728.00] 排名前21到33%
[728.00-732.86] 感谢各位投资朋友的时间
[732.86-737.48] 今天的报告到此结束
[737.48-739.78] 欢迎线上的投资朋友来
[739.78-742.34] 槌寻以及指教
[742.34-742.86] 谢谢
[744.18-745.20] 拜拜
[774.18-789.16] 如果线上的投资朋友
[789.16-791.78] 没有随寻跟指教的提问
[791.78-796.78] 我们今天的法人说明会就到此结束
[796.78-799.74] 欢迎感谢大家的参与
[799.74-802.24] 今天的说明会到此结束
[802.24-803.08] 谢谢大家
[803.08-803.58] 谢谢
[804.18-834.16] 谢谢大家
