[0.00-4.08] 各位投资先进媒体朋友们
[302.54-304.88] 不过尚属于健康的一个水准
[304.88-310.64] 接下来我们看现金流量表的部分
[310.64-314.84] 第四季的移运贷进来的现金流入是88亿
[314.84-318.94] 那其中这个季度的折旧跟谈销约当是80亿
[318.94-323.08] 投资活动的现金流出约当大概是60亿
[323.08-325.24] 那其中capas是73亿
[325.24-328.08] 那投资活动的现金流入是26亿
[328.22-331.54] 主要是银行借款的净增加28亿
[331.54-339.58] 接下来一页是公司的三个主要营收支柱的
[339.58-341.92] 占整个公司合并营收的一个比重
[341.92-344.20] 首先我们看到display
[344.20-347.28] 这个季度营收占比减少1个percent
[347.28-350.02] 那主要是受到淡季的影响
[350.02-352.40] 消费性的产品的需求放缓
[352.40-356.68] 那TV monitor跟notebook的出货量基本上都是减少
[356.68-358.20] 那接下来我们看这个季度的营收费用
[358.22-360.16] 那我们看到vertical solution的部分
[360.16-362.28] 这个季度也是下滑了1个percent
[362.28-366.88] 那原因主要是客户提前备货和市场的动能趋缓
[366.88-368.66] 再加上第四季度
[368.66-373.26] 太阳能模组的出货下降来所产生的一个影响
[373.26-377.04] 那最后是mobility的solution的部分
[377.04-380.46] 第四季度的营收占比增加了3个percent
[380.46-382.12] 那如同刚才提到的
[382.12-384.68] 主要是受到全球除了中国以外
[384.68-388.20] 地区的车市低迷跟客户需求的影响
[388.22-390.22] 也有延后的一个影响
[390.22-392.22] 造成了整体的出货下降
[392.22-394.22] 但中国的车市收费
[394.22-398.22] 中国的汽车政策的一个推广和海外销量的一个增加
[398.22-402.22] 使得中国的市场的出货进一步增加
[402.22-404.22] 使得整体mobility的solution
[404.22-409.22] 占公司的营收从26个percent上升到29个percent
[409.22-418.22] 那接下来由我向各位说明公司对于2025年第一季的业务展望
[418.22-421.22] 首先关于mobility solution的部分
[421.22-426.22] 第一季度受到工作的影响跟季节性的因素的影响
[426.22-433.22] 公司预期营收将较上一个季度减少high single digit的percent
[433.22-437.22] 那其次关于vertical solution的部分
[437.22-442.22] 公司预期第一个季度达情的smart vertical
[442.22-446.22] 跟达情的工商用的面板基本上会回温
[446.22-448.22] 那还有就是智慧服务的部分
[448.22-451.22] 公司的服务需求会进一步上升
[451.22-459.22] 因此预期这个第一季的部分将较第四季度成长low to mid teams的percentage
[459.22-462.22] 最后关于display第一季度受到
[462.22-465.22] 最后是关于这个display的部分
[465.22-468.22] 第一季度受到中国以旧换新政策的一个激励
[468.22-471.22] 再加上产业供需链趋于健康
[471.22-476.22] 公司预期display的营收将是小幅度的一个下滑
[476.22-480.22] 那这个数字基本上是优于以往的季节性的
[480.22-482.22] 那以上是我的说明谢谢
[482.22-484.22] 谢谢David
[484.22-490.22] 接下来我们请董事长跟各位分享公司未来的策略方向以及展望
[490.22-494.22] 各位投资先进媒体朋友们大家好
[494.22-498.22] 很高很高兴今天又跟大家在这边面对面
[498.22-502.22] 来谈我们的这个回顾跟展望
[502.22-504.22] 那昨天元宵刚过
[504.22-506.22] 所以在这边先跟大家拜个晚年
[506.22-508.22] 祝大家舍联行大运
[508.22-510.22] 身体健康万事如意
[510.22-515.22] 趁这个机会跟大家来报告一下我们的状况
[515.22-519.22] 刚刚第四季的这个营收687亿
[519.22-522.22] 较第三季减少了一点
[522.22-525.22] 不过还是比2023年同期增加
[525.22-532.22] 所以这整个面整个的这个产业已经开始就是回复到更有秩序的状况
[532.22-535.22] Display上季是传统的淡季
[535.22-537.22] 所以QoverQ是减少
[537.22-541.22] 不过大陆在年底的时候有一个这个
[541.22-546.22] 以旧换新或者是能源这个节能补贴
[546.22-554.22] 所以创造了整个尤其是大尺寸上的TV的这个非常热烈需求
[554.22-557.22] 所以我们看到整个这个Display的状况
[557.22-563.22] 现在是在一个很好的一个增长的这个势头上面
[563.22-564.22] 那Mobility solution呢?
[565.22-567.22] 第四季也稍微减少一点
[567.22-570.22] 不过这个也符合我们的预期
[570.22-572.22] 唯一的就是在Vertical solution这一块
[572.22-575.22] 因为我们Energy的这一块
[575.22-577.22] 因为政策的影响
[577.22-580.22] 所以我们整个Energy下降了非常多
[580.22-585.22] 那尤其是在这个商用选市的这一块也受到
[585.22-589.22] 总体环境就经济环境不确定
[589.22-593.22] 所以大家在企业的投资上面
[593.22-600.22] 企业支出还没有恢复到原来的这个比较畅旺的支出的这个状况
[600.22-608.22] 所以Vertical solution这边有受到一些就是Energy跟商用产品的这个影响
[608.22-613.22] 我想25年应该会有比较大的改善
[613.22-615.22] Energy还没有
[615.22-618.22] 不过商用这一块会比较大改善
[618.22-619.22] 那2024年
[619.22-621.22] 虽然说
[621.22-622.22] 整全世界
[622.22-623.22] 不管正常还是正常
[623.22-625.22] 整个经济环境都非常的动荡
[625.22-628.22] 不过友达的转型策略也持续在发酵
[628.22-633.22] 再加上我们还有在第二季开始并入BHTC
[633.22-637.22] 那这里面当然让我们的整个总体营收
[637.22-639.22] 达到了2800亿
[639.22-642.22] 较2023年增加13个percent
[642.22-644.22] 那除了营收的成长
[644.22-647.22] 也让我们一举进入到
[647.22-651.22] 所谓车用的Tier1的这个领域
[651.22-652.22] 然后另外呢
[652.22-657.22] 也增加了这个全球制造跟销售的布局
[657.22-660.22] 那当然我们跟BHTC加起来的优势互补
[660.22-662.22] 这个也逐渐的在发酵
[662.22-664.22] 我想未来几年大家应该可以看到
[664.22-669.22] 我们在车用方面的这个成长是非常的可观
[669.22-678.22] 所以24年我想BHTC其实是在往好的方向走
[678.22-681.22] 那这个Mobility solution这一块也
[682.22-688.22] 也达到我们原来设定的这个目标
[688.22-691.22] 就是Vertical solution这一块我们还继续努力
[691.22-693.22] 不过我们目前看到
[693.22-696.22] 除了这个能源事业
[696.22-698.22] 台湾的能源事业
[698.22-700.22] 总体来说的话
[700.22-701.22] 受到能源政策的影响
[701.22-706.22] 去年全台湾的太阳能的装饰量减少了4成
[706.22-709.22] 那当然对于有达的本身呢
[709.22-712.22] 我们这个营收下降了比较多的时间
[712.22-714.22] 大概衰退了6成
[714.22-720.22] 不过我想我们还是会持续的去争取更多的这个案子
[720.22-723.22] 第四季当然营收下滑
[723.22-727.22] 所以我们本业的这个亏损比上一季稍微大了一点
[727.22-731.22] 不过因为我们有业外的这个挹注
[731.22-734.22] 所以我们第四季的净获利是转正
[734.22-740.22] 那全年的毛利率跟EBITDA也比二三年好得非常的多
[740.22-741.22] 当然我们
[742.22-747.22] 一直希望是能够在本业能够转正
[747.22-752.22] 不过在全公司努力下我们改善了很多
[752.22-758.22] 但是我们还是没有办法在24年能够达到全年转正
[758.22-761.22] 不过这个我们会持续再努力
[761.22-765.22] 那公司整体财务结构是很稳健的
[765.22-767.22] 第四季的存货金额持平
[767.22-771.22] 那整个现金的水准也都还算是
[772.22-774.22] 在一个健康的水平
[774.22-777.22] 我想大家更关心的是25年
[777.22-778.22] 25年呢
[778.22-782.22] 其实政经环境老实说
[782.22-784.22] 可能也不见得比20年好太多
[784.22-787.22] 尤其是现在有一个还蛮大的变数
[787.22-790.22] 就是每一天一个推特就告诉大家
[790.22-792.22] 我政策又变了
[792.22-796.22] 所以其实老实说我们每天在那边思考这个
[796.22-798.22] 怎么去应对这些变化
[798.22-801.22] 不过我还是谈一谈有一些
[801.22-803.22] 我们已经确定的东西
[803.22-807.22] 像比如说中国的这个节能补贴
[807.22-812.22] 那对3C的产品的这个刺激还是持续的进行
[812.22-815.22] 那当然还有包含汽车
[815.22-819.22] 所以第一季当然是传统的单季
[819.22-826.22] 不过我们认为今年的走势应该是逐季往上
[826.22-831.22] 所以回到一个比较正常的这个季节变换
[831.22-834.22] 那Display的部分
[834.22-837.22] 第一季已经稍微稍微下滑
[837.22-839.22] 不过后面应该会正常的回去
[839.22-845.22] 因为第二季开始就就是已经忘记这个备货开始准备
[845.22-850.22] 那Mobility solution的部分就要看全球测试的状况
[850.22-852.22] 不过大陆的测试很好
[852.22-858.22] 那其他的欧美地区就看这个大陆对他们的影响有多大
[858.22-859.22] 我目前
[859.22-860.22] 啊
[860.22-890.22] 
[890.22-920.22] 
[920.22-950.22] 
[950.22-980.22] 
[980.22-981.22] 我们是轻资产
[981.22-985.22] 那节能减碳的部分我们还是照着我们的方向走
[985.22-987.22] 第二个我们还是不做库存
[987.22-992.22] 所以大家可以看到我们的库存相对的健康
[992.22-997.22] 那好处是我们预期后面的这个需求会上来
[997.22-998.22] 所以当需求上来的时候
[998.22-1000.22] 我们手上的都是最新鲜的
[1000.22-1002.22] 然后最新的产品的技术
[1002.22-1004.22] 那成本也是最具有竞争力的
[1004.22-1008.22] 那当然这个可以满足我们客户的这个需求
[1008.22-1009.22] 好
[1009.22-1011.22] 那接下来呢
[1011.22-1013.22] 其实在7月的时候
[1013.22-1015.22] 去年7月跟大家见面的时候
[1015.22-1021.22] 我有秀的这一张就是所谓把我们整个公司的这个营运
[1021.22-1024.22] 用所谓三个支柱来代表
[1024.22-1026.22] 那三个支柱里面
[1026.22-1030.22] 其实我这次有一点点不太一样
[1030.22-1034.22] 就是这个你会看到多了中间多两个箭头
[1034.22-1038.22] 这两个箭头是两方向两边的
[1038.22-1043.22] 就是说我们其实是用我们在DISPLAY这一块
[1043.22-1045.22] 不管是我们在技术
[1045.22-1049.22] 或者是我们在各方面的竞争力来支撑
[1049.22-1052.22] 我们其他两个支柱的这个发展
[1052.22-1054.22] 那另外两个支柱呢
[1054.22-1058.22] 也会这个因为我们这个DISPLAY
[1058.22-1063.22] 就以显示技术为核心的这个竞争优势
[1063.22-1067.22] 来帮帮着另外两个P的发展以外
[1067.22-1070.22] 那另外两个P的有回馈到我们的DISPLAY来
[1070.22-1072.22] 所以我们希望这三个支柱
[1072.22-1077.22] 其实它是互为互补跟互相支援
[1077.22-1081.22] 那当然各个P的这各个支柱
[1081.22-1083.22] 它各自有它自己的任务
[1083.22-1089.22] 第一个DISPLAY就是希望能够创造更多的现金流
[1089.22-1091.22] 改善获利能力以外
[1091.22-1093.22] 希望能够创造更多现金流
[1093.22-1096.22] 因为我们大部分的折旧就是从DISPLAY来的
[1097.22-1101.22] 那这个现金的流入能够去
[1101.22-1105.22] 让我们在这个另外两个P的
[1105.22-1111.22] 不管投资或者是这个扩大他们的这个营运
[1111.22-1115.22] 所需要的这些资源都会从DISPLAY
[1115.22-1119.22] 过去我们这么庞大的投资产生的折旧
[1119.22-1122.22] 带进来的这个现金流化
[1122.22-1127.22] 那Mobility solution就会是我们很重要的成长引进
[1127.22-1133.22] 因为我们除了自己原来AUO本身的
[1133.22-1136.22] 在车用这一块的成长以外
[1136.22-1140.22] 那这个部分我们去年也达到20几个%以上的成长
[1140.22-1142.22] 那如果再加上BHC进来
[1142.22-1146.22] 我们去年整个车用的事业成长是60几%
[1146.22-1151.22] 那未来几年我们还预期每年还是两位数的成长
[1151.22-1156.22] 那当然这个会因为车用有一个
[1157.22-1162.22] 特点就是它的能见度相对其他来说是更高
[1162.22-1167.22] 那另外一个当然我们也从一个面板的供应商转到一个系统
[1167.22-1170.22] 甚至于转到一个所谓智慧座舱的这一块
[1170.22-1173.22] 那大家如果有注意新闻的话
[1173.22-1175.22] 我们今年的这个CES的展
[1175.22-1177.22] 待会Frank也会跟各位介绍
[1177.22-1180.22] 我们CES的展就是展出一台车
[1180.22-1184.22] 那里面呢从车里车外智慧座舱一路到所有
[1184.22-1187.22] 这个车子未来的概念来说
[1187.22-1192.22] 我们其实都能够提供我们的这个解决方案
[1192.22-1196.22] 那当然去年11月21号董事会也通过
[1196.22-1198.22] 就是把这个整个车用
[1198.22-1200.22] 原来的AUO车用加上BHTC
[1200.22-1202.22] 我们成立一家公司
[1202.22-1205.22] 就是AMS C
[1205.22-1209.22] 那其实主要目的就是我们希望能够把它
[1209.22-1214.22] 是变成事业部的公司化的事业部
[1214.22-1217.22] 那未来我们这三个支柱其实就是三个公司
[1217.22-1221.22] 那Distri是以AUO为代表
[1221.22-1225.22] 但是呢Mobile Solution就是AMS C
[1225.22-1230.22] 然后这个Vertical这边就是达琴为主
[1230.22-1234.22] 那再加上几个我们的智慧解决方案的公司
[1234.22-1237.22] 所以未来在这个三个支柱的
[1237.22-1245.22] 不管从营运绩效或者是他们的这个各个表现
[1245.22-1247.22] 我们都可以在这个三个支柱的
[1247.22-1253.22] 在这个公司化下面去做更好的这个显现
[1253.22-1256.22] 那也让我们有更明确的
[1256.22-1260.22] 在这个公司化下面有更明确的目标
[1260.22-1267.22] 然后呢大家为了这个目标去努力
[1267.22-1273.22] 那当然我们在这个考虑公司化的这个部分的时候
[1273.22-1275.22] 其实我们还有一个
[1275.22-1277.22] 也告诉大家的是
[1277.22-1282.22] AMS C目前没有股权稀释跟上市的规划
[1282.22-1285.22] 因为我们是我们是1AUO
[1285.22-1288.22] 所以这三个PLS其实就是一个AUO
[1288.22-1295.22] 好那这个除了AMS C以外
[1295.22-1297.22] 另外一个就是ADP
[1297.22-1301.22] 那ADP里面ADP当然有智慧零售
[1301.22-1304.22] 智慧教育跟企业的解决方案
[1304.22-1306.22] 还有智慧医疗
[1306.22-1312.22] 我们还加上这个其他的所谓智慧服务
[1312.22-1317.22] 像比如说做水务循环经济的有达余配
[1317.22-1325.22] 还有就是做智慧制造跟节能减碳方面的服务的有达数位
[1325.22-1328.22] 所以这个是贵在这个Vertical
[1328.22-1331.22] 所以我们未来的整个营运
[1331.22-1334.22] 就每一个都会有非常明确的目标
[1334.22-1335.22] 大家努力的方向
[1335.22-1339.22] 跟显现绩效的显现方式也会非常明确
[1339.22-1342.22] 包含你用了多少资源创造多少的营收
[1342.22-1344.22] 带来多少的获利
[1344.22-1349.22] 都会在每一个批的里面去显现出来
[1349.22-1354.22] 那当然除了这些营运上面的这个改变
[1354.22-1357.22] 或者说我们的改善以外
[1357.22-1360.22] 另外我也要跟大家报告一下
[1360.22-1363.22] 我们在这个企业永续这一块也做的非常的多
[1363.22-1364.22] 啊
[1364.22-1369.22] 接下来我想用这一张的告诉各位是
[1369.22-1374.22] 有的去年我们在这个DJSI是第14年进入
[1374.22-1377.22] 而且是在分组里面我们算是第二名
[1377.22-1378.22] 然后呢
[1378.22-1381.22] 昨天如果各位看新闻的话
[1381.22-1387.22] 和媒体也有在这个SMP就是标普的这个永续年鉴
[1387.22-1392.22] 那我们也入这个台湾入选的这个厂家之一
[1392.22-1393.22] 啊
[1393.22-1396.22] 而且我们是在前五前百分之五
[1396.22-1399.22] 那这个他他这个评比啊
[1399.22-1401.22] 全世界有7000多家公司
[1401.22-1404.22] 所以能够进入前百分之五是不容易的
[1404.22-1406.22] 那其他还有MSCI啦
[1406.22-1408.22] 或者是碳揭露CDP
[1408.22-1409.22] 那这些部分呢
[1409.22-1412.22] 我们得都不只是符合规定
[1412.22-1417.22] 而且是我们也得到很好的这个评价
[1417.22-1419.22] 那另外在这个减碳的方面
[1419.22-1421.22] 我们有这个2050近龄碳排的这个评价
[1421.22-1424.22] 那这个2050近龄碳排的减碳路径
[1424.22-1432.22] 那2024年我们如果跟2018年的所谓排碳峰值来比较的话
[1432.22-1434.22] 下降39%
[1434.22-1435.22] 另外呢
[1435.22-1441.22] 我们也设定了SBTI的这个就是科学减碳的目标
[1441.22-1444.22] 2030年相较2021年
[1444.22-1447.22] 我们要达到42%的这个减碳
[1447.22-1449.22] 那再生能源
[1449.22-1450.22] 当然我们透过我们自发自用的这个减碳路径的这个减碳路径的目标
[1450.22-1451.22] 我们透过我们自发自用的这个减碳路径的这个减碳路径的目标
[1451.22-1453.22] 或者是绿电凭证
[1453.22-1457.22] 2024年我们达到了RE的5.6%
[1457.22-1462.22] 那未来会增加我们离岸风电的这个进来
[1462.22-1466.22] 所以到2023年我们的目标RE30不变
[1466.22-1468.22] 那另外当然这一张呢
[1468.22-1471.22] 其实也可以跟大家来分享
[1471.22-1477.22] 第一我们发表了全业界第一本的自然相关财务揭露报告书
[1477.22-1479.22] 那这个是我们希望能够
[1479.22-1480.22] 那这个是我们希望能够
[1480.22-1482.22] 在有它营运范围内
[1482.22-1484.22] 所有的全世界的营运范围内
[1484.22-1487.22] 对于生物的这个影响
[1487.22-1495.22] 我们必须要有更多的这个辨识认识跟行动
[1495.22-1498.22] 来落实我们的保护行动
[1498.22-1500.22] 第二个是我们的总部
[1500.22-1503.22] 这个大楼其实是台湾第一家
[1503.22-1507.22] 台湾第一个也是全球显示机产业第一个
[1507.22-1509.22] 达到坦中和的建筑物
[1509.22-1512.22] 因为我们是通过ISO14068
[1512.22-1514.22] 谈重和查证
[1514.22-1515.22] 另外呢
[1515.22-1518.22] 我在这边因为我们今天
[1518.22-1521.22] 在董事会里面也有做了一个决议
[1521.22-1524.22] 然后也有公告
[1524.22-1528.22] 第一个是我们为了主要是聚焦我们的营运
[1528.22-1532.22] 还有包含我们的资产要做更好的利用
[1532.22-1536.22] 那如果没有就是它的效益不高的
[1536.22-1537.22] 我们都会做活化
[1537.22-1538.22] 所以今天
[1538.22-1543.22] 我们公告了就是我们中部科学园区
[1543.22-1546.22] 厚里这一个原来属于友达精彩的
[1546.22-1549.22] 我们百分之百的子公司友达精彩的
[1549.22-1554.22] 这个东测厂区卖给这个美光公司
[1554.22-1557.22] 那上一次我们有一个西测的出售
[1557.22-1562.22] 所以整个加起来会是37.5亿的这个出售案
[1562.22-1565.22] 那同时呢
[1565.22-1566.22] 因为这个友达精彩的公司呢
[1566.22-1571.22] 这个友达精彩原来它的业务就是太阳能的单晶的晶片
[1571.22-1574.22] 加上半导体的材料
[1574.22-1577.22] 那我们今天同时也决定就是
[1577.22-1582.22] 有它的这个太阳能单晶晶片的业务要停止
[1582.22-1585.22] 我们只保留这个半导体的业务
[1585.22-1588.22] 然后呢我们会把它整并到我们台中的厂区里面去
[1588.22-1591.22] 所以这个厚里厂区就会空出来
[1591.22-1594.22] 当然前两年我们会回租一部分的设计
[1594.22-1595.22] 一部分的设计
[1595.22-1598.22] 但是呢27年我们就会全部清空
[1598.22-1600.22] 另外一个
[1600.22-1603.22] 也为了维护公司股东对我们的支持
[1603.22-1607.22] 还长期这个所谓股东回报的这个稳定性
[1607.22-1611.22] 所以董事会决议今天我们以这个资本攻击
[1611.22-1613.22] 发放现金鼓励每股3块钱
[1613.22-1617.22] 那另外我们也做这个两个%的故厂股
[1617.22-1621.22] 那这个金额应该会在落在20到30亿之间
[1621.22-1623.22] 也就是说我们会在这个20到30亿之间
[1623.22-1624.22] 我们也会在这个20到30亿之间
[1624.22-1629.22] 也就是说我们大概未来我们在这个股利政策上面
[1629.22-1636.22] 我们就会来看我们的free cash flow的其中一部分
[1636.22-1638.22] 我们就会做回馈股东
[1638.22-1644.22] 然后包含我们在这个资本结构的这些调整
[1644.22-1648.22] 所以这些都会还在我们这个长期的这个策略里面
[1648.22-1654.22] 所以我想这个是今天的公告
[1654.22-1656.22] 顺便在这边做一个说明
[1656.22-1660.22] 那另外呢我也对这个今年的display的市场
[1660.22-1663.22] 来跟大家做个说明一下
[1663.22-1667.22] 第一季呢其实需求还不错
[1667.22-1670.22] 只不过是因为工作天数太少了很多
[1670.22-1672.22] 尤其春节期间
[1672.22-1676.22] 所以第一季的这个营收会稍微下降一点
[1676.22-1680.22] 不过因为大陆的宇宙换星还有这个节能补贴
[1680.22-1682.22] 还在持续进行
[1682.22-1686.22] 那从去年11到双11的销售
[1686.22-1690.22] 我们就看到基本的尺寸是75寸
[1690.22-1694.22] 甚至于85寸都已经占到30%以上
[1694.22-1697.22] 那100寸的现在也在市场上很多
[1697.22-1700.22] 所以随着这个尺寸的加大
[1700.22-1706.22] 其实对于大世代线的这个消耗是非常快的
[1706.22-1712.22] 然后再加上产业秩序也比较好
[1712.22-1715.22] 所谓的按需生产
[1715.22-1718.22] 按照这个需求来做生产
[1718.22-1720.22] 那这一块呢会让整个产业秩序
[1720.22-1723.22] 会恢复到好的一个循环
[1723.22-1729.22] 那所以我们今年看到的是第一季会稍微低一点
[1729.22-1733.22] 但是我们后面的看到需求会逐季的往上升
[1733.22-1736.22] 那今年的这个电视机的销售
[1736.22-1740.22] 应该会平均会多超过一寸以上
[1740.22-1742.22] 那给个看
[1742.22-1744.22] 那么作为一个概念
[1744.22-1747.22] 一个一寸每一寸大概就是一座8.5袋的产量
[1747.22-1750.22] 所以这个消耗其实还蛮大的
[1750.22-1751.22] 那另外呢
[1751.22-1753.22] 当然在IT的产业
[1753.22-1758.22] 因为这个Win10要停止service
[1758.22-1761.22] 还有AIPC带来的这些换机槽
[1761.22-1765.22] 还有一个就是这个
[1765.22-1770.22] 这个疫情期间增加的这些购买的
[1770.22-1772.22] 其实2021年
[1772.22-1775.22] 那一年增加了6000万台
[1775.22-1778.22] 那这些已经到了40到5年的换机槽
[1778.22-1780.22] 所以现在开始会换机
[1780.22-1782.22] 那另外一个是Win10的这一块
[1782.22-1783.22] 刚刚讲的
[1783.22-1786.22] 你那个没有办法升级到Win11的
[1786.22-1790.22] 根据品牌客户的统计有2.5亿台
[1790.22-1791.22] 这些都要逐年的换
[1791.22-1795.22] 所以我们看到整个IT的产业
[1795.22-1799.22] 在这几个驱动下
[1799.22-1801.22] 包含AIPC的驱动之下
[1801.22-1804.22] 我们认为这两年的这个需求
[1804.22-1808.22] 会上升的比较明显
[1808.22-1812.22] 当然我还是要强调
[1812.22-1815.22] 像关税 地缘政治 战争
[1815.22-1817.22] 这些还是存在
[1817.22-1819.22] 还是存在一些不确定因素
[1819.22-1821.22] 所以我们还是要密切的观察
[1821.22-1824.22] 不过我们对今年的整个市况
[1824.22-1825.22] 跟我们的营运
[1825.22-1828.22] 我们是相对的乐观
[1828.22-1830.22] 虽然我们还是要很谨慎的来观察这些变化
[1830.22-1833.22] 不过我们还是对今年相对的乐观
[1833.22-1835.22] 另外一个就是
[1835.22-1840.22] 因为我们三个支柱的营运
[1840.22-1845.22] 也会让我们有更明确的目标
[1845.22-1850.22] 讲到AIPC
[1850.22-1853.22] 其实去年大家推了很多
[1853.22-1857.22] 但是没有造成一个很热的攻潮
[1857.22-1859.22] 不过今年第一个是品牌客户
[1859.22-1861.22] 第一个是品牌厂
[1861.22-1863.22] 推出了很多的AIPC
[1863.22-1865.22] 这个model很多
[1865.22-1866.22] 第二个是
[1866.22-1871.22] 其实过年期间有一个重大的宣布
[1871.22-1873.22] 叫Deep Sink
[1873.22-1876.22] 可以用一个更简单的方式
[1876.22-1878.22] 就能够去做AI
[1878.22-1880.22] 这个其实我们看到的机会就是
[1880.22-1883.22] 未来在AIPC上面
[1883.22-1886.22] 已经不会像过去必须是一个高大上
[1886.22-1888.22] 因为每一台都要1200块美金以上的
[1889.22-1892.22] 这个PC才能够跑得动AI
[1892.22-1895.22] 所以我们认为AIPC的渗透率
[1895.22-1897.22] 会很快速的提升起来
[1897.22-1899.22] 所以这张图看到
[1899.22-1904.22] 我们AIPC的需求是一个非常陡峭的需求
[1904.22-1908.22] 这里面当然它对于能耗还是非常要注意在意
[1908.22-1912.22] 所以我们是以low-temp poly为主
[1912.22-1916.22] 尤其是low-temp poly再加上touch的这一块
[1916.22-1918.22] 对友来一直都是领先的
[1919.22-1921.22] 右边这一块各位可以看得到
[1921.22-1923.22] 它对于能耗的
[1923.22-1924.22] 不管是
[1924.22-1926.22] 这个是讲在使用的时候的能耗
[1926.22-1929.22] 跟OLED去做比较
