[30.00-32.78] 凱基证券举办的线上的会议
[351.20-354.64] 今年第一季在低压部分是47%
[354.64-356.64] 然后中压是33%
[356.84-360.68] 在高压的部分是16%
[360.68-362.88] 以前因为有一些电源
[362.88-366.48] 它是比较偏高压的应用
[366.48-369.48] 所以在2023年它是比较高的
[369.48-373.96] 但是因为今年我们在有其他的应用有进来
[373.96-376.12] 所以你就可以看得出来
[376.12-378.48] 在我中压跟低压这一块
[378.48-380.64] 其实是往上提升的
[380.64-384.68] 我们可以看一下就是应用别的部分
[384.68-386.68] 电源供应器主要是
[386.84-390.08] 中压跟高压
[390.08-392.04] 看这个发格季度
[392.04-395.96] 你就可以看到在最近
[395.96-399.44] 这一年到今年第一季
[399.44-403.04] 它是占我们的营收大概5成以下
[403.04-405.20] 49%到最后
[405.20-407.20] 到今年第一季是40%
[407.20-409.56] 那比较computing就是持平
[409.56-412.20] 大概around我们营收3成以内
[412.20-414.40] 25%左右这样子的个
[414.40-416.68] 那Display因为它的竞争比较
[416.84-417.40] 好大
[417.40-419.40] 所以它一直就是占一定的
[419.40-422.68] 大家可以看到黄色的部分
[422.68-426.64] 它是从这8个季度一直在放大
[426.64-429.64] 一直到第一季来到我们18%
[429.64-434.80] 那主要就是散热的那一块的应用
[434.80-436.88] 那相对它的毛率也比较好
[436.88-438.80] 所以整个持续放大
[438.80-441.36] 对我们公司和整个产品线的组合
[441.36-442.84] 也会比较好
[442.84-444.32] 到第一季已经到18了
[444.32-446.56] 那另外一个其他的部分
[446.84-450.36] 它是有一些就像IGPT这种产品线
[450.36-454.44] 也是有持续在有一些固定的客人
[454.44-457.08] 有在这些应用
[457.08-463.68] 所以也是有一些日本线的一些客户进来
[463.68-468.32] 然后再来看QOQ季度的营收的概要
[468.32-470.56] 这8季来看一下
[470.56-476.68] 其实整个我们还是有产业很淡忘记的
[476.84-477.36] 一个概念
[477.36-480.36] 大概上半年是营收比较少
[480.36-483.76] 下半年营收比较放大
[483.76-486.12] 所以往常都是在第三季
[486.12-490.80] 可以看到23年的3Q是7.89亿
[490.80-492.92] 在24年是8.07亿
[492.92-496.68] 通常都是比较高的一个pick
[496.68-500.28] 在整个景气循环的情况下
[500.28-506.08] 那第一季通常都是会比较slow的一个season了
[506.84-509.40] 看到去年第一季就是5.89亿
[509.40-512.04] 今年就是营收持续往上走
[512.04-513.48] 是7.15亿
[513.48-516.72] 这是整个我们的营收趋势
[516.72-521.20] 大概是上半年下半年有一个这样子的趋势
[522.80-525.36] 再来看我们主要的应用别
[525.36-528.88] 我们最大的应用别主要还是在电源
[528.88-533.72] 那么主要那几大客户
[533.72-536.28] 我们都有推入导入
[536.84-540.80] 可以看到出来在23年
[540.80-544.40] 它那时候整个产业的需求比较紧
[544.40-545.80] 营收比较大
[545.80-550.40] 然后在去年稍微让我们营收下来
[550.40-552.60] 在今年的第一季
[552.60-558.72] 有持续比去年的同期2.69亿有成长一些
[558.72-561.16] 这是我们主要大概整个趋势
[561.16-565.96] 慢慢就是整个受到IDM大厂
[565.96-566.80] 那些
[566.84-570.48] LTA的影响持续去化之后
[570.48-573.08] 我们就会再持续在往上走
[573.08-576.96] 这是电源供应器这一块主要应用
[576.96-579.16] 它的趋势大概是这样子
[579.16-582.40] 然后computing的部分
[582.40-587.12] 我们主要还是在我们一定的share
[587.12-591.60] 那是大概在我们营收25%左右
[591.60-596.80] 那它主要是随着我们的营收和占用剂的一个趋势来走
[596.84-603.08] 那今年跟去年同期的第一季是有差不多持平
[603.08-606.36] 微幅稍微的下滑一点点
[606.36-612.56] 那整个产业大概也是会随着它的趋势而变动
[612.56-619.48] 那主要今年比较大幅的成长就是我们的G7分这一块
[619.48-625.28] 你看得到第一季已经到1.29亿这样子的营收
[625.28-626.68] 成长了一段时间之后
[626.84-629.60] 成长将近这样子多少
[629.60-631.32] 4成5成
[631.32-633.84] 然后去年第一季
[633.84-636.12] 去年第四季不到1亿
[636.12-640.12] 整个你可以看得到从第一季的4千万
[640.12-645.12] 6千万7千万到9千到今年的第一季1.3亿
[645.12-648.44] 这是今年比较强的一个应用
[648.44-651.88] 那我这边就大概报告完毕
[651.88-656.20] 那等一下就请大家有什么问题开放Q&A
[656.20-656.68] 谢谢
[656.84-664.16] 好那我们现在接下来开放Q&A
[664.16-667.88] 那我这边先就依照法人先前提出问题
[667.88-670.00] 请公司做优先回复
[670.00-675.56] 那第一题是关税汇率对公司的分别影响
[675.56-677.60] 请问有提早拉货吗
[677.60-680.68] 就是如何影响毛利率的
[680.68-681.72] 我想关于提早拉货的问题是
[681.72-681.76] 就是如何影响毛利率的
[681.76-682.36] 就是如何影响毛利率的
[682.36-682.60] 就是如何影响毛利率的
[682.60-682.68] 就是如何影响毛利率的
[682.68-683.00] 就是如何影响毛利率的
[683.00-685.36] 就是如何影响毛利率的
[685.36-686.68] 我想关于提早拉货的问题是
[686.68-690.40] 提早拉货这个确实是有
[690.40-694.40] 在大概第二季是很明显的
[694.40-696.60] 在看到客人在提早拉货
[696.60-699.48] 那OK
[699.48-702.44] 你说对第二个问题
[702.44-707.04] 第一个问题是请问关税汇率对公司的分别影响
[707.04-710.88] 关税的问题
[710.88-714.32] 就是说客人现在大概的因应
[714.32-716.14] 我想大概分几个区块
[716.14-716.64] 就是
[716.68-718.32] 跟台湾这一块
[718.32-721.40] 因为台湾这一块的客人
[721.40-725.40] 那基本上主要是反映在提早拉货上面
[725.40-727.84] 这个大概比较明显的
[727.84-730.28] 那另外就是中国的部分
[730.28-732.80] 现在大概占附顶四分之一
[732.80-734.80] 那我们会把它分两块
[734.80-737.64] 它有一块是中国的客户
[737.64-741.28] 但是它其实是做一些可能像园林
[741.28-742.72] 就是比如说割草机
[742.72-745.16] 或电动手工具这种书面的
[745.16-745.80] 那这一群的客人他的行业是什么样的
[745.80-746.04] 那这一群的客人他的行业是什么样的
[746.04-751.68] 就是说他们在过去几年也有把一些工厂
[751.68-754.44] 从中国移出来的移到越南去
[754.44-757.92] 所以贸易战一开始的时候
[757.92-761.12] 大概第一个问题是他们就先踩刹车
[761.12-764.28] 因为反正中国捡进去了越南也捡进去了
[764.28-765.96] 他们一开始真的不知道怎么办
[765.96-767.76] 就是重踩刹车
[767.76-770.64] 那但是问题在后面来看
[770.64-773.16] 这件事大概过了一两个月
[773.16-774.28] 一两个月之后
[774.28-775.84] 整个又回过头来了
[776.04-779.88] 反正看起来越南这边的问题会比较少
[779.88-782.80] 但是中国他们担心是解不掉的问题
[782.80-785.80] 所以他们把可以在越南生产的产能
[785.80-788.20] 全部反正就填到满就对了
[788.20-790.12] 原来不是那么喜欢去越南
[790.12-792.88] 因为我听到他们在谈的是越南成本
[792.88-794.08] 比中国还要高
[794.08-797.00] 但还是要去想办法就移过去了
[797.00-799.44] 但中国的大概就不太敢就满下来
[799.44-802.92] 我想在他们做外销的这一块大概是这样
[802.92-805.88] 关于内地的中国内地市场
[805.88-810.88] 内地自己的需求基本上没有太大的变化
[810.88-812.20] 那边还是为此一样
[812.20-814.96] 原来反正大家就要比拼价格
[814.96-816.88] 在中国的市场大概是这样
[816.88-821.44] 至于我们有一些在日本韩国这边
[821.44-826.32] 那这些生意我想基本上不太会变动
[826.32-829.84] 所以他基本上没有太大的变化
[829.84-835.40] OK我想关税的影响在客人这边是这样
[835.88-839.44] 至于说汇率的话
[839.44-842.28] 我想就是说各位也可以
[842.28-845.80] 反正汇率影响到的大致上
[845.80-848.56] 他会冲击我大概就是我的存货
[848.56-852.00] 因为我们的生意里面大致上
[852.00-855.28] 所有对客人的计价100%是美金
[855.28-860.44] 我的成本里面除了少数很小一部分
[860.44-863.40] 比如说反正我的供应商都是美金
[863.40-865.84] 但是有一些成本是我们内部的成本
[865.88-868.24] 我可能还是要有一些发货
[868.24-871.36] 一些物流大概这一块是用台币计
[871.36-874.32] 所以基本上大概就是说
[874.32-878.48] 我现在已经在关税要汇率大幅变动前
[878.48-880.04] 我的存货有多少
[880.04-884.32] 但是我想刚刚我们财务长在简报上面
[884.32-885.48] 也有一些数字
[885.48-886.64] 各位可以看得到
[886.64-888.88] 就是说我的存货就在那里
[888.88-891.08] 那个会受到关税的影响
[891.08-895.24] 我估计那些货大致上可以应付
[895.88-897.24] 三个月的出货需求
[897.24-900.52] 所以我们现在看到大概就是五六七
[900.52-901.36] 这三个月
[901.36-904.72] 我的毛利大概就冲击到那个数字
[904.72-908.00] 但是这个之后反正两个都下来
[908.00-910.88] 假设汇率没有再大幅的变动的话
[910.88-914.20] 我的过时短期运会回到原来的轨道上
[914.20-916.16] 大概是这样子
[916.16-922.16] 那跟总经理真的请教第二个问题是
[922.16-925.84] 请问怎么看公司各项业务的成长性
[925.88-933.40] 目前我们在看就是说
[933.40-935.52] 我先谈短期的好了
[935.52-939.84] 就是说我们整个在看就是说
[939.84-944.22] 至少在二Q大致上维持着
[944.22-946.18] 主要的几个项目
[946.18-948.06] 我们大的电源的项目
[948.06-951.94] 然后我们的那个computing那边
[951.94-955.72] 然后另外一个比较大的应该是
[955.72-955.86] 像是电力的项目
[955.88-957.44] 现在比较明显的是风扇
[957.44-960.02] 那我想风扇大致上
[960.02-963.68] 那个成长率大概像一Q这个样子
[963.68-966.38] 二Q相对一Q
[966.38-969.88] 它还是沿着那个成长的速率在上来
[969.88-971.68] 那至于三Q之后
[971.68-974.88] 那个成长的速率会不会就缓下来
[974.88-976.36] 那个还要再观察
[976.36-977.38] 因为坦白说
[977.38-980.00] 客人也不敢给到那么远的
[980.00-981.52] 但就目前来看
[981.52-983.82] 基本上都还是健康的
[983.82-985.72] 那我想考虑一下
[985.88-988.44] 那computing基本上对我们来讲
[988.44-991.64] 那个对我们总营收的share是差不多
[991.64-994.32] Q1 Q2没有什么太大的变化
[994.32-997.64] 那电源供应器占我们总营收的share
[997.64-1001.10] 我们现在的预估应该会有一点点轻微的下滑
[1001.10-1004.38] 非常非常低个位数的下滑
[1004.38-1006.16] 那整个overall来看
[1007.74-1010.42] 我们现在判断大概是
[1010.42-1013.30] 应该是维持我们全年的那种预估啦
[1013.30-1015.72] 其实是一个双位数以上的成长
[1015.88-1019.56] 就Q2对于Q1
[1019.56-1022.44] 因为我们现在的预估大概是
[1022.44-1027.66] 附顶两年来最高最高的一级
[1027.66-1032.00] 所以基本上我们现在看到至少Q2都还很健康
[1032.00-1036.36] 那Q3 Q4就我们现在跟这些客人在谈
[1036.36-1040.46] 其实大家的状况都是没有太大的
[1040.46-1042.76] 他没有办法跟你讲得很清楚啦
[1042.76-1045.84] 但是整个大的产业其实也看不出说
[1045.84-1049.68] 整个产业有在衰退来我看不出来
[1049.68-1052.24] 所以我想我们认为
[1052.24-1054.04] 附顶整个
[1054.04-1060.68] 25年的营收应该可以做到我们原来年初的时候
[1060.68-1063.24] 去年底年初的时候那个预估
[1063.24-1066.32] 我们会努力把这个目标做到
[1066.32-1071.44] 好的那感谢同学们的分享
[1071.44-1073.24] 那由于时间关系
[1073.24-1075.70] 今天附顶的发售会就到这边结束了
[1075.70-1079.54] 那谢谢附点管理层及各位投资先进
